context: Found it! It's this! response:	Hot Springs A complete guide to the most popular traditional inns
context: From: Ko Hey. I'm going to be at work today.\Work...\To: Ko Work? The hauler again?\It's been a while.\This scenery, this conversation with Ko...\Even though it hasn't\even been 6 months since I moved.\From: Ko Nah, I'm working at the huge bookstore in Ikebukuro today. response:	Well, Ikebukuro was only one stop away, after all.
context: Work...\To: Ko Work? The hauler again?\It's been a while.\This scenery, this conversation with Ko...\Even though it hasn't\even been 6 months since I moved.\From: Ko Nah, I'm working at the huge bookstore in Ikebukuro today.\Well, Ikebukuro was only one stop away, after all. response:	The sign doesn't look great right now,
context: To: Ko Work? The hauler again?\It's been a while.\This scenery, this conversation with Ko...\Even though it hasn't\even been 6 months since I moved.\From: Ko Nah, I'm working at the huge bookstore in Ikebukuro today.\Well, Ikebukuro was only one stop away, after all.\The sign doesn't look great right now, response:	so I should read some difficult books to learn difficult words...
context: It's been a while.\This scenery, this conversation with Ko...\Even though it hasn't\even been 6 months since I moved.\From: Ko Nah, I'm working at the huge bookstore in Ikebukuro today.\Well, Ikebukuro was only one stop away, after all.\The sign doesn't look great right now,\so I should read some difficult books to learn difficult words... response:	Koichi!
context: This scenery, this conversation with Ko...\Even though it hasn't\even been 6 months since I moved.\From: Ko Nah, I'm working at the huge bookstore in Ikebukuro today.\Well, Ikebukuro was only one stop away, after all.\The sign doesn't look great right now,\so I should read some difficult books to learn difficult words...\Koichi! response:	Where should I put this?
context: Even though it hasn't\even been 6 months since I moved.\From: Ko Nah, I'm working at the huge bookstore in Ikebukuro today.\Well, Ikebukuro was only one stop away, after all.\The sign doesn't look great right now,\so I should read some difficult books to learn difficult words...\Koichi!\Where should I put this? response:	Oh, that goes...
context: even been 6 months since I moved.\From: Ko Nah, I'm working at the huge bookstore in Ikebukuro today.\Well, Ikebukuro was only one stop away, after all.\The sign doesn't look great right now,\so I should read some difficult books to learn difficult words...\Koichi!\Where should I put this?\Oh, that goes... response:	Here?
context: From: Ko Nah, I'm working at the huge bookstore in Ikebukuro today.\Well, Ikebukuro was only one stop away, after all.\The sign doesn't look great right now,\so I should read some difficult books to learn difficult words...\Koichi!\Where should I put this?\Oh, that goes...\Here? response:	No.
context: Well, Ikebukuro was only one stop away, after all.\The sign doesn't look great right now,\so I should read some difficult books to learn difficult words...\Koichi!\Where should I put this?\Oh, that goes...\Here?\No. response:	How am I supposed to know?
context: The sign doesn't look great right now,\so I should read some difficult books to learn difficult words...\Koichi!\Where should I put this?\Oh, that goes...\Here?\No.\How am I supposed to know? response:	Come on...
context: so I should read some difficult books to learn difficult words...\Koichi!\Where should I put this?\Oh, that goes...\Here?\No.\How am I supposed to know?\Come on... response:	Come on, guys, stop flirting during work.
context: Koichi!\Where should I put this?\Oh, that goes...\Here?\No.\How am I supposed to know?\Come on...\Come on, guys, stop flirting during work. response:	Y-You've got it all wrong!
context: Where should I put this?\Oh, that goes...\Here?\No.\How am I supposed to know?\Come on...\Come on, guys, stop flirting during work.\Y-You've got it all wrong! response:	I'm sorry! I'm sorry!
context: Oh, that goes...\Here?\No.\How am I supposed to know?\Come on...\Come on, guys, stop flirting during work.\Y-You've got it all wrong!\I'm sorry! I'm sorry! response:	Ohana?
context: Here?\No.\How am I supposed to know?\Come on...\Come on, guys, stop flirting during work.\Y-You've got it all wrong!\I'm sorry! I'm sorry!\Ohana? response:	Nope, you've got the wrong gal.
context: No.\How am I supposed to know?\Come on...\Come on, guys, stop flirting during work.\Y-You've got it all wrong!\I'm sorry! I'm sorry!\Ohana?\Nope, you've got the wrong gal. response:	Ohana?
context: How am I supposed to know?\Come on...\Come on, guys, stop flirting during work.\Y-You've got it all wrong!\I'm sorry! I'm sorry!\Ohana?\Nope, you've got the wrong gal.\Ohana? response:	Yes?!
context: Come on...\Come on, guys, stop flirting during work.\Y-You've got it all wrong!\I'm sorry! I'm sorry!\Ohana?\Nope, you've got the wrong gal.\Ohana?\Yes?! response:	What are you doing here?
context: Come on, guys, stop flirting during work.\Y-You've got it all wrong!\I'm sorry! I'm sorry!\Ohana?\Nope, you've got the wrong gal.\Ohana?\Yes?!\What are you doing here? response:	Oh... I just happened to drop by!
context: Y-You've got it all wrong!\I'm sorry! I'm sorry!\Ohana?\Nope, you've got the wrong gal.\Ohana?\Yes?!\What are you doing here?\Oh... I just happened to drop by! response:	You just happened to drop by Tokyo?
context: I'm sorry! I'm sorry!\Ohana?\Nope, you've got the wrong gal.\Ohana?\Yes?!\What are you doing here?\Oh... I just happened to drop by!\You just happened to drop by Tokyo? response:	Who's that?
context: Ohana?\Nope, you've got the wrong gal.\Ohana?\Yes?!\What are you doing here?\Oh... I just happened to drop by!\You just happened to drop by Tokyo?\Who's that? response:	Oh, she's...
context: Nope, you've got the wrong gal.\Ohana?\Yes?!\What are you doing here?\Oh... I just happened to drop by!\You just happened to drop by Tokyo?\Who's that?\Oh, she's... response:	I'm sorry for disturbing you!
context: Ohana?\Yes?!\What are you doing here?\Oh... I just happened to drop by!\You just happened to drop by Tokyo?\Who's that?\Oh, she's...\I'm sorry for disturbing you! response:	Good luck with work!
context: Yes?!\What are you doing here?\Oh... I just happened to drop by!\You just happened to drop by Tokyo?\Who's that?\Oh, she's...\I'm sorry for disturbing you!\Good luck with work! response:	Later!
context: What are you doing here?\Oh... I just happened to drop by!\You just happened to drop by Tokyo?\Who's that?\Oh, she's...\I'm sorry for disturbing you!\Good luck with work!\Later! response:	Ohana!
context: Oh... I just happened to drop by!\You just happened to drop by Tokyo?\Who's that?\Oh, she's...\I'm sorry for disturbing you!\Good luck with work!\Later!\Ohana! response:	So, are you almost at your limit, Ohana?
context: You just happened to drop by Tokyo?\Who's that?\Oh, she's...\I'm sorry for disturbing you!\Good luck with work!\Later!\Ohana!\So, are you almost at your limit, Ohana? response:	Shut up, old lady.
context: Who's that?\Oh, she's...\I'm sorry for disturbing you!\Good luck with work!\Later!\Ohana!\So, are you almost at your limit, Ohana?\Shut up, old lady. response:	So you've finally reached puberty, eh?
context: Oh, she's...\I'm sorry for disturbing you!\Good luck with work!\Later!\Ohana!\So, are you almost at your limit, Ohana?\Shut up, old lady.\So you've finally reached puberty, eh? response:	Come with me to Kissuiso, old lady.
context: I'm sorry for disturbing you!\Good luck with work!\Later!\Ohana!\So, are you almost at your limit, Ohana?\Shut up, old lady.\So you've finally reached puberty, eh?\Come with me to Kissuiso, old lady. response:	No.
context: Good luck with work!\Later!\Ohana!\So, are you almost at your limit, Ohana?\Shut up, old lady.\So you've finally reached puberty, eh?\Come with me to Kissuiso, old lady.\No. response:	Old lady...
context: Later!\Ohana!\So, are you almost at your limit, Ohana?\Shut up, old lady.\So you've finally reached puberty, eh?\Come with me to Kissuiso, old lady.\No.\Old lady... response:	Old lady...
context: Ohana!\So, are you almost at your limit, Ohana?\Shut up, old lady.\So you've finally reached puberty, eh?\Come with me to Kissuiso, old lady.\No.\Old lady...\Old lady... response:	I refuse to receive sympathy from an enemy.
context: So, are you almost at your limit, Ohana?\Shut up, old lady.\So you've finally reached puberty, eh?\Come with me to Kissuiso, old lady.\No.\Old lady...\Old lady...\I refuse to receive sympathy from an enemy. response:	I refuse...
context: Shut up, old lady.\So you've finally reached puberty, eh?\Come with me to Kissuiso, old lady.\No.\Old lady...\Old lady...\I refuse to receive sympathy from an enemy.\I refuse... response:	Ohana!
context: So you've finally reached puberty, eh?\Come with me to Kissuiso, old lady.\No.\Old lady...\Old lady...\I refuse to receive sympathy from an enemy.\I refuse...\Ohana! response:	Ko...
context: Come with me to Kissuiso, old lady.\No.\Old lady...\Old lady...\I refuse to receive sympathy from an enemy.\I refuse...\Ohana!\Ko... response:	He was cracking up!
context: No.\Old lady...\Old lady...\I refuse to receive sympathy from an enemy.\I refuse...\Ohana!\Ko...\He was cracking up! response:	Look, Mom!
context: Old lady...\Old lady...\I refuse to receive sympathy from an enemy.\I refuse...\Ohana!\Ko...\He was cracking up!\Look, Mom! response:	Shouldn't you be at work?
context: Old lady...\I refuse to receive sympathy from an enemy.\I refuse...\Ohana!\Ko...\He was cracking up!\Look, Mom!\Shouldn't you be at work? response:	Nah.
context: I refuse to receive sympathy from an enemy.\I refuse...\Ohana!\Ko...\He was cracking up!\Look, Mom!\Shouldn't you be at work?\Nah. response:	Are you working hard too?
context: I refuse...\Ohana!\Ko...\He was cracking up!\Look, Mom!\Shouldn't you be at work?\Nah.\Are you working hard too? response:	Yeah.
context: Ohana!\Ko...\He was cracking up!\Look, Mom!\Shouldn't you be at work?\Nah.\Are you working hard too?\Yeah. response:	But we also need to show results.
context: Ko...\He was cracking up!\Look, Mom!\Shouldn't you be at work?\Nah.\Are you working hard too?\Yeah.\But we also need to show results. response:	The customer needs to tell me that I'm working hard.
context: He was cracking up!\Look, Mom!\Shouldn't you be at work?\Nah.\Are you working hard too?\Yeah.\But we also need to show results.\The customer needs to tell me that I'm working hard. response:	I can't be the one saying that I am.
context: Look, Mom!\Shouldn't you be at work?\Nah.\Are you working hard too?\Yeah.\But we also need to show results.\The customer needs to tell me that I'm working hard.\I can't be the one saying that I am. response:	I guess...
context: Shouldn't you be at work?\Nah.\Are you working hard too?\Yeah.\But we also need to show results.\The customer needs to tell me that I'm working hard.\I can't be the one saying that I am.\I guess... response:	Maybe that was a bit forward of me.
context: Nah.\Are you working hard too?\Yeah.\But we also need to show results.\The customer needs to tell me that I'm working hard.\I can't be the one saying that I am.\I guess...\Maybe that was a bit forward of me. response:	Ko, are you mad at me for coming here out of the blue?
context: Are you working hard too?\Yeah.\But we also need to show results.\The customer needs to tell me that I'm working hard.\I can't be the one saying that I am.\I guess...\Maybe that was a bit forward of me.\Ko, are you mad at me for coming here out of the blue? response:	There's so much I want to tell you.
context: Yeah.\But we also need to show results.\The customer needs to tell me that I'm working hard.\I can't be the one saying that I am.\I guess...\Maybe that was a bit forward of me.\Ko, are you mad at me for coming here out of the blue?\There's so much I want to tell you. response:	Ko, did you grow a bit taller?
context: But we also need to show results.\The customer needs to tell me that I'm working hard.\I can't be the one saying that I am.\I guess...\Maybe that was a bit forward of me.\Ko, are you mad at me for coming here out of the blue?\There's so much I want to tell you.\Ko, did you grow a bit taller? response:	Ko, what's your relationship with that girl from earlier?
context: The customer needs to tell me that I'm working hard.\I can't be the one saying that I am.\I guess...\Maybe that was a bit forward of me.\Ko, are you mad at me for coming here out of the blue?\There's so much I want to tell you.\Ko, did you grow a bit taller?\Ko, what's your relationship with that girl from earlier? response:	Ko, do you still like-
context: I can't be the one saying that I am.\I guess...\Maybe that was a bit forward of me.\Ko, are you mad at me for coming here out of the blue?\There's so much I want to tell you.\Ko, did you grow a bit taller?\Ko, what's your relationship with that girl from earlier?\Ko, do you still like- response:	I-I'm going for seconds!
context: I guess...\Maybe that was a bit forward of me.\Ko, are you mad at me for coming here out of the blue?\There's so much I want to tell you.\Ko, did you grow a bit taller?\Ko, what's your relationship with that girl from earlier?\Ko, do you still like-\I-I'm going for seconds! response:	O-Okay.
context: Maybe that was a bit forward of me.\Ko, are you mad at me for coming here out of the blue?\There's so much I want to tell you.\Ko, did you grow a bit taller?\Ko, what's your relationship with that girl from earlier?\Ko, do you still like-\I-I'm going for seconds!\O-Okay. response:	I don't get it.
context: Ko, are you mad at me for coming here out of the blue?\There's so much I want to tell you.\Ko, did you grow a bit taller?\Ko, what's your relationship with that girl from earlier?\Ko, do you still like-\I-I'm going for seconds!\O-Okay.\I don't get it. response:	Why did I come to Tokyo anyway?
context: There's so much I want to tell you.\Ko, did you grow a bit taller?\Ko, what's your relationship with that girl from earlier?\Ko, do you still like-\I-I'm going for seconds!\O-Okay.\I don't get it.\Why did I come to Tokyo anyway? response:	I have so many pent up feelings...
context: Ko, did you grow a bit taller?\Ko, what's your relationship with that girl from earlier?\Ko, do you still like-\I-I'm going for seconds!\O-Okay.\I don't get it.\Why did I come to Tokyo anyway?\I have so many pent up feelings... response:	Huh?
context: Ko, what's your relationship with that girl from earlier?\Ko, do you still like-\I-I'm going for seconds!\O-Okay.\I don't get it.\Why did I come to Tokyo anyway?\I have so many pent up feelings...\Huh? response:	You still do that?
context: Ko, do you still like-\I-I'm going for seconds!\O-Okay.\I don't get it.\Why did I come to Tokyo anyway?\I have so many pent up feelings...\Huh?\You still do that? response:	You mixed tea and Coke!
context: I-I'm going for seconds!\O-Okay.\I don't get it.\Why did I come to Tokyo anyway?\I have so many pent up feelings...\Huh?\You still do that?\You mixed tea and Coke! response:	I want to drink Coke, but the fizz is too strong for me.
context: O-Okay.\I don't get it.\Why did I come to Tokyo anyway?\I have so many pent up feelings...\Huh?\You still do that?\You mixed tea and Coke!\I want to drink Coke, but the fizz is too strong for me. response:	It hurts my mouth.
context: I don't get it.\Why did I come to Tokyo anyway?\I have so many pent up feelings...\Huh?\You still do that?\You mixed tea and Coke!\I want to drink Coke, but the fizz is too strong for me.\It hurts my mouth. response:	Don't lose to Coke.
context: Why did I come to Tokyo anyway?\I have so many pent up feelings...\Huh?\You still do that?\You mixed tea and Coke!\I want to drink Coke, but the fizz is too strong for me.\It hurts my mouth.\Don't lose to Coke. response:	Ko...
context: I have so many pent up feelings...\Huh?\You still do that?\You mixed tea and Coke!\I want to drink Coke, but the fizz is too strong for me.\It hurts my mouth.\Don't lose to Coke.\Ko... response:	How long have you been working at that bookstore?
context: Huh?\You still do that?\You mixed tea and Coke!\I want to drink Coke, but the fizz is too strong for me.\It hurts my mouth.\Don't lose to Coke.\Ko...\How long have you been working at that bookstore? response:	About two months.
context: You still do that?\You mixed tea and Coke!\I want to drink Coke, but the fizz is too strong for me.\It hurts my mouth.\Don't lose to Coke.\Ko...\How long have you been working at that bookstore?\About two months. response:	Everyone at the store seemed really friendly with each other.
context: You mixed tea and Coke!\I want to drink Coke, but the fizz is too strong for me.\It hurts my mouth.\Don't lose to Coke.\Ko...\How long have you been working at that bookstore?\About two months.\Everyone at the store seemed really friendly with each other. response:	Yeah, we're all about the same age too.
context: I want to drink Coke, but the fizz is too strong for me.\It hurts my mouth.\Don't lose to Coke.\Ko...\How long have you been working at that bookstore?\About two months.\Everyone at the store seemed really friendly with each other.\Yeah, we're all about the same age too. response:	That girl was cute too.
context: It hurts my mouth.\Don't lose to Coke.\Ko...\How long have you been working at that bookstore?\About two months.\Everyone at the store seemed really friendly with each other.\Yeah, we're all about the same age too.\That girl was cute too. response:	You think so?
context: Don't lose to Coke.\Ko...\How long have you been working at that bookstore?\About two months.\Everyone at the store seemed really friendly with each other.\Yeah, we're all about the same age too.\That girl was cute too.\You think so? response:	Ko...
context: Ko...\How long have you been working at that bookstore?\About two months.\Everyone at the store seemed really friendly with each other.\Yeah, we're all about the same age too.\That girl was cute too.\You think so?\Ko... response:	I get the feeling she likes you.
context: How long have you been working at that bookstore?\About two months.\Everyone at the store seemed really friendly with each other.\Yeah, we're all about the same age too.\That girl was cute too.\You think so?\Ko...\I get the feeling she likes you. response:	Yeah.
context: About two months.\Everyone at the store seemed really friendly with each other.\Yeah, we're all about the same age too.\That girl was cute too.\You think so?\Ko...\I get the feeling she likes you.\Yeah. response:	Yeah? Did she tell you?
context: Everyone at the store seemed really friendly with each other.\Yeah, we're all about the same age too.\That girl was cute too.\You think so?\Ko...\I get the feeling she likes you.\Yeah.\Yeah? Did she tell you? response:	Yeah.
context: Yeah, we're all about the same age too.\That girl was cute too.\You think so?\Ko...\I get the feeling she likes you.\Yeah.\Yeah? Did she tell you?\Yeah. response:	What did you say to her?
context: That girl was cute too.\You think so?\Ko...\I get the feeling she likes you.\Yeah.\Yeah? Did she tell you?\Yeah.\What did you say to her? response:	I told her I couldn't return her feelings, but...
context: You think so?\Ko...\I get the feeling she likes you.\Yeah.\Yeah? Did she tell you?\Yeah.\What did you say to her?\I told her I couldn't return her feelings, but... response:	But?
context: Ko...\I get the feeling she likes you.\Yeah.\Yeah? Did she tell you?\Yeah.\What did you say to her?\I told her I couldn't return her feelings, but...\But? response:	But she told me she'd wait,
context: I get the feeling she likes you.\Yeah.\Yeah? Did she tell you?\Yeah.\What did you say to her?\I told her I couldn't return her feelings, but...\But?\But she told me she'd wait, response:	so it's kind of unrequited.
context: Yeah.\Yeah? Did she tell you?\Yeah.\What did you say to her?\I told her I couldn't return her feelings, but...\But?\But she told me she'd wait,\so it's kind of unrequited. response:	It's rude to not give a proper answer!
context: Yeah? Did she tell you?\Yeah.\What did you say to her?\I told her I couldn't return her feelings, but...\But?\But she told me she'd wait,\so it's kind of unrequited.\It's rude to not give a proper answer! response:	That's-
context: Yeah.\What did you say to her?\I told her I couldn't return her feelings, but...\But?\But she told me she'd wait,\so it's kind of unrequited.\It's rude to not give a proper answer!\That's- response:	It's rude to not give a proper answer.
context: What did you say to her?\I told her I couldn't return her feelings, but...\But?\But she told me she'd wait,\so it's kind of unrequited.\It's rude to not give a proper answer!\That's-\It's rude to not give a proper answer. response:	He should be saying that to me, not the other way around.
context: I told her I couldn't return her feelings, but...\But?\But she told me she'd wait,\so it's kind of unrequited.\It's rude to not give a proper answer!\That's-\It's rude to not give a proper answer.\He should be saying that to me, not the other way around. response:	I left his confession unrequited.
context: But?\But she told me she'd wait,\so it's kind of unrequited.\It's rude to not give a proper answer!\That's-\It's rude to not give a proper answer.\He should be saying that to me, not the other way around.\I left his confession unrequited. response:	That's exactly what I did to him.
context: But she told me she'd wait,\so it's kind of unrequited.\It's rude to not give a proper answer!\That's-\It's rude to not give a proper answer.\He should be saying that to me, not the other way around.\I left his confession unrequited.\That's exactly what I did to him. response:	I-I'm going now.
context: so it's kind of unrequited.\It's rude to not give a proper answer!\That's-\It's rude to not give a proper answer.\He should be saying that to me, not the other way around.\I left his confession unrequited.\That's exactly what I did to him.\I-I'm going now. response:	Ohana?
context: It's rude to not give a proper answer!\That's-\It's rude to not give a proper answer.\He should be saying that to me, not the other way around.\I left his confession unrequited.\That's exactly what I did to him.\I-I'm going now.\Ohana? response:	I'll pay the bill.
context: That's-\It's rude to not give a proper answer.\He should be saying that to me, not the other way around.\I left his confession unrequited.\That's exactly what I did to him.\I-I'm going now.\Ohana?\I'll pay the bill. response:	No, I'll-
context: It's rude to not give a proper answer.\He should be saying that to me, not the other way around.\I left his confession unrequited.\That's exactly what I did to him.\I-I'm going now.\Ohana?\I'll pay the bill.\No, I'll- response:	What's wrong?
context: He should be saying that to me, not the other way around.\I left his confession unrequited.\That's exactly what I did to him.\I-I'm going now.\Ohana?\I'll pay the bill.\No, I'll-\What's wrong? response:	I'll meet you downstairs.
context: I left his confession unrequited.\That's exactly what I did to him.\I-I'm going now.\Ohana?\I'll pay the bill.\No, I'll-\What's wrong?\I'll meet you downstairs. response:	I've seen this back before.
context: That's exactly what I did to him.\I-I'm going now.\Ohana?\I'll pay the bill.\No, I'll-\What's wrong?\I'll meet you downstairs.\I've seen this back before. response:	The rain's gotten heavier.
context: I-I'm going now.\Ohana?\I'll pay the bill.\No, I'll-\What's wrong?\I'll meet you downstairs.\I've seen this back before.\The rain's gotten heavier. response:	Wait here. I'll go and buy an umbrella-
context: Ohana?\I'll pay the bill.\No, I'll-\What's wrong?\I'll meet you downstairs.\I've seen this back before.\The rain's gotten heavier.\Wait here. I'll go and buy an umbrella- response:	I can buy one myself.
context: I'll pay the bill.\No, I'll-\What's wrong?\I'll meet you downstairs.\I've seen this back before.\The rain's gotten heavier.\Wait here. I'll go and buy an umbrella-\I can buy one myself. response:	Bye.
context: No, I'll-\What's wrong?\I'll meet you downstairs.\I've seen this back before.\The rain's gotten heavier.\Wait here. I'll go and buy an umbrella-\I can buy one myself.\Bye. response:	Wait!
context: What's wrong?\I'll meet you downstairs.\I've seen this back before.\The rain's gotten heavier.\Wait here. I'll go and buy an umbrella-\I can buy one myself.\Bye.\Wait! response:	I don't want to see his back anymore.
context: I'll meet you downstairs.\I've seen this back before.\The rain's gotten heavier.\Wait here. I'll go and buy an umbrella-\I can buy one myself.\Bye.\Wait!\I don't want to see his back anymore. response:	Hey, you!
context: I've seen this back before.\The rain's gotten heavier.\Wait here. I'll go and buy an umbrella-\I can buy one myself.\Bye.\Wait!\I don't want to see his back anymore.\Hey, you! response:	You're drenched!
context: The rain's gotten heavier.\Wait here. I'll go and buy an umbrella-\I can buy one myself.\Bye.\Wait!\I don't want to see his back anymore.\Hey, you!\You're drenched! response:	Wet!
context: Wait here. I'll go and buy an umbrella-\I can buy one myself.\Bye.\Wait!\I don't want to see his back anymore.\Hey, you!\You're drenched!\Wet! response:	Huh? I-
context: I can buy one myself.\Bye.\Wait!\I don't want to see his back anymore.\Hey, you!\You're drenched!\Wet!\Huh? I- response:	Get in!
context: Bye.\Wait!\I don't want to see his back anymore.\Hey, you!\You're drenched!\Wet!\Huh? I-\Get in! response:	Hey, you're gonna catch a cold!
context: Wait!\I don't want to see his back anymore.\Hey, you!\You're drenched!\Wet!\Huh? I-\Get in!\Hey, you're gonna catch a cold! response:	No...
context: I don't want to see his back anymore.\Hey, you!\You're drenched!\Wet!\Huh? I-\Get in!\Hey, you're gonna catch a cold!\No... response:	I hate this...
context: Hey, you!\You're drenched!\Wet!\Huh? I-\Get in!\Hey, you're gonna catch a cold!\No...\I hate this... response:	No...
context: You're drenched!\Wet!\Huh? I-\Get in!\Hey, you're gonna catch a cold!\No...\I hate this...\No... response:	No!
context: Wet!\Huh? I-\Get in!\Hey, you're gonna catch a cold!\No...\I hate this...\No...\No! response:	Help me...
context: Huh? I-\Get in!\Hey, you're gonna catch a cold!\No...\I hate this...\No...\No!\Help me... response:	Help me, Ko!
context: Get in!\Hey, you're gonna catch a cold!\No...\I hate this...\No...\No!\Help me...\Help me, Ko! response:	Ohana!
context: Hey, you're gonna catch a cold!\No...\I hate this...\No...\No!\Help me...\Help me, Ko!\Ohana! response:	Ohana!
context: No...\I hate this...\No...\No!\Help me...\Help me, Ko!\Ohana!\Ohana! response:	Are you okay, Ohana?!
context: I hate this...\No...\No!\Help me...\Help me, Ko!\Ohana!\Ohana!\Are you okay, Ohana?! response:	What are you doing out here?!
context: No...\No!\Help me...\Help me, Ko!\Ohana!\Ohana!\Are you okay, Ohana?!\What are you doing out here?! response:	Hey, why are you crying-
context: No!\Help me...\Help me, Ko!\Ohana!\Ohana!\Are you okay, Ohana?!\What are you doing out here?!\Hey, why are you crying- response:	I don't know!
context: Help me...\Help me, Ko!\Ohana!\Ohana!\Are you okay, Ohana?!\What are you doing out here?!\Hey, why are you crying-\I don't know! response:	I don't know!
context: Help me, Ko!\Ohana!\Ohana!\Are you okay, Ohana?!\What are you doing out here?!\Hey, why are you crying-\I don't know!\I don't know! response:	I don't know...
context: Ohana!\Ohana!\Are you okay, Ohana?!\What are you doing out here?!\Hey, why are you crying-\I don't know!\I don't know!\I don't know... response:	I've...
context: Ohana!\Are you okay, Ohana?!\What are you doing out here?!\Hey, why are you crying-\I don't know!\I don't know!\I don't know...\I've... response:	I've never been moved in so many ways in one day before.
context: Are you okay, Ohana?!\What are you doing out here?!\Hey, why are you crying-\I don't know!\I don't know!\I don't know...\I've...\I've never been moved in so many ways in one day before. response:	Do you have a girlfriend, Tohru?
context: What are you doing out here?!\Hey, why are you crying-\I don't know!\I don't know!\I don't know...\I've...\I've never been moved in so many ways in one day before.\Do you have a girlfriend, Tohru? response:	Hey, Ohana! Where are you now?!
context: Hey, why are you crying-\I don't know!\I don't know!\I don't know...\I've...\I've never been moved in so many ways in one day before.\Do you have a girlfriend, Tohru?\Hey, Ohana! Where are you now?! response:	It's like a date...
context: I don't know!\I don't know!\I don't know...\I've...\I've never been moved in so many ways in one day before.\Do you have a girlfriend, Tohru?\Hey, Ohana! Where are you now?!\It's like a date... response:	An antagonist. All right.
context: I don't know!\I don't know...\I've...\I've never been moved in so many ways in one day before.\Do you have a girlfriend, Tohru?\Hey, Ohana! Where are you now?!\It's like a date...\An antagonist. All right. response:	Are you coming back, Ohana?
context: I don't know...\I've...\I've never been moved in so many ways in one day before.\Do you have a girlfriend, Tohru?\Hey, Ohana! Where are you now?!\It's like a date...\An antagonist. All right.\Are you coming back, Ohana? response:	Episode 12 See Ya.
context: I've...\I've never been moved in so many ways in one day before.\Do you have a girlfriend, Tohru?\Hey, Ohana! Where are you now?!\It's like a date...\An antagonist. All right.\Are you coming back, Ohana?\Episode 12 See Ya. response:	See ya.
