context: The wind is warm. response:	May. When I wake up and open the window, I don't recoil from the wind anymore.
context: H-He's eating with his hands!\Man, he killed three pieces of cake in mere seconds!\He gobbled them up, just like that.\And his eyes were locked on the board the whole time!\Such splendor.\Still, this is an interesting scene.\Right in the middle of a serious battle, with the combatants in kimonos,\snacks would suddenly appear. response:	And it's being broadcast across the nation.
context: Man, he killed three pieces of cake in mere seconds!\He gobbled them up, just like that.\And his eyes were locked on the board the whole time!\Such splendor.\Still, this is an interesting scene.\Right in the middle of a serious battle, with the combatants in kimonos,\snacks would suddenly appear.\And it's being broadcast across the nation. response:	Well, the brain is the biggest eater of all the organs in the body.
context: He gobbled them up, just like that.\And his eyes were locked on the board the whole time!\Such splendor.\Still, this is an interesting scene.\Right in the middle of a serious battle, with the combatants in kimonos,\snacks would suddenly appear.\And it's being broadcast across the nation.\Well, the brain is the biggest eater of all the organs in the body. response:	And glucose is the only nourishment it can get.
context: And his eyes were locked on the board the whole time!\Such splendor.\Still, this is an interesting scene.\Right in the middle of a serious battle, with the combatants in kimonos,\snacks would suddenly appear.\And it's being broadcast across the nation.\Well, the brain is the biggest eater of all the organs in the body.\And glucose is the only nourishment it can get. response:	In shogi, you need your brain firing on all cylinders.
context: Such splendor.\Still, this is an interesting scene.\Right in the middle of a serious battle, with the combatants in kimonos,\snacks would suddenly appear.\And it's being broadcast across the nation.\Well, the brain is the biggest eater of all the organs in the body.\And glucose is the only nourishment it can get.\In shogi, you need your brain firing on all cylinders. response:	And so, what is Souya...
context: Still, this is an interesting scene.\Right in the middle of a serious battle, with the combatants in kimonos,\snacks would suddenly appear.\And it's being broadcast across the nation.\Well, the brain is the biggest eater of all the organs in the body.\And glucose is the only nourishment it can get.\In shogi, you need your brain firing on all cylinders.\And so, what is Souya... response:	He's supplementing the energy in his brain directly!
context: Right in the middle of a serious battle, with the combatants in kimonos,\snacks would suddenly appear.\And it's being broadcast across the nation.\Well, the brain is the biggest eater of all the organs in the body.\And glucose is the only nourishment it can get.\In shogi, you need your brain firing on all cylinders.\And so, what is Souya...\He's supplementing the energy in his brain directly! response:	How many sugar cubes was that?!
context: snacks would suddenly appear.\And it's being broadcast across the nation.\Well, the brain is the biggest eater of all the organs in the body.\And glucose is the only nourishment it can get.\In shogi, you need your brain firing on all cylinders.\And so, what is Souya...\He's supplementing the energy in his brain directly!\How many sugar cubes was that?! response:	And three slices of lemon?!
context: And it's being broadcast across the nation.\Well, the brain is the biggest eater of all the organs in the body.\And glucose is the only nourishment it can get.\In shogi, you need your brain firing on all cylinders.\And so, what is Souya...\He's supplementing the energy in his brain directly!\How many sugar cubes was that?!\And three slices of lemon?! response:	Citric acid to recover from fatigue and sugar for brain energy.
context: Well, the brain is the biggest eater of all the organs in the body.\And glucose is the only nourishment it can get.\In shogi, you need your brain firing on all cylinders.\And so, what is Souya...\He's supplementing the energy in his brain directly!\How many sugar cubes was that?!\And three slices of lemon?!\Citric acid to recover from fatigue and sugar for brain energy. response:	It's too straightforward! As expected from a Meijin!
context: And glucose is the only nourishment it can get.\In shogi, you need your brain firing on all cylinders.\And so, what is Souya...\He's supplementing the energy in his brain directly!\How many sugar cubes was that?!\And three slices of lemon?!\Citric acid to recover from fatigue and sugar for brain energy.\It's too straightforward! As expected from a Meijin! response:	WOW WOW SO COOL
context: In shogi, you need your brain firing on all cylinders.\And so, what is Souya...\He's supplementing the energy in his brain directly!\How many sugar cubes was that?!\And three slices of lemon?!\Citric acid to recover from fatigue and sugar for brain energy.\It's too straightforward! As expected from a Meijin!\WOW WOW SO COOL response:	It's so efficient.
context: And so, what is Souya...\He's supplementing the energy in his brain directly!\How many sugar cubes was that?!\And three slices of lemon?!\Citric acid to recover from fatigue and sugar for brain energy.\It's too straightforward! As expected from a Meijin!\WOW WOW SO COOL\It's so efficient. response:	These two are monsters! In more meanings that one...
context: He's supplementing the energy in his brain directly!\How many sugar cubes was that?!\And three slices of lemon?!\Citric acid to recover from fatigue and sugar for brain energy.\It's too straightforward! As expected from a Meijin!\WOW WOW SO COOL\It's so efficient.\These two are monsters! In more meanings that one... response:	That's what you're stuck on?
context: How many sugar cubes was that?!\And three slices of lemon?!\Citric acid to recover from fatigue and sugar for brain energy.\It's too straightforward! As expected from a Meijin!\WOW WOW SO COOL\It's so efficient.\These two are monsters! In more meanings that one...\That's what you're stuck on? response:	SHOGI HALL
context: And three slices of lemon?!\Citric acid to recover from fatigue and sugar for brain energy.\It's too straightforward! As expected from a Meijin!\WOW WOW SO COOL\It's so efficient.\These two are monsters! In more meanings that one...\That's what you're stuck on?\SHOGI HALL response:	Wow.
context: Citric acid to recover from fatigue and sugar for brain energy.\It's too straightforward! As expected from a Meijin!\WOW WOW SO COOL\It's so efficient.\These two are monsters! In more meanings that one...\That's what you're stuck on?\SHOGI HALL\Wow. response:	Three pieces of cake, wolfed down.
context: It's too straightforward! As expected from a Meijin!\WOW WOW SO COOL\It's so efficient.\These two are monsters! In more meanings that one...\That's what you're stuck on?\SHOGI HALL\Wow.\Three pieces of cake, wolfed down. response:	Kuma has some appetite.
context: WOW WOW SO COOL\It's so efficient.\These two are monsters! In more meanings that one...\That's what you're stuck on?\SHOGI HALL\Wow.\Three pieces of cake, wolfed down.\Kuma has some appetite. response:	He's already famous for it on these tournament broadcasts.
context: It's so efficient.\These two are monsters! In more meanings that one...\That's what you're stuck on?\SHOGI HALL\Wow.\Three pieces of cake, wolfed down.\Kuma has some appetite.\He's already famous for it on these tournament broadcasts. response:	That appetite of his.
context: These two are monsters! In more meanings that one...\That's what you're stuck on?\SHOGI HALL\Wow.\Three pieces of cake, wolfed down.\Kuma has some appetite.\He's already famous for it on these tournament broadcasts.\That appetite of his. response:	They always show the snack time.
context: That's what you're stuck on?\SHOGI HALL\Wow.\Three pieces of cake, wolfed down.\Kuma has some appetite.\He's already famous for it on these tournament broadcasts.\That appetite of his.\They always show the snack time. response:	And Kuma can put away the booze too.
context: SHOGI HALL\Wow.\Three pieces of cake, wolfed down.\Kuma has some appetite.\He's already famous for it on these tournament broadcasts.\That appetite of his.\They always show the snack time.\And Kuma can put away the booze too. response:	This is the man who ate cakes while emptying a bottle of sweet potato shochu.
context: Wow.\Three pieces of cake, wolfed down.\Kuma has some appetite.\He's already famous for it on these tournament broadcasts.\That appetite of his.\They always show the snack time.\And Kuma can put away the booze too.\This is the man who ate cakes while emptying a bottle of sweet potato shochu. response:	Does that even go together? I bet it doesn't!
context: Three pieces of cake, wolfed down.\Kuma has some appetite.\He's already famous for it on these tournament broadcasts.\That appetite of his.\They always show the snack time.\And Kuma can put away the booze too.\This is the man who ate cakes while emptying a bottle of sweet potato shochu.\Does that even go together? I bet it doesn't! response:	On the other hand, we've got Souya.
context: Kuma has some appetite.\He's already famous for it on these tournament broadcasts.\That appetite of his.\They always show the snack time.\And Kuma can put away the booze too.\This is the man who ate cakes while emptying a bottle of sweet potato shochu.\Does that even go together? I bet it doesn't!\On the other hand, we've got Souya. response:	Now there's a dull man.
context: He's already famous for it on these tournament broadcasts.\That appetite of his.\They always show the snack time.\And Kuma can put away the booze too.\This is the man who ate cakes while emptying a bottle of sweet potato shochu.\Does that even go together? I bet it doesn't!\On the other hand, we've got Souya.\Now there's a dull man. response:	You thought they were sugar cubes, didn't you?
context: That appetite of his.\They always show the snack time.\And Kuma can put away the booze too.\This is the man who ate cakes while emptying a bottle of sweet potato shochu.\Does that even go together? I bet it doesn't!\On the other hand, we've got Souya.\Now there's a dull man.\You thought they were sugar cubes, didn't you? response:	They aren't?
context: They always show the snack time.\And Kuma can put away the booze too.\This is the man who ate cakes while emptying a bottle of sweet potato shochu.\Does that even go together? I bet it doesn't!\On the other hand, we've got Souya.\Now there's a dull man.\You thought they were sugar cubes, didn't you?\They aren't? response:	Pure glucose.
context: And Kuma can put away the booze too.\This is the man who ate cakes while emptying a bottle of sweet potato shochu.\Does that even go together? I bet it doesn't!\On the other hand, we've got Souya.\Now there's a dull man.\You thought they were sugar cubes, didn't you?\They aren't?\Pure glucose. response:	What the hell? Then he's just feeding his brain.
context: This is the man who ate cakes while emptying a bottle of sweet potato shochu.\Does that even go together? I bet it doesn't!\On the other hand, we've got Souya.\Now there's a dull man.\You thought they were sugar cubes, didn't you?\They aren't?\Pure glucose.\What the hell? Then he's just feeding his brain. response:	How bland can you get?
context: Does that even go together? I bet it doesn't!\On the other hand, we've got Souya.\Now there's a dull man.\You thought they were sugar cubes, didn't you?\They aren't?\Pure glucose.\What the hell? Then he's just feeding his brain.\How bland can you get? response:	Although that's just like him.
context: On the other hand, we've got Souya.\Now there's a dull man.\You thought they were sugar cubes, didn't you?\They aren't?\Pure glucose.\What the hell? Then he's just feeding his brain.\How bland can you get?\Although that's just like him. response:	I guess they sell that now, in soft cubed form.
context: Now there's a dull man.\You thought they were sugar cubes, didn't you?\They aren't?\Pure glucose.\What the hell? Then he's just feeding his brain.\How bland can you get?\Although that's just like him.\I guess they sell that now, in soft cubed form. response:	At drug stores and convenience stores.
context: You thought they were sugar cubes, didn't you?\They aren't?\Pure glucose.\What the hell? Then he's just feeding his brain.\How bland can you get?\Although that's just like him.\I guess they sell that now, in soft cubed form.\At drug stores and convenience stores. response:	You know a lot about it.
context: They aren't?\Pure glucose.\What the hell? Then he's just feeding his brain.\How bland can you get?\Although that's just like him.\I guess they sell that now, in soft cubed form.\At drug stores and convenience stores.\You know a lot about it. response:	Souya asked me to pick some up, when we were in Kyoto.
context: Pure glucose.\What the hell? Then he's just feeding his brain.\How bland can you get?\Although that's just like him.\I guess they sell that now, in soft cubed form.\At drug stores and convenience stores.\You know a lot about it.\Souya asked me to pick some up, when we were in Kyoto. response:	He said he ate what he had, and asked me to get more.
context: What the hell? Then he's just feeding his brain.\How bland can you get?\Although that's just like him.\I guess they sell that now, in soft cubed form.\At drug stores and convenience stores.\You know a lot about it.\Souya asked me to pick some up, when we were in Kyoto.\He said he ate what he had, and asked me to get more. response:	Kyoto? Oh, the Lion King Tournament.
context: How bland can you get?\Although that's just like him.\I guess they sell that now, in soft cubed form.\At drug stores and convenience stores.\You know a lot about it.\Souya asked me to pick some up, when we were in Kyoto.\He said he ate what he had, and asked me to get more.\Kyoto? Oh, the Lion King Tournament. response:	With Shimada...
context: Although that's just like him.\I guess they sell that now, in soft cubed form.\At drug stores and convenience stores.\You know a lot about it.\Souya asked me to pick some up, when we were in Kyoto.\He said he ate what he had, and asked me to get more.\Kyoto? Oh, the Lion King Tournament.\With Shimada... response:	He must have used a lot of brain power and stamina to take down Shimada.
context: I guess they sell that now, in soft cubed form.\At drug stores and convenience stores.\You know a lot about it.\Souya asked me to pick some up, when we were in Kyoto.\He said he ate what he had, and asked me to get more.\Kyoto? Oh, the Lion King Tournament.\With Shimada...\He must have used a lot of brain power and stamina to take down Shimada. response:	Although at 4-0, he made it look easy.
context: At drug stores and convenience stores.\You know a lot about it.\Souya asked me to pick some up, when we were in Kyoto.\He said he ate what he had, and asked me to get more.\Kyoto? Oh, the Lion King Tournament.\With Shimada...\He must have used a lot of brain power and stamina to take down Shimada.\Although at 4-0, he made it look easy. response:	I guess even the title-holder is desperate.
context: You know a lot about it.\Souya asked me to pick some up, when we were in Kyoto.\He said he ate what he had, and asked me to get more.\Kyoto? Oh, the Lion King Tournament.\With Shimada...\He must have used a lot of brain power and stamina to take down Shimada.\Although at 4-0, he made it look easy.\I guess even the title-holder is desperate. response:	69th Meijin Battle Second Match End
context: Souya asked me to pick some up, when we were in Kyoto.\He said he ate what he had, and asked me to get more.\Kyoto? Oh, the Lion King Tournament.\With Shimada...\He must have used a lot of brain power and stamina to take down Shimada.\Although at 4-0, he made it look easy.\I guess even the title-holder is desperate.\69th Meijin Battle Second Match End response:	So the brain is the biggest eater, huh?
context: He said he ate what he had, and asked me to get more.\Kyoto? Oh, the Lion King Tournament.\With Shimada...\He must have used a lot of brain power and stamina to take down Shimada.\Although at 4-0, he made it look easy.\I guess even the title-holder is desperate.\69th Meijin Battle Second Match End\So the brain is the biggest eater, huh? response:	Oh, Kiriyama. Do you know what ramune is made of?
context: Kyoto? Oh, the Lion King Tournament.\With Shimada...\He must have used a lot of brain power and stamina to take down Shimada.\Although at 4-0, he made it look easy.\I guess even the title-holder is desperate.\69th Meijin Battle Second Match End\So the brain is the biggest eater, huh?\Oh, Kiriyama. Do you know what ramune is made of? response:	Huh? Uh, no.
context: With Shimada...\He must have used a lot of brain power and stamina to take down Shimada.\Although at 4-0, he made it look easy.\I guess even the title-holder is desperate.\69th Meijin Battle Second Match End\So the brain is the biggest eater, huh?\Oh, Kiriyama. Do you know what ramune is made of?\Huh? Uh, no. response:	Glucose and starch.
context: He must have used a lot of brain power and stamina to take down Shimada.\Although at 4-0, he made it look easy.\I guess even the title-holder is desperate.\69th Meijin Battle Second Match End\So the brain is the biggest eater, huh?\Oh, Kiriyama. Do you know what ramune is made of?\Huh? Uh, no.\Glucose and starch. response:	Glucose?
context: Although at 4-0, he made it look easy.\I guess even the title-holder is desperate.\69th Meijin Battle Second Match End\So the brain is the biggest eater, huh?\Oh, Kiriyama. Do you know what ramune is made of?\Huh? Uh, no.\Glucose and starch.\Glucose? response:	And it's easy to make. Would you like to try making some?
context: I guess even the title-holder is desperate.\69th Meijin Battle Second Match End\So the brain is the biggest eater, huh?\Oh, Kiriyama. Do you know what ramune is made of?\Huh? Uh, no.\Glucose and starch.\Glucose?\And it's easy to make. Would you like to try making some? response:	The first day's broadcast is over anyway.
context: 69th Meijin Battle Second Match End\So the brain is the biggest eater, huh?\Oh, Kiriyama. Do you know what ramune is made of?\Huh? Uh, no.\Glucose and starch.\Glucose?\And it's easy to make. Would you like to try making some?\The first day's broadcast is over anyway. response:	We should have some ingredients left over.
context: So the brain is the biggest eater, huh?\Oh, Kiriyama. Do you know what ramune is made of?\Huh? Uh, no.\Glucose and starch.\Glucose?\And it's easy to make. Would you like to try making some?\The first day's broadcast is over anyway.\We should have some ingredients left over. response:	Why do we have that?
context: Oh, Kiriyama. Do you know what ramune is made of?\Huh? Uh, no.\Glucose and starch.\Glucose?\And it's easy to make. Would you like to try making some?\The first day's broadcast is over anyway.\We should have some ingredients left over.\Why do we have that? response:	We did an experimental food sampler for last year's bazaar.
context: Huh? Uh, no.\Glucose and starch.\Glucose?\And it's easy to make. Would you like to try making some?\The first day's broadcast is over anyway.\We should have some ingredients left over.\Why do we have that?\We did an experimental food sampler for last year's bazaar. response:	Between natto, rice, and tear grass tea...
context: Glucose and starch.\Glucose?\And it's easy to make. Would you like to try making some?\The first day's broadcast is over anyway.\We should have some ingredients left over.\Why do we have that?\We did an experimental food sampler for last year's bazaar.\Between natto, rice, and tear grass tea... response:	I swear, all you guys do is eat.
context: Glucose?\And it's easy to make. Would you like to try making some?\The first day's broadcast is over anyway.\We should have some ingredients left over.\Why do we have that?\We did an experimental food sampler for last year's bazaar.\Between natto, rice, and tear grass tea...\I swear, all you guys do is eat. response:	It's science. All part of science.
context: And it's easy to make. Would you like to try making some?\The first day's broadcast is over anyway.\We should have some ingredients left over.\Why do we have that?\We did an experimental food sampler for last year's bazaar.\Between natto, rice, and tear grass tea...\I swear, all you guys do is eat.\It's science. All part of science. response:	TODAY'S SCIENCE
context: The first day's broadcast is over anyway.\We should have some ingredients left over.\Why do we have that?\We did an experimental food sampler for last year's bazaar.\Between natto, rice, and tear grass tea...\I swear, all you guys do is eat.\It's science. All part of science.\TODAY'S SCIENCE response:	Science in 20 Minutes
context: We should have some ingredients left over.\Why do we have that?\We did an experimental food sampler for last year's bazaar.\Between natto, rice, and tear grass tea...\I swear, all you guys do is eat.\It's science. All part of science.\TODAY'S SCIENCE\Science in 20 Minutes response:	Homemade Ramune
context: Why do we have that?\We did an experimental food sampler for last year's bazaar.\Between natto, rice, and tear grass tea...\I swear, all you guys do is eat.\It's science. All part of science.\TODAY'S SCIENCE\Science in 20 Minutes\Homemade Ramune response:	First, you sift finely-crushed glucose.
context: We did an experimental food sampler for last year's bazaar.\Between natto, rice, and tear grass tea...\I swear, all you guys do is eat.\It's science. All part of science.\TODAY'S SCIENCE\Science in 20 Minutes\Homemade Ramune\First, you sift finely-crushed glucose. response:	Then you put potato starch and water in a beaker.
context: Between natto, rice, and tear grass tea...\I swear, all you guys do is eat.\It's science. All part of science.\TODAY'S SCIENCE\Science in 20 Minutes\Homemade Ramune\First, you sift finely-crushed glucose.\Then you put potato starch and water in a beaker. response:	But only that would be bland, so let's add some citric acid.
context: I swear, all you guys do is eat.\It's science. All part of science.\TODAY'S SCIENCE\Science in 20 Minutes\Homemade Ramune\First, you sift finely-crushed glucose.\Then you put potato starch and water in a beaker.\But only that would be bland, so let's add some citric acid. response:	A sour flavor is refreshing in your mouth.
context: It's science. All part of science.\TODAY'S SCIENCE\Science in 20 Minutes\Homemade Ramune\First, you sift finely-crushed glucose.\Then you put potato starch and water in a beaker.\But only that would be bland, so let's add some citric acid.\A sour flavor is refreshing in your mouth. response:	And citric acid is also effective against fatigue.
context: TODAY'S SCIENCE\Science in 20 Minutes\Homemade Ramune\First, you sift finely-crushed glucose.\Then you put potato starch and water in a beaker.\But only that would be bland, so let's add some citric acid.\A sour flavor is refreshing in your mouth.\And citric acid is also effective against fatigue. response:	LITTLE BIT
context: Science in 20 Minutes\Homemade Ramune\First, you sift finely-crushed glucose.\Then you put potato starch and water in a beaker.\But only that would be bland, so let's add some citric acid.\A sour flavor is refreshing in your mouth.\And citric acid is also effective against fatigue.\LITTLE BIT response:	Then you mix it and heat it up a bit.
context: Homemade Ramune\First, you sift finely-crushed glucose.\Then you put potato starch and water in a beaker.\But only that would be bland, so let's add some citric acid.\A sour flavor is refreshing in your mouth.\And citric acid is also effective against fatigue.\LITTLE BIT\Then you mix it and heat it up a bit. response:	That's all the citric acid you need?
context: First, you sift finely-crushed glucose.\Then you put potato starch and water in a beaker.\But only that would be bland, so let's add some citric acid.\A sour flavor is refreshing in your mouth.\And citric acid is also effective against fatigue.\LITTLE BIT\Then you mix it and heat it up a bit.\That's all the citric acid you need? response:	Even a miniscule amount like this is extremely sour.
context: Then you put potato starch and water in a beaker.\But only that would be bland, so let's add some citric acid.\A sour flavor is refreshing in your mouth.\And citric acid is also effective against fatigue.\LITTLE BIT\Then you mix it and heat it up a bit.\That's all the citric acid you need?\Even a miniscule amount like this is extremely sour. response:	After that, you mix in the glucose little by little.
context: But only that would be bland, so let's add some citric acid.\A sour flavor is refreshing in your mouth.\And citric acid is also effective against fatigue.\LITTLE BIT\Then you mix it and heat it up a bit.\That's all the citric acid you need?\Even a miniscule amount like this is extremely sour.\After that, you mix in the glucose little by little. response:	GLUCOSE
context: A sour flavor is refreshing in your mouth.\And citric acid is also effective against fatigue.\LITTLE BIT\Then you mix it and heat it up a bit.\That's all the citric acid you need?\Even a miniscule amount like this is extremely sour.\After that, you mix in the glucose little by little.\GLUCOSE response:	Knead it, knead it, and squeeze it!
context: And citric acid is also effective against fatigue.\LITTLE BIT\Then you mix it and heat it up a bit.\That's all the citric acid you need?\Even a miniscule amount like this is extremely sour.\After that, you mix in the glucose little by little.\GLUCOSE\Knead it, knead it, and squeeze it! response:	And we're done!
context: LITTLE BIT\Then you mix it and heat it up a bit.\That's all the citric acid you need?\Even a miniscule amount like this is extremely sour.\After that, you mix in the glucose little by little.\GLUCOSE\Knead it, knead it, and squeeze it!\And we're done! response:	BOOM
context: Then you mix it and heat it up a bit.\That's all the citric acid you need?\Even a miniscule amount like this is extremely sour.\After that, you mix in the glucose little by little.\GLUCOSE\Knead it, knead it, and squeeze it!\And we're done!\BOOM response:	- What? - Already?
context: That's all the citric acid you need?\Even a miniscule amount like this is extremely sour.\After that, you mix in the glucose little by little.\GLUCOSE\Knead it, knead it, and squeeze it!\And we're done!\BOOM\- What? - Already? response:	Slice it into small pieces like this,
context: Even a miniscule amount like this is extremely sour.\After that, you mix in the glucose little by little.\GLUCOSE\Knead it, knead it, and squeeze it!\And we're done!\BOOM\- What? - Already?\Slice it into small pieces like this, response:	let it dry naturally, and it's ready to eat.
context: After that, you mix in the glucose little by little.\GLUCOSE\Knead it, knead it, and squeeze it!\And we're done!\BOOM\- What? - Already?\Slice it into small pieces like this,\let it dry naturally, and it's ready to eat. response:	It hasn't hardened yet, but go ahead.
context: GLUCOSE\Knead it, knead it, and squeeze it!\And we're done!\BOOM\- What? - Already?\Slice it into small pieces like this,\let it dry naturally, and it's ready to eat.\It hasn't hardened yet, but go ahead. response:	It really is ramune.
context: Knead it, knead it, and squeeze it!\And we're done!\BOOM\- What? - Already?\Slice it into small pieces like this,\let it dry naturally, and it's ready to eat.\It hasn't hardened yet, but go ahead.\It really is ramune. response:	Wow! So this is how ramune is made!
context: And we're done!\BOOM\- What? - Already?\Slice it into small pieces like this,\let it dry naturally, and it's ready to eat.\It hasn't hardened yet, but go ahead.\It really is ramune.\Wow! So this is how ramune is made! response:	Your delightful surprise makes the experiment worthwhile, Kiriyama.
context: BOOM\- What? - Already?\Slice it into small pieces like this,\let it dry naturally, and it's ready to eat.\It hasn't hardened yet, but go ahead.\It really is ramune.\Wow! So this is how ramune is made!\Your delightful surprise makes the experiment worthwhile, Kiriyama. response:	WOW
context: - What? - Already?\Slice it into small pieces like this,\let it dry naturally, and it's ready to eat.\It hasn't hardened yet, but go ahead.\It really is ramune.\Wow! So this is how ramune is made!\Your delightful surprise makes the experiment worthwhile, Kiriyama.\WOW response:	WOW COOL
context: Slice it into small pieces like this,\let it dry naturally, and it's ready to eat.\It hasn't hardened yet, but go ahead.\It really is ramune.\Wow! So this is how ramune is made!\Your delightful surprise makes the experiment worthwhile, Kiriyama.\WOW\WOW COOL response:	WOW COOL WOW
context: let it dry naturally, and it's ready to eat.\It hasn't hardened yet, but go ahead.\It really is ramune.\Wow! So this is how ramune is made!\Your delightful surprise makes the experiment worthwhile, Kiriyama.\WOW\WOW COOL\WOW COOL WOW response:	Well, shall we make some with baking soda, too?
context: It hasn't hardened yet, but go ahead.\It really is ramune.\Wow! So this is how ramune is made!\Your delightful surprise makes the experiment worthwhile, Kiriyama.\WOW\WOW COOL\WOW COOL WOW\Well, shall we make some with baking soda, too? response:	Baking soda?
context: It really is ramune.\Wow! So this is how ramune is made!\Your delightful surprise makes the experiment worthwhile, Kiriyama.\WOW\WOW COOL\WOW COOL WOW\Well, shall we make some with baking soda, too?\Baking soda? response:	Sodium bicarbonate. It's carbonic acid.
context: Wow! So this is how ramune is made!\Your delightful surprise makes the experiment worthwhile, Kiriyama.\WOW\WOW COOL\WOW COOL WOW\Well, shall we make some with baking soda, too?\Baking soda?\Sodium bicarbonate. It's carbonic acid. response:	We can make it fizzy like cola.
context: Your delightful surprise makes the experiment worthwhile, Kiriyama.\WOW\WOW COOL\WOW COOL WOW\Well, shall we make some with baking soda, too?\Baking soda?\Sodium bicarbonate. It's carbonic acid.\We can make it fizzy like cola. response:	Can I try making some?
context: WOW\WOW COOL\WOW COOL WOW\Well, shall we make some with baking soda, too?\Baking soda?\Sodium bicarbonate. It's carbonic acid.\We can make it fizzy like cola.\Can I try making some? response:	Go right ahead.
context: WOW COOL\WOW COOL WOW\Well, shall we make some with baking soda, too?\Baking soda?\Sodium bicarbonate. It's carbonic acid.\We can make it fizzy like cola.\Can I try making some?\Go right ahead. response:	Very nice, Kiriyama.
context: WOW COOL WOW\Well, shall we make some with baking soda, too?\Baking soda?\Sodium bicarbonate. It's carbonic acid.\We can make it fizzy like cola.\Can I try making some?\Go right ahead.\Very nice, Kiriyama. response:	It seems you've come to appreciate the wonders of science.
context: Well, shall we make some with baking soda, too?\Baking soda?\Sodium bicarbonate. It's carbonic acid.\We can make it fizzy like cola.\Can I try making some?\Go right ahead.\Very nice, Kiriyama.\It seems you've come to appreciate the wonders of science. response:	This is science?
context: Baking soda?\Sodium bicarbonate. It's carbonic acid.\We can make it fizzy like cola.\Can I try making some?\Go right ahead.\Very nice, Kiriyama.\It seems you've come to appreciate the wonders of science.\This is science? response:	Of course. What else would it be?
context: Sodium bicarbonate. It's carbonic acid.\We can make it fizzy like cola.\Can I try making some?\Go right ahead.\Very nice, Kiriyama.\It seems you've come to appreciate the wonders of science.\This is science?\Of course. What else would it be? response:	There you go. Oh, don't put in too much water.
context: We can make it fizzy like cola.\Can I try making some?\Go right ahead.\Very nice, Kiriyama.\It seems you've come to appreciate the wonders of science.\This is science?\Of course. What else would it be?\There you go. Oh, don't put in too much water. response:	There it is. Now mix, mix...
context: Can I try making some?\Go right ahead.\Very nice, Kiriyama.\It seems you've come to appreciate the wonders of science.\This is science?\Of course. What else would it be?\There you go. Oh, don't put in too much water.\There it is. Now mix, mix... response:	Um, about this much?
context: Go right ahead.\Very nice, Kiriyama.\It seems you've come to appreciate the wonders of science.\This is science?\Of course. What else would it be?\There you go. Oh, don't put in too much water.\There it is. Now mix, mix...\Um, about this much? response:	Kiriyama, are you actually clumsy with this stuff?
context: Very nice, Kiriyama.\It seems you've come to appreciate the wonders of science.\This is science?\Of course. What else would it be?\There you go. Oh, don't put in too much water.\There it is. Now mix, mix...\Um, about this much?\Kiriyama, are you actually clumsy with this stuff? response:	CITRIC ACID
context: It seems you've come to appreciate the wonders of science.\This is science?\Of course. What else would it be?\There you go. Oh, don't put in too much water.\There it is. Now mix, mix...\Um, about this much?\Kiriyama, are you actually clumsy with this stuff?\CITRIC ACID response:	That might be a little too much.
context: This is science?\Of course. What else would it be?\There you go. Oh, don't put in too much water.\There it is. Now mix, mix...\Um, about this much?\Kiriyama, are you actually clumsy with this stuff?\CITRIC ACID\That might be a little too much. response:	- H-Huh? - You can do it!
context: Of course. What else would it be?\There you go. Oh, don't put in too much water.\There it is. Now mix, mix...\Um, about this much?\Kiriyama, are you actually clumsy with this stuff?\CITRIC ACID\That might be a little too much.\- H-Huh? - You can do it! response:	Was that too much water?
context: There you go. Oh, don't put in too much water.\There it is. Now mix, mix...\Um, about this much?\Kiriyama, are you actually clumsy with this stuff?\CITRIC ACID\That might be a little too much.\- H-Huh? - You can do it!\Was that too much water? response:	Kiriyama, are you a little kid?
context: There it is. Now mix, mix...\Um, about this much?\Kiriyama, are you actually clumsy with this stuff?\CITRIC ACID\That might be a little too much.\- H-Huh? - You can do it!\Was that too much water?\Kiriyama, are you a little kid? response:	Why are both of your hands moving in the same direction?
context: Um, about this much?\Kiriyama, are you actually clumsy with this stuff?\CITRIC ACID\That might be a little too much.\- H-Huh? - You can do it!\Was that too much water?\Kiriyama, are you a little kid?\Why are both of your hands moving in the same direction? response:	I bet you can't draw a square with your right hand while drawing a triangle with your left hand.
context: Kiriyama, are you actually clumsy with this stuff?\CITRIC ACID\That might be a little too much.\- H-Huh? - You can do it!\Was that too much water?\Kiriyama, are you a little kid?\Why are both of your hands moving in the same direction?\I bet you can't draw a square with your right hand while drawing a triangle with your left hand. response:	I-I can do that!
context: CITRIC ACID\That might be a little too much.\- H-Huh? - You can do it!\Was that too much water?\Kiriyama, are you a little kid?\Why are both of your hands moving in the same direction?\I bet you can't draw a square with your right hand while drawing a triangle with your left hand.\I-I can do that! response:	Are you sure?
context: That might be a little too much.\- H-Huh? - You can do it!\Was that too much water?\Kiriyama, are you a little kid?\Why are both of your hands moving in the same direction?\I bet you can't draw a square with your right hand while drawing a triangle with your left hand.\I-I can do that!\Are you sure? response:	Don't worry, Kiriyama. All you have to do is add more glucose.
context: - H-Huh? - You can do it!\Was that too much water?\Kiriyama, are you a little kid?\Why are both of your hands moving in the same direction?\I bet you can't draw a square with your right hand while drawing a triangle with your left hand.\I-I can do that!\Are you sure?\Don't worry, Kiriyama. All you have to do is add more glucose. response:	- What? - You can save it yet.
