context: Board: Zange-chan Original CD Debut!! response:	TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.
context: Cool down, cool down!\If this goes on, I can't look at Nagi in the face.\I'm sorry!\Watch out!\Ji... Jin.\Na... Nagi.\Jin? I heard that Nagi-san's back!\You should've called me... response:	I see...
context: If this goes on, I can't look at Nagi in the face.\I'm sorry!\Watch out!\Ji... Jin.\Na... Nagi.\Jin? I heard that Nagi-san's back!\You should've called me...\I see... response:	Hey! Wait, Tsugumi!
context: I'm sorry!\Watch out!\Ji... Jin.\Na... Nagi.\Jin? I heard that Nagi-san's back!\You should've called me...\I see...\Hey! Wait, Tsugumi! response:	I can explain this!
context: Watch out!\Ji... Jin.\Na... Nagi.\Jin? I heard that Nagi-san's back!\You should've called me...\I see...\Hey! Wait, Tsugumi!\I can explain this! response:	Get off of me now!
context: Ji... Jin.\Na... Nagi.\Jin? I heard that Nagi-san's back!\You should've called me...\I see...\Hey! Wait, Tsugumi!\I can explain this!\Get off of me now! response:	What explanation? Perverted Jin!
context: Na... Nagi.\Jin? I heard that Nagi-san's back!\You should've called me...\I see...\Hey! Wait, Tsugumi!\I can explain this!\Get off of me now!\What explanation? Perverted Jin! response:	Perverted human!
context: Jin? I heard that Nagi-san's back!\You should've called me...\I see...\Hey! Wait, Tsugumi!\I can explain this!\Get off of me now!\What explanation? Perverted Jin!\Perverted human! response:	Huh? Why?
context: You should've called me...\I see...\Hey! Wait, Tsugumi!\I can explain this!\Get off of me now!\What explanation? Perverted Jin!\Perverted human!\Huh? Why? response:	Why am I crying?
context: I see...\Hey! Wait, Tsugumi!\I can explain this!\Get off of me now!\What explanation? Perverted Jin!\Perverted human!\Huh? Why?\Why am I crying? response:	What are you doing, getting a free glimpse of me?!
context: Hey! Wait, Tsugumi!\I can explain this!\Get off of me now!\What explanation? Perverted Jin!\Perverted human!\Huh? Why?\Why am I crying?\What are you doing, getting a free glimpse of me?! response:	I didn't see anything.
context: I can explain this!\Get off of me now!\What explanation? Perverted Jin!\Perverted human!\Huh? Why?\Why am I crying?\What are you doing, getting a free glimpse of me?!\I didn't see anything. response:	Not the crucial parts.
context: Get off of me now!\What explanation? Perverted Jin!\Perverted human!\Huh? Why?\Why am I crying?\What are you doing, getting a free glimpse of me?!\I didn't see anything.\Not the crucial parts. response:	Say, he'll surely make fun of me if he saw these.
