context: Izanami no Mikoto. response:	Drawing on negative human emotions for strength,
context: Pitiful. What pathetic thinking.\If not for Isanami, I would take my time converting you.\Isanami? Is that the priestess?\I bet she's our leader's tool by now.\Take that back!\Mister, let's go now!\No. I will have her pay for slandering Isanami.\And how do you intend to do that? response:	Show me.
context: If not for Isanami, I would take my time converting you.\Isanami? Is that the priestess?\I bet she's our leader's tool by now.\Take that back!\Mister, let's go now!\No. I will have her pay for slandering Isanami.\And how do you intend to do that?\Show me. response:	Did she get bigger?
context: Isanami? Is that the priestess?\I bet she's our leader's tool by now.\Take that back!\Mister, let's go now!\No. I will have her pay for slandering Isanami.\And how do you intend to do that?\Show me.\Did she get bigger? response:	How absurd to think you can fight me hand to hand!
context: I bet she's our leader's tool by now.\Take that back!\Mister, let's go now!\No. I will have her pay for slandering Isanami.\And how do you intend to do that?\Show me.\Did she get bigger?\How absurd to think you can fight me hand to hand! response:	You're weak.
context: Take that back!\Mister, let's go now!\No. I will have her pay for slandering Isanami.\And how do you intend to do that?\Show me.\Did she get bigger?\How absurd to think you can fight me hand to hand!\You're weak. response:	Rokkon Shojo!
context: Mister, let's go now!\No. I will have her pay for slandering Isanami.\And how do you intend to do that?\Show me.\Did she get bigger?\How absurd to think you can fight me hand to hand!\You're weak.\Rokkon Shojo! response:	In the name of the gods and the spirits,
context: No. I will have her pay for slandering Isanami.\And how do you intend to do that?\Show me.\Did she get bigger?\How absurd to think you can fight me hand to hand!\You're weak.\Rokkon Shojo!\In the name of the gods and the spirits, response:	repent!
context: And how do you intend to do that?\Show me.\Did she get bigger?\How absurd to think you can fight me hand to hand!\You're weak.\Rokkon Shojo!\In the name of the gods and the spirits,\repent! response:	That's all?
context: Show me.\Did she get bigger?\How absurd to think you can fight me hand to hand!\You're weak.\Rokkon Shojo!\In the name of the gods and the spirits,\repent!\That's all? response:	Why? My fists have no effect.
context: Did she get bigger?\How absurd to think you can fight me hand to hand!\You're weak.\Rokkon Shojo!\In the name of the gods and the spirits,\repent!\That's all?\Why? My fists have no effect. response:	It's my turn!
context: How absurd to think you can fight me hand to hand!\You're weak.\Rokkon Shojo!\In the name of the gods and the spirits,\repent!\That's all?\Why? My fists have no effect.\It's my turn! response:	Seikai!
context: You're weak.\Rokkon Shojo!\In the name of the gods and the spirits,\repent!\That's all?\Why? My fists have no effect.\It's my turn!\Seikai! response:	Stay back, kid!
context: Rokkon Shojo!\In the name of the gods and the spirits,\repent!\That's all?\Why? My fists have no effect.\It's my turn!\Seikai!\Stay back, kid! response:	Benmaru!
context: In the name of the gods and the spirits,\repent!\That's all?\Why? My fists have no effect.\It's my turn!\Seikai!\Stay back, kid!\Benmaru! response:	We're not done yet, monk!
context: repent!\That's all?\Why? My fists have no effect.\It's my turn!\Seikai!\Stay back, kid!\Benmaru!\We're not done yet, monk! response:	Over already? You're pathetic.
context: That's all?\Why? My fists have no effect.\It's my turn!\Seikai!\Stay back, kid!\Benmaru!\We're not done yet, monk!\Over already? You're pathetic. response:	I must go.
context: Why? My fists have no effect.\It's my turn!\Seikai!\Stay back, kid!\Benmaru!\We're not done yet, monk!\Over already? You're pathetic.\I must go. response:	I must not let Isanami feel sad.
context: It's my turn!\Seikai!\Stay back, kid!\Benmaru!\We're not done yet, monk!\Over already? You're pathetic.\I must go.\I must not let Isanami feel sad. response:	I must...
context: Seikai!\Stay back, kid!\Benmaru!\We're not done yet, monk!\Over already? You're pathetic.\I must go.\I must not let Isanami feel sad.\I must... response:	Why? Do I lack faith?
context: Stay back, kid!\Benmaru!\We're not done yet, monk!\Over already? You're pathetic.\I must go.\I must not let Isanami feel sad.\I must...\Why? Do I lack faith? response:	Isanami, I am sorry.
context: Benmaru!\We're not done yet, monk!\Over already? You're pathetic.\I must go.\I must not let Isanami feel sad.\I must...\Why? Do I lack faith?\Isanami, I am sorry. response:	I cannot save you...
context: We're not done yet, monk!\Over already? You're pathetic.\I must go.\I must not let Isanami feel sad.\I must...\Why? Do I lack faith?\Isanami, I am sorry.\I cannot save you... response:	Saizo...
context: Over already? You're pathetic.\I must go.\I must not let Isanami feel sad.\I must...\Why? Do I lack faith?\Isanami, I am sorry.\I cannot save you...\Saizo... response:	Saizo, stop.
context: I must go.\I must not let Isanami feel sad.\I must...\Why? Do I lack faith?\Isanami, I am sorry.\I cannot save you...\Saizo...\Saizo, stop. response:	Please stop.
context: I must not let Isanami feel sad.\I must...\Why? Do I lack faith?\Isanami, I am sorry.\I cannot save you...\Saizo...\Saizo, stop.\Please stop. response:	You'll kill Saizo.
context: I must...\Why? Do I lack faith?\Isanami, I am sorry.\I cannot save you...\Saizo...\Saizo, stop.\Please stop.\You'll kill Saizo. response:	Isanami.
context: Why? Do I lack faith?\Isanami, I am sorry.\I cannot save you...\Saizo...\Saizo, stop.\Please stop.\You'll kill Saizo.\Isanami. response:	Didn't I tell you?
context: Isanami, I am sorry.\I cannot save you...\Saizo...\Saizo, stop.\Please stop.\You'll kill Saizo.\Isanami.\Didn't I tell you? response:	You'll die if you don't focus.
context: I cannot save you...\Saizo...\Saizo, stop.\Please stop.\You'll kill Saizo.\Isanami.\Didn't I tell you?\You'll die if you don't focus. response:	Stop!
context: Saizo...\Saizo, stop.\Please stop.\You'll kill Saizo.\Isanami.\Didn't I tell you?\You'll die if you don't focus.\Stop! response:	Don't hurt Saizo any more!
context: Saizo, stop.\Please stop.\You'll kill Saizo.\Isanami.\Didn't I tell you?\You'll die if you don't focus.\Stop!\Don't hurt Saizo any more! response:	This is all my fault.
context: Please stop.\You'll kill Saizo.\Isanami.\Didn't I tell you?\You'll die if you don't focus.\Stop!\Don't hurt Saizo any more!\This is all my fault. response:	Well, this is interesting.
context: You'll kill Saizo.\Isanami.\Didn't I tell you?\You'll die if you don't focus.\Stop!\Don't hurt Saizo any more!\This is all my fault.\Well, this is interesting. response:	Does your sadness awaken the power of the Kushimitama?
context: Isanami.\Didn't I tell you?\You'll die if you don't focus.\Stop!\Don't hurt Saizo any more!\This is all my fault.\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama? response:	Shunko!
context: Didn't I tell you?\You'll die if you don't focus.\Stop!\Don't hurt Saizo any more!\This is all my fault.\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko! response:	You're too slow.
context: You'll die if you don't focus.\Stop!\Don't hurt Saizo any more!\This is all my fault.\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\You're too slow. response:	Kasho Zanmai!
context: Stop!\Don't hurt Saizo any more!\This is all my fault.\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\You're too slow.\Kasho Zanmai! response:	No!
context: Don't hurt Saizo any more!\This is all my fault.\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\You're too slow.\Kasho Zanmai!\No! response:	That's right. This is all your fault.
context: This is all my fault.\Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\You're too slow.\Kasho Zanmai!\No!\That's right. This is all your fault. response:	If he had never met you,
context: Well, this is interesting.\Does your sadness awaken the power of the Kushimitama?\Shunko!\You're too slow.\Kasho Zanmai!\No!\That's right. This is all your fault.\If he had never met you, response:	or never had anything to do with you,
context: Does your sadness awaken the power of the Kushimitama?\Shunko!\You're too slow.\Kasho Zanmai!\No!\That's right. This is all your fault.\If he had never met you,\or never had anything to do with you, response:	this never would have happened to Saizo.
context: Shunko!\You're too slow.\Kasho Zanmai!\No!\That's right. This is all your fault.\If he had never met you,\or never had anything to do with you,\this never would have happened to Saizo. response:	My...
context: You're too slow.\Kasho Zanmai!\No!\That's right. This is all your fault.\If he had never met you,\or never had anything to do with you,\this never would have happened to Saizo.\My... response:	You hurt him.
context: Kasho Zanmai!\No!\That's right. This is all your fault.\If he had never met you,\or never had anything to do with you,\this never would have happened to Saizo.\My...\You hurt him. response:	Isanami, don't listen to him.
context: No!\That's right. This is all your fault.\If he had never met you,\or never had anything to do with you,\this never would have happened to Saizo.\My...\You hurt him.\Isanami, don't listen to him. response:	It's not just Saizo.
context: That's right. This is all your fault.\If he had never met you,\or never had anything to do with you,\this never would have happened to Saizo.\My...\You hurt him.\Isanami, don't listen to him.\It's not just Saizo. response:	All the other braves should have drawn their last breath by now.
context: If he had never met you,\or never had anything to do with you,\this never would have happened to Saizo.\My...\You hurt him.\Isanami, don't listen to him.\It's not just Saizo.\All the other braves should have drawn their last breath by now. response:	It's all your fault.
context: or never had anything to do with you,\this never would have happened to Saizo.\My...\You hurt him.\Isanami, don't listen to him.\It's not just Saizo.\All the other braves should have drawn their last breath by now.\It's all your fault. response:	Isanami...
context: this never would have happened to Saizo.\My...\You hurt him.\Isanami, don't listen to him.\It's not just Saizo.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami... response:	Good to see you all again.
context: My...\You hurt him.\Isanami, don't listen to him.\It's not just Saizo.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\Good to see you all again. response:	Don't tell me you thought I died at Izumo.
context: You hurt him.\Isanami, don't listen to him.\It's not just Saizo.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\Good to see you all again.\Don't tell me you thought I died at Izumo. response:	I'm not one to die so easily.
context: Isanami, don't listen to him.\It's not just Saizo.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\Good to see you all again.\Don't tell me you thought I died at Izumo.\I'm not one to die so easily. response:	I'm actually quite strong.
context: It's not just Saizo.\All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\Good to see you all again.\Don't tell me you thought I died at Izumo.\I'm not one to die so easily.\I'm actually quite strong. response:	I actually did everything I was paid to do.
context: All the other braves should have drawn their last breath by now.\It's all your fault.\Isanami...\Good to see you all again.\Don't tell me you thought I died at Izumo.\I'm not one to die so easily.\I'm actually quite strong.\I actually did everything I was paid to do. response:	I was just so tired of working for those morons,
context: It's all your fault.\Isanami...\Good to see you all again.\Don't tell me you thought I died at Izumo.\I'm not one to die so easily.\I'm actually quite strong.\I actually did everything I was paid to do.\I was just so tired of working for those morons, response:	so I thought it'd be easier to fake my death.
context: Isanami...\Good to see you all again.\Don't tell me you thought I died at Izumo.\I'm not one to die so easily.\I'm actually quite strong.\I actually did everything I was paid to do.\I was just so tired of working for those morons,\so I thought it'd be easier to fake my death. response:	You thought you defeated me, didn't you?
context: Good to see you all again.\Don't tell me you thought I died at Izumo.\I'm not one to die so easily.\I'm actually quite strong.\I actually did everything I was paid to do.\I was just so tired of working for those morons,\so I thought it'd be easier to fake my death.\You thought you defeated me, didn't you? response:	What a shame.
context: Don't tell me you thought I died at Izumo.\I'm not one to die so easily.\I'm actually quite strong.\I actually did everything I was paid to do.\I was just so tired of working for those morons,\so I thought it'd be easier to fake my death.\You thought you defeated me, didn't you?\What a shame. response:	Bet it hurt, though.
context: I'm not one to die so easily.\I'm actually quite strong.\I actually did everything I was paid to do.\I was just so tired of working for those morons,\so I thought it'd be easier to fake my death.\You thought you defeated me, didn't you?\What a shame.\Bet it hurt, though. response:	Well, enough excuses. Let's get on with it.
context: I'm actually quite strong.\I actually did everything I was paid to do.\I was just so tired of working for those morons,\so I thought it'd be easier to fake my death.\You thought you defeated me, didn't you?\What a shame.\Bet it hurt, though.\Well, enough excuses. Let's get on with it. response:	The Wail of Darkness
context: I actually did everything I was paid to do.\I was just so tired of working for those morons,\so I thought it'd be easier to fake my death.\You thought you defeated me, didn't you?\What a shame.\Bet it hurt, though.\Well, enough excuses. Let's get on with it.\The Wail of Darkness response:	The next episode of Brave 10 is The Wail of Darkness.
context: I was just so tired of working for those morons,\so I thought it'd be easier to fake my death.\You thought you defeated me, didn't you?\What a shame.\Bet it hurt, though.\Well, enough excuses. Let's get on with it.\The Wail of Darkness\The next episode of Brave 10 is The Wail of Darkness. response:	Bring it on!
