context: True Calendar year 71. response:	In this year, which would later come be known as the first year of the Third Galactic Empire,
context: I'll make them pay!\It's not safe here, run!\It's humanoid?\Commander! It's the primary strategic objective!\So, you failed, you punks... I told them so!\I'll drag out just the pilot.\I'll just need a second.\Work! Work! You're a robot, aren't you?! response:	I have to avenge Shoko! Please!
context: It's not safe here, run!\It's humanoid?\Commander! It's the primary strategic objective!\So, you failed, you punks... I told them so!\I'll drag out just the pilot.\I'll just need a second.\Work! Work! You're a robot, aren't you?!\I have to avenge Shoko! Please! response:	Work! Come on, work! Work, damn it!
context: It's humanoid?\Commander! It's the primary strategic objective!\So, you failed, you punks... I told them so!\I'll drag out just the pilot.\I'll just need a second.\Work! Work! You're a robot, aren't you?!\I have to avenge Shoko! Please!\Work! Come on, work! Work, damn it! response:	Crap!
context: Commander! It's the primary strategic objective!\So, you failed, you punks... I told them so!\I'll drag out just the pilot.\I'll just need a second.\Work! Work! You're a robot, aren't you?!\I have to avenge Shoko! Please!\Work! Come on, work! Work, damn it!\Crap! response:	This will spread the word...
context: So, you failed, you punks... I told them so!\I'll drag out just the pilot.\I'll just need a second.\Work! Work! You're a robot, aren't you?!\I have to avenge Shoko! Please!\Work! Come on, work! Work, damn it!\Crap!\This will spread the word... response:	Reports on the, sneak attack against JIOR by the Dorssian army are still spotty.
context: I'll drag out just the pilot.\I'll just need a second.\Work! Work! You're a robot, aren't you?!\I have to avenge Shoko! Please!\Work! Come on, work! Work, damn it!\Crap!\This will spread the word...\Reports on the, sneak attack against JIOR by the Dorssian army are still spotty. response:	The government is struggling to respond.
context: I'll just need a second.\Work! Work! You're a robot, aren't you?!\I have to avenge Shoko! Please!\Work! Come on, work! Work, damn it!\Crap!\This will spread the word...\Reports on the, sneak attack against JIOR by the Dorssian army are still spotty.\The government is struggling to respond. response:	It's getting pounded!
context: Work! Work! You're a robot, aren't you?!\I have to avenge Shoko! Please!\Work! Come on, work! Work, damn it!\Crap!\This will spread the word...\Reports on the, sneak attack against JIOR by the Dorssian army are still spotty.\The government is struggling to respond.\It's getting pounded! response:	Is that a JIOR machine?
context: I have to avenge Shoko! Please!\Work! Come on, work! Work, damn it!\Crap!\This will spread the word...\Reports on the, sneak attack against JIOR by the Dorssian army are still spotty.\The government is struggling to respond.\It's getting pounded!\Is that a JIOR machine? response:	What? Hey, this is-
context: Work! Come on, work! Work, damn it!\Crap!\This will spread the word...\Reports on the, sneak attack against JIOR by the Dorssian army are still spotty.\The government is struggling to respond.\It's getting pounded!\Is that a JIOR machine?\What? Hey, this is- response:	Don't you have any weapons?
context: Crap!\This will spread the word...\Reports on the, sneak attack against JIOR by the Dorssian army are still spotty.\The government is struggling to respond.\It's getting pounded!\Is that a JIOR machine?\What? Hey, this is-\Don't you have any weapons? response:	Come on, you're a weapon, aren't you?
context: This will spread the word...\Reports on the, sneak attack against JIOR by the Dorssian army are still spotty.\The government is struggling to respond.\It's getting pounded!\Is that a JIOR machine?\What? Hey, this is-\Don't you have any weapons?\Come on, you're a weapon, aren't you? response:	Am I beaten...?
context: Reports on the, sneak attack against JIOR by the Dorssian army are still spotty.\The government is struggling to respond.\It's getting pounded!\Is that a JIOR machine?\What? Hey, this is-\Don't you have any weapons?\Come on, you're a weapon, aren't you?\Am I beaten...? response:	Is this the end?
context: The government is struggling to respond.\It's getting pounded!\Is that a JIOR machine?\What? Hey, this is-\Don't you have any weapons?\Come on, you're a weapon, aren't you?\Am I beaten...?\Is this the end? response:	Dying without getting revenge?
context: It's getting pounded!\Is that a JIOR machine?\What? Hey, this is-\Don't you have any weapons?\Come on, you're a weapon, aren't you?\Am I beaten...?\Is this the end?\Dying without getting revenge? response:	I don't believe it...
context: Is that a JIOR machine?\What? Hey, this is-\Don't you have any weapons?\Come on, you're a weapon, aren't you?\Am I beaten...?\Is this the end?\Dying without getting revenge?\I don't believe it... response:	I'm sorry, Shoko...
context: What? Hey, this is-\Don't you have any weapons?\Come on, you're a weapon, aren't you?\Am I beaten...?\Is this the end?\Dying without getting revenge?\I don't believe it...\I'm sorry, Shoko... response:	I blew it again.
context: Don't you have any weapons?\Come on, you're a weapon, aren't you?\Am I beaten...?\Is this the end?\Dying without getting revenge?\I don't believe it...\I'm sorry, Shoko...\I blew it again. response:	You didn't go into it intending to win, did you?
context: Come on, you're a weapon, aren't you?\Am I beaten...?\Is this the end?\Dying without getting revenge?\I don't believe it...\I'm sorry, Shoko...\I blew it again.\You didn't go into it intending to win, did you? response:	I'm...
context: Am I beaten...?\Is this the end?\Dying without getting revenge?\I don't believe it...\I'm sorry, Shoko...\I blew it again.\You didn't go into it intending to win, did you?\I'm... response:	If you can't concede, you have to fight.
context: Is this the end?\Dying without getting revenge?\I don't believe it...\I'm sorry, Shoko...\I blew it again.\You didn't go into it intending to win, did you?\I'm...\If you can't concede, you have to fight. response:	I'm not giving in...
context: Dying without getting revenge?\I don't believe it...\I'm sorry, Shoko...\I blew it again.\You didn't go into it intending to win, did you?\I'm...\If you can't concede, you have to fight.\I'm not giving in... response:	So I'm fighting!
context: I don't believe it...\I'm sorry, Shoko...\I blew it again.\You didn't go into it intending to win, did you?\I'm...\If you can't concede, you have to fight.\I'm not giving in...\So I'm fighting! response:	It transformed?!
context: I'm sorry, Shoko...\I blew it again.\You didn't go into it intending to win, did you?\I'm...\If you can't concede, you have to fight.\I'm not giving in...\So I'm fighting!\It transformed?! response:	Its color and power are different, too!
context: I blew it again.\You didn't go into it intending to win, did you?\I'm...\If you can't concede, you have to fight.\I'm not giving in...\So I'm fighting!\It transformed?!\Its color and power are different, too! response:	We won't lose to a military that's never known war!
context: You didn't go into it intending to win, did you?\I'm...\If you can't concede, you have to fight.\I'm not giving in...\So I'm fighting!\It transformed?!\Its color and power are different, too!\We won't lose to a military that's never known war! response:	What the hell is that light?!
context: I'm...\If you can't concede, you have to fight.\I'm not giving in...\So I'm fighting!\It transformed?!\Its color and power are different, too!\We won't lose to a military that's never known war!\What the hell is that light?! response:	It's too fast?! Impossible!
context: If you can't concede, you have to fight.\I'm not giving in...\So I'm fighting!\It transformed?!\Its color and power are different, too!\We won't lose to a military that's never known war!\What the hell is that light?!\It's too fast?! Impossible! response:	What is it? What kind of light is that?
context: I'm not giving in...\So I'm fighting!\It transformed?!\Its color and power are different, too!\We won't lose to a military that's never known war!\What the hell is that light?!\It's too fast?! Impossible!\What is it? What kind of light is that? response:	We did it!
context: So I'm fighting!\It transformed?!\Its color and power are different, too!\We won't lose to a military that's never known war!\What the hell is that light?!\It's too fast?! Impossible!\What is it? What kind of light is that?\We did it! response:	Thermal limits exceeded. Systems shut down.
context: It transformed?!\Its color and power are different, too!\We won't lose to a military that's never known war!\What the hell is that light?!\It's too fast?! Impossible!\What is it? What kind of light is that?\We did it!\Thermal limits exceeded. Systems shut down. response:	It stopped...
context: Its color and power are different, too!\We won't lose to a military that's never known war!\What the hell is that light?!\It's too fast?! Impossible!\What is it? What kind of light is that?\We did it!\Thermal limits exceeded. Systems shut down.\It stopped... response:	It's Haruto!
context: We won't lose to a military that's never known war!\What the hell is that light?!\It's too fast?! Impossible!\What is it? What kind of light is that?\We did it!\Thermal limits exceeded. Systems shut down.\It stopped...\It's Haruto! response:	Seriously?!
context: What the hell is that light?!\It's too fast?! Impossible!\What is it? What kind of light is that?\We did it!\Thermal limits exceeded. Systems shut down.\It stopped...\It's Haruto!\Seriously?! response:	Who's that?
context: It's too fast?! Impossible!\What is it? What kind of light is that?\We did it!\Thermal limits exceeded. Systems shut down.\It stopped...\It's Haruto!\Seriously?!\Who's that? response:	He's in the class next door.
context: What is it? What kind of light is that?\We did it!\Thermal limits exceeded. Systems shut down.\It stopped...\It's Haruto!\Seriously?!\Who's that?\He's in the class next door. response:	Thanks, Haruto!
context: We did it!\Thermal limits exceeded. Systems shut down.\It stopped...\It's Haruto!\Seriously?!\Who's that?\He's in the class next door.\Thanks, Haruto! response:	That's the boy from this morning!
context: Thermal limits exceeded. Systems shut down.\It stopped...\It's Haruto!\Seriously?!\Who's that?\He's in the class next door.\Thanks, Haruto!\That's the boy from this morning! response:	I've seen him before somewhere...
context: It stopped...\It's Haruto!\Seriously?!\Who's that?\He's in the class next door.\Thanks, Haruto!\That's the boy from this morning!\I've seen him before somewhere... response:	It wasn't a movie?
context: It's Haruto!\Seriously?!\Who's that?\He's in the class next door.\Thanks, Haruto!\That's the boy from this morning!\I've seen him before somewhere...\It wasn't a movie? response:	Haruto!
context: Seriously?!\Who's that?\He's in the class next door.\Thanks, Haruto!\That's the boy from this morning!\I've seen him before somewhere...\It wasn't a movie?\Haruto! response:	Him and me, we're friends!
context: Who's that?\He's in the class next door.\Thanks, Haruto!\That's the boy from this morning!\I've seen him before somewhere...\It wasn't a movie?\Haruto!\Him and me, we're friends! response:	Thank goodness...
context: He's in the class next door.\Thanks, Haruto!\That's the boy from this morning!\I've seen him before somewhere...\It wasn't a movie?\Haruto!\Him and me, we're friends!\Thank goodness... response:	No way!
context: Thanks, Haruto!\That's the boy from this morning!\I've seen him before somewhere...\It wasn't a movie?\Haruto!\Him and me, we're friends!\Thank goodness...\No way! response:	That's a kid in there!
context: That's the boy from this morning!\I've seen him before somewhere...\It wasn't a movie?\Haruto!\Him and me, we're friends!\Thank goodness...\No way!\That's a kid in there! response:	It's not a soldier?
context: I've seen him before somewhere...\It wasn't a movie?\Haruto!\Him and me, we're friends!\Thank goodness...\No way!\That's a kid in there!\It's not a soldier? response:	Who is that?
context: It wasn't a movie?\Haruto!\Him and me, we're friends!\Thank goodness...\No way!\That's a kid in there!\It's not a soldier?\Who is that? response:	He's JIOR's secret weapon!
context: Haruto!\Him and me, we're friends!\Thank goodness...\No way!\That's a kid in there!\It's not a soldier?\Who is that?\He's JIOR's secret weapon! response:	They say he's a high-schooler!
context: Him and me, we're friends!\Thank goodness...\No way!\That's a kid in there!\It's not a soldier?\Who is that?\He's JIOR's secret weapon!\They say he's a high-schooler! response:	Why does he have a robot?
context: Thank goodness...\No way!\That's a kid in there!\It's not a soldier?\Who is that?\He's JIOR's secret weapon!\They say he's a high-schooler!\Why does he have a robot? response:	That's the guy who lost this morning!
context: No way!\That's a kid in there!\It's not a soldier?\Who is that?\He's JIOR's secret weapon!\They say he's a high-schooler!\Why does he have a robot?\That's the guy who lost this morning! response:	Way to go, Mr. Tokishima!
context: That's a kid in there!\It's not a soldier?\Who is that?\He's JIOR's secret weapon!\They say he's a high-schooler!\Why does he have a robot?\That's the guy who lost this morning!\Way to go, Mr. Tokishima! response:	Shoko...
context: It's not a soldier?\Who is that?\He's JIOR's secret weapon!\They say he's a high-schooler!\Why does he have a robot?\That's the guy who lost this morning!\Way to go, Mr. Tokishima!\Shoko... response:	Go ahead and laugh.
context: Who is that?\He's JIOR's secret weapon!\They say he's a high-schooler!\Why does he have a robot?\That's the guy who lost this morning!\Way to go, Mr. Tokishima!\Shoko...\Go ahead and laugh. response:	Just like you said, a world without winners and losers is a fantasy.
context: He's JIOR's secret weapon!\They say he's a high-schooler!\Why does he have a robot?\That's the guy who lost this morning!\Way to go, Mr. Tokishima!\Shoko...\Go ahead and laugh.\Just like you said, a world without winners and losers is a fantasy. response:	Who are you?
context: They say he's a high-schooler!\Why does he have a robot?\That's the guy who lost this morning!\Way to go, Mr. Tokishima!\Shoko...\Go ahead and laugh.\Just like you said, a world without winners and losers is a fantasy.\Who are you? response:	Captain L-elf, Dorssian Special Forces.
context: Why does he have a robot?\That's the guy who lost this morning!\Way to go, Mr. Tokishima!\Shoko...\Go ahead and laugh.\Just like you said, a world without winners and losers is a fantasy.\Who are you?\Captain L-elf, Dorssian Special Forces. response:	I won again...
context: That's the guy who lost this morning!\Way to go, Mr. Tokishima!\Shoko...\Go ahead and laugh.\Just like you said, a world without winners and losers is a fantasy.\Who are you?\Captain L-elf, Dorssian Special Forces.\I won again... response:	Next time, episode 2, Beyond 666.
context: Way to go, Mr. Tokishima!\Shoko...\Go ahead and laugh.\Just like you said, a world without winners and losers is a fantasy.\Who are you?\Captain L-elf, Dorssian Special Forces.\I won again...\Next time, episode 2, Beyond 666. response:	Valvrave the Liberator; it's the system to reveal the truth of the world.
