context: Hey, Umaru. response:	What kind of cake should we have for Christmas?
context: The thing is...\Take yer average ramen shop.\What if you order one bowl but you friggin' get TWO?\I sure feel lucky to have gotten two!\Thanks, that was great!\But you gotta pay for that other one, right?\Otherwise, the fault now lies with YOU!\Hold it right there! response:	Think about game arcades!
context: Take yer average ramen shop.\What if you order one bowl but you friggin' get TWO?\I sure feel lucky to have gotten two!\Thanks, that was great!\But you gotta pay for that other one, right?\Otherwise, the fault now lies with YOU!\Hold it right there!\Think about game arcades! response:	If I put in one coin but end up getting two prizes, they're both still mine!
context: What if you order one bowl but you friggin' get TWO?\I sure feel lucky to have gotten two!\Thanks, that was great!\But you gotta pay for that other one, right?\Otherwise, the fault now lies with YOU!\Hold it right there!\Think about game arcades!\If I put in one coin but end up getting two prizes, they're both still mine! response:	That's just the nature of the game, right?
context: I sure feel lucky to have gotten two!\Thanks, that was great!\But you gotta pay for that other one, right?\Otherwise, the fault now lies with YOU!\Hold it right there!\Think about game arcades!\If I put in one coin but end up getting two prizes, they're both still mine!\That's just the nature of the game, right? response:	And life is like a game, right?!
context: Thanks, that was great!\But you gotta pay for that other one, right?\Otherwise, the fault now lies with YOU!\Hold it right there!\Think about game arcades!\If I put in one coin but end up getting two prizes, they're both still mine!\That's just the nature of the game, right?\And life is like a game, right?! response:	Life is about goals and aimin' for the top!
context: But you gotta pay for that other one, right?\Otherwise, the fault now lies with YOU!\Hold it right there!\Think about game arcades!\If I put in one coin but end up getting two prizes, they're both still mine!\That's just the nature of the game, right?\And life is like a game, right?!\Life is about goals and aimin' for the top! response:	Life is Cannalad!
context: Otherwise, the fault now lies with YOU!\Hold it right there!\Think about game arcades!\If I put in one coin but end up getting two prizes, they're both still mine!\That's just the nature of the game, right?\And life is like a game, right?!\Life is about goals and aimin' for the top!\Life is Cannalad! response:	More to the point, why would Big Brother have prepared TWO envelopes?
context: Hold it right there!\Think about game arcades!\If I put in one coin but end up getting two prizes, they're both still mine!\That's just the nature of the game, right?\And life is like a game, right?!\Life is about goals and aimin' for the top!\Life is Cannalad!\More to the point, why would Big Brother have prepared TWO envelopes? response:	Yeah, he should only need one, right?
context: Think about game arcades!\If I put in one coin but end up getting two prizes, they're both still mine!\That's just the nature of the game, right?\And life is like a game, right?!\Life is about goals and aimin' for the top!\Life is Cannalad!\More to the point, why would Big Brother have prepared TWO envelopes?\Yeah, he should only need one, right? response:	That's true...
context: If I put in one coin but end up getting two prizes, they're both still mine!\That's just the nature of the game, right?\And life is like a game, right?!\Life is about goals and aimin' for the top!\Life is Cannalad!\More to the point, why would Big Brother have prepared TWO envelopes?\Yeah, he should only need one, right?\That's true... response:	Ah-ha! This whole time, something has felt off. Two envelopes... Big Brother spacing out...
context: That's just the nature of the game, right?\And life is like a game, right?!\Life is about goals and aimin' for the top!\Life is Cannalad!\More to the point, why would Big Brother have prepared TWO envelopes?\Yeah, he should only need one, right?\That's true...\Ah-ha! This whole time, something has felt off. Two envelopes... Big Brother spacing out... response:	It can only mean...!
context: And life is like a game, right?!\Life is about goals and aimin' for the top!\Life is Cannalad!\More to the point, why would Big Brother have prepared TWO envelopes?\Yeah, he should only need one, right?\That's true...\Ah-ha! This whole time, something has felt off. Two envelopes... Big Brother spacing out...\It can only mean...! response:	Can only mean?!
context: Life is about goals and aimin' for the top!\Life is Cannalad!\More to the point, why would Big Brother have prepared TWO envelopes?\Yeah, he should only need one, right?\That's true...\Ah-ha! This whole time, something has felt off. Two envelopes... Big Brother spacing out...\It can only mean...!\Can only mean?! response:	That he'd planned on giving two New Year's allowances all along!
context: Life is Cannalad!\More to the point, why would Big Brother have prepared TWO envelopes?\Yeah, he should only need one, right?\That's true...\Ah-ha! This whole time, something has felt off. Two envelopes... Big Brother spacing out...\It can only mean...!\Can only mean?!\That he'd planned on giving two New Year's allowances all along! response:	Guess I'll give her two this year.
context: More to the point, why would Big Brother have prepared TWO envelopes?\Yeah, he should only need one, right?\That's true...\Ah-ha! This whole time, something has felt off. Two envelopes... Big Brother spacing out...\It can only mean...!\Can only mean?!\That he'd planned on giving two New Year's allowances all along!\Guess I'll give her two this year. response:	Wh-what was that?!
context: Yeah, he should only need one, right?\That's true...\Ah-ha! This whole time, something has felt off. Two envelopes... Big Brother spacing out...\It can only mean...!\Can only mean?!\That he'd planned on giving two New Year's allowances all along!\Guess I'll give her two this year.\Wh-what was that?! response:	Big Brother...?
context: That's true...\Ah-ha! This whole time, something has felt off. Two envelopes... Big Brother spacing out...\It can only mean...!\Can only mean?!\That he'd planned on giving two New Year's allowances all along!\Guess I'll give her two this year.\Wh-what was that?!\Big Brother...? response:	Oh, Ebina.
context: Ah-ha! This whole time, something has felt off. Two envelopes... Big Brother spacing out...\It can only mean...!\Can only mean?!\That he'd planned on giving two New Year's allowances all along!\Guess I'll give her two this year.\Wh-what was that?!\Big Brother...?\Oh, Ebina. response:	Um, Happy New Year.
context: It can only mean...!\Can only mean?!\That he'd planned on giving two New Year's allowances all along!\Guess I'll give her two this year.\Wh-what was that?!\Big Brother...?\Oh, Ebina.\Um, Happy New Year. response:	Happy New Year.
context: Can only mean?!\That he'd planned on giving two New Year's allowances all along!\Guess I'll give her two this year.\Wh-what was that?!\Big Brother...?\Oh, Ebina.\Um, Happy New Year.\Happy New Year. response:	U-um, I hope I can be of help to you this year as well.
context: That he'd planned on giving two New Year's allowances all along!\Guess I'll give her two this year.\Wh-what was that?!\Big Brother...?\Oh, Ebina.\Um, Happy New Year.\Happy New Year.\U-um, I hope I can be of help to you this year as well. response:	Yeah, same here.
context: Guess I'll give her two this year.\Wh-what was that?!\Big Brother...?\Oh, Ebina.\Um, Happy New Year.\Happy New Year.\U-um, I hope I can be of help to you this year as well.\Yeah, same here. response:	Um-!
context: Wh-what was that?!\Big Brother...?\Oh, Ebina.\Um, Happy New Year.\Happy New Year.\U-um, I hope I can be of help to you this year as well.\Yeah, same here.\Um-! response:	U-um... i-is Umaru here?
context: Big Brother...?\Oh, Ebina.\Um, Happy New Year.\Happy New Year.\U-um, I hope I can be of help to you this year as well.\Yeah, same here.\Um-!\U-um... i-is Umaru here? response:	Yes, but... she's still asleep.
context: Oh, Ebina.\Um, Happy New Year.\Happy New Year.\U-um, I hope I can be of help to you this year as well.\Yeah, same here.\Um-!\U-um... i-is Umaru here?\Yes, but... she's still asleep. response:	Hey, I'm awake! These two are acting WEIRD!
context: Um, Happy New Year.\Happy New Year.\U-um, I hope I can be of help to you this year as well.\Yeah, same here.\Um-!\U-um... i-is Umaru here?\Yes, but... she's still asleep.\Hey, I'm awake! These two are acting WEIRD! response:	Oh! I have a New Year's gift for you.
context: Happy New Year.\U-um, I hope I can be of help to you this year as well.\Yeah, same here.\Um-!\U-um... i-is Umaru here?\Yes, but... she's still asleep.\Hey, I'm awake! These two are acting WEIRD!\Oh! I have a New Year's gift for you. response:	Huh?! N-no, I couldn't!
context: U-um, I hope I can be of help to you this year as well.\Yeah, same here.\Um-!\U-um... i-is Umaru here?\Yes, but... she's still asleep.\Hey, I'm awake! These two are acting WEIRD!\Oh! I have a New Year's gift for you.\Huh?! N-no, I couldn't! response:	It's no trouble. Hold on a second.
context: Yeah, same here.\Um-!\U-um... i-is Umaru here?\Yes, but... she's still asleep.\Hey, I'm awake! These two are acting WEIRD!\Oh! I have a New Year's gift for you.\Huh?! N-no, I couldn't!\It's no trouble. Hold on a second. response:	Let's see...
context: Um-!\U-um... i-is Umaru here?\Yes, but... she's still asleep.\Hey, I'm awake! These two are acting WEIRD!\Oh! I have a New Year's gift for you.\Huh?! N-no, I couldn't!\It's no trouble. Hold on a second.\Let's see... response:	Huh? That's strange. I put it right here, next to Umaru's.
context: U-um... i-is Umaru here?\Yes, but... she's still asleep.\Hey, I'm awake! These two are acting WEIRD!\Oh! I have a New Year's gift for you.\Huh?! N-no, I couldn't!\It's no trouble. Hold on a second.\Let's see...\Huh? That's strange. I put it right here, next to Umaru's. response:	La-la-laaa...
context: Yes, but... she's still asleep.\Hey, I'm awake! These two are acting WEIRD!\Oh! I have a New Year's gift for you.\Huh?! N-no, I couldn't!\It's no trouble. Hold on a second.\Let's see...\Huh? That's strange. I put it right here, next to Umaru's.\La-la-laaa... response:	Sorry it's not in an envelope.
context: Hey, I'm awake! These two are acting WEIRD!\Oh! I have a New Year's gift for you.\Huh?! N-no, I couldn't!\It's no trouble. Hold on a second.\Let's see...\Huh? That's strange. I put it right here, next to Umaru's.\La-la-laaa...\Sorry it's not in an envelope. response:	Ebina said she's going to check out the New Year's sales.
context: Oh! I have a New Year's gift for you.\Huh?! N-no, I couldn't!\It's no trouble. Hold on a second.\Let's see...\Huh? That's strange. I put it right here, next to Umaru's.\La-la-laaa...\Sorry it's not in an envelope.\Ebina said she's going to check out the New Year's sales. response:	O-oh.
context: Huh?! N-no, I couldn't!\It's no trouble. Hold on a second.\Let's see...\Huh? That's strange. I put it right here, next to Umaru's.\La-la-laaa...\Sorry it's not in an envelope.\Ebina said she's going to check out the New Year's sales.\O-oh. response:	Um, Big Brother? Let's talk about vending machines...
context: It's no trouble. Hold on a second.\Let's see...\Huh? That's strange. I put it right here, next to Umaru's.\La-la-laaa...\Sorry it's not in an envelope.\Ebina said she's going to check out the New Year's sales.\O-oh.\Um, Big Brother? Let's talk about vending machines... response:	Huh? Where did Taihei go?
context: Let's see...\Huh? That's strange. I put it right here, next to Umaru's.\La-la-laaa...\Sorry it's not in an envelope.\Ebina said she's going to check out the New Year's sales.\O-oh.\Um, Big Brother? Let's talk about vending machines...\Huh? Where did Taihei go? response:	He got called to the meeting room a little while ago.
context: Huh? That's strange. I put it right here, next to Umaru's.\La-la-laaa...\Sorry it's not in an envelope.\Ebina said she's going to check out the New Year's sales.\O-oh.\Um, Big Brother? Let's talk about vending machines...\Huh? Where did Taihei go?\He got called to the meeting room a little while ago. response:	The meeting room? That's unusual.
context: La-la-laaa...\Sorry it's not in an envelope.\Ebina said she's going to check out the New Year's sales.\O-oh.\Um, Big Brother? Let's talk about vending machines...\Huh? Where did Taihei go?\He got called to the meeting room a little while ago.\The meeting room? That's unusual. response:	He seemed quite happy, though.
context: Sorry it's not in an envelope.\Ebina said she's going to check out the New Year's sales.\O-oh.\Um, Big Brother? Let's talk about vending machines...\Huh? Where did Taihei go?\He got called to the meeting room a little while ago.\The meeting room? That's unusual.\He seemed quite happy, though. response:	Huh? Your brother said that?
context: Ebina said she's going to check out the New Year's sales.\O-oh.\Um, Big Brother? Let's talk about vending machines...\Huh? Where did Taihei go?\He got called to the meeting room a little while ago.\The meeting room? That's unusual.\He seemed quite happy, though.\Huh? Your brother said that? response:	Yeah. He gets all mad if I leave even a small mess.
context: O-oh.\Um, Big Brother? Let's talk about vending machines...\Huh? Where did Taihei go?\He got called to the meeting room a little while ago.\The meeting room? That's unusual.\He seemed quite happy, though.\Huh? Your brother said that?\Yeah. He gets all mad if I leave even a small mess. response:	By a small mess, does she mean...?
context: Um, Big Brother? Let's talk about vending machines...\Huh? Where did Taihei go?\He got called to the meeting room a little while ago.\The meeting room? That's unusual.\He seemed quite happy, though.\Huh? Your brother said that?\Yeah. He gets all mad if I leave even a small mess.\By a small mess, does she mean...? response:	Come on, Umaru, you need to put this away.
context: Huh? Where did Taihei go?\He got called to the meeting room a little while ago.\The meeting room? That's unusual.\He seemed quite happy, though.\Huh? Your brother said that?\Yeah. He gets all mad if I leave even a small mess.\By a small mess, does she mean...?\Come on, Umaru, you need to put this away. response:	It really was small.
context: He got called to the meeting room a little while ago.\The meeting room? That's unusual.\He seemed quite happy, though.\Huh? Your brother said that?\Yeah. He gets all mad if I leave even a small mess.\By a small mess, does she mean...?\Come on, Umaru, you need to put this away.\It really was small. response:	Umaru! I told you to clean up after yourself!
context: The meeting room? That's unusual.\He seemed quite happy, though.\Huh? Your brother said that?\Yeah. He gets all mad if I leave even a small mess.\By a small mess, does she mean...?\Come on, Umaru, you need to put this away.\It really was small.\Umaru! I told you to clean up after yourself! response:	He really is too strict.
context: He seemed quite happy, though.\Huh? Your brother said that?\Yeah. He gets all mad if I leave even a small mess.\By a small mess, does she mean...?\Come on, Umaru, you need to put this away.\It really was small.\Umaru! I told you to clean up after yourself!\He really is too strict. response:	Still...
context: Huh? Your brother said that?\Yeah. He gets all mad if I leave even a small mess.\By a small mess, does she mean...?\Come on, Umaru, you need to put this away.\It really was small.\Umaru! I told you to clean up after yourself!\He really is too strict.\Still... response:	he's a good listener, and he's really kind.
context: Yeah. He gets all mad if I leave even a small mess.\By a small mess, does she mean...?\Come on, Umaru, you need to put this away.\It really was small.\Umaru! I told you to clean up after yourself!\He really is too strict.\Still...\he's a good listener, and he's really kind. response:	Huh? A listener?
context: By a small mess, does she mean...?\Come on, Umaru, you need to put this away.\It really was small.\Umaru! I told you to clean up after yourself!\He really is too strict.\Still...\he's a good listener, and he's really kind.\Huh? A listener? response:	Ah! N-no, never mind.
context: Come on, Umaru, you need to put this away.\It really was small.\Umaru! I told you to clean up after yourself!\He really is too strict.\Still...\he's a good listener, and he's really kind.\Huh? A listener?\Ah! N-no, never mind. response:	Ebina sure is nice...
context: It really was small.\Umaru! I told you to clean up after yourself!\He really is too strict.\Still...\he's a good listener, and he's really kind.\Huh? A listener?\Ah! N-no, never mind.\Ebina sure is nice... response:	All Big Brother ever does is get mad!
context: Umaru! I told you to clean up after yourself!\He really is too strict.\Still...\he's a good listener, and he's really kind.\Huh? A listener?\Ah! N-no, never mind.\Ebina sure is nice...\All Big Brother ever does is get mad! response:	Still, that's not to say I'm entirely without fault...
context: He really is too strict.\Still...\he's a good listener, and he's really kind.\Huh? A listener?\Ah! N-no, never mind.\Ebina sure is nice...\All Big Brother ever does is get mad!\Still, that's not to say I'm entirely without fault... response:	Huh? It turns out Big Brother is SUPER nice!
context: Still...\he's a good listener, and he's really kind.\Huh? A listener?\Ah! N-no, never mind.\Ebina sure is nice...\All Big Brother ever does is get mad!\Still, that's not to say I'm entirely without fault...\Huh? It turns out Big Brother is SUPER nice! response:	On the other hand, I'm just...
context: he's a good listener, and he's really kind.\Huh? A listener?\Ah! N-no, never mind.\Ebina sure is nice...\All Big Brother ever does is get mad!\Still, that's not to say I'm entirely without fault...\Huh? It turns out Big Brother is SUPER nice!\On the other hand, I'm just... response:	Get me some cola and potato chips. Oh, and more manga, okay?
context: Huh? A listener?\Ah! N-no, never mind.\Ebina sure is nice...\All Big Brother ever does is get mad!\Still, that's not to say I'm entirely without fault...\Huh? It turns out Big Brother is SUPER nice!\On the other hand, I'm just...\Get me some cola and potato chips. Oh, and more manga, okay? response:	Yup, I ate yours too!
context: Ah! N-no, never mind.\Ebina sure is nice...\All Big Brother ever does is get mad!\Still, that's not to say I'm entirely without fault...\Huh? It turns out Big Brother is SUPER nice!\On the other hand, I'm just...\Get me some cola and potato chips. Oh, and more manga, okay?\Yup, I ate yours too! response:	Come on! Just one more billing charge!
context: Ebina sure is nice...\All Big Brother ever does is get mad!\Still, that's not to say I'm entirely without fault...\Huh? It turns out Big Brother is SUPER nice!\On the other hand, I'm just...\Get me some cola and potato chips. Oh, and more manga, okay?\Yup, I ate yours too!\Come on! Just one more billing charge! response:	I might... actually be selfish!
context: All Big Brother ever does is get mad!\Still, that's not to say I'm entirely without fault...\Huh? It turns out Big Brother is SUPER nice!\On the other hand, I'm just...\Get me some cola and potato chips. Oh, and more manga, okay?\Yup, I ate yours too!\Come on! Just one more billing charge!\I might... actually be selfish! response:	From the outside looking in, all I do is push Big Brother around!
context: Still, that's not to say I'm entirely without fault...\Huh? It turns out Big Brother is SUPER nice!\On the other hand, I'm just...\Get me some cola and potato chips. Oh, and more manga, okay?\Yup, I ate yours too!\Come on! Just one more billing charge!\I might... actually be selfish!\From the outside looking in, all I do is push Big Brother around! response:	This is bad... I have to do something!
context: Huh? It turns out Big Brother is SUPER nice!\On the other hand, I'm just...\Get me some cola and potato chips. Oh, and more manga, okay?\Yup, I ate yours too!\Come on! Just one more billing charge!\I might... actually be selfish!\From the outside looking in, all I do is push Big Brother around!\This is bad... I have to do something! response:	I'm home.
context: On the other hand, I'm just...\Get me some cola and potato chips. Oh, and more manga, okay?\Yup, I ate yours too!\Come on! Just one more billing charge!\I might... actually be selfish!\From the outside looking in, all I do is push Big Brother around!\This is bad... I have to do something!\I'm home. response:	I'm sure you've had a long day at work!
context: Get me some cola and potato chips. Oh, and more manga, okay?\Yup, I ate yours too!\Come on! Just one more billing charge!\I might... actually be selfish!\From the outside looking in, all I do is push Big Brother around!\This is bad... I have to do something!\I'm home.\I'm sure you've had a long day at work! response:	Wait, what's going on?
context: Yup, I ate yours too!\Come on! Just one more billing charge!\I might... actually be selfish!\From the outside looking in, all I do is push Big Brother around!\This is bad... I have to do something!\I'm home.\I'm sure you've had a long day at work!\Wait, what's going on? response:	Come on, just have a seat...
context: Come on! Just one more billing charge!\I might... actually be selfish!\From the outside looking in, all I do is push Big Brother around!\This is bad... I have to do something!\I'm home.\I'm sure you've had a long day at work!\Wait, what's going on?\Come on, just have a seat... response:	Umaruuun!
context: I might... actually be selfish!\From the outside looking in, all I do is push Big Brother around!\This is bad... I have to do something!\I'm home.\I'm sure you've had a long day at work!\Wait, what's going on?\Come on, just have a seat...\Umaruuun! response:	Hurry up and step right in, Big Brother!
context: From the outside looking in, all I do is push Big Brother around!\This is bad... I have to do something!\I'm home.\I'm sure you've had a long day at work!\Wait, what's going on?\Come on, just have a seat...\Umaruuun!\Hurry up and step right in, Big Brother! response:	Umaru, I need to talk to you.
context: This is bad... I have to do something!\I'm home.\I'm sure you've had a long day at work!\Wait, what's going on?\Come on, just have a seat...\Umaruuun!\Hurry up and step right in, Big Brother!\Umaru, I need to talk to you. response:	Huh?
context: I'm home.\I'm sure you've had a long day at work!\Wait, what's going on?\Come on, just have a seat...\Umaruuun!\Hurry up and step right in, Big Brother!\Umaru, I need to talk to you.\Huh? response:	I have to go on a business trip.
context: I'm sure you've had a long day at work!\Wait, what's going on?\Come on, just have a seat...\Umaruuun!\Hurry up and step right in, Big Brother!\Umaru, I need to talk to you.\Huh?\I have to go on a business trip. response:	Huh...?
context: Wait, what's going on?\Come on, just have a seat...\Umaruuun!\Hurry up and step right in, Big Brother!\Umaru, I need to talk to you.\Huh?\I have to go on a business trip.\Huh...? response:	So you... you won't be coming back?
context: Come on, just have a seat...\Umaruuun!\Hurry up and step right in, Big Brother!\Umaru, I need to talk to you.\Huh?\I have to go on a business trip.\Huh...?\So you... you won't be coming back? response:	Yeah. I got chosen as a member of the project team, and I'll have to go out of town.
context: Umaruuun!\Hurry up and step right in, Big Brother!\Umaru, I need to talk to you.\Huh?\I have to go on a business trip.\Huh...?\So you... you won't be coming back?\Yeah. I got chosen as a member of the project team, and I'll have to go out of town. response:	I won't be able to come back here for a while.
context: Hurry up and step right in, Big Brother!\Umaru, I need to talk to you.\Huh?\I have to go on a business trip.\Huh...?\So you... you won't be coming back?\Yeah. I got chosen as a member of the project team, and I'll have to go out of town.\I won't be able to come back here for a while. response:	No! You can't leave me, Big Brother!
context: Umaru, I need to talk to you.\Huh?\I have to go on a business trip.\Huh...?\So you... you won't be coming back?\Yeah. I got chosen as a member of the project team, and I'll have to go out of town.\I won't be able to come back here for a while.\No! You can't leave me, Big Brother! response:	I'm sorry.
context: Huh?\I have to go on a business trip.\Huh...?\So you... you won't be coming back?\Yeah. I got chosen as a member of the project team, and I'll have to go out of town.\I won't be able to come back here for a while.\No! You can't leave me, Big Brother!\I'm sorry. response:	No! You can't just leave and not come back!
context: I have to go on a business trip.\Huh...?\So you... you won't be coming back?\Yeah. I got chosen as a member of the project team, and I'll have to go out of town.\I won't be able to come back here for a while.\No! You can't leave me, Big Brother!\I'm sorry.\No! You can't just leave and not come back! response:	I'm sorry, Umaru. I'm worried about this too, but the decision has been made.
context: Huh...?\So you... you won't be coming back?\Yeah. I got chosen as a member of the project team, and I'll have to go out of town.\I won't be able to come back here for a while.\No! You can't leave me, Big Brother!\I'm sorry.\No! You can't just leave and not come back!\I'm sorry, Umaru. I'm worried about this too, but the decision has been made. response:	How long will you be gone? A month? Wait, a year?!
context: So you... you won't be coming back?\Yeah. I got chosen as a member of the project team, and I'll have to go out of town.\I won't be able to come back here for a while.\No! You can't leave me, Big Brother!\I'm sorry.\No! You can't just leave and not come back!\I'm sorry, Umaru. I'm worried about this too, but the decision has been made.\How long will you be gone? A month? Wait, a year?! response:	Two...
context: Yeah. I got chosen as a member of the project team, and I'll have to go out of town.\I won't be able to come back here for a while.\No! You can't leave me, Big Brother!\I'm sorry.\No! You can't just leave and not come back!\I'm sorry, Umaru. I'm worried about this too, but the decision has been made.\How long will you be gone? A month? Wait, a year?!\Two... response:	Two weeks.
context: I won't be able to come back here for a while.\No! You can't leave me, Big Brother!\I'm sorry.\No! You can't just leave and not come back!\I'm sorry, Umaru. I'm worried about this too, but the decision has been made.\How long will you be gone? A month? Wait, a year?!\Two...\Two weeks. response:	Two weeks...?
context: No! You can't leave me, Big Brother!\I'm sorry.\No! You can't just leave and not come back!\I'm sorry, Umaru. I'm worried about this too, but the decision has been made.\How long will you be gone? A month? Wait, a year?!\Two...\Two weeks.\Two weeks...? response:	Yeah. If I'm gone for two weeks, you'll make a real mess around here, right?
context: I'm sorry.\No! You can't just leave and not come back!\I'm sorry, Umaru. I'm worried about this too, but the decision has been made.\How long will you be gone? A month? Wait, a year?!\Two...\Two weeks.\Two weeks...?\Yeah. If I'm gone for two weeks, you'll make a real mess around here, right? response:	THAT'S WHAT YOU'RE WORRIED ABOUT?!
context: No! You can't just leave and not come back!\I'm sorry, Umaru. I'm worried about this too, but the decision has been made.\How long will you be gone? A month? Wait, a year?!\Two...\Two weeks.\Two weeks...?\Yeah. If I'm gone for two weeks, you'll make a real mess around here, right?\THAT'S WHAT YOU'RE WORRIED ABOUT?! response:	And, wait! What makes you think I'll make a mess?!
context: I'm sorry, Umaru. I'm worried about this too, but the decision has been made.\How long will you be gone? A month? Wait, a year?!\Two...\Two weeks.\Two weeks...?\Yeah. If I'm gone for two weeks, you'll make a real mess around here, right?\THAT'S WHAT YOU'RE WORRIED ABOUT?!\And, wait! What makes you think I'll make a mess?! response:	You always do, right?
context: How long will you be gone? A month? Wait, a year?!\Two...\Two weeks.\Two weeks...?\Yeah. If I'm gone for two weeks, you'll make a real mess around here, right?\THAT'S WHAT YOU'RE WORRIED ABOUT?!\And, wait! What makes you think I'll make a mess?!\You always do, right? response:	Yeah, but... look, just get out and stay gone, for at least two weeks!
context: Two...\Two weeks.\Two weeks...?\Yeah. If I'm gone for two weeks, you'll make a real mess around here, right?\THAT'S WHAT YOU'RE WORRIED ABOUT?!\And, wait! What makes you think I'll make a mess?!\You always do, right?\Yeah, but... look, just get out and stay gone, for at least two weeks! response:	Tanukichi! It sure is fun to enjoy Christmas with some anime songs, right?!
context: Two weeks.\Two weeks...?\Yeah. If I'm gone for two weeks, you'll make a real mess around here, right?\THAT'S WHAT YOU'RE WORRIED ABOUT?!\And, wait! What makes you think I'll make a mess?!\You always do, right?\Yeah, but... look, just get out and stay gone, for at least two weeks!\Tanukichi! It sure is fun to enjoy Christmas with some anime songs, right?! response:	Bomba, you finally get it, huh?
context: Two weeks...?\Yeah. If I'm gone for two weeks, you'll make a real mess around here, right?\THAT'S WHAT YOU'RE WORRIED ABOUT?!\And, wait! What makes you think I'll make a mess?!\You always do, right?\Yeah, but... look, just get out and stay gone, for at least two weeks!\Tanukichi! It sure is fun to enjoy Christmas with some anime songs, right?!\Bomba, you finally get it, huh? response:	I GET TO ENJOY THE SEASON EVEN THOUGH I DON'T HAVE A GIRLFRIEND!
context: Yeah. If I'm gone for two weeks, you'll make a real mess around here, right?\THAT'S WHAT YOU'RE WORRIED ABOUT?!\And, wait! What makes you think I'll make a mess?!\You always do, right?\Yeah, but... look, just get out and stay gone, for at least two weeks!\Tanukichi! It sure is fun to enjoy Christmas with some anime songs, right?!\Bomba, you finally get it, huh?\I GET TO ENJOY THE SEASON EVEN THOUGH I DON'T HAVE A GIRLFRIEND! response:	IS ANYONE OUT THERE LISTENING?!
context: THAT'S WHAT YOU'RE WORRIED ABOUT?!\And, wait! What makes you think I'll make a mess?!\You always do, right?\Yeah, but... look, just get out and stay gone, for at least two weeks!\Tanukichi! It sure is fun to enjoy Christmas with some anime songs, right?!\Bomba, you finally get it, huh?\I GET TO ENJOY THE SEASON EVEN THOUGH I DON'T HAVE A GIRLFRIEND!\IS ANYONE OUT THERE LISTENING?! response:	Stop that! There are people crying in front of their TVs right now!
