context: This world has one type of currency: gold. response:	The standard cost for the items in a single meal is around five gold.
context: If we wanted, we could sell a lot more.\Our total market size probably measures in the tens of thousands.\In Akihabara alone, there are over fifteen thousand players.\The problem is,\no matter how high the demand,\we can only serve around a thousand customers a day.\Our guild just isn't big enough.\That's it. response:	Money isn't the point of this plan, anyway.
context: Our total market size probably measures in the tens of thousands.\In Akihabara alone, there are over fifteen thousand players.\The problem is,\no matter how high the demand,\we can only serve around a thousand customers a day.\Our guild just isn't big enough.\That's it.\Money isn't the point of this plan, anyway. response:	That's right.
context: In Akihabara alone, there are over fifteen thousand players.\The problem is,\no matter how high the demand,\we can only serve around a thousand customers a day.\Our guild just isn't big enough.\That's it.\Money isn't the point of this plan, anyway.\That's right. response:	I was just blinded by the huge fortune in front of me.
context: The problem is,\no matter how high the demand,\we can only serve around a thousand customers a day.\Our guild just isn't big enough.\That's it.\Money isn't the point of this plan, anyway.\That's right.\I was just blinded by the huge fortune in front of me. response:	I'll go deposit our earnings in the bank.
context: no matter how high the demand,\we can only serve around a thousand customers a day.\Our guild just isn't big enough.\That's it.\Money isn't the point of this plan, anyway.\That's right.\I was just blinded by the huge fortune in front of me.\I'll go deposit our earnings in the bank. response:	Thanks.
context: we can only serve around a thousand customers a day.\Our guild just isn't big enough.\That's it.\Money isn't the point of this plan, anyway.\That's right.\I was just blinded by the huge fortune in front of me.\I'll go deposit our earnings in the bank.\Thanks. response:	Hey, Shiro.
context: Our guild just isn't big enough.\That's it.\Money isn't the point of this plan, anyway.\That's right.\I was just blinded by the huge fortune in front of me.\I'll go deposit our earnings in the bank.\Thanks.\Hey, Shiro. response:	If money wasn't the Crescent Burger's goal,
context: That's it.\Money isn't the point of this plan, anyway.\That's right.\I was just blinded by the huge fortune in front of me.\I'll go deposit our earnings in the bank.\Thanks.\Hey, Shiro.\If money wasn't the Crescent Burger's goal, response:	does that mean you'll use your other plan?
context: Money isn't the point of this plan, anyway.\That's right.\I was just blinded by the huge fortune in front of me.\I'll go deposit our earnings in the bank.\Thanks.\Hey, Shiro.\If money wasn't the Crescent Burger's goal,\does that mean you'll use your other plan? response:	I'm sure it'll work.
context: That's right.\I was just blinded by the huge fortune in front of me.\I'll go deposit our earnings in the bank.\Thanks.\Hey, Shiro.\If money wasn't the Crescent Burger's goal,\does that mean you'll use your other plan?\I'm sure it'll work. response:	But I don't know if I can do it.
context: I was just blinded by the huge fortune in front of me.\I'll go deposit our earnings in the bank.\Thanks.\Hey, Shiro.\If money wasn't the Crescent Burger's goal,\does that mean you'll use your other plan?\I'm sure it'll work.\But I don't know if I can do it. response:	Just leave it to Henrietta.
context: I'll go deposit our earnings in the bank.\Thanks.\Hey, Shiro.\If money wasn't the Crescent Burger's goal,\does that mean you'll use your other plan?\I'm sure it'll work.\But I don't know if I can do it.\Just leave it to Henrietta. response:	Right?
context: Thanks.\Hey, Shiro.\If money wasn't the Crescent Burger's goal,\does that mean you'll use your other plan?\I'm sure it'll work.\But I don't know if I can do it.\Just leave it to Henrietta.\Right? response:	Yes.
context: Hey, Shiro.\If money wasn't the Crescent Burger's goal,\does that mean you'll use your other plan?\I'm sure it'll work.\But I don't know if I can do it.\Just leave it to Henrietta.\Right?\Yes. response:	Leave it to me.
context: If money wasn't the Crescent Burger's goal,\does that mean you'll use your other plan?\I'm sure it'll work.\But I don't know if I can do it.\Just leave it to Henrietta.\Right?\Yes.\Leave it to me. response:	In exchange...
context: does that mean you'll use your other plan?\I'm sure it'll work.\But I don't know if I can do it.\Just leave it to Henrietta.\Right?\Yes.\Leave it to me.\In exchange... response:	Where are you going?
context: I'm sure it'll work.\But I don't know if I can do it.\Just leave it to Henrietta.\Right?\Yes.\Leave it to me.\In exchange...\Where are you going? response:	My lord has given me a secret mission!
context: But I don't know if I can do it.\Just leave it to Henrietta.\Right?\Yes.\Leave it to me.\In exchange...\Where are you going?\My lord has given me a secret mission! response:	Don't try to stop me!
context: Just leave it to Henrietta.\Right?\Yes.\Leave it to me.\In exchange...\Where are you going?\My lord has given me a secret mission!\Don't try to stop me! response:	Shiroe was kind enough to lend you to me.
context: Right?\Yes.\Leave it to me.\In exchange...\Where are you going?\My lord has given me a secret mission!\Don't try to stop me!\Shiroe was kind enough to lend you to me. response:	My lord, you sold me out again!
context: Yes.\Leave it to me.\In exchange...\Where are you going?\My lord has given me a secret mission!\Don't try to stop me!\Shiroe was kind enough to lend you to me.\My lord, you sold me out again! response:	Now, hurry...
context: Leave it to me.\In exchange...\Where are you going?\My lord has given me a secret mission!\Don't try to stop me!\Shiroe was kind enough to lend you to me.\My lord, you sold me out again!\Now, hurry... response:	Put this on!
context: In exchange...\Where are you going?\My lord has given me a secret mission!\Don't try to stop me!\Shiroe was kind enough to lend you to me.\My lord, you sold me out again!\Now, hurry...\Put this on! response:	I refuse!
context: Where are you going?\My lord has given me a secret mission!\Don't try to stop me!\Shiroe was kind enough to lend you to me.\My lord, you sold me out again!\Now, hurry...\Put this on!\I refuse! response:	I am not a doll for you to dress up!
context: My lord has given me a secret mission!\Don't try to stop me!\Shiroe was kind enough to lend you to me.\My lord, you sold me out again!\Now, hurry...\Put this on!\I refuse!\I am not a doll for you to dress up! response:	You can't enter that room.
context: Don't try to stop me!\Shiroe was kind enough to lend you to me.\My lord, you sold me out again!\Now, hurry...\Put this on!\I refuse!\I am not a doll for you to dress up!\You can't enter that room. response:	What?
context: Shiroe was kind enough to lend you to me.\My lord, you sold me out again!\Now, hurry...\Put this on!\I refuse!\I am not a doll for you to dress up!\You can't enter that room.\What? response:	This zone belongs to the Crescent Moon Alliance.
context: My lord, you sold me out again!\Now, hurry...\Put this on!\I refuse!\I am not a doll for you to dress up!\You can't enter that room.\What?\This zone belongs to the Crescent Moon Alliance. response:	Zone Setting: Guild Hall 236 Entry Restrictions Active Guild Master: Marielle Guild: Crescent Moon Alliance
context: Now, hurry...\Put this on!\I refuse!\I am not a doll for you to dress up!\You can't enter that room.\What?\This zone belongs to the Crescent Moon Alliance.\Zone Setting: Guild Hall 236 Entry Restrictions Active Guild Master: Marielle Guild: Crescent Moon Alliance response:	ID Recognition Zone Information: Akatsuki Guild/ Log Horizon No Combat Allowed Access: Not Allowed No Skill Use Allowed
context: Put this on!\I refuse!\I am not a doll for you to dress up!\You can't enter that room.\What?\This zone belongs to the Crescent Moon Alliance.\Zone Setting: Guild Hall 236 Entry Restrictions Active Guild Master: Marielle Guild: Crescent Moon Alliance\ID Recognition Zone Information: Akatsuki Guild/ Log Horizon No Combat Allowed Access: Not Allowed No Skill Use Allowed response:	And that warehouse only permits guild members.
context: I refuse!\I am not a doll for you to dress up!\You can't enter that room.\What?\This zone belongs to the Crescent Moon Alliance.\Zone Setting: Guild Hall 236 Entry Restrictions Active Guild Master: Marielle Guild: Crescent Moon Alliance\ID Recognition Zone Information: Akatsuki Guild/ Log Horizon No Combat Allowed Access: Not Allowed No Skill Use Allowed\And that warehouse only permits guild members. response:	I guess I'll have to...
context: I am not a doll for you to dress up!\You can't enter that room.\What?\This zone belongs to the Crescent Moon Alliance.\Zone Setting: Guild Hall 236 Entry Restrictions Active Guild Master: Marielle Guild: Crescent Moon Alliance\ID Recognition Zone Information: Akatsuki Guild/ Log Horizon No Combat Allowed Access: Not Allowed No Skill Use Allowed\And that warehouse only permits guild members.\I guess I'll have to... response:	Skills
context: You can't enter that room.\What?\This zone belongs to the Crescent Moon Alliance.\Zone Setting: Guild Hall 236 Entry Restrictions Active Guild Master: Marielle Guild: Crescent Moon Alliance\ID Recognition Zone Information: Akatsuki Guild/ Log Horizon No Combat Allowed Access: Not Allowed No Skill Use Allowed\And that warehouse only permits guild members.\I guess I'll have to...\Skills response:	Zone Information This zone does not permit skill use.
context: What?\This zone belongs to the Crescent Moon Alliance.\Zone Setting: Guild Hall 236 Entry Restrictions Active Guild Master: Marielle Guild: Crescent Moon Alliance\ID Recognition Zone Information: Akatsuki Guild/ Log Horizon No Combat Allowed Access: Not Allowed No Skill Use Allowed\And that warehouse only permits guild members.\I guess I'll have to...\Skills\Zone Information This zone does not permit skill use. response:	I can't use it?
context: This zone belongs to the Crescent Moon Alliance.\Zone Setting: Guild Hall 236 Entry Restrictions Active Guild Master: Marielle Guild: Crescent Moon Alliance\ID Recognition Zone Information: Akatsuki Guild/ Log Horizon No Combat Allowed Access: Not Allowed No Skill Use Allowed\And that warehouse only permits guild members.\I guess I'll have to...\Skills\Zone Information This zone does not permit skill use.\I can't use it? response:	It's useless...
context: Zone Setting: Guild Hall 236 Entry Restrictions Active Guild Master: Marielle Guild: Crescent Moon Alliance\ID Recognition Zone Information: Akatsuki Guild/ Log Horizon No Combat Allowed Access: Not Allowed No Skill Use Allowed\And that warehouse only permits guild members.\I guess I'll have to...\Skills\Zone Information This zone does not permit skill use.\I can't use it?\It's useless... response:	I set it so that skills can't be used here.
context: ID Recognition Zone Information: Akatsuki Guild/ Log Horizon No Combat Allowed Access: Not Allowed No Skill Use Allowed\And that warehouse only permits guild members.\I guess I'll have to...\Skills\Zone Information This zone does not permit skill use.\I can't use it?\It's useless...\I set it so that skills can't be used here. response:	And I can also set combat permissions individually.
context: And that warehouse only permits guild members.\I guess I'll have to...\Skills\Zone Information This zone does not permit skill use.\I can't use it?\It's useless...\I set it so that skills can't be used here.\And I can also set combat permissions individually. response:	Have you forgotten?
context: I guess I'll have to...\Skills\Zone Information This zone does not permit skill use.\I can't use it?\It's useless...\I set it so that skills can't be used here.\And I can also set combat permissions individually.\Have you forgotten? response:	Curse you...
context: Skills\Zone Information This zone does not permit skill use.\I can't use it?\It's useless...\I set it so that skills can't be used here.\And I can also set combat permissions individually.\Have you forgotten?\Curse you... response:	So cute!
context: Zone Information This zone does not permit skill use.\I can't use it?\It's useless...\I set it so that skills can't be used here.\And I can also set combat permissions individually.\Have you forgotten?\Curse you...\So cute! response:	My, my...
context: I can't use it?\It's useless...\I set it so that skills can't be used here.\And I can also set combat permissions individually.\Have you forgotten?\Curse you...\So cute!\My, my... response:	It looks wonderful on you.
context: It's useless...\I set it so that skills can't be used here.\And I can also set combat permissions individually.\Have you forgotten?\Curse you...\So cute!\My, my...\It looks wonderful on you. response:	Ah! My exhaustion is flying away!
context: I set it so that skills can't be used here.\And I can also set combat permissions individually.\Have you forgotten?\Curse you...\So cute!\My, my...\It looks wonderful on you.\Ah! My exhaustion is flying away! response:	Hey, have you seen Shouryuu?
context: And I can also set combat permissions individually.\Have you forgotten?\Curse you...\So cute!\My, my...\It looks wonderful on you.\Ah! My exhaustion is flying away!\Hey, have you seen Shouryuu? response:	Now that you mention it, he's late.
context: Have you forgotten?\Curse you...\So cute!\My, my...\It looks wonderful on you.\Ah! My exhaustion is flying away!\Hey, have you seen Shouryuu?\Now that you mention it, he's late. response:	He was so excited, he hasn't returned from hunting...
context: Curse you...\So cute!\My, my...\It looks wonderful on you.\Ah! My exhaustion is flying away!\Hey, have you seen Shouryuu?\Now that you mention it, he's late.\He was so excited, he hasn't returned from hunting... response:	R-Really?
context: So cute!\My, my...\It looks wonderful on you.\Ah! My exhaustion is flying away!\Hey, have you seen Shouryuu?\Now that you mention it, he's late.\He was so excited, he hasn't returned from hunting...\R-Really? response:	Maybe something happened...
context: My, my...\It looks wonderful on you.\Ah! My exhaustion is flying away!\Hey, have you seen Shouryuu?\Now that you mention it, he's late.\He was so excited, he hasn't returned from hunting...\R-Really?\Maybe something happened... response:	What's going on?
context: It looks wonderful on you.\Ah! My exhaustion is flying away!\Hey, have you seen Shouryuu?\Now that you mention it, he's late.\He was so excited, he hasn't returned from hunting...\R-Really?\Maybe something happened...\What's going on? response:	There's a boar stuck in the hall.
context: Ah! My exhaustion is flying away!\Hey, have you seen Shouryuu?\Now that you mention it, he's late.\He was so excited, he hasn't returned from hunting...\R-Really?\Maybe something happened...\What's going on?\There's a boar stuck in the hall. response:	Shouryuu...
context: Hey, have you seen Shouryuu?\Now that you mention it, he's late.\He was so excited, he hasn't returned from hunting...\R-Really?\Maybe something happened...\What's going on?\There's a boar stuck in the hall.\Shouryuu... response:	Marie, am I helping a little?
context: Now that you mention it, he's late.\He was so excited, he hasn't returned from hunting...\R-Really?\Maybe something happened...\What's going on?\There's a boar stuck in the hall.\Shouryuu...\Marie, am I helping a little? response:	Shouryuu!
context: He was so excited, he hasn't returned from hunting...\R-Really?\Maybe something happened...\What's going on?\There's a boar stuck in the hall.\Shouryuu...\Marie, am I helping a little?\Shouryuu! response:	Shouryuu!
context: R-Really?\Maybe something happened...\What's going on?\There's a boar stuck in the hall.\Shouryuu...\Marie, am I helping a little?\Shouryuu!\Shouryuu! response:	Eh?
context: Maybe something happened...\What's going on?\There's a boar stuck in the hall.\Shouryuu...\Marie, am I helping a little?\Shouryuu!\Shouryuu!\Eh? response:	He hasn't rested or slept for a long time.
context: What's going on?\There's a boar stuck in the hall.\Shouryuu...\Marie, am I helping a little?\Shouryuu!\Shouryuu!\Eh?\He hasn't rested or slept for a long time. response:	He's been killing himself.
context: There's a boar stuck in the hall.\Shouryuu...\Marie, am I helping a little?\Shouryuu!\Shouryuu!\Eh?\He hasn't rested or slept for a long time.\He's been killing himself. response:	Thank goodness...
context: Shouryuu...\Marie, am I helping a little?\Shouryuu!\Shouryuu!\Eh?\He hasn't rested or slept for a long time.\He's been killing himself.\Thank goodness... response:	Thank you, everyone.
context: Marie, am I helping a little?\Shouryuu!\Shouryuu!\Eh?\He hasn't rested or slept for a long time.\He's been killing himself.\Thank goodness...\Thank you, everyone. response:	I'm blessed with such wonderful companions.
context: Shouryuu!\Shouryuu!\Eh?\He hasn't rested or slept for a long time.\He's been killing himself.\Thank goodness...\Thank you, everyone.\I'm blessed with such wonderful companions. response:	He looks so happy in his sleep.
context: Shouryuu!\Eh?\He hasn't rested or slept for a long time.\He's been killing himself.\Thank goodness...\Thank you, everyone.\I'm blessed with such wonderful companions.\He looks so happy in his sleep. response:	Guess it was worth almost killing himself.
context: Eh?\He hasn't rested or slept for a long time.\He's been killing himself.\Thank goodness...\Thank you, everyone.\I'm blessed with such wonderful companions.\He looks so happy in his sleep.\Guess it was worth almost killing himself. response:	After all that work, I'm sorry to say this...
context: He hasn't rested or slept for a long time.\He's been killing himself.\Thank goodness...\Thank you, everyone.\I'm blessed with such wonderful companions.\He looks so happy in his sleep.\Guess it was worth almost killing himself.\After all that work, I'm sorry to say this... response:	But giant boar tastes too strong, so I can't use it.
context: He's been killing himself.\Thank goodness...\Thank you, everyone.\I'm blessed with such wonderful companions.\He looks so happy in his sleep.\Guess it was worth almost killing himself.\After all that work, I'm sorry to say this...\But giant boar tastes too strong, so I can't use it. response:	Shh!
context: Thank goodness...\Thank you, everyone.\I'm blessed with such wonderful companions.\He looks so happy in his sleep.\Guess it was worth almost killing himself.\After all that work, I'm sorry to say this...\But giant boar tastes too strong, so I can't use it.\Shh! response:	You'll wake him up!
context: Thank you, everyone.\I'm blessed with such wonderful companions.\He looks so happy in his sleep.\Guess it was worth almost killing himself.\After all that work, I'm sorry to say this...\But giant boar tastes too strong, so I can't use it.\Shh!\You'll wake him up! response:	The Crescent Moon Alliance members are all so nice.
context: I'm blessed with such wonderful companions.\He looks so happy in his sleep.\Guess it was worth almost killing himself.\After all that work, I'm sorry to say this...\But giant boar tastes too strong, so I can't use it.\Shh!\You'll wake him up!\The Crescent Moon Alliance members are all so nice. response:	Yes...
context: He looks so happy in his sleep.\Guess it was worth almost killing himself.\After all that work, I'm sorry to say this...\But giant boar tastes too strong, so I can't use it.\Shh!\You'll wake him up!\The Crescent Moon Alliance members are all so nice.\Yes... response:	I'm sure it's due to Marie's kindness
context: Guess it was worth almost killing himself.\After all that work, I'm sorry to say this...\But giant boar tastes too strong, so I can't use it.\Shh!\You'll wake him up!\The Crescent Moon Alliance members are all so nice.\Yes...\I'm sure it's due to Marie's kindness response:	and sunflower-like smile.
context: After all that work, I'm sorry to say this...\But giant boar tastes too strong, so I can't use it.\Shh!\You'll wake him up!\The Crescent Moon Alliance members are all so nice.\Yes...\I'm sure it's due to Marie's kindness\and sunflower-like smile. response:	Actually, I've made a guild of my own.
context: But giant boar tastes too strong, so I can't use it.\Shh!\You'll wake him up!\The Crescent Moon Alliance members are all so nice.\Yes...\I'm sure it's due to Marie's kindness\and sunflower-like smile.\Actually, I've made a guild of my own. response:	I'll introduce you to them soon.
context: Shh!\You'll wake him up!\The Crescent Moon Alliance members are all so nice.\Yes...\I'm sure it's due to Marie's kindness\and sunflower-like smile.\Actually, I've made a guild of my own.\I'll introduce you to them soon. response:	Our preparations are progressing.
context: You'll wake him up!\The Crescent Moon Alliance members are all so nice.\Yes...\I'm sure it's due to Marie's kindness\and sunflower-like smile.\Actually, I've made a guild of my own.\I'll introduce you to them soon.\Our preparations are progressing. response:	Hold out just a little longer.
context: The Crescent Moon Alliance members are all so nice.\Yes...\I'm sure it's due to Marie's kindness\and sunflower-like smile.\Actually, I've made a guild of my own.\I'll introduce you to them soon.\Our preparations are progressing.\Hold out just a little longer. response:	It'll be okay,
context: Yes...\I'm sure it's due to Marie's kindness\and sunflower-like smile.\Actually, I've made a guild of my own.\I'll introduce you to them soon.\Our preparations are progressing.\Hold out just a little longer.\It'll be okay, response:	Minori... Tohya.
context: I'm sure it's due to Marie's kindness\and sunflower-like smile.\Actually, I've made a guild of my own.\I'll introduce you to them soon.\Our preparations are progressing.\Hold out just a little longer.\It'll be okay,\Minori... Tohya. response:	Zone Setting: Guild Hall 185 Entry Restrictions Active Guild Master: Twilight Explorer Guild: Hamelin
context: and sunflower-like smile.\Actually, I've made a guild of my own.\I'll introduce you to them soon.\Our preparations are progressing.\Hold out just a little longer.\It'll be okay,\Minori... Tohya.\Zone Setting: Guild Hall 185 Entry Restrictions Active Guild Master: Twilight Explorer Guild: Hamelin response:	ID Recognition Zone Information: Shrayda Guild/ Hamelin Combat Allowed Access: Allowed Skill Use Allowed
context: Actually, I've made a guild of my own.\I'll introduce you to them soon.\Our preparations are progressing.\Hold out just a little longer.\It'll be okay,\Minori... Tohya.\Zone Setting: Guild Hall 185 Entry Restrictions Active Guild Master: Twilight Explorer Guild: Hamelin\ID Recognition Zone Information: Shrayda Guild/ Hamelin Combat Allowed Access: Allowed Skill Use Allowed response:	Shiroe said that?
context: I'll introduce you to them soon.\Our preparations are progressing.\Hold out just a little longer.\It'll be okay,\Minori... Tohya.\Zone Setting: Guild Hall 185 Entry Restrictions Active Guild Master: Twilight Explorer Guild: Hamelin\ID Recognition Zone Information: Shrayda Guild/ Hamelin Combat Allowed Access: Allowed Skill Use Allowed\Shiroe said that? response:	Yeah.
context: Our preparations are progressing.\Hold out just a little longer.\It'll be okay,\Minori... Tohya.\Zone Setting: Guild Hall 185 Entry Restrictions Active Guild Master: Twilight Explorer Guild: Hamelin\ID Recognition Zone Information: Shrayda Guild/ Hamelin Combat Allowed Access: Allowed Skill Use Allowed\Shiroe said that?\Yeah. response:	I see.
context: Hold out just a little longer.\It'll be okay,\Minori... Tohya.\Zone Setting: Guild Hall 185 Entry Restrictions Active Guild Master: Twilight Explorer Guild: Hamelin\ID Recognition Zone Information: Shrayda Guild/ Hamelin Combat Allowed Access: Allowed Skill Use Allowed\Shiroe said that?\Yeah.\I see. response:	Is this okay?
context: It'll be okay,\Minori... Tohya.\Zone Setting: Guild Hall 185 Entry Restrictions Active Guild Master: Twilight Explorer Guild: Hamelin\ID Recognition Zone Information: Shrayda Guild/ Hamelin Combat Allowed Access: Allowed Skill Use Allowed\Shiroe said that?\Yeah.\I see.\Is this okay? response:	Is this really okay?
context: Minori... Tohya.\Zone Setting: Guild Hall 185 Entry Restrictions Active Guild Master: Twilight Explorer Guild: Hamelin\ID Recognition Zone Information: Shrayda Guild/ Hamelin Combat Allowed Access: Allowed Skill Use Allowed\Shiroe said that?\Yeah.\I see.\Is this okay?\Is this really okay? response:	Chief, did you know this?
context: Zone Setting: Guild Hall 185 Entry Restrictions Active Guild Master: Twilight Explorer Guild: Hamelin\ID Recognition Zone Information: Shrayda Guild/ Hamelin Combat Allowed Access: Allowed Skill Use Allowed\Shiroe said that?\Yeah.\I see.\Is this okay?\Is this really okay?\Chief, did you know this? response:	When this was a game, these buildings were just background.
context: ID Recognition Zone Information: Shrayda Guild/ Hamelin Combat Allowed Access: Allowed Skill Use Allowed\Shiroe said that?\Yeah.\I see.\Is this okay?\Is this really okay?\Chief, did you know this?\When this was a game, these buildings were just background. response:	But now they appear to be zones for purchase.
context: Shiroe said that?\Yeah.\I see.\Is this okay?\Is this really okay?\Chief, did you know this?\When this was a game, these buildings were just background.\But now they appear to be zones for purchase. response:	So it seems.
context: Yeah.\I see.\Is this okay?\Is this really okay?\Chief, did you know this?\When this was a game, these buildings were just background.\But now they appear to be zones for purchase.\So it seems. response:	And that isn't all...
context: I see.\Is this okay?\Is this really okay?\Chief, did you know this?\When this was a game, these buildings were just background.\But now they appear to be zones for purchase.\So it seems.\And that isn't all... response:	Every city and building in the world is for sale.
context: Is this okay?\Is this really okay?\Chief, did you know this?\When this was a game, these buildings were just background.\But now they appear to be zones for purchase.\So it seems.\And that isn't all...\Every city and building in the world is for sale. response:	But they're astronomically expensive.
context: Is this really okay?\Chief, did you know this?\When this was a game, these buildings were just background.\But now they appear to be zones for purchase.\So it seems.\And that isn't all...\Every city and building in the world is for sale.\But they're astronomically expensive. response:	Then should we buy Tokyo Station as the Log Horizon base?
context: Chief, did you know this?\When this was a game, these buildings were just background.\But now they appear to be zones for purchase.\So it seems.\And that isn't all...\Every city and building in the world is for sale.\But they're astronomically expensive.\Then should we buy Tokyo Station as the Log Horizon base? response:	No.
context: When this was a game, these buildings were just background.\But now they appear to be zones for purchase.\So it seems.\And that isn't all...\Every city and building in the world is for sale.\But they're astronomically expensive.\Then should we buy Tokyo Station as the Log Horizon base?\No. response:	Sorry to keep you waiting.
context: But now they appear to be zones for purchase.\So it seems.\And that isn't all...\Every city and building in the world is for sale.\But they're astronomically expensive.\Then should we buy Tokyo Station as the Log Horizon base?\No.\Sorry to keep you waiting. response:	Shiro and Master Nyanta, it's been a long time.
context: So it seems.\And that isn't all...\Every city and building in the world is for sale.\But they're astronomically expensive.\Then should we buy Tokyo Station as the Log Horizon base?\No.\Sorry to keep you waiting.\Shiro and Master Nyanta, it's been a long time. response:	Hey, Soujirou.
context: And that isn't all...\Every city and building in the world is for sale.\But they're astronomically expensive.\Then should we buy Tokyo Station as the Log Horizon base?\No.\Sorry to keep you waiting.\Shiro and Master Nyanta, it's been a long time.\Hey, Soujirou. response:	Souji, I hear you've started your own guild?
context: Every city and building in the world is for sale.\But they're astronomically expensive.\Then should we buy Tokyo Station as the Log Horizon base?\No.\Sorry to keep you waiting.\Shiro and Master Nyanta, it's been a long time.\Hey, Soujirou.\Souji, I hear you've started your own guild? response:	Yes, it's called the Caravan of the West Wind.
context: But they're astronomically expensive.\Then should we buy Tokyo Station as the Log Horizon base?\No.\Sorry to keep you waiting.\Shiro and Master Nyanta, it's been a long time.\Hey, Soujirou.\Souji, I hear you've started your own guild?\Yes, it's called the Caravan of the West Wind. response:	Soujirou Theta Race/ Human Samurai, Lv. 90 Caravan of the West Wind
context: Then should we buy Tokyo Station as the Log Horizon base?\No.\Sorry to keep you waiting.\Shiro and Master Nyanta, it's been a long time.\Hey, Soujirou.\Souji, I hear you've started your own guild?\Yes, it's called the Caravan of the West Wind.\Soujirou Theta Race/ Human Samurai, Lv. 90 Caravan of the West Wind response:	It's a small guild, but as powerful as the biggest ones.
context: No.\Sorry to keep you waiting.\Shiro and Master Nyanta, it's been a long time.\Hey, Soujirou.\Souji, I hear you've started your own guild?\Yes, it's called the Caravan of the West Wind.\Soujirou Theta Race/ Human Samurai, Lv. 90 Caravan of the West Wind\It's a small guild, but as powerful as the biggest ones. response:	Not at all...
context: Sorry to keep you waiting.\Shiro and Master Nyanta, it's been a long time.\Hey, Soujirou.\Souji, I hear you've started your own guild?\Yes, it's called the Caravan of the West Wind.\Soujirou Theta Race/ Human Samurai, Lv. 90 Caravan of the West Wind\It's a small guild, but as powerful as the biggest ones.\Not at all... response:	We were just getting things set up when the Apocalypse happened.
context: Shiro and Master Nyanta, it's been a long time.\Hey, Soujirou.\Souji, I hear you've started your own guild?\Yes, it's called the Caravan of the West Wind.\Soujirou Theta Race/ Human Samurai, Lv. 90 Caravan of the West Wind\It's a small guild, but as powerful as the biggest ones.\Not at all...\We were just getting things set up when the Apocalypse happened. response:	Since the Tea Party disbanded, I hadn't been logging in as often.
context: Hey, Soujirou.\Souji, I hear you've started your own guild?\Yes, it's called the Caravan of the West Wind.\Soujirou Theta Race/ Human Samurai, Lv. 90 Caravan of the West Wind\It's a small guild, but as powerful as the biggest ones.\Not at all...\We were just getting things set up when the Apocalypse happened.\Since the Tea Party disbanded, I hadn't been logging in as often. response:	Are Nazuna and Miss Saki still with you?
context: Souji, I hear you've started your own guild?\Yes, it's called the Caravan of the West Wind.\Soujirou Theta Race/ Human Samurai, Lv. 90 Caravan of the West Wind\It's a small guild, but as powerful as the biggest ones.\Not at all...\We were just getting things set up when the Apocalypse happened.\Since the Tea Party disbanded, I hadn't been logging in as often.\Are Nazuna and Miss Saki still with you? response:	Nazuna is still with me.
context: Yes, it's called the Caravan of the West Wind.\Soujirou Theta Race/ Human Samurai, Lv. 90 Caravan of the West Wind\It's a small guild, but as powerful as the biggest ones.\Not at all...\We were just getting things set up when the Apocalypse happened.\Since the Tea Party disbanded, I hadn't been logging in as often.\Are Nazuna and Miss Saki still with you?\Nazuna is still with me. response:	She's as relaxed as ever.
context: Soujirou Theta Race/ Human Samurai, Lv. 90 Caravan of the West Wind\It's a small guild, but as powerful as the biggest ones.\Not at all...\We were just getting things set up when the Apocalypse happened.\Since the Tea Party disbanded, I hadn't been logging in as often.\Are Nazuna and Miss Saki still with you?\Nazuna is still with me.\She's as relaxed as ever. response:	Saki, too, but she wasn't logged in during the Apocalypse.
context: It's a small guild, but as powerful as the biggest ones.\Not at all...\We were just getting things set up when the Apocalypse happened.\Since the Tea Party disbanded, I hadn't been logging in as often.\Are Nazuna and Miss Saki still with you?\Nazuna is still with me.\She's as relaxed as ever.\Saki, too, but she wasn't logged in during the Apocalypse. response:	Hey, so, um...
context: Not at all...\We were just getting things set up when the Apocalypse happened.\Since the Tea Party disbanded, I hadn't been logging in as often.\Are Nazuna and Miss Saki still with you?\Nazuna is still with me.\She's as relaxed as ever.\Saki, too, but she wasn't logged in during the Apocalypse.\Hey, so, um... response:	Are you still as popular with girls as you used to be?
context: We were just getting things set up when the Apocalypse happened.\Since the Tea Party disbanded, I hadn't been logging in as often.\Are Nazuna and Miss Saki still with you?\Nazuna is still with me.\She's as relaxed as ever.\Saki, too, but she wasn't logged in during the Apocalypse.\Hey, so, um...\Are you still as popular with girls as you used to be? response:	No, well...
context: Since the Tea Party disbanded, I hadn't been logging in as often.\Are Nazuna and Miss Saki still with you?\Nazuna is still with me.\She's as relaxed as ever.\Saki, too, but she wasn't logged in during the Apocalypse.\Hey, so, um...\Are you still as popular with girls as you used to be?\No, well... response:	It's nice to be young.
context: Are Nazuna and Miss Saki still with you?\Nazuna is still with me.\She's as relaxed as ever.\Saki, too, but she wasn't logged in during the Apocalypse.\Hey, so, um...\Are you still as popular with girls as you used to be?\No, well...\It's nice to be young. response:	A-Anyway...
context: Nazuna is still with me.\She's as relaxed as ever.\Saki, too, but she wasn't logged in during the Apocalypse.\Hey, so, um...\Are you still as popular with girls as you used to be?\No, well...\It's nice to be young.\A-Anyway... response:	Why did you contact me?
context: She's as relaxed as ever.\Saki, too, but she wasn't logged in during the Apocalypse.\Hey, so, um...\Are you still as popular with girls as you used to be?\No, well...\It's nice to be young.\A-Anyway...\Why did you contact me? response:	Oh, you see...
