context: Oh, God, please save the soul of this girl with a broken heart! response:	Zoisite, committing evil deeds in a sacred place...
context: Wrong! I am not a priest!\That's right. I am the monster Boxsy!\You can't be...\I can hear the crowd cheering me on.\I am a champion! Wow!\Boxsy, knock out Sailor Moon!\Hey, wait! I'm not a boxer!\All right! We'll have a fight to see who's the real champ! response:	I told you I'm not!
context: That's right. I am the monster Boxsy!\You can't be...\I can hear the crowd cheering me on.\I am a champion! Wow!\Boxsy, knock out Sailor Moon!\Hey, wait! I'm not a boxer!\All right! We'll have a fight to see who's the real champ!\I told you I'm not! response:	This can't be real!
context: You can't be...\I can hear the crowd cheering me on.\I am a champion! Wow!\Boxsy, knock out Sailor Moon!\Hey, wait! I'm not a boxer!\All right! We'll have a fight to see who's the real champ!\I told you I'm not!\This can't be real! response:	I am a champion! Lovely punch!
context: I can hear the crowd cheering me on.\I am a champion! Wow!\Boxsy, knock out Sailor Moon!\Hey, wait! I'm not a boxer!\All right! We'll have a fight to see who's the real champ!\I told you I'm not!\This can't be real!\I am a champion! Lovely punch! response:	Sailor Moon!
context: I am a champion! Wow!\Boxsy, knock out Sailor Moon!\Hey, wait! I'm not a boxer!\All right! We'll have a fight to see who's the real champ!\I told you I'm not!\This can't be real!\I am a champion! Lovely punch!\Sailor Moon! response:	Mako, hurry up!
context: Boxsy, knock out Sailor Moon!\Hey, wait! I'm not a boxer!\All right! We'll have a fight to see who's the real champ!\I told you I'm not!\This can't be real!\I am a champion! Lovely punch!\Sailor Moon!\Mako, hurry up! response:	I am the king of kings!
context: Hey, wait! I'm not a boxer!\All right! We'll have a fight to see who's the real champ!\I told you I'm not!\This can't be real!\I am a champion! Lovely punch!\Sailor Moon!\Mako, hurry up!\I am the king of kings! response:	Stop! Please, Father, go back to being a normal priest!
context: All right! We'll have a fight to see who's the real champ!\I told you I'm not!\This can't be real!\I am a champion! Lovely punch!\Sailor Moon!\Mako, hurry up!\I am the king of kings!\Stop! Please, Father, go back to being a normal priest! response:	Stop your babbling!
context: I told you I'm not!\This can't be real!\I am a champion! Lovely punch!\Sailor Moon!\Mako, hurry up!\I am the king of kings!\Stop! Please, Father, go back to being a normal priest!\Stop your babbling! response:	Naru!
context: This can't be real!\I am a champion! Lovely punch!\Sailor Moon!\Mako, hurry up!\I am the king of kings!\Stop! Please, Father, go back to being a normal priest!\Stop your babbling!\Naru! response:	Naru!
context: I am a champion! Lovely punch!\Sailor Moon!\Mako, hurry up!\I am the king of kings!\Stop! Please, Father, go back to being a normal priest!\Stop your babbling!\Naru!\Naru! response:	Umino...
context: Sailor Moon!\Mako, hurry up!\I am the king of kings!\Stop! Please, Father, go back to being a normal priest!\Stop your babbling!\Naru!\Naru!\Umino... response:	I am a champion! Lovely punch!
context: Mako, hurry up!\I am the king of kings!\Stop! Please, Father, go back to being a normal priest!\Stop your babbling!\Naru!\Naru!\Umino...\I am a champion! Lovely punch! response:	Watch out, Sailor Moon!
context: I am the king of kings!\Stop! Please, Father, go back to being a normal priest!\Stop your babbling!\Naru!\Naru!\Umino...\I am a champion! Lovely punch!\Watch out, Sailor Moon! response:	Tuxedo Mask!
context: Stop! Please, Father, go back to being a normal priest!\Stop your babbling!\Naru!\Naru!\Umino...\I am a champion! Lovely punch!\Watch out, Sailor Moon!\Tuxedo Mask! response:	A true boxer would never hit a beautiful young girl.
context: Stop your babbling!\Naru!\Naru!\Umino...\I am a champion! Lovely punch!\Watch out, Sailor Moon!\Tuxedo Mask!\A true boxer would never hit a beautiful young girl. response:	Instead, he would embrace her gently.
context: Naru!\Naru!\Umino...\I am a champion! Lovely punch!\Watch out, Sailor Moon!\Tuxedo Mask!\A true boxer would never hit a beautiful young girl.\Instead, he would embrace her gently. response:	Boxsy! Knock out that snooty guy, too!
context: Naru!\Umino...\I am a champion! Lovely punch!\Watch out, Sailor Moon!\Tuxedo Mask!\A true boxer would never hit a beautiful young girl.\Instead, he would embrace her gently.\Boxsy! Knock out that snooty guy, too! response:	All right! Come, come! A lovely punch!
context: Umino...\I am a champion! Lovely punch!\Watch out, Sailor Moon!\Tuxedo Mask!\A true boxer would never hit a beautiful young girl.\Instead, he would embrace her gently.\Boxsy! Knock out that snooty guy, too!\All right! Come, come! A lovely punch! response:	I am a champion! Triple punch!
context: I am a champion! Lovely punch!\Watch out, Sailor Moon!\Tuxedo Mask!\A true boxer would never hit a beautiful young girl.\Instead, he would embrace her gently.\Boxsy! Knock out that snooty guy, too!\All right! Come, come! A lovely punch!\I am a champion! Triple punch! response:	This is nothing!
context: Watch out, Sailor Moon!\Tuxedo Mask!\A true boxer would never hit a beautiful young girl.\Instead, he would embrace her gently.\Boxsy! Knock out that snooty guy, too!\All right! Come, come! A lovely punch!\I am a champion! Triple punch!\This is nothing! response:	This is...
context: Tuxedo Mask!\A true boxer would never hit a beautiful young girl.\Instead, he would embrace her gently.\Boxsy! Knock out that snooty guy, too!\All right! Come, come! A lovely punch!\I am a champion! Triple punch!\This is nothing!\This is... response:	Mako! Over here!
context: A true boxer would never hit a beautiful young girl.\Instead, he would embrace her gently.\Boxsy! Knock out that snooty guy, too!\All right! Come, come! A lovely punch!\I am a champion! Triple punch!\This is nothing!\This is...\Mako! Over here! response:	Okay!
context: Instead, he would embrace her gently.\Boxsy! Knock out that snooty guy, too!\All right! Come, come! A lovely punch!\I am a champion! Triple punch!\This is nothing!\This is...\Mako! Over here!\Okay! response:	Jupiter Power Makeup!
context: Boxsy! Knock out that snooty guy, too!\All right! Come, come! A lovely punch!\I am a champion! Triple punch!\This is nothing!\This is...\Mako! Over here!\Okay!\Jupiter Power Makeup! response:	Sailor Jupiter!
context: All right! Come, come! A lovely punch!\I am a champion! Triple punch!\This is nothing!\This is...\Mako! Over here!\Okay!\Jupiter Power Makeup!\Sailor Jupiter! response:	I see, so you're my next opponent!
context: I am a champion! Triple punch!\This is nothing!\This is...\Mako! Over here!\Okay!\Jupiter Power Makeup!\Sailor Jupiter!\I see, so you're my next opponent! response:	My guardian, Jupiter!
context: This is nothing!\This is...\Mako! Over here!\Okay!\Jupiter Power Makeup!\Sailor Jupiter!\I see, so you're my next opponent!\My guardian, Jupiter! response:	Brew a storm! Call the clouds! Bring down the lightning!
context: This is...\Mako! Over here!\Okay!\Jupiter Power Makeup!\Sailor Jupiter!\I see, so you're my next opponent!\My guardian, Jupiter!\Brew a storm! Call the clouds! Bring down the lightning! response:	Supreme Thunder!
context: Mako! Over here!\Okay!\Jupiter Power Makeup!\Sailor Jupiter!\I see, so you're my next opponent!\My guardian, Jupiter!\Brew a storm! Call the clouds! Bring down the lightning!\Supreme Thunder! response:	Now! Sailor Moon!
context: Okay!\Jupiter Power Makeup!\Sailor Jupiter!\I see, so you're my next opponent!\My guardian, Jupiter!\Brew a storm! Call the clouds! Bring down the lightning!\Supreme Thunder!\Now! Sailor Moon! response:	Okay!
context: Jupiter Power Makeup!\Sailor Jupiter!\I see, so you're my next opponent!\My guardian, Jupiter!\Brew a storm! Call the clouds! Bring down the lightning!\Supreme Thunder!\Now! Sailor Moon!\Okay! response:	Moon Healing Escalation!
context: Sailor Jupiter!\I see, so you're my next opponent!\My guardian, Jupiter!\Brew a storm! Call the clouds! Bring down the lightning!\Supreme Thunder!\Now! Sailor Moon!\Okay!\Moon Healing Escalation! response:	Refresh!
context: I see, so you're my next opponent!\My guardian, Jupiter!\Brew a storm! Call the clouds! Bring down the lightning!\Supreme Thunder!\Now! Sailor Moon!\Okay!\Moon Healing Escalation!\Refresh! response:	Do you believe in God?
context: My guardian, Jupiter!\Brew a storm! Call the clouds! Bring down the lightning!\Supreme Thunder!\Now! Sailor Moon!\Okay!\Moon Healing Escalation!\Refresh!\Do you believe in God? response:	I do. Love thy neighbors.
context: Brew a storm! Call the clouds! Bring down the lightning!\Supreme Thunder!\Now! Sailor Moon!\Okay!\Moon Healing Escalation!\Refresh!\Do you believe in God?\I do. Love thy neighbors. response:	That is...
context: Supreme Thunder!\Now! Sailor Moon!\Okay!\Moon Healing Escalation!\Refresh!\Do you believe in God?\I do. Love thy neighbors.\That is... response:	This rainbow crystal is mine! Good-bye!
context: Now! Sailor Moon!\Okay!\Moon Healing Escalation!\Refresh!\Do you believe in God?\I do. Love thy neighbors.\That is...\This rainbow crystal is mine! Good-bye! response:	One day, I will take it back from you!
context: Okay!\Moon Healing Escalation!\Refresh!\Do you believe in God?\I do. Love thy neighbors.\That is...\This rainbow crystal is mine! Good-bye!\One day, I will take it back from you! response:	Sailor Moon! We have to get that rainbow crystal back!
context: Moon Healing Escalation!\Refresh!\Do you believe in God?\I do. Love thy neighbors.\That is...\This rainbow crystal is mine! Good-bye!\One day, I will take it back from you!\Sailor Moon! We have to get that rainbow crystal back! response:	Tuxedo Mask...
context: Refresh!\Do you believe in God?\I do. Love thy neighbors.\That is...\This rainbow crystal is mine! Good-bye!\One day, I will take it back from you!\Sailor Moon! We have to get that rainbow crystal back!\Tuxedo Mask... response:	I see. Now, I know my true identity.
context: Do you believe in God?\I do. Love thy neighbors.\That is...\This rainbow crystal is mine! Good-bye!\One day, I will take it back from you!\Sailor Moon! We have to get that rainbow crystal back!\Tuxedo Mask...\I see. Now, I know my true identity. response:	I am Tuxedo Mask.
context: I do. Love thy neighbors.\That is...\This rainbow crystal is mine! Good-bye!\One day, I will take it back from you!\Sailor Moon! We have to get that rainbow crystal back!\Tuxedo Mask...\I see. Now, I know my true identity.\I am Tuxedo Mask. response:	There!
context: That is...\This rainbow crystal is mine! Good-bye!\One day, I will take it back from you!\Sailor Moon! We have to get that rainbow crystal back!\Tuxedo Mask...\I see. Now, I know my true identity.\I am Tuxedo Mask.\There! response:	Thank you so much.
context: This rainbow crystal is mine! Good-bye!\One day, I will take it back from you!\Sailor Moon! We have to get that rainbow crystal back!\Tuxedo Mask...\I see. Now, I know my true identity.\I am Tuxedo Mask.\There!\Thank you so much. response:	Naru, that's...
context: One day, I will take it back from you!\Sailor Moon! We have to get that rainbow crystal back!\Tuxedo Mask...\I see. Now, I know my true identity.\I am Tuxedo Mask.\There!\Thank you so much.\Naru, that's... response:	It's okay, because Umino got hurt trying to save me.
context: Sailor Moon! We have to get that rainbow crystal back!\Tuxedo Mask...\I see. Now, I know my true identity.\I am Tuxedo Mask.\There!\Thank you so much.\Naru, that's...\It's okay, because Umino got hurt trying to save me. response:	Oh, well...
context: Tuxedo Mask...\I see. Now, I know my true identity.\I am Tuxedo Mask.\There!\Thank you so much.\Naru, that's...\It's okay, because Umino got hurt trying to save me.\Oh, well... response:	Usagi, sorry for worrying you.
context: I see. Now, I know my true identity.\I am Tuxedo Mask.\There!\Thank you so much.\Naru, that's...\It's okay, because Umino got hurt trying to save me.\Oh, well...\Usagi, sorry for worrying you. response:	I'll go back to school starting tomorrow.
context: I am Tuxedo Mask.\There!\Thank you so much.\Naru, that's...\It's okay, because Umino got hurt trying to save me.\Oh, well...\Usagi, sorry for worrying you.\I'll go back to school starting tomorrow. response:	Naru...
context: There!\Thank you so much.\Naru, that's...\It's okay, because Umino got hurt trying to save me.\Oh, well...\Usagi, sorry for worrying you.\I'll go back to school starting tomorrow.\Naru... response:	I'm sorry, Mako. I asked you to come all the way out here
context: Thank you so much.\Naru, that's...\It's okay, because Umino got hurt trying to save me.\Oh, well...\Usagi, sorry for worrying you.\I'll go back to school starting tomorrow.\Naru...\I'm sorry, Mako. I asked you to come all the way out here response:	because I wanted to show you Usagi's good side, but...
context: Naru, that's...\It's okay, because Umino got hurt trying to save me.\Oh, well...\Usagi, sorry for worrying you.\I'll go back to school starting tomorrow.\Naru...\I'm sorry, Mako. I asked you to come all the way out here\because I wanted to show you Usagi's good side, but... response:	But at least I've found out she's very caring about her friend.
context: It's okay, because Umino got hurt trying to save me.\Oh, well...\Usagi, sorry for worrying you.\I'll go back to school starting tomorrow.\Naru...\I'm sorry, Mako. I asked you to come all the way out here\because I wanted to show you Usagi's good side, but...\But at least I've found out she's very caring about her friend. response:	Mako!
context: Oh, well...\Usagi, sorry for worrying you.\I'll go back to school starting tomorrow.\Naru...\I'm sorry, Mako. I asked you to come all the way out here\because I wanted to show you Usagi's good side, but...\But at least I've found out she's very caring about her friend.\Mako! response:	That sounds pretty. Where did you get it?
context: Usagi, sorry for worrying you.\I'll go back to school starting tomorrow.\Naru...\I'm sorry, Mako. I asked you to come all the way out here\because I wanted to show you Usagi's good side, but...\But at least I've found out she's very caring about her friend.\Mako!\That sounds pretty. Where did you get it? response:	Oh...
context: I'll go back to school starting tomorrow.\Naru...\I'm sorry, Mako. I asked you to come all the way out here\because I wanted to show you Usagi's good side, but...\But at least I've found out she's very caring about her friend.\Mako!\That sounds pretty. Where did you get it?\Oh... response:	Yume no naka futari de ita yo ne
context: Naru...\I'm sorry, Mako. I asked you to come all the way out here\because I wanted to show you Usagi's good side, but...\But at least I've found out she's very caring about her friend.\Mako!\That sounds pretty. Where did you get it?\Oh...\Yume no naka futari de ita yo ne response:	Hoshi tachi ni mamorarete
context: I'm sorry, Mako. I asked you to come all the way out here\because I wanted to show you Usagi's good side, but...\But at least I've found out she's very caring about her friend.\Mako!\That sounds pretty. Where did you get it?\Oh...\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete response:	Tomodachi no toki ni wa ki ni sezu
context: because I wanted to show you Usagi's good side, but...\But at least I've found out she's very caring about her friend.\Mako!\That sounds pretty. Where did you get it?\Oh...\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu response:	Nanigenaku hanashite ita kedo
context: But at least I've found out she's very caring about her friend.\Mako!\That sounds pretty. Where did you get it?\Oh...\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo response:	Anata dake ki ni naru shunkan ga atta no
context: Mako!\That sounds pretty. Where did you get it?\Oh...\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no response:	Motto kirei ni ima sugu naritai
context: That sounds pretty. Where did you get it?\Oh...\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no\Motto kirei ni ima sugu naritai response:	Koi suru to nanika ga kawaru ne
context: Oh...\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no\Motto kirei ni ima sugu naritai\Koi suru to nanika ga kawaru ne response:	Me o tojite tashikamete
context: Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no\Motto kirei ni ima sugu naritai\Koi suru to nanika ga kawaru ne\Me o tojite tashikamete response:	Dakishimeta tokimeki sono mama kono omoi tsutaetai
