context: *grunt* response:	OH NO SHE DIDN'!
context: This box...\I want you to have this.\Mishio was taken in by the church after she lost her mother.\Her father was sent to the front lines and never returned.\And her mother?\Mishio's family lived on the Eastern region of Vingt-et-Un\Not that...\Yes, the town stricken by the Invisible Death. response:	When they arrived here in Seize, her mother was already showing symptoms, and soon after...
context: I want you to have this.\Mishio was taken in by the church after she lost her mother.\Her father was sent to the front lines and never returned.\And her mother?\Mishio's family lived on the Eastern region of Vingt-et-Un\Not that...\Yes, the town stricken by the Invisible Death.\When they arrived here in Seize, her mother was already showing symptoms, and soon after... response:	Mama told me.
context: Mishio was taken in by the church after she lost her mother.\Her father was sent to the front lines and never returned.\And her mother?\Mishio's family lived on the Eastern region of Vingt-et-Un\Not that...\Yes, the town stricken by the Invisible Death.\When they arrived here in Seize, her mother was already showing symptoms, and soon after...\Mama told me. response:	She said, Sorry I can't do your hair anymore.
context: Her father was sent to the front lines and never returned.\And her mother?\Mishio's family lived on the Eastern region of Vingt-et-Un\Not that...\Yes, the town stricken by the Invisible Death.\When they arrived here in Seize, her mother was already showing symptoms, and soon after...\Mama told me.\She said, Sorry I can't do your hair anymore. response:	And she told me... to have the person who cares about me most tie my hair.
context: And her mother?\Mishio's family lived on the Eastern region of Vingt-et-Un\Not that...\Yes, the town stricken by the Invisible Death.\When they arrived here in Seize, her mother was already showing symptoms, and soon after...\Mama told me.\She said, Sorry I can't do your hair anymore.\And she told me... to have the person who cares about me most tie my hair. response:	Can you tie it, Yumina?
context: Mishio's family lived on the Eastern region of Vingt-et-Un\Not that...\Yes, the town stricken by the Invisible Death.\When they arrived here in Seize, her mother was already showing symptoms, and soon after...\Mama told me.\She said, Sorry I can't do your hair anymore.\And she told me... to have the person who cares about me most tie my hair.\Can you tie it, Yumina? response:	Man lives on.
context: Not that...\Yes, the town stricken by the Invisible Death.\When they arrived here in Seize, her mother was already showing symptoms, and soon after...\Mama told me.\She said, Sorry I can't do your hair anymore.\And she told me... to have the person who cares about me most tie my hair.\Can you tie it, Yumina?\Man lives on. response:	Even after being separated from those we love and suffer as though dying.
context: Yes, the town stricken by the Invisible Death.\When they arrived here in Seize, her mother was already showing symptoms, and soon after...\Mama told me.\She said, Sorry I can't do your hair anymore.\And she told me... to have the person who cares about me most tie my hair.\Can you tie it, Yumina?\Man lives on.\Even after being separated from those we love and suffer as though dying. response:	We still live on. We can live on.
context: When they arrived here in Seize, her mother was already showing symptoms, and soon after...\Mama told me.\She said, Sorry I can't do your hair anymore.\And she told me... to have the person who cares about me most tie my hair.\Can you tie it, Yumina?\Man lives on.\Even after being separated from those we love and suffer as though dying.\We still live on. We can live on. response:	That strength is our sorrow. Our love.
context: Mama told me.\She said, Sorry I can't do your hair anymore.\And she told me... to have the person who cares about me most tie my hair.\Can you tie it, Yumina?\Man lives on.\Even after being separated from those we love and suffer as though dying.\We still live on. We can live on.\That strength is our sorrow. Our love. response:	I'm sorry.
context: She said, Sorry I can't do your hair anymore.\And she told me... to have the person who cares about me most tie my hair.\Can you tie it, Yumina?\Man lives on.\Even after being separated from those we love and suffer as though dying.\We still live on. We can live on.\That strength is our sorrow. Our love.\I'm sorry. response:	Thank you.
context: And she told me... to have the person who cares about me most tie my hair.\Can you tie it, Yumina?\Man lives on.\Even after being separated from those we love and suffer as though dying.\We still live on. We can live on.\That strength is our sorrow. Our love.\I'm sorry.\Thank you. response:	My sister.
context: Can you tie it, Yumina?\Man lives on.\Even after being separated from those we love and suffer as though dying.\We still live on. We can live on.\That strength is our sorrow. Our love.\I'm sorry.\Thank you.\My sister. response:	Everyone's already in there.
context: Man lives on.\Even after being separated from those we love and suffer as though dying.\We still live on. We can live on.\That strength is our sorrow. Our love.\I'm sorry.\Thank you.\My sister.\Everyone's already in there. response:	Yes. I'll go soon.
context: Even after being separated from those we love and suffer as though dying.\We still live on. We can live on.\That strength is our sorrow. Our love.\I'm sorry.\Thank you.\My sister.\Everyone's already in there.\Yes. I'll go soon. response:	You had a long day.
context: We still live on. We can live on.\That strength is our sorrow. Our love.\I'm sorry.\Thank you.\My sister.\Everyone's already in there.\Yes. I'll go soon.\You had a long day. response:	Yeah. I didn't really want to wash my hair,
context: That strength is our sorrow. Our love.\I'm sorry.\Thank you.\My sister.\Everyone's already in there.\Yes. I'll go soon.\You had a long day.\Yeah. I didn't really want to wash my hair, response:	but things happen.
context: I'm sorry.\Thank you.\My sister.\Everyone's already in there.\Yes. I'll go soon.\You had a long day.\Yeah. I didn't really want to wash my hair,\but things happen. response:	Oh! Oh! Oh! Let me dry your hair for you, Rio!
context: Thank you.\My sister.\Everyone's already in there.\Yes. I'll go soon.\You had a long day.\Yeah. I didn't really want to wash my hair,\but things happen.\Oh! Oh! Oh! Let me dry your hair for you, Rio! response:	I've always wanted to touch it!
context: My sister.\Everyone's already in there.\Yes. I'll go soon.\You had a long day.\Yeah. I didn't really want to wash my hair,\but things happen.\Oh! Oh! Oh! Let me dry your hair for you, Rio!\I've always wanted to touch it! response:	So you didn't buy the dolphin?
context: Everyone's already in there.\Yes. I'll go soon.\You had a long day.\Yeah. I didn't really want to wash my hair,\but things happen.\Oh! Oh! Oh! Let me dry your hair for you, Rio!\I've always wanted to touch it!\So you didn't buy the dolphin? response:	I thought that would be your little treat.
context: Yes. I'll go soon.\You had a long day.\Yeah. I didn't really want to wash my hair,\but things happen.\Oh! Oh! Oh! Let me dry your hair for you, Rio!\I've always wanted to touch it!\So you didn't buy the dolphin?\I thought that would be your little treat. response:	Rio, do you believe in destiny?
context: You had a long day.\Yeah. I didn't really want to wash my hair,\but things happen.\Oh! Oh! Oh! Let me dry your hair for you, Rio!\I've always wanted to touch it!\So you didn't buy the dolphin?\I thought that would be your little treat.\Rio, do you believe in destiny? response:	Why do you ask?
context: Yeah. I didn't really want to wash my hair,\but things happen.\Oh! Oh! Oh! Let me dry your hair for you, Rio!\I've always wanted to touch it!\So you didn't buy the dolphin?\I thought that would be your little treat.\Rio, do you believe in destiny?\Why do you ask? response:	Well, something that felt like it happened today.
context: but things happen.\Oh! Oh! Oh! Let me dry your hair for you, Rio!\I've always wanted to touch it!\So you didn't buy the dolphin?\I thought that would be your little treat.\Rio, do you believe in destiny?\Why do you ask?\Well, something that felt like it happened today. response:	That was enough of a treat for me.
context: Oh! Oh! Oh! Let me dry your hair for you, Rio!\I've always wanted to touch it!\So you didn't buy the dolphin?\I thought that would be your little treat.\Rio, do you believe in destiny?\Why do you ask?\Well, something that felt like it happened today.\That was enough of a treat for me. response:	I don't believe in it. I don't like the idea that anything's already decided for you before you even get a chance.
context: I've always wanted to touch it!\So you didn't buy the dolphin?\I thought that would be your little treat.\Rio, do you believe in destiny?\Why do you ask?\Well, something that felt like it happened today.\That was enough of a treat for me.\I don't believe in it. I don't like the idea that anything's already decided for you before you even get a chance. response:	But I do believe
context: So you didn't buy the dolphin?\I thought that would be your little treat.\Rio, do you believe in destiny?\Why do you ask?\Well, something that felt like it happened today.\That was enough of a treat for me.\I don't believe in it. I don't like the idea that anything's already decided for you before you even get a chance.\But I do believe response:	that one small thing someone does
context: I thought that would be your little treat.\Rio, do you believe in destiny?\Why do you ask?\Well, something that felt like it happened today.\That was enough of a treat for me.\I don't believe in it. I don't like the idea that anything's already decided for you before you even get a chance.\But I do believe\that one small thing someone does response:	can work its way up and up
context: Rio, do you believe in destiny?\Why do you ask?\Well, something that felt like it happened today.\That was enough of a treat for me.\I don't believe in it. I don't like the idea that anything's already decided for you before you even get a chance.\But I do believe\that one small thing someone does\can work its way up and up response:	and change someone's life in an amazing way.
context: Why do you ask?\Well, something that felt like it happened today.\That was enough of a treat for me.\I don't believe in it. I don't like the idea that anything's already decided for you before you even get a chance.\But I do believe\that one small thing someone does\can work its way up and up\and change someone's life in an amazing way. response:	If that's destiny,
context: Well, something that felt like it happened today.\That was enough of a treat for me.\I don't believe in it. I don't like the idea that anything's already decided for you before you even get a chance.\But I do believe\that one small thing someone does\can work its way up and up\and change someone's life in an amazing way.\If that's destiny, response:	then maybe...
context: That was enough of a treat for me.\I don't believe in it. I don't like the idea that anything's already decided for you before you even get a chance.\But I do believe\that one small thing someone does\can work its way up and up\and change someone's life in an amazing way.\If that's destiny,\then maybe... response:	D-flat.
context: I don't believe in it. I don't like the idea that anything's already decided for you before you even get a chance.\But I do believe\that one small thing someone does\can work its way up and up\and change someone's life in an amazing way.\If that's destiny,\then maybe...\D-flat. response:	It looks like Rio had a wonderful day today, too.
context: But I do believe\that one small thing someone does\can work its way up and up\and change someone's life in an amazing way.\If that's destiny,\then maybe...\D-flat.\It looks like Rio had a wonderful day today, too. response:	Love and friendship - put these feelings together
context: that one small thing someone does\can work its way up and up\and change someone's life in an amazing way.\If that's destiny,\then maybe...\D-flat.\It looks like Rio had a wonderful day today, too.\Love and friendship - put these feelings together response:	And sing of how important they are
context: can work its way up and up\and change someone's life in an amazing way.\If that's destiny,\then maybe...\D-flat.\It looks like Rio had a wonderful day today, too.\Love and friendship - put these feelings together\And sing of how important they are response:	I was so happy that I cried
context: and change someone's life in an amazing way.\If that's destiny,\then maybe...\D-flat.\It looks like Rio had a wonderful day today, too.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried response:	It hurt so bad that I laughed
context: If that's destiny,\then maybe...\D-flat.\It looks like Rio had a wonderful day today, too.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed response:	But that all just goes to show that I'm alive
context: then maybe...\D-flat.\It looks like Rio had a wonderful day today, too.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive response:	Let's just walk it slowly
context: D-flat.\It looks like Rio had a wonderful day today, too.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly response:	Everybody singing!
context: It looks like Rio had a wonderful day today, too.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing! response:	Just tell me a bit of what you think
context: Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think response:	You're just my friend!
context: And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend! response:	Love and friendship - even though they might waver
context: I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver response:	I know, you know, little happy
context: It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy response:	I want us to echo on forever
context: But that all just goes to show that I'm alive\Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever response:	Can you hear my precious note?
context: Let's just walk it slowly\Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note? response:	All these words that there are can't even describe it.
context: Everybody singing!\Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it. response:	Our harmony
context: Just tell me a bit of what you think\You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony response:	Can you hear it? Our harmony
context: You're just my friend!\Love and friendship - even though they might waver\I know, you know, little happy\I want us to echo on forever\Can you hear my precious note?\All these words that there are can't even describe it.\Our harmony\Can you hear it? Our harmony response:	Next time: Chirping Crickets - Floating Lights on the River
