context: With all my strength... response:	I'll do what I can right now!
context: In this society filled with heroes...\For this class, you'll be split into villains and heroes and fight 2-on-2 indoor battles.\Without basic training?\This is a real battle to understand those basics!\However, the key this time is that there's no robot you can just beat up.\How will wins and losses be determined?\Can we beat them up anyway?\Will the punishment be expulsion like with Mr. Aizawa? response:	How shall we be split up?
context: For this class, you'll be split into villains and heroes and fight 2-on-2 indoor battles.\Without basic training?\This is a real battle to understand those basics!\However, the key this time is that there's no robot you can just beat up.\How will wins and losses be determined?\Can we beat them up anyway?\Will the punishment be expulsion like with Mr. Aizawa?\How shall we be split up? response:	Isn't this cape crazy?
context: Without basic training?\This is a real battle to understand those basics!\However, the key this time is that there's no robot you can just beat up.\How will wins and losses be determined?\Can we beat them up anyway?\Will the punishment be expulsion like with Mr. Aizawa?\How shall we be split up?\Isn't this cape crazy? response:	I'll answer all your questions!
context: This is a real battle to understand those basics!\However, the key this time is that there's no robot you can just beat up.\How will wins and losses be determined?\Can we beat them up anyway?\Will the punishment be expulsion like with Mr. Aizawa?\How shall we be split up?\Isn't this cape crazy?\I'll answer all your questions! response:	Now listen here.
context: However, the key this time is that there's no robot you can just beat up.\How will wins and losses be determined?\Can we beat them up anyway?\Will the punishment be expulsion like with Mr. Aizawa?\How shall we be split up?\Isn't this cape crazy?\I'll answer all your questions!\Now listen here. response:	A script?
context: How will wins and losses be determined?\Can we beat them up anyway?\Will the punishment be expulsion like with Mr. Aizawa?\How shall we be split up?\Isn't this cape crazy?\I'll answer all your questions!\Now listen here.\A script? response:	The situation is that the villains have hidden a nuclear weapon somewhere in their hideout.
context: Can we beat them up anyway?\Will the punishment be expulsion like with Mr. Aizawa?\How shall we be split up?\Isn't this cape crazy?\I'll answer all your questions!\Now listen here.\A script?\The situation is that the villains have hidden a nuclear weapon somewhere in their hideout. response:	The heroes are trying to dispose of that.
context: Will the punishment be expulsion like with Mr. Aizawa?\How shall we be split up?\Isn't this cape crazy?\I'll answer all your questions!\Now listen here.\A script?\The situation is that the villains have hidden a nuclear weapon somewhere in their hideout.\The heroes are trying to dispose of that. response:	The heroes need to catch the villains or get the nuclear weapon back in the allotted time.
context: How shall we be split up?\Isn't this cape crazy?\I'll answer all your questions!\Now listen here.\A script?\The situation is that the villains have hidden a nuclear weapon somewhere in their hideout.\The heroes are trying to dispose of that.\The heroes need to catch the villains or get the nuclear weapon back in the allotted time. response:	The villains need to protect the nuclear weapon for the whole time or catch the heroes.
context: Isn't this cape crazy?\I'll answer all your questions!\Now listen here.\A script?\The situation is that the villains have hidden a nuclear weapon somewhere in their hideout.\The heroes are trying to dispose of that.\The heroes need to catch the villains or get the nuclear weapon back in the allotted time.\The villains need to protect the nuclear weapon for the whole time or catch the heroes. response:	The situation feels very American!
context: I'll answer all your questions!\Now listen here.\A script?\The situation is that the villains have hidden a nuclear weapon somewhere in their hideout.\The heroes are trying to dispose of that.\The heroes need to catch the villains or get the nuclear weapon back in the allotted time.\The villains need to protect the nuclear weapon for the whole time or catch the heroes.\The situation feels very American! response:	Teams and opponents will be determined by drawing lots!
context: Now listen here.\A script?\The situation is that the villains have hidden a nuclear weapon somewhere in their hideout.\The heroes are trying to dispose of that.\The heroes need to catch the villains or get the nuclear weapon back in the allotted time.\The villains need to protect the nuclear weapon for the whole time or catch the heroes.\The situation feels very American!\Teams and opponents will be determined by drawing lots! response:	They're being decided so haphazardly?
context: A script?\The situation is that the villains have hidden a nuclear weapon somewhere in their hideout.\The heroes are trying to dispose of that.\The heroes need to catch the villains or get the nuclear weapon back in the allotted time.\The villains need to protect the nuclear weapon for the whole time or catch the heroes.\The situation feels very American!\Teams and opponents will be determined by drawing lots!\They're being decided so haphazardly? response:	Pros often have to create makeshift teams with heroes from other agencies,
context: The situation is that the villains have hidden a nuclear weapon somewhere in their hideout.\The heroes are trying to dispose of that.\The heroes need to catch the villains or get the nuclear weapon back in the allotted time.\The villains need to protect the nuclear weapon for the whole time or catch the heroes.\The situation feels very American!\Teams and opponents will be determined by drawing lots!\They're being decided so haphazardly?\Pros often have to create makeshift teams with heroes from other agencies, response:	so maybe that's why?
context: The heroes are trying to dispose of that.\The heroes need to catch the villains or get the nuclear weapon back in the allotted time.\The villains need to protect the nuclear weapon for the whole time or catch the heroes.\The situation feels very American!\Teams and opponents will be determined by drawing lots!\They're being decided so haphazardly?\Pros often have to create makeshift teams with heroes from other agencies,\so maybe that's why? response:	I see.
context: The heroes need to catch the villains or get the nuclear weapon back in the allotted time.\The villains need to protect the nuclear weapon for the whole time or catch the heroes.\The situation feels very American!\Teams and opponents will be determined by drawing lots!\They're being decided so haphazardly?\Pros often have to create makeshift teams with heroes from other agencies,\so maybe that's why?\I see. response:	The discernment to look ahead...
context: The villains need to protect the nuclear weapon for the whole time or catch the heroes.\The situation feels very American!\Teams and opponents will be determined by drawing lots!\They're being decided so haphazardly?\Pros often have to create makeshift teams with heroes from other agencies,\so maybe that's why?\I see.\The discernment to look ahead... response:	Please excuse my rudeness!
context: The situation feels very American!\Teams and opponents will be determined by drawing lots!\They're being decided so haphazardly?\Pros often have to create makeshift teams with heroes from other agencies,\so maybe that's why?\I see.\The discernment to look ahead...\Please excuse my rudeness! response:	It's fine. Let's do this quickly!
context: Teams and opponents will be determined by drawing lots!\They're being decided so haphazardly?\Pros often have to create makeshift teams with heroes from other agencies,\so maybe that's why?\I see.\The discernment to look ahead...\Please excuse my rudeness!\It's fine. Let's do this quickly! response:	Wow, it must be fate!
context: They're being decided so haphazardly?\Pros often have to create makeshift teams with heroes from other agencies,\so maybe that's why?\I see.\The discernment to look ahead...\Please excuse my rudeness!\It's fine. Let's do this quickly!\Wow, it must be fate! response:	I'm counting on you!
context: Pros often have to create makeshift teams with heroes from other agencies,\so maybe that's why?\I see.\The discernment to look ahead...\Please excuse my rudeness!\It's fine. Let's do this quickly!\Wow, it must be fate!\I'm counting on you! response:	Seriously?!
context: so maybe that's why?\I see.\The discernment to look ahead...\Please excuse my rudeness!\It's fine. Let's do this quickly!\Wow, it must be fate!\I'm counting on you!\Seriously?! response:	I have to speak properly, or else
context: I see.\The discernment to look ahead...\Please excuse my rudeness!\It's fine. Let's do this quickly!\Wow, it must be fate!\I'm counting on you!\Seriously?!\I have to speak properly, or else response:	The first teams to fight will be...
context: The discernment to look ahead...\Please excuse my rudeness!\It's fine. Let's do this quickly!\Wow, it must be fate!\I'm counting on you!\Seriously?!\I have to speak properly, or else\The first teams to fight will be... response:	Team A will be the heroes, and Team D will be the villains.
context: Please excuse my rudeness!\It's fine. Let's do this quickly!\Wow, it must be fate!\I'm counting on you!\Seriously?!\I have to speak properly, or else\The first teams to fight will be...\Team A will be the heroes, and Team D will be the villains. response:	Everyone else, head toward the monitor room.
context: It's fine. Let's do this quickly!\Wow, it must be fate!\I'm counting on you!\Seriously?!\I have to speak properly, or else\The first teams to fight will be...\Team A will be the heroes, and Team D will be the villains.\Everyone else, head toward the monitor room. response:	Yes, sir!
context: Wow, it must be fate!\I'm counting on you!\Seriously?!\I have to speak properly, or else\The first teams to fight will be...\Team A will be the heroes, and Team D will be the villains.\Everyone else, head toward the monitor room.\Yes, sir! response:	Villain team, go in first and set up!
context: I'm counting on you!\Seriously?!\I have to speak properly, or else\The first teams to fight will be...\Team A will be the heroes, and Team D will be the villains.\Everyone else, head toward the monitor room.\Yes, sir!\Villain team, go in first and set up! response:	In five minutes, the hero team will break in, and the battle will start!
context: Seriously?!\I have to speak properly, or else\The first teams to fight will be...\Team A will be the heroes, and Team D will be the villains.\Everyone else, head toward the monitor room.\Yes, sir!\Villain team, go in first and set up!\In five minutes, the hero team will break in, and the battle will start! response:	Yes, sir!
context: I have to speak properly, or else\The first teams to fight will be...\Team A will be the heroes, and Team D will be the villains.\Everyone else, head toward the monitor room.\Yes, sir!\Villain team, go in first and set up!\In five minutes, the hero team will break in, and the battle will start!\Yes, sir! response:	Young Iida, young Bakugou...
context: The first teams to fight will be...\Team A will be the heroes, and Team D will be the villains.\Everyone else, head toward the monitor room.\Yes, sir!\Villain team, go in first and set up!\In five minutes, the hero team will break in, and the battle will start!\Yes, sir!\Young Iida, young Bakugou... response:	This is pretty close to a real battle.
context: Team A will be the heroes, and Team D will be the villains.\Everyone else, head toward the monitor room.\Yes, sir!\Villain team, go in first and set up!\In five minutes, the hero team will break in, and the battle will start!\Yes, sir!\Young Iida, young Bakugou...\This is pretty close to a real battle. response:	Don't be afraid to get hurt and go all out.
context: Everyone else, head toward the monitor room.\Yes, sir!\Villain team, go in first and set up!\In five minutes, the hero team will break in, and the battle will start!\Yes, sir!\Young Iida, young Bakugou...\This is pretty close to a real battle.\Don't be afraid to get hurt and go all out. response:	Yes, sir!
context: Yes, sir!\Villain team, go in first and set up!\In five minutes, the hero team will break in, and the battle will start!\Yes, sir!\Young Iida, young Bakugou...\This is pretty close to a real battle.\Don't be afraid to get hurt and go all out.\Yes, sir! response:	If things go too far, I will stop it.
context: Villain team, go in first and set up!\In five minutes, the hero team will break in, and the battle will start!\Yes, sir!\Young Iida, young Bakugou...\This is pretty close to a real battle.\Don't be afraid to get hurt and go all out.\Yes, sir!\If things go too far, I will stop it. response:	Yes, sir!
context: In five minutes, the hero team will break in, and the battle will start!\Yes, sir!\Young Iida, young Bakugou...\This is pretty close to a real battle.\Don't be afraid to get hurt and go all out.\Yes, sir!\If things go too far, I will stop it.\Yes, sir! response:	Even if this is training, it pains me to become a villain.
context: Yes, sir!\Young Iida, young Bakugou...\This is pretty close to a real battle.\Don't be afraid to get hurt and go all out.\Yes, sir!\If things go too far, I will stop it.\Yes, sir!\Even if this is training, it pains me to become a villain. response:	So our job is to protect this?
context: Young Iida, young Bakugou...\This is pretty close to a real battle.\Don't be afraid to get hurt and go all out.\Yes, sir!\If things go too far, I will stop it.\Yes, sir!\Even if this is training, it pains me to become a villain.\So our job is to protect this? response:	It's papier-mache.
context: This is pretty close to a real battle.\Don't be afraid to get hurt and go all out.\Yes, sir!\If things go too far, I will stop it.\Yes, sir!\Even if this is training, it pains me to become a villain.\So our job is to protect this?\It's papier-mache. response:	Hey!
context: Don't be afraid to get hurt and go all out.\Yes, sir!\If things go too far, I will stop it.\Yes, sir!\Even if this is training, it pains me to become a villain.\So our job is to protect this?\It's papier-mache.\Hey! response:	Deku has a Quirk, right?
context: Yes, sir!\If things go too far, I will stop it.\Yes, sir!\Even if this is training, it pains me to become a villain.\So our job is to protect this?\It's papier-mache.\Hey!\Deku has a Quirk, right? response:	You saw that extraordinary strength, didn't you?
context: If things go too far, I will stop it.\Yes, sir!\Even if this is training, it pains me to become a villain.\So our job is to protect this?\It's papier-mache.\Hey!\Deku has a Quirk, right?\You saw that extraordinary strength, didn't you? response:	It appears to carry a lot of risk, though...
context: Yes, sir!\Even if this is training, it pains me to become a villain.\So our job is to protect this?\It's papier-mache.\Hey!\Deku has a Quirk, right?\You saw that extraordinary strength, didn't you?\It appears to carry a lot of risk, though... response:	However, you seem to be especially angry when it comes to Midoriya...
context: Even if this is training, it pains me to become a villain.\So our job is to protect this?\It's papier-mache.\Hey!\Deku has a Quirk, right?\You saw that extraordinary strength, didn't you?\It appears to carry a lot of risk, though...\However, you seem to be especially angry when it comes to Midoriya... response:	Did he dare trick me?!
context: So our job is to protect this?\It's papier-mache.\Hey!\Deku has a Quirk, right?\You saw that extraordinary strength, didn't you?\It appears to carry a lot of risk, though...\However, you seem to be especially angry when it comes to Midoriya...\Did he dare trick me?! response:	That damn nerd!
context: It's papier-mache.\Hey!\Deku has a Quirk, right?\You saw that extraordinary strength, didn't you?\It appears to carry a lot of risk, though...\However, you seem to be especially angry when it comes to Midoriya...\Did he dare trick me?!\That damn nerd! response:	It's a lot of work to memorize the building's floor plan.
context: Hey!\Deku has a Quirk, right?\You saw that extraordinary strength, didn't you?\It appears to carry a lot of risk, though...\However, you seem to be especially angry when it comes to Midoriya...\Did he dare trick me?!\That damn nerd!\It's a lot of work to memorize the building's floor plan. response:	But All Might is just the same as when he's on TV.
context: Deku has a Quirk, right?\You saw that extraordinary strength, didn't you?\It appears to carry a lot of risk, though...\However, you seem to be especially angry when it comes to Midoriya...\Did he dare trick me?!\That damn nerd!\It's a lot of work to memorize the building's floor plan.\But All Might is just the same as when he's on TV. response:	Unlike Mr. Aizawa, it looks like there's no punishment, so we can relax and
context: You saw that extraordinary strength, didn't you?\It appears to carry a lot of risk, though...\However, you seem to be especially angry when it comes to Midoriya...\Did he dare trick me?!\That damn nerd!\It's a lot of work to memorize the building's floor plan.\But All Might is just the same as when he's on TV.\Unlike Mr. Aizawa, it looks like there's no punishment, so we can relax and response:	You're not relaxed at all!
context: It appears to carry a lot of risk, though...\However, you seem to be especially angry when it comes to Midoriya...\Did he dare trick me?!\That damn nerd!\It's a lot of work to memorize the building's floor plan.\But All Might is just the same as when he's on TV.\Unlike Mr. Aizawa, it looks like there's no punishment, so we can relax and\You're not relaxed at all! response:	Well, it's because...
context: However, you seem to be especially angry when it comes to Midoriya...\Did he dare trick me?!\That damn nerd!\It's a lot of work to memorize the building's floor plan.\But All Might is just the same as when he's on TV.\Unlike Mr. Aizawa, it looks like there's no punishment, so we can relax and\You're not relaxed at all!\Well, it's because... response:	And there's Iida, too, so I feel like I need to be on guard...
context: Did he dare trick me?!\That damn nerd!\It's a lot of work to memorize the building's floor plan.\But All Might is just the same as when he's on TV.\Unlike Mr. Aizawa, it looks like there's no punishment, so we can relax and\You're not relaxed at all!\Well, it's because...\And there's Iida, too, so I feel like I need to be on guard... response:	I see.
context: That damn nerd!\It's a lot of work to memorize the building's floor plan.\But All Might is just the same as when he's on TV.\Unlike Mr. Aizawa, it looks like there's no punishment, so we can relax and\You're not relaxed at all!\Well, it's because...\And there's Iida, too, so I feel like I need to be on guard...\I see. response:	Bakugou's the one who makes fun of you, right?
context: It's a lot of work to memorize the building's floor plan.\But All Might is just the same as when he's on TV.\Unlike Mr. Aizawa, it looks like there's no punishment, so we can relax and\You're not relaxed at all!\Well, it's because...\And there's Iida, too, so I feel like I need to be on guard...\I see.\Bakugou's the one who makes fun of you, right? response:	He's amazing.
context: But All Might is just the same as when he's on TV.\Unlike Mr. Aizawa, it looks like there's no punishment, so we can relax and\You're not relaxed at all!\Well, it's because...\And there's Iida, too, so I feel like I need to be on guard...\I see.\Bakugou's the one who makes fun of you, right?\He's amazing. response:	I'll definitely surpass All Might and become the top hero!
context: Unlike Mr. Aizawa, it looks like there's no punishment, so we can relax and\You're not relaxed at all!\Well, it's because...\And there's Iida, too, so I feel like I need to be on guard...\I see.\Bakugou's the one who makes fun of you, right?\He's amazing.\I'll definitely surpass All Might and become the top hero! response:	He's a piece of work...
context: You're not relaxed at all!\Well, it's because...\And there's Iida, too, so I feel like I need to be on guard...\I see.\Bakugou's the one who makes fun of you, right?\He's amazing.\I'll definitely surpass All Might and become the top hero!\He's a piece of work... response:	But...
context: Well, it's because...\And there's Iida, too, so I feel like I need to be on guard...\I see.\Bakugou's the one who makes fun of you, right?\He's amazing.\I'll definitely surpass All Might and become the top hero!\He's a piece of work...\But... response:	I don't want... to lose...
context: And there's Iida, too, so I feel like I need to be on guard...\I see.\Bakugou's the one who makes fun of you, right?\He's amazing.\I'll definitely surpass All Might and become the top hero!\He's a piece of work...\But...\I don't want... to lose... response:	A fated battle between men, huh?
context: I see.\Bakugou's the one who makes fun of you, right?\He's amazing.\I'll definitely surpass All Might and become the top hero!\He's a piece of work...\But...\I don't want... to lose...\A fated battle between men, huh? response:	Oh, sorry, this isn't your problem, Uraraka.
context: Bakugou's the one who makes fun of you, right?\He's amazing.\I'll definitely surpass All Might and become the top hero!\He's a piece of work...\But...\I don't want... to lose...\A fated battle between men, huh?\Oh, sorry, this isn't your problem, Uraraka. response:	It is! We're a team, aren't we?
context: He's amazing.\I'll definitely surpass All Might and become the top hero!\He's a piece of work...\But...\I don't want... to lose...\A fated battle between men, huh?\Oh, sorry, this isn't your problem, Uraraka.\It is! We're a team, aren't we? response:	Let's do our best!
context: I'll definitely surpass All Might and become the top hero!\He's a piece of work...\But...\I don't want... to lose...\A fated battle between men, huh?\Oh, sorry, this isn't your problem, Uraraka.\It is! We're a team, aren't we?\Let's do our best! response:	Now, let's start the indoor person-to-person combat training with Team A and Team D!
context: He's a piece of work...\But...\I don't want... to lose...\A fated battle between men, huh?\Oh, sorry, this isn't your problem, Uraraka.\It is! We're a team, aren't we?\Let's do our best!\Now, let's start the indoor person-to-person combat training with Team A and Team D! response:	Okay, everyone, you all should think as well.
context: But...\I don't want... to lose...\A fated battle between men, huh?\Oh, sorry, this isn't your problem, Uraraka.\It is! We're a team, aren't we?\Let's do our best!\Now, let's start the indoor person-to-person combat training with Team A and Team D!\Okay, everyone, you all should think as well. response:	Young Midoriya...
context: I don't want... to lose...\A fated battle between men, huh?\Oh, sorry, this isn't your problem, Uraraka.\It is! We're a team, aren't we?\Let's do our best!\Now, let's start the indoor person-to-person combat training with Team A and Team D!\Okay, everyone, you all should think as well.\Young Midoriya... response:	I'll grade you strictly, without playing favorites.
context: A fated battle between men, huh?\Oh, sorry, this isn't your problem, Uraraka.\It is! We're a team, aren't we?\Let's do our best!\Now, let's start the indoor person-to-person combat training with Team A and Team D!\Okay, everyone, you all should think as well.\Young Midoriya...\I'll grade you strictly, without playing favorites. response:	We've infiltrated successfully!
context: Oh, sorry, this isn't your problem, Uraraka.\It is! We're a team, aren't we?\Let's do our best!\Now, let's start the indoor person-to-person combat training with Team A and Team D!\Okay, everyone, you all should think as well.\Young Midoriya...\I'll grade you strictly, without playing favorites.\We've infiltrated successfully! response:	There are a lot of blind spots, so let's be careful.
context: It is! We're a team, aren't we?\Let's do our best!\Now, let's start the indoor person-to-person combat training with Team A and Team D!\Okay, everyone, you all should think as well.\Young Midoriya...\I'll grade you strictly, without playing favorites.\We've infiltrated successfully!\There are a lot of blind spots, so let's be careful. response:	I still can't control One For All...
context: Let's do our best!\Now, let's start the indoor person-to-person combat training with Team A and Team D!\Okay, everyone, you all should think as well.\Young Midoriya...\I'll grade you strictly, without playing favorites.\We've infiltrated successfully!\There are a lot of blind spots, so let's be careful.\I still can't control One For All... response:	If I use that on someone, it'll kill them.
context: Now, let's start the indoor person-to-person combat training with Team A and Team D!\Okay, everyone, you all should think as well.\Young Midoriya...\I'll grade you strictly, without playing favorites.\We've infiltrated successfully!\There are a lot of blind spots, so let's be careful.\I still can't control One For All...\If I use that on someone, it'll kill them. response:	We just have to do it with the power I have now and Uraraka's Zero Gravity.
context: Okay, everyone, you all should think as well.\Young Midoriya...\I'll grade you strictly, without playing favorites.\We've infiltrated successfully!\There are a lot of blind spots, so let's be careful.\I still can't control One For All...\If I use that on someone, it'll kill them.\We just have to do it with the power I have now and Uraraka's Zero Gravity. response:	I've got to use my head...
context: Young Midoriya...\I'll grade you strictly, without playing favorites.\We've infiltrated successfully!\There are a lot of blind spots, so let's be careful.\I still can't control One For All...\If I use that on someone, it'll kill them.\We just have to do it with the power I have now and Uraraka's Zero Gravity.\I've got to use my head... response:	Indoor battle...
context: I'll grade you strictly, without playing favorites.\We've infiltrated successfully!\There are a lot of blind spots, so let's be careful.\I still can't control One For All...\If I use that on someone, it'll kill them.\We just have to do it with the power I have now and Uraraka's Zero Gravity.\I've got to use my head...\Indoor battle... response:	Those notes on battles in tight spaces...
context: We've infiltrated successfully!\There are a lot of blind spots, so let's be careful.\I still can't control One For All...\If I use that on someone, it'll kill them.\We just have to do it with the power I have now and Uraraka's Zero Gravity.\I've got to use my head...\Indoor battle...\Those notes on battles in tight spaces... response:	Remember!
context: There are a lot of blind spots, so let's be careful.\I still can't control One For All...\If I use that on someone, it'll kill them.\We just have to do it with the power I have now and Uraraka's Zero Gravity.\I've got to use my head...\Indoor battle...\Those notes on battles in tight spaces...\Remember! response:	Uraraka, are you all right?
context: I still can't control One For All...\If I use that on someone, it'll kill them.\We just have to do it with the power I have now and Uraraka's Zero Gravity.\I've got to use my head...\Indoor battle...\Those notes on battles in tight spaces...\Remember!\Uraraka, are you all right? response:	Yeah, thanks.
context: If I use that on someone, it'll kill them.\We just have to do it with the power I have now and Uraraka's Zero Gravity.\I've got to use my head...\Indoor battle...\Those notes on battles in tight spaces...\Remember!\Uraraka, are you all right?\Yeah, thanks. response:	Deku?!
context: We just have to do it with the power I have now and Uraraka's Zero Gravity.\I've got to use my head...\Indoor battle...\Those notes on battles in tight spaces...\Remember!\Uraraka, are you all right?\Yeah, thanks.\Deku?! response:	It's just a scratch.
context: I've got to use my head...\Indoor battle...\Those notes on battles in tight spaces...\Remember!\Uraraka, are you all right?\Yeah, thanks.\Deku?!\It's just a scratch. response:	Come Deku...
context: Indoor battle...\Those notes on battles in tight spaces...\Remember!\Uraraka, are you all right?\Yeah, thanks.\Deku?!\It's just a scratch.\Come Deku... response:	I figured you'd come for me first.
context: Those notes on battles in tight spaces...\Remember!\Uraraka, are you all right?\Yeah, thanks.\Deku?!\It's just a scratch.\Come Deku...\I figured you'd come for me first. response:	A surprise attack from the start?
context: Remember!\Uraraka, are you all right?\Yeah, thanks.\Deku?!\It's just a scratch.\Come Deku...\I figured you'd come for me first.\A surprise attack from the start? response:	Bakugou, that's cheating!
context: Uraraka, are you all right?\Yeah, thanks.\Deku?!\It's just a scratch.\Come Deku...\I figured you'd come for me first.\A surprise attack from the start?\Bakugou, that's cheating! response:	A surprise attack isn't manly at all!
context: Yeah, thanks.\Deku?!\It's just a scratch.\Come Deku...\I figured you'd come for me first.\A surprise attack from the start?\Bakugou, that's cheating!\A surprise attack isn't manly at all! response:	A surprise attack is a strategy, too.
context: Deku?!\It's just a scratch.\Come Deku...\I figured you'd come for me first.\A surprise attack from the start?\Bakugou, that's cheating!\A surprise attack isn't manly at all!\A surprise attack is a strategy, too. response:	They're in the middle of a real battle right now.
context: It's just a scratch.\Come Deku...\I figured you'd come for me first.\A surprise attack from the start?\Bakugou, that's cheating!\A surprise attack isn't manly at all!\A surprise attack is a strategy, too.\They're in the middle of a real battle right now. response:	Midori avoided it!
context: Come Deku...\I figured you'd come for me first.\A surprise attack from the start?\Bakugou, that's cheating!\A surprise attack isn't manly at all!\A surprise attack is a strategy, too.\They're in the middle of a real battle right now.\Midori avoided it! response:	There goes Bakugou!
context: I figured you'd come for me first.\A surprise attack from the start?\Bakugou, that's cheating!\A surprise attack isn't manly at all!\A surprise attack is a strategy, too.\They're in the middle of a real battle right now.\Midori avoided it!\There goes Bakugou! response:	I won't do so much damage that this fight gets stopped, but I'm gonna get close!
context: A surprise attack from the start?\Bakugou, that's cheating!\A surprise attack isn't manly at all!\A surprise attack is a strategy, too.\They're in the middle of a real battle right now.\Midori avoided it!\There goes Bakugou!\I won't do so much damage that this fight gets stopped, but I'm gonna get close! response:	Wow, he's like a martial arts master!
context: Bakugou, that's cheating!\A surprise attack isn't manly at all!\A surprise attack is a strategy, too.\They're in the middle of a real battle right now.\Midori avoided it!\There goes Bakugou!\I won't do so much damage that this fight gets stopped, but I'm gonna get close!\Wow, he's like a martial arts master! response:	What's with this guy?
context: A surprise attack isn't manly at all!\A surprise attack is a strategy, too.\They're in the middle of a real battle right now.\Midori avoided it!\There goes Bakugou!\I won't do so much damage that this fight gets stopped, but I'm gonna get close!\Wow, he's like a martial arts master!\What's with this guy? response:	Did he read my moves?
context: A surprise attack is a strategy, too.\They're in the middle of a real battle right now.\Midori avoided it!\There goes Bakugou!\I won't do so much damage that this fight gets stopped, but I'm gonna get close!\Wow, he's like a martial arts master!\What's with this guy?\Did he read my moves? response:	Kacchan...
context: They're in the middle of a real battle right now.\Midori avoided it!\There goes Bakugou!\I won't do so much damage that this fight gets stopped, but I'm gonna get close!\Wow, he's like a martial arts master!\What's with this guy?\Did he read my moves?\Kacchan... response:	You usually start with a big right swing.
context: Midori avoided it!\There goes Bakugou!\I won't do so much damage that this fight gets stopped, but I'm gonna get close!\Wow, he's like a martial arts master!\What's with this guy?\Did he read my moves?\Kacchan...\You usually start with a big right swing. response:	How much do you think I've been watching you?
context: There goes Bakugou!\I won't do so much damage that this fight gets stopped, but I'm gonna get close!\Wow, he's like a martial arts master!\What's with this guy?\Did he read my moves?\Kacchan...\You usually start with a big right swing.\How much do you think I've been watching you? response:	I wrote an analysis for all the heroes I thought were amazing in my notebook.
context: I won't do so much damage that this fight gets stopped, but I'm gonna get close!\Wow, he's like a martial arts master!\What's with this guy?\Did he read my moves?\Kacchan...\You usually start with a big right swing.\How much do you think I've been watching you?\I wrote an analysis for all the heroes I thought were amazing in my notebook. response:	In the notebook you blew up and threw away.
context: Wow, he's like a martial arts master!\What's with this guy?\Did he read my moves?\Kacchan...\You usually start with a big right swing.\How much do you think I've been watching you?\I wrote an analysis for all the heroes I thought were amazing in my notebook.\In the notebook you blew up and threw away. response:	My Deku isn't always going to mean useless!
context: What's with this guy?\Did he read my moves?\Kacchan...\You usually start with a big right swing.\How much do you think I've been watching you?\I wrote an analysis for all the heroes I thought were amazing in my notebook.\In the notebook you blew up and threw away.\My Deku isn't always going to mean useless! response:	Kacchan...
context: Did he read my moves?\Kacchan...\You usually start with a big right swing.\How much do you think I've been watching you?\I wrote an analysis for all the heroes I thought were amazing in my notebook.\In the notebook you blew up and threw away.\My Deku isn't always going to mean useless!\Kacchan... response:	But Deku sounds like the Japanese word for You can do it!
context: Kacchan...\You usually start with a big right swing.\How much do you think I've been watching you?\I wrote an analysis for all the heroes I thought were amazing in my notebook.\In the notebook you blew up and threw away.\My Deku isn't always going to mean useless!\Kacchan...\But Deku sounds like the Japanese word for You can do it! response:	so I kinda like it.
context: You usually start with a big right swing.\How much do you think I've been watching you?\I wrote an analysis for all the heroes I thought were amazing in my notebook.\In the notebook you blew up and threw away.\My Deku isn't always going to mean useless!\Kacchan...\But Deku sounds like the Japanese word for You can do it!\so I kinda like it. response:	Deku...
context: How much do you think I've been watching you?\I wrote an analysis for all the heroes I thought were amazing in my notebook.\In the notebook you blew up and threw away.\My Deku isn't always going to mean useless!\Kacchan...\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\Deku... response:	If you keep going, I'll never forgive you!
context: I wrote an analysis for all the heroes I thought were amazing in my notebook.\In the notebook you blew up and threw away.\My Deku isn't always going to mean useless!\Kacchan...\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\Deku...\If you keep going, I'll never forgive you! response:	Even though you're scared...
context: In the notebook you blew up and threw away.\My Deku isn't always going to mean useless!\Kacchan...\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\Deku...\If you keep going, I'll never forgive you!\Even though you're scared... response:	That's what I...
context: My Deku isn't always going to mean useless!\Kacchan...\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\Deku...\If you keep going, I'll never forgive you!\Even though you're scared...\That's what I... response:	Midoriya, even if this is combat training,
context: Kacchan...\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\Deku...\If you keep going, I'll never forgive you!\Even though you're scared...\That's what I...\Midoriya, even if this is combat training, response:	I will give it my all,
context: But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\Deku...\If you keep going, I'll never forgive you!\Even though you're scared...\That's what I...\Midoriya, even if this is combat training,\I will give it my all, response:	so as not to embarrass the name of the hero family, Iida!
context: so I kinda like it.\Deku...\If you keep going, I'll never forgive you!\Even though you're scared...\That's what I...\Midoriya, even if this is combat training,\I will give it my all,\so as not to embarrass the name of the hero family, Iida! response:	Iida, you're going to play a villain, huh?
context: Deku...\If you keep going, I'll never forgive you!\Even though you're scared...\That's what I...\Midoriya, even if this is combat training,\I will give it my all,\so as not to embarrass the name of the hero family, Iida!\Iida, you're going to play a villain, huh? response:	I am extremely evil, you know.
