context: In the year 845... response:	the Colossal and Armored Titans
context: Captain Wellman, I believe we should consider\Shut up!\Their pleas are irrelevant.\They are traitors.\Anyone who violates the rules must be eliminated.\That is my duty as a soldier!\Enough.\As big as you are, you've always been as delicate as a newborn fawn. response:	Commander Pixis!
context: Shut up!\Their pleas are irrelevant.\They are traitors.\Anyone who violates the rules must be eliminated.\That is my duty as a soldier!\Enough.\As big as you are, you've always been as delicate as a newborn fawn.\Commander Pixis! response:	Do you not see his splendid salute?
context: Their pleas are irrelevant.\They are traitors.\Anyone who violates the rules must be eliminated.\That is my duty as a soldier!\Enough.\As big as you are, you've always been as delicate as a newborn fawn.\Commander Pixis!\Do you not see his splendid salute? response:	I've just arrived, but messengers have kept me abreast of the situation.
context: They are traitors.\Anyone who violates the rules must be eliminated.\That is my duty as a soldier!\Enough.\As big as you are, you've always been as delicate as a newborn fawn.\Commander Pixis!\Do you not see his splendid salute?\I've just arrived, but messengers have kept me abreast of the situation. response:	You go command the reinforcements.
context: Anyone who violates the rules must be eliminated.\That is my duty as a soldier!\Enough.\As big as you are, you've always been as delicate as a newborn fawn.\Commander Pixis!\Do you not see his splendid salute?\I've just arrived, but messengers have kept me abreast of the situation.\You go command the reinforcements. response:	I think we should listen to them...
context: That is my duty as a soldier!\Enough.\As big as you are, you've always been as delicate as a newborn fawn.\Commander Pixis!\Do you not see his splendid salute?\I've just arrived, but messengers have kept me abreast of the situation.\You go command the reinforcements.\I think we should listen to them... response:	Reports by the Survey Corps had said
context: Enough.\As big as you are, you've always been as delicate as a newborn fawn.\Commander Pixis!\Do you not see his splendid salute?\I've just arrived, but messengers have kept me abreast of the situation.\You go command the reinforcements.\I think we should listen to them...\Reports by the Survey Corps had said response:	the Titans would come from the south.
context: As big as you are, you've always been as delicate as a newborn fawn.\Commander Pixis!\Do you not see his splendid salute?\I've just arrived, but messengers have kept me abreast of the situation.\You go command the reinforcements.\I think we should listen to them...\Reports by the Survey Corps had said\the Titans would come from the south. response:	In fact, it was Zhiganshina District,
context: Commander Pixis!\Do you not see his splendid salute?\I've just arrived, but messengers have kept me abreast of the situation.\You go command the reinforcements.\I think we should listen to them...\Reports by the Survey Corps had said\the Titans would come from the south.\In fact, it was Zhiganshina District, response:	south of Wall Maria, that was attacked.
context: Do you not see his splendid salute?\I've just arrived, but messengers have kept me abreast of the situation.\You go command the reinforcements.\I think we should listen to them...\Reports by the Survey Corps had said\the Titans would come from the south.\In fact, it was Zhiganshina District,\south of Wall Maria, that was attacked. response:	Thus, it was widely believed that the district south of Wall Rose,
context: I've just arrived, but messengers have kept me abreast of the situation.\You go command the reinforcements.\I think we should listen to them...\Reports by the Survey Corps had said\the Titans would come from the south.\In fact, it was Zhiganshina District,\south of Wall Maria, that was attacked.\Thus, it was widely believed that the district south of Wall Rose, response:	Trost, had the highest likelihood of being the next target.
context: You go command the reinforcements.\I think we should listen to them...\Reports by the Survey Corps had said\the Titans would come from the south.\In fact, it was Zhiganshina District,\south of Wall Maria, that was attacked.\Thus, it was widely believed that the district south of Wall Rose,\Trost, had the highest likelihood of being the next target. response:	Trost District, Inner Gate
context: I think we should listen to them...\Reports by the Survey Corps had said\the Titans would come from the south.\In fact, it was Zhiganshina District,\south of Wall Maria, that was attacked.\Thus, it was widely believed that the district south of Wall Rose,\Trost, had the highest likelihood of being the next target.\Trost District, Inner Gate response:	Dot Pixis...
context: Reports by the Survey Corps had said\the Titans would come from the south.\In fact, it was Zhiganshina District,\south of Wall Maria, that was attacked.\Thus, it was widely believed that the district south of Wall Rose,\Trost, had the highest likelihood of being the next target.\Trost District, Inner Gate\Dot Pixis... response:	He is the High Commander
context: the Titans would come from the south.\In fact, it was Zhiganshina District,\south of Wall Maria, that was attacked.\Thus, it was widely believed that the district south of Wall Rose,\Trost, had the highest likelihood of being the next target.\Trost District, Inner Gate\Dot Pixis...\He is the High Commander response:	of the entire southern region, including Trost.
context: In fact, it was Zhiganshina District,\south of Wall Maria, that was attacked.\Thus, it was widely believed that the district south of Wall Rose,\Trost, had the highest likelihood of being the next target.\Trost District, Inner Gate\Dot Pixis...\He is the High Commander\of the entire southern region, including Trost. response:	The man with absolute authority over
context: south of Wall Maria, that was attacked.\Thus, it was widely believed that the district south of Wall Rose,\Trost, had the highest likelihood of being the next target.\Trost District, Inner Gate\Dot Pixis...\He is the High Commander\of the entire southern region, including Trost.\The man with absolute authority over response:	the defense of humanity's most important region.
context: Thus, it was widely believed that the district south of Wall Rose,\Trost, had the highest likelihood of being the next target.\Trost District, Inner Gate\Dot Pixis...\He is the High Commander\of the entire southern region, including Trost.\The man with absolute authority over\the defense of humanity's most important region. response:	No luck, huh?
context: Trost, had the highest likelihood of being the next target.\Trost District, Inner Gate\Dot Pixis...\He is the High Commander\of the entire southern region, including Trost.\The man with absolute authority over\the defense of humanity's most important region.\No luck, huh? response:	I wouldn't mind being eaten by a really beautiful Titan woman.
context: Trost District, Inner Gate\Dot Pixis...\He is the High Commander\of the entire southern region, including Trost.\The man with absolute authority over\the defense of humanity's most important region.\No luck, huh?\I wouldn't mind being eaten by a really beautiful Titan woman. response:	And he is known to be a total eccentric.
context: Dot Pixis...\He is the High Commander\of the entire southern region, including Trost.\The man with absolute authority over\the defense of humanity's most important region.\No luck, huh?\I wouldn't mind being eaten by a really beautiful Titan woman.\And he is known to be a total eccentric. response:	What is the Commander thinking?
context: He is the High Commander\of the entire southern region, including Trost.\The man with absolute authority over\the defense of humanity's most important region.\No luck, huh?\I wouldn't mind being eaten by a really beautiful Titan woman.\And he is known to be a total eccentric.\What is the Commander thinking? response:	Allowing them up there unguarded,
context: of the entire southern region, including Trost.\The man with absolute authority over\the defense of humanity's most important region.\No luck, huh?\I wouldn't mind being eaten by a really beautiful Titan woman.\And he is known to be a total eccentric.\What is the Commander thinking?\Allowing them up there unguarded, response:	when we don't know what they are...
context: The man with absolute authority over\the defense of humanity's most important region.\No luck, huh?\I wouldn't mind being eaten by a really beautiful Titan woman.\And he is known to be a total eccentric.\What is the Commander thinking?\Allowing them up there unguarded,\when we don't know what they are... response:	I don't know.
context: the defense of humanity's most important region.\No luck, huh?\I wouldn't mind being eaten by a really beautiful Titan woman.\And he is known to be a total eccentric.\What is the Commander thinking?\Allowing them up there unguarded,\when we don't know what they are...\I don't know. response:	The Commander's ideas are always beyond normal people's comprehension.
context: No luck, huh?\I wouldn't mind being eaten by a really beautiful Titan woman.\And he is known to be a total eccentric.\What is the Commander thinking?\Allowing them up there unguarded,\when we don't know what they are...\I don't know.\The Commander's ideas are always beyond normal people's comprehension. response:	Captain...
context: I wouldn't mind being eaten by a really beautiful Titan woman.\And he is known to be a total eccentric.\What is the Commander thinking?\Allowing them up there unguarded,\when we don't know what they are...\I don't know.\The Commander's ideas are always beyond normal people's comprehension.\Captain... response:	The squads are in formation.
context: And he is known to be a total eccentric.\What is the Commander thinking?\Allowing them up there unguarded,\when we don't know what they are...\I don't know.\The Commander's ideas are always beyond normal people's comprehension.\Captain...\The squads are in formation. response:	Oh, excellent.
context: What is the Commander thinking?\Allowing them up there unguarded,\when we don't know what they are...\I don't know.\The Commander's ideas are always beyond normal people's comprehension.\Captain...\The squads are in formation.\Oh, excellent. response:	I see.
context: Allowing them up there unguarded,\when we don't know what they are...\I don't know.\The Commander's ideas are always beyond normal people's comprehension.\Captain...\The squads are in formation.\Oh, excellent.\I see. response:	And if we reach this basement, we'll understand everything?
context: when we don't know what they are...\I don't know.\The Commander's ideas are always beyond normal people's comprehension.\Captain...\The squads are in formation.\Oh, excellent.\I see.\And if we reach this basement, we'll understand everything? response:	Yes... Will you believe me?
context: I don't know.\The Commander's ideas are always beyond normal people's comprehension.\Captain...\The squads are in formation.\Oh, excellent.\I see.\And if we reach this basement, we'll understand everything?\Yes... Will you believe me? response:	As long as you, yourself, lack absolute conviction,
context: The Commander's ideas are always beyond normal people's comprehension.\Captain...\The squads are in formation.\Oh, excellent.\I see.\And if we reach this basement, we'll understand everything?\Yes... Will you believe me?\As long as you, yourself, lack absolute conviction, response:	I can't promise more than that I'll keep it in mind.
context: Captain...\The squads are in formation.\Oh, excellent.\I see.\And if we reach this basement, we'll understand everything?\Yes... Will you believe me?\As long as you, yourself, lack absolute conviction,\I can't promise more than that I'll keep it in mind. response:	But I do take pride in being able to recognize the truth of what I see.
context: The squads are in formation.\Oh, excellent.\I see.\And if we reach this basement, we'll understand everything?\Yes... Will you believe me?\As long as you, yourself, lack absolute conviction,\I can't promise more than that I'll keep it in mind.\But I do take pride in being able to recognize the truth of what I see. response:	I'll guarantee your safety.
context: Oh, excellent.\I see.\And if we reach this basement, we'll understand everything?\Yes... Will you believe me?\As long as you, yourself, lack absolute conviction,\I can't promise more than that I'll keep it in mind.\But I do take pride in being able to recognize the truth of what I see.\I'll guarantee your safety. response:	Trainee Arlert, was it?
context: I see.\And if we reach this basement, we'll understand everything?\Yes... Will you believe me?\As long as you, yourself, lack absolute conviction,\I can't promise more than that I'll keep it in mind.\But I do take pride in being able to recognize the truth of what I see.\I'll guarantee your safety.\Trainee Arlert, was it? response:	Yes, sir!
context: And if we reach this basement, we'll understand everything?\Yes... Will you believe me?\As long as you, yourself, lack absolute conviction,\I can't promise more than that I'll keep it in mind.\But I do take pride in being able to recognize the truth of what I see.\I'll guarantee your safety.\Trainee Arlert, was it?\Yes, sir! response:	Back there, you said we could use
context: Yes... Will you believe me?\As long as you, yourself, lack absolute conviction,\I can't promise more than that I'll keep it in mind.\But I do take pride in being able to recognize the truth of what I see.\I'll guarantee your safety.\Trainee Arlert, was it?\Yes, sir!\Back there, you said we could use response:	the Titan's power to reclaim this city.
context: As long as you, yourself, lack absolute conviction,\I can't promise more than that I'll keep it in mind.\But I do take pride in being able to recognize the truth of what I see.\I'll guarantee your safety.\Trainee Arlert, was it?\Yes, sir!\Back there, you said we could use\the Titan's power to reclaim this city. response:	Did you really think so?
context: I can't promise more than that I'll keep it in mind.\But I do take pride in being able to recognize the truth of what I see.\I'll guarantee your safety.\Trainee Arlert, was it?\Yes, sir!\Back there, you said we could use\the Titan's power to reclaim this city.\Did you really think so? response:	Or was it just a plea to save your life?
context: But I do take pride in being able to recognize the truth of what I see.\I'll guarantee your safety.\Trainee Arlert, was it?\Yes, sir!\Back there, you said we could use\the Titan's power to reclaim this city.\Did you really think so?\Or was it just a plea to save your life? response:	Well...
context: I'll guarantee your safety.\Trainee Arlert, was it?\Yes, sir!\Back there, you said we could use\the Titan's power to reclaim this city.\Did you really think so?\Or was it just a plea to save your life?\Well... response:	Both.
context: Trainee Arlert, was it?\Yes, sir!\Back there, you said we could use\the Titan's power to reclaim this city.\Did you really think so?\Or was it just a plea to save your life?\Well...\Both. response:	What I meant was to have
context: Yes, sir!\Back there, you said we could use\the Titan's power to reclaim this city.\Did you really think so?\Or was it just a plea to save your life?\Well...\Both.\What I meant was to have response:	Eren become a Titan, then move that boulder
context: Back there, you said we could use\the Titan's power to reclaim this city.\Did you really think so?\Or was it just a plea to save your life?\Well...\Both.\What I meant was to have\Eren become a Titan, then move that boulder response:	to seal the destroyed gate.
context: the Titan's power to reclaim this city.\Did you really think so?\Or was it just a plea to save your life?\Well...\Both.\What I meant was to have\Eren become a Titan, then move that boulder\to seal the destroyed gate. response:	But it was just an idea...
context: Did you really think so?\Or was it just a plea to save your life?\Well...\Both.\What I meant was to have\Eren become a Titan, then move that boulder\to seal the destroyed gate.\But it was just an idea... response:	I thought I could get them to at least
context: Or was it just a plea to save your life?\Well...\Both.\What I meant was to have\Eren become a Titan, then move that boulder\to seal the destroyed gate.\But it was just an idea...\I thought I could get them to at least response:	at least consider using Eren's power to find a way out of our predicament.
context: Well...\Both.\What I meant was to have\Eren become a Titan, then move that boulder\to seal the destroyed gate.\But it was just an idea...\I thought I could get them to at least\at least consider using Eren's power to find a way out of our predicament. response:	Of course, I wanted to survive!
context: Both.\What I meant was to have\Eren become a Titan, then move that boulder\to seal the destroyed gate.\But it was just an idea...\I thought I could get them to at least\at least consider using Eren's power to find a way out of our predicament.\Of course, I wanted to survive! response:	You wanted to survive.
context: What I meant was to have\Eren become a Titan, then move that boulder\to seal the destroyed gate.\But it was just an idea...\I thought I could get them to at least\at least consider using Eren's power to find a way out of our predicament.\Of course, I wanted to survive!\You wanted to survive. response:	I can trust those words more than any others.
context: Eren become a Titan, then move that boulder\to seal the destroyed gate.\But it was just an idea...\I thought I could get them to at least\at least consider using Eren's power to find a way out of our predicament.\Of course, I wanted to survive!\You wanted to survive.\I can trust those words more than any others. response:	Well, Trainee Jaeger?
context: to seal the destroyed gate.\But it was just an idea...\I thought I could get them to at least\at least consider using Eren's power to find a way out of our predicament.\Of course, I wanted to survive!\You wanted to survive.\I can trust those words more than any others.\Well, Trainee Jaeger? response:	Yes?
context: But it was just an idea...\I thought I could get them to at least\at least consider using Eren's power to find a way out of our predicament.\Of course, I wanted to survive!\You wanted to survive.\I can trust those words more than any others.\Well, Trainee Jaeger?\Yes? response:	Can you seal that hole?
context: I thought I could get them to at least\at least consider using Eren's power to find a way out of our predicament.\Of course, I wanted to survive!\You wanted to survive.\I can trust those words more than any others.\Well, Trainee Jaeger?\Yes?\Can you seal that hole? response:	Well... Well...
context: at least consider using Eren's power to find a way out of our predicament.\Of course, I wanted to survive!\You wanted to survive.\I can trust those words more than any others.\Well, Trainee Jaeger?\Yes?\Can you seal that hole?\Well... Well... response:	I don't know.
context: Of course, I wanted to survive!\You wanted to survive.\I can trust those words more than any others.\Well, Trainee Jaeger?\Yes?\Can you seal that hole?\Well... Well...\I don't know. response:	I don't know much more than everyone else here does.
context: You wanted to survive.\I can trust those words more than any others.\Well, Trainee Jaeger?\Yes?\Can you seal that hole?\Well... Well...\I don't know.\I don't know much more than everyone else here does. response:	So... whether I can do it or not,
context: I can trust those words more than any others.\Well, Trainee Jaeger?\Yes?\Can you seal that hole?\Well... Well...\I don't know.\I don't know much more than everyone else here does.\So... whether I can do it or not, response:	I can't answer you for sure when I don't know.
context: Well, Trainee Jaeger?\Yes?\Can you seal that hole?\Well... Well...\I don't know.\I don't know much more than everyone else here does.\So... whether I can do it or not,\I can't answer you for sure when I don't know. response:	That's true.
context: Yes?\Can you seal that hole?\Well... Well...\I don't know.\I don't know much more than everyone else here does.\So... whether I can do it or not,\I can't answer you for sure when I don't know.\That's true. response:	I'm sorry.
context: Can you seal that hole?\Well... Well...\I don't know.\I don't know much more than everyone else here does.\So... whether I can do it or not,\I can't answer you for sure when I don't know.\That's true.\I'm sorry. response:	I asked the wrong question.
context: Well... Well...\I don't know.\I don't know much more than everyone else here does.\So... whether I can do it or not,\I can't answer you for sure when I don't know.\That's true.\I'm sorry.\I asked the wrong question. response:	Will you do it? Or won't you?
context: I don't know.\I don't know much more than everyone else here does.\So... whether I can do it or not,\I can't answer you for sure when I don't know.\That's true.\I'm sorry.\I asked the wrong question.\Will you do it? Or won't you? response:	I'll do it.
context: I don't know much more than everyone else here does.\So... whether I can do it or not,\I can't answer you for sure when I don't know.\That's true.\I'm sorry.\I asked the wrong question.\Will you do it? Or won't you?\I'll do it. response:	I'll do it!
context: So... whether I can do it or not,\I can't answer you for sure when I don't know.\That's true.\I'm sorry.\I asked the wrong question.\Will you do it? Or won't you?\I'll do it.\I'll do it! response:	I don't know whether I can seal the hole...
context: I can't answer you for sure when I don't know.\That's true.\I'm sorry.\I asked the wrong question.\Will you do it? Or won't you?\I'll do it.\I'll do it!\I don't know whether I can seal the hole... response:	But I'll do it!
context: That's true.\I'm sorry.\I asked the wrong question.\Will you do it? Or won't you?\I'll do it.\I'll do it!\I don't know whether I can seal the hole...\But I'll do it! response:	Although they had fled out of fear,
context: I'm sorry.\I asked the wrong question.\Will you do it? Or won't you?\I'll do it.\I'll do it!\I don't know whether I can seal the hole...\But I'll do it!\Although they had fled out of fear, response:	soldiers choose to stand once more on the battlefield.
context: I asked the wrong question.\Will you do it? Or won't you?\I'll do it.\I'll do it!\I don't know whether I can seal the hole...\But I'll do it!\Although they had fled out of fear,\soldiers choose to stand once more on the battlefield. response:	Eren decides to become everyone's hope.
context: Will you do it? Or won't you?\I'll do it.\I'll do it!\I don't know whether I can seal the hole...\But I'll do it!\Although they had fled out of fear,\soldiers choose to stand once more on the battlefield.\Eren decides to become everyone's hope. response:	Icon The Battle for Trost (7)
