context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: Don't go ahead of me!\This'll give those in the back a path...\The two formerly in the lead have stopped trying to slow each other down\and are chasing Midoriya!\Now that they have a common enemy, they've stopped fighting!\The fight's not over yet, though!\What are you saying?\Oh no... response:	I'm losing speed...!
context: This'll give those in the back a path...\The two formerly in the lead have stopped trying to slow each other down\and are chasing Midoriya!\Now that they have a common enemy, they've stopped fighting!\The fight's not over yet, though!\What are you saying?\Oh no...\I'm losing speed...! response:	That's not surprising...
context: The two formerly in the lead have stopped trying to slow each other down\and are chasing Midoriya!\Now that they have a common enemy, they've stopped fighting!\The fight's not over yet, though!\What are you saying?\Oh no...\I'm losing speed...!\That's not surprising... response:	They'll overtake me in an instant!
context: and are chasing Midoriya!\Now that they have a common enemy, they've stopped fighting!\The fight's not over yet, though!\What are you saying?\Oh no...\I'm losing speed...!\That's not surprising...\They'll overtake me in an instant! response:	Thinking about the time I'd lose landing,
context: Now that they have a common enemy, they've stopped fighting!\The fight's not over yet, though!\What are you saying?\Oh no...\I'm losing speed...!\That's not surprising...\They'll overtake me in an instant!\Thinking about the time I'd lose landing, response:	there's no way I'd be able to take back the lead.
context: The fight's not over yet, though!\What are you saying?\Oh no...\I'm losing speed...!\That's not surprising...\They'll overtake me in an instant!\Thinking about the time I'd lose landing,\there's no way I'd be able to take back the lead. response:	Damn it! No! Don't let go!
context: What are you saying?\Oh no...\I'm losing speed...!\That's not surprising...\They'll overtake me in an instant!\Thinking about the time I'd lose landing,\there's no way I'd be able to take back the lead.\Damn it! No! Don't let go! response:	Grab hold of that chance you got to get in front of these two, and don't let go!
context: Oh no...\I'm losing speed...!\That's not surprising...\They'll overtake me in an instant!\Thinking about the time I'd lose landing,\there's no way I'd be able to take back the lead.\Damn it! No! Don't let go!\Grab hold of that chance you got to get in front of these two, and don't let go! response:	If I can't take back the lead,
context: I'm losing speed...!\That's not surprising...\They'll overtake me in an instant!\Thinking about the time I'd lose landing,\there's no way I'd be able to take back the lead.\Damn it! No! Don't let go!\Grab hold of that chance you got to get in front of these two, and don't let go!\If I can't take back the lead, response:	then I can't let them get ahead of me!
context: That's not surprising...\They'll overtake me in an instant!\Thinking about the time I'd lose landing,\there's no way I'd be able to take back the lead.\Damn it! No! Don't let go!\Grab hold of that chance you got to get in front of these two, and don't let go!\If I can't take back the lead,\then I can't let them get ahead of me! response:	Midoriya swiftly blocks those behind him!
context: They'll overtake me in an instant!\Thinking about the time I'd lose landing,\there's no way I'd be able to take back the lead.\Damn it! No! Don't let go!\Grab hold of that chance you got to get in front of these two, and don't let go!\If I can't take back the lead,\then I can't let them get ahead of me!\Midoriya swiftly blocks those behind him! response:	Would you believe it? He cleared the minefield in an instant!
context: Thinking about the time I'd lose landing,\there's no way I'd be able to take back the lead.\Damn it! No! Don't let go!\Grab hold of that chance you got to get in front of these two, and don't let go!\If I can't take back the lead,\then I can't let them get ahead of me!\Midoriya swiftly blocks those behind him!\Would you believe it? He cleared the minefield in an instant! response:	Eraser Head, your class is amazing!
context: there's no way I'd be able to take back the lead.\Damn it! No! Don't let go!\Grab hold of that chance you got to get in front of these two, and don't let go!\If I can't take back the lead,\then I can't let them get ahead of me!\Midoriya swiftly blocks those behind him!\Would you believe it? He cleared the minefield in an instant!\Eraser Head, your class is amazing! response:	What're you teaching them?!
context: Damn it! No! Don't let go!\Grab hold of that chance you got to get in front of these two, and don't let go!\If I can't take back the lead,\then I can't let them get ahead of me!\Midoriya swiftly blocks those behind him!\Would you believe it? He cleared the minefield in an instant!\Eraser Head, your class is amazing!\What're you teaching them?! response:	I didn't do anything.
context: Grab hold of that chance you got to get in front of these two, and don't let go!\If I can't take back the lead,\then I can't let them get ahead of me!\Midoriya swiftly blocks those behind him!\Would you believe it? He cleared the minefield in an instant!\Eraser Head, your class is amazing!\What're you teaching them?!\I didn't do anything. response:	They got each other fired up on their own.
context: If I can't take back the lead,\then I can't let them get ahead of me!\Midoriya swiftly blocks those behind him!\Would you believe it? He cleared the minefield in an instant!\Eraser Head, your class is amazing!\What're you teaching them?!\I didn't do anything.\They got each other fired up on their own. response:	Not listening?!
context: then I can't let them get ahead of me!\Midoriya swiftly blocks those behind him!\Would you believe it? He cleared the minefield in an instant!\Eraser Head, your class is amazing!\What're you teaching them?!\I didn't do anything.\They got each other fired up on their own.\Not listening?! response:	Who could've predicted the developments at the beginning or this conclusion?
context: Midoriya swiftly blocks those behind him!\Would you believe it? He cleared the minefield in an instant!\Eraser Head, your class is amazing!\What're you teaching them?!\I didn't do anything.\They got each other fired up on their own.\Not listening?!\Who could've predicted the developments at the beginning or this conclusion? response:	Right now, the first person back in the stadium is that man...
context: Would you believe it? He cleared the minefield in an instant!\Eraser Head, your class is amazing!\What're you teaching them?!\I didn't do anything.\They got each other fired up on their own.\Not listening?!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man... response:	Izuku Midoriya's made a huge splash!
context: Eraser Head, your class is amazing!\What're you teaching them?!\I didn't do anything.\They got each other fired up on their own.\Not listening?!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash! response:	Izu...!
context: What're you teaching them?!\I didn't do anything.\They got each other fired up on their own.\Not listening?!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash!\Izu...! response:	Hey, that kid's...
context: I didn't do anything.\They got each other fired up on their own.\Not listening?!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash!\Izu...!\Hey, that kid's... response:	Oh yeah. If I remember correctly, he's from last year...
context: They got each other fired up on their own.\Not listening?!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash!\Izu...!\Hey, that kid's...\Oh yeah. If I remember correctly, he's from last year... response:	Authorized Personnel Only
context: Not listening?!\Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash!\Izu...!\Hey, that kid's...\Oh yeah. If I remember correctly, he's from last year...\Authorized Personnel Only response:	This brat is...
context: Who could've predicted the developments at the beginning or this conclusion?\Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash!\Izu...!\Hey, that kid's...\Oh yeah. If I remember correctly, he's from last year...\Authorized Personnel Only\This brat is... response:	This sports festival is a competition where they have to aim for the top,
context: Right now, the first person back in the stadium is that man...\Izuku Midoriya's made a huge splash!\Izu...!\Hey, that kid's...\Oh yeah. If I remember correctly, he's from last year...\Authorized Personnel Only\This brat is...\This sports festival is a competition where they have to aim for the top, response:	even if it means defeating their friends and classmates.
context: Izuku Midoriya's made a huge splash!\Izu...!\Hey, that kid's...\Oh yeah. If I remember correctly, he's from last year...\Authorized Personnel Only\This brat is...\This sports festival is a competition where they have to aim for the top,\even if it means defeating their friends and classmates. response:	Modern heroes depend a lot on their popularity,
context: Izu...!\Hey, that kid's...\Oh yeah. If I remember correctly, he's from last year...\Authorized Personnel Only\This brat is...\This sports festival is a competition where they have to aim for the top,\even if it means defeating their friends and classmates.\Modern heroes depend a lot on their popularity, response:	so they need to have that desire to be above all the others.
context: Hey, that kid's...\Oh yeah. If I remember correctly, he's from last year...\Authorized Personnel Only\This brat is...\This sports festival is a competition where they have to aim for the top,\even if it means defeating their friends and classmates.\Modern heroes depend a lot on their popularity,\so they need to have that desire to be above all the others. response:	At your core, you are a hero who wants to help others.
context: Oh yeah. If I remember correctly, he's from last year...\Authorized Personnel Only\This brat is...\This sports festival is a competition where they have to aim for the top,\even if it means defeating their friends and classmates.\Modern heroes depend a lot on their popularity,\so they need to have that desire to be above all the others.\At your core, you are a hero who wants to help others. response:	That is why I chose you,
context: Authorized Personnel Only\This brat is...\This sports festival is a competition where they have to aim for the top,\even if it means defeating their friends and classmates.\Modern heroes depend a lot on their popularity,\so they need to have that desire to be above all the others.\At your core, you are a hero who wants to help others.\That is why I chose you, response:	but I thought that was also your weakness.
context: This brat is...\This sports festival is a competition where they have to aim for the top,\even if it means defeating their friends and classmates.\Modern heroes depend a lot on their popularity,\so they need to have that desire to be above all the others.\At your core, you are a hero who wants to help others.\That is why I chose you,\but I thought that was also your weakness. response:	I was worrying over absolutely nothing!
context: This sports festival is a competition where they have to aim for the top,\even if it means defeating their friends and classmates.\Modern heroes depend a lot on their popularity,\so they need to have that desire to be above all the others.\At your core, you are a hero who wants to help others.\That is why I chose you,\but I thought that was also your weakness.\I was worrying over absolutely nothing! response:	Sorry!
context: even if it means defeating their friends and classmates.\Modern heroes depend a lot on their popularity,\so they need to have that desire to be above all the others.\At your core, you are a hero who wants to help others.\That is why I chose you,\but I thought that was also your weakness.\I was worrying over absolutely nothing!\Sorry! response:	You should still try to stop being such a crybaby, though.
context: Modern heroes depend a lot on their popularity,\so they need to have that desire to be above all the others.\At your core, you are a hero who wants to help others.\That is why I chose you,\but I thought that was also your weakness.\I was worrying over absolutely nothing!\Sorry!\You should still try to stop being such a crybaby, though. response:	What do you think?
context: so they need to have that desire to be above all the others.\At your core, you are a hero who wants to help others.\That is why I chose you,\but I thought that was also your weakness.\I was worrying over absolutely nothing!\Sorry!\You should still try to stop being such a crybaby, though.\What do you think? response:	First of all, Midoriya's stock will climb fast.
context: At your core, you are a hero who wants to help others.\That is why I chose you,\but I thought that was also your weakness.\I was worrying over absolutely nothing!\Sorry!\You should still try to stop being such a crybaby, though.\What do you think?\First of all, Midoriya's stock will climb fast. response:	However, he still has not shown his Quirk yet, so it's hard to predict what will happen.
context: That is why I chose you,\but I thought that was also your weakness.\I was worrying over absolutely nothing!\Sorry!\You should still try to stop being such a crybaby, though.\What do you think?\First of all, Midoriya's stock will climb fast.\However, he still has not shown his Quirk yet, so it's hard to predict what will happen. response:	If you took on management of an agency, how would you market him? Opinions?
context: but I thought that was also your weakness.\I was worrying over absolutely nothing!\Sorry!\You should still try to stop being such a crybaby, though.\What do you think?\First of all, Midoriya's stock will climb fast.\However, he still has not shown his Quirk yet, so it's hard to predict what will happen.\If you took on management of an agency, how would you market him? Opinions? response:	What do you think?
context: I was worrying over absolutely nothing!\Sorry!\You should still try to stop being such a crybaby, though.\What do you think?\First of all, Midoriya's stock will climb fast.\However, he still has not shown his Quirk yet, so it's hard to predict what will happen.\If you took on management of an agency, how would you market him? Opinions?\What do you think? response:	His appearance is out.
context: Sorry!\You should still try to stop being such a crybaby, though.\What do you think?\First of all, Midoriya's stock will climb fast.\However, he still has not shown his Quirk yet, so it's hard to predict what will happen.\If you took on management of an agency, how would you market him? Opinions?\What do you think?\His appearance is out. response:	If he were particular about his abilities or aesthetics, we could highlight those parts,
context: You should still try to stop being such a crybaby, though.\What do you think?\First of all, Midoriya's stock will climb fast.\However, he still has not shown his Quirk yet, so it's hard to predict what will happen.\If you took on management of an agency, how would you market him? Opinions?\What do you think?\His appearance is out.\If he were particular about his abilities or aesthetics, we could highlight those parts, response:	but without the raw material to work with...
context: What do you think?\First of all, Midoriya's stock will climb fast.\However, he still has not shown his Quirk yet, so it's hard to predict what will happen.\If you took on management of an agency, how would you market him? Opinions?\What do you think?\His appearance is out.\If he were particular about his abilities or aesthetics, we could highlight those parts,\but without the raw material to work with... response:	That business course!
context: First of all, Midoriya's stock will climb fast.\However, he still has not shown his Quirk yet, so it's hard to predict what will happen.\If you took on management of an agency, how would you market him? Opinions?\What do you think?\His appearance is out.\If he were particular about his abilities or aesthetics, we could highlight those parts,\but without the raw material to work with...\That business course! response:	They never change, huh?
context: However, he still has not shown his Quirk yet, so it's hard to predict what will happen.\If you took on management of an agency, how would you market him? Opinions?\What do you think?\His appearance is out.\If he were particular about his abilities or aesthetics, we could highlight those parts,\but without the raw material to work with...\That business course!\They never change, huh? response:	Business Course
context: If you took on management of an agency, how would you market him? Opinions?\What do you think?\His appearance is out.\If he were particular about his abilities or aesthetics, we could highlight those parts,\but without the raw material to work with...\That business course!\They never change, huh?\Business Course response:	The business course!
context: What do you think?\His appearance is out.\If he were particular about his abilities or aesthetics, we could highlight those parts,\but without the raw material to work with...\That business course!\They never change, huh?\Business Course\The business course! response:	There is not really any benefit to them participating in the sports festival!
context: His appearance is out.\If he were particular about his abilities or aesthetics, we could highlight those parts,\but without the raw material to work with...\That business course!\They never change, huh?\Business Course\The business course!\There is not really any benefit to them participating in the sports festival! response:	-Therefore, they cultivate their instincts by selling things or doing marketing simulations!
context: If he were particular about his abilities or aesthetics, we could highlight those parts,\but without the raw material to work with...\That business course!\They never change, huh?\Business Course\The business course!\There is not really any benefit to them participating in the sports festival!\-Therefore, they cultivate their instincts by selling things or doing marketing simulations! response:	-Get your bentos here! Get your bentos here!
context: but without the raw material to work with...\That business course!\They never change, huh?\Business Course\The business course!\There is not really any benefit to them participating in the sports festival!\-Therefore, they cultivate their instincts by selling things or doing marketing simulations!\-Get your bentos here! Get your bentos here! response:	noise noise talk talk
context: That business course!\They never change, huh?\Business Course\The business course!\There is not really any benefit to them participating in the sports festival!\-Therefore, they cultivate their instincts by selling things or doing marketing simulations!\-Get your bentos here! Get your bentos here!\noise noise talk talk response:	They've got a lot of free time!
context: They never change, huh?\Business Course\The business course!\There is not really any benefit to them participating in the sports festival!\-Therefore, they cultivate their instincts by selling things or doing marketing simulations!\-Get your bentos here! Get your bentos here!\noise noise talk talk\They've got a lot of free time! response:	Again...
context: Business Course\The business course!\There is not really any benefit to them participating in the sports festival!\-Therefore, they cultivate their instincts by selling things or doing marketing simulations!\-Get your bentos here! Get your bentos here!\noise noise talk talk\They've got a lot of free time!\Again... response:	Damn...!
context: The business course!\There is not really any benefit to them participating in the sports festival!\-Therefore, they cultivate their instincts by selling things or doing marketing simulations!\-Get your bentos here! Get your bentos here!\noise noise talk talk\They've got a lot of free time!\Again...\Damn...! response:	Damn it...!
context: There is not really any benefit to them participating in the sports festival!\-Therefore, they cultivate their instincts by selling things or doing marketing simulations!\-Get your bentos here! Get your bentos here!\noise noise talk talk\They've got a lot of free time!\Again...\Damn...!\Damn it...! response:	And now, they're finishing one after another!
context: -Therefore, they cultivate their instincts by selling things or doing marketing simulations!\-Get your bentos here! Get your bentos here!\noise noise talk talk\They've got a lot of free time!\Again...\Damn...!\Damn it...!\And now, they're finishing one after another! response:	We'll make a list of the results later, but for now, good work!
context: -Get your bentos here! Get your bentos here!\noise noise talk talk\They've got a lot of free time!\Again...\Damn...!\Damn it...!\And now, they're finishing one after another!\We'll make a list of the results later, but for now, good work! response:	Deku! You were amazing!
context: noise noise talk talk\They've got a lot of free time!\Again...\Damn...!\Damn it...!\And now, they're finishing one after another!\We'll make a list of the results later, but for now, good work!\Deku! You were amazing! response:	-Uraraka? -I can't believe I fell behind with this Quirk...
context: They've got a lot of free time!\Again...\Damn...!\Damn it...!\And now, they're finishing one after another!\We'll make a list of the results later, but for now, good work!\Deku! You were amazing!\-Uraraka? -I can't believe I fell behind with this Quirk... response:	-First place is amazing! -I can't believe I fell behind with this Quirk...
context: Again...\Damn...!\Damn it...!\And now, they're finishing one after another!\We'll make a list of the results later, but for now, good work!\Deku! You were amazing!\-Uraraka? -I can't believe I fell behind with this Quirk...\-First place is amazing! -I can't believe I fell behind with this Quirk... response:	-That's so frustrating, dang it! -I still have a long way to go...!
context: Damn...!\Damn it...!\And now, they're finishing one after another!\We'll make a list of the results later, but for now, good work!\Deku! You were amazing!\-Uraraka? -I can't believe I fell behind with this Quirk...\-First place is amazing! -I can't believe I fell behind with this Quirk...\-That's so frustrating, dang it! -I still have a long way to go...! response:	-I-It was just... -I still have a long way to go...!
context: Damn it...!\And now, they're finishing one after another!\We'll make a list of the results later, but for now, good work!\Deku! You were amazing!\-Uraraka? -I can't believe I fell behind with this Quirk...\-First place is amazing! -I can't believe I fell behind with this Quirk...\-That's so frustrating, dang it! -I still have a long way to go...!\-I-It was just... -I still have a long way to go...! response:	I was just lucky!
context: And now, they're finishing one after another!\We'll make a list of the results later, but for now, good work!\Deku! You were amazing!\-Uraraka? -I can't believe I fell behind with this Quirk...\-First place is amazing! -I can't believe I fell behind with this Quirk...\-That's so frustrating, dang it! -I still have a long way to go...!\-I-It was just... -I still have a long way to go...!\I was just lucky! response:	I just happened to be able to use something I thought I could use.
context: We'll make a list of the results later, but for now, good work!\Deku! You were amazing!\-Uraraka? -I can't believe I fell behind with this Quirk...\-First place is amazing! -I can't believe I fell behind with this Quirk...\-That's so frustrating, dang it! -I still have a long way to go...!\-I-It was just... -I still have a long way to go...!\I was just lucky!\I just happened to be able to use something I thought I could use. response:	What's amazing was my luck.
context: Deku! You were amazing!\-Uraraka? -I can't believe I fell behind with this Quirk...\-First place is amazing! -I can't believe I fell behind with this Quirk...\-That's so frustrating, dang it! -I still have a long way to go...!\-I-It was just... -I still have a long way to go...!\I was just lucky!\I just happened to be able to use something I thought I could use.\What's amazing was my luck. response:	It was a lucky punch.
context: -Uraraka? -I can't believe I fell behind with this Quirk...\-First place is amazing! -I can't believe I fell behind with this Quirk...\-That's so frustrating, dang it! -I still have a long way to go...!\-I-It was just... -I still have a long way to go...!\I was just lucky!\I just happened to be able to use something I thought I could use.\What's amazing was my luck.\It was a lucky punch. response:	My real ability will be tested after this...
context: -First place is amazing! -I can't believe I fell behind with this Quirk...\-That's so frustrating, dang it! -I still have a long way to go...!\-I-It was just... -I still have a long way to go...!\I was just lucky!\I just happened to be able to use something I thought I could use.\What's amazing was my luck.\It was a lucky punch.\My real ability will be tested after this... response:	This isn't how it was supposed to...
context: -That's so frustrating, dang it! -I still have a long way to go...!\-I-It was just... -I still have a long way to go...!\I was just lucky!\I just happened to be able to use something I thought I could use.\What's amazing was my luck.\It was a lucky punch.\My real ability will be tested after this...\This isn't how it was supposed to... response:	I killed two birds with one stone!
context: -I-It was just... -I still have a long way to go...!\I was just lucky!\I just happened to be able to use something I thought I could use.\What's amazing was my luck.\It was a lucky punch.\My real ability will be tested after this...\This isn't how it was supposed to...\I killed two birds with one stone! response:	I'm a genius!
context: I was just lucky!\I just happened to be able to use something I thought I could use.\What's amazing was my luck.\It was a lucky punch.\My real ability will be tested after this...\This isn't how it was supposed to...\I killed two birds with one stone!\I'm a genius! response:	You're the worst!
context: I just happened to be able to use something I thought I could use.\What's amazing was my luck.\It was a lucky punch.\My real ability will be tested after this...\This isn't how it was supposed to...\I killed two birds with one stone!\I'm a genius!\You're the worst! response:	The first game of the first-year stage is finally over.
context: What's amazing was my luck.\It was a lucky punch.\My real ability will be tested after this...\This isn't how it was supposed to...\I killed two birds with one stone!\I'm a genius!\You're the worst!\The first game of the first-year stage is finally over. response:	Now, take a look at the results!
context: It was a lucky punch.\My real ability will be tested after this...\This isn't how it was supposed to...\I killed two birds with one stone!\I'm a genius!\You're the worst!\The first game of the first-year stage is finally over.\Now, take a look at the results! response:	Class A: Izuku Midoriya
context: My real ability will be tested after this...\This isn't how it was supposed to...\I killed two birds with one stone!\I'm a genius!\You're the worst!\The first game of the first-year stage is finally over.\Now, take a look at the results!\Class A: Izuku Midoriya response:	Class A: Shoto Todoroki
context: This isn't how it was supposed to...\I killed two birds with one stone!\I'm a genius!\You're the worst!\The first game of the first-year stage is finally over.\Now, take a look at the results!\Class A: Izuku Midoriya\Class A: Shoto Todoroki response:	Class A: Katsuki Bakugo
context: I killed two birds with one stone!\I'm a genius!\You're the worst!\The first game of the first-year stage is finally over.\Now, take a look at the results!\Class A: Izuku Midoriya\Class A: Shoto Todoroki\Class A: Katsuki Bakugo response:	Class B: Ibara Shiozaki
context: I'm a genius!\You're the worst!\The first game of the first-year stage is finally over.\Now, take a look at the results!\Class A: Izuku Midoriya\Class A: Shoto Todoroki\Class A: Katsuki Bakugo\Class B: Ibara Shiozaki response:	Class B: Juzo Honenuki
context: You're the worst!\The first game of the first-year stage is finally over.\Now, take a look at the results!\Class A: Izuku Midoriya\Class A: Shoto Todoroki\Class A: Katsuki Bakugo\Class B: Ibara Shiozaki\Class B: Juzo Honenuki response:	Class A: Tenya Iida
context: The first game of the first-year stage is finally over.\Now, take a look at the results!\Class A: Izuku Midoriya\Class A: Shoto Todoroki\Class A: Katsuki Bakugo\Class B: Ibara Shiozaki\Class B: Juzo Honenuki\Class A: Tenya Iida response:	Class A: Fumikage Tokoyami
context: Now, take a look at the results!\Class A: Izuku Midoriya\Class A: Shoto Todoroki\Class A: Katsuki Bakugo\Class B: Ibara Shiozaki\Class B: Juzo Honenuki\Class A: Tenya Iida\Class A: Fumikage Tokoyami response:	Class A: Eijiro Kirishima Class A Hanta Sero
context: Class A: Izuku Midoriya\Class A: Shoto Todoroki\Class A: Katsuki Bakugo\Class B: Ibara Shiozaki\Class B: Juzo Honenuki\Class A: Tenya Iida\Class A: Fumikage Tokoyami\Class A: Eijiro Kirishima Class A Hanta Sero response:	Class B: Tetsutetsu Tetsutetsu
context: Class A: Shoto Todoroki\Class A: Katsuki Bakugo\Class B: Ibara Shiozaki\Class B: Juzo Honenuki\Class A: Tenya Iida\Class A: Fumikage Tokoyami\Class A: Eijiro Kirishima Class A Hanta Sero\Class B: Tetsutetsu Tetsutetsu response:	Class B: Yosetsu Awase Class A: Mashirao Ojiro Class A: Tsuyu Asui
context: Class A: Katsuki Bakugo\Class B: Ibara Shiozaki\Class B: Juzo Honenuki\Class A: Tenya Iida\Class A: Fumikage Tokoyami\Class A: Eijiro Kirishima Class A Hanta Sero\Class B: Tetsutetsu Tetsutetsu\Class B: Yosetsu Awase Class A: Mashirao Ojiro Class A: Tsuyu Asui response:	Class A: Rikido Sato Class A: Ochaco Uraraka Class A: Mezo Shoji
context: Class B: Ibara Shiozaki\Class B: Juzo Honenuki\Class A: Tenya Iida\Class A: Fumikage Tokoyami\Class A: Eijiro Kirishima Class A Hanta Sero\Class B: Tetsutetsu Tetsutetsu\Class B: Yosetsu Awase Class A: Mashirao Ojiro Class A: Tsuyu Asui\Class A: Rikido Sato Class A: Ochaco Uraraka Class A: Mezo Shoji response:	Class A: Momo Yaoyorozu Class A: Minoru Mineta
context: Class B: Juzo Honenuki\Class A: Tenya Iida\Class A: Fumikage Tokoyami\Class A: Eijiro Kirishima Class A Hanta Sero\Class B: Tetsutetsu Tetsutetsu\Class B: Yosetsu Awase Class A: Mashirao Ojiro Class A: Tsuyu Asui\Class A: Rikido Sato Class A: Ochaco Uraraka Class A: Mezo Shoji\Class A: Momo Yaoyorozu Class A: Minoru Mineta response:	19th: Mina Ashido 20th: Koji Koda 21st: Kyoka Jiro
context: Class A: Tenya Iida\Class A: Fumikage Tokoyami\Class A: Eijiro Kirishima Class A Hanta Sero\Class B: Tetsutetsu Tetsutetsu\Class B: Yosetsu Awase Class A: Mashirao Ojiro Class A: Tsuyu Asui\Class A: Rikido Sato Class A: Ochaco Uraraka Class A: Mezo Shoji\Class A: Momo Yaoyorozu Class A: Minoru Mineta\19th: Mina Ashido 20th: Koji Koda 21st: Kyoka Jiro response:	22nd: Sen Kaibara 23rd: Kosei Tsuburaba 24th: Denki Kaminari
context: Class A: Fumikage Tokoyami\Class A: Eijiro Kirishima Class A Hanta Sero\Class B: Tetsutetsu Tetsutetsu\Class B: Yosetsu Awase Class A: Mashirao Ojiro Class A: Tsuyu Asui\Class A: Rikido Sato Class A: Ochaco Uraraka Class A: Mezo Shoji\Class A: Momo Yaoyorozu Class A: Minoru Mineta\19th: Mina Ashido 20th: Koji Koda 21st: Kyoka Jiro\22nd: Sen Kaibara 23rd: Kosei Tsuburaba 24th: Denki Kaminari response:	25th: Kojiro Bondo 26th: Reiko Yanagi 27th: Hitoshi Shinso
context: Class A: Eijiro Kirishima Class A Hanta Sero\Class B: Tetsutetsu Tetsutetsu\Class B: Yosetsu Awase Class A: Mashirao Ojiro Class A: Tsuyu Asui\Class A: Rikido Sato Class A: Ochaco Uraraka Class A: Mezo Shoji\Class A: Momo Yaoyorozu Class A: Minoru Mineta\19th: Mina Ashido 20th: Koji Koda 21st: Kyoka Jiro\22nd: Sen Kaibara 23rd: Kosei Tsuburaba 24th: Denki Kaminari\25th: Kojiro Bondo 26th: Reiko Yanagi 27th: Hitoshi Shinso response:	Dang it...
context: Class B: Tetsutetsu Tetsutetsu\Class B: Yosetsu Awase Class A: Mashirao Ojiro Class A: Tsuyu Asui\Class A: Rikido Sato Class A: Ochaco Uraraka Class A: Mezo Shoji\Class A: Momo Yaoyorozu Class A: Minoru Mineta\19th: Mina Ashido 20th: Koji Koda 21st: Kyoka Jiro\22nd: Sen Kaibara 23rd: Kosei Tsuburaba 24th: Denki Kaminari\25th: Kojiro Bondo 26th: Reiko Yanagi 27th: Hitoshi Shinso\Dang it... response:	Class A: Yuga Aoyama
context: Class B: Yosetsu Awase Class A: Mashirao Ojiro Class A: Tsuyu Asui\Class A: Rikido Sato Class A: Ochaco Uraraka Class A: Mezo Shoji\Class A: Momo Yaoyorozu Class A: Minoru Mineta\19th: Mina Ashido 20th: Koji Koda 21st: Kyoka Jiro\22nd: Sen Kaibara 23rd: Kosei Tsuburaba 24th: Denki Kaminari\25th: Kojiro Bondo 26th: Reiko Yanagi 27th: Hitoshi Shinso\Dang it...\Class A: Yuga Aoyama response:	The top 42 made it through to the next round.
context: Class A: Rikido Sato Class A: Ochaco Uraraka Class A: Mezo Shoji\Class A: Momo Yaoyorozu Class A: Minoru Mineta\19th: Mina Ashido 20th: Koji Koda 21st: Kyoka Jiro\22nd: Sen Kaibara 23rd: Kosei Tsuburaba 24th: Denki Kaminari\25th: Kojiro Bondo 26th: Reiko Yanagi 27th: Hitoshi Shinso\Dang it...\Class A: Yuga Aoyama\The top 42 made it through to the next round. response:	It's unfortunate, but don't worry even if you didn't make it!
context: Class A: Momo Yaoyorozu Class A: Minoru Mineta\19th: Mina Ashido 20th: Koji Koda 21st: Kyoka Jiro\22nd: Sen Kaibara 23rd: Kosei Tsuburaba 24th: Denki Kaminari\25th: Kojiro Bondo 26th: Reiko Yanagi 27th: Hitoshi Shinso\Dang it...\Class A: Yuga Aoyama\The top 42 made it through to the next round.\It's unfortunate, but don't worry even if you didn't make it! response:	We've prepared other chances for you to shine.
context: 19th: Mina Ashido 20th: Koji Koda 21st: Kyoka Jiro\22nd: Sen Kaibara 23rd: Kosei Tsuburaba 24th: Denki Kaminari\25th: Kojiro Bondo 26th: Reiko Yanagi 27th: Hitoshi Shinso\Dang it...\Class A: Yuga Aoyama\The top 42 made it through to the next round.\It's unfortunate, but don't worry even if you didn't make it!\We've prepared other chances for you to shine. response:	The real competition begins next!
context: 22nd: Sen Kaibara 23rd: Kosei Tsuburaba 24th: Denki Kaminari\25th: Kojiro Bondo 26th: Reiko Yanagi 27th: Hitoshi Shinso\Dang it...\Class A: Yuga Aoyama\The top 42 made it through to the next round.\It's unfortunate, but don't worry even if you didn't make it!\We've prepared other chances for you to shine.\The real competition begins next! response:	The press cavalry'll be all over it!
context: 25th: Kojiro Bondo 26th: Reiko Yanagi 27th: Hitoshi Shinso\Dang it...\Class A: Yuga Aoyama\The top 42 made it through to the next round.\It's unfortunate, but don't worry even if you didn't make it!\We've prepared other chances for you to shine.\The real competition begins next!\The press cavalry'll be all over it! response:	Give it your all!
context: Dang it...\Class A: Yuga Aoyama\The top 42 made it through to the next round.\It's unfortunate, but don't worry even if you didn't make it!\We've prepared other chances for you to shine.\The real competition begins next!\The press cavalry'll be all over it!\Give it your all! response:	Now then, here is the second game. I already know what it is,
context: Class A: Yuga Aoyama\The top 42 made it through to the next round.\It's unfortunate, but don't worry even if you didn't make it!\We've prepared other chances for you to shine.\The real competition begins next!\The press cavalry'll be all over it!\Give it your all!\Now then, here is the second game. I already know what it is, response:	but what could it be? What could it be?
