context: I doubt even Shiroe predicted this. response:	Looks like I won't be able to watch over them from hiding anymore.
context: have been dead?\If you've got a problem with me, call the GMs.\If I'm at fault, they'll ban me.\Otherwise, you die, too.\I mean, I understand...\I understand wanting to go home.\But...\Miss Isuzu... response:	Even so... Even so, we...
context: If you've got a problem with me, call the GMs.\If I'm at fault, they'll ban me.\Otherwise, you die, too.\I mean, I understand...\I understand wanting to go home.\But...\Miss Isuzu...\Even so... Even so, we... response:	That's right.
context: If I'm at fault, they'll ban me.\Otherwise, you die, too.\I mean, I understand...\I understand wanting to go home.\But...\Miss Isuzu...\Even so... Even so, we...\That's right. response:	Everyone... Everyone... Everyone...
context: Otherwise, you die, too.\I mean, I understand...\I understand wanting to go home.\But...\Miss Isuzu...\Even so... Even so, we...\That's right.\Everyone... Everyone... Everyone... response:	is alive in this world.
context: I mean, I understand...\I understand wanting to go home.\But...\Miss Isuzu...\Even so... Even so, we...\That's right.\Everyone... Everyone... Everyone...\is alive in this world. response:	Even after he couldn't walk anymore, Tohya was always smiling.
context: I understand wanting to go home.\But...\Miss Isuzu...\Even so... Even so, we...\That's right.\Everyone... Everyone... Everyone...\is alive in this world.\Even after he couldn't walk anymore, Tohya was always smiling. response:	But...
context: But...\Miss Isuzu...\Even so... Even so, we...\That's right.\Everyone... Everyone... Everyone...\is alive in this world.\Even after he couldn't walk anymore, Tohya was always smiling.\But... response:	It was because he knew he was powerless.
context: Miss Isuzu...\Even so... Even so, we...\That's right.\Everyone... Everyone... Everyone...\is alive in this world.\Even after he couldn't walk anymore, Tohya was always smiling.\But...\It was because he knew he was powerless. response:	The world was just too big, too unfair.
context: Even so... Even so, we...\That's right.\Everyone... Everyone... Everyone...\is alive in this world.\Even after he couldn't walk anymore, Tohya was always smiling.\But...\It was because he knew he was powerless.\The world was just too big, too unfair. response:	And there was nothing we could do.
context: That's right.\Everyone... Everyone... Everyone...\is alive in this world.\Even after he couldn't walk anymore, Tohya was always smiling.\But...\It was because he knew he was powerless.\The world was just too big, too unfair.\And there was nothing we could do. response:	That was why...
context: Everyone... Everyone... Everyone...\is alive in this world.\Even after he couldn't walk anymore, Tohya was always smiling.\But...\It was because he knew he was powerless.\The world was just too big, too unfair.\And there was nothing we could do.\That was why... response:	Because he knew that, he tried so hard.
context: is alive in this world.\Even after he couldn't walk anymore, Tohya was always smiling.\But...\It was because he knew he was powerless.\The world was just too big, too unfair.\And there was nothing we could do.\That was why...\Because he knew that, he tried so hard. response:	And even now...
context: Even after he couldn't walk anymore, Tohya was always smiling.\But...\It was because he knew he was powerless.\The world was just too big, too unfair.\And there was nothing we could do.\That was why...\Because he knew that, he tried so hard.\And even now... response:	Tohya is crying out.
context: But...\It was because he knew he was powerless.\The world was just too big, too unfair.\And there was nothing we could do.\That was why...\Because he knew that, he tried so hard.\And even now...\Tohya is crying out. response:	Serara is casting Heartbeat Healing on every Person of the Land she can find.
context: It was because he knew he was powerless.\The world was just too big, too unfair.\And there was nothing we could do.\That was why...\Because he knew that, he tried so hard.\And even now...\Tohya is crying out.\Serara is casting Heartbeat Healing on every Person of the Land she can find. response:	Isuzu and Rundel Haus are
context: The world was just too big, too unfair.\And there was nothing we could do.\That was why...\Because he knew that, he tried so hard.\And even now...\Tohya is crying out.\Serara is casting Heartbeat Healing on every Person of the Land she can find.\Isuzu and Rundel Haus are response:	protecting the people of the town, as they come this way.
context: And there was nothing we could do.\That was why...\Because he knew that, he tried so hard.\And even now...\Tohya is crying out.\Serara is casting Heartbeat Healing on every Person of the Land she can find.\Isuzu and Rundel Haus are\protecting the people of the town, as they come this way. response:	But even so, there's nothing that can be done.
context: That was why...\Because he knew that, he tried so hard.\And even now...\Tohya is crying out.\Serara is casting Heartbeat Healing on every Person of the Land she can find.\Isuzu and Rundel Haus are\protecting the people of the town, as they come this way.\But even so, there's nothing that can be done. response:	If you're asking me in a place like this, you must know the answer, right?
context: Because he knew that, he tried so hard.\And even now...\Tohya is crying out.\Serara is casting Heartbeat Healing on every Person of the Land she can find.\Isuzu and Rundel Haus are\protecting the people of the town, as they come this way.\But even so, there's nothing that can be done.\If you're asking me in a place like this, you must know the answer, right? response:	Who are you?
context: And even now...\Tohya is crying out.\Serara is casting Heartbeat Healing on every Person of the Land she can find.\Isuzu and Rundel Haus are\protecting the people of the town, as they come this way.\But even so, there's nothing that can be done.\If you're asking me in a place like this, you must know the answer, right?\Who are you? response:	And who am I?
context: Tohya is crying out.\Serara is casting Heartbeat Healing on every Person of the Land she can find.\Isuzu and Rundel Haus are\protecting the people of the town, as they come this way.\But even so, there's nothing that can be done.\If you're asking me in a place like this, you must know the answer, right?\Who are you?\And who am I? response:	Where have I come from?
context: Serara is casting Heartbeat Healing on every Person of the Land she can find.\Isuzu and Rundel Haus are\protecting the people of the town, as they come this way.\But even so, there's nothing that can be done.\If you're asking me in a place like this, you must know the answer, right?\Who are you?\And who am I?\Where have I come from? response:	Where am I going?
context: Isuzu and Rundel Haus are\protecting the people of the town, as they come this way.\But even so, there's nothing that can be done.\If you're asking me in a place like this, you must know the answer, right?\Who are you?\And who am I?\Where have I come from?\Where am I going? response:	After yesterday, I kept thinking about that.
context: protecting the people of the town, as they come this way.\But even so, there's nothing that can be done.\If you're asking me in a place like this, you must know the answer, right?\Who are you?\And who am I?\Where have I come from?\Where am I going?\After yesterday, I kept thinking about that. response:	I thought and thought, but I couldn't find an answer.
context: But even so, there's nothing that can be done.\If you're asking me in a place like this, you must know the answer, right?\Who are you?\And who am I?\Where have I come from?\Where am I going?\After yesterday, I kept thinking about that.\I thought and thought, but I couldn't find an answer. response:	I just couldn't get over it.
context: If you're asking me in a place like this, you must know the answer, right?\Who are you?\And who am I?\Where have I come from?\Where am I going?\After yesterday, I kept thinking about that.\I thought and thought, but I couldn't find an answer.\I just couldn't get over it. response:	I couldn't resolve myself to it...
context: Who are you?\And who am I?\Where have I come from?\Where am I going?\After yesterday, I kept thinking about that.\I thought and thought, but I couldn't find an answer.\I just couldn't get over it.\I couldn't resolve myself to it... response:	Miss Isuzu...
context: And who am I?\Where have I come from?\Where am I going?\After yesterday, I kept thinking about that.\I thought and thought, but I couldn't find an answer.\I just couldn't get over it.\I couldn't resolve myself to it...\Miss Isuzu... response:	But I was lucky, wasn't I?
context: Where have I come from?\Where am I going?\After yesterday, I kept thinking about that.\I thought and thought, but I couldn't find an answer.\I just couldn't get over it.\I couldn't resolve myself to it...\Miss Isuzu...\But I was lucky, wasn't I? response:	To be born in that world,
context: Where am I going?\After yesterday, I kept thinking about that.\I thought and thought, but I couldn't find an answer.\I just couldn't get over it.\I couldn't resolve myself to it...\Miss Isuzu...\But I was lucky, wasn't I?\To be born in that world, response:	to be born to my dad?
context: After yesterday, I kept thinking about that.\I thought and thought, but I couldn't find an answer.\I just couldn't get over it.\I couldn't resolve myself to it...\Miss Isuzu...\But I was lucky, wasn't I?\To be born in that world,\to be born to my dad? response:	Because there was music there.
context: I thought and thought, but I couldn't find an answer.\I just couldn't get over it.\I couldn't resolve myself to it...\Miss Isuzu...\But I was lucky, wasn't I?\To be born in that world,\to be born to my dad?\Because there was music there. response:	When I was sad, when I was in pain, there were so many different songs.
context: I just couldn't get over it.\I couldn't resolve myself to it...\Miss Isuzu...\But I was lucky, wasn't I?\To be born in that world,\to be born to my dad?\Because there was music there.\When I was sad, when I was in pain, there were so many different songs. response:	I've always been helped by someone else, haven't I?
context: I couldn't resolve myself to it...\Miss Isuzu...\But I was lucky, wasn't I?\To be born in that world,\to be born to my dad?\Because there was music there.\When I was sad, when I was in pain, there were so many different songs.\I've always been helped by someone else, haven't I? response:	Yet, this is so terrible...
context: Miss Isuzu...\But I was lucky, wasn't I?\To be born in that world,\to be born to my dad?\Because there was music there.\When I was sad, when I was in pain, there were so many different songs.\I've always been helped by someone else, haven't I?\Yet, this is so terrible... response:	Only forty-two?
context: But I was lucky, wasn't I?\To be born in that world,\to be born to my dad?\Because there was music there.\When I was sad, when I was in pain, there were so many different songs.\I've always been helped by someone else, haven't I?\Yet, this is so terrible...\Only forty-two? response:	That's terrible.
context: To be born in that world,\to be born to my dad?\Because there was music there.\When I was sad, when I was in pain, there were so many different songs.\I've always been helped by someone else, haven't I?\Yet, this is so terrible...\Only forty-two?\That's terrible. response:	To be unable to sing when you want to cry,
context: to be born to my dad?\Because there was music there.\When I was sad, when I was in pain, there were so many different songs.\I've always been helped by someone else, haven't I?\Yet, this is so terrible...\Only forty-two?\That's terrible.\To be unable to sing when you want to cry, response:	when you're angry, when you're having fun...
context: Because there was music there.\When I was sad, when I was in pain, there were so many different songs.\I've always been helped by someone else, haven't I?\Yet, this is so terrible...\Only forty-two?\That's terrible.\To be unable to sing when you want to cry,\when you're angry, when you're having fun... response:	Miss Isuzu...
context: When I was sad, when I was in pain, there were so many different songs.\I've always been helped by someone else, haven't I?\Yet, this is so terrible...\Only forty-two?\That's terrible.\To be unable to sing when you want to cry,\when you're angry, when you're having fun...\Miss Isuzu... response:	That's why...
context: I've always been helped by someone else, haven't I?\Yet, this is so terrible...\Only forty-two?\That's terrible.\To be unable to sing when you want to cry,\when you're angry, when you're having fun...\Miss Isuzu...\That's why... response:	Wh-What's the matter?
context: Yet, this is so terrible...\Only forty-two?\That's terrible.\To be unable to sing when you want to cry,\when you're angry, when you're having fun...\Miss Isuzu...\That's why...\Wh-What's the matter? response:	Let's go, Rudy!
context: Only forty-two?\That's terrible.\To be unable to sing when you want to cry,\when you're angry, when you're having fun...\Miss Isuzu...\That's why...\Wh-What's the matter?\Let's go, Rudy! response:	Go where?
context: That's terrible.\To be unable to sing when you want to cry,\when you're angry, when you're having fun...\Miss Isuzu...\That's why...\Wh-What's the matter?\Let's go, Rudy!\Go where? response:	Where are we going and why?
context: To be unable to sing when you want to cry,\when you're angry, when you're having fun...\Miss Isuzu...\That's why...\Wh-What's the matter?\Let's go, Rudy!\Go where?\Where are we going and why? response:	We're going to pick a fight.
context: when you're angry, when you're having fun...\Miss Isuzu...\That's why...\Wh-What's the matter?\Let's go, Rudy!\Go where?\Where are we going and why?\We're going to pick a fight. response:	A fight?
context: Miss Isuzu...\That's why...\Wh-What's the matter?\Let's go, Rudy!\Go where?\Where are we going and why?\We're going to pick a fight.\A fight? response:	We're going to pick a fight with the god who only made forty-two songs in the world!
context: That's why...\Wh-What's the matter?\Let's go, Rudy!\Go where?\Where are we going and why?\We're going to pick a fight.\A fight?\We're going to pick a fight with the god who only made forty-two songs in the world! response:	I'm not going to stop until they cry and apologize!
context: Wh-What's the matter?\Let's go, Rudy!\Go where?\Where are we going and why?\We're going to pick a fight.\A fight?\We're going to pick a fight with the god who only made forty-two songs in the world!\I'm not going to stop until they cry and apologize! response:	Wait, Miss Isuzu!
context: Let's go, Rudy!\Go where?\Where are we going and why?\We're going to pick a fight.\A fight?\We're going to pick a fight with the god who only made forty-two songs in the world!\I'm not going to stop until they cry and apologize!\Wait, Miss Isuzu! response:	Who is Roe 2?
context: Go where?\Where are we going and why?\We're going to pick a fight.\A fight?\We're going to pick a fight with the god who only made forty-two songs in the world!\I'm not going to stop until they cry and apologize!\Wait, Miss Isuzu!\Who is Roe 2? response:	Is that
context: Where are we going and why?\We're going to pick a fight.\A fight?\We're going to pick a fight with the god who only made forty-two songs in the world!\I'm not going to stop until they cry and apologize!\Wait, Miss Isuzu!\Who is Roe 2?\Is that response:	what I really want to know?
context: We're going to pick a fight.\A fight?\We're going to pick a fight with the god who only made forty-two songs in the world!\I'm not going to stop until they cry and apologize!\Wait, Miss Isuzu!\Who is Roe 2?\Is that\what I really want to know? response:	No, that doesn't matter.
context: A fight?\We're going to pick a fight with the god who only made forty-two songs in the world!\I'm not going to stop until they cry and apologize!\Wait, Miss Isuzu!\Who is Roe 2?\Is that\what I really want to know?\No, that doesn't matter. response:	No matter who she is, I want to be friends with her.
context: We're going to pick a fight with the god who only made forty-two songs in the world!\I'm not going to stop until they cry and apologize!\Wait, Miss Isuzu!\Who is Roe 2?\Is that\what I really want to know?\No, that doesn't matter.\No matter who she is, I want to be friends with her. response:	That's all.
context: I'm not going to stop until they cry and apologize!\Wait, Miss Isuzu!\Who is Roe 2?\Is that\what I really want to know?\No, that doesn't matter.\No matter who she is, I want to be friends with her.\That's all. response:	So I... Who am I?
context: Wait, Miss Isuzu!\Who is Roe 2?\Is that\what I really want to know?\No, that doesn't matter.\No matter who she is, I want to be friends with her.\That's all.\So I... Who am I? response:	Where am I going?
context: Who is Roe 2?\Is that\what I really want to know?\No, that doesn't matter.\No matter who she is, I want to be friends with her.\That's all.\So I... Who am I?\Where am I going? response:	Is that...
context: Is that\what I really want to know?\No, that doesn't matter.\No matter who she is, I want to be friends with her.\That's all.\So I... Who am I?\Where am I going?\Is that... response:	My wish?
context: what I really want to know?\No, that doesn't matter.\No matter who she is, I want to be friends with her.\That's all.\So I... Who am I?\Where am I going?\Is that...\My wish? response:	Isuzu?
context: No, that doesn't matter.\No matter who she is, I want to be friends with her.\That's all.\So I... Who am I?\Where am I going?\Is that...\My wish?\Isuzu? response:	At some point the rain stopped, and the town began to sparkle.
context: No matter who she is, I want to be friends with her.\That's all.\So I... Who am I?\Where am I going?\Is that...\My wish?\Isuzu?\At some point the rain stopped, and the town began to sparkle. response:	A song?
context: That's all.\So I... Who am I?\Where am I going?\Is that...\My wish?\Isuzu?\At some point the rain stopped, and the town began to sparkle.\A song? response:	That's Isuzu's wish.
context: So I... Who am I?\Where am I going?\Is that...\My wish?\Isuzu?\At some point the rain stopped, and the town began to sparkle.\A song?\That's Isuzu's wish. response:	A huge rainbow stands over all the buildings.
context: Where am I going?\Is that...\My wish?\Isuzu?\At some point the rain stopped, and the town began to sparkle.\A song?\That's Isuzu's wish.\A huge rainbow stands over all the buildings. response:	Then my wish is...
context: Is that...\My wish?\Isuzu?\At some point the rain stopped, and the town began to sparkle.\A song?\That's Isuzu's wish.\A huge rainbow stands over all the buildings.\Then my wish is... response:	Shiroe?
context: My wish?\Isuzu?\At some point the rain stopped, and the town began to sparkle.\A song?\That's Isuzu's wish.\A huge rainbow stands over all the buildings.\Then my wish is...\Shiroe? response:	Right now, more than anyone else,
context: Isuzu?\At some point the rain stopped, and the town began to sparkle.\A song?\That's Isuzu's wish.\A huge rainbow stands over all the buildings.\Then my wish is...\Shiroe?\Right now, more than anyone else, response:	I want to show this scenery to you first.
context: At some point the rain stopped, and the town began to sparkle.\A song?\That's Isuzu's wish.\A huge rainbow stands over all the buildings.\Then my wish is...\Shiroe?\Right now, more than anyone else,\I want to show this scenery to you first. response:	My heartbeat is fluttering.
context: A song?\That's Isuzu's wish.\A huge rainbow stands over all the buildings.\Then my wish is...\Shiroe?\Right now, more than anyone else,\I want to show this scenery to you first.\My heartbeat is fluttering. response:	I want to be a person who can open new paths, like Shiroe!
context: That's Isuzu's wish.\A huge rainbow stands over all the buildings.\Then my wish is...\Shiroe?\Right now, more than anyone else,\I want to show this scenery to you first.\My heartbeat is fluttering.\I want to be a person who can open new paths, like Shiroe! response:	Come on! The magic will never fade, even now.
context: A huge rainbow stands over all the buildings.\Then my wish is...\Shiroe?\Right now, more than anyone else,\I want to show this scenery to you first.\My heartbeat is fluttering.\I want to be a person who can open new paths, like Shiroe!\Come on! The magic will never fade, even now. response:	I am Shiroe's student.
context: Then my wish is...\Shiroe?\Right now, more than anyone else,\I want to show this scenery to you first.\My heartbeat is fluttering.\I want to be a person who can open new paths, like Shiroe!\Come on! The magic will never fade, even now.\I am Shiroe's student. response:	And you are our big sister.
context: Shiroe?\Right now, more than anyone else,\I want to show this scenery to you first.\My heartbeat is fluttering.\I want to be a person who can open new paths, like Shiroe!\Come on! The magic will never fade, even now.\I am Shiroe's student.\And you are our big sister. response:	Don't be afraid of boredom, and let's, let's, let's go out!
context: Right now, more than anyone else,\I want to show this scenery to you first.\My heartbeat is fluttering.\I want to be a person who can open new paths, like Shiroe!\Come on! The magic will never fade, even now.\I am Shiroe's student.\And you are our big sister.\Don't be afraid of boredom, and let's, let's, let's go out! response:	You came from far away, and you're going far away.
context: I want to show this scenery to you first.\My heartbeat is fluttering.\I want to be a person who can open new paths, like Shiroe!\Come on! The magic will never fade, even now.\I am Shiroe's student.\And you are our big sister.\Don't be afraid of boredom, and let's, let's, let's go out!\You came from far away, and you're going far away. response:	But right now, you're here, with us!
context: My heartbeat is fluttering.\I want to be a person who can open new paths, like Shiroe!\Come on! The magic will never fade, even now.\I am Shiroe's student.\And you are our big sister.\Don't be afraid of boredom, and let's, let's, let's go out!\You came from far away, and you're going far away.\But right now, you're here, with us! response:	Yes, what a wonderful Wonder World!
context: I want to be a person who can open new paths, like Shiroe!\Come on! The magic will never fade, even now.\I am Shiroe's student.\And you are our big sister.\Don't be afraid of boredom, and let's, let's, let's go out!\You came from far away, and you're going far away.\But right now, you're here, with us!\Yes, what a wonderful Wonder World! response:	To a place we've never seen before,
context: Come on! The magic will never fade, even now.\I am Shiroe's student.\And you are our big sister.\Don't be afraid of boredom, and let's, let's, let's go out!\You came from far away, and you're going far away.\But right now, you're here, with us!\Yes, what a wonderful Wonder World!\To a place we've never seen before, response:	I'll take your hand, so let's go there now together.
context: I am Shiroe's student.\And you are our big sister.\Don't be afraid of boredom, and let's, let's, let's go out!\You came from far away, and you're going far away.\But right now, you're here, with us!\Yes, what a wonderful Wonder World!\To a place we've never seen before,\I'll take your hand, so let's go there now together. response:	On this battlefield, that's your answer?
context: And you are our big sister.\Don't be afraid of boredom, and let's, let's, let's go out!\You came from far away, and you're going far away.\But right now, you're here, with us!\Yes, what a wonderful Wonder World!\To a place we've never seen before,\I'll take your hand, so let's go there now together.\On this battlefield, that's your answer? response:	On this battlefield, this is my answer.
context: Don't be afraid of boredom, and let's, let's, let's go out!\You came from far away, and you're going far away.\But right now, you're here, with us!\Yes, what a wonderful Wonder World!\To a place we've never seen before,\I'll take your hand, so let's go there now together.\On this battlefield, that's your answer?\On this battlefield, this is my answer. response:	Such a wonderful Wonder World
context: You came from far away, and you're going far away.\But right now, you're here, with us!\Yes, what a wonderful Wonder World!\To a place we've never seen before,\I'll take your hand, so let's go there now together.\On this battlefield, that's your answer?\On this battlefield, this is my answer.\Such a wonderful Wonder World response:	Even if nothing changes?
context: But right now, you're here, with us!\Yes, what a wonderful Wonder World!\To a place we've never seen before,\I'll take your hand, so let's go there now together.\On this battlefield, that's your answer?\On this battlefield, this is my answer.\Such a wonderful Wonder World\Even if nothing changes? response:	I can change some things.
context: Yes, what a wonderful Wonder World!\To a place we've never seen before,\I'll take your hand, so let's go there now together.\On this battlefield, that's your answer?\On this battlefield, this is my answer.\Such a wonderful Wonder World\Even if nothing changes?\I can change some things. response:	Is scattered all around this town, too.
context: To a place we've never seen before,\I'll take your hand, so let's go there now together.\On this battlefield, that's your answer?\On this battlefield, this is my answer.\Such a wonderful Wonder World\Even if nothing changes?\I can change some things.\Is scattered all around this town, too. response:	At a time like this, when Tohya is lying on the ground?
context: I'll take your hand, so let's go there now together.\On this battlefield, that's your answer?\On this battlefield, this is my answer.\Such a wonderful Wonder World\Even if nothing changes?\I can change some things.\Is scattered all around this town, too.\At a time like this, when Tohya is lying on the ground? response:	Even if the future worries me, if I'm with you, what a wonder it is!
context: On this battlefield, that's your answer?\On this battlefield, this is my answer.\Such a wonderful Wonder World\Even if nothing changes?\I can change some things.\Is scattered all around this town, too.\At a time like this, when Tohya is lying on the ground?\Even if the future worries me, if I'm with you, what a wonder it is! response:	He'll stand up soon.
context: On this battlefield, this is my answer.\Such a wonderful Wonder World\Even if nothing changes?\I can change some things.\Is scattered all around this town, too.\At a time like this, when Tohya is lying on the ground?\Even if the future worries me, if I'm with you, what a wonder it is!\He'll stand up soon. response:	I doubt your words will be heard.
context: Such a wonderful Wonder World\Even if nothing changes?\I can change some things.\Is scattered all around this town, too.\At a time like this, when Tohya is lying on the ground?\Even if the future worries me, if I'm with you, what a wonder it is!\He'll stand up soon.\I doubt your words will be heard. response:	But you're with us now.
context: Even if nothing changes?\I can change some things.\Is scattered all around this town, too.\At a time like this, when Tohya is lying on the ground?\Even if the future worries me, if I'm with you, what a wonder it is!\He'll stand up soon.\I doubt your words will be heard.\But you're with us now. response:	I heard your wish.
context: I can change some things.\Is scattered all around this town, too.\At a time like this, when Tohya is lying on the ground?\Even if the future worries me, if I'm with you, what a wonder it is!\He'll stand up soon.\I doubt your words will be heard.\But you're with us now.\I heard your wish. response:	Yes.
context: Is scattered all around this town, too.\At a time like this, when Tohya is lying on the ground?\Even if the future worries me, if I'm with you, what a wonder it is!\He'll stand up soon.\I doubt your words will be heard.\But you're with us now.\I heard your wish.\Yes. response:	I like that, Minori.
context: At a time like this, when Tohya is lying on the ground?\Even if the future worries me, if I'm with you, what a wonder it is!\He'll stand up soon.\I doubt your words will be heard.\But you're with us now.\I heard your wish.\Yes.\I like that, Minori. response:	I like it...
context: Even if the future worries me, if I'm with you, what a wonder it is!\He'll stand up soon.\I doubt your words will be heard.\But you're with us now.\I heard your wish.\Yes.\I like that, Minori.\I like it... response:	I'm your big sister, after all!
context: He'll stand up soon.\I doubt your words will be heard.\But you're with us now.\I heard your wish.\Yes.\I like that, Minori.\I like it...\I'm your big sister, after all! response:	Yes.
context: I doubt your words will be heard.\But you're with us now.\I heard your wish.\Yes.\I like that, Minori.\I like it...\I'm your big sister, after all!\Yes. response:	Summon.
context: But you're with us now.\I heard your wish.\Yes.\I like that, Minori.\I like it...\I'm your big sister, after all!\Yes.\Summon. response:	Yes, we have a duty, as those who go ahead.
context: I heard your wish.\Yes.\I like that, Minori.\I like it...\I'm your big sister, after all!\Yes.\Summon.\Yes, we have a duty, as those who go ahead. response:	It would be very uncool of me to knock away the hand you're reaching out.
context: Yes.\I like that, Minori.\I like it...\I'm your big sister, after all!\Yes.\Summon.\Yes, we have a duty, as those who go ahead.\It would be very uncool of me to knock away the hand you're reaching out. response:	A big sister never abandons her little sister!
context: I like that, Minori.\I like it...\I'm your big sister, after all!\Yes.\Summon.\Yes, we have a duty, as those who go ahead.\It would be very uncool of me to knock away the hand you're reaching out.\A big sister never abandons her little sister! response:	An element cluster gets more stable the bigger it gets.
context: I like it...\I'm your big sister, after all!\Yes.\Summon.\Yes, we have a duty, as those who go ahead.\It would be very uncool of me to knock away the hand you're reaching out.\A big sister never abandons her little sister!\An element cluster gets more stable the bigger it gets. response:	But it also behaves in a deterministic manner.
context: I'm your big sister, after all!\Yes.\Summon.\Yes, we have a duty, as those who go ahead.\It would be very uncool of me to knock away the hand you're reaching out.\A big sister never abandons her little sister!\An element cluster gets more stable the bigger it gets.\But it also behaves in a deterministic manner. response:	And as it does so, it loses little fragments.
context: Yes.\Summon.\Yes, we have a duty, as those who go ahead.\It would be very uncool of me to knock away the hand you're reaching out.\A big sister never abandons her little sister!\An element cluster gets more stable the bigger it gets.\But it also behaves in a deterministic manner.\And as it does so, it loses little fragments. response:	That's not a bad thing.
context: Summon.\Yes, we have a duty, as those who go ahead.\It would be very uncool of me to knock away the hand you're reaching out.\A big sister never abandons her little sister!\An element cluster gets more stable the bigger it gets.\But it also behaves in a deterministic manner.\And as it does so, it loses little fragments.\That's not a bad thing. response:	It's natural to want all of humanity to be happy.
context: Yes, we have a duty, as those who go ahead.\It would be very uncool of me to knock away the hand you're reaching out.\A big sister never abandons her little sister!\An element cluster gets more stable the bigger it gets.\But it also behaves in a deterministic manner.\And as it does so, it loses little fragments.\That's not a bad thing.\It's natural to want all of humanity to be happy. response:	But that, in the end, is the beginning of sorrow.
context: It would be very uncool of me to knock away the hand you're reaching out.\A big sister never abandons her little sister!\An element cluster gets more stable the bigger it gets.\But it also behaves in a deterministic manner.\And as it does so, it loses little fragments.\That's not a bad thing.\It's natural to want all of humanity to be happy.\But that, in the end, is the beginning of sorrow. response:	You don't understand?
context: A big sister never abandons her little sister!\An element cluster gets more stable the bigger it gets.\But it also behaves in a deterministic manner.\And as it does so, it loses little fragments.\That's not a bad thing.\It's natural to want all of humanity to be happy.\But that, in the end, is the beginning of sorrow.\You don't understand? response:	No.
context: An element cluster gets more stable the bigger it gets.\But it also behaves in a deterministic manner.\And as it does so, it loses little fragments.\That's not a bad thing.\It's natural to want all of humanity to be happy.\But that, in the end, is the beginning of sorrow.\You don't understand?\No. response:	Your words are so inconvenient.
context: But it also behaves in a deterministic manner.\And as it does so, it loses little fragments.\That's not a bad thing.\It's natural to want all of humanity to be happy.\But that, in the end, is the beginning of sorrow.\You don't understand?\No.\Your words are so inconvenient. response:	This limited protocol even limits the upper bounds of your thinking organs.
context: And as it does so, it loses little fragments.\That's not a bad thing.\It's natural to want all of humanity to be happy.\But that, in the end, is the beginning of sorrow.\You don't understand?\No.\Your words are so inconvenient.\This limited protocol even limits the upper bounds of your thinking organs. response:	You live inside this unfair loneliness, like it's the stone age?
context: That's not a bad thing.\It's natural to want all of humanity to be happy.\But that, in the end, is the beginning of sorrow.\You don't understand?\No.\Your words are so inconvenient.\This limited protocol even limits the upper bounds of your thinking organs.\You live inside this unfair loneliness, like it's the stone age? response:	That's unbelievable...
context: It's natural to want all of humanity to be happy.\But that, in the end, is the beginning of sorrow.\You don't understand?\No.\Your words are so inconvenient.\This limited protocol even limits the upper bounds of your thinking organs.\You live inside this unfair loneliness, like it's the stone age?\That's unbelievable... response:	But the empathions are shared.
context: But that, in the end, is the beginning of sorrow.\You don't understand?\No.\Your words are so inconvenient.\This limited protocol even limits the upper bounds of your thinking organs.\You live inside this unfair loneliness, like it's the stone age?\That's unbelievable...\But the empathions are shared. response:	This is your style, right?
context: You don't understand?\No.\Your words are so inconvenient.\This limited protocol even limits the upper bounds of your thinking organs.\You live inside this unfair loneliness, like it's the stone age?\That's unbelievable...\But the empathions are shared.\This is your style, right? response:	Miss Shogun,
context: No.\Your words are so inconvenient.\This limited protocol even limits the upper bounds of your thinking organs.\You live inside this unfair loneliness, like it's the stone age?\That's unbelievable...\But the empathions are shared.\This is your style, right?\Miss Shogun, response:	your servants are being attacked.
context: Your words are so inconvenient.\This limited protocol even limits the upper bounds of your thinking organs.\You live inside this unfair loneliness, like it's the stone age?\That's unbelievable...\But the empathions are shared.\This is your style, right?\Miss Shogun,\your servants are being attacked. response:	What?
context: This limited protocol even limits the upper bounds of your thinking organs.\You live inside this unfair loneliness, like it's the stone age?\That's unbelievable...\But the empathions are shared.\This is your style, right?\Miss Shogun,\your servants are being attacked.\What? response:	What's going on?
context: You live inside this unfair loneliness, like it's the stone age?\That's unbelievable...\But the empathions are shared.\This is your style, right?\Miss Shogun,\your servants are being attacked.\What?\What's going on? response:	So we meet here?
context: That's unbelievable...\But the empathions are shared.\This is your style, right?\Miss Shogun,\your servants are being attacked.\What?\What's going on?\So we meet here? response:	Londark stands in the way.
context: But the empathions are shared.\This is your style, right?\Miss Shogun,\your servants are being attacked.\What?\What's going on?\So we meet here?\Londark stands in the way. response:	He, too, is forced into action by the twisted thoughts of this world.
context: This is your style, right?\Miss Shogun,\your servants are being attacked.\What?\What's going on?\So we meet here?\Londark stands in the way.\He, too, is forced into action by the twisted thoughts of this world. response:	Why are we here?
context: Miss Shogun,\your servants are being attacked.\What?\What's going on?\So we meet here?\Londark stands in the way.\He, too, is forced into action by the twisted thoughts of this world.\Why are we here? response:	Nyanta cannot answer that question.
context: your servants are being attacked.\What?\What's going on?\So we meet here?\Londark stands in the way.\He, too, is forced into action by the twisted thoughts of this world.\Why are we here?\Nyanta cannot answer that question. response:	Tohya, Isuzu, and the young children struggle as hard as they can
context: What?\What's going on?\So we meet here?\Londark stands in the way.\He, too, is forced into action by the twisted thoughts of this world.\Why are we here?\Nyanta cannot answer that question.\Tohya, Isuzu, and the young children struggle as hard as they can response:	to find the answer.
