context: The port town of Hargeon... response:	A Fairy Tail ship has just set sail from here.
context: Just looking at it makes my thoughts fuzzy!\Hey, idiot!\You're not focusing on the problem at hand!\Problem at hand! Problem at hand!\Lucy...\We did it! Just like I planned!\They remember what happened last time, so they underestimated our strength!\Did I do okay? I'm sorry... response:	Uh... Lucy Kick...?
context: Hey, idiot!\You're not focusing on the problem at hand!\Problem at hand! Problem at hand!\Lucy...\We did it! Just like I planned!\They remember what happened last time, so they underestimated our strength!\Did I do okay? I'm sorry...\Uh... Lucy Kick...? response:	Knock it off!
context: You're not focusing on the problem at hand!\Problem at hand! Problem at hand!\Lucy...\We did it! Just like I planned!\They remember what happened last time, so they underestimated our strength!\Did I do okay? I'm sorry...\Uh... Lucy Kick...?\Knock it off! response:	Crap! The effect wore off!
context: Problem at hand! Problem at hand!\Lucy...\We did it! Just like I planned!\They remember what happened last time, so they underestimated our strength!\Did I do okay? I'm sorry...\Uh... Lucy Kick...?\Knock it off!\Crap! The effect wore off! response:	You caught me off guard and fogged up my mind...
context: Lucy...\We did it! Just like I planned!\They remember what happened last time, so they underestimated our strength!\Did I do okay? I'm sorry...\Uh... Lucy Kick...?\Knock it off!\Crap! The effect wore off!\You caught me off guard and fogged up my mind... response:	He's mad!
context: We did it! Just like I planned!\They remember what happened last time, so they underestimated our strength!\Did I do okay? I'm sorry...\Uh... Lucy Kick...?\Knock it off!\Crap! The effect wore off!\You caught me off guard and fogged up my mind...\He's mad! response:	Dark Ecriture! Wings!
context: They remember what happened last time, so they underestimated our strength!\Did I do okay? I'm sorry...\Uh... Lucy Kick...?\Knock it off!\Crap! The effect wore off!\You caught me off guard and fogged up my mind...\He's mad!\Dark Ecriture! Wings! response:	Cana!
context: Did I do okay? I'm sorry...\Uh... Lucy Kick...?\Knock it off!\Crap! The effect wore off!\You caught me off guard and fogged up my mind...\He's mad!\Dark Ecriture! Wings!\Cana! response:	No way am I gonna lose here!
context: Uh... Lucy Kick...?\Knock it off!\Crap! The effect wore off!\You caught me off guard and fogged up my mind...\He's mad!\Dark Ecriture! Wings!\Cana!\No way am I gonna lose here! response:	Prayer's Fountain!
context: Knock it off!\Crap! The effect wore off!\You caught me off guard and fogged up my mind...\He's mad!\Dark Ecriture! Wings!\Cana!\No way am I gonna lose here!\Prayer's Fountain! response:	There's no use!
context: Crap! The effect wore off!\You caught me off guard and fogged up my mind...\He's mad!\Dark Ecriture! Wings!\Cana!\No way am I gonna lose here!\Prayer's Fountain!\There's no use! response:	Again?!
context: You caught me off guard and fogged up my mind...\He's mad!\Dark Ecriture! Wings!\Cana!\No way am I gonna lose here!\Prayer's Fountain!\There's no use!\Again?! response:	Water!
context: He's mad!\Dark Ecriture! Wings!\Cana!\No way am I gonna lose here!\Prayer's Fountain!\There's no use!\Again?!\Water! response:	Lucy, no! This water is meant for attacking!
context: Dark Ecriture! Wings!\Cana!\No way am I gonna lose here!\Prayer's Fountain!\There's no use!\Again?!\Water!\Lucy, no! This water is meant for attacking! response:	It's dangerous to touch it!
context: Cana!\No way am I gonna lose here!\Prayer's Fountain!\There's no use!\Again?!\Water!\Lucy, no! This water is meant for attacking!\It's dangerous to touch it! response:	I'll be fine!
context: No way am I gonna lose here!\Prayer's Fountain!\There's no use!\Again?!\Water!\Lucy, no! This water is meant for attacking!\It's dangerous to touch it!\I'll be fine! response:	Open! Gate of the Water Bearer!
context: Prayer's Fountain!\There's no use!\Again?!\Water!\Lucy, no! This water is meant for attacking!\It's dangerous to touch it!\I'll be fine!\Open! Gate of the Water Bearer! response:	Aquarius!
context: There's no use!\Again?!\Water!\Lucy, no! This water is meant for attacking!\It's dangerous to touch it!\I'll be fine!\Open! Gate of the Water Bearer!\Aquarius! response:	Another swimsuit?!
context: Again?!\Water!\Lucy, no! This water is meant for attacking!\It's dangerous to touch it!\I'll be fine!\Open! Gate of the Water Bearer!\Aquarius!\Another swimsuit?! response:	Aquarius, get'em!
context: Water!\Lucy, no! This water is meant for attacking!\It's dangerous to touch it!\I'll be fine!\Open! Gate of the Water Bearer!\Aquarius!\Another swimsuit?!\Aquarius, get'em! response:	Ouch! What was that for?!
context: Lucy, no! This water is meant for attacking!\It's dangerous to touch it!\I'll be fine!\Open! Gate of the Water Bearer!\Aquarius!\Another swimsuit?!\Aquarius, get'em!\Ouch! What was that for?! response:	They're the enemies!
context: It's dangerous to touch it!\I'll be fine!\Open! Gate of the Water Bearer!\Aquarius!\Another swimsuit?!\Aquarius, get'em!\Ouch! What was that for?!\They're the enemies! response:	What's with the outfit?
context: I'll be fine!\Open! Gate of the Water Bearer!\Aquarius!\Another swimsuit?!\Aquarius, get'em!\Ouch! What was that for?!\They're the enemies!\What's with the outfit? response:	Hmph, you'll need 100 more years of experience
context: Open! Gate of the Water Bearer!\Aquarius!\Another swimsuit?!\Aquarius, get'em!\Ouch! What was that for?!\They're the enemies!\What's with the outfit?\Hmph, you'll need 100 more years of experience response:	if you mean to draw a man's attention with a swimsuit.
context: Aquarius!\Another swimsuit?!\Aquarius, get'em!\Ouch! What was that for?!\They're the enemies!\What's with the outfit?\Hmph, you'll need 100 more years of experience\if you mean to draw a man's attention with a swimsuit. response:	Hey, bitch! What the hell are you doing?!
context: Another swimsuit?!\Aquarius, get'em!\Ouch! What was that for?!\They're the enemies!\What's with the outfit?\Hmph, you'll need 100 more years of experience\if you mean to draw a man's attention with a swimsuit.\Hey, bitch! What the hell are you doing?! response:	Excuse me?
context: Aquarius, get'em!\Ouch! What was that for?!\They're the enemies!\What's with the outfit?\Hmph, you'll need 100 more years of experience\if you mean to draw a man's attention with a swimsuit.\Hey, bitch! What the hell are you doing?!\Excuse me? response:	Um, Cana...
context: Ouch! What was that for?!\They're the enemies!\What's with the outfit?\Hmph, you'll need 100 more years of experience\if you mean to draw a man's attention with a swimsuit.\Hey, bitch! What the hell are you doing?!\Excuse me?\Um, Cana... response:	Don't you know the difference between allies and enemies?!
context: They're the enemies!\What's with the outfit?\Hmph, you'll need 100 more years of experience\if you mean to draw a man's attention with a swimsuit.\Hey, bitch! What the hell are you doing?!\Excuse me?\Um, Cana...\Don't you know the difference between allies and enemies?! response:	All little girls are my enemy! Got it?!
context: What's with the outfit?\Hmph, you'll need 100 more years of experience\if you mean to draw a man's attention with a swimsuit.\Hey, bitch! What the hell are you doing?!\Excuse me?\Um, Cana...\Don't you know the difference between allies and enemies?!\All little girls are my enemy! Got it?! response:	What, do you think soft, supple skin equates to justice?!
context: Hmph, you'll need 100 more years of experience\if you mean to draw a man's attention with a swimsuit.\Hey, bitch! What the hell are you doing?!\Excuse me?\Um, Cana...\Don't you know the difference between allies and enemies?!\All little girls are my enemy! Got it?!\What, do you think soft, supple skin equates to justice?! response:	The way you are, you'll never be able to get a boyfriend.
context: if you mean to draw a man's attention with a swimsuit.\Hey, bitch! What the hell are you doing?!\Excuse me?\Um, Cana...\Don't you know the difference between allies and enemies?!\All little girls are my enemy! Got it?!\What, do you think soft, supple skin equates to justice?!\The way you are, you'll never be able to get a boyfriend. response:	0 points. As a woman, you score a zero.
context: Hey, bitch! What the hell are you doing?!\Excuse me?\Um, Cana...\Don't you know the difference between allies and enemies?!\All little girls are my enemy! Got it?!\What, do you think soft, supple skin equates to justice?!\The way you are, you'll never be able to get a boyfriend.\0 points. As a woman, you score a zero. response:	You're acting all cocky just because a couple of men are here?
context: Excuse me?\Um, Cana...\Don't you know the difference between allies and enemies?!\All little girls are my enemy! Got it?!\What, do you think soft, supple skin equates to justice?!\The way you are, you'll never be able to get a boyfriend.\0 points. As a woman, you score a zero.\You're acting all cocky just because a couple of men are here? response:	That's a cheap woman who'll stoop to anything!
context: Um, Cana...\Don't you know the difference between allies and enemies?!\All little girls are my enemy! Got it?!\What, do you think soft, supple skin equates to justice?!\The way you are, you'll never be able to get a boyfriend.\0 points. As a woman, you score a zero.\You're acting all cocky just because a couple of men are here?\That's a cheap woman who'll stoop to anything! response:	0 points!
context: Don't you know the difference between allies and enemies?!\All little girls are my enemy! Got it?!\What, do you think soft, supple skin equates to justice?!\The way you are, you'll never be able to get a boyfriend.\0 points. As a woman, you score a zero.\You're acting all cocky just because a couple of men are here?\That's a cheap woman who'll stoop to anything!\0 points! response:	Cheap woman!
context: All little girls are my enemy! Got it?!\What, do you think soft, supple skin equates to justice?!\The way you are, you'll never be able to get a boyfriend.\0 points. As a woman, you score a zero.\You're acting all cocky just because a couple of men are here?\That's a cheap woman who'll stoop to anything!\0 points!\Cheap woman! response:	These two are somehow similar...
context: What, do you think soft, supple skin equates to justice?!\The way you are, you'll never be able to get a boyfriend.\0 points. As a woman, you score a zero.\You're acting all cocky just because a couple of men are here?\That's a cheap woman who'll stoop to anything!\0 points!\Cheap woman!\These two are somehow similar... response:	I've got a date with my boyfriend, so I'm going home. With my boyfriend...
context: The way you are, you'll never be able to get a boyfriend.\0 points. As a woman, you score a zero.\You're acting all cocky just because a couple of men are here?\That's a cheap woman who'll stoop to anything!\0 points!\Cheap woman!\These two are somehow similar...\I've got a date with my boyfriend, so I'm going home. With my boyfriend... response:	You don't have to say it twice!
context: 0 points. As a woman, you score a zero.\You're acting all cocky just because a couple of men are here?\That's a cheap woman who'll stoop to anything!\0 points!\Cheap woman!\These two are somehow similar...\I've got a date with my boyfriend, so I'm going home. With my boyfriend...\You don't have to say it twice! response:	How selfish!
context: You're acting all cocky just because a couple of men are here?\That's a cheap woman who'll stoop to anything!\0 points!\Cheap woman!\These two are somehow similar...\I've got a date with my boyfriend, so I'm going home. With my boyfriend...\You don't have to say it twice!\How selfish! response:	We're not done here...
context: That's a cheap woman who'll stoop to anything!\0 points!\Cheap woman!\These two are somehow similar...\I've got a date with my boyfriend, so I'm going home. With my boyfriend...\You don't have to say it twice!\How selfish!\We're not done here... response:	Oh, that's right.
context: 0 points!\Cheap woman!\These two are somehow similar...\I've got a date with my boyfriend, so I'm going home. With my boyfriend...\You don't have to say it twice!\How selfish!\We're not done here...\Oh, that's right. response:	What should we do, Cana?
context: Cheap woman!\These two are somehow similar...\I've got a date with my boyfriend, so I'm going home. With my boyfriend...\You don't have to say it twice!\How selfish!\We're not done here...\Oh, that's right.\What should we do, Cana? response:	All right, I'll use this one more time!
context: These two are somehow similar...\I've got a date with my boyfriend, so I'm going home. With my boyfriend...\You don't have to say it twice!\How selfish!\We're not done here...\Oh, that's right.\What should we do, Cana?\All right, I'll use this one more time! response:	The same method won't work twice! We're up against Fried!
context: I've got a date with my boyfriend, so I'm going home. With my boyfriend...\You don't have to say it twice!\How selfish!\We're not done here...\Oh, that's right.\What should we do, Cana?\All right, I'll use this one more time!\The same method won't work twice! We're up against Fried! response:	Stop it!
context: You don't have to say it twice!\How selfish!\We're not done here...\Oh, that's right.\What should we do, Cana?\All right, I'll use this one more time!\The same method won't work twice! We're up against Fried!\Stop it! response:	It's working again?!
context: How selfish!\We're not done here...\Oh, that's right.\What should we do, Cana?\All right, I'll use this one more time!\The same method won't work twice! We're up against Fried!\Stop it!\It's working again?! response:	C-Cut it out! I can't fight like this...
context: We're not done here...\Oh, that's right.\What should we do, Cana?\All right, I'll use this one more time!\The same method won't work twice! We're up against Fried!\Stop it!\It's working again?!\C-Cut it out! I can't fight like this... response:	And on top of that...
context: Oh, that's right.\What should we do, Cana?\All right, I'll use this one more time!\The same method won't work twice! We're up against Fried!\Stop it!\It's working again?!\C-Cut it out! I can't fight like this...\And on top of that... response:	Fried-sama!
context: What should we do, Cana?\All right, I'll use this one more time!\The same method won't work twice! We're up against Fried!\Stop it!\It's working again?!\C-Cut it out! I can't fight like this...\And on top of that...\Fried-sama! response:	Leave me alone!
context: All right, I'll use this one more time!\The same method won't work twice! We're up against Fried!\Stop it!\It's working again?!\C-Cut it out! I can't fight like this...\And on top of that...\Fried-sama!\Leave me alone! response:	You're so mean!
context: The same method won't work twice! We're up against Fried!\Stop it!\It's working again?!\C-Cut it out! I can't fight like this...\And on top of that...\Fried-sama!\Leave me alone!\You're so mean! response:	You're so mean!
context: Stop it!\It's working again?!\C-Cut it out! I can't fight like this...\And on top of that...\Fried-sama!\Leave me alone!\You're so mean!\You're so mean! response:	That's sort of unsettling...
context: It's working again?!\C-Cut it out! I can't fight like this...\And on top of that...\Fried-sama!\Leave me alone!\You're so mean!\You're so mean!\That's sort of unsettling... response:	All right!
context: C-Cut it out! I can't fight like this...\And on top of that...\Fried-sama!\Leave me alone!\You're so mean!\You're so mean!\That's sort of unsettling...\All right! response:	Go!
context: And on top of that...\Fried-sama!\Leave me alone!\You're so mean!\You're so mean!\That's sort of unsettling...\All right!\Go! response:	Okay!
context: Fried-sama!\Leave me alone!\You're so mean!\You're so mean!\That's sort of unsettling...\All right!\Go!\Okay! response:	Look at me, Fried-sama!
context: Leave me alone!\You're so mean!\You're so mean!\That's sort of unsettling...\All right!\Go!\Okay!\Look at me, Fried-sama! response:	Look at me, too! See?!
context: You're so mean!\You're so mean!\That's sort of unsettling...\All right!\Go!\Okay!\Look at me, Fried-sama!\Look at me, too! See?! response:	W-W-W-Wha...?!
context: You're so mean!\That's sort of unsettling...\All right!\Go!\Okay!\Look at me, Fried-sama!\Look at me, too! See?!\W-W-W-Wha...?! response:	Fried-sama, you're so cute!
context: That's sort of unsettling...\All right!\Go!\Okay!\Look at me, Fried-sama!\Look at me, too! See?!\W-W-W-Wha...?!\Fried-sama, you're so cute! response:	What?!
context: All right!\Go!\Okay!\Look at me, Fried-sama!\Look at me, too! See?!\W-W-W-Wha...?!\Fried-sama, you're so cute!\What?! response:	A wall of ladies?!
context: Go!\Okay!\Look at me, Fried-sama!\Look at me, too! See?!\W-W-W-Wha...?!\Fried-sama, you're so cute!\What?!\A wall of ladies?! response:	Hmph! What do you think?
context: Okay!\Look at me, Fried-sama!\Look at me, too! See?!\W-W-W-Wha...?!\Fried-sama, you're so cute!\What?!\A wall of ladies?!\Hmph! What do you think? response:	That's amazing, Cana!
context: Look at me, Fried-sama!\Look at me, too! See?!\W-W-W-Wha...?!\Fried-sama, you're so cute!\What?!\A wall of ladies?!\Hmph! What do you think?\That's amazing, Cana! response:	Oh, this is a piece of cheesecake!
context: Look at me, too! See?!\W-W-W-Wha...?!\Fried-sama, you're so cute!\What?!\A wall of ladies?!\Hmph! What do you think?\That's amazing, Cana!\Oh, this is a piece of cheesecake! response:	What?!
context: W-W-W-Wha...?!\Fried-sama, you're so cute!\What?!\A wall of ladies?!\Hmph! What do you think?\That's amazing, Cana!\Oh, this is a piece of cheesecake!\What?! response:	It's nice and all that we've confined him, but now what do we do?
context: Fried-sama, you're so cute!\What?!\A wall of ladies?!\Hmph! What do you think?\That's amazing, Cana!\Oh, this is a piece of cheesecake!\What?!\It's nice and all that we've confined him, but now what do we do? response:	We can't actually win like this, can we?
context: What?!\A wall of ladies?!\Hmph! What do you think?\That's amazing, Cana!\Oh, this is a piece of cheesecake!\What?!\It's nice and all that we've confined him, but now what do we do?\We can't actually win like this, can we? response:	There has to be a way to break through... Break through...
context: A wall of ladies?!\Hmph! What do you think?\That's amazing, Cana!\Oh, this is a piece of cheesecake!\What?!\It's nice and all that we've confined him, but now what do we do?\We can't actually win like this, can we?\There has to be a way to break through... Break through... response:	I'll escape that way!
context: Hmph! What do you think?\That's amazing, Cana!\Oh, this is a piece of cheesecake!\What?!\It's nice and all that we've confined him, but now what do we do?\We can't actually win like this, can we?\There has to be a way to break through... Break through...\I'll escape that way! response:	Gotcha!
context: That's amazing, Cana!\Oh, this is a piece of cheesecake!\What?!\It's nice and all that we've confined him, but now what do we do?\We can't actually win like this, can we?\There has to be a way to break through... Break through...\I'll escape that way!\Gotcha! response:	All right!
context: Oh, this is a piece of cheesecake!\What?!\It's nice and all that we've confined him, but now what do we do?\We can't actually win like this, can we?\There has to be a way to break through... Break through...\I'll escape that way!\Gotcha!\All right! response:	Crap!
context: What?!\It's nice and all that we've confined him, but now what do we do?\We can't actually win like this, can we?\There has to be a way to break through... Break through...\I'll escape that way!\Gotcha!\All right!\Crap! response:	Summoned Lightning!
context: It's nice and all that we've confined him, but now what do we do?\We can't actually win like this, can we?\There has to be a way to break through... Break through...\I'll escape that way!\Gotcha!\All right!\Crap!\Summoned Lightning! response:	I-I beat him...
context: We can't actually win like this, can we?\There has to be a way to break through... Break through...\I'll escape that way!\Gotcha!\All right!\Crap!\Summoned Lightning!\I-I beat him... response:	Look! That passage is open now!
context: There has to be a way to break through... Break through...\I'll escape that way!\Gotcha!\All right!\Crap!\Summoned Lightning!\I-I beat him...\Look! That passage is open now! response:	Then that means...
context: I'll escape that way!\Gotcha!\All right!\Crap!\Summoned Lightning!\I-I beat him...\Look! That passage is open now!\Then that means... response:	We did it!
context: Gotcha!\All right!\Crap!\Summoned Lightning!\I-I beat him...\Look! That passage is open now!\Then that means...\We did it! response:	We made it through the first trial!
context: All right!\Crap!\Summoned Lightning!\I-I beat him...\Look! That passage is open now!\Then that means...\We did it!\We made it through the first trial! response:	Let's go, Lucy!
context: Crap!\Summoned Lightning!\I-I beat him...\Look! That passage is open now!\Then that means...\We did it!\We made it through the first trial!\Let's go, Lucy! response:	Are you really sure about this, Fried?
context: Summoned Lightning!\I-I beat him...\Look! That passage is open now!\Then that means...\We did it!\We made it through the first trial!\Let's go, Lucy!\Are you really sure about this, Fried? response:	Yeah.
context: I-I beat him...\Look! That passage is open now!\Then that means...\We did it!\We made it through the first trial!\Let's go, Lucy!\Are you really sure about this, Fried?\Yeah. response:	If it were anybody else, I'd have gone all out.
context: Look! That passage is open now!\Then that means...\We did it!\We made it through the first trial!\Let's go, Lucy!\Are you really sure about this, Fried?\Yeah.\If it were anybody else, I'd have gone all out. response:	But I owed those two.
context: Then that means...\We did it!\We made it through the first trial!\Let's go, Lucy!\Are you really sure about this, Fried?\Yeah.\If it were anybody else, I'd have gone all out.\But I owed those two. response:	I'd decided that if we met here on the Battle route, I'd throw the fight.
context: We did it!\We made it through the first trial!\Let's go, Lucy!\Are you really sure about this, Fried?\Yeah.\If it were anybody else, I'd have gone all out.\But I owed those two.\I'd decided that if we met here on the Battle route, I'd throw the fight. response:	Although the idea that you'd have a weakness for women was a bit over the top.
context: We made it through the first trial!\Let's go, Lucy!\Are you really sure about this, Fried?\Yeah.\If it were anybody else, I'd have gone all out.\But I owed those two.\I'd decided that if we met here on the Battle route, I'd throw the fight.\Although the idea that you'd have a weakness for women was a bit over the top. response:	Right?
context: Let's go, Lucy!\Are you really sure about this, Fried?\Yeah.\If it were anybody else, I'd have gone all out.\But I owed those two.\I'd decided that if we met here on the Battle route, I'd throw the fight.\Although the idea that you'd have a weakness for women was a bit over the top.\Right? response:	Shoot. And I was excited about taking Laxus's spot.
context: Are you really sure about this, Fried?\Yeah.\If it were anybody else, I'd have gone all out.\But I owed those two.\I'd decided that if we met here on the Battle route, I'd throw the fight.\Although the idea that you'd have a weakness for women was a bit over the top.\Right?\Shoot. And I was excited about taking Laxus's spot. response:	That's not the important thing.
context: Yeah.\If it were anybody else, I'd have gone all out.\But I owed those two.\I'd decided that if we met here on the Battle route, I'd throw the fight.\Although the idea that you'd have a weakness for women was a bit over the top.\Right?\Shoot. And I was excited about taking Laxus's spot.\That's not the important thing. response:	It's all about Fairy Tail.
context: If it were anybody else, I'd have gone all out.\But I owed those two.\I'd decided that if we met here on the Battle route, I'd throw the fight.\Although the idea that you'd have a weakness for women was a bit over the top.\Right?\Shoot. And I was excited about taking Laxus's spot.\That's not the important thing.\It's all about Fairy Tail. response:	Besides, Laxus will come back some day, count on it.
context: But I owed those two.\I'd decided that if we met here on the Battle route, I'd throw the fight.\Although the idea that you'd have a weakness for women was a bit over the top.\Right?\Shoot. And I was excited about taking Laxus's spot.\That's not the important thing.\It's all about Fairy Tail.\Besides, Laxus will come back some day, count on it. response:	Anyway, Lucy and Cana... Didn't figure we'd actually run into those two.
context: I'd decided that if we met here on the Battle route, I'd throw the fight.\Although the idea that you'd have a weakness for women was a bit over the top.\Right?\Shoot. And I was excited about taking Laxus's spot.\That's not the important thing.\It's all about Fairy Tail.\Besides, Laxus will come back some day, count on it.\Anyway, Lucy and Cana... Didn't figure we'd actually run into those two. response:	Lucky them, huh?
context: Although the idea that you'd have a weakness for women was a bit over the top.\Right?\Shoot. And I was excited about taking Laxus's spot.\That's not the important thing.\It's all about Fairy Tail.\Besides, Laxus will come back some day, count on it.\Anyway, Lucy and Cana... Didn't figure we'd actually run into those two.\Lucky them, huh? response:	Meanwhile, in E route...
context: Right?\Shoot. And I was excited about taking Laxus's spot.\That's not the important thing.\It's all about Fairy Tail.\Besides, Laxus will come back some day, count on it.\Anyway, Lucy and Cana... Didn't figure we'd actually run into those two.\Lucky them, huh?\Meanwhile, in E route... response:	Erza! Hurry up and get out here!
context: Shoot. And I was excited about taking Laxus's spot.\That's not the important thing.\It's all about Fairy Tail.\Besides, Laxus will come back some day, count on it.\Anyway, Lucy and Cana... Didn't figure we'd actually run into those two.\Lucky them, huh?\Meanwhile, in E route...\Erza! Hurry up and get out here! response:	Fight me!
context: That's not the important thing.\It's all about Fairy Tail.\Besides, Laxus will come back some day, count on it.\Anyway, Lucy and Cana... Didn't figure we'd actually run into those two.\Lucky them, huh?\Meanwhile, in E route...\Erza! Hurry up and get out here!\Fight me! response:	It's not for sure that Erza is on this route...
context: It's all about Fairy Tail.\Besides, Laxus will come back some day, count on it.\Anyway, Lucy and Cana... Didn't figure we'd actually run into those two.\Lucky them, huh?\Meanwhile, in E route...\Erza! Hurry up and get out here!\Fight me!\It's not for sure that Erza is on this route... response:	Nuh-uh!! I took E for Erza's path!
context: Besides, Laxus will come back some day, count on it.\Anyway, Lucy and Cana... Didn't figure we'd actually run into those two.\Lucky them, huh?\Meanwhile, in E route...\Erza! Hurry up and get out here!\Fight me!\It's not for sure that Erza is on this route...\Nuh-uh!! I took E for Erza's path! response:	Just up ahead, I'll defeat Erza and become an S Class wizard!
context: Anyway, Lucy and Cana... Didn't figure we'd actually run into those two.\Lucky them, huh?\Meanwhile, in E route...\Erza! Hurry up and get out here!\Fight me!\It's not for sure that Erza is on this route...\Nuh-uh!! I took E for Erza's path!\Just up ahead, I'll defeat Erza and become an S Class wizard! response:	Natsu! The path is widening!
context: Lucky them, huh?\Meanwhile, in E route...\Erza! Hurry up and get out here!\Fight me!\It's not for sure that Erza is on this route...\Nuh-uh!! I took E for Erza's path!\Just up ahead, I'll defeat Erza and become an S Class wizard!\Natsu! The path is widening! response:	Somebody's there!
context: Meanwhile, in E route...\Erza! Hurry up and get out here!\Fight me!\It's not for sure that Erza is on this route...\Nuh-uh!! I took E for Erza's path!\Just up ahead, I'll defeat Erza and become an S Class wizard!\Natsu! The path is widening!\Somebody's there! response:	Who could it be?
context: Erza! Hurry up and get out here!\Fight me!\It's not for sure that Erza is on this route...\Nuh-uh!! I took E for Erza's path!\Just up ahead, I'll defeat Erza and become an S Class wizard!\Natsu! The path is widening!\Somebody's there!\Who could it be? response:	Gildarts!
context: Fight me!\It's not for sure that Erza is on this route...\Nuh-uh!! I took E for Erza's path!\Just up ahead, I'll defeat Erza and become an S Class wizard!\Natsu! The path is widening!\Somebody's there!\Who could it be?\Gildarts! response:	Hello there, Natsu.
context: It's not for sure that Erza is on this route...\Nuh-uh!! I took E for Erza's path!\Just up ahead, I'll defeat Erza and become an S Class wizard!\Natsu! The path is widening!\Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu. response:	You drew the short straw, huh?
context: Nuh-uh!! I took E for Erza's path!\Just up ahead, I'll defeat Erza and become an S Class wizard!\Natsu! The path is widening!\Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh? response:	It's over...
context: Just up ahead, I'll defeat Erza and become an S Class wizard!\Natsu! The path is widening!\Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over... response:	You know, I just hate holding back...
context: Natsu! The path is widening!\Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over...\You know, I just hate holding back... response:	Natsu?!
context: Somebody's there!\Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over...\You know, I just hate holding back...\Natsu?! response:	I'm all fired up!
context: Who could it be?\Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over...\You know, I just hate holding back...\Natsu?!\I'm all fired up! response:	Natsu, nice try!
context: Gildarts!\Hello there, Natsu.\You drew the short straw, huh?\It's over...\You know, I just hate holding back...\Natsu?!\I'm all fired up!\Natsu, nice try! response:	Nice try? What do you mean?
context: Hello there, Natsu.\You drew the short straw, huh?\It's over...\You know, I just hate holding back...\Natsu?!\I'm all fired up!\Natsu, nice try!\Nice try? What do you mean? response:	Well, the first trial of the test is over.
context: You drew the short straw, huh?\It's over...\You know, I just hate holding back...\Natsu?!\I'm all fired up!\Natsu, nice try!\Nice try? What do you mean?\Well, the first trial of the test is over. response:	What are you talking about?! It just started!
context: It's over...\You know, I just hate holding back...\Natsu?!\I'm all fired up!\Natsu, nice try!\Nice try? What do you mean?\Well, the first trial of the test is over.\What are you talking about?! It just started! response:	Your opponent is Gildarts!
context: You know, I just hate holding back...\Natsu?!\I'm all fired up!\Natsu, nice try!\Nice try? What do you mean?\Well, the first trial of the test is over.\What are you talking about?! It just started!\Your opponent is Gildarts! response:	I don't have to stick around to know the outcome.
context: Natsu?!\I'm all fired up!\Natsu, nice try!\Nice try? What do you mean?\Well, the first trial of the test is over.\What are you talking about?! It just started!\Your opponent is Gildarts!\I don't have to stick around to know the outcome. response:	You just remember those words!
context: I'm all fired up!\Natsu, nice try!\Nice try? What do you mean?\Well, the first trial of the test is over.\What are you talking about?! It just started!\Your opponent is Gildarts!\I don't have to stick around to know the outcome.\You just remember those words! response:	When I beat Gildarts, you'll be laughing outta the other side of your face!
context: Natsu, nice try!\Nice try? What do you mean?\Well, the first trial of the test is over.\What are you talking about?! It just started!\Your opponent is Gildarts!\I don't have to stick around to know the outcome.\You just remember those words!\When I beat Gildarts, you'll be laughing outta the other side of your face! response:	Next time! Natsu versus Gildarts!
context: Nice try? What do you mean?\Well, the first trial of the test is over.\What are you talking about?! It just started!\Your opponent is Gildarts!\I don't have to stick around to know the outcome.\You just remember those words!\When I beat Gildarts, you'll be laughing outta the other side of your face!\Next time! Natsu versus Gildarts! response:	I think I might get the last laugh.
context: Well, the first trial of the test is over.\What are you talking about?! It just started!\Your opponent is Gildarts!\I don't have to stick around to know the outcome.\You just remember those words!\When I beat Gildarts, you'll be laughing outta the other side of your face!\Next time! Natsu versus Gildarts!\I think I might get the last laugh. response:	Well, go ahead and laugh, but you're gonna fight too, Happy.
context: What are you talking about?! It just started!\Your opponent is Gildarts!\I don't have to stick around to know the outcome.\You just remember those words!\When I beat Gildarts, you'll be laughing outta the other side of your face!\Next time! Natsu versus Gildarts!\I think I might get the last laugh.\Well, go ahead and laugh, but you're gonna fight too, Happy. response:	After all, you're my partner.
