context: I've liked you, Chisaki. response:	For quite a while now.
context: Thank you all for gathering here today.\I had something I wanted to ask of all of you.\I think that you are all aware by now,\but Shiodome Itaru-san and I are going to be married.\And so...\I was wondering if it would be possible\to do the Ofunehiki and wedding together.\Together? response:	I was wondering if you'd let me take Ojoshi-sama's place
context: I had something I wanted to ask of all of you.\I think that you are all aware by now,\but Shiodome Itaru-san and I are going to be married.\And so...\I was wondering if it would be possible\to do the Ofunehiki and wedding together.\Together?\I was wondering if you'd let me take Ojoshi-sama's place response:	on the boat to be sent out to sea.
context: I think that you are all aware by now,\but Shiodome Itaru-san and I are going to be married.\And so...\I was wondering if it would be possible\to do the Ofunehiki and wedding together.\Together?\I was wondering if you'd let me take Ojoshi-sama's place\on the boat to be sent out to sea. response:	But does that mean...
context: but Shiodome Itaru-san and I are going to be married.\And so...\I was wondering if it would be possible\to do the Ofunehiki and wedding together.\Together?\I was wondering if you'd let me take Ojoshi-sama's place\on the boat to be sent out to sea.\But does that mean... response:	You're going to be the sacrifice,
context: And so...\I was wondering if it would be possible\to do the Ofunehiki and wedding together.\Together?\I was wondering if you'd let me take Ojoshi-sama's place\on the boat to be sent out to sea.\But does that mean...\You're going to be the sacrifice, response:	and try to calm the Sea God's rage?
context: I was wondering if it would be possible\to do the Ofunehiki and wedding together.\Together?\I was wondering if you'd let me take Ojoshi-sama's place\on the boat to be sent out to sea.\But does that mean...\You're going to be the sacrifice,\and try to calm the Sea God's rage? response:	But Uroko-sama said there was no point in the Ofunehiki.
context: to do the Ofunehiki and wedding together.\Together?\I was wondering if you'd let me take Ojoshi-sama's place\on the boat to be sent out to sea.\But does that mean...\You're going to be the sacrifice,\and try to calm the Sea God's rage?\But Uroko-sama said there was no point in the Ofunehiki. response:	Right...
context: Together?\I was wondering if you'd let me take Ojoshi-sama's place\on the boat to be sent out to sea.\But does that mean...\You're going to be the sacrifice,\and try to calm the Sea God's rage?\But Uroko-sama said there was no point in the Ofunehiki.\Right... response:	If Uroko-sama said that, I'm sure nothing will happen...
context: I was wondering if you'd let me take Ojoshi-sama's place\on the boat to be sent out to sea.\But does that mean...\You're going to be the sacrifice,\and try to calm the Sea God's rage?\But Uroko-sama said there was no point in the Ofunehiki.\Right...\If Uroko-sama said that, I'm sure nothing will happen... response:	and there may be no point in me doing this.
context: on the boat to be sent out to sea.\But does that mean...\You're going to be the sacrifice,\and try to calm the Sea God's rage?\But Uroko-sama said there was no point in the Ofunehiki.\Right...\If Uroko-sama said that, I'm sure nothing will happen...\and there may be no point in me doing this. response:	But if there's nothing else that we can do,
context: But does that mean...\You're going to be the sacrifice,\and try to calm the Sea God's rage?\But Uroko-sama said there was no point in the Ofunehiki.\Right...\If Uroko-sama said that, I'm sure nothing will happen...\and there may be no point in me doing this.\But if there's nothing else that we can do, response:	I want to try everything we can just in case.
context: You're going to be the sacrifice,\and try to calm the Sea God's rage?\But Uroko-sama said there was no point in the Ofunehiki.\Right...\If Uroko-sama said that, I'm sure nothing will happen...\and there may be no point in me doing this.\But if there's nothing else that we can do,\I want to try everything we can just in case. response:	I'll be the Ojoshi-sama.
context: and try to calm the Sea God's rage?\But Uroko-sama said there was no point in the Ofunehiki.\Right...\If Uroko-sama said that, I'm sure nothing will happen...\and there may be no point in me doing this.\But if there's nothing else that we can do,\I want to try everything we can just in case.\I'll be the Ojoshi-sama. response:	And when the Ofunehiki is over,
context: But Uroko-sama said there was no point in the Ofunehiki.\Right...\If Uroko-sama said that, I'm sure nothing will happen...\and there may be no point in me doing this.\But if there's nothing else that we can do,\I want to try everything we can just in case.\I'll be the Ojoshi-sama.\And when the Ofunehiki is over, response:	I will marry Itaru-san as if I were going to marry the Sea God.
context: Right...\If Uroko-sama said that, I'm sure nothing will happen...\and there may be no point in me doing this.\But if there's nothing else that we can do,\I want to try everything we can just in case.\I'll be the Ojoshi-sama.\And when the Ofunehiki is over,\I will marry Itaru-san as if I were going to marry the Sea God. response:	Will you... forgive me?
context: If Uroko-sama said that, I'm sure nothing will happen...\and there may be no point in me doing this.\But if there's nothing else that we can do,\I want to try everything we can just in case.\I'll be the Ojoshi-sama.\And when the Ofunehiki is over,\I will marry Itaru-san as if I were going to marry the Sea God.\Will you... forgive me? response:	No!
context: and there may be no point in me doing this.\But if there's nothing else that we can do,\I want to try everything we can just in case.\I'll be the Ojoshi-sama.\And when the Ofunehiki is over,\I will marry Itaru-san as if I were going to marry the Sea God.\Will you... forgive me?\No! response:	Because if you go to sleep in the ocean,
context: But if there's nothing else that we can do,\I want to try everything we can just in case.\I'll be the Ojoshi-sama.\And when the Ofunehiki is over,\I will marry Itaru-san as if I were going to marry the Sea God.\Will you... forgive me?\No!\Because if you go to sleep in the ocean, response:	you'll be able to keep living, right?
context: I want to try everything we can just in case.\I'll be the Ojoshi-sama.\And when the Ofunehiki is over,\I will marry Itaru-san as if I were going to marry the Sea God.\Will you... forgive me?\No!\Because if you go to sleep in the ocean,\you'll be able to keep living, right? response:	Then I want you to keep living, Aka-chan!
context: I'll be the Ojoshi-sama.\And when the Ofunehiki is over,\I will marry Itaru-san as if I were going to marry the Sea God.\Will you... forgive me?\No!\Because if you go to sleep in the ocean,\you'll be able to keep living, right?\Then I want you to keep living, Aka-chan! response:	But I need you and Itaru-san in my life now.
context: And when the Ofunehiki is over,\I will marry Itaru-san as if I were going to marry the Sea God.\Will you... forgive me?\No!\Because if you go to sleep in the ocean,\you'll be able to keep living, right?\Then I want you to keep living, Aka-chan!\But I need you and Itaru-san in my life now. response:	There's no point in me living if I don't have you two.
context: I will marry Itaru-san as if I were going to marry the Sea God.\Will you... forgive me?\No!\Because if you go to sleep in the ocean,\you'll be able to keep living, right?\Then I want you to keep living, Aka-chan!\But I need you and Itaru-san in my life now.\There's no point in me living if I don't have you two. response:	So, I'm sorry, but I definitely
context: Will you... forgive me?\No!\Because if you go to sleep in the ocean,\you'll be able to keep living, right?\Then I want you to keep living, Aka-chan!\But I need you and Itaru-san in my life now.\There's no point in me living if I don't have you two.\So, I'm sorry, but I definitely response:	won't go away.
context: No!\Because if you go to sleep in the ocean,\you'll be able to keep living, right?\Then I want you to keep living, Aka-chan!\But I need you and Itaru-san in my life now.\There's no point in me living if I don't have you two.\So, I'm sorry, but I definitely\won't go away. response:	I'm going to live my life in the same place and time as you, Miuna.
context: Because if you go to sleep in the ocean,\you'll be able to keep living, right?\Then I want you to keep living, Aka-chan!\But I need you and Itaru-san in my life now.\There's no point in me living if I don't have you two.\So, I'm sorry, but I definitely\won't go away.\I'm going to live my life in the same place and time as you, Miuna. response:	Aka-chan!
context: you'll be able to keep living, right?\Then I want you to keep living, Aka-chan!\But I need you and Itaru-san in my life now.\There's no point in me living if I don't have you two.\So, I'm sorry, but I definitely\won't go away.\I'm going to live my life in the same place and time as you, Miuna.\Aka-chan! response:	I'm so sorry!
context: Then I want you to keep living, Aka-chan!\But I need you and Itaru-san in my life now.\There's no point in me living if I don't have you two.\So, I'm sorry, but I definitely\won't go away.\I'm going to live my life in the same place and time as you, Miuna.\Aka-chan!\I'm so sorry! response:	I don't care if it's futile.
context: But I need you and Itaru-san in my life now.\There's no point in me living if I don't have you two.\So, I'm sorry, but I definitely\won't go away.\I'm going to live my life in the same place and time as you, Miuna.\Aka-chan!\I'm so sorry!\I don't care if it's futile. response:	I just thought I needed to do something, too,
context: There's no point in me living if I don't have you two.\So, I'm sorry, but I definitely\won't go away.\I'm going to live my life in the same place and time as you, Miuna.\Aka-chan!\I'm so sorry!\I don't care if it's futile.\I just thought I needed to do something, too, response:	after seeing all of you work so hard.
context: So, I'm sorry, but I definitely\won't go away.\I'm going to live my life in the same place and time as you, Miuna.\Aka-chan!\I'm so sorry!\I don't care if it's futile.\I just thought I needed to do something, too,\after seeing all of you work so hard. response:	Because I don't want to say goodbye to all of you
context: won't go away.\I'm going to live my life in the same place and time as you, Miuna.\Aka-chan!\I'm so sorry!\I don't care if it's futile.\I just thought I needed to do something, too,\after seeing all of you work so hard.\Because I don't want to say goodbye to all of you response:	without trying anything!
context: I'm going to live my life in the same place and time as you, Miuna.\Aka-chan!\I'm so sorry!\I don't care if it's futile.\I just thought I needed to do something, too,\after seeing all of you work so hard.\Because I don't want to say goodbye to all of you\without trying anything! response:	I think that's a great idea!
context: Aka-chan!\I'm so sorry!\I don't care if it's futile.\I just thought I needed to do something, too,\after seeing all of you work so hard.\Because I don't want to say goodbye to all of you\without trying anything!\I think that's a great idea! response:	I, um...
context: I'm so sorry!\I don't care if it's futile.\I just thought I needed to do something, too,\after seeing all of you work so hard.\Because I don't want to say goodbye to all of you\without trying anything!\I think that's a great idea!\I, um... response:	want to do this together!
context: I don't care if it's futile.\I just thought I needed to do something, too,\after seeing all of you work so hard.\Because I don't want to say goodbye to all of you\without trying anything!\I think that's a great idea!\I, um...\want to do this together! response:	The wedding!
context: I just thought I needed to do something, too,\after seeing all of you work so hard.\Because I don't want to say goodbye to all of you\without trying anything!\I think that's a great idea!\I, um...\want to do this together!\The wedding! response:	Sounds good.
context: after seeing all of you work so hard.\Because I don't want to say goodbye to all of you\without trying anything!\I think that's a great idea!\I, um...\want to do this together!\The wedding!\Sounds good. response:	Let's do it.
context: Because I don't want to say goodbye to all of you\without trying anything!\I think that's a great idea!\I, um...\want to do this together!\The wedding!\Sounds good.\Let's do it. response:	It would suck if this just ended with us being swallowed up.
context: without trying anything!\I think that's a great idea!\I, um...\want to do this together!\The wedding!\Sounds good.\Let's do it.\It would suck if this just ended with us being swallowed up. response:	Yeah!
context: I think that's a great idea!\I, um...\want to do this together!\The wedding!\Sounds good.\Let's do it.\It would suck if this just ended with us being swallowed up.\Yeah! response:	Just watch, Sea God!
context: I, um...\want to do this together!\The wedding!\Sounds good.\Let's do it.\It would suck if this just ended with us being swallowed up.\Yeah!\Just watch, Sea God! response:	We'll put on such a flashy ceremony, there'll be no way you can ignore it!
context: want to do this together!\The wedding!\Sounds good.\Let's do it.\It would suck if this just ended with us being swallowed up.\Yeah!\Just watch, Sea God!\We'll put on such a flashy ceremony, there'll be no way you can ignore it! response:	Yeah!
context: The wedding!\Sounds good.\Let's do it.\It would suck if this just ended with us being swallowed up.\Yeah!\Just watch, Sea God!\We'll put on such a flashy ceremony, there'll be no way you can ignore it!\Yeah! response:	And so, the Ofunehiki was put in motion again.
context: Sounds good.\Let's do it.\It would suck if this just ended with us being swallowed up.\Yeah!\Just watch, Sea God!\We'll put on such a flashy ceremony, there'll be no way you can ignore it!\Yeah!\And so, the Ofunehiki was put in motion again. response:	Just like the very first one our ancestors put on for the Sea God.
context: Let's do it.\It would suck if this just ended with us being swallowed up.\Yeah!\Just watch, Sea God!\We'll put on such a flashy ceremony, there'll be no way you can ignore it!\Yeah!\And so, the Ofunehiki was put in motion again.\Just like the very first one our ancestors put on for the Sea God. response:	With the assistance of the Fishery Cooperative,
context: It would suck if this just ended with us being swallowed up.\Yeah!\Just watch, Sea God!\We'll put on such a flashy ceremony, there'll be no way you can ignore it!\Yeah!\And so, the Ofunehiki was put in motion again.\Just like the very first one our ancestors put on for the Sea God.\With the assistance of the Fishery Cooperative, response:	the fishermen started helping us out as well.
context: Yeah!\Just watch, Sea God!\We'll put on such a flashy ceremony, there'll be no way you can ignore it!\Yeah!\And so, the Ofunehiki was put in motion again.\Just like the very first one our ancestors put on for the Sea God.\With the assistance of the Fishery Cooperative,\the fishermen started helping us out as well. response:	We were able to use the shipyard,
context: Just watch, Sea God!\We'll put on such a flashy ceremony, there'll be no way you can ignore it!\Yeah!\And so, the Ofunehiki was put in motion again.\Just like the very first one our ancestors put on for the Sea God.\With the assistance of the Fishery Cooperative,\the fishermen started helping us out as well.\We were able to use the shipyard, response:	so it wasn't just us anymore, but the adults were helping out, too.
context: We'll put on such a flashy ceremony, there'll be no way you can ignore it!\Yeah!\And so, the Ofunehiki was put in motion again.\Just like the very first one our ancestors put on for the Sea God.\With the assistance of the Fishery Cooperative,\the fishermen started helping us out as well.\We were able to use the shipyard,\so it wasn't just us anymore, but the adults were helping out, too. response:	Thanks for your hard work!
context: Yeah!\And so, the Ofunehiki was put in motion again.\Just like the very first one our ancestors put on for the Sea God.\With the assistance of the Fishery Cooperative,\the fishermen started helping us out as well.\We were able to use the shipyard,\so it wasn't just us anymore, but the adults were helping out, too.\Thanks for your hard work! response:	Thank you, too!
context: And so, the Ofunehiki was put in motion again.\Just like the very first one our ancestors put on for the Sea God.\With the assistance of the Fishery Cooperative,\the fishermen started helping us out as well.\We were able to use the shipyard,\so it wasn't just us anymore, but the adults were helping out, too.\Thanks for your hard work!\Thank you, too! response:	See you tomorrow!
context: Just like the very first one our ancestors put on for the Sea God.\With the assistance of the Fishery Cooperative,\the fishermen started helping us out as well.\We were able to use the shipyard,\so it wasn't just us anymore, but the adults were helping out, too.\Thanks for your hard work!\Thank you, too!\See you tomorrow! response:	Thanks for your hard work!
context: With the assistance of the Fishery Cooperative,\the fishermen started helping us out as well.\We were able to use the shipyard,\so it wasn't just us anymore, but the adults were helping out, too.\Thanks for your hard work!\Thank you, too!\See you tomorrow!\Thanks for your hard work! response:	Akari-san!
context: the fishermen started helping us out as well.\We were able to use the shipyard,\so it wasn't just us anymore, but the adults were helping out, too.\Thanks for your hard work!\Thank you, too!\See you tomorrow!\Thanks for your hard work!\Akari-san! response:	Could you check the fire and the door...
context: We were able to use the shipyard,\so it wasn't just us anymore, but the adults were helping out, too.\Thanks for your hard work!\Thank you, too!\See you tomorrow!\Thanks for your hard work!\Akari-san!\Could you check the fire and the door... response:	It's so amazing. It's very admirable.
context: so it wasn't just us anymore, but the adults were helping out, too.\Thanks for your hard work!\Thank you, too!\See you tomorrow!\Thanks for your hard work!\Akari-san!\Could you check the fire and the door...\It's so amazing. It's very admirable. response:	No... not just Akari-san...
context: Thanks for your hard work!\Thank you, too!\See you tomorrow!\Thanks for your hard work!\Akari-san!\Could you check the fire and the door...\It's so amazing. It's very admirable.\No... not just Akari-san... response:	But Hikari, and Manaka, are both trying hard to change,
context: Thank you, too!\See you tomorrow!\Thanks for your hard work!\Akari-san!\Could you check the fire and the door...\It's so amazing. It's very admirable.\No... not just Akari-san...\But Hikari, and Manaka, are both trying hard to change, response:	and have changed, and started changing everyone around them.
context: See you tomorrow!\Thanks for your hard work!\Akari-san!\Could you check the fire and the door...\It's so amazing. It's very admirable.\No... not just Akari-san...\But Hikari, and Manaka, are both trying hard to change,\and have changed, and started changing everyone around them. response:	It's sort of like a modest resistance.
context: Thanks for your hard work!\Akari-san!\Could you check the fire and the door...\It's so amazing. It's very admirable.\No... not just Akari-san...\But Hikari, and Manaka, are both trying hard to change,\and have changed, and started changing everyone around them.\It's sort of like a modest resistance. response:	Kaname, too, probably...
context: Akari-san!\Could you check the fire and the door...\It's so amazing. It's very admirable.\No... not just Akari-san...\But Hikari, and Manaka, are both trying hard to change,\and have changed, and started changing everyone around them.\It's sort of like a modest resistance.\Kaname, too, probably... response:	Akari-san.
context: Could you check the fire and the door...\It's so amazing. It's very admirable.\No... not just Akari-san...\But Hikari, and Manaka, are both trying hard to change,\and have changed, and started changing everyone around them.\It's sort of like a modest resistance.\Kaname, too, probably...\Akari-san. response:	I'm going to confess my feelings to Hikari.
context: It's so amazing. It's very admirable.\No... not just Akari-san...\But Hikari, and Manaka, are both trying hard to change,\and have changed, and started changing everyone around them.\It's sort of like a modest resistance.\Kaname, too, probably...\Akari-san.\I'm going to confess my feelings to Hikari. response:	It might not do any good,
context: No... not just Akari-san...\But Hikari, and Manaka, are both trying hard to change,\and have changed, and started changing everyone around them.\It's sort of like a modest resistance.\Kaname, too, probably...\Akari-san.\I'm going to confess my feelings to Hikari.\It might not do any good, response:	but I can't let it end without trying or without changing.
context: But Hikari, and Manaka, are both trying hard to change,\and have changed, and started changing everyone around them.\It's sort of like a modest resistance.\Kaname, too, probably...\Akari-san.\I'm going to confess my feelings to Hikari.\It might not do any good,\but I can't let it end without trying or without changing. response:	Because that's what I believe, too.
context: and have changed, and started changing everyone around them.\It's sort of like a modest resistance.\Kaname, too, probably...\Akari-san.\I'm going to confess my feelings to Hikari.\It might not do any good,\but I can't let it end without trying or without changing.\Because that's what I believe, too. response:	I love Manaka...
context: It's sort of like a modest resistance.\Kaname, too, probably...\Akari-san.\I'm going to confess my feelings to Hikari.\It might not do any good,\but I can't let it end without trying or without changing.\Because that's what I believe, too.\I love Manaka... response:	I don't understand any of that!
context: Kaname, too, probably...\Akari-san.\I'm going to confess my feelings to Hikari.\It might not do any good,\but I can't let it end without trying or without changing.\Because that's what I believe, too.\I love Manaka...\I don't understand any of that! response:	This is the best that I can do...
context: Akari-san.\I'm going to confess my feelings to Hikari.\It might not do any good,\but I can't let it end without trying or without changing.\Because that's what I believe, too.\I love Manaka...\I don't understand any of that!\This is the best that I can do... response:	Don't talk to me!
context: I'm going to confess my feelings to Hikari.\It might not do any good,\but I can't let it end without trying or without changing.\Because that's what I believe, too.\I love Manaka...\I don't understand any of that!\This is the best that I can do...\Don't talk to me! response:	I won't forget.
context: It might not do any good,\but I can't let it end without trying or without changing.\Because that's what I believe, too.\I love Manaka...\I don't understand any of that!\This is the best that I can do...\Don't talk to me!\I won't forget. response:	Episode Twelve: I Want to Be Kind
context: but I can't let it end without trying or without changing.\Because that's what I believe, too.\I love Manaka...\I don't understand any of that!\This is the best that I can do...\Don't talk to me!\I won't forget.\Episode Twelve: I Want to Be Kind response:	We won't... see each other anymore...
