context: I gave up my voice in order to protect the knowledge I got from you. response:	Are you saying you will protect me, Chane?
context: I'm not that smart! Tell me using simple terms.\What I'm saying is...\To put it briefly, I am made to live by Szilard's will,\and I can also be killed by it.\You're weak. You've wasted these 200 years, haven't you?\Let me show you the fruits of my 200 years.\Disgraceful bunch. They got into it after all, did they?\What are you talking about? response:	What's up with that? How can anything be so self-serving?
context: What I'm saying is...\To put it briefly, I am made to live by Szilard's will,\and I can also be killed by it.\You're weak. You've wasted these 200 years, haven't you?\Let me show you the fruits of my 200 years.\Disgraceful bunch. They got into it after all, did they?\What are you talking about?\What's up with that? How can anything be so self-serving? response:	To Szilard, I must be something like a daughter.
context: To put it briefly, I am made to live by Szilard's will,\and I can also be killed by it.\You're weak. You've wasted these 200 years, haven't you?\Let me show you the fruits of my 200 years.\Disgraceful bunch. They got into it after all, did they?\What are you talking about?\What's up with that? How can anything be so self-serving?\To Szilard, I must be something like a daughter. response:	What kind of father can kill his daughter on a whim,
context: and I can also be killed by it.\You're weak. You've wasted these 200 years, haven't you?\Let me show you the fruits of my 200 years.\Disgraceful bunch. They got into it after all, did they?\What are you talking about?\What's up with that? How can anything be so self-serving?\To Szilard, I must be something like a daughter.\What kind of father can kill his daughter on a whim, response:	and in addition, overwork his daughter under the threat of doing so?!
context: You're weak. You've wasted these 200 years, haven't you?\Let me show you the fruits of my 200 years.\Disgraceful bunch. They got into it after all, did they?\What are you talking about?\What's up with that? How can anything be so self-serving?\To Szilard, I must be something like a daughter.\What kind of father can kill his daughter on a whim,\and in addition, overwork his daughter under the threat of doing so?! response:	Don't play dumb.
context: Let me show you the fruits of my 200 years.\Disgraceful bunch. They got into it after all, did they?\What are you talking about?\What's up with that? How can anything be so self-serving?\To Szilard, I must be something like a daughter.\What kind of father can kill his daughter on a whim,\and in addition, overwork his daughter under the threat of doing so?!\Don't play dumb. response:	This is the same grand panacea that we both once drank.
context: Disgraceful bunch. They got into it after all, did they?\What are you talking about?\What's up with that? How can anything be so self-serving?\To Szilard, I must be something like a daughter.\What kind of father can kill his daughter on a whim,\and in addition, overwork his daughter under the threat of doing so?!\Don't play dumb.\This is the same grand panacea that we both once drank. response:	I finally succeeded in perfecting it on my own.
context: What are you talking about?\What's up with that? How can anything be so self-serving?\To Szilard, I must be something like a daughter.\What kind of father can kill his daughter on a whim,\and in addition, overwork his daughter under the threat of doing so?!\Don't play dumb.\This is the same grand panacea that we both once drank.\I finally succeeded in perfecting it on my own. response:	There's no way a pretty girl like you could be the daughter of that geezer.
context: What's up with that? How can anything be so self-serving?\To Szilard, I must be something like a daughter.\What kind of father can kill his daughter on a whim,\and in addition, overwork his daughter under the threat of doing so?!\Don't play dumb.\This is the same grand panacea that we both once drank.\I finally succeeded in perfecting it on my own.\There's no way a pretty girl like you could be the daughter of that geezer. response:	I assure you of that.
context: To Szilard, I must be something like a daughter.\What kind of father can kill his daughter on a whim,\and in addition, overwork his daughter under the threat of doing so?!\Don't play dumb.\This is the same grand panacea that we both once drank.\I finally succeeded in perfecting it on my own.\There's no way a pretty girl like you could be the daughter of that geezer.\I assure you of that. response:	Quite a passionate display, there.
context: What kind of father can kill his daughter on a whim,\and in addition, overwork his daughter under the threat of doing so?!\Don't play dumb.\This is the same grand panacea that we both once drank.\I finally succeeded in perfecting it on my own.\There's no way a pretty girl like you could be the daughter of that geezer.\I assure you of that.\Quite a passionate display, there. response:	-The guys from yesterday... -Dallas? What are you doing here?
context: and in addition, overwork his daughter under the threat of doing so?!\Don't play dumb.\This is the same grand panacea that we both once drank.\I finally succeeded in perfecting it on my own.\There's no way a pretty girl like you could be the daughter of that geezer.\I assure you of that.\Quite a passionate display, there.\-The guys from yesterday... -Dallas? What are you doing here? response:	Surprised? You see, I'm an immortal.
context: Don't play dumb.\This is the same grand panacea that we both once drank.\I finally succeeded in perfecting it on my own.\There's no way a pretty girl like you could be the daughter of that geezer.\I assure you of that.\Quite a passionate display, there.\-The guys from yesterday... -Dallas? What are you doing here?\Surprised? You see, I'm an immortal. response:	I know. Fascinating.
context: This is the same grand panacea that we both once drank.\I finally succeeded in perfecting it on my own.\There's no way a pretty girl like you could be the daughter of that geezer.\I assure you of that.\Quite a passionate display, there.\-The guys from yesterday... -Dallas? What are you doing here?\Surprised? You see, I'm an immortal.\I know. Fascinating. response:	It means, I could flay you alive, gouge out your eyes,
context: I finally succeeded in perfecting it on my own.\There's no way a pretty girl like you could be the daughter of that geezer.\I assure you of that.\Quite a passionate display, there.\-The guys from yesterday... -Dallas? What are you doing here?\Surprised? You see, I'm an immortal.\I know. Fascinating.\It means, I could flay you alive, gouge out your eyes, response:	and crush your heart in my hands while you're still alive,
context: There's no way a pretty girl like you could be the daughter of that geezer.\I assure you of that.\Quite a passionate display, there.\-The guys from yesterday... -Dallas? What are you doing here?\Surprised? You see, I'm an immortal.\I know. Fascinating.\It means, I could flay you alive, gouge out your eyes,\and crush your heart in my hands while you're still alive, response:	and you wouldn't be fazed by it.
context: I assure you of that.\Quite a passionate display, there.\-The guys from yesterday... -Dallas? What are you doing here?\Surprised? You see, I'm an immortal.\I know. Fascinating.\It means, I could flay you alive, gouge out your eyes,\and crush your heart in my hands while you're still alive,\and you wouldn't be fazed by it. response:	Go ahead and do it. I'm accustomed to that level of pain.
context: Quite a passionate display, there.\-The guys from yesterday... -Dallas? What are you doing here?\Surprised? You see, I'm an immortal.\I know. Fascinating.\It means, I could flay you alive, gouge out your eyes,\and crush your heart in my hands while you're still alive,\and you wouldn't be fazed by it.\Go ahead and do it. I'm accustomed to that level of pain. response:	Have you ever had hot fireplace tongs thrust into your eyes?
context: -The guys from yesterday... -Dallas? What are you doing here?\Surprised? You see, I'm an immortal.\I know. Fascinating.\It means, I could flay you alive, gouge out your eyes,\and crush your heart in my hands while you're still alive,\and you wouldn't be fazed by it.\Go ahead and do it. I'm accustomed to that level of pain.\Have you ever had hot fireplace tongs thrust into your eyes? response:	Have you ever been dipped in an acid bath?
context: Surprised? You see, I'm an immortal.\I know. Fascinating.\It means, I could flay you alive, gouge out your eyes,\and crush your heart in my hands while you're still alive,\and you wouldn't be fazed by it.\Go ahead and do it. I'm accustomed to that level of pain.\Have you ever had hot fireplace tongs thrust into your eyes?\Have you ever been dipped in an acid bath? response:	Have you ever been thrown alive into a fireplace?
context: I know. Fascinating.\It means, I could flay you alive, gouge out your eyes,\and crush your heart in my hands while you're still alive,\and you wouldn't be fazed by it.\Go ahead and do it. I'm accustomed to that level of pain.\Have you ever had hot fireplace tongs thrust into your eyes?\Have you ever been dipped in an acid bath?\Have you ever been thrown alive into a fireplace? response:	I lived with having someone I trusted give me that sort of pain daily.
context: It means, I could flay you alive, gouge out your eyes,\and crush your heart in my hands while you're still alive,\and you wouldn't be fazed by it.\Go ahead and do it. I'm accustomed to that level of pain.\Have you ever had hot fireplace tongs thrust into your eyes?\Have you ever been dipped in an acid bath?\Have you ever been thrown alive into a fireplace?\I lived with having someone I trusted give me that sort of pain daily. response:	I will not be daunted by your kind of violence.
context: and crush your heart in my hands while you're still alive,\and you wouldn't be fazed by it.\Go ahead and do it. I'm accustomed to that level of pain.\Have you ever had hot fireplace tongs thrust into your eyes?\Have you ever been dipped in an acid bath?\Have you ever been thrown alive into a fireplace?\I lived with having someone I trusted give me that sort of pain daily.\I will not be daunted by your kind of violence. response:	I am prepared to handle more pain than you are capable of!
context: and you wouldn't be fazed by it.\Go ahead and do it. I'm accustomed to that level of pain.\Have you ever had hot fireplace tongs thrust into your eyes?\Have you ever been dipped in an acid bath?\Have you ever been thrown alive into a fireplace?\I lived with having someone I trusted give me that sort of pain daily.\I will not be daunted by your kind of violence.\I am prepared to handle more pain than you are capable of! response:	You're hopeless.
context: Go ahead and do it. I'm accustomed to that level of pain.\Have you ever had hot fireplace tongs thrust into your eyes?\Have you ever been dipped in an acid bath?\Have you ever been thrown alive into a fireplace?\I lived with having someone I trusted give me that sort of pain daily.\I will not be daunted by your kind of violence.\I am prepared to handle more pain than you are capable of!\You're hopeless. response:	That much is just a mere diversion.
context: Have you ever had hot fireplace tongs thrust into your eyes?\Have you ever been dipped in an acid bath?\Have you ever been thrown alive into a fireplace?\I lived with having someone I trusted give me that sort of pain daily.\I will not be daunted by your kind of violence.\I am prepared to handle more pain than you are capable of!\You're hopeless.\That much is just a mere diversion. response:	Have you ever had your arm muscles carefully stripped off
context: Have you ever been dipped in an acid bath?\Have you ever been thrown alive into a fireplace?\I lived with having someone I trusted give me that sort of pain daily.\I will not be daunted by your kind of violence.\I am prepared to handle more pain than you are capable of!\You're hopeless.\That much is just a mere diversion.\Have you ever had your arm muscles carefully stripped off response:	while you were still alive?
context: Have you ever been thrown alive into a fireplace?\I lived with having someone I trusted give me that sort of pain daily.\I will not be daunted by your kind of violence.\I am prepared to handle more pain than you are capable of!\You're hopeless.\That much is just a mere diversion.\Have you ever had your arm muscles carefully stripped off\while you were still alive? response:	And then had any carving done on the bones of your arm?
context: I lived with having someone I trusted give me that sort of pain daily.\I will not be daunted by your kind of violence.\I am prepared to handle more pain than you are capable of!\You're hopeless.\That much is just a mere diversion.\Have you ever had your arm muscles carefully stripped off\while you were still alive?\And then had any carving done on the bones of your arm? response:	Do you know the methods of execution they use in China?
context: I will not be daunted by your kind of violence.\I am prepared to handle more pain than you are capable of!\You're hopeless.\That much is just a mere diversion.\Have you ever had your arm muscles carefully stripped off\while you were still alive?\And then had any carving done on the bones of your arm?\Do you know the methods of execution they use in China? response:	What about Japanese torture?
context: I am prepared to handle more pain than you are capable of!\You're hopeless.\That much is just a mere diversion.\Have you ever had your arm muscles carefully stripped off\while you were still alive?\And then had any carving done on the bones of your arm?\Do you know the methods of execution they use in China?\What about Japanese torture? response:	Because of my line of work, I know tons of ways to give pain.
context: You're hopeless.\That much is just a mere diversion.\Have you ever had your arm muscles carefully stripped off\while you were still alive?\And then had any carving done on the bones of your arm?\Do you know the methods of execution they use in China?\What about Japanese torture?\Because of my line of work, I know tons of ways to give pain. response:	Including those that presuppose killing.
context: That much is just a mere diversion.\Have you ever had your arm muscles carefully stripped off\while you were still alive?\And then had any carving done on the bones of your arm?\Do you know the methods of execution they use in China?\What about Japanese torture?\Because of my line of work, I know tons of ways to give pain.\Including those that presuppose killing. response:	Czeslaw Meyer,
context: Have you ever had your arm muscles carefully stripped off\while you were still alive?\And then had any carving done on the bones of your arm?\Do you know the methods of execution they use in China?\What about Japanese torture?\Because of my line of work, I know tons of ways to give pain.\Including those that presuppose killing.\Czeslaw Meyer, response:	you do indeed seem to be prepared for a certain level of pain.
context: while you were still alive?\And then had any carving done on the bones of your arm?\Do you know the methods of execution they use in China?\What about Japanese torture?\Because of my line of work, I know tons of ways to give pain.\Including those that presuppose killing.\Czeslaw Meyer,\you do indeed seem to be prepared for a certain level of pain. response:	But what was that look of uneasiness that appeared in your eyes
context: And then had any carving done on the bones of your arm?\Do you know the methods of execution they use in China?\What about Japanese torture?\Because of my line of work, I know tons of ways to give pain.\Including those that presuppose killing.\Czeslaw Meyer,\you do indeed seem to be prepared for a certain level of pain.\But what was that look of uneasiness that appeared in your eyes response:	when you first faced me- the Rail Tracer?
context: Do you know the methods of execution they use in China?\What about Japanese torture?\Because of my line of work, I know tons of ways to give pain.\Including those that presuppose killing.\Czeslaw Meyer,\you do indeed seem to be prepared for a certain level of pain.\But what was that look of uneasiness that appeared in your eyes\when you first faced me- the Rail Tracer? response:	What you are afraid of is the unknown.
context: What about Japanese torture?\Because of my line of work, I know tons of ways to give pain.\Including those that presuppose killing.\Czeslaw Meyer,\you do indeed seem to be prepared for a certain level of pain.\But what was that look of uneasiness that appeared in your eyes\when you first faced me- the Rail Tracer?\What you are afraid of is the unknown. response:	You're thinking that there might be pain and suffering to a level
context: Because of my line of work, I know tons of ways to give pain.\Including those that presuppose killing.\Czeslaw Meyer,\you do indeed seem to be prepared for a certain level of pain.\But what was that look of uneasiness that appeared in your eyes\when you first faced me- the Rail Tracer?\What you are afraid of is the unknown.\You're thinking that there might be pain and suffering to a level response:	that you've never experienced before.
context: Including those that presuppose killing.\Czeslaw Meyer,\you do indeed seem to be prepared for a certain level of pain.\But what was that look of uneasiness that appeared in your eyes\when you first faced me- the Rail Tracer?\What you are afraid of is the unknown.\You're thinking that there might be pain and suffering to a level\that you've never experienced before. response:	Let me be the one to give you that pain unknown.
context: Czeslaw Meyer,\you do indeed seem to be prepared for a certain level of pain.\But what was that look of uneasiness that appeared in your eyes\when you first faced me- the Rail Tracer?\What you are afraid of is the unknown.\You're thinking that there might be pain and suffering to a level\that you've never experienced before.\Let me be the one to give you that pain unknown. response:	Until you forget how to come back to life.
context: you do indeed seem to be prepared for a certain level of pain.\But what was that look of uneasiness that appeared in your eyes\when you first faced me- the Rail Tracer?\What you are afraid of is the unknown.\You're thinking that there might be pain and suffering to a level\that you've never experienced before.\Let me be the one to give you that pain unknown.\Until you forget how to come back to life. response:	Having the black suits leave all on their own is lucky for us, huh?
context: But what was that look of uneasiness that appeared in your eyes\when you first faced me- the Rail Tracer?\What you are afraid of is the unknown.\You're thinking that there might be pain and suffering to a level\that you've never experienced before.\Let me be the one to give you that pain unknown.\Until you forget how to come back to life.\Having the black suits leave all on their own is lucky for us, huh? response:	You bet. Which means it's about time we were...
context: when you first faced me- the Rail Tracer?\What you are afraid of is the unknown.\You're thinking that there might be pain and suffering to a level\that you've never experienced before.\Let me be the one to give you that pain unknown.\Until you forget how to come back to life.\Having the black suits leave all on their own is lucky for us, huh?\You bet. Which means it's about time we were... response:	All right, you people, give us your money!
context: What you are afraid of is the unknown.\You're thinking that there might be pain and suffering to a level\that you've never experienced before.\Let me be the one to give you that pain unknown.\Until you forget how to come back to life.\Having the black suits leave all on their own is lucky for us, huh?\You bet. Which means it's about time we were...\All right, you people, give us your money! response:	And not just your money, your valuables, too!
context: You're thinking that there might be pain and suffering to a level\that you've never experienced before.\Let me be the one to give you that pain unknown.\Until you forget how to come back to life.\Having the black suits leave all on their own is lucky for us, huh?\You bet. Which means it's about time we were...\All right, you people, give us your money!\And not just your money, your valuables, too! response:	We've taken over this train now!
context: that you've never experienced before.\Let me be the one to give you that pain unknown.\Until you forget how to come back to life.\Having the black suits leave all on their own is lucky for us, huh?\You bet. Which means it's about time we were...\All right, you people, give us your money!\And not just your money, your valuables, too!\We've taken over this train now! response:	If you want to stay alive, please do as you're told!
context: Let me be the one to give you that pain unknown.\Until you forget how to come back to life.\Having the black suits leave all on their own is lucky for us, huh?\You bet. Which means it's about time we were...\All right, you people, give us your money!\And not just your money, your valuables, too!\We've taken over this train now!\If you want to stay alive, please do as you're told! response:	Uh, are you sure you're not overstating it?
context: Until you forget how to come back to life.\Having the black suits leave all on their own is lucky for us, huh?\You bet. Which means it's about time we were...\All right, you people, give us your money!\And not just your money, your valuables, too!\We've taken over this train now!\If you want to stay alive, please do as you're told!\Uh, are you sure you're not overstating it? response:	Jacuzzi!
context: Having the black suits leave all on their own is lucky for us, huh?\You bet. Which means it's about time we were...\All right, you people, give us your money!\And not just your money, your valuables, too!\We've taken over this train now!\If you want to stay alive, please do as you're told!\Uh, are you sure you're not overstating it?\Jacuzzi! response:	I'm sorry we startled you.
context: You bet. Which means it's about time we were...\All right, you people, give us your money!\And not just your money, your valuables, too!\We've taken over this train now!\If you want to stay alive, please do as you're told!\Uh, are you sure you're not overstating it?\Jacuzzi!\I'm sorry we startled you. response:	What's going on here?
context: All right, you people, give us your money!\And not just your money, your valuables, too!\We've taken over this train now!\If you want to stay alive, please do as you're told!\Uh, are you sure you're not overstating it?\Jacuzzi!\I'm sorry we startled you.\What's going on here? response:	I'd heard tales about this,
context: And not just your money, your valuables, too!\We've taken over this train now!\If you want to stay alive, please do as you're told!\Uh, are you sure you're not overstating it?\Jacuzzi!\I'm sorry we startled you.\What's going on here?\I'd heard tales about this, response:	but this is the first time I've seen it for myself.
context: We've taken over this train now!\If you want to stay alive, please do as you're told!\Uh, are you sure you're not overstating it?\Jacuzzi!\I'm sorry we startled you.\What's going on here?\I'd heard tales about this,\but this is the first time I've seen it for myself. response:	Well, well, Don Bartolo Runorata.
context: If you want to stay alive, please do as you're told!\Uh, are you sure you're not overstating it?\Jacuzzi!\I'm sorry we startled you.\What's going on here?\I'd heard tales about this,\but this is the first time I've seen it for myself.\Well, well, Don Bartolo Runorata. response:	It's been a long time, Luck Gandor.
context: Uh, are you sure you're not overstating it?\Jacuzzi!\I'm sorry we startled you.\What's going on here?\I'd heard tales about this,\but this is the first time I've seen it for myself.\Well, well, Don Bartolo Runorata.\It's been a long time, Luck Gandor. response:	First, let me apologize for our careless handling of this.
context: Jacuzzi!\I'm sorry we startled you.\What's going on here?\I'd heard tales about this,\but this is the first time I've seen it for myself.\Well, well, Don Bartolo Runorata.\It's been a long time, Luck Gandor.\First, let me apologize for our careless handling of this. response:	Much obliged.
context: I'm sorry we startled you.\What's going on here?\I'd heard tales about this,\but this is the first time I've seen it for myself.\Well, well, Don Bartolo Runorata.\It's been a long time, Luck Gandor.\First, let me apologize for our careless handling of this.\Much obliged. response:	Still, whatever would bring Don Runorata himself to our door?
context: What's going on here?\I'd heard tales about this,\but this is the first time I've seen it for myself.\Well, well, Don Bartolo Runorata.\It's been a long time, Luck Gandor.\First, let me apologize for our careless handling of this.\Much obliged.\Still, whatever would bring Don Runorata himself to our door? response:	The situation is just that serious, what with the secret you boys have.
context: I'd heard tales about this,\but this is the first time I've seen it for myself.\Well, well, Don Bartolo Runorata.\It's been a long time, Luck Gandor.\First, let me apologize for our careless handling of this.\Much obliged.\Still, whatever would bring Don Runorata himself to our door?\The situation is just that serious, what with the secret you boys have. response:	Let me come right to the point.
context: but this is the first time I've seen it for myself.\Well, well, Don Bartolo Runorata.\It's been a long time, Luck Gandor.\First, let me apologize for our careless handling of this.\Much obliged.\Still, whatever would bring Don Runorata himself to our door?\The situation is just that serious, what with the secret you boys have.\Let me come right to the point. response:	Come join yourselves under our umbrella.
context: Well, well, Don Bartolo Runorata.\It's been a long time, Luck Gandor.\First, let me apologize for our careless handling of this.\Much obliged.\Still, whatever would bring Don Runorata himself to our door?\The situation is just that serious, what with the secret you boys have.\Let me come right to the point.\Come join yourselves under our umbrella. response:	You'll be treated right.
context: It's been a long time, Luck Gandor.\First, let me apologize for our careless handling of this.\Much obliged.\Still, whatever would bring Don Runorata himself to our door?\The situation is just that serious, what with the secret you boys have.\Let me come right to the point.\Come join yourselves under our umbrella.\You'll be treated right. response:	I must decline. I wouldn't want to become a test subject.
context: First, let me apologize for our careless handling of this.\Much obliged.\Still, whatever would bring Don Runorata himself to our door?\The situation is just that serious, what with the secret you boys have.\Let me come right to the point.\Come join yourselves under our umbrella.\You'll be treated right.\I must decline. I wouldn't want to become a test subject. response:	Then there's one thing we can compromise on.
context: Much obliged.\Still, whatever would bring Don Runorata himself to our door?\The situation is just that serious, what with the secret you boys have.\Let me come right to the point.\Come join yourselves under our umbrella.\You'll be treated right.\I must decline. I wouldn't want to become a test subject.\Then there's one thing we can compromise on. response:	Hand over Dallas Genoard.
context: Still, whatever would bring Don Runorata himself to our door?\The situation is just that serious, what with the secret you boys have.\Let me come right to the point.\Come join yourselves under our umbrella.\You'll be treated right.\I must decline. I wouldn't want to become a test subject.\Then there's one thing we can compromise on.\Hand over Dallas Genoard. response:	Do that, and we will never get in your way again.
context: The situation is just that serious, what with the secret you boys have.\Let me come right to the point.\Come join yourselves under our umbrella.\You'll be treated right.\I must decline. I wouldn't want to become a test subject.\Then there's one thing we can compromise on.\Hand over Dallas Genoard.\Do that, and we will never get in your way again. response:	What do you say?
context: Let me come right to the point.\Come join yourselves under our umbrella.\You'll be treated right.\I must decline. I wouldn't want to become a test subject.\Then there's one thing we can compromise on.\Hand over Dallas Genoard.\Do that, and we will never get in your way again.\What do you say? response:	I'm afraid I can't accept your proposal-
context: Come join yourselves under our umbrella.\You'll be treated right.\I must decline. I wouldn't want to become a test subject.\Then there's one thing we can compromise on.\Hand over Dallas Genoard.\Do that, and we will never get in your way again.\What do you say?\I'm afraid I can't accept your proposal- response:	Where is Dallas right now?
context: You'll be treated right.\I must decline. I wouldn't want to become a test subject.\Then there's one thing we can compromise on.\Hand over Dallas Genoard.\Do that, and we will never get in your way again.\What do you say?\I'm afraid I can't accept your proposal-\Where is Dallas right now? response:	Looking up at the starry sky that goes on forever, we sing
context: I must decline. I wouldn't want to become a test subject.\Then there's one thing we can compromise on.\Hand over Dallas Genoard.\Do that, and we will never get in your way again.\What do you say?\I'm afraid I can't accept your proposal-\Where is Dallas right now?\Looking up at the starry sky that goes on forever, we sing response:	a melody of a dream we have of our limited eternity
context: Then there's one thing we can compromise on.\Hand over Dallas Genoard.\Do that, and we will never get in your way again.\What do you say?\I'm afraid I can't accept your proposal-\Where is Dallas right now?\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity response:	The water of adoration, overflowing in our hearts
context: Hand over Dallas Genoard.\Do that, and we will never get in your way again.\What do you say?\I'm afraid I can't accept your proposal-\Where is Dallas right now?\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts response:	will reach someone in the distant future
context: Do that, and we will never get in your way again.\What do you say?\I'm afraid I can't accept your proposal-\Where is Dallas right now?\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future response:	I believe so
context: What do you say?\I'm afraid I can't accept your proposal-\Where is Dallas right now?\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so response:	Running through time prolonged,
context: I'm afraid I can't accept your proposal-\Where is Dallas right now?\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged, response:	our voices calling out will someday become a great song
context: Where is Dallas right now?\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song response:	We can go on spinning our love
context: Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love response:	though it may still be such a tiny light now
context: a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now response:	What do we do, Miria?! It says that Firo
context: The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\What do we do, Miria?! It says that Firo response:	and the three Gandor brothers are felled by assassins' bullets!
context: will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\What do we do, Miria?! It says that Firo\and the three Gandor brothers are felled by assassins' bullets! response:	That's terrible! Firo, and Luck, and who else?
context: I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\What do we do, Miria?! It says that Firo\and the three Gandor brothers are felled by assassins' bullets!\That's terrible! Firo, and Luck, and who else? response:	Firo, and Luck, and Berga, and then...
context: Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\What do we do, Miria?! It says that Firo\and the three Gandor brothers are felled by assassins' bullets!\That's terrible! Firo, and Luck, and who else?\Firo, and Luck, and Berga, and then... response:	And then...
context: our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\What do we do, Miria?! It says that Firo\and the three Gandor brothers are felled by assassins' bullets!\That's terrible! Firo, and Luck, and who else?\Firo, and Luck, and Berga, and then...\And then... response:	Er, in any event, it's terrible!
context: We can go on spinning our love\though it may still be such a tiny light now\What do we do, Miria?! It says that Firo\and the three Gandor brothers are felled by assassins' bullets!\That's terrible! Firo, and Luck, and who else?\Firo, and Luck, and Berga, and then...\And then...\Er, in any event, it's terrible! response:	We can't remember who he is, but in any event, it's terrible!
