context: Then can you and I... response:	grow up together?
context: And when he dropped by,\I could see grass on him that only grows by the river.\Why would he be there?\That I don't know.\Well, good luck.\Yamaken, you're leaving?\I'm not going to look for Haru.\Bye. response:	True.
context: I could see grass on him that only grows by the river.\Why would he be there?\That I don't know.\Well, good luck.\Yamaken, you're leaving?\I'm not going to look for Haru.\Bye.\True. response:	I guess we're leaving, too.
context: Why would he be there?\That I don't know.\Well, good luck.\Yamaken, you're leaving?\I'm not going to look for Haru.\Bye.\True.\I guess we're leaving, too. response:	Hmph! What's this?
context: That I don't know.\Well, good luck.\Yamaken, you're leaving?\I'm not going to look for Haru.\Bye.\True.\I guess we're leaving, too.\Hmph! What's this? response:	Haru-kun's friends don't care about him at all!
context: Well, good luck.\Yamaken, you're leaving?\I'm not going to look for Haru.\Bye.\True.\I guess we're leaving, too.\Hmph! What's this?\Haru-kun's friends don't care about him at all! response:	Fine!
context: Yamaken, you're leaving?\I'm not going to look for Haru.\Bye.\True.\I guess we're leaving, too.\Hmph! What's this?\Haru-kun's friends don't care about him at all!\Fine! response:	We'll look for him by ourselves!
context: I'm not going to look for Haru.\Bye.\True.\I guess we're leaving, too.\Hmph! What's this?\Haru-kun's friends don't care about him at all!\Fine!\We'll look for him by ourselves! response:	Right, Mitty?
context: Bye.\True.\I guess we're leaving, too.\Hmph! What's this?\Haru-kun's friends don't care about him at all!\Fine!\We'll look for him by ourselves!\Right, Mitty? response:	I'm also leaving then.
context: True.\I guess we're leaving, too.\Hmph! What's this?\Haru-kun's friends don't care about him at all!\Fine!\We'll look for him by ourselves!\Right, Mitty?\I'm also leaving then. response:	Mi-Mitty?
context: I guess we're leaving, too.\Hmph! What's this?\Haru-kun's friends don't care about him at all!\Fine!\We'll look for him by ourselves!\Right, Mitty?\I'm also leaving then.\Mi-Mitty? response:	Wait. You're going to look for him, Natsume-chan?
context: Hmph! What's this?\Haru-kun's friends don't care about him at all!\Fine!\We'll look for him by ourselves!\Right, Mitty?\I'm also leaving then.\Mi-Mitty?\Wait. You're going to look for him, Natsume-chan? response:	O-Of course!
context: Haru-kun's friends don't care about him at all!\Fine!\We'll look for him by ourselves!\Right, Mitty?\I'm also leaving then.\Mi-Mitty?\Wait. You're going to look for him, Natsume-chan?\O-Of course! response:	Even if I'm the last one standing!
context: Fine!\We'll look for him by ourselves!\Right, Mitty?\I'm also leaving then.\Mi-Mitty?\Wait. You're going to look for him, Natsume-chan?\O-Of course!\Even if I'm the last one standing! response:	See ya, Yamaken.
context: We'll look for him by ourselves!\Right, Mitty?\I'm also leaving then.\Mi-Mitty?\Wait. You're going to look for him, Natsume-chan?\O-Of course!\Even if I'm the last one standing!\See ya, Yamaken. response:	You should learn to be compassionate sometimes!
context: Right, Mitty?\I'm also leaving then.\Mi-Mitty?\Wait. You're going to look for him, Natsume-chan?\O-Of course!\Even if I'm the last one standing!\See ya, Yamaken.\You should learn to be compassionate sometimes! response:	Bye.
context: I'm also leaving then.\Mi-Mitty?\Wait. You're going to look for him, Natsume-chan?\O-Of course!\Even if I'm the last one standing!\See ya, Yamaken.\You should learn to be compassionate sometimes!\Bye. response:	Then I'll see you at our next class, Yamaken-kun.
context: Mi-Mitty?\Wait. You're going to look for him, Natsume-chan?\O-Of course!\Even if I'm the last one standing!\See ya, Yamaken.\You should learn to be compassionate sometimes!\Bye.\Then I'll see you at our next class, Yamaken-kun. response:	Yeah.
context: Wait. You're going to look for him, Natsume-chan?\O-Of course!\Even if I'm the last one standing!\See ya, Yamaken.\You should learn to be compassionate sometimes!\Bye.\Then I'll see you at our next class, Yamaken-kun.\Yeah. response:	Hey...
context: O-Of course!\Even if I'm the last one standing!\See ya, Yamaken.\You should learn to be compassionate sometimes!\Bye.\Then I'll see you at our next class, Yamaken-kun.\Yeah.\Hey... response:	Well,
context: Even if I'm the last one standing!\See ya, Yamaken.\You should learn to be compassionate sometimes!\Bye.\Then I'll see you at our next class, Yamaken-kun.\Yeah.\Hey...\Well, response:	I'm going this way.
context: See ya, Yamaken.\You should learn to be compassionate sometimes!\Bye.\Then I'll see you at our next class, Yamaken-kun.\Yeah.\Hey...\Well,\I'm going this way. response:	Damn.
context: You should learn to be compassionate sometimes!\Bye.\Then I'll see you at our next class, Yamaken-kun.\Yeah.\Hey...\Well,\I'm going this way.\Damn. response:	How did you end up here?
context: Bye.\Then I'll see you at our next class, Yamaken-kun.\Yeah.\Hey...\Well,\I'm going this way.\Damn.\How did you end up here? response:	Don't ask me.
context: Then I'll see you at our next class, Yamaken-kun.\Yeah.\Hey...\Well,\I'm going this way.\Damn.\How did you end up here?\Don't ask me. response:	Stuff happened.
context: Yeah.\Hey...\Well,\I'm going this way.\Damn.\How did you end up here?\Don't ask me.\Stuff happened. response:	Oh, Yamaken-kun.
context: Hey...\Well,\I'm going this way.\Damn.\How did you end up here?\Don't ask me.\Stuff happened.\Oh, Yamaken-kun. response:	The main street is over there.
context: Well,\I'm going this way.\Damn.\How did you end up here?\Don't ask me.\Stuff happened.\Oh, Yamaken-kun.\The main street is over there. response:	If you're lost, you should say something.
context: I'm going this way.\Damn.\How did you end up here?\Don't ask me.\Stuff happened.\Oh, Yamaken-kun.\The main street is over there.\If you're lost, you should say something. response:	I'm not lost!
context: Damn.\How did you end up here?\Don't ask me.\Stuff happened.\Oh, Yamaken-kun.\The main street is over there.\If you're lost, you should say something.\I'm not lost! response:	Come on.
context: How did you end up here?\Don't ask me.\Stuff happened.\Oh, Yamaken-kun.\The main street is over there.\If you're lost, you should say something.\I'm not lost!\Come on. response:	The main street's not that far away.
context: Don't ask me.\Stuff happened.\Oh, Yamaken-kun.\The main street is over there.\If you're lost, you should say something.\I'm not lost!\Come on.\The main street's not that far away. response:	Weren't you listening?
context: Stuff happened.\Oh, Yamaken-kun.\The main street is over there.\If you're lost, you should say something.\I'm not lost!\Come on.\The main street's not that far away.\Weren't you listening? response:	Hey, I can take the rice for you.
context: Oh, Yamaken-kun.\The main street is over there.\If you're lost, you should say something.\I'm not lost!\Come on.\The main street's not that far away.\Weren't you listening?\Hey, I can take the rice for you. response:	Not necessary. This is all I'm carrying.
context: The main street is over there.\If you're lost, you should say something.\I'm not lost!\Come on.\The main street's not that far away.\Weren't you listening?\Hey, I can take the rice for you.\Not necessary. This is all I'm carrying. response:	Okay.
context: If you're lost, you should say something.\I'm not lost!\Come on.\The main street's not that far away.\Weren't you listening?\Hey, I can take the rice for you.\Not necessary. This is all I'm carrying.\Okay. response:	Hey! Haru-kun!
context: I'm not lost!\Come on.\The main street's not that far away.\Weren't you listening?\Hey, I can take the rice for you.\Not necessary. This is all I'm carrying.\Okay.\Hey! Haru-kun! response:	Where are you?!
context: Come on.\The main street's not that far away.\Weren't you listening?\Hey, I can take the rice for you.\Not necessary. This is all I'm carrying.\Okay.\Hey! Haru-kun!\Where are you?! response:	Come out!
context: The main street's not that far away.\Weren't you listening?\Hey, I can take the rice for you.\Not necessary. This is all I'm carrying.\Okay.\Hey! Haru-kun!\Where are you?!\Come out! response:	We can't find him...
context: Weren't you listening?\Hey, I can take the rice for you.\Not necessary. This is all I'm carrying.\Okay.\Hey! Haru-kun!\Where are you?!\Come out!\We can't find him... response:	Are those guys even looking?
context: Hey, I can take the rice for you.\Not necessary. This is all I'm carrying.\Okay.\Hey! Haru-kun!\Where are you?!\Come out!\We can't find him...\Are those guys even looking? response:	It's completely dark now.
context: Not necessary. This is all I'm carrying.\Okay.\Hey! Haru-kun!\Where are you?!\Come out!\We can't find him...\Are those guys even looking?\It's completely dark now. response:	Natsume-san, you should head back to the batting center.
context: Okay.\Hey! Haru-kun!\Where are you?!\Come out!\We can't find him...\Are those guys even looking?\It's completely dark now.\Natsume-san, you should head back to the batting center. response:	Yoshida might have gone back.
context: Hey! Haru-kun!\Where are you?!\Come out!\We can't find him...\Are those guys even looking?\It's completely dark now.\Natsume-san, you should head back to the batting center.\Yoshida might have gone back. response:	The owner might be back, too.
context: Where are you?!\Come out!\We can't find him...\Are those guys even looking?\It's completely dark now.\Natsume-san, you should head back to the batting center.\Yoshida might have gone back.\The owner might be back, too. response:	It's best if someone stays there.
context: Come out!\We can't find him...\Are those guys even looking?\It's completely dark now.\Natsume-san, you should head back to the batting center.\Yoshida might have gone back.\The owner might be back, too.\It's best if someone stays there. response:	No, no, no. Let's keep going.
context: We can't find him...\Are those guys even looking?\It's completely dark now.\Natsume-san, you should head back to the batting center.\Yoshida might have gone back.\The owner might be back, too.\It's best if someone stays there.\No, no, no. Let's keep going. response:	We left Haru-kun his phone and a letter,
context: Are those guys even looking?\It's completely dark now.\Natsume-san, you should head back to the batting center.\Yoshida might have gone back.\The owner might be back, too.\It's best if someone stays there.\No, no, no. Let's keep going.\We left Haru-kun his phone and a letter, response:	so he'll call us if he goes back.
context: It's completely dark now.\Natsume-san, you should head back to the batting center.\Yoshida might have gone back.\The owner might be back, too.\It's best if someone stays there.\No, no, no. Let's keep going.\We left Haru-kun his phone and a letter,\so he'll call us if he goes back. response:	Oh, really?
context: Natsume-san, you should head back to the batting center.\Yoshida might have gone back.\The owner might be back, too.\It's best if someone stays there.\No, no, no. Let's keep going.\We left Haru-kun his phone and a letter,\so he'll call us if he goes back.\Oh, really? response:	Are you sure?
context: Yoshida might have gone back.\The owner might be back, too.\It's best if someone stays there.\No, no, no. Let's keep going.\We left Haru-kun his phone and a letter,\so he'll call us if he goes back.\Oh, really?\Are you sure? response:	I'm sure.
context: The owner might be back, too.\It's best if someone stays there.\No, no, no. Let's keep going.\We left Haru-kun his phone and a letter,\so he'll call us if he goes back.\Oh, really?\Are you sure?\I'm sure. response:	I want to see him,
context: It's best if someone stays there.\No, no, no. Let's keep going.\We left Haru-kun his phone and a letter,\so he'll call us if he goes back.\Oh, really?\Are you sure?\I'm sure.\I want to see him, response:	but I'm too scared.
context: No, no, no. Let's keep going.\We left Haru-kun his phone and a letter,\so he'll call us if he goes back.\Oh, really?\Are you sure?\I'm sure.\I want to see him,\but I'm too scared. response:	In that case, I'm walking all the way upstream!
context: We left Haru-kun his phone and a letter,\so he'll call us if he goes back.\Oh, really?\Are you sure?\I'm sure.\I want to see him,\but I'm too scared.\In that case, I'm walking all the way upstream! response:	See you again!
context: so he'll call us if he goes back.\Oh, really?\Are you sure?\I'm sure.\I want to see him,\but I'm too scared.\In that case, I'm walking all the way upstream!\See you again! response:	Natsume-chan, we're with you all the way!
context: Oh, really?\Are you sure?\I'm sure.\I want to see him,\but I'm too scared.\In that case, I'm walking all the way upstream!\See you again!\Natsume-chan, we're with you all the way! response:	If you get tired, I'll carry you!
context: Are you sure?\I'm sure.\I want to see him,\but I'm too scared.\In that case, I'm walking all the way upstream!\See you again!\Natsume-chan, we're with you all the way!\If you get tired, I'll carry you! response:	Huh?
context: I'm sure.\I want to see him,\but I'm too scared.\In that case, I'm walking all the way upstream!\See you again!\Natsume-chan, we're with you all the way!\If you get tired, I'll carry you!\Huh? response:	Joji?
context: I want to see him,\but I'm too scared.\In that case, I'm walking all the way upstream!\See you again!\Natsume-chan, we're with you all the way!\If you get tired, I'll carry you!\Huh?\Joji? response:	What the hell?!
context: but I'm too scared.\In that case, I'm walking all the way upstream!\See you again!\Natsume-chan, we're with you all the way!\If you get tired, I'll carry you!\Huh?\Joji?\What the hell?! response:	Joji's wound opened up!
context: In that case, I'm walking all the way upstream!\See you again!\Natsume-chan, we're with you all the way!\If you get tired, I'll carry you!\Huh?\Joji?\What the hell?!\Joji's wound opened up! response:	Joji?!
context: See you again!\Natsume-chan, we're with you all the way!\If you get tired, I'll carry you!\Huh?\Joji?\What the hell?!\Joji's wound opened up!\Joji?! response:	Joji!
context: Natsume-chan, we're with you all the way!\If you get tired, I'll carry you!\Huh?\Joji?\What the hell?!\Joji's wound opened up!\Joji?!\Joji! response:	Haru.
context: If you get tired, I'll carry you!\Huh?\Joji?\What the hell?!\Joji's wound opened up!\Joji?!\Joji!\Haru. response:	Shizuku!
context: Huh?\Joji?\What the hell?!\Joji's wound opened up!\Joji?!\Joji!\Haru.\Shizuku! response:	What are you doing?
context: Joji?\What the hell?!\Joji's wound opened up!\Joji?!\Joji!\Haru.\Shizuku!\What are you doing? response:	I could ask you the same thing.
context: What the hell?!\Joji's wound opened up!\Joji?!\Joji!\Haru.\Shizuku!\What are you doing?\I could ask you the same thing. response:	We found Nagoya.
context: Joji's wound opened up!\Joji?!\Joji!\Haru.\Shizuku!\What are you doing?\I could ask you the same thing.\We found Nagoya. response:	He's back at the batting center.
context: Joji?!\Joji!\Haru.\Shizuku!\What are you doing?\I could ask you the same thing.\We found Nagoya.\He's back at the batting center. response:	Nagoya?
context: Joji!\Haru.\Shizuku!\What are you doing?\I could ask you the same thing.\We found Nagoya.\He's back at the batting center.\Nagoya? response:	Nagoya was missing?
context: Haru.\Shizuku!\What are you doing?\I could ask you the same thing.\We found Nagoya.\He's back at the batting center.\Nagoya?\Nagoya was missing? response:	When did that happen?
context: Shizuku!\What are you doing?\I could ask you the same thing.\We found Nagoya.\He's back at the batting center.\Nagoya?\Nagoya was missing?\When did that happen? response:	You weren't looking for Nagoya?
context: What are you doing?\I could ask you the same thing.\We found Nagoya.\He's back at the batting center.\Nagoya?\Nagoya was missing?\When did that happen?\You weren't looking for Nagoya? response:	No, I'm looking for a bug.
context: I could ask you the same thing.\We found Nagoya.\He's back at the batting center.\Nagoya?\Nagoya was missing?\When did that happen?\You weren't looking for Nagoya?\No, I'm looking for a bug. response:	A glowing bug.
context: We found Nagoya.\He's back at the batting center.\Nagoya?\Nagoya was missing?\When did that happen?\You weren't looking for Nagoya?\No, I'm looking for a bug.\A glowing bug. response:	A glowing bug?
context: He's back at the batting center.\Nagoya?\Nagoya was missing?\When did that happen?\You weren't looking for Nagoya?\No, I'm looking for a bug.\A glowing bug.\A glowing bug? response:	I spotted it this morning, but it ran away.
context: Nagoya?\Nagoya was missing?\When did that happen?\You weren't looking for Nagoya?\No, I'm looking for a bug.\A glowing bug.\A glowing bug?\I spotted it this morning, but it ran away. response:	I looked everywhere, but I still can't find it.
context: Nagoya was missing?\When did that happen?\You weren't looking for Nagoya?\No, I'm looking for a bug.\A glowing bug.\A glowing bug?\I spotted it this morning, but it ran away.\I looked everywhere, but I still can't find it. response:	A glowing bug in the middle of winter?
context: When did that happen?\You weren't looking for Nagoya?\No, I'm looking for a bug.\A glowing bug.\A glowing bug?\I spotted it this morning, but it ran away.\I looked everywhere, but I still can't find it.\A glowing bug in the middle of winter? response:	Are you sure you weren't seeing things?
context: You weren't looking for Nagoya?\No, I'm looking for a bug.\A glowing bug.\A glowing bug?\I spotted it this morning, but it ran away.\I looked everywhere, but I still can't find it.\A glowing bug in the middle of winter?\Are you sure you weren't seeing things? response:	It was real.
context: No, I'm looking for a bug.\A glowing bug.\A glowing bug?\I spotted it this morning, but it ran away.\I looked everywhere, but I still can't find it.\A glowing bug in the middle of winter?\Are you sure you weren't seeing things?\It was real. response:	It was glowing like a firefly.
context: A glowing bug.\A glowing bug?\I spotted it this morning, but it ran away.\I looked everywhere, but I still can't find it.\A glowing bug in the middle of winter?\Are you sure you weren't seeing things?\It was real.\It was glowing like a firefly. response:	There aren't any fireflies in the winter.
context: A glowing bug?\I spotted it this morning, but it ran away.\I looked everywhere, but I still can't find it.\A glowing bug in the middle of winter?\Are you sure you weren't seeing things?\It was real.\It was glowing like a firefly.\There aren't any fireflies in the winter. response:	It was really pretty.
context: I spotted it this morning, but it ran away.\I looked everywhere, but I still can't find it.\A glowing bug in the middle of winter?\Are you sure you weren't seeing things?\It was real.\It was glowing like a firefly.\There aren't any fireflies in the winter.\It was really pretty. response:	So I wanted to watch it with you.
context: I looked everywhere, but I still can't find it.\A glowing bug in the middle of winter?\Are you sure you weren't seeing things?\It was real.\It was glowing like a firefly.\There aren't any fireflies in the winter.\It was really pretty.\So I wanted to watch it with you. response:	Since it'd probably be prettier if you were with me.
context: A glowing bug in the middle of winter?\Are you sure you weren't seeing things?\It was real.\It was glowing like a firefly.\There aren't any fireflies in the winter.\It was really pretty.\So I wanted to watch it with you.\Since it'd probably be prettier if you were with me. response:	Everybody's worried about you.
context: Are you sure you weren't seeing things?\It was real.\It was glowing like a firefly.\There aren't any fireflies in the winter.\It was really pretty.\So I wanted to watch it with you.\Since it'd probably be prettier if you were with me.\Everybody's worried about you. response:	Let's go back.
context: It was real.\It was glowing like a firefly.\There aren't any fireflies in the winter.\It was really pretty.\So I wanted to watch it with you.\Since it'd probably be prettier if you were with me.\Everybody's worried about you.\Let's go back. response:	Uh-huh.
context: It was glowing like a firefly.\There aren't any fireflies in the winter.\It was really pretty.\So I wanted to watch it with you.\Since it'd probably be prettier if you were with me.\Everybody's worried about you.\Let's go back.\Uh-huh. response:	That looks heavy.
context: There aren't any fireflies in the winter.\It was really pretty.\So I wanted to watch it with you.\Since it'd probably be prettier if you were with me.\Everybody's worried about you.\Let's go back.\Uh-huh.\That looks heavy. response:	Oh, the bag of rice.
context: It was really pretty.\So I wanted to watch it with you.\Since it'd probably be prettier if you were with me.\Everybody's worried about you.\Let's go back.\Uh-huh.\That looks heavy.\Oh, the bag of rice. response:	You look surprisingly good in that.
context: So I wanted to watch it with you.\Since it'd probably be prettier if you were with me.\Everybody's worried about you.\Let's go back.\Uh-huh.\That looks heavy.\Oh, the bag of rice.\You look surprisingly good in that. response:	Why does it seem like he's always having fun,
context: Since it'd probably be prettier if you were with me.\Everybody's worried about you.\Let's go back.\Uh-huh.\That looks heavy.\Oh, the bag of rice.\You look surprisingly good in that.\Why does it seem like he's always having fun, response:	yet, at times, he can feel so distant?
context: Everybody's worried about you.\Let's go back.\Uh-huh.\That looks heavy.\Oh, the bag of rice.\You look surprisingly good in that.\Why does it seem like he's always having fun,\yet, at times, he can feel so distant? response:	I can't catch up to him yet.
context: Let's go back.\Uh-huh.\That looks heavy.\Oh, the bag of rice.\You look surprisingly good in that.\Why does it seem like he's always having fun,\yet, at times, he can feel so distant?\I can't catch up to him yet. response:	I don't have the ability to handle his innocence or sincerity.
context: Uh-huh.\That looks heavy.\Oh, the bag of rice.\You look surprisingly good in that.\Why does it seem like he's always having fun,\yet, at times, he can feel so distant?\I can't catch up to him yet.\I don't have the ability to handle his innocence or sincerity. response:	Shizuku, look!
context: That looks heavy.\Oh, the bag of rice.\You look surprisingly good in that.\Why does it seem like he's always having fun,\yet, at times, he can feel so distant?\I can't catch up to him yet.\I don't have the ability to handle his innocence or sincerity.\Shizuku, look! response:	Huh?
context: Oh, the bag of rice.\You look surprisingly good in that.\Why does it seem like he's always having fun,\yet, at times, he can feel so distant?\I can't catch up to him yet.\I don't have the ability to handle his innocence or sincerity.\Shizuku, look!\Huh? response:	I did some research afterwards
context: You look surprisingly good in that.\Why does it seem like he's always having fun,\yet, at times, he can feel so distant?\I can't catch up to him yet.\I don't have the ability to handle his innocence or sincerity.\Shizuku, look!\Huh?\I did some research afterwards response:	and discovered that there was a southern
context: Why does it seem like he's always having fun,\yet, at times, he can feel so distant?\I can't catch up to him yet.\I don't have the ability to handle his innocence or sincerity.\Shizuku, look!\Huh?\I did some research afterwards\and discovered that there was a southern response:	species of firefly which was active during winter.
context: yet, at times, he can feel so distant?\I can't catch up to him yet.\I don't have the ability to handle his innocence or sincerity.\Shizuku, look!\Huh?\I did some research afterwards\and discovered that there was a southern\species of firefly which was active during winter. response:	I have no idea if what we saw was actually an insect,
context: I can't catch up to him yet.\I don't have the ability to handle his innocence or sincerity.\Shizuku, look!\Huh?\I did some research afterwards\and discovered that there was a southern\species of firefly which was active during winter.\I have no idea if what we saw was actually an insect, response:	but the light soared in a beautiful arc
context: I don't have the ability to handle his innocence or sincerity.\Shizuku, look!\Huh?\I did some research afterwards\and discovered that there was a southern\species of firefly which was active during winter.\I have no idea if what we saw was actually an insect,\but the light soared in a beautiful arc response:	before disappearing in the night sky.
context: Shizuku, look!\Huh?\I did some research afterwards\and discovered that there was a southern\species of firefly which was active during winter.\I have no idea if what we saw was actually an insect,\but the light soared in a beautiful arc\before disappearing in the night sky. response:	There's so much I still need to talk about.
context: Huh?\I did some research afterwards\and discovered that there was a southern\species of firefly which was active during winter.\I have no idea if what we saw was actually an insect,\but the light soared in a beautiful arc\before disappearing in the night sky.\There's so much I still need to talk about. response:	Her.
context: I did some research afterwards\and discovered that there was a southern\species of firefly which was active during winter.\I have no idea if what we saw was actually an insect,\but the light soared in a beautiful arc\before disappearing in the night sky.\There's so much I still need to talk about.\Her. response:	Him.
context: and discovered that there was a southern\species of firefly which was active during winter.\I have no idea if what we saw was actually an insect,\but the light soared in a beautiful arc\before disappearing in the night sky.\There's so much I still need to talk about.\Her.\Him. response:	Him.
context: species of firefly which was active during winter.\I have no idea if what we saw was actually an insect,\but the light soared in a beautiful arc\before disappearing in the night sky.\There's so much I still need to talk about.\Her.\Him.\Him. response:	Her.
context: I have no idea if what we saw was actually an insect,\but the light soared in a beautiful arc\before disappearing in the night sky.\There's so much I still need to talk about.\Her.\Him.\Him.\Her. response:	Special Delivery
context: but the light soared in a beautiful arc\before disappearing in the night sky.\There's so much I still need to talk about.\Her.\Him.\Him.\Her.\Special Delivery response:	Him.
context: before disappearing in the night sky.\There's so much I still need to talk about.\Her.\Him.\Him.\Her.\Special Delivery\Him. response:	Will the day ever come
context: There's so much I still need to talk about.\Her.\Him.\Him.\Her.\Special Delivery\Him.\Will the day ever come response:	when I can look at the boy beside me
context: Her.\Him.\Him.\Her.\Special Delivery\Him.\Will the day ever come\when I can look at the boy beside me response:	with honest and sincere affection?
context: Him.\Him.\Her.\Special Delivery\Him.\Will the day ever come\when I can look at the boy beside me\with honest and sincere affection? response:	For now, I can say that the light was very pretty,
context: Him.\Her.\Special Delivery\Him.\Will the day ever come\when I can look at the boy beside me\with honest and sincere affection?\For now, I can say that the light was very pretty, response:	and it was probably much, much prettier
context: Her.\Special Delivery\Him.\Will the day ever come\when I can look at the boy beside me\with honest and sincere affection?\For now, I can say that the light was very pretty,\and it was probably much, much prettier response:	because I wasn't alone.
context: Special Delivery\Him.\Will the day ever come\when I can look at the boy beside me\with honest and sincere affection?\For now, I can say that the light was very pretty,\and it was probably much, much prettier\because I wasn't alone. response:	I'm home!
context: Him.\Will the day ever come\when I can look at the boy beside me\with honest and sincere affection?\For now, I can say that the light was very pretty,\and it was probably much, much prettier\because I wasn't alone.\I'm home! response:	It started to snow.
context: Will the day ever come\when I can look at the boy beside me\with honest and sincere affection?\For now, I can say that the light was very pretty,\and it was probably much, much prettier\because I wasn't alone.\I'm home!\It started to snow. response:	Hello there. Good evening.
context: when I can look at the boy beside me\with honest and sincere affection?\For now, I can say that the light was very pretty,\and it was probably much, much prettier\because I wasn't alone.\I'm home!\It started to snow.\Hello there. Good evening. response:	Uh...
context: with honest and sincere affection?\For now, I can say that the light was very pretty,\and it was probably much, much prettier\because I wasn't alone.\I'm home!\It started to snow.\Hello there. Good evening.\Uh... response:	Who are you?
