context: The bath feels great! response:	It feels great to travel by ship once in a while.
context: Iroise?\Wasn't that the Special Magical District in the Atlantic Ocean that was abandoned six years ago?\From what I heard, that was caused by flooding due to accidents and storms...\That was the official explanation.\However, the actual reason was different.\The destruction of that city was a deliberate act.\By Tartaros Lapus.\Carly, the target is moving along the estimated route by car. response:	He'll be arriving shortly.
context: Wasn't that the Special Magical District in the Atlantic Ocean that was abandoned six years ago?\From what I heard, that was caused by flooding due to accidents and storms...\That was the official explanation.\However, the actual reason was different.\The destruction of that city was a deliberate act.\By Tartaros Lapus.\Carly, the target is moving along the estimated route by car.\He'll be arriving shortly. response:	This is Carly. I have visual confirmation.
context: From what I heard, that was caused by flooding due to accidents and storms...\That was the official explanation.\However, the actual reason was different.\The destruction of that city was a deliberate act.\By Tartaros Lapus.\Carly, the target is moving along the estimated route by car.\He'll be arriving shortly.\This is Carly. I have visual confirmation. response:	Preparing to snipe the target.
context: That was the official explanation.\However, the actual reason was different.\The destruction of that city was a deliberate act.\By Tartaros Lapus.\Carly, the target is moving along the estimated route by car.\He'll be arriving shortly.\This is Carly. I have visual confirmation.\Preparing to snipe the target. response:	I'll leave the rest to you. Use your judgment and get it done.
context: However, the actual reason was different.\The destruction of that city was a deliberate act.\By Tartaros Lapus.\Carly, the target is moving along the estimated route by car.\He'll be arriving shortly.\This is Carly. I have visual confirmation.\Preparing to snipe the target.\I'll leave the rest to you. Use your judgment and get it done. response:	Copy that. Thank you, December.
context: The destruction of that city was a deliberate act.\By Tartaros Lapus.\Carly, the target is moving along the estimated route by car.\He'll be arriving shortly.\This is Carly. I have visual confirmation.\Preparing to snipe the target.\I'll leave the rest to you. Use your judgment and get it done.\Copy that. Thank you, December. response:	Don't mention it.
context: By Tartaros Lapus.\Carly, the target is moving along the estimated route by car.\He'll be arriving shortly.\This is Carly. I have visual confirmation.\Preparing to snipe the target.\I'll leave the rest to you. Use your judgment and get it done.\Copy that. Thank you, December.\Don't mention it. response:	Confirmed hit. Moving on to the next target.
context: Carly, the target is moving along the estimated route by car.\He'll be arriving shortly.\This is Carly. I have visual confirmation.\Preparing to snipe the target.\I'll leave the rest to you. Use your judgment and get it done.\Copy that. Thank you, December.\Don't mention it.\Confirmed hit. Moving on to the next target. response:	If you take too long, the security will tighten. Get it done quickly, okay?
context: He'll be arriving shortly.\This is Carly. I have visual confirmation.\Preparing to snipe the target.\I'll leave the rest to you. Use your judgment and get it done.\Copy that. Thank you, December.\Don't mention it.\Confirmed hit. Moving on to the next target.\If you take too long, the security will tighten. Get it done quickly, okay? response:	Tartaros Lapus?
context: This is Carly. I have visual confirmation.\Preparing to snipe the target.\I'll leave the rest to you. Use your judgment and get it done.\Copy that. Thank you, December.\Don't mention it.\Confirmed hit. Moving on to the next target.\If you take too long, the security will tighten. Get it done quickly, okay?\Tartaros Lapus? response:	Yeah. They are a destructive group who carry out magical terrorism in exchange for money.
context: Preparing to snipe the target.\I'll leave the rest to you. Use your judgment and get it done.\Copy that. Thank you, December.\Don't mention it.\Confirmed hit. Moving on to the next target.\If you take too long, the security will tighten. Get it done quickly, okay?\Tartaros Lapus?\Yeah. They are a destructive group who carry out magical terrorism in exchange for money. response:	One of its ringleaders was praised as a genius in the use of Feng Shui.
context: I'll leave the rest to you. Use your judgment and get it done.\Copy that. Thank you, December.\Don't mention it.\Confirmed hit. Moving on to the next target.\If you take too long, the security will tighten. Get it done quickly, okay?\Tartaros Lapus?\Yeah. They are a destructive group who carry out magical terrorism in exchange for money.\One of its ringleaders was praised as a genius in the use of Feng Shui. response:	Do you know the identity of that Feng Shui practitioner, Minamiya-sensei?
context: Copy that. Thank you, December.\Don't mention it.\Confirmed hit. Moving on to the next target.\If you take too long, the security will tighten. Get it done quickly, okay?\Tartaros Lapus?\Yeah. They are a destructive group who carry out magical terrorism in exchange for money.\One of its ringleaders was praised as a genius in the use of Feng Shui.\Do you know the identity of that Feng Shui practitioner, Minamiya-sensei? response:	Senga Takehito.
context: Don't mention it.\Confirmed hit. Moving on to the next target.\If you take too long, the security will tighten. Get it done quickly, okay?\Tartaros Lapus?\Yeah. They are a destructive group who carry out magical terrorism in exchange for money.\One of its ringleaders was praised as a genius in the use of Feng Shui.\Do you know the identity of that Feng Shui practitioner, Minamiya-sensei?\Senga Takehito. response:	He should be around forty years old now.
context: Confirmed hit. Moving on to the next target.\If you take too long, the security will tighten. Get it done quickly, okay?\Tartaros Lapus?\Yeah. They are a destructive group who carry out magical terrorism in exchange for money.\One of its ringleaders was praised as a genius in the use of Feng Shui.\Do you know the identity of that Feng Shui practitioner, Minamiya-sensei?\Senga Takehito.\He should be around forty years old now. response:	He is one of the leading Houkimon users in the world.
context: If you take too long, the security will tighten. Get it done quickly, okay?\Tartaros Lapus?\Yeah. They are a destructive group who carry out magical terrorism in exchange for money.\One of its ringleaders was praised as a genius in the use of Feng Shui.\Do you know the identity of that Feng Shui practitioner, Minamiya-sensei?\Senga Takehito.\He should be around forty years old now.\He is one of the leading Houkimon users in the world. response:	So if we find and capture him, we can break this Eight Trigams formation thing?
context: Tartaros Lapus?\Yeah. They are a destructive group who carry out magical terrorism in exchange for money.\One of its ringleaders was praised as a genius in the use of Feng Shui.\Do you know the identity of that Feng Shui practitioner, Minamiya-sensei?\Senga Takehito.\He should be around forty years old now.\He is one of the leading Houkimon users in the world.\So if we find and capture him, we can break this Eight Trigams formation thing? response:	Theoretically, that would be the case, but
context: Yeah. They are a destructive group who carry out magical terrorism in exchange for money.\One of its ringleaders was praised as a genius in the use of Feng Shui.\Do you know the identity of that Feng Shui practitioner, Minamiya-sensei?\Senga Takehito.\He should be around forty years old now.\He is one of the leading Houkimon users in the world.\So if we find and capture him, we can break this Eight Trigams formation thing?\Theoretically, that would be the case, but response:	Master. Emergency communication from the Island Guard.
context: One of its ringleaders was praised as a genius in the use of Feng Shui.\Do you know the identity of that Feng Shui practitioner, Minamiya-sensei?\Senga Takehito.\He should be around forty years old now.\He is one of the leading Houkimon users in the world.\So if we find and capture him, we can break this Eight Trigams formation thing?\Theoretically, that would be the case, but\Master. Emergency communication from the Island Guard. response:	A Code Orange alert has been issued to all attack mages affiliated with the Artifical Island Management Corporation.
context: Do you know the identity of that Feng Shui practitioner, Minamiya-sensei?\Senga Takehito.\He should be around forty years old now.\He is one of the leading Houkimon users in the world.\So if we find and capture him, we can break this Eight Trigams formation thing?\Theoretically, that would be the case, but\Master. Emergency communication from the Island Guard.\A Code Orange alert has been issued to all attack mages affiliated with the Artifical Island Management Corporation. response:	Orange!?
context: Senga Takehito.\He should be around forty years old now.\He is one of the leading Houkimon users in the world.\So if we find and capture him, we can break this Eight Trigams formation thing?\Theoretically, that would be the case, but\Master. Emergency communication from the Island Guard.\A Code Orange alert has been issued to all attack mages affiliated with the Artifical Island Management Corporation.\Orange!? response:	It appears that one of the senior directors of the Corporation was killed by a sniper.
context: He should be around forty years old now.\He is one of the leading Houkimon users in the world.\So if we find and capture him, we can break this Eight Trigams formation thing?\Theoretically, that would be the case, but\Master. Emergency communication from the Island Guard.\A Code Orange alert has been issued to all attack mages affiliated with the Artifical Island Management Corporation.\Orange!?\It appears that one of the senior directors of the Corporation was killed by a sniper. response:	So they're looking to throw the chain of command into chaos?
context: He is one of the leading Houkimon users in the world.\So if we find and capture him, we can break this Eight Trigams formation thing?\Theoretically, that would be the case, but\Master. Emergency communication from the Island Guard.\A Code Orange alert has been issued to all attack mages affiliated with the Artifical Island Management Corporation.\Orange!?\It appears that one of the senior directors of the Corporation was killed by a sniper.\So they're looking to throw the chain of command into chaos? response:	Looks like it's definite.
context: So if we find and capture him, we can break this Eight Trigams formation thing?\Theoretically, that would be the case, but\Master. Emergency communication from the Island Guard.\A Code Orange alert has been issued to all attack mages affiliated with the Artifical Island Management Corporation.\Orange!?\It appears that one of the senior directors of the Corporation was killed by a sniper.\So they're looking to throw the chain of command into chaos?\Looks like it's definite. response:	This is a terrorist attack.
context: Theoretically, that would be the case, but\Master. Emergency communication from the Island Guard.\A Code Orange alert has been issued to all attack mages affiliated with the Artifical Island Management Corporation.\Orange!?\It appears that one of the senior directors of the Corporation was killed by a sniper.\So they're looking to throw the chain of command into chaos?\Looks like it's definite.\This is a terrorist attack. response:	They are planning to throw Itogami Island into chaos and destroy it.
context: Master. Emergency communication from the Island Guard.\A Code Orange alert has been issued to all attack mages affiliated with the Artifical Island Management Corporation.\Orange!?\It appears that one of the senior directors of the Corporation was killed by a sniper.\So they're looking to throw the chain of command into chaos?\Looks like it's definite.\This is a terrorist attack.\They are planning to throw Itogami Island into chaos and destroy it. response:	That's right. Hurry up and find out the identity of the sniper and the location from where the bullet was fired.
context: A Code Orange alert has been issued to all attack mages affiliated with the Artifical Island Management Corporation.\Orange!?\It appears that one of the senior directors of the Corporation was killed by a sniper.\So they're looking to throw the chain of command into chaos?\Looks like it's definite.\This is a terrorist attack.\They are planning to throw Itogami Island into chaos and destroy it.\That's right. Hurry up and find out the identity of the sniper and the location from where the bullet was fired. response:	Also, assign security teams to guard all the senior directors.
context: Orange!?\It appears that one of the senior directors of the Corporation was killed by a sniper.\So they're looking to throw the chain of command into chaos?\Looks like it's definite.\This is a terrorist attack.\They are planning to throw Itogami Island into chaos and destroy it.\That's right. Hurry up and find out the identity of the sniper and the location from where the bullet was fired.\Also, assign security teams to guard all the senior directors. response:	Chief, there have been two new reports of accidents involving airplanes.
context: It appears that one of the senior directors of the Corporation was killed by a sniper.\So they're looking to throw the chain of command into chaos?\Looks like it's definite.\This is a terrorist attack.\They are planning to throw Itogami Island into chaos and destroy it.\That's right. Hurry up and find out the identity of the sniper and the location from where the bullet was fired.\Also, assign security teams to guard all the senior directors.\Chief, there have been two new reports of accidents involving airplanes. response:	We have additional reports of accidents at sea as well.
context: So they're looking to throw the chain of command into chaos?\Looks like it's definite.\This is a terrorist attack.\They are planning to throw Itogami Island into chaos and destroy it.\That's right. Hurry up and find out the identity of the sniper and the location from where the bullet was fired.\Also, assign security teams to guard all the senior directors.\Chief, there have been two new reports of accidents involving airplanes.\We have additional reports of accidents at sea as well. response:	At this point, there is no more doubt.
context: Looks like it's definite.\This is a terrorist attack.\They are planning to throw Itogami Island into chaos and destroy it.\That's right. Hurry up and find out the identity of the sniper and the location from where the bullet was fired.\Also, assign security teams to guard all the senior directors.\Chief, there have been two new reports of accidents involving airplanes.\We have additional reports of accidents at sea as well.\At this point, there is no more doubt. response:	Large-scale magical terrorism, is it?
context: This is a terrorist attack.\They are planning to throw Itogami Island into chaos and destroy it.\That's right. Hurry up and find out the identity of the sniper and the location from where the bullet was fired.\Also, assign security teams to guard all the senior directors.\Chief, there have been two new reports of accidents involving airplanes.\We have additional reports of accidents at sea as well.\At this point, there is no more doubt.\Large-scale magical terrorism, is it? response:	What's all the fuss about, Chief?
context: They are planning to throw Itogami Island into chaos and destroy it.\That's right. Hurry up and find out the identity of the sniper and the location from where the bullet was fired.\Also, assign security teams to guard all the senior directors.\Chief, there have been two new reports of accidents involving airplanes.\We have additional reports of accidents at sea as well.\At this point, there is no more doubt.\Large-scale magical terrorism, is it?\What's all the fuss about, Chief? response:	President Yaze. My apologies.
context: That's right. Hurry up and find out the identity of the sniper and the location from where the bullet was fired.\Also, assign security teams to guard all the senior directors.\Chief, there have been two new reports of accidents involving airplanes.\We have additional reports of accidents at sea as well.\At this point, there is no more doubt.\Large-scale magical terrorism, is it?\What's all the fuss about, Chief?\President Yaze. My apologies. response:	If the leaders of the organization become unsteady, the command at the lower levels will be disrupted.
context: Also, assign security teams to guard all the senior directors.\Chief, there have been two new reports of accidents involving airplanes.\We have additional reports of accidents at sea as well.\At this point, there is no more doubt.\Large-scale magical terrorism, is it?\What's all the fuss about, Chief?\President Yaze. My apologies.\If the leaders of the organization become unsteady, the command at the lower levels will be disrupted. response:	Carry out your tasks with composure.
context: Chief, there have been two new reports of accidents involving airplanes.\We have additional reports of accidents at sea as well.\At this point, there is no more doubt.\Large-scale magical terrorism, is it?\What's all the fuss about, Chief?\President Yaze. My apologies.\If the leaders of the organization become unsteady, the command at the lower levels will be disrupted.\Carry out your tasks with composure. response:	Where are you headed, President?
context: We have additional reports of accidents at sea as well.\At this point, there is no more doubt.\Large-scale magical terrorism, is it?\What's all the fuss about, Chief?\President Yaze. My apologies.\If the leaders of the organization become unsteady, the command at the lower levels will be disrupted.\Carry out your tasks with composure.\Where are you headed, President? response:	After a meeting with Councillor Hashimura, he is slated to attend a commemoration ceremony for the Magical Association.
context: At this point, there is no more doubt.\Large-scale magical terrorism, is it?\What's all the fuss about, Chief?\President Yaze. My apologies.\If the leaders of the organization become unsteady, the command at the lower levels will be disrupted.\Carry out your tasks with composure.\Where are you headed, President?\After a meeting with Councillor Hashimura, he is slated to attend a commemoration ceremony for the Magical Association. response:	But the situation is!
context: Large-scale magical terrorism, is it?\What's all the fuss about, Chief?\President Yaze. My apologies.\If the leaders of the organization become unsteady, the command at the lower levels will be disrupted.\Carry out your tasks with composure.\Where are you headed, President?\After a meeting with Councillor Hashimura, he is slated to attend a commemoration ceremony for the Magical Association.\But the situation is! response:	Do you expect me to cower in terror behind bamboo blinds, hiding from a mere assassin?
context: What's all the fuss about, Chief?\President Yaze. My apologies.\If the leaders of the organization become unsteady, the command at the lower levels will be disrupted.\Carry out your tasks with composure.\Where are you headed, President?\After a meeting with Councillor Hashimura, he is slated to attend a commemoration ceremony for the Magical Association.\But the situation is!\Do you expect me to cower in terror behind bamboo blinds, hiding from a mere assassin? response:	I will arrange for additional security.
context: President Yaze. My apologies.\If the leaders of the organization become unsteady, the command at the lower levels will be disrupted.\Carry out your tasks with composure.\Where are you headed, President?\After a meeting with Councillor Hashimura, he is slated to attend a commemoration ceremony for the Magical Association.\But the situation is!\Do you expect me to cower in terror behind bamboo blinds, hiding from a mere assassin?\I will arrange for additional security. response:	Please exercise caution at all times.
context: If the leaders of the organization become unsteady, the command at the lower levels will be disrupted.\Carry out your tasks with composure.\Where are you headed, President?\After a meeting with Councillor Hashimura, he is slated to attend a commemoration ceremony for the Magical Association.\But the situation is!\Do you expect me to cower in terror behind bamboo blinds, hiding from a mere assassin?\I will arrange for additional security.\Please exercise caution at all times. response:	Chief, Attack Mage Minamiya has sent an important report.
context: Carry out your tasks with composure.\Where are you headed, President?\After a meeting with Councillor Hashimura, he is slated to attend a commemoration ceremony for the Magical Association.\But the situation is!\Do you expect me to cower in terror behind bamboo blinds, hiding from a mere assassin?\I will arrange for additional security.\Please exercise caution at all times.\Chief, Attack Mage Minamiya has sent an important report. response:	The Witch of the Void, huh? What is it?
context: Where are you headed, President?\After a meeting with Councillor Hashimura, he is slated to attend a commemoration ceremony for the Magical Association.\But the situation is!\Do you expect me to cower in terror behind bamboo blinds, hiding from a mere assassin?\I will arrange for additional security.\Please exercise caution at all times.\Chief, Attack Mage Minamiya has sent an important report.\The Witch of the Void, huh? What is it? response:	Tartaros Lapus!? Why didn't the attack mage division realize it at once?
context: After a meeting with Councillor Hashimura, he is slated to attend a commemoration ceremony for the Magical Association.\But the situation is!\Do you expect me to cower in terror behind bamboo blinds, hiding from a mere assassin?\I will arrange for additional security.\Please exercise caution at all times.\Chief, Attack Mage Minamiya has sent an important report.\The Witch of the Void, huh? What is it?\Tartaros Lapus!? Why didn't the attack mage division realize it at once? response:	The related information is designated as top secret.
context: But the situation is!\Do you expect me to cower in terror behind bamboo blinds, hiding from a mere assassin?\I will arrange for additional security.\Please exercise caution at all times.\Chief, Attack Mage Minamiya has sent an important report.\The Witch of the Void, huh? What is it?\Tartaros Lapus!? Why didn't the attack mage division realize it at once?\The related information is designated as top secret. response:	Ordinary investigators do not have the clearance to access it.
context: Do you expect me to cower in terror behind bamboo blinds, hiding from a mere assassin?\I will arrange for additional security.\Please exercise caution at all times.\Chief, Attack Mage Minamiya has sent an important report.\The Witch of the Void, huh? What is it?\Tartaros Lapus!? Why didn't the attack mage division realize it at once?\The related information is designated as top secret.\Ordinary investigators do not have the clearance to access it. response:	Make the preparations to declassify that information at once.
context: I will arrange for additional security.\Please exercise caution at all times.\Chief, Attack Mage Minamiya has sent an important report.\The Witch of the Void, huh? What is it?\Tartaros Lapus!? Why didn't the attack mage division realize it at once?\The related information is designated as top secret.\Ordinary investigators do not have the clearance to access it.\Make the preparations to declassify that information at once. response:	After that, contact the Lion King Organization.
context: Please exercise caution at all times.\Chief, Attack Mage Minamiya has sent an important report.\The Witch of the Void, huh? What is it?\Tartaros Lapus!? Why didn't the attack mage division realize it at once?\The related information is designated as top secret.\Ordinary investigators do not have the clearance to access it.\Make the preparations to declassify that information at once.\After that, contact the Lion King Organization. response:	They are supposed to have an agent on this island.
context: Chief, Attack Mage Minamiya has sent an important report.\The Witch of the Void, huh? What is it?\Tartaros Lapus!? Why didn't the attack mage division realize it at once?\The related information is designated as top secret.\Ordinary investigators do not have the clearance to access it.\Make the preparations to declassify that information at once.\After that, contact the Lion King Organization.\They are supposed to have an agent on this island. response:	Do whatever it takes to obtain their cooperation.
context: The Witch of the Void, huh? What is it?\Tartaros Lapus!? Why didn't the attack mage division realize it at once?\The related information is designated as top secret.\Ordinary investigators do not have the clearance to access it.\Make the preparations to declassify that information at once.\After that, contact the Lion King Organization.\They are supposed to have an agent on this island.\Do whatever it takes to obtain their cooperation. response:	Understood.
context: Tartaros Lapus!? Why didn't the attack mage division realize it at once?\The related information is designated as top secret.\Ordinary investigators do not have the clearance to access it.\Make the preparations to declassify that information at once.\After that, contact the Lion King Organization.\They are supposed to have an agent on this island.\Do whatever it takes to obtain their cooperation.\Understood. response:	What should I do?
context: The related information is designated as top secret.\Ordinary investigators do not have the clearance to access it.\Make the preparations to declassify that information at once.\After that, contact the Lion King Organization.\They are supposed to have an agent on this island.\Do whatever it takes to obtain their cooperation.\Understood.\What should I do? response:	At this rate, I can't even look Kojou-kun in the eye.
context: Ordinary investigators do not have the clearance to access it.\Make the preparations to declassify that information at once.\After that, contact the Lion King Organization.\They are supposed to have an agent on this island.\Do whatever it takes to obtain their cooperation.\Understood.\What should I do?\At this rate, I can't even look Kojou-kun in the eye. response:	I can't keep from staring at him, and my heart beats wildly when he so much as looks at me.
context: Make the preparations to declassify that information at once.\After that, contact the Lion King Organization.\They are supposed to have an agent on this island.\Do whatever it takes to obtain their cooperation.\Understood.\What should I do?\At this rate, I can't even look Kojou-kun in the eye.\I can't keep from staring at him, and my heart beats wildly when he so much as looks at me. response:	My heart hurts so badly when I just see him with another girl.
context: After that, contact the Lion King Organization.\They are supposed to have an agent on this island.\Do whatever it takes to obtain their cooperation.\Understood.\What should I do?\At this rate, I can't even look Kojou-kun in the eye.\I can't keep from staring at him, and my heart beats wildly when he so much as looks at me.\My heart hurts so badly when I just see him with another girl. response:	Are... these feelings real?
context: They are supposed to have an agent on this island.\Do whatever it takes to obtain their cooperation.\Understood.\What should I do?\At this rate, I can't even look Kojou-kun in the eye.\I can't keep from staring at him, and my heart beats wildly when he so much as looks at me.\My heart hurts so badly when I just see him with another girl.\Are... these feelings real? response:	I can't talk to anyone about something like this!
context: Do whatever it takes to obtain their cooperation.\Understood.\What should I do?\At this rate, I can't even look Kojou-kun in the eye.\I can't keep from staring at him, and my heart beats wildly when he so much as looks at me.\My heart hurts so badly when I just see him with another girl.\Are... these feelings real?\I can't talk to anyone about something like this! response:	Want some? Ice cream from Ruruya.
context: Understood.\What should I do?\At this rate, I can't even look Kojou-kun in the eye.\I can't keep from staring at him, and my heart beats wildly when he so much as looks at me.\My heart hurts so badly when I just see him with another girl.\Are... these feelings real?\I can't talk to anyone about something like this!\Want some? Ice cream from Ruruya. response:	It's delicious.
context: What should I do?\At this rate, I can't even look Kojou-kun in the eye.\I can't keep from staring at him, and my heart beats wildly when he so much as looks at me.\My heart hurts so badly when I just see him with another girl.\Are... these feelings real?\I can't talk to anyone about something like this!\Want some? Ice cream from Ruruya.\It's delicious. response:	Huh? Umm... You are...?
context: At this rate, I can't even look Kojou-kun in the eye.\I can't keep from staring at him, and my heart beats wildly when he so much as looks at me.\My heart hurts so badly when I just see him with another girl.\Are... these feelings real?\I can't talk to anyone about something like this!\Want some? Ice cream from Ruruya.\It's delicious.\Huh? Umm... You are...? response:	December.
context: I can't keep from staring at him, and my heart beats wildly when he so much as looks at me.\My heart hurts so badly when I just see him with another girl.\Are... these feelings real?\I can't talk to anyone about something like this!\Want some? Ice cream from Ruruya.\It's delicious.\Huh? Umm... You are...?\December. response:	December. That's my name.
context: My heart hurts so badly when I just see him with another girl.\Are... these feelings real?\I can't talk to anyone about something like this!\Want some? Ice cream from Ruruya.\It's delicious.\Huh? Umm... You are...?\December.\December. That's my name. response:	I'm fond of it. I'd like it if you called me that.
context: Are... these feelings real?\I can't talk to anyone about something like this!\Want some? Ice cream from Ruruya.\It's delicious.\Huh? Umm... You are...?\December.\December. That's my name.\I'm fond of it. I'd like it if you called me that. response:	I knew she was still around...
context: I can't talk to anyone about something like this!\Want some? Ice cream from Ruruya.\It's delicious.\Huh? Umm... You are...?\December.\December. That's my name.\I'm fond of it. I'd like it if you called me that.\I knew she was still around... response:	but to think I'd end up meeting her in such a manner.
context: Want some? Ice cream from Ruruya.\It's delicious.\Huh? Umm... You are...?\December.\December. That's my name.\I'm fond of it. I'd like it if you called me that.\I knew she was still around...\but to think I'd end up meeting her in such a manner. response:	Well, I guess this is also a kind of fate.
context: It's delicious.\Huh? Umm... You are...?\December.\December. That's my name.\I'm fond of it. I'd like it if you called me that.\I knew she was still around...\but to think I'd end up meeting her in such a manner.\Well, I guess this is also a kind of fate. response:	I guess we're both going through some rough times.
context: Huh? Umm... You are...?\December.\December. That's my name.\I'm fond of it. I'd like it if you called me that.\I knew she was still around...\but to think I'd end up meeting her in such a manner.\Well, I guess this is also a kind of fate.\I guess we're both going through some rough times. response:	Delicious!
context: December.\December. That's my name.\I'm fond of it. I'd like it if you called me that.\I knew she was still around...\but to think I'd end up meeting her in such a manner.\Well, I guess this is also a kind of fate.\I guess we're both going through some rough times.\Delicious! response:	Umm.. What are you doing here, December-san?
context: December. That's my name.\I'm fond of it. I'd like it if you called me that.\I knew she was still around...\but to think I'd end up meeting her in such a manner.\Well, I guess this is also a kind of fate.\I guess we're both going through some rough times.\Delicious!\Umm.. What are you doing here, December-san? response:	Me? I'm here for surveillance.
context: I'm fond of it. I'd like it if you called me that.\I knew she was still around...\but to think I'd end up meeting her in such a manner.\Well, I guess this is also a kind of fate.\I guess we're both going through some rough times.\Delicious!\Umm.. What are you doing here, December-san?\Me? I'm here for surveillance. response:	I told her that I had her back, but she said she didn't need any help.
context: I knew she was still around...\but to think I'd end up meeting her in such a manner.\Well, I guess this is also a kind of fate.\I guess we're both going through some rough times.\Delicious!\Umm.. What are you doing here, December-san?\Me? I'm here for surveillance.\I told her that I had her back, but she said she didn't need any help. response:	So I decided to just watch from afar while eating some ice cream.
context: but to think I'd end up meeting her in such a manner.\Well, I guess this is also a kind of fate.\I guess we're both going through some rough times.\Delicious!\Umm.. What are you doing here, December-san?\Me? I'm here for surveillance.\I told her that I had her back, but she said she didn't need any help.\So I decided to just watch from afar while eating some ice cream. response:	You're here to look at the Keystone Gate?
context: Well, I guess this is also a kind of fate.\I guess we're both going through some rough times.\Delicious!\Umm.. What are you doing here, December-san?\Me? I'm here for surveillance.\I told her that I had her back, but she said she didn't need any help.\So I decided to just watch from afar while eating some ice cream.\You're here to look at the Keystone Gate? response:	No, that's not quite right.
context: I guess we're both going through some rough times.\Delicious!\Umm.. What are you doing here, December-san?\Me? I'm here for surveillance.\I told her that I had her back, but she said she didn't need any help.\So I decided to just watch from afar while eating some ice cream.\You're here to look at the Keystone Gate?\No, that's not quite right. response:	I'm here to see the beginning.
context: Delicious!\Umm.. What are you doing here, December-san?\Me? I'm here for surveillance.\I told her that I had her back, but she said she didn't need any help.\So I decided to just watch from afar while eating some ice cream.\You're here to look at the Keystone Gate?\No, that's not quite right.\I'm here to see the beginning. response:	The beginning of the end of the Special Magical District.
context: Umm.. What are you doing here, December-san?\Me? I'm here for surveillance.\I told her that I had her back, but she said she didn't need any help.\So I decided to just watch from afar while eating some ice cream.\You're here to look at the Keystone Gate?\No, that's not quite right.\I'm here to see the beginning.\The beginning of the end of the Special Magical District. response:	What was that vibration just now?
context: Me? I'm here for surveillance.\I told her that I had her back, but she said she didn't need any help.\So I decided to just watch from afar while eating some ice cream.\You're here to look at the Keystone Gate?\No, that's not quite right.\I'm here to see the beginning.\The beginning of the end of the Special Magical District.\What was that vibration just now? response:	There appears to have been an explosion in the third underground parking garage.
context: I told her that I had her back, but she said she didn't need any help.\So I decided to just watch from afar while eating some ice cream.\You're here to look at the Keystone Gate?\No, that's not quite right.\I'm here to see the beginning.\The beginning of the end of the Special Magical District.\What was that vibration just now?\There appears to have been an explosion in the third underground parking garage. response:	An explosion!?
context: So I decided to just watch from afar while eating some ice cream.\You're here to look at the Keystone Gate?\No, that's not quite right.\I'm here to see the beginning.\The beginning of the end of the Special Magical District.\What was that vibration just now?\There appears to have been an explosion in the third underground parking garage.\An explosion!? response:	Chief!
context: You're here to look at the Keystone Gate?\No, that's not quite right.\I'm here to see the beginning.\The beginning of the end of the Special Magical District.\What was that vibration just now?\There appears to have been an explosion in the third underground parking garage.\An explosion!?\Chief! response:	Chairman Yaze Akishige's car is located in the third underground parking garage!
context: No, that's not quite right.\I'm here to see the beginning.\The beginning of the end of the Special Magical District.\What was that vibration just now?\There appears to have been an explosion in the third underground parking garage.\An explosion!?\Chief!\Chairman Yaze Akishige's car is located in the third underground parking garage! response:	President Yaze's vital signs signal has been cut off.
context: I'm here to see the beginning.\The beginning of the end of the Special Magical District.\What was that vibration just now?\There appears to have been an explosion in the third underground parking garage.\An explosion!?\Chief!\Chairman Yaze Akishige's car is located in the third underground parking garage!\President Yaze's vital signs signal has been cut off. response:	The Keystone Gate!
context: The beginning of the end of the Special Magical District.\What was that vibration just now?\There appears to have been an explosion in the third underground parking garage.\An explosion!?\Chief!\Chairman Yaze Akishige's car is located in the third underground parking garage!\President Yaze's vital signs signal has been cut off.\The Keystone Gate! response:	You are...
context: What was that vibration just now?\There appears to have been an explosion in the third underground parking garage.\An explosion!?\Chief!\Chairman Yaze Akishige's car is located in the third underground parking garage!\President Yaze's vital signs signal has been cut off.\The Keystone Gate!\You are... response:	It's fine.
context: There appears to have been an explosion in the third underground parking garage.\An explosion!?\Chief!\Chairman Yaze Akishige's car is located in the third underground parking garage!\President Yaze's vital signs signal has been cut off.\The Keystone Gate!\You are...\It's fine. response:	Everything's fine. You don't need to worry.
context: An explosion!?\Chief!\Chairman Yaze Akishige's car is located in the third underground parking garage!\President Yaze's vital signs signal has been cut off.\The Keystone Gate!\You are...\It's fine.\Everything's fine. You don't need to worry. response:	This is my war, after all.
context: Chief!\Chairman Yaze Akishige's car is located in the third underground parking garage!\President Yaze's vital signs signal has been cut off.\The Keystone Gate!\You are...\It's fine.\Everything's fine. You don't need to worry.\This is my war, after all. response:	You... Why, after all this time...
context: Chairman Yaze Akishige's car is located in the third underground parking garage!\President Yaze's vital signs signal has been cut off.\The Keystone Gate!\You are...\It's fine.\Everything's fine. You don't need to worry.\This is my war, after all.\You... Why, after all this time... response:	Please, return to your slumber.
context: President Yaze's vital signs signal has been cut off.\The Keystone Gate!\You are...\It's fine.\Everything's fine. You don't need to worry.\This is my war, after all.\You... Why, after all this time...\Please, return to your slumber. response:	That is our wish as well.
context: The Keystone Gate!\You are...\It's fine.\Everything's fine. You don't need to worry.\This is my war, after all.\You... Why, after all this time...\Please, return to your slumber.\That is our wish as well. response:	Terrorists set off an explosion!?
context: You are...\It's fine.\Everything's fine. You don't need to worry.\This is my war, after all.\You... Why, after all this time...\Please, return to your slumber.\That is our wish as well.\Terrorists set off an explosion!? response:	What do you mean, missing?
