context: Sakimitama, Kushimitama... protect her. response:	The Fateful Two
context: The power to destroy all living things.\The one who controls that power controls the world.\That raccoon dog desires more than he deserves.\It's time to teach him a lesson.\Then...\Hold on. No need to rush, Rokuro.\I don't have enough yet.\I need one brave warrior for each finger on these two hands. response:	Besides...
context: The one who controls that power controls the world.\That raccoon dog desires more than he deserves.\It's time to teach him a lesson.\Then...\Hold on. No need to rush, Rokuro.\I don't have enough yet.\I need one brave warrior for each finger on these two hands.\Besides... response:	Damn it. My head's pounding.
context: That raccoon dog desires more than he deserves.\It's time to teach him a lesson.\Then...\Hold on. No need to rush, Rokuro.\I don't have enough yet.\I need one brave warrior for each finger on these two hands.\Besides...\Damn it. My head's pounding. response:	What are Sarutobi and that guy up to?
context: It's time to teach him a lesson.\Then...\Hold on. No need to rush, Rokuro.\I don't have enough yet.\I need one brave warrior for each finger on these two hands.\Besides...\Damn it. My head's pounding.\What are Sarutobi and that guy up to? response:	Gather brave warriors?
context: Then...\Hold on. No need to rush, Rokuro.\I don't have enough yet.\I need one brave warrior for each finger on these two hands.\Besides...\Damn it. My head's pounding.\What are Sarutobi and that guy up to?\Gather brave warriors? response:	I don't trust that lord,
context: Hold on. No need to rush, Rokuro.\I don't have enough yet.\I need one brave warrior for each finger on these two hands.\Besides...\Damn it. My head's pounding.\What are Sarutobi and that guy up to?\Gather brave warriors?\I don't trust that lord, response:	but it'll be interesting to see what Sanada Yukimura's planning.
context: I don't have enough yet.\I need one brave warrior for each finger on these two hands.\Besides...\Damn it. My head's pounding.\What are Sarutobi and that guy up to?\Gather brave warriors?\I don't trust that lord,\but it'll be interesting to see what Sanada Yukimura's planning. response:	What did he do to me?
context: I need one brave warrior for each finger on these two hands.\Besides...\Damn it. My head's pounding.\What are Sarutobi and that guy up to?\Gather brave warriors?\I don't trust that lord,\but it'll be interesting to see what Sanada Yukimura's planning.\What did he do to me? response:	It's morning?
context: Besides...\Damn it. My head's pounding.\What are Sarutobi and that guy up to?\Gather brave warriors?\I don't trust that lord,\but it'll be interesting to see what Sanada Yukimura's planning.\What did he do to me?\It's morning? response:	What was that for? Ow...
context: Damn it. My head's pounding.\What are Sarutobi and that guy up to?\Gather brave warriors?\I don't trust that lord,\but it'll be interesting to see what Sanada Yukimura's planning.\What did he do to me?\It's morning?\What was that for? Ow... response:	What are you doing half naked in my futon?
context: What are Sarutobi and that guy up to?\Gather brave warriors?\I don't trust that lord,\but it'll be interesting to see what Sanada Yukimura's planning.\What did he do to me?\It's morning?\What was that for? Ow...\What are you doing half naked in my futon? response:	Why not? It's warmer if we sleep together.
context: Gather brave warriors?\I don't trust that lord,\but it'll be interesting to see what Sanada Yukimura's planning.\What did he do to me?\It's morning?\What was that for? Ow...\What are you doing half naked in my futon?\Why not? It's warmer if we sleep together. response:	But
context: I don't trust that lord,\but it'll be interesting to see what Sanada Yukimura's planning.\What did he do to me?\It's morning?\What was that for? Ow...\What are you doing half naked in my futon?\Why not? It's warmer if we sleep together.\But response:	Food.
context: but it'll be interesting to see what Sanada Yukimura's planning.\What did he do to me?\It's morning?\What was that for? Ow...\What are you doing half naked in my futon?\Why not? It's warmer if we sleep together.\But\Food. response:	Breakfast?
context: What did he do to me?\It's morning?\What was that for? Ow...\What are you doing half naked in my futon?\Why not? It's warmer if we sleep together.\But\Food.\Breakfast? response:	Isanami? What are you doing here?
context: It's morning?\What was that for? Ow...\What are you doing half naked in my futon?\Why not? It's warmer if we sleep together.\But\Food.\Breakfast?\Isanami? What are you doing here? response:	Breakfast, breakfast.
context: What was that for? Ow...\What are you doing half naked in my futon?\Why not? It's warmer if we sleep together.\But\Food.\Breakfast?\Isanami? What are you doing here?\Breakfast, breakfast. response:	Thank you, Sasuke.
context: What are you doing half naked in my futon?\Why not? It's warmer if we sleep together.\But\Food.\Breakfast?\Isanami? What are you doing here?\Breakfast, breakfast.\Thank you, Sasuke. response:	Sure.
context: Why not? It's warmer if we sleep together.\But\Food.\Breakfast?\Isanami? What are you doing here?\Breakfast, breakfast.\Thank you, Sasuke.\Sure. response:	Monkey, you're not...
context: But\Food.\Breakfast?\Isanami? What are you doing here?\Breakfast, breakfast.\Thank you, Sasuke.\Sure.\Monkey, you're not... response:	Bastard!
context: Food.\Breakfast?\Isanami? What are you doing here?\Breakfast, breakfast.\Thank you, Sasuke.\Sure.\Monkey, you're not...\Bastard! response:	Let's get out of here!
context: Breakfast?\Isanami? What are you doing here?\Breakfast, breakfast.\Thank you, Sasuke.\Sure.\Monkey, you're not...\Bastard!\Let's get out of here! response:	Don't screw with me, Sanada ninja!
context: Isanami? What are you doing here?\Breakfast, breakfast.\Thank you, Sasuke.\Sure.\Monkey, you're not...\Bastard!\Let's get out of here!\Don't screw with me, Sanada ninja! response:	My breakfast...
context: Breakfast, breakfast.\Thank you, Sasuke.\Sure.\Monkey, you're not...\Bastard!\Let's get out of here!\Don't screw with me, Sanada ninja!\My breakfast... response:	This is Saizo's food. Yours is in your room.
context: Thank you, Sasuke.\Sure.\Monkey, you're not...\Bastard!\Let's get out of here!\Don't screw with me, Sanada ninja!\My breakfast...\This is Saizo's food. Yours is in your room. response:	Breakfast, breakfast!
context: Sure.\Monkey, you're not...\Bastard!\Let's get out of here!\Don't screw with me, Sanada ninja!\My breakfast...\This is Saizo's food. Yours is in your room.\Breakfast, breakfast! response:	What's for breakfast today?
context: Monkey, you're not...\Bastard!\Let's get out of here!\Don't screw with me, Sanada ninja!\My breakfast...\This is Saizo's food. Yours is in your room.\Breakfast, breakfast!\What's for breakfast today? response:	This isn't worth the trouble.
context: Bastard!\Let's get out of here!\Don't screw with me, Sanada ninja!\My breakfast...\This is Saizo's food. Yours is in your room.\Breakfast, breakfast!\What's for breakfast today?\This isn't worth the trouble. response:	Hey, monkey.
context: Let's get out of here!\Don't screw with me, Sanada ninja!\My breakfast...\This is Saizo's food. Yours is in your room.\Breakfast, breakfast!\What's for breakfast today?\This isn't worth the trouble.\Hey, monkey. response:	Just so you know, I have no intention of being your friend.
context: Don't screw with me, Sanada ninja!\My breakfast...\This is Saizo's food. Yours is in your room.\Breakfast, breakfast!\What's for breakfast today?\This isn't worth the trouble.\Hey, monkey.\Just so you know, I have no intention of being your friend. response:	Nor do I.
context: My breakfast...\This is Saizo's food. Yours is in your room.\Breakfast, breakfast!\What's for breakfast today?\This isn't worth the trouble.\Hey, monkey.\Just so you know, I have no intention of being your friend.\Nor do I. response:	You're an insincere womanizer.
context: This is Saizo's food. Yours is in your room.\Breakfast, breakfast!\What's for breakfast today?\This isn't worth the trouble.\Hey, monkey.\Just so you know, I have no intention of being your friend.\Nor do I.\You're an insincere womanizer. response:	Who are you calling a womanizer?!
context: Breakfast, breakfast!\What's for breakfast today?\This isn't worth the trouble.\Hey, monkey.\Just so you know, I have no intention of being your friend.\Nor do I.\You're an insincere womanizer.\Who are you calling a womanizer?! response:	They're noisy and always getting in the way.
context: What's for breakfast today?\This isn't worth the trouble.\Hey, monkey.\Just so you know, I have no intention of being your friend.\Nor do I.\You're an insincere womanizer.\Who are you calling a womanizer?!\They're noisy and always getting in the way. response:	Sasuke, I didn't get enough food.
context: This isn't worth the trouble.\Hey, monkey.\Just so you know, I have no intention of being your friend.\Nor do I.\You're an insincere womanizer.\Who are you calling a womanizer?!\They're noisy and always getting in the way.\Sasuke, I didn't get enough food. response:	Understood. Starting tomorrow, I'll give you extra.
context: Hey, monkey.\Just so you know, I have no intention of being your friend.\Nor do I.\You're an insincere womanizer.\Who are you calling a womanizer?!\They're noisy and always getting in the way.\Sasuke, I didn't get enough food.\Understood. Starting tomorrow, I'll give you extra. response:	You biased little monkey!
context: Just so you know, I have no intention of being your friend.\Nor do I.\You're an insincere womanizer.\Who are you calling a womanizer?!\They're noisy and always getting in the way.\Sasuke, I didn't get enough food.\Understood. Starting tomorrow, I'll give you extra.\You biased little monkey! response:	The next episode of Brave 10 is Dark and Light.
context: Nor do I.\You're an insincere womanizer.\Who are you calling a womanizer?!\They're noisy and always getting in the way.\Sasuke, I didn't get enough food.\Understood. Starting tomorrow, I'll give you extra.\You biased little monkey!\The next episode of Brave 10 is Dark and Light. response:	Bring it on!
context: You're an insincere womanizer.\Who are you calling a womanizer?!\They're noisy and always getting in the way.\Sasuke, I didn't get enough food.\Understood. Starting tomorrow, I'll give you extra.\You biased little monkey!\The next episode of Brave 10 is Dark and Light.\Bring it on! response:	Dark and Light
