context: In this world, in addition to adventurers response:	and People of the Land, there are also groups called demi-humans.
context: I think we have the same interests here.\I know that.\Princess Lenessia!\I'm sorry to interrupt your chat.\May we join you?\We brought cookies!\I think they're nice girls, but...\We saw you fight with your sword! response:	You're strong, aren't you?
context: I know that.\Princess Lenessia!\I'm sorry to interrupt your chat.\May we join you?\We brought cookies!\I think they're nice girls, but...\We saw you fight with your sword!\You're strong, aren't you? response:	No, I still have much to learn.
context: Princess Lenessia!\I'm sorry to interrupt your chat.\May we join you?\We brought cookies!\I think they're nice girls, but...\We saw you fight with your sword!\You're strong, aren't you?\No, I still have much to learn. response:	Don't be so humble.
context: I'm sorry to interrupt your chat.\May we join you?\We brought cookies!\I think they're nice girls, but...\We saw you fight with your sword!\You're strong, aren't you?\No, I still have much to learn.\Don't be so humble. response:	It took my breath away!
context: May we join you?\We brought cookies!\I think they're nice girls, but...\We saw you fight with your sword!\You're strong, aren't you?\No, I still have much to learn.\Don't be so humble.\It took my breath away! response:	I'm unworthy of praise from such beautiful ladies.
context: We brought cookies!\I think they're nice girls, but...\We saw you fight with your sword!\You're strong, aren't you?\No, I still have much to learn.\Don't be so humble.\It took my breath away!\I'm unworthy of praise from such beautiful ladies. response:	Thank you.
context: I think they're nice girls, but...\We saw you fight with your sword!\You're strong, aren't you?\No, I still have much to learn.\Don't be so humble.\It took my breath away!\I'm unworthy of praise from such beautiful ladies.\Thank you. response:	Why is he so polite to these two,
context: We saw you fight with your sword!\You're strong, aren't you?\No, I still have much to learn.\Don't be so humble.\It took my breath away!\I'm unworthy of praise from such beautiful ladies.\Thank you.\Why is he so polite to these two, response:	and so rude to me?
context: You're strong, aren't you?\No, I still have much to learn.\Don't be so humble.\It took my breath away!\I'm unworthy of praise from such beautiful ladies.\Thank you.\Why is he so polite to these two,\and so rude to me? response:	Crusty, you're special!
context: No, I still have much to learn.\Don't be so humble.\It took my breath away!\I'm unworthy of praise from such beautiful ladies.\Thank you.\Why is he so polite to these two,\and so rude to me?\Crusty, you're special! response:	Of the adventurers, you're the most elegant and noble!
context: Don't be so humble.\It took my breath away!\I'm unworthy of praise from such beautiful ladies.\Thank you.\Why is he so polite to these two,\and so rude to me?\Crusty, you're special!\Of the adventurers, you're the most elegant and noble! response:	Yes...
context: It took my breath away!\I'm unworthy of praise from such beautiful ladies.\Thank you.\Why is he so polite to these two,\and so rude to me?\Crusty, you're special!\Of the adventurers, you're the most elegant and noble!\Yes... response:	We've all been talking about you.
context: I'm unworthy of praise from such beautiful ladies.\Thank you.\Why is he so polite to these two,\and so rude to me?\Crusty, you're special!\Of the adventurers, you're the most elegant and noble!\Yes...\We've all been talking about you. response:	I'm very honored.
context: Thank you.\Why is he so polite to these two,\and so rude to me?\Crusty, you're special!\Of the adventurers, you're the most elegant and noble!\Yes...\We've all been talking about you.\I'm very honored. response:	No, that dignified elegance is why Princess Lenessia
context: Why is he so polite to these two,\and so rude to me?\Crusty, you're special!\Of the adventurers, you're the most elegant and noble!\Yes...\We've all been talking about you.\I'm very honored.\No, that dignified elegance is why Princess Lenessia response:	allows you to accompany her.
context: and so rude to me?\Crusty, you're special!\Of the adventurers, you're the most elegant and noble!\Yes...\We've all been talking about you.\I'm very honored.\No, that dignified elegance is why Princess Lenessia\allows you to accompany her. response:	Isn't that right, Princess?
context: Crusty, you're special!\Of the adventurers, you're the most elegant and noble!\Yes...\We've all been talking about you.\I'm very honored.\No, that dignified elegance is why Princess Lenessia\allows you to accompany her.\Isn't that right, Princess? response:	Y-Yes, of course.
context: Of the adventurers, you're the most elegant and noble!\Yes...\We've all been talking about you.\I'm very honored.\No, that dignified elegance is why Princess Lenessia\allows you to accompany her.\Isn't that right, Princess?\Y-Yes, of course. response:	I w-wonder what they're talking about.
context: Yes...\We've all been talking about you.\I'm very honored.\No, that dignified elegance is why Princess Lenessia\allows you to accompany her.\Isn't that right, Princess?\Y-Yes, of course.\I w-wonder what they're talking about. response:	Princess Lenessia is so beautiful.
context: We've all been talking about you.\I'm very honored.\No, that dignified elegance is why Princess Lenessia\allows you to accompany her.\Isn't that right, Princess?\Y-Yes, of course.\I w-wonder what they're talking about.\Princess Lenessia is so beautiful. response:	Accompanying her must be fun!
context: I'm very honored.\No, that dignified elegance is why Princess Lenessia\allows you to accompany her.\Isn't that right, Princess?\Y-Yes, of course.\I w-wonder what they're talking about.\Princess Lenessia is so beautiful.\Accompanying her must be fun! response:	She is a kind, compassionate person.
context: No, that dignified elegance is why Princess Lenessia\allows you to accompany her.\Isn't that right, Princess?\Y-Yes, of course.\I w-wonder what they're talking about.\Princess Lenessia is so beautiful.\Accompanying her must be fun!\She is a kind, compassionate person. response:	Her kindness allows a newcomer like myself
context: allows you to accompany her.\Isn't that right, Princess?\Y-Yes, of course.\I w-wonder what they're talking about.\Princess Lenessia is so beautiful.\Accompanying her must be fun!\She is a kind, compassionate person.\Her kindness allows a newcomer like myself response:	to remain in her company.
context: Isn't that right, Princess?\Y-Yes, of course.\I w-wonder what they're talking about.\Princess Lenessia is so beautiful.\Accompanying her must be fun!\She is a kind, compassionate person.\Her kindness allows a newcomer like myself\to remain in her company. response:	I am unfamiliar with courtly etiquette,
context: Y-Yes, of course.\I w-wonder what they're talking about.\Princess Lenessia is so beautiful.\Accompanying her must be fun!\She is a kind, compassionate person.\Her kindness allows a newcomer like myself\to remain in her company.\I am unfamiliar with courtly etiquette, response:	and she allows me to avoid looking like a country bumpkin.
context: I w-wonder what they're talking about.\Princess Lenessia is so beautiful.\Accompanying her must be fun!\She is a kind, compassionate person.\Her kindness allows a newcomer like myself\to remain in her company.\I am unfamiliar with courtly etiquette,\and she allows me to avoid looking like a country bumpkin. response:	It is an honor of which I am unworthy.
context: Princess Lenessia is so beautiful.\Accompanying her must be fun!\She is a kind, compassionate person.\Her kindness allows a newcomer like myself\to remain in her company.\I am unfamiliar with courtly etiquette,\and she allows me to avoid looking like a country bumpkin.\It is an honor of which I am unworthy. response:	He's a bad person.
context: Accompanying her must be fun!\She is a kind, compassionate person.\Her kindness allows a newcomer like myself\to remain in her company.\I am unfamiliar with courtly etiquette,\and she allows me to avoid looking like a country bumpkin.\It is an honor of which I am unworthy.\He's a bad person. response:	He's a really bad person!
context: She is a kind, compassionate person.\Her kindness allows a newcomer like myself\to remain in her company.\I am unfamiliar with courtly etiquette,\and she allows me to avoid looking like a country bumpkin.\It is an honor of which I am unworthy.\He's a bad person.\He's a really bad person! response:	Then, we'll introduce you to everyone.
context: Her kindness allows a newcomer like myself\to remain in her company.\I am unfamiliar with courtly etiquette,\and she allows me to avoid looking like a country bumpkin.\It is an honor of which I am unworthy.\He's a bad person.\He's a really bad person!\Then, we'll introduce you to everyone. response:	Once they get to know you,
context: to remain in her company.\I am unfamiliar with courtly etiquette,\and she allows me to avoid looking like a country bumpkin.\It is an honor of which I am unworthy.\He's a bad person.\He's a really bad person!\Then, we'll introduce you to everyone.\Once they get to know you, response:	no one will mistake you for a bumpkin.
context: I am unfamiliar with courtly etiquette,\and she allows me to avoid looking like a country bumpkin.\It is an honor of which I am unworthy.\He's a bad person.\He's a really bad person!\Then, we'll introduce you to everyone.\Once they get to know you,\no one will mistake you for a bumpkin. response:	No, I am a barbarian who knows only war.
context: and she allows me to avoid looking like a country bumpkin.\It is an honor of which I am unworthy.\He's a bad person.\He's a really bad person!\Then, we'll introduce you to everyone.\Once they get to know you,\no one will mistake you for a bumpkin.\No, I am a barbarian who knows only war. response:	Until I repay the princess for the kindness she's shown to me,
context: It is an honor of which I am unworthy.\He's a bad person.\He's a really bad person!\Then, we'll introduce you to everyone.\Once they get to know you,\no one will mistake you for a bumpkin.\No, I am a barbarian who knows only war.\Until I repay the princess for the kindness she's shown to me, response:	I cannot leave her side.
context: He's a bad person.\He's a really bad person!\Then, we'll introduce you to everyone.\Once they get to know you,\no one will mistake you for a bumpkin.\No, I am a barbarian who knows only war.\Until I repay the princess for the kindness she's shown to me,\I cannot leave her side. response:	What is his problem?
context: He's a really bad person!\Then, we'll introduce you to everyone.\Once they get to know you,\no one will mistake you for a bumpkin.\No, I am a barbarian who knows only war.\Until I repay the princess for the kindness she's shown to me,\I cannot leave her side.\What is his problem? response:	A knight serving his lady!
context: Then, we'll introduce you to everyone.\Once they get to know you,\no one will mistake you for a bumpkin.\No, I am a barbarian who knows only war.\Until I repay the princess for the kindness she's shown to me,\I cannot leave her side.\What is his problem?\A knight serving his lady! response:	How wonderful...
context: Once they get to know you,\no one will mistake you for a bumpkin.\No, I am a barbarian who knows only war.\Until I repay the princess for the kindness she's shown to me,\I cannot leave her side.\What is his problem?\A knight serving his lady!\How wonderful... response:	Feel free
context: no one will mistake you for a bumpkin.\No, I am a barbarian who knows only war.\Until I repay the princess for the kindness she's shown to me,\I cannot leave her side.\What is his problem?\A knight serving his lady!\How wonderful...\Feel free response:	to leave me behind and look at the pretty palace flowers instead.
context: No, I am a barbarian who knows only war.\Until I repay the princess for the kindness she's shown to me,\I cannot leave her side.\What is his problem?\A knight serving his lady!\How wonderful...\Feel free\to leave me behind and look at the pretty palace flowers instead. response:	I already have my hands full with a single beautiful flower.
context: Until I repay the princess for the kindness she's shown to me,\I cannot leave her side.\What is his problem?\A knight serving his lady!\How wonderful...\Feel free\to leave me behind and look at the pretty palace flowers instead.\I already have my hands full with a single beautiful flower. response:	But you know exactly how to handle girls, don't you?
context: I cannot leave her side.\What is his problem?\A knight serving his lady!\How wonderful...\Feel free\to leave me behind and look at the pretty palace flowers instead.\I already have my hands full with a single beautiful flower.\But you know exactly how to handle girls, don't you? response:	It depends on the girl.
context: What is his problem?\A knight serving his lady!\How wonderful...\Feel free\to leave me behind and look at the pretty palace flowers instead.\I already have my hands full with a single beautiful flower.\But you know exactly how to handle girls, don't you?\It depends on the girl. response:	In my hometown, I have a younger sister,
context: A knight serving his lady!\How wonderful...\Feel free\to leave me behind and look at the pretty palace flowers instead.\I already have my hands full with a single beautiful flower.\But you know exactly how to handle girls, don't you?\It depends on the girl.\In my hometown, I have a younger sister, response:	so girls like you are easier for me to handle.
context: How wonderful...\Feel free\to leave me behind and look at the pretty palace flowers instead.\I already have my hands full with a single beautiful flower.\But you know exactly how to handle girls, don't you?\It depends on the girl.\In my hometown, I have a younger sister,\so girls like you are easier for me to handle. response:	A-Am I like your sister?
context: Feel free\to leave me behind and look at the pretty palace flowers instead.\I already have my hands full with a single beautiful flower.\But you know exactly how to handle girls, don't you?\It depends on the girl.\In my hometown, I have a younger sister,\so girls like you are easier for me to handle.\A-Am I like your sister? response:	Yes.
context: to leave me behind and look at the pretty palace flowers instead.\I already have my hands full with a single beautiful flower.\But you know exactly how to handle girls, don't you?\It depends on the girl.\In my hometown, I have a younger sister,\so girls like you are easier for me to handle.\A-Am I like your sister?\Yes. response:	Can you not see her?
context: I already have my hands full with a single beautiful flower.\But you know exactly how to handle girls, don't you?\It depends on the girl.\In my hometown, I have a younger sister,\so girls like you are easier for me to handle.\A-Am I like your sister?\Yes.\Can you not see her? response:	At the moment, it would be difficult.
context: But you know exactly how to handle girls, don't you?\It depends on the girl.\In my hometown, I have a younger sister,\so girls like you are easier for me to handle.\A-Am I like your sister?\Yes.\Can you not see her?\At the moment, it would be difficult. response:	You... miss her?
context: It depends on the girl.\In my hometown, I have a younger sister,\so girls like you are easier for me to handle.\A-Am I like your sister?\Yes.\Can you not see her?\At the moment, it would be difficult.\You... miss her? response:	I couldn't say.
context: In my hometown, I have a younger sister,\so girls like you are easier for me to handle.\A-Am I like your sister?\Yes.\Can you not see her?\At the moment, it would be difficult.\You... miss her?\I couldn't say. response:	He's...
context: so girls like you are easier for me to handle.\A-Am I like your sister?\Yes.\Can you not see her?\At the moment, it would be difficult.\You... miss her?\I couldn't say.\He's... response:	Looking at you reminds me of her.
context: A-Am I like your sister?\Yes.\Can you not see her?\At the moment, it would be difficult.\You... miss her?\I couldn't say.\He's...\Looking at you reminds me of her. response:	Putting your cheek against the table to feel its chill,
context: Yes.\Can you not see her?\At the moment, it would be difficult.\You... miss her?\I couldn't say.\He's...\Looking at you reminds me of her.\Putting your cheek against the table to feel its chill, response:	lying around all day if you let her,
context: Can you not see her?\At the moment, it would be difficult.\You... miss her?\I couldn't say.\He's...\Looking at you reminds me of her.\Putting your cheek against the table to feel its chill,\lying around all day if you let her, response:	only wearing the most comfortable clothes...
context: At the moment, it would be difficult.\You... miss her?\I couldn't say.\He's...\Looking at you reminds me of her.\Putting your cheek against the table to feel its chill,\lying around all day if you let her,\only wearing the most comfortable clothes... response:	You're just like her.
context: You... miss her?\I couldn't say.\He's...\Looking at you reminds me of her.\Putting your cheek against the table to feel its chill,\lying around all day if you let her,\only wearing the most comfortable clothes...\You're just like her. response:	Y-You haven't seen me do all that!
context: I couldn't say.\He's...\Looking at you reminds me of her.\Putting your cheek against the table to feel its chill,\lying around all day if you let her,\only wearing the most comfortable clothes...\You're just like her.\Y-You haven't seen me do all that! response:	How do you know?
context: He's...\Looking at you reminds me of her.\Putting your cheek against the table to feel its chill,\lying around all day if you let her,\only wearing the most comfortable clothes...\You're just like her.\Y-You haven't seen me do all that!\How do you know? response:	Because you're like her.
context: Looking at you reminds me of her.\Putting your cheek against the table to feel its chill,\lying around all day if you let her,\only wearing the most comfortable clothes...\You're just like her.\Y-You haven't seen me do all that!\How do you know?\Because you're like her. response:	In many ways, being around you eases my tired heart.
context: Putting your cheek against the table to feel its chill,\lying around all day if you let her,\only wearing the most comfortable clothes...\You're just like her.\Y-You haven't seen me do all that!\How do you know?\Because you're like her.\In many ways, being around you eases my tired heart. response:	Please give me the chance to repay you during the conference.
context: lying around all day if you let her,\only wearing the most comfortable clothes...\You're just like her.\Y-You haven't seen me do all that!\How do you know?\Because you're like her.\In many ways, being around you eases my tired heart.\Please give me the chance to repay you during the conference. response:	You scratch my back, and I scratch yours?
context: only wearing the most comfortable clothes...\You're just like her.\Y-You haven't seen me do all that!\How do you know?\Because you're like her.\In many ways, being around you eases my tired heart.\Please give me the chance to repay you during the conference.\You scratch my back, and I scratch yours? response:	Give and take.
context: You're just like her.\Y-You haven't seen me do all that!\How do you know?\Because you're like her.\In many ways, being around you eases my tired heart.\Please give me the chance to repay you during the conference.\You scratch my back, and I scratch yours?\Give and take. response:	Very well, then.
context: Y-You haven't seen me do all that!\How do you know?\Because you're like her.\In many ways, being around you eases my tired heart.\Please give me the chance to repay you during the conference.\You scratch my back, and I scratch yours?\Give and take.\Very well, then. response:	A handshake?
context: How do you know?\Because you're like her.\In many ways, being around you eases my tired heart.\Please give me the chance to repay you during the conference.\You scratch my back, and I scratch yours?\Give and take.\Very well, then.\A handshake? response:	One, two, three...
context: Because you're like her.\In many ways, being around you eases my tired heart.\Please give me the chance to repay you during the conference.\You scratch my back, and I scratch yours?\Give and take.\Very well, then.\A handshake?\One, two, three... response:	One, two, three...
context: In many ways, being around you eases my tired heart.\Please give me the chance to repay you during the conference.\You scratch my back, and I scratch yours?\Give and take.\Very well, then.\A handshake?\One, two, three...\One, two, three... response:	Akatsuki, aren't you going to sleep?
context: Please give me the chance to repay you during the conference.\You scratch my back, and I scratch yours?\Give and take.\Very well, then.\A handshake?\One, two, three...\One, two, three...\Akatsuki, aren't you going to sleep? response:	My lord...
context: You scratch my back, and I scratch yours?\Give and take.\Very well, then.\A handshake?\One, two, three...\One, two, three...\Akatsuki, aren't you going to sleep?\My lord... response:	H-How long were you there?
context: Give and take.\Very well, then.\A handshake?\One, two, three...\One, two, three...\Akatsuki, aren't you going to sleep?\My lord...\H-How long were you there? response:	Um...
context: Very well, then.\A handshake?\One, two, three...\One, two, three...\Akatsuki, aren't you going to sleep?\My lord...\H-How long were you there?\Um... response:	I just arrived.
context: A handshake?\One, two, three...\One, two, three...\Akatsuki, aren't you going to sleep?\My lord...\H-How long were you there?\Um...\I just arrived. response:	Want some?
context: One, two, three...\One, two, three...\Akatsuki, aren't you going to sleep?\My lord...\H-How long were you there?\Um...\I just arrived.\Want some? response:	The Academic's Guild finally released me...
context: One, two, three...\Akatsuki, aren't you going to sleep?\My lord...\H-How long were you there?\Um...\I just arrived.\Want some?\The Academic's Guild finally released me... response:	They kept pestering me to let them research adventurers.
context: Akatsuki, aren't you going to sleep?\My lord...\H-How long were you there?\Um...\I just arrived.\Want some?\The Academic's Guild finally released me...\They kept pestering me to let them research adventurers. response:	I see.
context: My lord...\H-How long were you there?\Um...\I just arrived.\Want some?\The Academic's Guild finally released me...\They kept pestering me to let them research adventurers.\I see. response:	His hair swirls to the right.
context: H-How long were you there?\Um...\I just arrived.\Want some?\The Academic's Guild finally released me...\They kept pestering me to let them research adventurers.\I see.\His hair swirls to the right. response:	It's cute.
context: Um...\I just arrived.\Want some?\The Academic's Guild finally released me...\They kept pestering me to let them research adventurers.\I see.\His hair swirls to the right.\It's cute. response:	Well? Did you learn anything?
context: I just arrived.\Want some?\The Academic's Guild finally released me...\They kept pestering me to let them research adventurers.\I see.\His hair swirls to the right.\It's cute.\Well? Did you learn anything? response:	People of the Land see us as potential enemies, but they mean us no direct harm.
context: Want some?\The Academic's Guild finally released me...\They kept pestering me to let them research adventurers.\I see.\His hair swirls to the right.\It's cute.\Well? Did you learn anything?\People of the Land see us as potential enemies, but they mean us no direct harm. response:	Their opinion of us is about half favorable.
context: The Academic's Guild finally released me...\They kept pestering me to let them research adventurers.\I see.\His hair swirls to the right.\It's cute.\Well? Did you learn anything?\People of the Land see us as potential enemies, but they mean us no direct harm.\Their opinion of us is about half favorable. response:	Oh...
context: They kept pestering me to let them research adventurers.\I see.\His hair swirls to the right.\It's cute.\Well? Did you learn anything?\People of the Land see us as potential enemies, but they mean us no direct harm.\Their opinion of us is about half favorable.\Oh... response:	I believe they see us as potential enemies because of our power.
context: I see.\His hair swirls to the right.\It's cute.\Well? Did you learn anything?\People of the Land see us as potential enemies, but they mean us no direct harm.\Their opinion of us is about half favorable.\Oh...\I believe they see us as potential enemies because of our power. response:	Neither of us has a real idea as to what the other is capable of...
context: His hair swirls to the right.\It's cute.\Well? Did you learn anything?\People of the Land see us as potential enemies, but they mean us no direct harm.\Their opinion of us is about half favorable.\Oh...\I believe they see us as potential enemies because of our power.\Neither of us has a real idea as to what the other is capable of... response:	They're probably debating whether to defeat us by surprise or do everything we say.
context: It's cute.\Well? Did you learn anything?\People of the Land see us as potential enemies, but they mean us no direct harm.\Their opinion of us is about half favorable.\Oh...\I believe they see us as potential enemies because of our power.\Neither of us has a real idea as to what the other is capable of...\They're probably debating whether to defeat us by surprise or do everything we say. response:	Anything else?
context: Well? Did you learn anything?\People of the Land see us as potential enemies, but they mean us no direct harm.\Their opinion of us is about half favorable.\Oh...\I believe they see us as potential enemies because of our power.\Neither of us has a real idea as to what the other is capable of...\They're probably debating whether to defeat us by surprise or do everything we say.\Anything else? response:	Come to think of it,
context: People of the Land see us as potential enemies, but they mean us no direct harm.\Their opinion of us is about half favorable.\Oh...\I believe they see us as potential enemies because of our power.\Neither of us has a real idea as to what the other is capable of...\They're probably debating whether to defeat us by surprise or do everything we say.\Anything else?\Come to think of it, response:	they also mentioned something about still not knowing where the Izumo Knights are.
context: Their opinion of us is about half favorable.\Oh...\I believe they see us as potential enemies because of our power.\Neither of us has a real idea as to what the other is capable of...\They're probably debating whether to defeat us by surprise or do everything we say.\Anything else?\Come to think of it,\they also mentioned something about still not knowing where the Izumo Knights are. response:	The Izumo Knights?
context: Oh...\I believe they see us as potential enemies because of our power.\Neither of us has a real idea as to what the other is capable of...\They're probably debating whether to defeat us by surprise or do everything we say.\Anything else?\Come to think of it,\they also mentioned something about still not knowing where the Izumo Knights are.\The Izumo Knights? response:	You must be Shiroe, of Log Horizon.
context: I believe they see us as potential enemies because of our power.\Neither of us has a real idea as to what the other is capable of...\They're probably debating whether to defeat us by surprise or do everything we say.\Anything else?\Come to think of it,\they also mentioned something about still not knowing where the Izumo Knights are.\The Izumo Knights?\You must be Shiroe, of Log Horizon. response:	I've come to speak with you tonight.
context: Neither of us has a real idea as to what the other is capable of...\They're probably debating whether to defeat us by surprise or do everything we say.\Anything else?\Come to think of it,\they also mentioned something about still not knowing where the Izumo Knights are.\The Izumo Knights?\You must be Shiroe, of Log Horizon.\I've come to speak with you tonight. response:	Who are you?
context: They're probably debating whether to defeat us by surprise or do everything we say.\Anything else?\Come to think of it,\they also mentioned something about still not knowing where the Izumo Knights are.\The Izumo Knights?\You must be Shiroe, of Log Horizon.\I've come to speak with you tonight.\Who are you? response:	I am the mage Regan, of Miral Lake.
context: Anything else?\Come to think of it,\they also mentioned something about still not knowing where the Izumo Knights are.\The Izumo Knights?\You must be Shiroe, of Log Horizon.\I've come to speak with you tonight.\Who are you?\I am the mage Regan, of Miral Lake. response:	That day, everything changed.
context: Come to think of it,\they also mentioned something about still not knowing where the Izumo Knights are.\The Izumo Knights?\You must be Shiroe, of Log Horizon.\I've come to speak with you tonight.\Who are you?\I am the mage Regan, of Miral Lake.\That day, everything changed. response:	That day, I suddenly found myself here.
context: they also mentioned something about still not knowing where the Izumo Knights are.\The Izumo Knights?\You must be Shiroe, of Log Horizon.\I've come to speak with you tonight.\Who are you?\I am the mage Regan, of Miral Lake.\That day, everything changed.\That day, I suddenly found myself here. response:	That day, the Apocalypse descended on tens of thousands of people.
context: The Izumo Knights?\You must be Shiroe, of Log Horizon.\I've come to speak with you tonight.\Who are you?\I am the mage Regan, of Miral Lake.\That day, everything changed.\That day, I suddenly found myself here.\That day, the Apocalypse descended on tens of thousands of people. response:	The Mage of Eternal Eyes, Regan, speaks regarding its secrets.
context: You must be Shiroe, of Log Horizon.\I've come to speak with you tonight.\Who are you?\I am the mage Regan, of Miral Lake.\That day, everything changed.\That day, I suddenly found myself here.\That day, the Apocalypse descended on tens of thousands of people.\The Mage of Eternal Eyes, Regan, speaks regarding its secrets. response:	Shiroe learns the rules that govern the lives of adventurers.
context: I've come to speak with you tonight.\Who are you?\I am the mage Regan, of Miral Lake.\That day, everything changed.\That day, I suddenly found myself here.\That day, the Apocalypse descended on tens of thousands of people.\The Mage of Eternal Eyes, Regan, speaks regarding its secrets.\Shiroe learns the rules that govern the lives of adventurers. response:	World Fraction
context: Who are you?\I am the mage Regan, of Miral Lake.\That day, everything changed.\That day, I suddenly found myself here.\That day, the Apocalypse descended on tens of thousands of people.\The Mage of Eternal Eyes, Regan, speaks regarding its secrets.\Shiroe learns the rules that govern the lives of adventurers.\World Fraction response:	Next time: World Fraction.
context: I am the mage Regan, of Miral Lake.\That day, everything changed.\That day, I suddenly found myself here.\That day, the Apocalypse descended on tens of thousands of people.\The Mage of Eternal Eyes, Regan, speaks regarding its secrets.\Shiroe learns the rules that govern the lives of adventurers.\World Fraction\Next time: World Fraction. response:	Always look thirty seconds ahead.
