context: Jeez, who's here this late? response:	What do you want?
context: I missed you, Pine.\Pine!\All right, Chiyoko.\I was wrong.\I was about to give up on everything.\I thought there was nothing else we could do.\But that's not true.\That's not it... response:	That's not it at all.
context: Pine!\All right, Chiyoko.\I was wrong.\I was about to give up on everything.\I thought there was nothing else we could do.\But that's not true.\That's not it...\That's not it at all. response:	There's nothing in this world that we can't do anything about.
context: All right, Chiyoko.\I was wrong.\I was about to give up on everything.\I thought there was nothing else we could do.\But that's not true.\That's not it...\That's not it at all.\There's nothing in this world that we can't do anything about. response:	I'll lay down the third rail.
context: I was wrong.\I was about to give up on everything.\I thought there was nothing else we could do.\But that's not true.\That's not it...\That's not it at all.\There's nothing in this world that we can't do anything about.\I'll lay down the third rail. response:	I'll make a new future.
context: I was about to give up on everything.\I thought there was nothing else we could do.\But that's not true.\That's not it...\That's not it at all.\There's nothing in this world that we can't do anything about.\I'll lay down the third rail.\I'll make a new future. response:	A new future?
context: I thought there was nothing else we could do.\But that's not true.\That's not it...\That's not it at all.\There's nothing in this world that we can't do anything about.\I'll lay down the third rail.\I'll make a new future.\A new future? response:	Yeah, a super happy and peaceful one.
context: But that's not true.\That's not it...\That's not it at all.\There's nothing in this world that we can't do anything about.\I'll lay down the third rail.\I'll make a new future.\A new future?\Yeah, a super happy and peaceful one. response:	What are you talking about?
context: That's not it...\That's not it at all.\There's nothing in this world that we can't do anything about.\I'll lay down the third rail.\I'll make a new future.\A new future?\Yeah, a super happy and peaceful one.\What are you talking about? response:	Anyway, don't worry.
context: That's not it at all.\There's nothing in this world that we can't do anything about.\I'll lay down the third rail.\I'll make a new future.\A new future?\Yeah, a super happy and peaceful one.\What are you talking about?\Anyway, don't worry. response:	I swear I'll protect you.
context: There's nothing in this world that we can't do anything about.\I'll lay down the third rail.\I'll make a new future.\A new future?\Yeah, a super happy and peaceful one.\What are you talking about?\Anyway, don't worry.\I swear I'll protect you. response:	And Meika, and Rabura, and Ito, and Muhi.
context: I'll lay down the third rail.\I'll make a new future.\A new future?\Yeah, a super happy and peaceful one.\What are you talking about?\Anyway, don't worry.\I swear I'll protect you.\And Meika, and Rabura, and Ito, and Muhi. response:	All life on Earth.
context: I'll make a new future.\A new future?\Yeah, a super happy and peaceful one.\What are you talking about?\Anyway, don't worry.\I swear I'll protect you.\And Meika, and Rabura, and Ito, and Muhi.\All life on Earth. response:	I'll protect
context: A new future?\Yeah, a super happy and peaceful one.\What are you talking about?\Anyway, don't worry.\I swear I'll protect you.\And Meika, and Rabura, and Ito, and Muhi.\All life on Earth.\I'll protect response:	all of it.
context: Yeah, a super happy and peaceful one.\What are you talking about?\Anyway, don't worry.\I swear I'll protect you.\And Meika, and Rabura, and Ito, and Muhi.\All life on Earth.\I'll protect\all of it. response:	And Guri-chan?
context: What are you talking about?\Anyway, don't worry.\I swear I'll protect you.\And Meika, and Rabura, and Ito, and Muhi.\All life on Earth.\I'll protect\all of it.\And Guri-chan? response:	You'll protect Guri-chan, too, right?
context: Anyway, don't worry.\I swear I'll protect you.\And Meika, and Rabura, and Ito, and Muhi.\All life on Earth.\I'll protect\all of it.\And Guri-chan?\You'll protect Guri-chan, too, right? response:	Yuta, this history is a mistake.
context: I swear I'll protect you.\And Meika, and Rabura, and Ito, and Muhi.\All life on Earth.\I'll protect\all of it.\And Guri-chan?\You'll protect Guri-chan, too, right?\Yuta, this history is a mistake. response:	It's a future that mustn't happen.
context: And Meika, and Rabura, and Ito, and Muhi.\All life on Earth.\I'll protect\all of it.\And Guri-chan?\You'll protect Guri-chan, too, right?\Yuta, this history is a mistake.\It's a future that mustn't happen. response:	Change this history.
context: All life on Earth.\I'll protect\all of it.\And Guri-chan?\You'll protect Guri-chan, too, right?\Yuta, this history is a mistake.\It's a future that mustn't happen.\Change this history. response:	Many of me have attempted it and made the same mistakes.
context: I'll protect\all of it.\And Guri-chan?\You'll protect Guri-chan, too, right?\Yuta, this history is a mistake.\It's a future that mustn't happen.\Change this history.\Many of me have attempted it and made the same mistakes. response:	Still, I leave my hopes with you.
context: all of it.\And Guri-chan?\You'll protect Guri-chan, too, right?\Yuta, this history is a mistake.\It's a future that mustn't happen.\Change this history.\Many of me have attempted it and made the same mistakes.\Still, I leave my hopes with you. response:	No, all of our hopes.
context: And Guri-chan?\You'll protect Guri-chan, too, right?\Yuta, this history is a mistake.\It's a future that mustn't happen.\Change this history.\Many of me have attempted it and made the same mistakes.\Still, I leave my hopes with you.\No, all of our hopes. response:	You're going to change destiny. History, Yuta!
context: You'll protect Guri-chan, too, right?\Yuta, this history is a mistake.\It's a future that mustn't happen.\Change this history.\Many of me have attempted it and made the same mistakes.\Still, I leave my hopes with you.\No, all of our hopes.\You're going to change destiny. History, Yuta! response:	Hey, don't just bust in like that!
context: Yuta, this history is a mistake.\It's a future that mustn't happen.\Change this history.\Many of me have attempted it and made the same mistakes.\Still, I leave my hopes with you.\No, all of our hopes.\You're going to change destiny. History, Yuta!\Hey, don't just bust in like that! response:	Sorry, but we have an emergency.
context: It's a future that mustn't happen.\Change this history.\Many of me have attempted it and made the same mistakes.\Still, I leave my hopes with you.\No, all of our hopes.\You're going to change destiny. History, Yuta!\Hey, don't just bust in like that!\Sorry, but we have an emergency. response:	An emergency?
context: Change this history.\Many of me have attempted it and made the same mistakes.\Still, I leave my hopes with you.\No, all of our hopes.\You're going to change destiny. History, Yuta!\Hey, don't just bust in like that!\Sorry, but we have an emergency.\An emergency? response:	Pumpkin Chair, I need your help to save humanity.
context: Many of me have attempted it and made the same mistakes.\Still, I leave my hopes with you.\No, all of our hopes.\You're going to change destiny. History, Yuta!\Hey, don't just bust in like that!\Sorry, but we have an emergency.\An emergency?\Pumpkin Chair, I need your help to save humanity. response:	Iridatsu!
