context: If Crusch-sama's goal should be attained, response:	I'm sure it would suit your desires, Wilhelm-dono.
context: Huh?\You smell like blood, and not just from your lip.\Was your nose bleedy?\Now, Mimi, no getting into mischief.\'Kay!\I'm awful sorry she's been botherin' you.\Hmm? Aren't you...\Right, you're Natsuki-kun. response:	Emilia's knight, Natsuki Subaru-kun.
context: You smell like blood, and not just from your lip.\Was your nose bleedy?\Now, Mimi, no getting into mischief.\'Kay!\I'm awful sorry she's been botherin' you.\Hmm? Aren't you...\Right, you're Natsuki-kun.\Emilia's knight, Natsuki Subaru-kun. response:	Ain't this a coincidence?
context: Was your nose bleedy?\Now, Mimi, no getting into mischief.\'Kay!\I'm awful sorry she's been botherin' you.\Hmm? Aren't you...\Right, you're Natsuki-kun.\Emilia's knight, Natsuki Subaru-kun.\Ain't this a coincidence? response:	Anastasia Hoshin...
context: Now, Mimi, no getting into mischief.\'Kay!\I'm awful sorry she's been botherin' you.\Hmm? Aren't you...\Right, you're Natsuki-kun.\Emilia's knight, Natsuki Subaru-kun.\Ain't this a coincidence?\Anastasia Hoshin... response:	Let's eat!
context: 'Kay!\I'm awful sorry she's been botherin' you.\Hmm? Aren't you...\Right, you're Natsuki-kun.\Emilia's knight, Natsuki Subaru-kun.\Ain't this a coincidence?\Anastasia Hoshin...\Let's eat! response:	So, about the dragon-drawn carriage...
context: I'm awful sorry she's been botherin' you.\Hmm? Aren't you...\Right, you're Natsuki-kun.\Emilia's knight, Natsuki Subaru-kun.\Ain't this a coincidence?\Anastasia Hoshin...\Let's eat!\So, about the dragon-drawn carriage... response:	You don't beat around the bush.
context: Hmm? Aren't you...\Right, you're Natsuki-kun.\Emilia's knight, Natsuki Subaru-kun.\Ain't this a coincidence?\Anastasia Hoshin...\Let's eat!\So, about the dragon-drawn carriage...\You don't beat around the bush. response:	You won't make anyone happy by prioritizin' your own goals.
context: Right, you're Natsuki-kun.\Emilia's knight, Natsuki Subaru-kun.\Ain't this a coincidence?\Anastasia Hoshin...\Let's eat!\So, about the dragon-drawn carriage...\You don't beat around the bush.\You won't make anyone happy by prioritizin' your own goals. response:	Trying to get on the other's good side is the basic rule of negotiation.
context: Emilia's knight, Natsuki Subaru-kun.\Ain't this a coincidence?\Anastasia Hoshin...\Let's eat!\So, about the dragon-drawn carriage...\You don't beat around the bush.\You won't make anyone happy by prioritizin' your own goals.\Trying to get on the other's good side is the basic rule of negotiation. response:	That's where you're lackin', Natsuki-kun.
context: Ain't this a coincidence?\Anastasia Hoshin...\Let's eat!\So, about the dragon-drawn carriage...\You don't beat around the bush.\You won't make anyone happy by prioritizin' your own goals.\Trying to get on the other's good side is the basic rule of negotiation.\That's where you're lackin', Natsuki-kun. response:	Sorry, but I've got a real problem here.
context: Anastasia Hoshin...\Let's eat!\So, about the dragon-drawn carriage...\You don't beat around the bush.\You won't make anyone happy by prioritizin' your own goals.\Trying to get on the other's good side is the basic rule of negotiation.\That's where you're lackin', Natsuki-kun.\Sorry, but I've got a real problem here. response:	I want to leave the capital tomorrow, so...
context: Let's eat!\So, about the dragon-drawn carriage...\You don't beat around the bush.\You won't make anyone happy by prioritizin' your own goals.\Trying to get on the other's good side is the basic rule of negotiation.\That's where you're lackin', Natsuki-kun.\Sorry, but I've got a real problem here.\I want to leave the capital tomorrow, so... response:	When you're up against my kind,
context: So, about the dragon-drawn carriage...\You don't beat around the bush.\You won't make anyone happy by prioritizin' your own goals.\Trying to get on the other's good side is the basic rule of negotiation.\That's where you're lackin', Natsuki-kun.\Sorry, but I've got a real problem here.\I want to leave the capital tomorrow, so...\When you're up against my kind, response:	tryin' to appeal to sentimentality is the worst strategy there is.
context: You don't beat around the bush.\You won't make anyone happy by prioritizin' your own goals.\Trying to get on the other's good side is the basic rule of negotiation.\That's where you're lackin', Natsuki-kun.\Sorry, but I've got a real problem here.\I want to leave the capital tomorrow, so...\When you're up against my kind,\tryin' to appeal to sentimentality is the worst strategy there is. response:	But I applaud your effort.
context: You won't make anyone happy by prioritizin' your own goals.\Trying to get on the other's good side is the basic rule of negotiation.\That's where you're lackin', Natsuki-kun.\Sorry, but I've got a real problem here.\I want to leave the capital tomorrow, so...\When you're up against my kind,\tryin' to appeal to sentimentality is the worst strategy there is.\But I applaud your effort. response:	It's no easy task to find a dragon-drawn carriage in the capital right now.
context: Trying to get on the other's good side is the basic rule of negotiation.\That's where you're lackin', Natsuki-kun.\Sorry, but I've got a real problem here.\I want to leave the capital tomorrow, so...\When you're up against my kind,\tryin' to appeal to sentimentality is the worst strategy there is.\But I applaud your effort.\It's no easy task to find a dragon-drawn carriage in the capital right now. response:	Apparently, someone's buyin' up all of'em.
context: That's where you're lackin', Natsuki-kun.\Sorry, but I've got a real problem here.\I want to leave the capital tomorrow, so...\When you're up against my kind,\tryin' to appeal to sentimentality is the worst strategy there is.\But I applaud your effort.\It's no easy task to find a dragon-drawn carriage in the capital right now.\Apparently, someone's buyin' up all of'em. response:	Here. The place at this address should have a carriage left.
context: Sorry, but I've got a real problem here.\I want to leave the capital tomorrow, so...\When you're up against my kind,\tryin' to appeal to sentimentality is the worst strategy there is.\But I applaud your effort.\It's no easy task to find a dragon-drawn carriage in the capital right now.\Apparently, someone's buyin' up all of'em.\Here. The place at this address should have a carriage left. response:	I've signed it with my own name.
context: I want to leave the capital tomorrow, so...\When you're up against my kind,\tryin' to appeal to sentimentality is the worst strategy there is.\But I applaud your effort.\It's no easy task to find a dragon-drawn carriage in the capital right now.\Apparently, someone's buyin' up all of'em.\Here. The place at this address should have a carriage left.\I've signed it with my own name. response:	This'll square everything away.
context: When you're up against my kind,\tryin' to appeal to sentimentality is the worst strategy there is.\But I applaud your effort.\It's no easy task to find a dragon-drawn carriage in the capital right now.\Apparently, someone's buyin' up all of'em.\Here. The place at this address should have a carriage left.\I've signed it with my own name.\This'll square everything away. response:	Don't put on airs...
context: tryin' to appeal to sentimentality is the worst strategy there is.\But I applaud your effort.\It's no easy task to find a dragon-drawn carriage in the capital right now.\Apparently, someone's buyin' up all of'em.\Here. The place at this address should have a carriage left.\I've signed it with my own name.\This'll square everything away.\Don't put on airs... response:	I surely will put on airs.
context: But I applaud your effort.\It's no easy task to find a dragon-drawn carriage in the capital right now.\Apparently, someone's buyin' up all of'em.\Here. The place at this address should have a carriage left.\I've signed it with my own name.\This'll square everything away.\Don't put on airs...\I surely will put on airs. response:	It's no fun if I just hand it to ya normally, right?
context: It's no easy task to find a dragon-drawn carriage in the capital right now.\Apparently, someone's buyin' up all of'em.\Here. The place at this address should have a carriage left.\I've signed it with my own name.\This'll square everything away.\Don't put on airs...\I surely will put on airs.\It's no fun if I just hand it to ya normally, right? response:	I just wanted to chat with ya about this an' that.
context: Apparently, someone's buyin' up all of'em.\Here. The place at this address should have a carriage left.\I've signed it with my own name.\This'll square everything away.\Don't put on airs...\I surely will put on airs.\It's no fun if I just hand it to ya normally, right?\I just wanted to chat with ya about this an' that. response:	Why bother with that? You don't gain anything from it.
context: Here. The place at this address should have a carriage left.\I've signed it with my own name.\This'll square everything away.\Don't put on airs...\I surely will put on airs.\It's no fun if I just hand it to ya normally, right?\I just wanted to chat with ya about this an' that.\Why bother with that? You don't gain anything from it. response:	I believe there's nothin' in this world that has no meaning.
context: I've signed it with my own name.\This'll square everything away.\Don't put on airs...\I surely will put on airs.\It's no fun if I just hand it to ya normally, right?\I just wanted to chat with ya about this an' that.\Why bother with that? You don't gain anything from it.\I believe there's nothin' in this world that has no meaning. response:	You never know who might give ya some inspiration.
context: This'll square everything away.\Don't put on airs...\I surely will put on airs.\It's no fun if I just hand it to ya normally, right?\I just wanted to chat with ya about this an' that.\Why bother with that? You don't gain anything from it.\I believe there's nothin' in this world that has no meaning.\You never know who might give ya some inspiration. response:	What do we talk about?
context: Don't put on airs...\I surely will put on airs.\It's no fun if I just hand it to ya normally, right?\I just wanted to chat with ya about this an' that.\Why bother with that? You don't gain anything from it.\I believe there's nothin' in this world that has no meaning.\You never know who might give ya some inspiration.\What do we talk about? response:	Hey, my lady,
context: I surely will put on airs.\It's no fun if I just hand it to ya normally, right?\I just wanted to chat with ya about this an' that.\Why bother with that? You don't gain anything from it.\I believe there's nothin' in this world that has no meaning.\You never know who might give ya some inspiration.\What do we talk about?\Hey, my lady, response:	I wanna eat some more!
context: It's no fun if I just hand it to ya normally, right?\I just wanted to chat with ya about this an' that.\Why bother with that? You don't gain anything from it.\I believe there's nothin' in this world that has no meaning.\You never know who might give ya some inspiration.\What do we talk about?\Hey, my lady,\I wanna eat some more! response:	Can I order?
context: I just wanted to chat with ya about this an' that.\Why bother with that? You don't gain anything from it.\I believe there's nothin' in this world that has no meaning.\You never know who might give ya some inspiration.\What do we talk about?\Hey, my lady,\I wanna eat some more!\Can I order? response:	Sure. Eat all ya like.
context: Why bother with that? You don't gain anything from it.\I believe there's nothin' in this world that has no meaning.\You never know who might give ya some inspiration.\What do we talk about?\Hey, my lady,\I wanna eat some more!\Can I order?\Sure. Eat all ya like. response:	Oh, but don't get your mouth all messy with sauce.
context: I believe there's nothin' in this world that has no meaning.\You never know who might give ya some inspiration.\What do we talk about?\Hey, my lady,\I wanna eat some more!\Can I order?\Sure. Eat all ya like.\Oh, but don't get your mouth all messy with sauce. response:	Wipe my face, please!
context: You never know who might give ya some inspiration.\What do we talk about?\Hey, my lady,\I wanna eat some more!\Can I order?\Sure. Eat all ya like.\Oh, but don't get your mouth all messy with sauce.\Wipe my face, please! response:	Yay! I'll be back!
context: What do we talk about?\Hey, my lady,\I wanna eat some more!\Can I order?\Sure. Eat all ya like.\Oh, but don't get your mouth all messy with sauce.\Wipe my face, please!\Yay! I'll be back! response:	Despite her looks,
context: Hey, my lady,\I wanna eat some more!\Can I order?\Sure. Eat all ya like.\Oh, but don't get your mouth all messy with sauce.\Wipe my face, please!\Yay! I'll be back!\Despite her looks, response:	she's second-in-command in my private army.
context: I wanna eat some more!\Can I order?\Sure. Eat all ya like.\Oh, but don't get your mouth all messy with sauce.\Wipe my face, please!\Yay! I'll be back!\Despite her looks,\she's second-in-command in my private army. response:	Private army?
context: Can I order?\Sure. Eat all ya like.\Oh, but don't get your mouth all messy with sauce.\Wipe my face, please!\Yay! I'll be back!\Despite her looks,\she's second-in-command in my private army.\Private army? response:	Um, um, I want this, too! And also, um, um...
context: Sure. Eat all ya like.\Oh, but don't get your mouth all messy with sauce.\Wipe my face, please!\Yay! I'll be back!\Despite her looks,\she's second-in-command in my private army.\Private army?\Um, um, I want this, too! And also, um, um... response:	It's quite famous in Kararagi.
context: Oh, but don't get your mouth all messy with sauce.\Wipe my face, please!\Yay! I'll be back!\Despite her looks,\she's second-in-command in my private army.\Private army?\Um, um, I want this, too! And also, um, um...\It's quite famous in Kararagi. response:	The Hoshin Company's personal mercenary squad, Iron Fang.
context: Wipe my face, please!\Yay! I'll be back!\Despite her looks,\she's second-in-command in my private army.\Private army?\Um, um, I want this, too! And also, um, um...\It's quite famous in Kararagi.\The Hoshin Company's personal mercenary squad, Iron Fang. response:	Ain't she super cute?
context: Yay! I'll be back!\Despite her looks,\she's second-in-command in my private army.\Private army?\Um, um, I want this, too! And also, um, um...\It's quite famous in Kararagi.\The Hoshin Company's personal mercenary squad, Iron Fang.\Ain't she super cute? response:	Nothing beats sleepin' with her in your arms!
context: Despite her looks,\she's second-in-command in my private army.\Private army?\Um, um, I want this, too! And also, um, um...\It's quite famous in Kararagi.\The Hoshin Company's personal mercenary squad, Iron Fang.\Ain't she super cute?\Nothing beats sleepin' with her in your arms! response:	Lately, lots of people have been gatherin' in the capital.
context: she's second-in-command in my private army.\Private army?\Um, um, I want this, too! And also, um, um...\It's quite famous in Kararagi.\The Hoshin Company's personal mercenary squad, Iron Fang.\Ain't she super cute?\Nothing beats sleepin' with her in your arms!\Lately, lots of people have been gatherin' in the capital. response:	Have you noticed the atmosphere's different now, Natsuki-kun?
context: Private army?\Um, um, I want this, too! And also, um, um...\It's quite famous in Kararagi.\The Hoshin Company's personal mercenary squad, Iron Fang.\Ain't she super cute?\Nothing beats sleepin' with her in your arms!\Lately, lots of people have been gatherin' in the capital.\Have you noticed the atmosphere's different now, Natsuki-kun? response:	Now that you mention it, everyone did seem to be in a frenzy.
context: Um, um, I want this, too! And also, um, um...\It's quite famous in Kararagi.\The Hoshin Company's personal mercenary squad, Iron Fang.\Ain't she super cute?\Nothing beats sleepin' with her in your arms!\Lately, lots of people have been gatherin' in the capital.\Have you noticed the atmosphere's different now, Natsuki-kun?\Now that you mention it, everyone did seem to be in a frenzy. response:	Because of the royal selection?
context: It's quite famous in Kararagi.\The Hoshin Company's personal mercenary squad, Iron Fang.\Ain't she super cute?\Nothing beats sleepin' with her in your arms!\Lately, lots of people have been gatherin' in the capital.\Have you noticed the atmosphere's different now, Natsuki-kun?\Now that you mention it, everyone did seem to be in a frenzy.\Because of the royal selection? response:	When those on top move, the people move.
context: The Hoshin Company's personal mercenary squad, Iron Fang.\Ain't she super cute?\Nothing beats sleepin' with her in your arms!\Lately, lots of people have been gatherin' in the capital.\Have you noticed the atmosphere's different now, Natsuki-kun?\Now that you mention it, everyone did seem to be in a frenzy.\Because of the royal selection?\When those on top move, the people move. response:	When the people move, things move.
context: Ain't she super cute?\Nothing beats sleepin' with her in your arms!\Lately, lots of people have been gatherin' in the capital.\Have you noticed the atmosphere's different now, Natsuki-kun?\Now that you mention it, everyone did seem to be in a frenzy.\Because of the royal selection?\When those on top move, the people move.\When the people move, things move. response:	By the way, the value of things in the capital is fluctuatin' a lot now.
context: Nothing beats sleepin' with her in your arms!\Lately, lots of people have been gatherin' in the capital.\Have you noticed the atmosphere's different now, Natsuki-kun?\Now that you mention it, everyone did seem to be in a frenzy.\Because of the royal selection?\When those on top move, the people move.\When the people move, things move.\By the way, the value of things in the capital is fluctuatin' a lot now. response:	Some of the most valuable products are iron goods.
context: Lately, lots of people have been gatherin' in the capital.\Have you noticed the atmosphere's different now, Natsuki-kun?\Now that you mention it, everyone did seem to be in a frenzy.\Because of the royal selection?\When those on top move, the people move.\When the people move, things move.\By the way, the value of things in the capital is fluctuatin' a lot now.\Some of the most valuable products are iron goods. response:	Weapons, like swords and spears, are bein' gathered from both inside and outside.
context: Have you noticed the atmosphere's different now, Natsuki-kun?\Now that you mention it, everyone did seem to be in a frenzy.\Because of the royal selection?\When those on top move, the people move.\When the people move, things move.\By the way, the value of things in the capital is fluctuatin' a lot now.\Some of the most valuable products are iron goods.\Weapons, like swords and spears, are bein' gathered from both inside and outside. response:	Iron and weapons?
context: Now that you mention it, everyone did seem to be in a frenzy.\Because of the royal selection?\When those on top move, the people move.\When the people move, things move.\By the way, the value of things in the capital is fluctuatin' a lot now.\Some of the most valuable products are iron goods.\Weapons, like swords and spears, are bein' gathered from both inside and outside.\Iron and weapons? response:	They're not planning to go to war with those things, are they?
context: Because of the royal selection?\When those on top move, the people move.\When the people move, things move.\By the way, the value of things in the capital is fluctuatin' a lot now.\Some of the most valuable products are iron goods.\Weapons, like swords and spears, are bein' gathered from both inside and outside.\Iron and weapons?\They're not planning to go to war with those things, are they? response:	It's also possible their objective isn't to acquire the items,
context: When those on top move, the people move.\When the people move, things move.\By the way, the value of things in the capital is fluctuatin' a lot now.\Some of the most valuable products are iron goods.\Weapons, like swords and spears, are bein' gathered from both inside and outside.\Iron and weapons?\They're not planning to go to war with those things, are they?\It's also possible their objective isn't to acquire the items, response:	but gettin' the economy rolling.
context: When the people move, things move.\By the way, the value of things in the capital is fluctuatin' a lot now.\Some of the most valuable products are iron goods.\Weapons, like swords and spears, are bein' gathered from both inside and outside.\Iron and weapons?\They're not planning to go to war with those things, are they?\It's also possible their objective isn't to acquire the items,\but gettin' the economy rolling. response:	The way you said that...
context: By the way, the value of things in the capital is fluctuatin' a lot now.\Some of the most valuable products are iron goods.\Weapons, like swords and spears, are bein' gathered from both inside and outside.\Iron and weapons?\They're not planning to go to war with those things, are they?\It's also possible their objective isn't to acquire the items,\but gettin' the economy rolling.\The way you said that... response:	Is it well known who's gathering all this iron?
context: Some of the most valuable products are iron goods.\Weapons, like swords and spears, are bein' gathered from both inside and outside.\Iron and weapons?\They're not planning to go to war with those things, are they?\It's also possible their objective isn't to acquire the items,\but gettin' the economy rolling.\The way you said that...\Is it well known who's gathering all this iron? response:	It's someone you know well, Natsuki-kun.
context: Weapons, like swords and spears, are bein' gathered from both inside and outside.\Iron and weapons?\They're not planning to go to war with those things, are they?\It's also possible their objective isn't to acquire the items,\but gettin' the economy rolling.\The way you said that...\Is it well known who's gathering all this iron?\It's someone you know well, Natsuki-kun. response:	Duchess Crusch Karsten.
context: Iron and weapons?\They're not planning to go to war with those things, are they?\It's also possible their objective isn't to acquire the items,\but gettin' the economy rolling.\The way you said that...\Is it well known who's gathering all this iron?\It's someone you know well, Natsuki-kun.\Duchess Crusch Karsten. response:	It's Crusch?
context: They're not planning to go to war with those things, are they?\It's also possible their objective isn't to acquire the items,\but gettin' the economy rolling.\The way you said that...\Is it well known who's gathering all this iron?\It's someone you know well, Natsuki-kun.\Duchess Crusch Karsten.\It's Crusch? response:	Come to think of it, she did have a constant stream of visitors...
context: It's also possible their objective isn't to acquire the items,\but gettin' the economy rolling.\The way you said that...\Is it well known who's gathering all this iron?\It's someone you know well, Natsuki-kun.\Duchess Crusch Karsten.\It's Crusch?\Come to think of it, she did have a constant stream of visitors... response:	I get it.
context: but gettin' the economy rolling.\The way you said that...\Is it well known who's gathering all this iron?\It's someone you know well, Natsuki-kun.\Duchess Crusch Karsten.\It's Crusch?\Come to think of it, she did have a constant stream of visitors...\I get it. response:	That's why that Russell guy was there.
context: The way you said that...\Is it well known who's gathering all this iron?\It's someone you know well, Natsuki-kun.\Duchess Crusch Karsten.\It's Crusch?\Come to think of it, she did have a constant stream of visitors...\I get it.\That's why that Russell guy was there. response:	Russell Fellow?
context: Is it well known who's gathering all this iron?\It's someone you know well, Natsuki-kun.\Duchess Crusch Karsten.\It's Crusch?\Come to think of it, she did have a constant stream of visitors...\I get it.\That's why that Russell guy was there.\Russell Fellow? response:	He's quite a big fish.
context: It's someone you know well, Natsuki-kun.\Duchess Crusch Karsten.\It's Crusch?\Come to think of it, she did have a constant stream of visitors...\I get it.\That's why that Russell guy was there.\Russell Fellow?\He's quite a big fish. response:	This has been fairly informative.
context: Duchess Crusch Karsten.\It's Crusch?\Come to think of it, she did have a constant stream of visitors...\I get it.\That's why that Russell guy was there.\Russell Fellow?\He's quite a big fish.\This has been fairly informative. response:	Thank you, Natsuki-kun!
context: It's Crusch?\Come to think of it, she did have a constant stream of visitors...\I get it.\That's why that Russell guy was there.\Russell Fellow?\He's quite a big fish.\This has been fairly informative.\Thank you, Natsuki-kun! response:	After fightin' with Crusch-san last night, you just left her place, right?
context: Come to think of it, she did have a constant stream of visitors...\I get it.\That's why that Russell guy was there.\Russell Fellow?\He's quite a big fish.\This has been fairly informative.\Thank you, Natsuki-kun!\After fightin' with Crusch-san last night, you just left her place, right? response:	I figured it'd be easy to learn
context: I get it.\That's why that Russell guy was there.\Russell Fellow?\He's quite a big fish.\This has been fairly informative.\Thank you, Natsuki-kun!\After fightin' with Crusch-san last night, you just left her place, right?\I figured it'd be easy to learn response:	all sorts of information from your mouth, eyes, and expressions!
context: That's why that Russell guy was there.\Russell Fellow?\He's quite a big fish.\This has been fairly informative.\Thank you, Natsuki-kun!\After fightin' with Crusch-san last night, you just left her place, right?\I figured it'd be easy to learn\all sorts of information from your mouth, eyes, and expressions! response:	You set me up from the start?
context: Russell Fellow?\He's quite a big fish.\This has been fairly informative.\Thank you, Natsuki-kun!\After fightin' with Crusch-san last night, you just left her place, right?\I figured it'd be easy to learn\all sorts of information from your mouth, eyes, and expressions!\You set me up from the start? response:	Are you happy with yourself,
context: He's quite a big fish.\This has been fairly informative.\Thank you, Natsuki-kun!\After fightin' with Crusch-san last night, you just left her place, right?\I figured it'd be easy to learn\all sorts of information from your mouth, eyes, and expressions!\You set me up from the start?\Are you happy with yourself, response:	using underhanded methods like that?
context: This has been fairly informative.\Thank you, Natsuki-kun!\After fightin' with Crusch-san last night, you just left her place, right?\I figured it'd be easy to learn\all sorts of information from your mouth, eyes, and expressions!\You set me up from the start?\Are you happy with yourself,\using underhanded methods like that? response:	If ya want to convince someone you're righteous,
context: Thank you, Natsuki-kun!\After fightin' with Crusch-san last night, you just left her place, right?\I figured it'd be easy to learn\all sorts of information from your mouth, eyes, and expressions!\You set me up from the start?\Are you happy with yourself,\using underhanded methods like that?\If ya want to convince someone you're righteous, response:	you've gotta show somethin' to merit it.
context: After fightin' with Crusch-san last night, you just left her place, right?\I figured it'd be easy to learn\all sorts of information from your mouth, eyes, and expressions!\You set me up from the start?\Are you happy with yourself,\using underhanded methods like that?\If ya want to convince someone you're righteous,\you've gotta show somethin' to merit it. response:	And I see no such thing in you.
context: I figured it'd be easy to learn\all sorts of information from your mouth, eyes, and expressions!\You set me up from the start?\Are you happy with yourself,\using underhanded methods like that?\If ya want to convince someone you're righteous,\you've gotta show somethin' to merit it.\And I see no such thing in you. response:	The only way to change your reputation is to replace it with another.
context: all sorts of information from your mouth, eyes, and expressions!\You set me up from the start?\Are you happy with yourself,\using underhanded methods like that?\If ya want to convince someone you're righteous,\you've gotta show somethin' to merit it.\And I see no such thing in you.\The only way to change your reputation is to replace it with another. response:	The things you've done are what determine your reputation.
context: You set me up from the start?\Are you happy with yourself,\using underhanded methods like that?\If ya want to convince someone you're righteous,\you've gotta show somethin' to merit it.\And I see no such thing in you.\The only way to change your reputation is to replace it with another.\The things you've done are what determine your reputation. response:	That is, your past.
context: Are you happy with yourself,\using underhanded methods like that?\If ya want to convince someone you're righteous,\you've gotta show somethin' to merit it.\And I see no such thing in you.\The only way to change your reputation is to replace it with another.\The things you've done are what determine your reputation.\That is, your past. response:	And there's no way to change your past,
context: using underhanded methods like that?\If ya want to convince someone you're righteous,\you've gotta show somethin' to merit it.\And I see no such thing in you.\The only way to change your reputation is to replace it with another.\The things you've done are what determine your reputation.\That is, your past.\And there's no way to change your past, response:	so my opinion of ya isn't gonna change, either.
context: If ya want to convince someone you're righteous,\you've gotta show somethin' to merit it.\And I see no such thing in you.\The only way to change your reputation is to replace it with another.\The things you've done are what determine your reputation.\That is, your past.\And there's no way to change your past,\so my opinion of ya isn't gonna change, either. response:	The things you've done won't ever go away.
context: you've gotta show somethin' to merit it.\And I see no such thing in you.\The only way to change your reputation is to replace it with another.\The things you've done are what determine your reputation.\That is, your past.\And there's no way to change your past,\so my opinion of ya isn't gonna change, either.\The things you've done won't ever go away. response:	You don't wanna get any closer to my lady.
context: And I see no such thing in you.\The only way to change your reputation is to replace it with another.\The things you've done are what determine your reputation.\That is, your past.\And there's no way to change your past,\so my opinion of ya isn't gonna change, either.\The things you've done won't ever go away.\You don't wanna get any closer to my lady. response:	I'm super strong, you know.
context: The only way to change your reputation is to replace it with another.\The things you've done are what determine your reputation.\That is, your past.\And there's no way to change your past,\so my opinion of ya isn't gonna change, either.\The things you've done won't ever go away.\You don't wanna get any closer to my lady.\I'm super strong, you know. response:	Thanks, Mimi...
context: The things you've done are what determine your reputation.\That is, your past.\And there's no way to change your past,\so my opinion of ya isn't gonna change, either.\The things you've done won't ever go away.\You don't wanna get any closer to my lady.\I'm super strong, you know.\Thanks, Mimi... response:	But you don't have to do anything.
context: That is, your past.\And there's no way to change your past,\so my opinion of ya isn't gonna change, either.\The things you've done won't ever go away.\You don't wanna get any closer to my lady.\I'm super strong, you know.\Thanks, Mimi...\But you don't have to do anything. response:	There's nothin' Natsuki-kun can do, anyway.
context: And there's no way to change your past,\so my opinion of ya isn't gonna change, either.\The things you've done won't ever go away.\You don't wanna get any closer to my lady.\I'm super strong, you know.\Thanks, Mimi...\But you don't have to do anything.\There's nothin' Natsuki-kun can do, anyway. response:	Both of you are absolute scum!
context: so my opinion of ya isn't gonna change, either.\The things you've done won't ever go away.\You don't wanna get any closer to my lady.\I'm super strong, you know.\Thanks, Mimi...\But you don't have to do anything.\There's nothin' Natsuki-kun can do, anyway.\Both of you are absolute scum! response:	Screw you both!
context: The things you've done won't ever go away.\You don't wanna get any closer to my lady.\I'm super strong, you know.\Thanks, Mimi...\But you don't have to do anything.\There's nothin' Natsuki-kun can do, anyway.\Both of you are absolute scum!\Screw you both! response:	I guess Julius's efforts went to waste...
context: You don't wanna get any closer to my lady.\I'm super strong, you know.\Thanks, Mimi...\But you don't have to do anything.\There's nothin' Natsuki-kun can do, anyway.\Both of you are absolute scum!\Screw you both!\I guess Julius's efforts went to waste... response:	It's partly my fault, though.
context: I'm super strong, you know.\Thanks, Mimi...\But you don't have to do anything.\There's nothin' Natsuki-kun can do, anyway.\Both of you are absolute scum!\Screw you both!\I guess Julius's efforts went to waste...\It's partly my fault, though. response:	I guess not even you would do something that dumb.
context: Thanks, Mimi...\But you don't have to do anything.\There's nothin' Natsuki-kun can do, anyway.\Both of you are absolute scum!\Screw you both!\I guess Julius's efforts went to waste...\It's partly my fault, though.\I guess not even you would do something that dumb. response:	I'm relieved.
context: But you don't have to do anything.\There's nothin' Natsuki-kun can do, anyway.\Both of you are absolute scum!\Screw you both!\I guess Julius's efforts went to waste...\It's partly my fault, though.\I guess not even you would do something that dumb.\I'm relieved. response:	Mimi, let's go.
context: There's nothin' Natsuki-kun can do, anyway.\Both of you are absolute scum!\Screw you both!\I guess Julius's efforts went to waste...\It's partly my fault, though.\I guess not even you would do something that dumb.\I'm relieved.\Mimi, let's go. response:	'Kay!
context: Both of you are absolute scum!\Screw you both!\I guess Julius's efforts went to waste...\It's partly my fault, though.\I guess not even you would do something that dumb.\I'm relieved.\Mimi, let's go.\'Kay! response:	One last thing.
context: Screw you both!\I guess Julius's efforts went to waste...\It's partly my fault, though.\I guess not even you would do something that dumb.\I'm relieved.\Mimi, let's go.\'Kay!\One last thing. response:	The key to negotiation is how prepared you are before ya come to the table.
context: I guess Julius's efforts went to waste...\It's partly my fault, though.\I guess not even you would do something that dumb.\I'm relieved.\Mimi, let's go.\'Kay!\One last thing.\The key to negotiation is how prepared you are before ya come to the table. response:	Know what the other person wants, and dangle it in front of'em.
context: It's partly my fault, though.\I guess not even you would do something that dumb.\I'm relieved.\Mimi, let's go.\'Kay!\One last thing.\The key to negotiation is how prepared you are before ya come to the table.\Know what the other person wants, and dangle it in front of'em. response:	And since all you do is want, that's where you're lacking.
context: I guess not even you would do something that dumb.\I'm relieved.\Mimi, let's go.\'Kay!\One last thing.\The key to negotiation is how prepared you are before ya come to the table.\Know what the other person wants, and dangle it in front of'em.\And since all you do is want, that's where you're lacking. response:	Now, shall we go, everyone?
context: I'm relieved.\Mimi, let's go.\'Kay!\One last thing.\The key to negotiation is how prepared you are before ya come to the table.\Know what the other person wants, and dangle it in front of'em.\And since all you do is want, that's where you're lacking.\Now, shall we go, everyone? response:	See ya later!
context: Mimi, let's go.\'Kay!\One last thing.\The key to negotiation is how prepared you are before ya come to the table.\Know what the other person wants, and dangle it in front of'em.\And since all you do is want, that's where you're lacking.\Now, shall we go, everyone?\See ya later! response:	Bye-bye!
context: 'Kay!\One last thing.\The key to negotiation is how prepared you are before ya come to the table.\Know what the other person wants, and dangle it in front of'em.\And since all you do is want, that's where you're lacking.\Now, shall we go, everyone?\See ya later!\Bye-bye! response:	Damn it!
context: One last thing.\The key to negotiation is how prepared you are before ya come to the table.\Know what the other person wants, and dangle it in front of'em.\And since all you do is want, that's where you're lacking.\Now, shall we go, everyone?\See ya later!\Bye-bye!\Damn it! response:	Subaru-kun, what's wrong?
context: The key to negotiation is how prepared you are before ya come to the table.\Know what the other person wants, and dangle it in front of'em.\And since all you do is want, that's where you're lacking.\Now, shall we go, everyone?\See ya later!\Bye-bye!\Damn it!\Subaru-kun, what's wrong? response:	Did something happen?
