context: E-Excuse me. response:	Club Application
context: Guys.\In the parking lot...\You're so eager. You're even previewing the course.\I'm sorry I called you plebs once.\Should you be loafing around here?\I'm waiting for Group B to arrive.\I'm in Group A.\He's a regular? response:	Yeah.
context: In the parking lot...\You're so eager. You're even previewing the course.\I'm sorry I called you plebs once.\Should you be loafing around here?\I'm waiting for Group B to arrive.\I'm in Group A.\He's a regular?\Yeah. response:	Oh, yeah. That qualifier.
context: You're so eager. You're even previewing the course.\I'm sorry I called you plebs once.\Should you be loafing around here?\I'm waiting for Group B to arrive.\I'm in Group A.\He's a regular?\Yeah.\Oh, yeah. That qualifier. response:	It's amazing that you were neck and neck with Iwanki.
context: I'm sorry I called you plebs once.\Should you be loafing around here?\I'm waiting for Group B to arrive.\I'm in Group A.\He's a regular?\Yeah.\Oh, yeah. That qualifier.\It's amazing that you were neck and neck with Iwanki. response:	I bet you could run the real thing right now.
context: Should you be loafing around here?\I'm waiting for Group B to arrive.\I'm in Group A.\He's a regular?\Yeah.\Oh, yeah. That qualifier.\It's amazing that you were neck and neck with Iwanki.\I bet you could run the real thing right now. response:	That's not true.
context: I'm waiting for Group B to arrive.\I'm in Group A.\He's a regular?\Yeah.\Oh, yeah. That qualifier.\It's amazing that you were neck and neck with Iwanki.\I bet you could run the real thing right now.\That's not true. response:	So modest.
context: I'm in Group A.\He's a regular?\Yeah.\Oh, yeah. That qualifier.\It's amazing that you were neck and neck with Iwanki.\I bet you could run the real thing right now.\That's not true.\So modest. response:	What are you guys doing?
context: He's a regular?\Yeah.\Oh, yeah. That qualifier.\It's amazing that you were neck and neck with Iwanki.\I bet you could run the real thing right now.\That's not true.\So modest.\What are you guys doing? response:	You're all here.
context: Yeah.\Oh, yeah. That qualifier.\It's amazing that you were neck and neck with Iwanki.\I bet you could run the real thing right now.\That's not true.\So modest.\What are you guys doing?\You're all here. response:	We were just talking...
context: Oh, yeah. That qualifier.\It's amazing that you were neck and neck with Iwanki.\I bet you could run the real thing right now.\That's not true.\So modest.\What are you guys doing?\You're all here.\We were just talking... response:	I mean, no matter how much you practice, you only have ten runners.
context: It's amazing that you were neck and neck with Iwanki.\I bet you could run the real thing right now.\That's not true.\So modest.\What are you guys doing?\You're all here.\We were just talking...\I mean, no matter how much you practice, you only have ten runners. response:	If even one of you caught a cold...
context: I bet you could run the real thing right now.\That's not true.\So modest.\What are you guys doing?\You're all here.\We were just talking...\I mean, no matter how much you practice, you only have ten runners.\If even one of you caught a cold... response:	And even if you run like crazy and finish in the top ten,
context: That's not true.\So modest.\What are you guys doing?\You're all here.\We were just talking...\I mean, no matter how much you practice, you only have ten runners.\If even one of you caught a cold...\And even if you run like crazy and finish in the top ten, response:	your oldest runners will graduate.
context: So modest.\What are you guys doing?\You're all here.\We were just talking...\I mean, no matter how much you practice, you only have ten runners.\If even one of you caught a cold...\And even if you run like crazy and finish in the top ten,\your oldest runners will graduate. response:	There's no point in earning a seed for next year if you don't have enough runners.
context: What are you guys doing?\You're all here.\We were just talking...\I mean, no matter how much you practice, you only have ten runners.\If even one of you caught a cold...\And even if you run like crazy and finish in the top ten,\your oldest runners will graduate.\There's no point in earning a seed for next year if you don't have enough runners. response:	Don't you wonder what you're running for?
context: You're all here.\We were just talking...\I mean, no matter how much you practice, you only have ten runners.\If even one of you caught a cold...\And even if you run like crazy and finish in the top ten,\your oldest runners will graduate.\There's no point in earning a seed for next year if you don't have enough runners.\Don't you wonder what you're running for? response:	It must be hard to stay motivated.
context: We were just talking...\I mean, no matter how much you practice, you only have ten runners.\If even one of you caught a cold...\And even if you run like crazy and finish in the top ten,\your oldest runners will graduate.\There's no point in earning a seed for next year if you don't have enough runners.\Don't you wonder what you're running for?\It must be hard to stay motivated. response:	Hey, Sakaki!
context: I mean, no matter how much you practice, you only have ten runners.\If even one of you caught a cold...\And even if you run like crazy and finish in the top ten,\your oldest runners will graduate.\There's no point in earning a seed for next year if you don't have enough runners.\Don't you wonder what you're running for?\It must be hard to stay motivated.\Hey, Sakaki! response:	Group B is here!
context: If even one of you caught a cold...\And even if you run like crazy and finish in the top ten,\your oldest runners will graduate.\There's no point in earning a seed for next year if you don't have enough runners.\Don't you wonder what you're running for?\It must be hard to stay motivated.\Hey, Sakaki!\Group B is here! response:	Got it!
context: And even if you run like crazy and finish in the top ten,\your oldest runners will graduate.\There's no point in earning a seed for next year if you don't have enough runners.\Don't you wonder what you're running for?\It must be hard to stay motivated.\Hey, Sakaki!\Group B is here!\Got it! response:	See you somewhere on the course.
context: your oldest runners will graduate.\There's no point in earning a seed for next year if you don't have enough runners.\Don't you wonder what you're running for?\It must be hard to stay motivated.\Hey, Sakaki!\Group B is here!\Got it!\See you somewhere on the course. response:	You sure you guys aren't connected by a red string of fate?
context: There's no point in earning a seed for next year if you don't have enough runners.\Don't you wonder what you're running for?\It must be hard to stay motivated.\Hey, Sakaki!\Group B is here!\Got it!\See you somewhere on the course.\You sure you guys aren't connected by a red string of fate? response:	In some ways, he's diligent.
context: Don't you wonder what you're running for?\It must be hard to stay motivated.\Hey, Sakaki!\Group B is here!\Got it!\See you somewhere on the course.\You sure you guys aren't connected by a red string of fate?\In some ways, he's diligent. response:	Don't mind him.
context: It must be hard to stay motivated.\Hey, Sakaki!\Group B is here!\Got it!\See you somewhere on the course.\You sure you guys aren't connected by a red string of fate?\In some ways, he's diligent.\Don't mind him. response:	Consider it progress that no one responded.
context: Hey, Sakaki!\Group B is here!\Got it!\See you somewhere on the course.\You sure you guys aren't connected by a red string of fate?\In some ways, he's diligent.\Don't mind him.\Consider it progress that no one responded. response:	I can't!
context: Group B is here!\Got it!\See you somewhere on the course.\You sure you guys aren't connected by a red string of fate?\In some ways, he's diligent.\Don't mind him.\Consider it progress that no one responded.\I can't! response:	I am bothered!
context: Got it!\See you somewhere on the course.\You sure you guys aren't connected by a red string of fate?\In some ways, he's diligent.\Don't mind him.\Consider it progress that no one responded.\I can't!\I am bothered! response:	Why didn't you talk back to him?
context: See you somewhere on the course.\You sure you guys aren't connected by a red string of fate?\In some ways, he's diligent.\Don't mind him.\Consider it progress that no one responded.\I can't!\I am bothered!\Why didn't you talk back to him? response:	Tell us why you run!
context: You sure you guys aren't connected by a red string of fate?\In some ways, he's diligent.\Don't mind him.\Consider it progress that no one responded.\I can't!\I am bothered!\Why didn't you talk back to him?\Tell us why you run! response:	I told you, I'm searching for that answer right now.
context: In some ways, he's diligent.\Don't mind him.\Consider it progress that no one responded.\I can't!\I am bothered!\Why didn't you talk back to him?\Tell us why you run!\I told you, I'm searching for that answer right now. response:	Let's go somewhere else.
context: Don't mind him.\Consider it progress that no one responded.\I can't!\I am bothered!\Why didn't you talk back to him?\Tell us why you run!\I told you, I'm searching for that answer right now.\Let's go somewhere else. response:	Sakaki was probably trying to say
context: Consider it progress that no one responded.\I can't!\I am bothered!\Why didn't you talk back to him?\Tell us why you run!\I told you, I'm searching for that answer right now.\Let's go somewhere else.\Sakaki was probably trying to say response:	that improving yourself by competing against strong runners from strong schools
context: I can't!\I am bothered!\Why didn't you talk back to him?\Tell us why you run!\I told you, I'm searching for that answer right now.\Let's go somewhere else.\Sakaki was probably trying to say\that improving yourself by competing against strong runners from strong schools response:	is how an athlete should be and is a reason to run.
context: I am bothered!\Why didn't you talk back to him?\Tell us why you run!\I told you, I'm searching for that answer right now.\Let's go somewhere else.\Sakaki was probably trying to say\that improving yourself by competing against strong runners from strong schools\is how an athlete should be and is a reason to run. response:	But is he right?
context: Why didn't you talk back to him?\Tell us why you run!\I told you, I'm searching for that answer right now.\Let's go somewhere else.\Sakaki was probably trying to say\that improving yourself by competing against strong runners from strong schools\is how an athlete should be and is a reason to run.\But is he right? response:	Can you say what we're doing is wrong?
context: Tell us why you run!\I told you, I'm searching for that answer right now.\Let's go somewhere else.\Sakaki was probably trying to say\that improving yourself by competing against strong runners from strong schools\is how an athlete should be and is a reason to run.\But is he right?\Can you say what we're doing is wrong? response:	It's true that we need every one of us. There's no arguing that.
context: I told you, I'm searching for that answer right now.\Let's go somewhere else.\Sakaki was probably trying to say\that improving yourself by competing against strong runners from strong schools\is how an athlete should be and is a reason to run.\But is he right?\Can you say what we're doing is wrong?\It's true that we need every one of us. There's no arguing that. response:	I don't know what will happen next year or the year after that.
context: Let's go somewhere else.\Sakaki was probably trying to say\that improving yourself by competing against strong runners from strong schools\is how an athlete should be and is a reason to run.\But is he right?\Can you say what we're doing is wrong?\It's true that we need every one of us. There's no arguing that.\I don't know what will happen next year or the year after that. response:	I'm sure those who empathize with us will follow.
context: Sakaki was probably trying to say\that improving yourself by competing against strong runners from strong schools\is how an athlete should be and is a reason to run.\But is he right?\Can you say what we're doing is wrong?\It's true that we need every one of us. There's no arguing that.\I don't know what will happen next year or the year after that.\I'm sure those who empathize with us will follow. response:	All I can do is believe in that and run as hard as I can right now.
context: that improving yourself by competing against strong runners from strong schools\is how an athlete should be and is a reason to run.\But is he right?\Can you say what we're doing is wrong?\It's true that we need every one of us. There's no arguing that.\I don't know what will happen next year or the year after that.\I'm sure those who empathize with us will follow.\All I can do is believe in that and run as hard as I can right now. response:	So there's no need to respond to him.
context: is how an athlete should be and is a reason to run.\But is he right?\Can you say what we're doing is wrong?\It's true that we need every one of us. There's no arguing that.\I don't know what will happen next year or the year after that.\I'm sure those who empathize with us will follow.\All I can do is believe in that and run as hard as I can right now.\So there's no need to respond to him. response:	All we can do is acknowledge his points and move forward despite them.
context: But is he right?\Can you say what we're doing is wrong?\It's true that we need every one of us. There's no arguing that.\I don't know what will happen next year or the year after that.\I'm sure those who empathize with us will follow.\All I can do is believe in that and run as hard as I can right now.\So there's no need to respond to him.\All we can do is acknowledge his points and move forward despite them. response:	Does that answer your question?
context: Can you say what we're doing is wrong?\It's true that we need every one of us. There's no arguing that.\I don't know what will happen next year or the year after that.\I'm sure those who empathize with us will follow.\All I can do is believe in that and run as hard as I can right now.\So there's no need to respond to him.\All we can do is acknowledge his points and move forward despite them.\Does that answer your question? response:	I don't know.
context: It's true that we need every one of us. There's no arguing that.\I don't know what will happen next year or the year after that.\I'm sure those who empathize with us will follow.\All I can do is believe in that and run as hard as I can right now.\So there's no need to respond to him.\All we can do is acknowledge his points and move forward despite them.\Does that answer your question?\I don't know. response:	But...
context: I don't know what will happen next year or the year after that.\I'm sure those who empathize with us will follow.\All I can do is believe in that and run as hard as I can right now.\So there's no need to respond to him.\All we can do is acknowledge his points and move forward despite them.\Does that answer your question?\I don't know.\But... response:	We like what you have to say.
context: I'm sure those who empathize with us will follow.\All I can do is believe in that and run as hard as I can right now.\So there's no need to respond to him.\All we can do is acknowledge his points and move forward despite them.\Does that answer your question?\I don't know.\But...\We like what you have to say. response:	Like, huh?
context: All I can do is believe in that and run as hard as I can right now.\So there's no need to respond to him.\All we can do is acknowledge his points and move forward despite them.\Does that answer your question?\I don't know.\But...\We like what you have to say.\Like, huh? response:	That feels like enough to me.
context: So there's no need to respond to him.\All we can do is acknowledge his points and move forward despite them.\Does that answer your question?\I don't know.\But...\We like what you have to say.\Like, huh?\That feels like enough to me. response:	Don't be swayed by your emotions.
context: All we can do is acknowledge his points and move forward despite them.\Does that answer your question?\I don't know.\But...\We like what you have to say.\Like, huh?\That feels like enough to me.\Don't be swayed by your emotions. response:	Debate until you're satisfied.
context: Does that answer your question?\I don't know.\But...\We like what you have to say.\Like, huh?\That feels like enough to me.\Don't be swayed by your emotions.\Debate until you're satisfied. response:	The twins aren't theorists like you.
context: I don't know.\But...\We like what you have to say.\Like, huh?\That feels like enough to me.\Don't be swayed by your emotions.\Debate until you're satisfied.\The twins aren't theorists like you. response:	You had a fight?
context: But...\We like what you have to say.\Like, huh?\That feels like enough to me.\Don't be swayed by your emotions.\Debate until you're satisfied.\The twins aren't theorists like you.\You had a fight? response:	I wouldn't call it a fight.
context: We like what you have to say.\Like, huh?\That feels like enough to me.\Don't be swayed by your emotions.\Debate until you're satisfied.\The twins aren't theorists like you.\You had a fight?\I wouldn't call it a fight. response:	I understand what he's trying to say, but...
context: Like, huh?\That feels like enough to me.\Don't be swayed by your emotions.\Debate until you're satisfied.\The twins aren't theorists like you.\You had a fight?\I wouldn't call it a fight.\I understand what he's trying to say, but... response:	I want to accept what he's saying, but it feels like he tricked us.
context: That feels like enough to me.\Don't be swayed by your emotions.\Debate until you're satisfied.\The twins aren't theorists like you.\You had a fight?\I wouldn't call it a fight.\I understand what he's trying to say, but...\I want to accept what he's saying, but it feels like he tricked us. response:	I know what you mean. Haiji is so calm.
context: Don't be swayed by your emotions.\Debate until you're satisfied.\The twins aren't theorists like you.\You had a fight?\I wouldn't call it a fight.\I understand what he's trying to say, but...\I want to accept what he's saying, but it feels like he tricked us.\I know what you mean. Haiji is so calm. response:	Yeah. We missed our opportunity to return to normal.
context: Debate until you're satisfied.\The twins aren't theorists like you.\You had a fight?\I wouldn't call it a fight.\I understand what he's trying to say, but...\I want to accept what he's saying, but it feels like he tricked us.\I know what you mean. Haiji is so calm.\Yeah. We missed our opportunity to return to normal. response:	It's not like we were wrong, right?
context: The twins aren't theorists like you.\You had a fight?\I wouldn't call it a fight.\I understand what he's trying to say, but...\I want to accept what he's saying, but it feels like he tricked us.\I know what you mean. Haiji is so calm.\Yeah. We missed our opportunity to return to normal.\It's not like we were wrong, right? response:	I think you should believe him.
context: You had a fight?\I wouldn't call it a fight.\I understand what he's trying to say, but...\I want to accept what he's saying, but it feels like he tricked us.\I know what you mean. Haiji is so calm.\Yeah. We missed our opportunity to return to normal.\It's not like we were wrong, right?\I think you should believe him. response:	He's been patiently thinking for four years.
context: I wouldn't call it a fight.\I understand what he's trying to say, but...\I want to accept what he's saying, but it feels like he tricked us.\I know what you mean. Haiji is so calm.\Yeah. We missed our opportunity to return to normal.\It's not like we were wrong, right?\I think you should believe him.\He's been patiently thinking for four years. response:	I can believe him because he's come this far.
context: I understand what he's trying to say, but...\I want to accept what he's saying, but it feels like he tricked us.\I know what you mean. Haiji is so calm.\Yeah. We missed our opportunity to return to normal.\It's not like we were wrong, right?\I think you should believe him.\He's been patiently thinking for four years.\I can believe him because he's come this far. response:	Compared to all the time Haiji has spent on it,
context: I want to accept what he's saying, but it feels like he tricked us.\I know what you mean. Haiji is so calm.\Yeah. We missed our opportunity to return to normal.\It's not like we were wrong, right?\I think you should believe him.\He's been patiently thinking for four years.\I can believe him because he's come this far.\Compared to all the time Haiji has spent on it, response:	our next two months will fly by in a moment.
context: I know what you mean. Haiji is so calm.\Yeah. We missed our opportunity to return to normal.\It's not like we were wrong, right?\I think you should believe him.\He's been patiently thinking for four years.\I can believe him because he's come this far.\Compared to all the time Haiji has spent on it,\our next two months will fly by in a moment. response:	And that moment could change your life,
context: Yeah. We missed our opportunity to return to normal.\It's not like we were wrong, right?\I think you should believe him.\He's been patiently thinking for four years.\I can believe him because he's come this far.\Compared to all the time Haiji has spent on it,\our next two months will fly by in a moment.\And that moment could change your life, response:	even if you don't understand anything right now.
context: It's not like we were wrong, right?\I think you should believe him.\He's been patiently thinking for four years.\I can believe him because he's come this far.\Compared to all the time Haiji has spent on it,\our next two months will fly by in a moment.\And that moment could change your life,\even if you don't understand anything right now. response:	You're right.
context: I think you should believe him.\He's been patiently thinking for four years.\I can believe him because he's come this far.\Compared to all the time Haiji has spent on it,\our next two months will fly by in a moment.\And that moment could change your life,\even if you don't understand anything right now.\You're right. response:	The last six months flew by, too.
context: He's been patiently thinking for four years.\I can believe him because he's come this far.\Compared to all the time Haiji has spent on it,\our next two months will fly by in a moment.\And that moment could change your life,\even if you don't understand anything right now.\You're right.\The last six months flew by, too. response:	A lot has happened.
context: I can believe him because he's come this far.\Compared to all the time Haiji has spent on it,\our next two months will fly by in a moment.\And that moment could change your life,\even if you don't understand anything right now.\You're right.\The last six months flew by, too.\A lot has happened. response:	The qualifier, the training camp, all the track meets.
context: Compared to all the time Haiji has spent on it,\our next two months will fly by in a moment.\And that moment could change your life,\even if you don't understand anything right now.\You're right.\The last six months flew by, too.\A lot has happened.\The qualifier, the training camp, all the track meets. response:	And we met Hana.
context: our next two months will fly by in a moment.\And that moment could change your life,\even if you don't understand anything right now.\You're right.\The last six months flew by, too.\A lot has happened.\The qualifier, the training camp, all the track meets.\And we met Hana. response:	She's been a huge help, like when Haiji collapsed.
context: And that moment could change your life,\even if you don't understand anything right now.\You're right.\The last six months flew by, too.\A lot has happened.\The qualifier, the training camp, all the track meets.\And we met Hana.\She's been a huge help, like when Haiji collapsed. response:	Oh, yeah. I remember that.
context: even if you don't understand anything right now.\You're right.\The last six months flew by, too.\A lot has happened.\The qualifier, the training camp, all the track meets.\And we met Hana.\She's been a huge help, like when Haiji collapsed.\Oh, yeah. I remember that. response:	And she always comes to our practices.
context: You're right.\The last six months flew by, too.\A lot has happened.\The qualifier, the training camp, all the track meets.\And we met Hana.\She's been a huge help, like when Haiji collapsed.\Oh, yeah. I remember that.\And she always comes to our practices. response:	Yeah. She's a huge help.
context: The last six months flew by, too.\A lot has happened.\The qualifier, the training camp, all the track meets.\And we met Hana.\She's been a huge help, like when Haiji collapsed.\Oh, yeah. I remember that.\And she always comes to our practices.\Yeah. She's a huge help. response:	Without Hana, we wouldn't have made it this far.
context: A lot has happened.\The qualifier, the training camp, all the track meets.\And we met Hana.\She's been a huge help, like when Haiji collapsed.\Oh, yeah. I remember that.\And she always comes to our practices.\Yeah. She's a huge help.\Without Hana, we wouldn't have made it this far. response:	And she's cute.
context: The qualifier, the training camp, all the track meets.\And we met Hana.\She's been a huge help, like when Haiji collapsed.\Oh, yeah. I remember that.\And she always comes to our practices.\Yeah. She's a huge help.\Without Hana, we wouldn't have made it this far.\And she's cute. response:	Hey.
context: And we met Hana.\She's been a huge help, like when Haiji collapsed.\Oh, yeah. I remember that.\And she always comes to our practices.\Yeah. She's a huge help.\Without Hana, we wouldn't have made it this far.\And she's cute.\Hey. response:	Where did Haiji go?
context: She's been a huge help, like when Haiji collapsed.\Oh, yeah. I remember that.\And she always comes to our practices.\Yeah. She's a huge help.\Without Hana, we wouldn't have made it this far.\And she's cute.\Hey.\Where did Haiji go? response:	Huh?
context: Oh, yeah. I remember that.\And she always comes to our practices.\Yeah. She's a huge help.\Without Hana, we wouldn't have made it this far.\And she's cute.\Hey.\Where did Haiji go?\Huh? response:	You're asking me?
context: And she always comes to our practices.\Yeah. She's a huge help.\Without Hana, we wouldn't have made it this far.\And she's cute.\Hey.\Where did Haiji go?\Huh?\You're asking me? response:	I wanted to discuss the roadside placement of our members.
context: Yeah. She's a huge help.\Without Hana, we wouldn't have made it this far.\And she's cute.\Hey.\Where did Haiji go?\Huh?\You're asking me?\I wanted to discuss the roadside placement of our members. response:	Oh, and the university's asking us to turn in our forms.
context: Without Hana, we wouldn't have made it this far.\And she's cute.\Hey.\Where did Haiji go?\Huh?\You're asking me?\I wanted to discuss the roadside placement of our members.\Oh, and the university's asking us to turn in our forms. response:	Whatever. Sorry to have bothered you.
context: And she's cute.\Hey.\Where did Haiji go?\Huh?\You're asking me?\I wanted to discuss the roadside placement of our members.\Oh, and the university's asking us to turn in our forms.\Whatever. Sorry to have bothered you. response:	That was close.
context: Hey.\Where did Haiji go?\Huh?\You're asking me?\I wanted to discuss the roadside placement of our members.\Oh, and the university's asking us to turn in our forms.\Whatever. Sorry to have bothered you.\That was close. response:	I almost asked if he wanted my help.
context: Where did Haiji go?\Huh?\You're asking me?\I wanted to discuss the roadside placement of our members.\Oh, and the university's asking us to turn in our forms.\Whatever. Sorry to have bothered you.\That was close.\I almost asked if he wanted my help. response:	It's shocking to know we can't win.
context: Huh?\You're asking me?\I wanted to discuss the roadside placement of our members.\Oh, and the university's asking us to turn in our forms.\Whatever. Sorry to have bothered you.\That was close.\I almost asked if he wanted my help.\It's shocking to know we can't win. response:	But I was saved by Haiji's words.
context: You're asking me?\I wanted to discuss the roadside placement of our members.\Oh, and the university's asking us to turn in our forms.\Whatever. Sorry to have bothered you.\That was close.\I almost asked if he wanted my help.\It's shocking to know we can't win.\But I was saved by Haiji's words. response:	All we can do right now is run as hard as we can.
context: I wanted to discuss the roadside placement of our members.\Oh, and the university's asking us to turn in our forms.\Whatever. Sorry to have bothered you.\That was close.\I almost asked if he wanted my help.\It's shocking to know we can't win.\But I was saved by Haiji's words.\All we can do right now is run as hard as we can. response:	He's right.
context: Oh, and the university's asking us to turn in our forms.\Whatever. Sorry to have bothered you.\That was close.\I almost asked if he wanted my help.\It's shocking to know we can't win.\But I was saved by Haiji's words.\All we can do right now is run as hard as we can.\He's right. response:	Congratulations Kansei University Long Distance Track and Field Team
context: Whatever. Sorry to have bothered you.\That was close.\I almost asked if he wanted my help.\It's shocking to know we can't win.\But I was saved by Haiji's words.\All we can do right now is run as hard as we can.\He's right.\Congratulations Kansei University Long Distance Track and Field Team response:	My anxieties have been eliminated completely.
context: That was close.\I almost asked if he wanted my help.\It's shocking to know we can't win.\But I was saved by Haiji's words.\All we can do right now is run as hard as we can.\He's right.\Congratulations Kansei University Long Distance Track and Field Team\My anxieties have been eliminated completely. response:	Is there still something bothering you?
context: I almost asked if he wanted my help.\It's shocking to know we can't win.\But I was saved by Haiji's words.\All we can do right now is run as hard as we can.\He's right.\Congratulations Kansei University Long Distance Track and Field Team\My anxieties have been eliminated completely.\Is there still something bothering you? response:	No. I agree.
context: It's shocking to know we can't win.\But I was saved by Haiji's words.\All we can do right now is run as hard as we can.\He's right.\Congratulations Kansei University Long Distance Track and Field Team\My anxieties have been eliminated completely.\Is there still something bothering you?\No. I agree. response:	But it's frustrating.
context: But I was saved by Haiji's words.\All we can do right now is run as hard as we can.\He's right.\Congratulations Kansei University Long Distance Track and Field Team\My anxieties have been eliminated completely.\Is there still something bothering you?\No. I agree.\But it's frustrating. response:	Sakaki made Jota and Joji anxious,
context: All we can do right now is run as hard as we can.\He's right.\Congratulations Kansei University Long Distance Track and Field Team\My anxieties have been eliminated completely.\Is there still something bothering you?\No. I agree.\But it's frustrating.\Sakaki made Jota and Joji anxious, response:	but the only thing I can do is run.
context: He's right.\Congratulations Kansei University Long Distance Track and Field Team\My anxieties have been eliminated completely.\Is there still something bothering you?\No. I agree.\But it's frustrating.\Sakaki made Jota and Joji anxious,\but the only thing I can do is run. response:	You're hard on yourself.
context: Congratulations Kansei University Long Distance Track and Field Team\My anxieties have been eliminated completely.\Is there still something bothering you?\No. I agree.\But it's frustrating.\Sakaki made Jota and Joji anxious,\but the only thing I can do is run.\You're hard on yourself. response:	Previewing the course made me realize
context: My anxieties have been eliminated completely.\Is there still something bothering you?\No. I agree.\But it's frustrating.\Sakaki made Jota and Joji anxious,\but the only thing I can do is run.\You're hard on yourself.\Previewing the course made me realize response:	that not you or Haiji, but I have to finish some section of it.
context: Is there still something bothering you?\No. I agree.\But it's frustrating.\Sakaki made Jota and Joji anxious,\but the only thing I can do is run.\You're hard on yourself.\Previewing the course made me realize\that not you or Haiji, but I have to finish some section of it. response:	There are things only you can do.
context: No. I agree.\But it's frustrating.\Sakaki made Jota and Joji anxious,\but the only thing I can do is run.\You're hard on yourself.\Previewing the course made me realize\that not you or Haiji, but I have to finish some section of it.\There are things only you can do. response:	Believe in us and in yourself.
context: But it's frustrating.\Sakaki made Jota and Joji anxious,\but the only thing I can do is run.\You're hard on yourself.\Previewing the course made me realize\that not you or Haiji, but I have to finish some section of it.\There are things only you can do.\Believe in us and in yourself. response:	I will.
context: Sakaki made Jota and Joji anxious,\but the only thing I can do is run.\You're hard on yourself.\Previewing the course made me realize\that not you or Haiji, but I have to finish some section of it.\There are things only you can do.\Believe in us and in yourself.\I will. response:	Congratulations Kansei University Long Distance Track and Field Team
context: but the only thing I can do is run.\You're hard on yourself.\Previewing the course made me realize\that not you or Haiji, but I have to finish some section of it.\There are things only you can do.\Believe in us and in yourself.\I will.\Congratulations Kansei University Long Distance Track and Field Team response:	Hey, it's Kansei's Ekiden guys.
context: You're hard on yourself.\Previewing the course made me realize\that not you or Haiji, but I have to finish some section of it.\There are things only you can do.\Believe in us and in yourself.\I will.\Congratulations Kansei University Long Distance Track and Field Team\Hey, it's Kansei's Ekiden guys. response:	Oh, yeah. They were on the news.
context: Previewing the course made me realize\that not you or Haiji, but I have to finish some section of it.\There are things only you can do.\Believe in us and in yourself.\I will.\Congratulations Kansei University Long Distance Track and Field Team\Hey, it's Kansei's Ekiden guys.\Oh, yeah. They were on the news. response:	They've got an exchange student?
context: that not you or Haiji, but I have to finish some section of it.\There are things only you can do.\Believe in us and in yourself.\I will.\Congratulations Kansei University Long Distance Track and Field Team\Hey, it's Kansei's Ekiden guys.\Oh, yeah. They were on the news.\They've got an exchange student? response:	I know. I wish they'd run an all-Japanese team.
context: There are things only you can do.\Believe in us and in yourself.\I will.\Congratulations Kansei University Long Distance Track and Field Team\Hey, it's Kansei's Ekiden guys.\Oh, yeah. They were on the news.\They've got an exchange student?\I know. I wish they'd run an all-Japanese team. response:	The school's probably paying for it to promote themselves.
context: Believe in us and in yourself.\I will.\Congratulations Kansei University Long Distance Track and Field Team\Hey, it's Kansei's Ekiden guys.\Oh, yeah. They were on the news.\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves. response:	What are you going to tell them?
context: I will.\Congratulations Kansei University Long Distance Track and Field Team\Hey, it's Kansei's Ekiden guys.\Oh, yeah. They were on the news.\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\What are you going to tell them? response:	I'm fine.
context: Congratulations Kansei University Long Distance Track and Field Team\Hey, it's Kansei's Ekiden guys.\Oh, yeah. They were on the news.\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\What are you going to tell them?\I'm fine. response:	But... it's ridiculous!
context: Hey, it's Kansei's Ekiden guys.\Oh, yeah. They were on the news.\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\What are you going to tell them?\I'm fine.\But... it's ridiculous! response:	We're all runners!
context: Oh, yeah. They were on the news.\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\What are you going to tell them?\I'm fine.\But... it's ridiculous!\We're all runners! response:	Kurahara.
context: They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\What are you going to tell them?\I'm fine.\But... it's ridiculous!\We're all runners!\Kurahara. response:	It's been a while.
context: I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\What are you going to tell them?\I'm fine.\But... it's ridiculous!\We're all runners!\Kurahara.\It's been a while. response:	Fujioka?
context: The school's probably paying for it to promote themselves.\What are you going to tell them?\I'm fine.\But... it's ridiculous!\We're all runners!\Kurahara.\It's been a while.\Fujioka? response:	University Hospital
context: What are you going to tell them?\I'm fine.\But... it's ridiculous!\We're all runners!\Kurahara.\It's been a while.\Fujioka?\University Hospital response:	Kiyose. Kiyose Haiji.
context: I'm fine.\But... it's ridiculous!\We're all runners!\Kurahara.\It's been a while.\Fujioka?\University Hospital\Kiyose. Kiyose Haiji. response:	Yes.
context: But... it's ridiculous!\We're all runners!\Kurahara.\It's been a while.\Fujioka?\University Hospital\Kiyose. Kiyose Haiji.\Yes. response:	Next time: And Then, Morning
context: We're all runners!\Kurahara.\It's been a while.\Fujioka?\University Hospital\Kiyose. Kiyose Haiji.\Yes.\Next time: And Then, Morning response:	Next time: And Then, Morning.”
