context: Sir... response:	This slave here is my recommendation.
context: Skill Tree\Mastery Bonus\Rope Shield\ATT: 0 MAG: 0 P. DEF: +15 M. DEF: +20 DEX: 0\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Lv. 5 or Higher Unlock Magnet Shield\Air Strike Shield Rope\It's got an exclusive effect and skill, huh? response:	Rope Shield... Not exactly what I'd call a creative name.
context: Mastery Bonus\Rope Shield\ATT: 0 MAG: 0 P. DEF: +15 M. DEF: +20 DEX: 0\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Lv. 5 or Higher Unlock Magnet Shield\Air Strike Shield Rope\It's got an exclusive effect and skill, huh?\Rope Shield... Not exactly what I'd call a creative name. response:	Skill Can be activated at the cost of SP. Can also be quick cast by shortening pronunciation or using crystals.
context: Rope Shield\ATT: 0 MAG: 0 P. DEF: +15 M. DEF: +20 DEX: 0\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Lv. 5 or Higher Unlock Magnet Shield\Air Strike Shield Rope\It's got an exclusive effect and skill, huh?\Rope Shield... Not exactly what I'd call a creative name.\Skill Can be activated at the cost of SP. Can also be quick cast by shortening pronunciation or using crystals. response:	All right.
context: ATT: 0 MAG: 0 P. DEF: +15 M. DEF: +20 DEX: 0\Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Lv. 5 or Higher Unlock Magnet Shield\Air Strike Shield Rope\It's got an exclusive effect and skill, huh?\Rope Shield... Not exactly what I'd call a creative name.\Skill Can be activated at the cost of SP. Can also be quick cast by shortening pronunciation or using crystals.\All right. response:	Air Strike Shield!
context: Fire: 0 Water: 0 Ice: 0 Wind: 0 Earth: 0 Lightning: 0 Light: 0 Dark: 0\Proficiency Unlock Conditions Lv. 5 or Higher Unlock Magnet Shield\Air Strike Shield Rope\It's got an exclusive effect and skill, huh?\Rope Shield... Not exactly what I'd call a creative name.\Skill Can be activated at the cost of SP. Can also be quick cast by shortening pronunciation or using crystals.\All right.\Air Strike Shield! response:	Master?
context: Proficiency Unlock Conditions Lv. 5 or Higher Unlock Magnet Shield\Air Strike Shield Rope\It's got an exclusive effect and skill, huh?\Rope Shield... Not exactly what I'd call a creative name.\Skill Can be activated at the cost of SP. Can also be quick cast by shortening pronunciation or using crystals.\All right.\Air Strike Shield!\Master? response:	It's nothing. Let's go.
context: Air Strike Shield Rope\It's got an exclusive effect and skill, huh?\Rope Shield... Not exactly what I'd call a creative name.\Skill Can be activated at the cost of SP. Can also be quick cast by shortening pronunciation or using crystals.\All right.\Air Strike Shield!\Master?\It's nothing. Let's go. response:	There are dangerous monsters here, apparently.
context: It's got an exclusive effect and skill, huh?\Rope Shield... Not exactly what I'd call a creative name.\Skill Can be activated at the cost of SP. Can also be quick cast by shortening pronunciation or using crystals.\All right.\Air Strike Shield!\Master?\It's nothing. Let's go.\There are dangerous monsters here, apparently. response:	The moment things go south, we run.
context: Rope Shield... Not exactly what I'd call a creative name.\Skill Can be activated at the cost of SP. Can also be quick cast by shortening pronunciation or using crystals.\All right.\Air Strike Shield!\Master?\It's nothing. Let's go.\There are dangerous monsters here, apparently.\The moment things go south, we run. response:	You'd better keep up.
context: Skill Can be activated at the cost of SP. Can also be quick cast by shortening pronunciation or using crystals.\All right.\Air Strike Shield!\Master?\It's nothing. Let's go.\There are dangerous monsters here, apparently.\The moment things go south, we run.\You'd better keep up. response:	Okay!
context: All right.\Air Strike Shield!\Master?\It's nothing. Let's go.\There are dangerous monsters here, apparently.\The moment things go south, we run.\You'd better keep up.\Okay! response:	Um...
context: Air Strike Shield!\Master?\It's nothing. Let's go.\There are dangerous monsters here, apparently.\The moment things go south, we run.\You'd better keep up.\Okay!\Um... response:	What is it?
context: Master?\It's nothing. Let's go.\There are dangerous monsters here, apparently.\The moment things go south, we run.\You'd better keep up.\Okay!\Um...\What is it? response:	How should I address you, Master?
context: It's nothing. Let's go.\There are dangerous monsters here, apparently.\The moment things go south, we run.\You'd better keep up.\Okay!\Um...\What is it?\How should I address you, Master? response:	Call me whatever.
context: There are dangerous monsters here, apparently.\The moment things go south, we run.\You'd better keep up.\Okay!\Um...\What is it?\How should I address you, Master?\Call me whatever. response:	Th-Then...
context: The moment things go south, we run.\You'd better keep up.\Okay!\Um...\What is it?\How should I address you, Master?\Call me whatever.\Th-Then... response:	Is this the place?
context: You'd better keep up.\Okay!\Um...\What is it?\How should I address you, Master?\Call me whatever.\Th-Then...\Is this the place? response:	All right.
context: Okay!\Um...\What is it?\How should I address you, Master?\Call me whatever.\Th-Then...\Is this the place?\All right. response:	Are those...
context: Um...\What is it?\How should I address you, Master?\Call me whatever.\Th-Then...\Is this the place?\All right.\Are those... response:	This will fetch a pretty penny.
context: What is it?\How should I address you, Master?\Call me whatever.\Th-Then...\Is this the place?\All right.\Are those...\This will fetch a pretty penny. response:	Raphtalia, let's try over there next...
context: How should I address you, Master?\Call me whatever.\Th-Then...\Is this the place?\All right.\Are those...\This will fetch a pretty penny.\Raphtalia, let's try over there next... response:	No!
context: Call me whatever.\Th-Then...\Is this the place?\All right.\Are those...\This will fetch a pretty penny.\Raphtalia, let's try over there next...\No! response:	You okay?
context: Th-Then...\Is this the place?\All right.\Are those...\This will fetch a pretty penny.\Raphtalia, let's try over there next...\No!\You okay? response:	D-Dog monster...
context: Is this the place?\All right.\Are those...\This will fetch a pretty penny.\Raphtalia, let's try over there next...\No!\You okay?\D-Dog monster... response:	Killed all the villagers, even Dad and Mom...
context: All right.\Are those...\This will fetch a pretty penny.\Raphtalia, let's try over there next...\No!\You okay?\D-Dog monster...\Killed all the villagers, even Dad and Mom... response:	During the first Wave, huh?
context: Are those...\This will fetch a pretty penny.\Raphtalia, let's try over there next...\No!\You okay?\D-Dog monster...\Killed all the villagers, even Dad and Mom...\During the first Wave, huh? response:	So that's why she starts crying every night.
context: This will fetch a pretty penny.\Raphtalia, let's try over there next...\No!\You okay?\D-Dog monster...\Killed all the villagers, even Dad and Mom...\During the first Wave, huh?\So that's why she starts crying every night. response:	Is that the same dog that killed your parents?
context: Raphtalia, let's try over there next...\No!\You okay?\D-Dog monster...\Killed all the villagers, even Dad and Mom...\During the first Wave, huh?\So that's why she starts crying every night.\Is that the same dog that killed your parents? response:	No...
context: No!\You okay?\D-Dog monster...\Killed all the villagers, even Dad and Mom...\During the first Wave, huh?\So that's why she starts crying every night.\Is that the same dog that killed your parents?\No... response:	Listen, Raphtalia.
context: You okay?\D-Dog monster...\Killed all the villagers, even Dad and Mom...\During the first Wave, huh?\So that's why she starts crying every night.\Is that the same dog that killed your parents?\No...\Listen, Raphtalia. response:	Take that thing out here and now.
context: D-Dog monster...\Killed all the villagers, even Dad and Mom...\During the first Wave, huh?\So that's why she starts crying every night.\Is that the same dog that killed your parents?\No...\Listen, Raphtalia.\Take that thing out here and now. response:	If you fight and make me stronger,
context: Killed all the villagers, even Dad and Mom...\During the first Wave, huh?\So that's why she starts crying every night.\Is that the same dog that killed your parents?\No...\Listen, Raphtalia.\Take that thing out here and now.\If you fight and make me stronger, response:	we can fend off the Waves of Catastrophe and prevent that tragedy from reoccurring.
context: During the first Wave, huh?\So that's why she starts crying every night.\Is that the same dog that killed your parents?\No...\Listen, Raphtalia.\Take that thing out here and now.\If you fight and make me stronger,\we can fend off the Waves of Catastrophe and prevent that tragedy from reoccurring. response:	Your parents won't ever come back.
context: So that's why she starts crying every night.\Is that the same dog that killed your parents?\No...\Listen, Raphtalia.\Take that thing out here and now.\If you fight and make me stronger,\we can fend off the Waves of Catastrophe and prevent that tragedy from reoccurring.\Your parents won't ever come back. response:	But we can prevent other kids from going through what you did.
context: Is that the same dog that killed your parents?\No...\Listen, Raphtalia.\Take that thing out here and now.\If you fight and make me stronger,\we can fend off the Waves of Catastrophe and prevent that tragedy from reoccurring.\Your parents won't ever come back.\But we can prevent other kids from going through what you did. response:	And all I'm capable of is making sure you can fight as best you can!
context: No...\Listen, Raphtalia.\Take that thing out here and now.\If you fight and make me stronger,\we can fend off the Waves of Catastrophe and prevent that tragedy from reoccurring.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And all I'm capable of is making sure you can fight as best you can! response:	Now, Raphtalia!
context: Listen, Raphtalia.\Take that thing out here and now.\If you fight and make me stronger,\we can fend off the Waves of Catastrophe and prevent that tragedy from reoccurring.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And all I'm capable of is making sure you can fight as best you can!\Now, Raphtalia! response:	Stab it with your sword!
context: Take that thing out here and now.\If you fight and make me stronger,\we can fend off the Waves of Catastrophe and prevent that tragedy from reoccurring.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And all I'm capable of is making sure you can fight as best you can!\Now, Raphtalia!\Stab it with your sword! response:	Now!
context: If you fight and make me stronger,\we can fend off the Waves of Catastrophe and prevent that tragedy from reoccurring.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And all I'm capable of is making sure you can fight as best you can!\Now, Raphtalia!\Stab it with your sword!\Now! response:	No...
context: we can fend off the Waves of Catastrophe and prevent that tragedy from reoccurring.\Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And all I'm capable of is making sure you can fight as best you can!\Now, Raphtalia!\Stab it with your sword!\Now!\No... response:	If I die, so will you!
context: Your parents won't ever come back.\But we can prevent other kids from going through what you did.\And all I'm capable of is making sure you can fight as best you can!\Now, Raphtalia!\Stab it with your sword!\Now!\No...\If I die, so will you! response:	Please no!
context: But we can prevent other kids from going through what you did.\And all I'm capable of is making sure you can fight as best you can!\Now, Raphtalia!\Stab it with your sword!\Now!\No...\If I die, so will you!\Please no! response:	Then hurry up and kill it!
context: And all I'm capable of is making sure you can fight as best you can!\Now, Raphtalia!\Stab it with your sword!\Now!\No...\If I die, so will you!\Please no!\Then hurry up and kill it! response:	This is an order!
context: Now, Raphtalia!\Stab it with your sword!\Now!\No...\If I die, so will you!\Please no!\Then hurry up and kill it!\This is an order! response:	Raphtalia, forget it.
context: Stab it with your sword!\Now!\No...\If I die, so will you!\Please no!\Then hurry up and kill it!\This is an order!\Raphtalia, forget it. response:	If you can't fight, then get out of here.
context: Now!\No...\If I die, so will you!\Please no!\Then hurry up and kill it!\This is an order!\Raphtalia, forget it.\If you can't fight, then get out of here. response:	But what about you?
context: No...\If I die, so will you!\Please no!\Then hurry up and kill it!\This is an order!\Raphtalia, forget it.\If you can't fight, then get out of here.\But what about you? response:	I'll buy time for you to escape.
context: If I die, so will you!\Please no!\Then hurry up and kill it!\This is an order!\Raphtalia, forget it.\If you can't fight, then get out of here.\But what about you?\I'll buy time for you to escape. response:	What?
context: Please no!\Then hurry up and kill it!\This is an order!\Raphtalia, forget it.\If you can't fight, then get out of here.\But what about you?\I'll buy time for you to escape.\What? response:	That'd be just like then...
context: Then hurry up and kill it!\This is an order!\Raphtalia, forget it.\If you can't fight, then get out of here.\But what about you?\I'll buy time for you to escape.\What?\That'd be just like then... response:	Hurry up and go!
context: This is an order!\Raphtalia, forget it.\If you can't fight, then get out of here.\But what about you?\I'll buy time for you to escape.\What?\That'd be just like then...\Hurry up and go! response:	Master!
context: Raphtalia, forget it.\If you can't fight, then get out of here.\But what about you?\I'll buy time for you to escape.\What?\That'd be just like then...\Hurry up and go!\Master! response:	No...
context: If you can't fight, then get out of here.\But what about you?\I'll buy time for you to escape.\What?\That'd be just like then...\Hurry up and go!\Master!\No... response:	No!
context: But what about you?\I'll buy time for you to escape.\What?\That'd be just like then...\Hurry up and go!\Master!\No...\No! response:	Don't go!
context: I'll buy time for you to escape.\What?\That'd be just like then...\Hurry up and go!\Master!\No...\No!\Don't go! response:	Don't leave me!
context: What?\That'd be just like then...\Hurry up and go!\Master!\No...\No!\Don't go!\Don't leave me! response:	Don't die!
context: That'd be just like then...\Hurry up and go!\Master!\No...\No!\Don't go!\Don't leave me!\Don't die! response:	Air Strike Shield!
context: Hurry up and go!\Master!\No...\No!\Don't go!\Don't leave me!\Don't die!\Air Strike Shield! response:	Raphtalia!
context: Master!\No...\No!\Don't go!\Don't leave me!\Don't die!\Air Strike Shield!\Raphtalia! response:	Well done.
context: No...\No!\Don't go!\Don't leave me!\Don't die!\Air Strike Shield!\Raphtalia!\Well done. response:	Naofumi-sama!
context: No!\Don't go!\Don't leave me!\Don't die!\Air Strike Shield!\Raphtalia!\Well done.\Naofumi-sama! response:	Hey, even with the shield's power, the wound still hurts!
context: Don't go!\Don't leave me!\Don't die!\Air Strike Shield!\Raphtalia!\Well done.\Naofumi-sama!\Hey, even with the shield's power, the wound still hurts! response:	Don't ever die! Please don't leave me alone!
context: Don't leave me!\Don't die!\Air Strike Shield!\Raphtalia!\Well done.\Naofumi-sama!\Hey, even with the shield's power, the wound still hurts!\Don't ever die! Please don't leave me alone! response:	Naofumi-sama!
context: Don't die!\Air Strike Shield!\Raphtalia!\Well done.\Naofumi-sama!\Hey, even with the shield's power, the wound still hurts!\Don't ever die! Please don't leave me alone!\Naofumi-sama! response:	She chose my name, huh?
context: Air Strike Shield!\Raphtalia!\Well done.\Naofumi-sama!\Hey, even with the shield's power, the wound still hurts!\Don't ever die! Please don't leave me alone!\Naofumi-sama!\She chose my name, huh? response:	You attack, and I defend.
context: Raphtalia!\Well done.\Naofumi-sama!\Hey, even with the shield's power, the wound still hurts!\Don't ever die! Please don't leave me alone!\Naofumi-sama!\She chose my name, huh?\You attack, and I defend. response:	That way, neither of us will die.
context: Well done.\Naofumi-sama!\Hey, even with the shield's power, the wound still hurts!\Don't ever die! Please don't leave me alone!\Naofumi-sama!\She chose my name, huh?\You attack, and I defend.\That way, neither of us will die. response:	Right.
context: Naofumi-sama!\Hey, even with the shield's power, the wound still hurts!\Don't ever die! Please don't leave me alone!\Naofumi-sama!\She chose my name, huh?\You attack, and I defend.\That way, neither of us will die.\Right. response:	We're leaving once I feed this monster to my shield.
context: Hey, even with the shield's power, the wound still hurts!\Don't ever die! Please don't leave me alone!\Naofumi-sama!\She chose my name, huh?\You attack, and I defend.\That way, neither of us will die.\Right.\We're leaving once I feed this monster to my shield. response:	Okay, Naofumi-sama.
context: Don't ever die! Please don't leave me alone!\Naofumi-sama!\She chose my name, huh?\You attack, and I defend.\That way, neither of us will die.\Right.\We're leaving once I feed this monster to my shield.\Okay, Naofumi-sama. response:	Get off already.
context: Naofumi-sama!\She chose my name, huh?\You attack, and I defend.\That way, neither of us will die.\Right.\We're leaving once I feed this monster to my shield.\Okay, Naofumi-sama.\Get off already. response:	A bit longer...
context: She chose my name, huh?\You attack, and I defend.\That way, neither of us will die.\Right.\We're leaving once I feed this monster to my shield.\Okay, Naofumi-sama.\Get off already.\A bit longer... response:	The ore made us a lot of money, so you can eat all you want.
context: You attack, and I defend.\That way, neither of us will die.\Right.\We're leaving once I feed this monster to my shield.\Okay, Naofumi-sama.\Get off already.\A bit longer...\The ore made us a lot of money, so you can eat all you want. response:	Thank you!
context: That way, neither of us will die.\Right.\We're leaving once I feed this monster to my shield.\Okay, Naofumi-sama.\Get off already.\A bit longer...\The ore made us a lot of money, so you can eat all you want.\Thank you! response:	Is it good?
context: Right.\We're leaving once I feed this monster to my shield.\Okay, Naofumi-sama.\Get off already.\A bit longer...\The ore made us a lot of money, so you can eat all you want.\Thank you!\Is it good? response:	Yeah!
context: We're leaving once I feed this monster to my shield.\Okay, Naofumi-sama.\Get off already.\A bit longer...\The ore made us a lot of money, so you can eat all you want.\Thank you!\Is it good?\Yeah! response:	I see.
context: Okay, Naofumi-sama.\Get off already.\A bit longer...\The ore made us a lot of money, so you can eat all you want.\Thank you!\Is it good?\Yeah!\I see. response:	Naofumi-sama...
context: Get off already.\A bit longer...\The ore made us a lot of money, so you can eat all you want.\Thank you!\Is it good?\Yeah!\I see.\Naofumi-sama... response:	Let's survive, no matter what!
context: A bit longer...\The ore made us a lot of money, so you can eat all you want.\Thank you!\Is it good?\Yeah!\I see.\Naofumi-sama...\Let's survive, no matter what! response:	Of course.
context: The ore made us a lot of money, so you can eat all you want.\Thank you!\Is it good?\Yeah!\I see.\Naofumi-sama...\Let's survive, no matter what!\Of course. response:	Here. A kids' lunch...
context: Thank you!\Is it good?\Yeah!\I see.\Naofumi-sama...\Let's survive, no matter what!\Of course.\Here. A kids' lunch... response:	isn't complete without this.
context: Is it good?\Yeah!\I see.\Naofumi-sama...\Let's survive, no matter what!\Of course.\Here. A kids' lunch...\isn't complete without this. response:	Wave of Catastrophe
