context: Apology by Armed Detective Agency Member response:	Tanizaki Junichirou
context: Atsushi-kun, do you have a tourniquet on you?!\No, first, I have to clean the wound...\No!\I have to get her to Dr. Yosano.\We... We have to take her to the infirmary!\Atsushi-kun, get her legs!\My investigations have already revealed that you are a non-combatant member.\Let's have you follow the noble princess to the afterlife. response:	What?
context: No, first, I have to clean the wound...\No!\I have to get her to Dr. Yosano.\We... We have to take her to the infirmary!\Atsushi-kun, get her legs!\My investigations have already revealed that you are a non-combatant member.\Let's have you follow the noble princess to the afterlife.\What? response:	You two-bit thug...
context: No!\I have to get her to Dr. Yosano.\We... We have to take her to the infirmary!\Atsushi-kun, get her legs!\My investigations have already revealed that you are a non-combatant member.\Let's have you follow the noble princess to the afterlife.\What?\You two-bit thug... response:	How dare you hurt Naomi!
context: I have to get her to Dr. Yosano.\We... We have to take her to the infirmary!\Atsushi-kun, get her legs!\My investigations have already revealed that you are a non-combatant member.\Let's have you follow the noble princess to the afterlife.\What?\You two-bit thug...\How dare you hurt Naomi! response:	Ability: Light Snow...
context: We... We have to take her to the infirmary!\Atsushi-kun, get her legs!\My investigations have already revealed that you are a non-combatant member.\Let's have you follow the noble princess to the afterlife.\What?\You two-bit thug...\How dare you hurt Naomi!\Ability: Light Snow... response:	Light Snow
context: Atsushi-kun, get her legs!\My investigations have already revealed that you are a non-combatant member.\Let's have you follow the noble princess to the afterlife.\What?\You two-bit thug...\How dare you hurt Naomi!\Ability: Light Snow...\Light Snow response:	Snow at this time of year?
context: My investigations have already revealed that you are a non-combatant member.\Let's have you follow the noble princess to the afterlife.\What?\You two-bit thug...\How dare you hurt Naomi!\Ability: Light Snow...\Light Snow\Snow at this time of year? response:	Atsushi-kun, stay far back.
context: Let's have you follow the noble princess to the afterlife.\What?\You two-bit thug...\How dare you hurt Naomi!\Ability: Light Snow...\Light Snow\Snow at this time of year?\Atsushi-kun, stay far back. response:	This one... is mine to kill!
context: What?\You two-bit thug...\How dare you hurt Naomi!\Ability: Light Snow...\Light Snow\Snow at this time of year?\Atsushi-kun, stay far back.\This one... is mine to kill! response:	What?
context: You two-bit thug...\How dare you hurt Naomi!\Ability: Light Snow...\Light Snow\Snow at this time of year?\Atsushi-kun, stay far back.\This one... is mine to kill!\What? response:	My Light Snow ability
context: How dare you hurt Naomi!\Ability: Light Snow...\Light Snow\Snow at this time of year?\Atsushi-kun, stay far back.\This one... is mine to kill!\What?\My Light Snow ability response:	transforms the entire space with snowfall into a screen.
context: Ability: Light Snow...\Light Snow\Snow at this time of year?\Atsushi-kun, stay far back.\This one... is mine to kill!\What?\My Light Snow ability\transforms the entire space with snowfall into a screen. response:	What?
context: Light Snow\Snow at this time of year?\Atsushi-kun, stay far back.\This one... is mine to kill!\What?\My Light Snow ability\transforms the entire space with snowfall into a screen.\What? response:	I have overlaid the background scenery onto my image.
context: Snow at this time of year?\Atsushi-kun, stay far back.\This one... is mine to kill!\What?\My Light Snow ability\transforms the entire space with snowfall into a screen.\What?\I have overlaid the background scenery onto my image. response:	You can't see me anymore!
context: Atsushi-kun, stay far back.\This one... is mine to kill!\What?\My Light Snow ability\transforms the entire space with snowfall into a screen.\What?\I have overlaid the background scenery onto my image.\You can't see me anymore! response:	I may not be able to see you,
context: This one... is mine to kill!\What?\My Light Snow ability\transforms the entire space with snowfall into a screen.\What?\I have overlaid the background scenery onto my image.\You can't see me anymore!\I may not be able to see you, response:	but bullets can still hit you!
context: What?\My Light Snow ability\transforms the entire space with snowfall into a screen.\What?\I have overlaid the background scenery onto my image.\You can't see me anymore!\I may not be able to see you,\but bullets can still hit you! response:	Wrong.
context: My Light Snow ability\transforms the entire space with snowfall into a screen.\What?\I have overlaid the background scenery onto my image.\You can't see me anymore!\I may not be able to see you,\but bullets can still hit you!\Wrong. response:	Die!
context: transforms the entire space with snowfall into a screen.\What?\I have overlaid the background scenery onto my image.\You can't see me anymore!\I may not be able to see you,\but bullets can still hit you!\Wrong.\Die! response:	Fear death.
context: What?\I have overlaid the background scenery onto my image.\You can't see me anymore!\I may not be able to see you,\but bullets can still hit you!\Wrong.\Die!\Fear death. response:	Fear slaughter.
context: I have overlaid the background scenery onto my image.\You can't see me anymore!\I may not be able to see you,\but bullets can still hit you!\Wrong.\Die!\Fear death.\Fear slaughter. response:	Those who desire death
context: You can't see me anymore!\I may not be able to see you,\but bullets can still hit you!\Wrong.\Die!\Fear death.\Fear slaughter.\Those who desire death response:	have an equal desire to die.
context: I may not be able to see you,\but bullets can still hit you!\Wrong.\Die!\Fear death.\Fear slaughter.\Those who desire death\have an equal desire to die. response:	Therefore...
context: but bullets can still hit you!\Wrong.\Die!\Fear death.\Fear slaughter.\Those who desire death\have an equal desire to die.\Therefore... response:	Don't run into him!
context: Wrong.\Die!\Fear death.\Fear slaughter.\Those who desire death\have an equal desire to die.\Therefore...\Don't run into him! response:	If you do, run!
context: Die!\Fear death.\Fear slaughter.\Those who desire death\have an equal desire to die.\Therefore...\Don't run into him!\If you do, run! response:	It's nice to meet you.
context: Fear death.\Fear slaughter.\Those who desire death\have an equal desire to die.\Therefore...\Don't run into him!\If you do, run!\It's nice to meet you. response:	I am Akutagawa,
context: Fear slaughter.\Those who desire death\have an equal desire to die.\Therefore...\Don't run into him!\If you do, run!\It's nice to meet you.\I am Akutagawa, response:	one the Port Mafia's dogs, as is she.
context: Those who desire death\have an equal desire to die.\Therefore...\Don't run into him!\If you do, run!\It's nice to meet you.\I am Akutagawa,\one the Port Mafia's dogs, as is she. response:	Akutagawa-senpai!
context: have an equal desire to die.\Therefore...\Don't run into him!\If you do, run!\It's nice to meet you.\I am Akutagawa,\one the Port Mafia's dogs, as is she.\Akutagawa-senpai! response:	I can handle this myself.
context: Therefore...\Don't run into him!\If you do, run!\It's nice to meet you.\I am Akutagawa,\one the Port Mafia's dogs, as is she.\Akutagawa-senpai!\I can handle this myself. response:	I believe my orders were to take the weretiger alive!
context: Don't run into him!\If you do, run!\It's nice to meet you.\I am Akutagawa,\one the Port Mafia's dogs, as is she.\Akutagawa-senpai!\I can handle this myself.\I believe my orders were to take the weretiger alive! response:	And yet here you are, gunning everyone down.
context: If you do, run!\It's nice to meet you.\I am Akutagawa,\one the Port Mafia's dogs, as is she.\Akutagawa-senpai!\I can handle this myself.\I believe my orders were to take the weretiger alive!\And yet here you are, gunning everyone down. response:	You useless cur!
context: It's nice to meet you.\I am Akutagawa,\one the Port Mafia's dogs, as is she.\Akutagawa-senpai!\I can handle this myself.\I believe my orders were to take the weretiger alive!\And yet here you are, gunning everyone down.\You useless cur! response:	Stand down.
context: I am Akutagawa,\one the Port Mafia's dogs, as is she.\Akutagawa-senpai!\I can handle this myself.\I believe my orders were to take the weretiger alive!\And yet here you are, gunning everyone down.\You useless cur!\Stand down. response:	I'm sorry.
context: one the Port Mafia's dogs, as is she.\Akutagawa-senpai!\I can handle this myself.\I believe my orders were to take the weretiger alive!\And yet here you are, gunning everyone down.\You useless cur!\Stand down.\I'm sorry. response:	Take the weretiger alive?
context: Akutagawa-senpai!\I can handle this myself.\I believe my orders were to take the weretiger alive!\And yet here you are, gunning everyone down.\You useless cur!\Stand down.\I'm sorry.\Take the weretiger alive? response:	What are you after?
context: I can handle this myself.\I believe my orders were to take the weretiger alive!\And yet here you are, gunning everyone down.\You useless cur!\Stand down.\I'm sorry.\Take the weretiger alive?\What are you after? response:	My target has always been you and you alone, weretiger.
context: I believe my orders were to take the weretiger alive!\And yet here you are, gunning everyone down.\You useless cur!\Stand down.\I'm sorry.\Take the weretiger alive?\What are you after?\My target has always been you and you alone, weretiger. response:	Your fellow agents lying there just got caught in the crossfire.
context: And yet here you are, gunning everyone down.\You useless cur!\Stand down.\I'm sorry.\Take the weretiger alive?\What are you after?\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire. response:	This is because of me?
context: You useless cur!\Stand down.\I'm sorry.\Take the weretiger alive?\What are you after?\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me? response:	Indeed.
context: Stand down.\I'm sorry.\Take the weretiger alive?\What are you after?\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed. response:	That is your karma, weretiger.
context: I'm sorry.\Take the weretiger alive?\What are you after?\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger. response:	You will cause ill for everyone around you, just by being alive.
context: Take the weretiger alive?\What are you after?\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive. response:	Get out, you good-for-nothing!
context: What are you after?\My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\Get out, you good-for-nothing! response:	The world would be a better place
context: My target has always been you and you alone, weretiger.\Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\Get out, you good-for-nothing!\The world would be a better place response:	if you'd just die in a ditch somewhere!
context: Your fellow agents lying there just got caught in the crossfire.\This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere! response:	You'll never find a place where you belong!
context: This is because of me?\Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You'll never find a place where you belong! response:	My karma?
context: Indeed.\That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You'll never find a place where you belong!\My karma? response:	Rashoumon
context: That is your karma, weretiger.\You will cause ill for everyone around you, just by being alive.\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You'll never find a place where you belong!\My karma?\Rashoumon response:	Rashoumon.
context: You will cause ill for everyone around you, just by being alive.\Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You'll never find a place where you belong!\My karma?\Rashoumon\Rashoumon. response:	I missed on purpose that time, of course.
context: Get out, you good-for-nothing!\The world would be a better place\if you'd just die in a ditch somewhere!\You'll never find a place where you belong!\My karma?\Rashoumon\Rashoumon.\I missed on purpose that time, of course. response:	But my Rashoumon has poor taste.
context: The world would be a better place\if you'd just die in a ditch somewhere!\You'll never find a place where you belong!\My karma?\Rashoumon\Rashoumon.\I missed on purpose that time, of course.\But my Rashoumon has poor taste. response:	It devours anything and everything.
context: if you'd just die in a ditch somewhere!\You'll never find a place where you belong!\My karma?\Rashoumon\Rashoumon.\I missed on purpose that time, of course.\But my Rashoumon has poor taste.\It devours anything and everything. response:	I intend to take you alive, but if you continue to resist,
context: You'll never find a place where you belong!\My karma?\Rashoumon\Rashoumon.\I missed on purpose that time, of course.\But my Rashoumon has poor taste.\It devours anything and everything.\I intend to take you alive, but if you continue to resist, response:	I'll take your leg next.
context: My karma?\Rashoumon\Rashoumon.\I missed on purpose that time, of course.\But my Rashoumon has poor taste.\It devours anything and everything.\I intend to take you alive, but if you continue to resist,\I'll take your leg next. response:	Why...
context: Rashoumon\Rashoumon.\I missed on purpose that time, of course.\But my Rashoumon has poor taste.\It devours anything and everything.\I intend to take you alive, but if you continue to resist,\I'll take your leg next.\Why... response:	Why me?
context: Rashoumon.\I missed on purpose that time, of course.\But my Rashoumon has poor taste.\It devours anything and everything.\I intend to take you alive, but if you continue to resist,\I'll take your leg next.\Why...\Why me? response:	Is this my fault, too?
context: I missed on purpose that time, of course.\But my Rashoumon has poor taste.\It devours anything and everything.\I intend to take you alive, but if you continue to resist,\I'll take your leg next.\Why...\Why me?\Is this my fault, too? response:	Do I make everyone around me suffer just by being alive?
context: But my Rashoumon has poor taste.\It devours anything and everything.\I intend to take you alive, but if you continue to resist,\I'll take your leg next.\Why...\Why me?\Is this my fault, too?\Do I make everyone around me suffer just by being alive? response:	Run, Atsushi-kun.
context: It devours anything and everything.\I intend to take you alive, but if you continue to resist,\I'll take your leg next.\Why...\Why me?\Is this my fault, too?\Do I make everyone around me suffer just by being alive?\Run, Atsushi-kun. response:	They're still alive.
context: I intend to take you alive, but if you continue to resist,\I'll take your leg next.\Why...\Why me?\Is this my fault, too?\Do I make everyone around me suffer just by being alive?\Run, Atsushi-kun.\They're still alive. response:	Today you have joined the ranks of our Armed Detective Agency.
context: I'll take your leg next.\Why...\Why me?\Is this my fault, too?\Do I make everyone around me suffer just by being alive?\Run, Atsushi-kun.\They're still alive.\Today you have joined the ranks of our Armed Detective Agency. response:	Do not be a burden to anyone, nor shame the Agency's good name.
context: Why...\Why me?\Is this my fault, too?\Do I make everyone around me suffer just by being alive?\Run, Atsushi-kun.\They're still alive.\Today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name. response:	Choosing death over surrender...
context: Why me?\Is this my fault, too?\Do I make everyone around me suffer just by being alive?\Run, Atsushi-kun.\They're still alive.\Today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\Choosing death over surrender... response:	How tiresome.
context: Is this my fault, too?\Do I make everyone around me suffer just by being alive?\Run, Atsushi-kun.\They're still alive.\Today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\Choosing death over surrender...\How tiresome. response:	That move wasn't half bad.
context: Do I make everyone around me suffer just by being alive?\Run, Atsushi-kun.\They're still alive.\Today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\Choosing death over surrender...\How tiresome.\That move wasn't half bad. response:	But in the end, it was a fool's last stand.
context: Run, Atsushi-kun.\They're still alive.\Today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\Choosing death over surrender...\How tiresome.\That move wasn't half bad.\But in the end, it was a fool's last stand. response:	I told you.
context: They're still alive.\Today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\Choosing death over surrender...\How tiresome.\That move wasn't half bad.\But in the end, it was a fool's last stand.\I told you. response:	My black beast is indiscriminate.
context: Today you have joined the ranks of our Armed Detective Agency.\Do not be a burden to anyone, nor shame the Agency's good name.\Choosing death over surrender...\How tiresome.\That move wasn't half bad.\But in the end, it was a fool's last stand.\I told you.\My black beast is indiscriminate. response:	It devours anything and everything.
context: Do not be a burden to anyone, nor shame the Agency's good name.\Choosing death over surrender...\How tiresome.\That move wasn't half bad.\But in the end, it was a fool's last stand.\I told you.\My black beast is indiscriminate.\It devours anything and everything. response:	It consumed the very space bullets were attempting to cross to reach me.
context: Choosing death over surrender...\How tiresome.\That move wasn't half bad.\But in the end, it was a fool's last stand.\I told you.\My black beast is indiscriminate.\It devours anything and everything.\It consumed the very space bullets were attempting to cross to reach me. response:	Neither spears or flames can reach me
context: How tiresome.\That move wasn't half bad.\But in the end, it was a fool's last stand.\I told you.\My black beast is indiscriminate.\It devours anything and everything.\It consumed the very space bullets were attempting to cross to reach me.\Neither spears or flames can reach me response:	without a space to traverse.
context: That move wasn't half bad.\But in the end, it was a fool's last stand.\I told you.\My black beast is indiscriminate.\It devours anything and everything.\It consumed the very space bullets were attempting to cross to reach me.\Neither spears or flames can reach me\without a space to traverse. response:	How is anyone supposed to attack him, then?
context: But in the end, it was a fool's last stand.\I told you.\My black beast is indiscriminate.\It devours anything and everything.\It consumed the very space bullets were attempting to cross to reach me.\Neither spears or flames can reach me\without a space to traverse.\How is anyone supposed to attack him, then? response:	And I am a man who keeps his word.
context: I told you.\My black beast is indiscriminate.\It devours anything and everything.\It consumed the very space bullets were attempting to cross to reach me.\Neither spears or flames can reach me\without a space to traverse.\How is anyone supposed to attack him, then?\And I am a man who keeps his word. response:	Quit crying, brat!
context: My black beast is indiscriminate.\It devours anything and everything.\It consumed the very space bullets were attempting to cross to reach me.\Neither spears or flames can reach me\without a space to traverse.\How is anyone supposed to attack him, then?\And I am a man who keeps his word.\Quit crying, brat! response:	Only children who have parents to take liability for them
context: It devours anything and everything.\It consumed the very space bullets were attempting to cross to reach me.\Neither spears or flames can reach me\without a space to traverse.\How is anyone supposed to attack him, then?\And I am a man who keeps his word.\Quit crying, brat!\Only children who have parents to take liability for them response:	are allowed to cry without reservation!
context: It consumed the very space bullets were attempting to cross to reach me.\Neither spears or flames can reach me\without a space to traverse.\How is anyone supposed to attack him, then?\And I am a man who keeps his word.\Quit crying, brat!\Only children who have parents to take liability for them\are allowed to cry without reservation! response:	A child abandoned by his parents has no license to cry!
context: Neither spears or flames can reach me\without a space to traverse.\How is anyone supposed to attack him, then?\And I am a man who keeps his word.\Quit crying, brat!\Only children who have parents to take liability for them\are allowed to cry without reservation!\A child abandoned by his parents has no license to cry! response:	That's right...
context: without a space to traverse.\How is anyone supposed to attack him, then?\And I am a man who keeps his word.\Quit crying, brat!\Only children who have parents to take liability for them\are allowed to cry without reservation!\A child abandoned by his parents has no license to cry!\That's right... response:	I've been abandoned countless times over the course of my life.
context: How is anyone supposed to attack him, then?\And I am a man who keeps his word.\Quit crying, brat!\Only children who have parents to take liability for them\are allowed to cry without reservation!\A child abandoned by his parents has no license to cry!\That's right...\I've been abandoned countless times over the course of my life. response:	I was never allowed to cry,
context: And I am a man who keeps his word.\Quit crying, brat!\Only children who have parents to take liability for them\are allowed to cry without reservation!\A child abandoned by his parents has no license to cry!\That's right...\I've been abandoned countless times over the course of my life.\I was never allowed to cry, response:	no one ever accepted me,
context: Quit crying, brat!\Only children who have parents to take liability for them\are allowed to cry without reservation!\A child abandoned by his parents has no license to cry!\That's right...\I've been abandoned countless times over the course of my life.\I was never allowed to cry,\no one ever accepted me, response:	and I never had a place I could call home.
context: Only children who have parents to take liability for them\are allowed to cry without reservation!\A child abandoned by his parents has no license to cry!\That's right...\I've been abandoned countless times over the course of my life.\I was never allowed to cry,\no one ever accepted me,\and I never had a place I could call home. response:	And yet, I...
context: are allowed to cry without reservation!\A child abandoned by his parents has no license to cry!\That's right...\I've been abandoned countless times over the course of my life.\I was never allowed to cry,\no one ever accepted me,\and I never had a place I could call home.\And yet, I... response:	What?
context: A child abandoned by his parents has no license to cry!\That's right...\I've been abandoned countless times over the course of my life.\I was never allowed to cry,\no one ever accepted me,\and I never had a place I could call home.\And yet, I...\What? response:	His right leg regenerated.
context: That's right...\I've been abandoned countless times over the course of my life.\I was never allowed to cry,\no one ever accepted me,\and I never had a place I could call home.\And yet, I...\What?\His right leg regenerated. response:	This is how it should be.
context: I've been abandoned countless times over the course of my life.\I was never allowed to cry,\no one ever accepted me,\and I never had a place I could call home.\And yet, I...\What?\His right leg regenerated.\This is how it should be. response:	Akutagawa-senpai!
context: I was never allowed to cry,\no one ever accepted me,\and I never had a place I could call home.\And yet, I...\What?\His right leg regenerated.\This is how it should be.\Akutagawa-senpai! response:	Stand down, Higuchi!
context: no one ever accepted me,\and I never had a place I could call home.\And yet, I...\What?\His right leg regenerated.\This is how it should be.\Akutagawa-senpai!\Stand down, Higuchi! response:	What?
context: and I never had a place I could call home.\And yet, I...\What?\His right leg regenerated.\This is how it should be.\Akutagawa-senpai!\Stand down, Higuchi!\What? response:	Senpai!
context: And yet, I...\What?\His right leg regenerated.\This is how it should be.\Akutagawa-senpai!\Stand down, Higuchi!\What?\Senpai! response:	You...
context: What?\His right leg regenerated.\This is how it should be.\Akutagawa-senpai!\Stand down, Higuchi!\What?\Senpai!\You... response:	The bullets can't pierce its skin...
context: His right leg regenerated.\This is how it should be.\Akutagawa-senpai!\Stand down, Higuchi!\What?\Senpai!\You...\The bullets can't pierce its skin... response:	Rashoumon...
context: This is how it should be.\Akutagawa-senpai!\Stand down, Higuchi!\What?\Senpai!\You...\The bullets can't pierce its skin...\Rashoumon... response:	Rashoumon
context: Akutagawa-senpai!\Stand down, Higuchi!\What?\Senpai!\You...\The bullets can't pierce its skin...\Rashoumon...\Rashoumon response:	Agito
context: Stand down, Higuchi!\What?\Senpai!\You...\The bullets can't pierce its skin...\Rashoumon...\Rashoumon\Agito response:	Agito!
context: What?\Senpai!\You...\The bullets can't pierce its skin...\Rashoumon...\Rashoumon\Agito\Agito! response:	I was supposed to take you alive...
context: Senpai!\You...\The bullets can't pierce its skin...\Rashoumon...\Rashoumon\Agito\Agito!\I was supposed to take you alive... response:	This is...
context: You...\The bullets can't pierce its skin...\Rashoumon...\Rashoumon\Agito\Agito!\I was supposed to take you alive...\This is... response:	So I just ripped apart a mirage... then...
context: The bullets can't pierce its skin...\Rashoumon...\Rashoumon\Agito\Agito!\I was supposed to take you alive...\This is...\So I just ripped apart a mirage... then... response:	Rashoumon...
context: Rashoumon...\Rashoumon\Agito\Agito!\I was supposed to take you alive...\This is...\So I just ripped apart a mirage... then...\Rashoumon... response:	Murakumo
context: Rashoumon\Agito\Agito!\I was supposed to take you alive...\This is...\So I just ripped apart a mirage... then...\Rashoumon...\Murakumo response:	Murakumo!
context: Agito\Agito!\I was supposed to take you alive...\This is...\So I just ripped apart a mirage... then...\Rashoumon...\Murakumo\Murakumo! response:	No Longer Human
context: Agito!\I was supposed to take you alive...\This is...\So I just ripped apart a mirage... then...\Rashoumon...\Murakumo\Murakumo!\No Longer Human response:	Okay, that's enough!
context: I was supposed to take you alive...\This is...\So I just ripped apart a mirage... then...\Rashoumon...\Murakumo\Murakumo!\No Longer Human\Okay, that's enough! response:	What?
context: This is...\So I just ripped apart a mirage... then...\Rashoumon...\Murakumo\Murakumo!\No Longer Human\Okay, that's enough!\What? response:	You're one of the detectives...
context: So I just ripped apart a mirage... then...\Rashoumon...\Murakumo\Murakumo!\No Longer Human\Okay, that's enough!\What?\You're one of the detectives... response:	Why are you here?
context: Rashoumon...\Murakumo\Murakumo!\No Longer Human\Okay, that's enough!\What?\You're one of the detectives...\Why are you here? response:	I'm the type who can't stop thinking about what a beautiful lady might be up to.
context: Murakumo\Murakumo!\No Longer Human\Okay, that's enough!\What?\You're one of the detectives...\Why are you here?\I'm the type who can't stop thinking about what a beautiful lady might be up to. response:	I decided to secretly listen in.
context: Murakumo!\No Longer Human\Okay, that's enough!\What?\You're one of the detectives...\Why are you here?\I'm the type who can't stop thinking about what a beautiful lady might be up to.\I decided to secretly listen in. response:	Impossible.
context: No Longer Human\Okay, that's enough!\What?\You're one of the detectives...\Why are you here?\I'm the type who can't stop thinking about what a beautiful lady might be up to.\I decided to secretly listen in.\Impossible. response:	Back then...
context: Okay, that's enough!\What?\You're one of the detectives...\Why are you here?\I'm the type who can't stop thinking about what a beautiful lady might be up to.\I decided to secretly listen in.\Impossible.\Back then... response:	You had already seen through my plans even then.
context: What?\You're one of the detectives...\Why are you here?\I'm the type who can't stop thinking about what a beautiful lady might be up to.\I decided to secretly listen in.\Impossible.\Back then...\You had already seen through my plans even then. response:	Come on, wake up, Atsushi-kun.
context: You're one of the detectives...\Why are you here?\I'm the type who can't stop thinking about what a beautiful lady might be up to.\I decided to secretly listen in.\Impossible.\Back then...\You had already seen through my plans even then.\Come on, wake up, Atsushi-kun. response:	I don't want to carry three people back at the same time.
context: Why are you here?\I'm the type who can't stop thinking about what a beautiful lady might be up to.\I decided to secretly listen in.\Impossible.\Back then...\You had already seen through my plans even then.\Come on, wake up, Atsushi-kun.\I don't want to carry three people back at the same time. response:	You think we'll let you go alive?
context: I'm the type who can't stop thinking about what a beautiful lady might be up to.\I decided to secretly listen in.\Impossible.\Back then...\You had already seen through my plans even then.\Come on, wake up, Atsushi-kun.\I don't want to carry three people back at the same time.\You think we'll let you go alive? response:	Don't, Higuchi.
context: I decided to secretly listen in.\Impossible.\Back then...\You had already seen through my plans even then.\Come on, wake up, Atsushi-kun.\I don't want to carry three people back at the same time.\You think we'll let you go alive?\Don't, Higuchi. response:	You can't win.
context: Impossible.\Back then...\You had already seen through my plans even then.\Come on, wake up, Atsushi-kun.\I don't want to carry three people back at the same time.\You think we'll let you go alive?\Don't, Higuchi.\You can't win. response:	But, Akutagawa-senpai...
context: Back then...\You had already seen through my plans even then.\Come on, wake up, Atsushi-kun.\I don't want to carry three people back at the same time.\You think we'll let you go alive?\Don't, Higuchi.\You can't win.\But, Akutagawa-senpai... response:	Dazai-san, we'll retreat for this round.
context: You had already seen through my plans even then.\Come on, wake up, Atsushi-kun.\I don't want to carry three people back at the same time.\You think we'll let you go alive?\Don't, Higuchi.\You can't win.\But, Akutagawa-senpai...\Dazai-san, we'll retreat for this round. response:	But the weretiger will be the Port Mafia's someday.
context: Come on, wake up, Atsushi-kun.\I don't want to carry three people back at the same time.\You think we'll let you go alive?\Don't, Higuchi.\You can't win.\But, Akutagawa-senpai...\Dazai-san, we'll retreat for this round.\But the weretiger will be the Port Mafia's someday. response:	Why?
context: I don't want to carry three people back at the same time.\You think we'll let you go alive?\Don't, Higuchi.\You can't win.\But, Akutagawa-senpai...\Dazai-san, we'll retreat for this round.\But the weretiger will be the Port Mafia's someday.\Why? response:	Simple enough.
context: You think we'll let you go alive?\Don't, Higuchi.\You can't win.\But, Akutagawa-senpai...\Dazai-san, we'll retreat for this round.\But the weretiger will be the Port Mafia's someday.\Why?\Simple enough. response:	That weretiger has a bounty on him from the black market.
context: Don't, Higuchi.\You can't win.\But, Akutagawa-senpai...\Dazai-san, we'll retreat for this round.\But the weretiger will be the Port Mafia's someday.\Why?\Simple enough.\That weretiger has a bounty on him from the black market. response:	The bounty sum is seven billion yen.
context: You can't win.\But, Akutagawa-senpai...\Dazai-san, we'll retreat for this round.\But the weretiger will be the Port Mafia's someday.\Why?\Simple enough.\That weretiger has a bounty on him from the black market.\The bounty sum is seven billion yen. response:	Now, that's very generous.
context: But, Akutagawa-senpai...\Dazai-san, we'll retreat for this round.\But the weretiger will be the Port Mafia's someday.\Why?\Simple enough.\That weretiger has a bounty on him from the black market.\The bounty sum is seven billion yen.\Now, that's very generous. response:	We'll pay a visit to your Agency at a later time.
context: Dazai-san, we'll retreat for this round.\But the weretiger will be the Port Mafia's someday.\Why?\Simple enough.\That weretiger has a bounty on him from the black market.\The bounty sum is seven billion yen.\Now, that's very generous.\We'll pay a visit to your Agency at a later time. response:	The Port Mafia will claim that seven billion.
context: But the weretiger will be the Port Mafia's someday.\Why?\Simple enough.\That weretiger has a bounty on him from the black market.\The bounty sum is seven billion yen.\Now, that's very generous.\We'll pay a visit to your Agency at a later time.\The Port Mafia will claim that seven billion. response:	Is that a declaration of war on the Armed Detective Agency?
context: Why?\Simple enough.\That weretiger has a bounty on him from the black market.\The bounty sum is seven billion yen.\Now, that's very generous.\We'll pay a visit to your Agency at a later time.\The Port Mafia will claim that seven billion.\Is that a declaration of war on the Armed Detective Agency? response:	Try it... if you dare.
context: Simple enough.\That weretiger has a bounty on him from the black market.\The bounty sum is seven billion yen.\Now, that's very generous.\We'll pay a visit to your Agency at a later time.\The Port Mafia will claim that seven billion.\Is that a declaration of war on the Armed Detective Agency?\Try it... if you dare. response:	You are an insignificant small-scale operation,
context: That weretiger has a bounty on him from the black market.\The bounty sum is seven billion yen.\Now, that's very generous.\We'll pay a visit to your Agency at a later time.\The Port Mafia will claim that seven billion.\Is that a declaration of war on the Armed Detective Agency?\Try it... if you dare.\You are an insignificant small-scale operation, response:	whereas we are this city's darkness made incarnate.
context: The bounty sum is seven billion yen.\Now, that's very generous.\We'll pay a visit to your Agency at a later time.\The Port Mafia will claim that seven billion.\Is that a declaration of war on the Armed Detective Agency?\Try it... if you dare.\You are an insignificant small-scale operation,\whereas we are this city's darkness made incarnate. response:	We have connections in this city's politics and economy at every level.
