context: Qing Cang is so ridiculous. response:	He hasn't even won the war yet and he's already started to celebrate.
context: All people eventually die. It is only sooner or later.\Live with a clear conscience\then even in death, there will be no loss of dignity.\His death was worthwhile.\I had originally wanted to watch the war from afar\but who knew nothing would happen as expected.\Fourth Brother, do you know of the Bell of the East Emperor?\Yes. I've also seen it when I was young. response:	However, its whereabouts are unknown now.
context: Live with a clear conscience\then even in death, there will be no loss of dignity.\His death was worthwhile.\I had originally wanted to watch the war from afar\but who knew nothing would happen as expected.\Fourth Brother, do you know of the Bell of the East Emperor?\Yes. I've also seen it when I was young.\However, its whereabouts are unknown now. response:	It is in Qing Cang's possession.
context: then even in death, there will be no loss of dignity.\His death was worthwhile.\I had originally wanted to watch the war from afar\but who knew nothing would happen as expected.\Fourth Brother, do you know of the Bell of the East Emperor?\Yes. I've also seen it when I was young.\However, its whereabouts are unknown now.\It is in Qing Cang's possession. response:	Is that true?
context: His death was worthwhile.\I had originally wanted to watch the war from afar\but who knew nothing would happen as expected.\Fourth Brother, do you know of the Bell of the East Emperor?\Yes. I've also seen it when I was young.\However, its whereabouts are unknown now.\It is in Qing Cang's possession.\Is that true? response:	This is another serious matter then.
context: I had originally wanted to watch the war from afar\but who knew nothing would happen as expected.\Fourth Brother, do you know of the Bell of the East Emperor?\Yes. I've also seen it when I was young.\However, its whereabouts are unknown now.\It is in Qing Cang's possession.\Is that true?\This is another serious matter then. response:	In an hour, we will carry out the plan.
context: but who knew nothing would happen as expected.\Fourth Brother, do you know of the Bell of the East Emperor?\Yes. I've also seen it when I was young.\However, its whereabouts are unknown now.\It is in Qing Cang's possession.\Is that true?\This is another serious matter then.\In an hour, we will carry out the plan. response:	Remember, after you have broken through the encirclement
context: Fourth Brother, do you know of the Bell of the East Emperor?\Yes. I've also seen it when I was young.\However, its whereabouts are unknown now.\It is in Qing Cang's possession.\Is that true?\This is another serious matter then.\In an hour, we will carry out the plan.\Remember, after you have broken through the encirclement response:	thin out the enemy's frontline as much as possible.
context: Yes. I've also seen it when I was young.\However, its whereabouts are unknown now.\It is in Qing Cang's possession.\Is that true?\This is another serious matter then.\In an hour, we will carry out the plan.\Remember, after you have broken through the encirclement\thin out the enemy's frontline as much as possible. response:	Understood.
context: However, its whereabouts are unknown now.\It is in Qing Cang's possession.\Is that true?\This is another serious matter then.\In an hour, we will carry out the plan.\Remember, after you have broken through the encirclement\thin out the enemy's frontline as much as possible.\Understood. response:	Farewell for now.
context: It is in Qing Cang's possession.\Is that true?\This is another serious matter then.\In an hour, we will carry out the plan.\Remember, after you have broken through the encirclement\thin out the enemy's frontline as much as possible.\Understood.\Farewell for now. response:	On the day I return
context: Is that true?\This is another serious matter then.\In an hour, we will carry out the plan.\Remember, after you have broken through the encirclement\thin out the enemy's frontline as much as possible.\Understood.\Farewell for now.\On the day I return response:	I will have another contest with you.
context: This is another serious matter then.\In an hour, we will carry out the plan.\Remember, after you have broken through the encirclement\thin out the enemy's frontline as much as possible.\Understood.\Farewell for now.\On the day I return\I will have another contest with you. response:	No matter the outcome
context: In an hour, we will carry out the plan.\Remember, after you have broken through the encirclement\thin out the enemy's frontline as much as possible.\Understood.\Farewell for now.\On the day I return\I will have another contest with you.\No matter the outcome response:	after our duel
context: Remember, after you have broken through the encirclement\thin out the enemy's frontline as much as possible.\Understood.\Farewell for now.\On the day I return\I will have another contest with you.\No matter the outcome\after our duel response:	let us wipe the slate clean.
context: thin out the enemy's frontline as much as possible.\Understood.\Farewell for now.\On the day I return\I will have another contest with you.\No matter the outcome\after our duel\let us wipe the slate clean. response:	What do you say?
context: Understood.\Farewell for now.\On the day I return\I will have another contest with you.\No matter the outcome\after our duel\let us wipe the slate clean.\What do you say? response:	Very well.
context: Farewell for now.\On the day I return\I will have another contest with you.\No matter the outcome\after our duel\let us wipe the slate clean.\What do you say?\Very well. response:	Everyone, I will be going first.
context: On the day I return\I will have another contest with you.\No matter the outcome\after our duel\let us wipe the slate clean.\What do you say?\Very well.\Everyone, I will be going first. response:	- Farewell. - Farewell.
context: I will have another contest with you.\No matter the outcome\after our duel\let us wipe the slate clean.\What do you say?\Very well.\Everyone, I will be going first.\- Farewell. - Farewell. response:	Of the seven formations I laid out
context: No matter the outcome\after our duel\let us wipe the slate clean.\What do you say?\Very well.\Everyone, I will be going first.\- Farewell. - Farewell.\Of the seven formations I laid out response:	one general has perished, and one general will lead a diversion.
context: after our duel\let us wipe the slate clean.\What do you say?\Very well.\Everyone, I will be going first.\- Farewell. - Farewell.\Of the seven formations I laid out\one general has perished, and one general will lead a diversion. response:	I still need two other generals to lead.
context: let us wipe the slate clean.\What do you say?\Very well.\Everyone, I will be going first.\- Farewell. - Farewell.\Of the seven formations I laid out\one general has perished, and one general will lead a diversion.\I still need two other generals to lead. response:	We have already split our troops.
context: What do you say?\Very well.\Everyone, I will be going first.\- Farewell. - Farewell.\Of the seven formations I laid out\one general has perished, and one general will lead a diversion.\I still need two other generals to lead.\We have already split our troops. response:	If we request for more troops from Heavenly Lord
context: Very well.\Everyone, I will be going first.\- Farewell. - Farewell.\Of the seven formations I laid out\one general has perished, and one general will lead a diversion.\I still need two other generals to lead.\We have already split our troops.\If we request for more troops from Heavenly Lord response:	I'm afraid they won't get here in time.
context: Everyone, I will be going first.\- Farewell. - Farewell.\Of the seven formations I laid out\one general has perished, and one general will lead a diversion.\I still need two other generals to lead.\We have already split our troops.\If we request for more troops from Heavenly Lord\I'm afraid they won't get here in time. response:	Master, I request to lead.
context: - Farewell. - Farewell.\Of the seven formations I laid out\one general has perished, and one general will lead a diversion.\I still need two other generals to lead.\We have already split our troops.\If we request for more troops from Heavenly Lord\I'm afraid they won't get here in time.\Master, I request to lead. response:	You have never led an army, Seventeenth.
context: Of the seven formations I laid out\one general has perished, and one general will lead a diversion.\I still need two other generals to lead.\We have already split our troops.\If we request for more troops from Heavenly Lord\I'm afraid they won't get here in time.\Master, I request to lead.\You have never led an army, Seventeenth. response:	I have followed you for 20,000 years.
context: one general has perished, and one general will lead a diversion.\I still need two other generals to lead.\We have already split our troops.\If we request for more troops from Heavenly Lord\I'm afraid they won't get here in time.\Master, I request to lead.\You have never led an army, Seventeenth.\I have followed you for 20,000 years. response:	I have long since committed the formation to heart.
context: I still need two other generals to lead.\We have already split our troops.\If we request for more troops from Heavenly Lord\I'm afraid they won't get here in time.\Master, I request to lead.\You have never led an army, Seventeenth.\I have followed you for 20,000 years.\I have long since committed the formation to heart. response:	Please believe me.
context: We have already split our troops.\If we request for more troops from Heavenly Lord\I'm afraid they won't get here in time.\Master, I request to lead.\You have never led an army, Seventeenth.\I have followed you for 20,000 years.\I have long since committed the formation to heart.\Please believe me. response:	I am also willing to lead.
context: If we request for more troops from Heavenly Lord\I'm afraid they won't get here in time.\Master, I request to lead.\You have never led an army, Seventeenth.\I have followed you for 20,000 years.\I have long since committed the formation to heart.\Please believe me.\I am also willing to lead. response:	You?
context: I'm afraid they won't get here in time.\Master, I request to lead.\You have never led an army, Seventeenth.\I have followed you for 20,000 years.\I have long since committed the formation to heart.\Please believe me.\I am also willing to lead.\You? response:	In this canopy, in terms of magic power
context: Master, I request to lead.\You have never led an army, Seventeenth.\I have followed you for 20,000 years.\I have long since committed the formation to heart.\Please believe me.\I am also willing to lead.\You?\In this canopy, in terms of magic power response:	aside from you, I'm afraid I am the only other choice.
context: You have never led an army, Seventeenth.\I have followed you for 20,000 years.\I have long since committed the formation to heart.\Please believe me.\I am also willing to lead.\You?\In this canopy, in terms of magic power\aside from you, I'm afraid I am the only other choice. response:	Very well.
context: I have followed you for 20,000 years.\I have long since committed the formation to heart.\Please believe me.\I am also willing to lead.\You?\In this canopy, in terms of magic power\aside from you, I'm afraid I am the only other choice.\Very well. response:	The two of you will lead the troops.
context: I have long since committed the formation to heart.\Please believe me.\I am also willing to lead.\You?\In this canopy, in terms of magic power\aside from you, I'm afraid I am the only other choice.\Very well.\The two of you will lead the troops. response:	Si Yin will lead Yao Guang's left flank forces.
context: Please believe me.\I am also willing to lead.\You?\In this canopy, in terms of magic power\aside from you, I'm afraid I am the only other choice.\Very well.\The two of you will lead the troops.\Si Yin will lead Yao Guang's left flank forces. response:	Bai Zhen will lead Ling Yu's vanguard.
context: I am also willing to lead.\You?\In this canopy, in terms of magic power\aside from you, I'm afraid I am the only other choice.\Very well.\The two of you will lead the troops.\Si Yin will lead Yao Guang's left flank forces.\Bai Zhen will lead Ling Yu's vanguard. response:	- Yes. - Yes.
context: You?\In this canopy, in terms of magic power\aside from you, I'm afraid I am the only other choice.\Very well.\The two of you will lead the troops.\Si Yin will lead Yao Guang's left flank forces.\Bai Zhen will lead Ling Yu's vanguard.\- Yes. - Yes. response:	In a bit, according to my agreement with Yao Guang
context: In this canopy, in terms of magic power\aside from you, I'm afraid I am the only other choice.\Very well.\The two of you will lead the troops.\Si Yin will lead Yao Guang's left flank forces.\Bai Zhen will lead Ling Yu's vanguard.\- Yes. - Yes.\In a bit, according to my agreement with Yao Guang response:	I'll lead the main force to break through the enemy's southeast corner
context: aside from you, I'm afraid I am the only other choice.\Very well.\The two of you will lead the troops.\Si Yin will lead Yao Guang's left flank forces.\Bai Zhen will lead Ling Yu's vanguard.\- Yes. - Yes.\In a bit, according to my agreement with Yao Guang\I'll lead the main force to break through the enemy's southeast corner response:	and allow Yao Guang to escape from the encirclement.
context: Very well.\The two of you will lead the troops.\Si Yin will lead Yao Guang's left flank forces.\Bai Zhen will lead Ling Yu's vanguard.\- Yes. - Yes.\In a bit, according to my agreement with Yao Guang\I'll lead the main force to break through the enemy's southeast corner\and allow Yao Guang to escape from the encirclement. response:	At this time
context: The two of you will lead the troops.\Si Yin will lead Yao Guang's left flank forces.\Bai Zhen will lead Ling Yu's vanguard.\- Yes. - Yes.\In a bit, according to my agreement with Yao Guang\I'll lead the main force to break through the enemy's southeast corner\and allow Yao Guang to escape from the encirclement.\At this time response:	Yang Cuo, Sang Ji, and Lian Song will pretend to give up and retreat.
context: Si Yin will lead Yao Guang's left flank forces.\Bai Zhen will lead Ling Yu's vanguard.\- Yes. - Yes.\In a bit, according to my agreement with Yao Guang\I'll lead the main force to break through the enemy's southeast corner\and allow Yao Guang to escape from the encirclement.\At this time\Yang Cuo, Sang Ji, and Lian Song will pretend to give up and retreat. response:	Mo Yuan, Qing Cang has already changed his formation
context: Bai Zhen will lead Ling Yu's vanguard.\- Yes. - Yes.\In a bit, according to my agreement with Yao Guang\I'll lead the main force to break through the enemy's southeast corner\and allow Yao Guang to escape from the encirclement.\At this time\Yang Cuo, Sang Ji, and Lian Song will pretend to give up and retreat.\Mo Yuan, Qing Cang has already changed his formation response:	and diverted at least 100,000 soldiers in pursuit of Yao Guang.
context: - Yes. - Yes.\In a bit, according to my agreement with Yao Guang\I'll lead the main force to break through the enemy's southeast corner\and allow Yao Guang to escape from the encirclement.\At this time\Yang Cuo, Sang Ji, and Lian Song will pretend to give up and retreat.\Mo Yuan, Qing Cang has already changed his formation\and diverted at least 100,000 soldiers in pursuit of Yao Guang. response:	Good.
context: In a bit, according to my agreement with Yao Guang\I'll lead the main force to break through the enemy's southeast corner\and allow Yao Guang to escape from the encirclement.\At this time\Yang Cuo, Sang Ji, and Lian Song will pretend to give up and retreat.\Mo Yuan, Qing Cang has already changed his formation\and diverted at least 100,000 soldiers in pursuit of Yao Guang.\Good. response:	Seize Qing Cang's head
context: I'll lead the main force to break through the enemy's southeast corner\and allow Yao Guang to escape from the encirclement.\At this time\Yang Cuo, Sang Ji, and Lian Song will pretend to give up and retreat.\Mo Yuan, Qing Cang has already changed his formation\and diverted at least 100,000 soldiers in pursuit of Yao Guang.\Good.\Seize Qing Cang's head response:	as an offering to Celestial soldiers who heroically sacrificed their lives!
context: and allow Yao Guang to escape from the encirclement.\At this time\Yang Cuo, Sang Ji, and Lian Song will pretend to give up and retreat.\Mo Yuan, Qing Cang has already changed his formation\and diverted at least 100,000 soldiers in pursuit of Yao Guang.\Good.\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives! response:	Seize Qing Cang's head
context: At this time\Yang Cuo, Sang Ji, and Lian Song will pretend to give up and retreat.\Mo Yuan, Qing Cang has already changed his formation\and diverted at least 100,000 soldiers in pursuit of Yao Guang.\Good.\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head response:	as an offering to Celestial soldiers who heroically sacrificed their lives!
context: Yang Cuo, Sang Ji, and Lian Song will pretend to give up and retreat.\Mo Yuan, Qing Cang has already changed his formation\and diverted at least 100,000 soldiers in pursuit of Yao Guang.\Good.\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives! response:	Seize Qing Cang's head
context: Mo Yuan, Qing Cang has already changed his formation\and diverted at least 100,000 soldiers in pursuit of Yao Guang.\Good.\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head response:	as an offering to Celestial soldiers who heroically sacrificed their lives!
context: and diverted at least 100,000 soldiers in pursuit of Yao Guang.\Good.\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives! response:	Qing Cang.
context: Good.\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Qing Cang. response:	If you allow yourself to be captured
context: Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Qing Cang.\If you allow yourself to be captured response:	your troops behind you might have a chance to live.
context: as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Qing Cang.\If you allow yourself to be captured\your troops behind you might have a chance to live. response:	But if you do not surrender
context: Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Qing Cang.\If you allow yourself to be captured\your troops behind you might have a chance to live.\But if you do not surrender response:	then you shall pay with your life
context: as an offering to Celestial soldiers who heroically sacrificed their lives!\Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Qing Cang.\If you allow yourself to be captured\your troops behind you might have a chance to live.\But if you do not surrender\then you shall pay with your life response:	for the Celestial soldiers who died in this war.
context: Seize Qing Cang's head\as an offering to Celestial soldiers who heroically sacrificed their lives!\Qing Cang.\If you allow yourself to be captured\your troops behind you might have a chance to live.\But if you do not surrender\then you shall pay with your life\for the Celestial soldiers who died in this war. response:	As long as I am lord of the Ghost Tribe
context: as an offering to Celestial soldiers who heroically sacrificed their lives!\Qing Cang.\If you allow yourself to be captured\your troops behind you might have a chance to live.\But if you do not surrender\then you shall pay with your life\for the Celestial soldiers who died in this war.\As long as I am lord of the Ghost Tribe response:	I will never surrender.
context: Qing Cang.\If you allow yourself to be captured\your troops behind you might have a chance to live.\But if you do not surrender\then you shall pay with your life\for the Celestial soldiers who died in this war.\As long as I am lord of the Ghost Tribe\I will never surrender. response:	It is time for a change in this world.
context: If you allow yourself to be captured\your troops behind you might have a chance to live.\But if you do not surrender\then you shall pay with your life\for the Celestial soldiers who died in this war.\As long as I am lord of the Ghost Tribe\I will never surrender.\It is time for a change in this world. response:	With all these gods to accompany me
context: your troops behind you might have a chance to live.\But if you do not surrender\then you shall pay with your life\for the Celestial soldiers who died in this war.\As long as I am lord of the Ghost Tribe\I will never surrender.\It is time for a change in this world.\With all these gods to accompany me response:	I deem this war worthwhile.
context: But if you do not surrender\then you shall pay with your life\for the Celestial soldiers who died in this war.\As long as I am lord of the Ghost Tribe\I will never surrender.\It is time for a change in this world.\With all these gods to accompany me\I deem this war worthwhile. response:	Mo Yuan, do you recognize this?
context: then you shall pay with your life\for the Celestial soldiers who died in this war.\As long as I am lord of the Ghost Tribe\I will never surrender.\It is time for a change in this world.\With all these gods to accompany me\I deem this war worthwhile.\Mo Yuan, do you recognize this? response:	The Bell of the East Emperor?
context: for the Celestial soldiers who died in this war.\As long as I am lord of the Ghost Tribe\I will never surrender.\It is time for a change in this world.\With all these gods to accompany me\I deem this war worthwhile.\Mo Yuan, do you recognize this?\The Bell of the East Emperor? response:	This Bell of the East Emperor was created by you.
context: As long as I am lord of the Ghost Tribe\I will never surrender.\It is time for a change in this world.\With all these gods to accompany me\I deem this war worthwhile.\Mo Yuan, do you recognize this?\The Bell of the East Emperor?\This Bell of the East Emperor was created by you. response:	Today, you will die by it!
context: I will never surrender.\It is time for a change in this world.\With all these gods to accompany me\I deem this war worthwhile.\Mo Yuan, do you recognize this?\The Bell of the East Emperor?\This Bell of the East Emperor was created by you.\Today, you will die by it! response:	Si Yin!
context: It is time for a change in this world.\With all these gods to accompany me\I deem this war worthwhile.\Mo Yuan, do you recognize this?\The Bell of the East Emperor?\This Bell of the East Emperor was created by you.\Today, you will die by it!\Si Yin! response:	Catch him!
context: With all these gods to accompany me\I deem this war worthwhile.\Mo Yuan, do you recognize this?\The Bell of the East Emperor?\This Bell of the East Emperor was created by you.\Today, you will die by it!\Si Yin!\Catch him! response:	Si Yin.
context: I deem this war worthwhile.\Mo Yuan, do you recognize this?\The Bell of the East Emperor?\This Bell of the East Emperor was created by you.\Today, you will die by it!\Si Yin!\Catch him!\Si Yin. response:	Qing Cang.
context: Mo Yuan, do you recognize this?\The Bell of the East Emperor?\This Bell of the East Emperor was created by you.\Today, you will die by it!\Si Yin!\Catch him!\Si Yin.\Qing Cang. response:	Since I was the one who created the Bell of the East Emperor
context: The Bell of the East Emperor?\This Bell of the East Emperor was created by you.\Today, you will die by it!\Si Yin!\Catch him!\Si Yin.\Qing Cang.\Since I was the one who created the Bell of the East Emperor response:	then I know how to control it!
context: This Bell of the East Emperor was created by you.\Today, you will die by it!\Si Yin!\Catch him!\Si Yin.\Qing Cang.\Since I was the one who created the Bell of the East Emperor\then I know how to control it! response:	Master!
context: Today, you will die by it!\Si Yin!\Catch him!\Si Yin.\Qing Cang.\Since I was the one who created the Bell of the East Emperor\then I know how to control it!\Master! response:	Seventeenth, are you all right?
context: Si Yin!\Catch him!\Si Yin.\Qing Cang.\Since I was the one who created the Bell of the East Emperor\then I know how to control it!\Master!\Seventeenth, are you all right? response:	I'm fine.
context: Catch him!\Si Yin.\Qing Cang.\Since I was the one who created the Bell of the East Emperor\then I know how to control it!\Master!\Seventeenth, are you all right?\I'm fine. response:	Wait for me.
context: Si Yin.\Qing Cang.\Since I was the one who created the Bell of the East Emperor\then I know how to control it!\Master!\Seventeenth, are you all right?\I'm fine.\Wait for me. response:	Master.
context: Qing Cang.\Since I was the one who created the Bell of the East Emperor\then I know how to control it!\Master!\Seventeenth, are you all right?\I'm fine.\Wait for me.\Master. response:	Master.
context: Since I was the one who created the Bell of the East Emperor\then I know how to control it!\Master!\Seventeenth, are you all right?\I'm fine.\Wait for me.\Master.\Master. response:	Master!
context: then I know how to control it!\Master!\Seventeenth, are you all right?\I'm fine.\Wait for me.\Master.\Master.\Master! response:	Master.
context: Master!\Seventeenth, are you all right?\I'm fine.\Wait for me.\Master.\Master.\Master!\Master. response:	Master!
context: Seventeenth, are you all right?\I'm fine.\Wait for me.\Master.\Master.\Master!\Master.\Master! response:	- Master! - Seventeenth!
context: I'm fine.\Wait for me.\Master.\Master.\Master!\Master.\Master!\- Master! - Seventeenth! response:	Master!
context: Wait for me.\Master.\Master.\Master!\Master.\Master!\- Master! - Seventeenth!\Master! response:	Master!
context: Master.\Master.\Master!\Master.\Master!\- Master! - Seventeenth!\Master!\Master! response:	Master.
context: Master.\Master!\Master.\Master!\- Master! - Seventeenth!\Master!\Master!\Master. response:	Master!
context: Master!\Master.\Master!\- Master! - Seventeenth!\Master!\Master!\Master.\Master! response:	Master!
context: Master.\Master!\- Master! - Seventeenth!\Master!\Master!\Master.\Master!\Master! response:	- Master! - Master!
context: Master!\- Master! - Seventeenth!\Master!\Master!\Master.\Master!\Master!\- Master! - Master! response:	Master!
context: - Master! - Seventeenth!\Master!\Master!\Master.\Master!\Master!\- Master! - Master!\Master! response:	Master.
context: Master!\Master!\Master.\Master!\Master!\- Master! - Master!\Master!\Master. response:	- Master! - Master!
context: Master!\Master.\Master!\Master!\- Master! - Master!\Master!\Master.\- Master! - Master! response:	Master!
context: Master.\Master!\Master!\- Master! - Master!\Master!\Master.\- Master! - Master!\Master! response:	Immortals, this is the Ghost Tribe's document of surrender.
context: Master!\Master!\- Master! - Master!\Master!\Master.\- Master! - Master!\Master!\Immortals, this is the Ghost Tribe's document of surrender. response:	My father has been sealed in the Bell of the East Emperor.
context: Master!\- Master! - Master!\Master!\Master.\- Master! - Master!\Master!\Immortals, this is the Ghost Tribe's document of surrender.\My father has been sealed in the Bell of the East Emperor. response:	The Ghost Tribe no longer wants to stand against the Celestial Tribe.
context: - Master! - Master!\Master!\Master.\- Master! - Master!\Master!\Immortals, this is the Ghost Tribe's document of surrender.\My father has been sealed in the Bell of the East Emperor.\The Ghost Tribe no longer wants to stand against the Celestial Tribe. response:	Please accept this document of surrender
context: Master!\Master.\- Master! - Master!\Master!\Immortals, this is the Ghost Tribe's document of surrender.\My father has been sealed in the Bell of the East Emperor.\The Ghost Tribe no longer wants to stand against the Celestial Tribe.\Please accept this document of surrender response:	and allow my 30,000 defeated troops a chance to live.
context: Master.\- Master! - Master!\Master!\Immortals, this is the Ghost Tribe's document of surrender.\My father has been sealed in the Bell of the East Emperor.\The Ghost Tribe no longer wants to stand against the Celestial Tribe.\Please accept this document of surrender\and allow my 30,000 defeated troops a chance to live. response:	What is the use of a document of surrender?
context: - Master! - Master!\Master!\Immortals, this is the Ghost Tribe's document of surrender.\My father has been sealed in the Bell of the East Emperor.\The Ghost Tribe no longer wants to stand against the Celestial Tribe.\Please accept this document of surrender\and allow my 30,000 defeated troops a chance to live.\What is the use of a document of surrender? response:	I'll have you all buried with the dead!
context: Master!\Immortals, this is the Ghost Tribe's document of surrender.\My father has been sealed in the Bell of the East Emperor.\The Ghost Tribe no longer wants to stand against the Celestial Tribe.\Please accept this document of surrender\and allow my 30,000 defeated troops a chance to live.\What is the use of a document of surrender?\I'll have you all buried with the dead! response:	Seventeenth!
context: Immortals, this is the Ghost Tribe's document of surrender.\My father has been sealed in the Bell of the East Emperor.\The Ghost Tribe no longer wants to stand against the Celestial Tribe.\Please accept this document of surrender\and allow my 30,000 defeated troops a chance to live.\What is the use of a document of surrender?\I'll have you all buried with the dead!\Seventeenth! response:	- Seventeenth, stop! - Seventeenth!
context: My father has been sealed in the Bell of the East Emperor.\The Ghost Tribe no longer wants to stand against the Celestial Tribe.\Please accept this document of surrender\and allow my 30,000 defeated troops a chance to live.\What is the use of a document of surrender?\I'll have you all buried with the dead!\Seventeenth!\- Seventeenth, stop! - Seventeenth! response:	This concerns all the people in the world! Do not be rash!
context: The Ghost Tribe no longer wants to stand against the Celestial Tribe.\Please accept this document of surrender\and allow my 30,000 defeated troops a chance to live.\What is the use of a document of surrender?\I'll have you all buried with the dead!\Seventeenth!\- Seventeenth, stop! - Seventeenth!\This concerns all the people in the world! Do not be rash! response:	The Ghost Tribe has millions of people. You'll never kill us all!
context: Please accept this document of surrender\and allow my 30,000 defeated troops a chance to live.\What is the use of a document of surrender?\I'll have you all buried with the dead!\Seventeenth!\- Seventeenth, stop! - Seventeenth!\This concerns all the people in the world! Do not be rash!\The Ghost Tribe has millions of people. You'll never kill us all! response:	I'll annihilate the entire Ghost Tribe
context: and allow my 30,000 defeated troops a chance to live.\What is the use of a document of surrender?\I'll have you all buried with the dead!\Seventeenth!\- Seventeenth, stop! - Seventeenth!\This concerns all the people in the world! Do not be rash!\The Ghost Tribe has millions of people. You'll never kill us all!\I'll annihilate the entire Ghost Tribe response:	even if I have to devote my whole life to it!
context: What is the use of a document of surrender?\I'll have you all buried with the dead!\Seventeenth!\- Seventeenth, stop! - Seventeenth!\This concerns all the people in the world! Do not be rash!\The Ghost Tribe has millions of people. You'll never kill us all!\I'll annihilate the entire Ghost Tribe\even if I have to devote my whole life to it! response:	Si Yin, casualties are unavoidable when it comes to war.
context: I'll have you all buried with the dead!\Seventeenth!\- Seventeenth, stop! - Seventeenth!\This concerns all the people in the world! Do not be rash!\The Ghost Tribe has millions of people. You'll never kill us all!\I'll annihilate the entire Ghost Tribe\even if I have to devote my whole life to it!\Si Yin, casualties are unavoidable when it comes to war. response:	Moreover, my father has already been sealed.
context: Seventeenth!\- Seventeenth, stop! - Seventeenth!\This concerns all the people in the world! Do not be rash!\The Ghost Tribe has millions of people. You'll never kill us all!\I'll annihilate the entire Ghost Tribe\even if I have to devote my whole life to it!\Si Yin, casualties are unavoidable when it comes to war.\Moreover, my father has already been sealed. response:	Please do not implicate any others!
context: - Seventeenth, stop! - Seventeenth!\This concerns all the people in the world! Do not be rash!\The Ghost Tribe has millions of people. You'll never kill us all!\I'll annihilate the entire Ghost Tribe\even if I have to devote my whole life to it!\Si Yin, casualties are unavoidable when it comes to war.\Moreover, my father has already been sealed.\Please do not implicate any others! response:	Let go of me!
context: This concerns all the people in the world! Do not be rash!\The Ghost Tribe has millions of people. You'll never kill us all!\I'll annihilate the entire Ghost Tribe\even if I have to devote my whole life to it!\Si Yin, casualties are unavoidable when it comes to war.\Moreover, my father has already been sealed.\Please do not implicate any others!\Let go of me! response:	- Si Yin! - Seventeenth!
context: The Ghost Tribe has millions of people. You'll never kill us all!\I'll annihilate the entire Ghost Tribe\even if I have to devote my whole life to it!\Si Yin, casualties are unavoidable when it comes to war.\Moreover, my father has already been sealed.\Please do not implicate any others!\Let go of me!\- Si Yin! - Seventeenth! response:	Let's go back to Kunlun Mountain.
context: I'll annihilate the entire Ghost Tribe\even if I have to devote my whole life to it!\Si Yin, casualties are unavoidable when it comes to war.\Moreover, my father has already been sealed.\Please do not implicate any others!\Let go of me!\- Si Yin! - Seventeenth!\Let's go back to Kunlun Mountain. response:	What did you say?
context: even if I have to devote my whole life to it!\Si Yin, casualties are unavoidable when it comes to war.\Moreover, my father has already been sealed.\Please do not implicate any others!\Let go of me!\- Si Yin! - Seventeenth!\Let's go back to Kunlun Mountain.\What did you say? response:	Mo Yuan used his spirit as a sacrifice to the Bell of the East Emperor
context: Si Yin, casualties are unavoidable when it comes to war.\Moreover, my father has already been sealed.\Please do not implicate any others!\Let go of me!\- Si Yin! - Seventeenth!\Let's go back to Kunlun Mountain.\What did you say?\Mo Yuan used his spirit as a sacrifice to the Bell of the East Emperor response:	and his soul has been scattered.
context: Moreover, my father has already been sealed.\Please do not implicate any others!\Let go of me!\- Si Yin! - Seventeenth!\Let's go back to Kunlun Mountain.\What did you say?\Mo Yuan used his spirit as a sacrifice to the Bell of the East Emperor\and his soul has been scattered. response:	All right.
context: Please do not implicate any others!\Let go of me!\- Si Yin! - Seventeenth!\Let's go back to Kunlun Mountain.\What did you say?\Mo Yuan used his spirit as a sacrifice to the Bell of the East Emperor\and his soul has been scattered.\All right. response:	I understand.
context: Let go of me!\- Si Yin! - Seventeenth!\Let's go back to Kunlun Mountain.\What did you say?\Mo Yuan used his spirit as a sacrifice to the Bell of the East Emperor\and his soul has been scattered.\All right.\I understand. response:	Wait.
