context: The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: Why are you just smiling like that?\What?\Isn't it wonderful, Kureha?\What part?\All of it.\The town of Seize, this fortress, everyone in our platoon. All of it!\We're just a tiny little unit in the middle of nowhere that doesn't even matter.\Our tank is broken. response:	And they forget to send us supplies.
context: What?\Isn't it wonderful, Kureha?\What part?\All of it.\The town of Seize, this fortress, everyone in our platoon. All of it!\We're just a tiny little unit in the middle of nowhere that doesn't even matter.\Our tank is broken.\And they forget to send us supplies. response:	We're just soldiers in name.
context: Isn't it wonderful, Kureha?\What part?\All of it.\The town of Seize, this fortress, everyone in our platoon. All of it!\We're just a tiny little unit in the middle of nowhere that doesn't even matter.\Our tank is broken.\And they forget to send us supplies.\We're just soldiers in name. response:	We're completely lax.
context: What part?\All of it.\The town of Seize, this fortress, everyone in our platoon. All of it!\We're just a tiny little unit in the middle of nowhere that doesn't even matter.\Our tank is broken.\And they forget to send us supplies.\We're just soldiers in name.\We're completely lax. response:	But you still love it.
context: All of it.\The town of Seize, this fortress, everyone in our platoon. All of it!\We're just a tiny little unit in the middle of nowhere that doesn't even matter.\Our tank is broken.\And they forget to send us supplies.\We're just soldiers in name.\We're completely lax.\But you still love it. response:	What?
context: The town of Seize, this fortress, everyone in our platoon. All of it!\We're just a tiny little unit in the middle of nowhere that doesn't even matter.\Our tank is broken.\And they forget to send us supplies.\We're just soldiers in name.\We're completely lax.\But you still love it.\What? response:	What's-
context: We're just a tiny little unit in the middle of nowhere that doesn't even matter.\Our tank is broken.\And they forget to send us supplies.\We're just soldiers in name.\We're completely lax.\But you still love it.\What?\What's- response:	What? What? What?
context: Our tank is broken.\And they forget to send us supplies.\We're just soldiers in name.\We're completely lax.\But you still love it.\What?\What's-\What? What? What? response:	It appeared!
context: And they forget to send us supplies.\We're just soldiers in name.\We're completely lax.\But you still love it.\What?\What's-\What? What? What?\It appeared! response:	Wait, Kureha!
context: We're just soldiers in name.\We're completely lax.\But you still love it.\What?\What's-\What? What? What?\It appeared!\Wait, Kureha! response:	Kanata!
context: We're completely lax.\But you still love it.\What?\What's-\What? What? What?\It appeared!\Wait, Kureha!\Kanata! response:	Amazing...
context: But you still love it.\What?\What's-\What? What? What?\It appeared!\Wait, Kureha!\Kanata!\Amazing... response:	Of course!
context: What?\What's-\What? What? What?\It appeared!\Wait, Kureha!\Kanata!\Amazing...\Of course! response:	This is the wonderful, ever so wonderful, Platoon 1121.
context: What's-\What? What? What?\It appeared!\Wait, Kureha!\Kanata!\Amazing...\Of course!\This is the wonderful, ever so wonderful, Platoon 1121. response:	And I'm the gunner.
context: What? What? What?\It appeared!\Wait, Kureha!\Kanata!\Amazing...\Of course!\This is the wonderful, ever so wonderful, Platoon 1121.\And I'm the gunner. response:	So this is our ghost?
context: It appeared!\Wait, Kureha!\Kanata!\Amazing...\Of course!\This is the wonderful, ever so wonderful, Platoon 1121.\And I'm the gunner.\So this is our ghost? response:	Where's the ghost part?
context: Wait, Kureha!\Kanata!\Amazing...\Of course!\This is the wonderful, ever so wonderful, Platoon 1121.\And I'm the gunner.\So this is our ghost?\Where's the ghost part? response:	Hey, you.
context: Kanata!\Amazing...\Of course!\This is the wonderful, ever so wonderful, Platoon 1121.\And I'm the gunner.\So this is our ghost?\Where's the ghost part?\Hey, you. response:	You look just like that thief from yesterday.
context: Amazing...\Of course!\This is the wonderful, ever so wonderful, Platoon 1121.\And I'm the gunner.\So this is our ghost?\Where's the ghost part?\Hey, you.\You look just like that thief from yesterday. response:	You...You're dinner!
context: Of course!\This is the wonderful, ever so wonderful, Platoon 1121.\And I'm the gunner.\So this is our ghost?\Where's the ghost part?\Hey, you.\You look just like that thief from yesterday.\You...You're dinner! response:	Stop that, Rio.
context: This is the wonderful, ever so wonderful, Platoon 1121.\And I'm the gunner.\So this is our ghost?\Where's the ghost part?\Hey, you.\You look just like that thief from yesterday.\You...You're dinner!\Stop that, Rio. response:	Don't frighten her when she's hurt.
context: And I'm the gunner.\So this is our ghost?\Where's the ghost part?\Hey, you.\You look just like that thief from yesterday.\You...You're dinner!\Stop that, Rio.\Don't frighten her when she's hurt. response:	But...
context: So this is our ghost?\Where's the ghost part?\Hey, you.\You look just like that thief from yesterday.\You...You're dinner!\Stop that, Rio.\Don't frighten her when she's hurt.\But... response:	She probably just doesn't have a place to go.
context: Where's the ghost part?\Hey, you.\You look just like that thief from yesterday.\You...You're dinner!\Stop that, Rio.\Don't frighten her when she's hurt.\But...\She probably just doesn't have a place to go. response:	And what was our unit's symbol?
context: Hey, you.\You look just like that thief from yesterday.\You...You're dinner!\Stop that, Rio.\Don't frighten her when she's hurt.\But...\She probably just doesn't have a place to go.\And what was our unit's symbol? response:	Making roasted owl is like roasting ourselves.
context: You look just like that thief from yesterday.\You...You're dinner!\Stop that, Rio.\Don't frighten her when she's hurt.\But...\She probably just doesn't have a place to go.\And what was our unit's symbol?\Making roasted owl is like roasting ourselves. response:	Isn't it, Shuko?
context: You...You're dinner!\Stop that, Rio.\Don't frighten her when she's hurt.\But...\She probably just doesn't have a place to go.\And what was our unit's symbol?\Making roasted owl is like roasting ourselves.\Isn't it, Shuko? response:	She gave it a name.
context: Stop that, Rio.\Don't frighten her when she's hurt.\But...\She probably just doesn't have a place to go.\And what was our unit's symbol?\Making roasted owl is like roasting ourselves.\Isn't it, Shuko?\She gave it a name. response:	I think she's wonderful.
context: Don't frighten her when she's hurt.\But...\She probably just doesn't have a place to go.\And what was our unit's symbol?\Making roasted owl is like roasting ourselves.\Isn't it, Shuko?\She gave it a name.\I think she's wonderful. response:	You know you nearly died yesterday because of this thing.
context: But...\She probably just doesn't have a place to go.\And what was our unit's symbol?\Making roasted owl is like roasting ourselves.\Isn't it, Shuko?\She gave it a name.\I think she's wonderful.\You know you nearly died yesterday because of this thing. response:	But I got to have an amazing adventure because of her.
context: She probably just doesn't have a place to go.\And what was our unit's symbol?\Making roasted owl is like roasting ourselves.\Isn't it, Shuko?\She gave it a name.\I think she's wonderful.\You know you nearly died yesterday because of this thing.\But I got to have an amazing adventure because of her. response:	Right, Kureha?
context: And what was our unit's symbol?\Making roasted owl is like roasting ourselves.\Isn't it, Shuko?\She gave it a name.\I think she's wonderful.\You know you nearly died yesterday because of this thing.\But I got to have an amazing adventure because of her.\Right, Kureha? response:	What are you saying?
context: Making roasted owl is like roasting ourselves.\Isn't it, Shuko?\She gave it a name.\I think she's wonderful.\You know you nearly died yesterday because of this thing.\But I got to have an amazing adventure because of her.\Right, Kureha?\What are you saying? response:	That was the furthest thing from an adventure there could be!
context: Isn't it, Shuko?\She gave it a name.\I think she's wonderful.\You know you nearly died yesterday because of this thing.\But I got to have an amazing adventure because of her.\Right, Kureha?\What are you saying?\That was the furthest thing from an adventure there could be! response:	Good grief. Maybe we should be democratic about this.
context: She gave it a name.\I think she's wonderful.\You know you nearly died yesterday because of this thing.\But I got to have an amazing adventure because of her.\Right, Kureha?\What are you saying?\That was the furthest thing from an adventure there could be!\Good grief. Maybe we should be democratic about this. response:	No.
context: I think she's wonderful.\You know you nearly died yesterday because of this thing.\But I got to have an amazing adventure because of her.\Right, Kureha?\What are you saying?\That was the furthest thing from an adventure there could be!\Good grief. Maybe we should be democratic about this.\No. response:	Commander's orders.
context: You know you nearly died yesterday because of this thing.\But I got to have an amazing adventure because of her.\Right, Kureha?\What are you saying?\That was the furthest thing from an adventure there could be!\Good grief. Maybe we should be democratic about this.\No.\Commander's orders. response:	But if she steals food again, then she'll be punished.
context: But I got to have an amazing adventure because of her.\Right, Kureha?\What are you saying?\That was the furthest thing from an adventure there could be!\Good grief. Maybe we should be democratic about this.\No.\Commander's orders.\But if she steals food again, then she'll be punished. response:	Okay?
context: Right, Kureha?\What are you saying?\That was the furthest thing from an adventure there could be!\Good grief. Maybe we should be democratic about this.\No.\Commander's orders.\But if she steals food again, then she'll be punished.\Okay? response:	So you played this morning, Rio?
context: What are you saying?\That was the furthest thing from an adventure there could be!\Good grief. Maybe we should be democratic about this.\No.\Commander's orders.\But if she steals food again, then she'll be punished.\Okay?\So you played this morning, Rio? response:	The townspeople would complain if we let Kanata play it every day.
context: That was the furthest thing from an adventure there could be!\Good grief. Maybe we should be democratic about this.\No.\Commander's orders.\But if she steals food again, then she'll be punished.\Okay?\So you played this morning, Rio?\The townspeople would complain if we let Kanata play it every day. response:	I'm really sorry.
context: Good grief. Maybe we should be democratic about this.\No.\Commander's orders.\But if she steals food again, then she'll be punished.\Okay?\So you played this morning, Rio?\The townspeople would complain if we let Kanata play it every day.\I'm really sorry. response:	That's your chair.
context: No.\Commander's orders.\But if she steals food again, then she'll be punished.\Okay?\So you played this morning, Rio?\The townspeople would complain if we let Kanata play it every day.\I'm really sorry.\That's your chair. response:	Kureha?
context: Commander's orders.\But if she steals food again, then she'll be punished.\Okay?\So you played this morning, Rio?\The townspeople would complain if we let Kanata play it every day.\I'm really sorry.\That's your chair.\Kureha? response:	I just happened to find another one of these chairs.
context: But if she steals food again, then she'll be punished.\Okay?\So you played this morning, Rio?\The townspeople would complain if we let Kanata play it every day.\I'm really sorry.\That's your chair.\Kureha?\I just happened to find another one of these chairs. response:	I didn't do it for you or anything.
context: Okay?\So you played this morning, Rio?\The townspeople would complain if we let Kanata play it every day.\I'm really sorry.\That's your chair.\Kureha?\I just happened to find another one of these chairs.\I didn't do it for you or anything. response:	Thank you!
context: So you played this morning, Rio?\The townspeople would complain if we let Kanata play it every day.\I'm really sorry.\That's your chair.\Kureha?\I just happened to find another one of these chairs.\I didn't do it for you or anything.\Thank you! response:	Cut it out, you two.
context: The townspeople would complain if we let Kanata play it every day.\I'm really sorry.\That's your chair.\Kureha?\I just happened to find another one of these chairs.\I didn't do it for you or anything.\Thank you!\Cut it out, you two. response:	That's dangerous.
context: I'm really sorry.\That's your chair.\Kureha?\I just happened to find another one of these chairs.\I didn't do it for you or anything.\Thank you!\Cut it out, you two.\That's dangerous. response:	Cut it out, now.
context: That's your chair.\Kureha?\I just happened to find another one of these chairs.\I didn't do it for you or anything.\Thank you!\Cut it out, you two.\That's dangerous.\Cut it out, now. response:	Breakfast.
context: Kureha?\I just happened to find another one of these chairs.\I didn't do it for you or anything.\Thank you!\Cut it out, you two.\That's dangerous.\Cut it out, now.\Breakfast. response:	Love and friendship - put these feelings together
context: I just happened to find another one of these chairs.\I didn't do it for you or anything.\Thank you!\Cut it out, you two.\That's dangerous.\Cut it out, now.\Breakfast.\Love and friendship - put these feelings together response:	And sing of how important they are
context: I didn't do it for you or anything.\Thank you!\Cut it out, you two.\That's dangerous.\Cut it out, now.\Breakfast.\Love and friendship - put these feelings together\And sing of how important they are response:	I was so happy that I cried
context: Thank you!\Cut it out, you two.\That's dangerous.\Cut it out, now.\Breakfast.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried response:	It hurt so bad that I laughed
context: Cut it out, you two.\That's dangerous.\Cut it out, now.\Breakfast.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed response:	But that all just goes to show that I'm alive
context: That's dangerous.\Cut it out, now.\Breakfast.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive response:	Let's just take it easy
context: Cut it out, now.\Breakfast.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy response:	Everybody singing!
context: Breakfast.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing! response:	Can you tell me who you're asking to the dance?
context: Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance? response:	You're just my friend!
context: And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend! response:	Love and friendship - even though they might waver
context: I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver response:	I know, you know, we'll be happy
context: It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy response:	I want us to echo on forever
context: But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever response:	Can you count my precious hours?
context: Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours? response:	All the usual words can't even describe it.
context: Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours?\All the usual words can't even describe it. response:	Our harmony
context: Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours?\All the usual words can't even describe it.\Our harmony response:	Can you hear it? Our harmony
context: You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours?\All the usual words can't even describe it.\Our harmony\Can you hear it? Our harmony response:	Next time: A Day in the Life - Rio Runs
