context: I've gathered you all here for one reason. response:	At this point we shall now commence Operation High Tension Syndrome.
context: You can walk your own way.\Yeah!!\Oh yeah!!\So she'll take care of all of Osaka by herself?\Quite a woman.\We're in the middle of Operation High Tension!\If it fails, everyone fasts for a week.\Sounds good to me!! response:	Right?!
context: Yeah!!\Oh yeah!!\So she'll take care of all of Osaka by herself?\Quite a woman.\We're in the middle of Operation High Tension!\If it fails, everyone fasts for a week.\Sounds good to me!!\Right?! response:	Doesn't that Naniwa couple just rack your brain?!
context: Oh yeah!!\So she'll take care of all of Osaka by herself?\Quite a woman.\We're in the middle of Operation High Tension!\If it fails, everyone fasts for a week.\Sounds good to me!!\Right?!\Doesn't that Naniwa couple just rack your brain?! response:	Sure does!
context: So she'll take care of all of Osaka by herself?\Quite a woman.\We're in the middle of Operation High Tension!\If it fails, everyone fasts for a week.\Sounds good to me!!\Right?!\Doesn't that Naniwa couple just rack your brain?!\Sure does! response:	Hell yeah!!
context: Quite a woman.\We're in the middle of Operation High Tension!\If it fails, everyone fasts for a week.\Sounds good to me!!\Right?!\Doesn't that Naniwa couple just rack your brain?!\Sure does!\Hell yeah!! response:	I'm crying from that love song, damn!!
context: We're in the middle of Operation High Tension!\If it fails, everyone fasts for a week.\Sounds good to me!!\Right?!\Doesn't that Naniwa couple just rack your brain?!\Sure does!\Hell yeah!!\I'm crying from that love song, damn!! response:	Yui, you're a genius!!
context: If it fails, everyone fasts for a week.\Sounds good to me!!\Right?!\Doesn't that Naniwa couple just rack your brain?!\Sure does!\Hell yeah!!\I'm crying from that love song, damn!!\Yui, you're a genius!! response:	Hisako - senpai's killer bass and line were genius too!!
context: Sounds good to me!!\Right?!\Doesn't that Naniwa couple just rack your brain?!\Sure does!\Hell yeah!!\I'm crying from that love song, damn!!\Yui, you're a genius!!\Hisako - senpai's killer bass and line were genius too!! response:	She almost sounds good now!!
context: Right?!\Doesn't that Naniwa couple just rack your brain?!\Sure does!\Hell yeah!!\I'm crying from that love song, damn!!\Yui, you're a genius!!\Hisako - senpai's killer bass and line were genius too!!\She almost sounds good now!! response:	You're picking a fight, aren't you...
context: Doesn't that Naniwa couple just rack your brain?!\Sure does!\Hell yeah!!\I'm crying from that love song, damn!!\Yui, you're a genius!!\Hisako - senpai's killer bass and line were genius too!!\She almost sounds good now!!\You're picking a fight, aren't you... response:	Then how about we head out there and hold an outdoor live?!
context: Sure does!\Hell yeah!!\I'm crying from that love song, damn!!\Yui, you're a genius!!\Hisako - senpai's killer bass and line were genius too!!\She almost sounds good now!!\You're picking a fight, aren't you...\Then how about we head out there and hold an outdoor live?! response:	Yeah!!
context: Hell yeah!!\I'm crying from that love song, damn!!\Yui, you're a genius!!\Hisako - senpai's killer bass and line were genius too!!\She almost sounds good now!!\You're picking a fight, aren't you...\Then how about we head out there and hold an outdoor live?!\Yeah!! response:	Damn, this stuff's too good. I ate way too much.
context: I'm crying from that love song, damn!!\Yui, you're a genius!!\Hisako - senpai's killer bass and line were genius too!!\She almost sounds good now!!\You're picking a fight, aren't you...\Then how about we head out there and hold an outdoor live?!\Yeah!!\Damn, this stuff's too good. I ate way too much. response:	Yeah.
context: Yui, you're a genius!!\Hisako - senpai's killer bass and line were genius too!!\She almost sounds good now!!\You're picking a fight, aren't you...\Then how about we head out there and hold an outdoor live?!\Yeah!!\Damn, this stuff's too good. I ate way too much.\Yeah. response:	You think we'll hold out a full week like this?
context: Hisako - senpai's killer bass and line were genius too!!\She almost sounds good now!!\You're picking a fight, aren't you...\Then how about we head out there and hold an outdoor live?!\Yeah!!\Damn, this stuff's too good. I ate way too much.\Yeah.\You think we'll hold out a full week like this? response:	Yurippe's fasting means no water either.
context: She almost sounds good now!!\You're picking a fight, aren't you...\Then how about we head out there and hold an outdoor live?!\Yeah!!\Damn, this stuff's too good. I ate way too much.\Yeah.\You think we'll hold out a full week like this?\Yurippe's fasting means no water either. response:	Damn, I'm full!! I just want to move!!
context: You're picking a fight, aren't you...\Then how about we head out there and hold an outdoor live?!\Yeah!!\Damn, this stuff's too good. I ate way too much.\Yeah.\You think we'll hold out a full week like this?\Yurippe's fasting means no water either.\Damn, I'm full!! I just want to move!! response:	Let's do some exercise for digestion!
context: Then how about we head out there and hold an outdoor live?!\Yeah!!\Damn, this stuff's too good. I ate way too much.\Yeah.\You think we'll hold out a full week like this?\Yurippe's fasting means no water either.\Damn, I'm full!! I just want to move!!\Let's do some exercise for digestion! response:	Yeah!!
context: Yeah!!\Damn, this stuff's too good. I ate way too much.\Yeah.\You think we'll hold out a full week like this?\Yurippe's fasting means no water either.\Damn, I'm full!! I just want to move!!\Let's do some exercise for digestion!\Yeah!! response:	Oh yeah!!
context: Damn, this stuff's too good. I ate way too much.\Yeah.\You think we'll hold out a full week like this?\Yurippe's fasting means no water either.\Damn, I'm full!! I just want to move!!\Let's do some exercise for digestion!\Yeah!!\Oh yeah!! response:	Why don't we learn how to dance from TK?!
context: Yeah.\You think we'll hold out a full week like this?\Yurippe's fasting means no water either.\Damn, I'm full!! I just want to move!!\Let's do some exercise for digestion!\Yeah!!\Oh yeah!!\Why don't we learn how to dance from TK?! response:	Yeah! Awesome idea!!
context: You think we'll hold out a full week like this?\Yurippe's fasting means no water either.\Damn, I'm full!! I just want to move!!\Let's do some exercise for digestion!\Yeah!!\Oh yeah!!\Why don't we learn how to dance from TK?!\Yeah! Awesome idea!! response:	Hey! TK!!
context: Yurippe's fasting means no water either.\Damn, I'm full!! I just want to move!!\Let's do some exercise for digestion!\Yeah!!\Oh yeah!!\Why don't we learn how to dance from TK?!\Yeah! Awesome idea!!\Hey! TK!! response:	My stomach is destruction...
context: Damn, I'm full!! I just want to move!!\Let's do some exercise for digestion!\Yeah!!\Oh yeah!!\Why don't we learn how to dance from TK?!\Yeah! Awesome idea!!\Hey! TK!!\My stomach is destruction... response:	Don't worry about destruction!
context: Let's do some exercise for digestion!\Yeah!!\Oh yeah!!\Why don't we learn how to dance from TK?!\Yeah! Awesome idea!!\Hey! TK!!\My stomach is destruction...\Don't worry about destruction! response:	Teach us how to dance now!
context: Yeah!!\Oh yeah!!\Why don't we learn how to dance from TK?!\Yeah! Awesome idea!!\Hey! TK!!\My stomach is destruction...\Don't worry about destruction!\Teach us how to dance now! response:	We need a wide open area!
context: Oh yeah!!\Why don't we learn how to dance from TK?!\Yeah! Awesome idea!!\Hey! TK!!\My stomach is destruction...\Don't worry about destruction!\Teach us how to dance now!\We need a wide open area! response:	Let's head to the grounds!
context: Why don't we learn how to dance from TK?!\Yeah! Awesome idea!!\Hey! TK!!\My stomach is destruction...\Don't worry about destruction!\Teach us how to dance now!\We need a wide open area!\Let's head to the grounds! response:	Hey you.
context: Yeah! Awesome idea!!\Hey! TK!!\My stomach is destruction...\Don't worry about destruction!\Teach us how to dance now!\We need a wide open area!\Let's head to the grounds!\Hey you. response:	What are you doing here?
context: Hey! TK!!\My stomach is destruction...\Don't worry about destruction!\Teach us how to dance now!\We need a wide open area!\Let's head to the grounds!\Hey you.\What are you doing here? response:	An outdoor live, dammit!
context: My stomach is destruction...\Don't worry about destruction!\Teach us how to dance now!\We need a wide open area!\Let's head to the grounds!\Hey you.\What are you doing here?\An outdoor live, dammit! response:	Everyone's out here for it, yeah!!
context: Don't worry about destruction!\Teach us how to dance now!\We need a wide open area!\Let's head to the grounds!\Hey you.\What are you doing here?\An outdoor live, dammit!\Everyone's out here for it, yeah!! response:	Let's burn out the night!!
context: Teach us how to dance now!\We need a wide open area!\Let's head to the grounds!\Hey you.\What are you doing here?\An outdoor live, dammit!\Everyone's out here for it, yeah!!\Let's burn out the night!! response:	We're going to play baseball here right now!
context: We need a wide open area!\Let's head to the grounds!\Hey you.\What are you doing here?\An outdoor live, dammit!\Everyone's out here for it, yeah!!\Let's burn out the night!!\We're going to play baseball here right now! response:	Hitting, fielding, running, safe, all that!!
context: Let's head to the grounds!\Hey you.\What are you doing here?\An outdoor live, dammit!\Everyone's out here for it, yeah!!\Let's burn out the night!!\We're going to play baseball here right now!\Hitting, fielding, running, safe, all that!! response:	A band is more youthful than baseball, dammit!!
context: Hey you.\What are you doing here?\An outdoor live, dammit!\Everyone's out here for it, yeah!!\Let's burn out the night!!\We're going to play baseball here right now!\Hitting, fielding, running, safe, all that!!\A band is more youthful than baseball, dammit!! response:	You stupid baseball - baseball - I - love - baseball freak!!
context: What are you doing here?\An outdoor live, dammit!\Everyone's out here for it, yeah!!\Let's burn out the night!!\We're going to play baseball here right now!\Hitting, fielding, running, safe, all that!!\A band is more youthful than baseball, dammit!!\You stupid baseball - baseball - I - love - baseball freak!! response:	No! Youth is all about dancing!!
context: An outdoor live, dammit!\Everyone's out here for it, yeah!!\Let's burn out the night!!\We're going to play baseball here right now!\Hitting, fielding, running, safe, all that!!\A band is more youthful than baseball, dammit!!\You stupid baseball - baseball - I - love - baseball freak!!\No! Youth is all about dancing!! response:	Dancing together will make us all happier!
context: Everyone's out here for it, yeah!!\Let's burn out the night!!\We're going to play baseball here right now!\Hitting, fielding, running, safe, all that!!\A band is more youthful than baseball, dammit!!\You stupid baseball - baseball - I - love - baseball freak!!\No! Youth is all about dancing!!\Dancing together will make us all happier! response:	Right! Right! All happier!
context: Let's burn out the night!!\We're going to play baseball here right now!\Hitting, fielding, running, safe, all that!!\A band is more youthful than baseball, dammit!!\You stupid baseball - baseball - I - love - baseball freak!!\No! Youth is all about dancing!!\Dancing together will make us all happier!\Right! Right! All happier! response:	What the hell?! You're so full, must be happy!
context: We're going to play baseball here right now!\Hitting, fielding, running, safe, all that!!\A band is more youthful than baseball, dammit!!\You stupid baseball - baseball - I - love - baseball freak!!\No! Youth is all about dancing!!\Dancing together will make us all happier!\Right! Right! All happier!\What the hell?! You're so full, must be happy! response:	Turning this place into a dancing ground will make us all happier!
context: Hitting, fielding, running, safe, all that!!\A band is more youthful than baseball, dammit!!\You stupid baseball - baseball - I - love - baseball freak!!\No! Youth is all about dancing!!\Dancing together will make us all happier!\Right! Right! All happier!\What the hell?! You're so full, must be happy!\Turning this place into a dancing ground will make us all happier! response:	Agreed! Let me dance with you!!
context: A band is more youthful than baseball, dammit!!\You stupid baseball - baseball - I - love - baseball freak!!\No! Youth is all about dancing!!\Dancing together will make us all happier!\Right! Right! All happier!\What the hell?! You're so full, must be happy!\Turning this place into a dancing ground will make us all happier!\Agreed! Let me dance with you!! response:	Matsushita 5th Dan, we need to talk now, happy boy!!
context: You stupid baseball - baseball - I - love - baseball freak!!\No! Youth is all about dancing!!\Dancing together will make us all happier!\Right! Right! All happier!\What the hell?! You're so full, must be happy!\Turning this place into a dancing ground will make us all happier!\Agreed! Let me dance with you!!\Matsushita 5th Dan, we need to talk now, happy boy!! response:	We're playing baseball!!
context: No! Youth is all about dancing!!\Dancing together will make us all happier!\Right! Right! All happier!\What the hell?! You're so full, must be happy!\Turning this place into a dancing ground will make us all happier!\Agreed! Let me dance with you!!\Matsushita 5th Dan, we need to talk now, happy boy!!\We're playing baseball!! response:	Listen to Takamatsu!!
context: Dancing together will make us all happier!\Right! Right! All happier!\What the hell?! You're so full, must be happy!\Turning this place into a dancing ground will make us all happier!\Agreed! Let me dance with you!!\Matsushita 5th Dan, we need to talk now, happy boy!!\We're playing baseball!!\Listen to Takamatsu!! response:	It's an outdoor live, dammit!!
context: Right! Right! All happier!\What the hell?! You're so full, must be happy!\Turning this place into a dancing ground will make us all happier!\Agreed! Let me dance with you!!\Matsushita 5th Dan, we need to talk now, happy boy!!\We're playing baseball!!\Listen to Takamatsu!!\It's an outdoor live, dammit!! response:	What kind of idiot are you?! It's a dance!!
context: What the hell?! You're so full, must be happy!\Turning this place into a dancing ground will make us all happier!\Agreed! Let me dance with you!!\Matsushita 5th Dan, we need to talk now, happy boy!!\We're playing baseball!!\Listen to Takamatsu!!\It's an outdoor live, dammit!!\What kind of idiot are you?! It's a dance!! response:	Whoever enjoys dancing the most must be so happy!
context: Turning this place into a dancing ground will make us all happier!\Agreed! Let me dance with you!!\Matsushita 5th Dan, we need to talk now, happy boy!!\We're playing baseball!!\Listen to Takamatsu!!\It's an outdoor live, dammit!!\What kind of idiot are you?! It's a dance!!\Whoever enjoys dancing the most must be so happy! response:	You're saying balls and caps don't give you a better thrill?!
context: Agreed! Let me dance with you!!\Matsushita 5th Dan, we need to talk now, happy boy!!\We're playing baseball!!\Listen to Takamatsu!!\It's an outdoor live, dammit!!\What kind of idiot are you?! It's a dance!!\Whoever enjoys dancing the most must be so happy!\You're saying balls and caps don't give you a better thrill?! response:	Then why not just have a sports festival?!
context: Matsushita 5th Dan, we need to talk now, happy boy!!\We're playing baseball!!\Listen to Takamatsu!!\It's an outdoor live, dammit!!\What kind of idiot are you?! It's a dance!!\Whoever enjoys dancing the most must be so happy!\You're saying balls and caps don't give you a better thrill?!\Then why not just have a sports festival?! response:	We can just have a sports festival.
context: We're playing baseball!!\Listen to Takamatsu!!\It's an outdoor live, dammit!!\What kind of idiot are you?! It's a dance!!\Whoever enjoys dancing the most must be so happy!\You're saying balls and caps don't give you a better thrill?!\Then why not just have a sports festival?!\We can just have a sports festival. response:	All the normal students are already here.
context: Listen to Takamatsu!!\It's an outdoor live, dammit!!\What kind of idiot are you?! It's a dance!!\Whoever enjoys dancing the most must be so happy!\You're saying balls and caps don't give you a better thrill?!\Then why not just have a sports festival?!\We can just have a sports festival.\All the normal students are already here. response:	The only thing we can do with this many people is a sports festival.
context: It's an outdoor live, dammit!!\What kind of idiot are you?! It's a dance!!\Whoever enjoys dancing the most must be so happy!\You're saying balls and caps don't give you a better thrill?!\Then why not just have a sports festival?!\We can just have a sports festival.\All the normal students are already here.\The only thing we can do with this many people is a sports festival. response:	Yeah! Let's go sports festival! Smells like youth!!
context: What kind of idiot are you?! It's a dance!!\Whoever enjoys dancing the most must be so happy!\You're saying balls and caps don't give you a better thrill?!\Then why not just have a sports festival?!\We can just have a sports festival.\All the normal students are already here.\The only thing we can do with this many people is a sports festival.\Yeah! Let's go sports festival! Smells like youth!! response:	Yes!! I built this body solely for sports festivals!!
context: Whoever enjoys dancing the most must be so happy!\You're saying balls and caps don't give you a better thrill?!\Then why not just have a sports festival?!\We can just have a sports festival.\All the normal students are already here.\The only thing we can do with this many people is a sports festival.\Yeah! Let's go sports festival! Smells like youth!!\Yes!! I built this body solely for sports festivals!! response:	Sounds good for digestion!
context: You're saying balls and caps don't give you a better thrill?!\Then why not just have a sports festival?!\We can just have a sports festival.\All the normal students are already here.\The only thing we can do with this many people is a sports festival.\Yeah! Let's go sports festival! Smells like youth!!\Yes!! I built this body solely for sports festivals!!\Sounds good for digestion! response:	We'll be blissfully happy!
context: Then why not just have a sports festival?!\We can just have a sports festival.\All the normal students are already here.\The only thing we can do with this many people is a sports festival.\Yeah! Let's go sports festival! Smells like youth!!\Yes!! I built this body solely for sports festivals!!\Sounds good for digestion!\We'll be blissfully happy! response:	Yeah! Yeah!
context: We can just have a sports festival.\All the normal students are already here.\The only thing we can do with this many people is a sports festival.\Yeah! Let's go sports festival! Smells like youth!!\Yes!! I built this body solely for sports festivals!!\Sounds good for digestion!\We'll be blissfully happy!\Yeah! Yeah! response:	Let's go, everyone!!
context: All the normal students are already here.\The only thing we can do with this many people is a sports festival.\Yeah! Let's go sports festival! Smells like youth!!\Yes!! I built this body solely for sports festivals!!\Sounds good for digestion!\We'll be blissfully happy!\Yeah! Yeah!\Let's go, everyone!! response:	Things are getting very exciting out here.
context: The only thing we can do with this many people is a sports festival.\Yeah! Let's go sports festival! Smells like youth!!\Yes!! I built this body solely for sports festivals!!\Sounds good for digestion!\We'll be blissfully happy!\Yeah! Yeah!\Let's go, everyone!!\Things are getting very exciting out here. response:	I wonder how things are with Angel?
context: Yeah! Let's go sports festival! Smells like youth!!\Yes!! I built this body solely for sports festivals!!\Sounds good for digestion!\We'll be blissfully happy!\Yeah! Yeah!\Let's go, everyone!!\Things are getting very exciting out here.\I wonder how things are with Angel? response:	Let's take a look.
context: Yes!! I built this body solely for sports festivals!!\Sounds good for digestion!\We'll be blissfully happy!\Yeah! Yeah!\Let's go, everyone!!\Things are getting very exciting out here.\I wonder how things are with Angel?\Let's take a look. response:	Yurippe - san?
context: Sounds good for digestion!\We'll be blissfully happy!\Yeah! Yeah!\Let's go, everyone!!\Things are getting very exciting out here.\I wonder how things are with Angel?\Let's take a look.\Yurippe - san? response:	Yurippe at the station here!
context: We'll be blissfully happy!\Yeah! Yeah!\Let's go, everyone!!\Things are getting very exciting out here.\I wonder how things are with Angel?\Let's take a look.\Yurippe - san?\Yurippe at the station here! response:	The hell are you making me do?!
context: Yeah! Yeah!\Let's go, everyone!!\Things are getting very exciting out here.\I wonder how things are with Angel?\Let's take a look.\Yurippe - san?\Yurippe at the station here!\The hell are you making me do?! response:	You're putting on some high tension yourself, huh...
context: Let's go, everyone!!\Things are getting very exciting out here.\I wonder how things are with Angel?\Let's take a look.\Yurippe - san?\Yurippe at the station here!\The hell are you making me do?!\You're putting on some high tension yourself, huh... response:	Tenshi is currently talking in the student council room.
context: Things are getting very exciting out here.\I wonder how things are with Angel?\Let's take a look.\Yurippe - san?\Yurippe at the station here!\The hell are you making me do?!\You're putting on some high tension yourself, huh...\Tenshi is currently talking in the student council room. response:	I think it'll end soon.
context: I wonder how things are with Angel?\Let's take a look.\Yurippe - san?\Yurippe at the station here!\The hell are you making me do?!\You're putting on some high tension yourself, huh...\Tenshi is currently talking in the student council room.\I think it'll end soon. response:	Damn, those guys are good!
context: Let's take a look.\Yurippe - san?\Yurippe at the station here!\The hell are you making me do?!\You're putting on some high tension yourself, huh...\Tenshi is currently talking in the student council room.\I think it'll end soon.\Damn, those guys are good! response:	Yeah, this is getting exciting!
context: Yurippe - san?\Yurippe at the station here!\The hell are you making me do?!\You're putting on some high tension yourself, huh...\Tenshi is currently talking in the student council room.\I think it'll end soon.\Damn, those guys are good!\Yeah, this is getting exciting! response:	Listen up, everyone!!
context: Yurippe at the station here!\The hell are you making me do?!\You're putting on some high tension yourself, huh...\Tenshi is currently talking in the student council room.\I think it'll end soon.\Damn, those guys are good!\Yeah, this is getting exciting!\Listen up, everyone!! response:	1000 points to whoever wins this cavalry battle!!
context: The hell are you making me do?!\You're putting on some high tension yourself, huh...\Tenshi is currently talking in the student council room.\I think it'll end soon.\Damn, those guys are good!\Yeah, this is getting exciting!\Listen up, everyone!!\1000 points to whoever wins this cavalry battle!! response:	We're going to turn the tables with this!!
context: You're putting on some high tension yourself, huh...\Tenshi is currently talking in the student council room.\I think it'll end soon.\Damn, those guys are good!\Yeah, this is getting exciting!\Listen up, everyone!!\1000 points to whoever wins this cavalry battle!!\We're going to turn the tables with this!! response:	Hey, that team there is kind of scary.
context: Tenshi is currently talking in the student council room.\I think it'll end soon.\Damn, those guys are good!\Yeah, this is getting exciting!\Listen up, everyone!!\1000 points to whoever wins this cavalry battle!!\We're going to turn the tables with this!!\Hey, that team there is kind of scary. response:	Oh, where?
context: I think it'll end soon.\Damn, those guys are good!\Yeah, this is getting exciting!\Listen up, everyone!!\1000 points to whoever wins this cavalry battle!!\We're going to turn the tables with this!!\Hey, that team there is kind of scary.\Oh, where? response:	Hey! Bare hands! Bare hands!
context: Damn, those guys are good!\Yeah, this is getting exciting!\Listen up, everyone!!\1000 points to whoever wins this cavalry battle!!\We're going to turn the tables with this!!\Hey, that team there is kind of scary.\Oh, where?\Hey! Bare hands! Bare hands! response:	You trying to kill us?!
context: Yeah, this is getting exciting!\Listen up, everyone!!\1000 points to whoever wins this cavalry battle!!\We're going to turn the tables with this!!\Hey, that team there is kind of scary.\Oh, where?\Hey! Bare hands! Bare hands!\You trying to kill us?! response:	Damn. Not allowed?
context: Listen up, everyone!!\1000 points to whoever wins this cavalry battle!!\We're going to turn the tables with this!!\Hey, that team there is kind of scary.\Oh, where?\Hey! Bare hands! Bare hands!\You trying to kill us?!\Damn. Not allowed? response:	Honestly, those guys...
context: 1000 points to whoever wins this cavalry battle!!\We're going to turn the tables with this!!\Hey, that team there is kind of scary.\Oh, where?\Hey! Bare hands! Bare hands!\You trying to kill us?!\Damn. Not allowed?\Honestly, those guys... response:	What's that?
context: We're going to turn the tables with this!!\Hey, that team there is kind of scary.\Oh, where?\Hey! Bare hands! Bare hands!\You trying to kill us?!\Damn. Not allowed?\Honestly, those guys...\What's that? response:	The general's mark.
context: Hey, that team there is kind of scary.\Oh, where?\Hey! Bare hands! Bare hands!\You trying to kill us?!\Damn. Not allowed?\Honestly, those guys...\What's that?\The general's mark. response:	I'll stand out more than anyone and get more headbands than anyone!
context: Oh, where?\Hey! Bare hands! Bare hands!\You trying to kill us?!\Damn. Not allowed?\Honestly, those guys...\What's that?\The general's mark.\I'll stand out more than anyone and get more headbands than anyone! response:	You ready, losers?!
context: Hey! Bare hands! Bare hands!\You trying to kill us?!\Damn. Not allowed?\Honestly, those guys...\What's that?\The general's mark.\I'll stand out more than anyone and get more headbands than anyone!\You ready, losers?! response:	Charge!!
context: You trying to kill us?!\Damn. Not allowed?\Honestly, those guys...\What's that?\The general's mark.\I'll stand out more than anyone and get more headbands than anyone!\You ready, losers?!\Charge!! response:	Angel must be watching this from the student council room and getting more and more confused.
context: Damn. Not allowed?\Honestly, those guys...\What's that?\The general's mark.\I'll stand out more than anyone and get more headbands than anyone!\You ready, losers?!\Charge!!\Angel must be watching this from the student council room and getting more and more confused. response:	Why aren't they disappearing, despite how fulfilled they look?
context: Honestly, those guys...\What's that?\The general's mark.\I'll stand out more than anyone and get more headbands than anyone!\You ready, losers?!\Charge!!\Angel must be watching this from the student council room and getting more and more confused.\Why aren't they disappearing, despite how fulfilled they look? response:	It's perfect! It's too perfect!
context: What's that?\The general's mark.\I'll stand out more than anyone and get more headbands than anyone!\You ready, losers?!\Charge!!\Angel must be watching this from the student council room and getting more and more confused.\Why aren't they disappearing, despite how fulfilled they look?\It's perfect! It's too perfect! response:	Operation High Tension Syndrome!
context: The general's mark.\I'll stand out more than anyone and get more headbands than anyone!\You ready, losers?!\Charge!!\Angel must be watching this from the student council room and getting more and more confused.\Why aren't they disappearing, despite how fulfilled they look?\It's perfect! It's too perfect!\Operation High Tension Syndrome! response:	Are you the villain?
context: I'll stand out more than anyone and get more headbands than anyone!\You ready, losers?!\Charge!!\Angel must be watching this from the student council room and getting more and more confused.\Why aren't they disappearing, despite how fulfilled they look?\It's perfect! It's too perfect!\Operation High Tension Syndrome!\Are you the villain? response:	Thank you for the high tension interruption.
context: You ready, losers?!\Charge!!\Angel must be watching this from the student council room and getting more and more confused.\Why aren't they disappearing, despite how fulfilled they look?\It's perfect! It's too perfect!\Operation High Tension Syndrome!\Are you the villain?\Thank you for the high tension interruption. response:	It's all ruined...
context: Charge!!\Angel must be watching this from the student council room and getting more and more confused.\Why aren't they disappearing, despite how fulfilled they look?\It's perfect! It's too perfect!\Operation High Tension Syndrome!\Are you the villain?\Thank you for the high tension interruption.\It's all ruined... response:	President, you can't!
context: Angel must be watching this from the student council room and getting more and more confused.\Why aren't they disappearing, despite how fulfilled they look?\It's perfect! It's too perfect!\Operation High Tension Syndrome!\Are you the villain?\Thank you for the high tension interruption.\It's all ruined...\President, you can't! response:	We're in the middle of a meeting!
context: Why aren't they disappearing, despite how fulfilled they look?\It's perfect! It's too perfect!\Operation High Tension Syndrome!\Are you the villain?\Thank you for the high tension interruption.\It's all ruined...\President, you can't!\We're in the middle of a meeting! response:	I'll be back soon.
context: It's perfect! It's too perfect!\Operation High Tension Syndrome!\Are you the villain?\Thank you for the high tension interruption.\It's all ruined...\President, you can't!\We're in the middle of a meeting!\I'll be back soon. response:	Right into the worst possible situation?!
context: Operation High Tension Syndrome!\Are you the villain?\Thank you for the high tension interruption.\It's all ruined...\President, you can't!\We're in the middle of a meeting!\I'll be back soon.\Right into the worst possible situation?! response:	What have you done?
context: Are you the villain?\Thank you for the high tension interruption.\It's all ruined...\President, you can't!\We're in the middle of a meeting!\I'll be back soon.\Right into the worst possible situation?!\What have you done? response:	Look at this.
context: Thank you for the high tension interruption.\It's all ruined...\President, you can't!\We're in the middle of a meeting!\I'll be back soon.\Right into the worst possible situation?!\What have you done?\Look at this. response:	What about it?
context: It's all ruined...\President, you can't!\We're in the middle of a meeting!\I'll be back soon.\Right into the worst possible situation?!\What have you done?\Look at this.\What about it? response:	CUTE!!!
context: President, you can't!\We're in the middle of a meeting!\I'll be back soon.\Right into the worst possible situation?!\What have you done?\Look at this.\What about it?\CUTE!!! response:	She's an idiot...
context: We're in the middle of a meeting!\I'll be back soon.\Right into the worst possible situation?!\What have you done?\Look at this.\What about it?\CUTE!!!\She's an idiot... response:	No intent to fight?
context: I'll be back soon.\Right into the worst possible situation?!\What have you done?\Look at this.\What about it?\CUTE!!!\She's an idiot...\No intent to fight? response:	How can I explain this?
context: Right into the worst possible situation?!\What have you done?\Look at this.\What about it?\CUTE!!!\She's an idiot...\No intent to fight?\How can I explain this? response:	Explain?
context: What have you done?\Look at this.\What about it?\CUTE!!!\She's an idiot...\No intent to fight?\How can I explain this?\Explain? response:	What?
context: Look at this.\What about it?\CUTE!!!\She's an idiot...\No intent to fight?\How can I explain this?\Explain?\What? response:	Don't tell me...
context: What about it?\CUTE!!!\She's an idiot...\No intent to fight?\How can I explain this?\Explain?\What?\Don't tell me... response:	Hey, you guys! Wake up!
context: CUTE!!!\She's an idiot...\No intent to fight?\How can I explain this?\Explain?\What?\Don't tell me...\Hey, you guys! Wake up! response:	We're going after her!
context: She's an idiot...\No intent to fight?\How can I explain this?\Explain?\What?\Don't tell me...\Hey, you guys! Wake up!\We're going after her! response:	And how are you guys so weak?!
context: No intent to fight?\How can I explain this?\Explain?\What?\Don't tell me...\Hey, you guys! Wake up!\We're going after her!\And how are you guys so weak?! response:	What's going on?
context: How can I explain this?\Explain?\What?\Don't tell me...\Hey, you guys! Wake up!\We're going after her!\And how are you guys so weak?!\What's going on? response:	I don't know.
context: Explain?\What?\Don't tell me...\Hey, you guys! Wake up!\We're going after her!\And how are you guys so weak?!\What's going on?\I don't know. response:	But she said she was going to explain something.
context: What?\Don't tell me...\Hey, you guys! Wake up!\We're going after her!\And how are you guys so weak?!\What's going on?\I don't know.\But she said she was going to explain something. response:	Explain? Don't tell me...
context: Don't tell me...\Hey, you guys! Wake up!\We're going after her!\And how are you guys so weak?!\What's going on?\I don't know.\But she said she was going to explain something.\Explain? Don't tell me... response:	To God, huh?
context: Hey, you guys! Wake up!\We're going after her!\And how are you guys so weak?!\What's going on?\I don't know.\But she said she was going to explain something.\Explain? Don't tell me...\To God, huh? response:	So we were right?
context: We're going after her!\And how are you guys so weak?!\What's going on?\I don't know.\But she said she was going to explain something.\Explain? Don't tell me...\To God, huh?\So we were right? response:	Having so many normal students down like this is an unprecedented irregularity.
context: And how are you guys so weak?!\What's going on?\I don't know.\But she said she was going to explain something.\Explain? Don't tell me...\To God, huh?\So we were right?\Having so many normal students down like this is an unprecedented irregularity. response:	The Battlefront always made sure the NPCs were unaffected by their activities.
context: What's going on?\I don't know.\But she said she was going to explain something.\Explain? Don't tell me...\To God, huh?\So we were right?\Having so many normal students down like this is an unprecedented irregularity.\The Battlefront always made sure the NPCs were unaffected by their activities. response:	But this time it's different.
context: I don't know.\But she said she was going to explain something.\Explain? Don't tell me...\To God, huh?\So we were right?\Having so many normal students down like this is an unprecedented irregularity.\The Battlefront always made sure the NPCs were unaffected by their activities.\But this time it's different. response:	Regardless of whether the operation was a success, we're dealing with the Battlefront's very objective here.
context: But she said she was going to explain something.\Explain? Don't tell me...\To God, huh?\So we were right?\Having so many normal students down like this is an unprecedented irregularity.\The Battlefront always made sure the NPCs were unaffected by their activities.\But this time it's different.\Regardless of whether the operation was a success, we're dealing with the Battlefront's very objective here. response:	There's an entrance to a basement here?
