context: And now for the final exercise! response:	Swing your arms out wide,
context: Huh?\Lucas wants to succeed the village's best woodcutter.\Mildo wants to make a crown from the flowers in the fields,\and give it to his mother.\Meina is going to have a baby sister soon.\And the brothers, Dyne and Cain, are always fighting over who'll marry Petra.\They do matter to me.\I know their names, their faces, response:	and what they want to do in the future.
context: Lucas wants to succeed the village's best woodcutter.\Mildo wants to make a crown from the flowers in the fields,\and give it to his mother.\Meina is going to have a baby sister soon.\And the brothers, Dyne and Cain, are always fighting over who'll marry Petra.\They do matter to me.\I know their names, their faces,\and what they want to do in the future. response:	And I promised them we'd do radio calisthenics again tomorrow.
context: Mildo wants to make a crown from the flowers in the fields,\and give it to his mother.\Meina is going to have a baby sister soon.\And the brothers, Dyne and Cain, are always fighting over who'll marry Petra.\They do matter to me.\I know their names, their faces,\and what they want to do in the future.\And I promised them we'd do radio calisthenics again tomorrow. response:	I keep my promises, and I make sure others keep theirs.
context: and give it to his mother.\Meina is going to have a baby sister soon.\And the brothers, Dyne and Cain, are always fighting over who'll marry Petra.\They do matter to me.\I know their names, their faces,\and what they want to do in the future.\And I promised them we'd do radio calisthenics again tomorrow.\I keep my promises, and I make sure others keep theirs. response:	I'm going to do radio calisthenics with those kids again.
context: Meina is going to have a baby sister soon.\And the brothers, Dyne and Cain, are always fighting over who'll marry Petra.\They do matter to me.\I know their names, their faces,\and what they want to do in the future.\And I promised them we'd do radio calisthenics again tomorrow.\I keep my promises, and I make sure others keep theirs.\I'm going to do radio calisthenics with those kids again. response:	So I'm going in there.
context: And the brothers, Dyne and Cain, are always fighting over who'll marry Petra.\They do matter to me.\I know their names, their faces,\and what they want to do in the future.\And I promised them we'd do radio calisthenics again tomorrow.\I keep my promises, and I make sure others keep theirs.\I'm going to do radio calisthenics with those kids again.\So I'm going in there. response:	Very well.
context: They do matter to me.\I know their names, their faces,\and what they want to do in the future.\And I promised them we'd do radio calisthenics again tomorrow.\I keep my promises, and I make sure others keep theirs.\I'm going to do radio calisthenics with those kids again.\So I'm going in there.\Very well. response:	My orders were to keep an eye on you.
context: I know their names, their faces,\and what they want to do in the future.\And I promised them we'd do radio calisthenics again tomorrow.\I keep my promises, and I make sure others keep theirs.\I'm going to do radio calisthenics with those kids again.\So I'm going in there.\Very well.\My orders were to keep an eye on you. response:	Yeah, that's right.
context: and what they want to do in the future.\And I promised them we'd do radio calisthenics again tomorrow.\I keep my promises, and I make sure others keep theirs.\I'm going to do radio calisthenics with those kids again.\So I'm going in there.\Very well.\My orders were to keep an eye on you.\Yeah, that's right. response:	Make sure I don't do anything shady!
context: And I promised them we'd do radio calisthenics again tomorrow.\I keep my promises, and I make sure others keep theirs.\I'm going to do radio calisthenics with those kids again.\So I'm going in there.\Very well.\My orders were to keep an eye on you.\Yeah, that's right.\Make sure I don't do anything shady! response:	I will.
context: I keep my promises, and I make sure others keep theirs.\I'm going to do radio calisthenics with those kids again.\So I'm going in there.\Very well.\My orders were to keep an eye on you.\Yeah, that's right.\Make sure I don't do anything shady!\I will. response:	Um, Rem-san, is that...
context: I'm going to do radio calisthenics with those kids again.\So I'm going in there.\Very well.\My orders were to keep an eye on you.\Yeah, that's right.\Make sure I don't do anything shady!\I will.\Um, Rem-san, is that... response:	It's for protection.
context: So I'm going in there.\Very well.\My orders were to keep an eye on you.\Yeah, that's right.\Make sure I don't do anything shady!\I will.\Um, Rem-san, is that...\It's for protection. response:	But that's...
context: Very well.\My orders were to keep an eye on you.\Yeah, that's right.\Make sure I don't do anything shady!\I will.\Um, Rem-san, is that...\It's for protection.\But that's... response:	It's for protection.
context: My orders were to keep an eye on you.\Yeah, that's right.\Make sure I don't do anything shady!\I will.\Um, Rem-san, is that...\It's for protection.\But that's...\It's for protection. response:	We're close. I smell something alive.
context: Yeah, that's right.\Make sure I don't do anything shady!\I will.\Um, Rem-san, is that...\It's for protection.\But that's...\It's for protection.\We're close. I smell something alive. response:	The kids?
context: Make sure I don't do anything shady!\I will.\Um, Rem-san, is that...\It's for protection.\But that's...\It's for protection.\We're close. I smell something alive.\The kids? response:	I'm not sure, but it doesn't smell like animals.
context: I will.\Um, Rem-san, is that...\It's for protection.\But that's...\It's for protection.\We're close. I smell something alive.\The kids?\I'm not sure, but it doesn't smell like animals. response:	It's the kids!
context: Um, Rem-san, is that...\It's for protection.\But that's...\It's for protection.\We're close. I smell something alive.\The kids?\I'm not sure, but it doesn't smell like animals.\It's the kids! response:	She's alive.
context: It's for protection.\But that's...\It's for protection.\We're close. I smell something alive.\The kids?\I'm not sure, but it doesn't smell like animals.\It's the kids!\She's alive. response:	They're alive!
context: But that's...\It's for protection.\We're close. I smell something alive.\The kids?\I'm not sure, but it doesn't smell like animals.\It's the kids!\She's alive.\They're alive! response:	No, they're still breathing now,
context: It's for protection.\We're close. I smell something alive.\The kids?\I'm not sure, but it doesn't smell like animals.\It's the kids!\She's alive.\They're alive!\No, they're still breathing now, response:	but they are very weak.
context: We're close. I smell something alive.\The kids?\I'm not sure, but it doesn't smell like animals.\It's the kids!\She's alive.\They're alive!\No, they're still breathing now,\but they are very weak. response:	If left alone...
context: The kids?\I'm not sure, but it doesn't smell like animals.\It's the kids!\She's alive.\They're alive!\No, they're still breathing now,\but they are very weak.\If left alone... response:	Weak... The curse?
context: I'm not sure, but it doesn't smell like animals.\It's the kids!\She's alive.\They're alive!\No, they're still breathing now,\but they are very weak.\If left alone...\Weak... The curse? response:	And we finally found them...
context: It's the kids!\She's alive.\They're alive!\No, they're still breathing now,\but they are very weak.\If left alone...\Weak... The curse?\And we finally found them... response:	Rem, can't you undo it?
context: She's alive.\They're alive!\No, they're still breathing now,\but they are very weak.\If left alone...\Weak... The curse?\And we finally found them...\Rem, can't you undo it? response:	I lack the skill for this.
context: They're alive!\No, they're still breathing now,\but they are very weak.\If left alone...\Weak... The curse?\And we finally found them...\Rem, can't you undo it?\I lack the skill for this. response:	If only my sister were here to see them...
context: No, they're still breathing now,\but they are very weak.\If left alone...\Weak... The curse?\And we finally found them...\Rem, can't you undo it?\I lack the skill for this.\If only my sister were here to see them... response:	But I will cast a healing spell to comfort them.
context: but they are very weak.\If left alone...\Weak... The curse?\And we finally found them...\Rem, can't you undo it?\I lack the skill for this.\If only my sister were here to see them...\But I will cast a healing spell to comfort them. response:	When they're calm, we'll carry them back.
context: If left alone...\Weak... The curse?\And we finally found them...\Rem, can't you undo it?\I lack the skill for this.\If only my sister were here to see them...\But I will cast a healing spell to comfort them.\When they're calm, we'll carry them back. response:	Okay, I'll...
context: Weak... The curse?\And we finally found them...\Rem, can't you undo it?\I lack the skill for this.\If only my sister were here to see them...\But I will cast a healing spell to comfort them.\When they're calm, we'll carry them back.\Okay, I'll... response:	Damn, I'm so useless.
context: And we finally found them...\Rem, can't you undo it?\I lack the skill for this.\If only my sister were here to see them...\But I will cast a healing spell to comfort them.\When they're calm, we'll carry them back.\Okay, I'll...\Damn, I'm so useless. response:	I'll keep watch
context: Rem, can't you undo it?\I lack the skill for this.\If only my sister were here to see them...\But I will cast a healing spell to comfort them.\When they're calm, we'll carry them back.\Okay, I'll...\Damn, I'm so useless.\I'll keep watch response:	Subaru?
context: I lack the skill for this.\If only my sister were here to see them...\But I will cast a healing spell to comfort them.\When they're calm, we'll carry them back.\Okay, I'll...\Damn, I'm so useless.\I'll keep watch\Subaru? response:	You're awake, Petra?
context: If only my sister were here to see them...\But I will cast a healing spell to comfort them.\When they're calm, we'll carry them back.\Okay, I'll...\Damn, I'm so useless.\I'll keep watch\Subaru?\You're awake, Petra? response:	All right, good. You're a tough girl.
context: But I will cast a healing spell to comfort them.\When they're calm, we'll carry them back.\Okay, I'll...\Damn, I'm so useless.\I'll keep watch\Subaru?\You're awake, Petra?\All right, good. You're a tough girl. response:	Don't overdo it, though.
context: When they're calm, we'll carry them back.\Okay, I'll...\Damn, I'm so useless.\I'll keep watch\Subaru?\You're awake, Petra?\All right, good. You're a tough girl.\Don't overdo it, though. response:	I'll take you back home, where you can say goodbye to the pain.
context: Okay, I'll...\Damn, I'm so useless.\I'll keep watch\Subaru?\You're awake, Petra?\All right, good. You're a tough girl.\Don't overdo it, though.\I'll take you back home, where you can say goodbye to the pain. response:	Just rest for
context: Damn, I'm so useless.\I'll keep watch\Subaru?\You're awake, Petra?\All right, good. You're a tough girl.\Don't overdo it, though.\I'll take you back home, where you can say goodbye to the pain.\Just rest for response:	One is...
context: I'll keep watch\Subaru?\You're awake, Petra?\All right, good. You're a tough girl.\Don't overdo it, though.\I'll take you back home, where you can say goodbye to the pain.\Just rest for\One is... response:	still... in the...
context: Subaru?\You're awake, Petra?\All right, good. You're a tough girl.\Don't overdo it, though.\I'll take you back home, where you can say goodbye to the pain.\Just rest for\One is...\still... in the... response:	Hey, what'd you say? Petra!
context: You're awake, Petra?\All right, good. You're a tough girl.\Don't overdo it, though.\I'll take you back home, where you can say goodbye to the pain.\Just rest for\One is...\still... in the...\Hey, what'd you say? Petra! response:	Damn it, she's right. I don't see the little girl with the braid!
context: All right, good. You're a tough girl.\Don't overdo it, though.\I'll take you back home, where you can say goodbye to the pain.\Just rest for\One is...\still... in the...\Hey, what'd you say? Petra!\Damn it, she's right. I don't see the little girl with the braid! response:	P-Please, wait! It's too dangerous.
context: Don't overdo it, though.\I'll take you back home, where you can say goodbye to the pain.\Just rest for\One is...\still... in the...\Hey, what'd you say? Petra!\Damn it, she's right. I don't see the little girl with the braid!\P-Please, wait! It's too dangerous. response:	And if the mabeasts took her, it's already...
context: I'll take you back home, where you can say goodbye to the pain.\Just rest for\One is...\still... in the...\Hey, what'd you say? Petra!\Damn it, she's right. I don't see the little girl with the braid!\P-Please, wait! It's too dangerous.\And if the mabeasts took her, it's already... response:	I get what you're saying! I do!
context: Just rest for\One is...\still... in the...\Hey, what'd you say? Petra!\Damn it, she's right. I don't see the little girl with the braid!\P-Please, wait! It's too dangerous.\And if the mabeasts took her, it's already...\I get what you're saying! I do! response:	But, Rem...
context: One is...\still... in the...\Hey, what'd you say? Petra!\Damn it, she's right. I don't see the little girl with the braid!\P-Please, wait! It's too dangerous.\And if the mabeasts took her, it's already...\I get what you're saying! I do!\But, Rem... response:	Petra says another girl was taken away.
context: still... in the...\Hey, what'd you say? Petra!\Damn it, she's right. I don't see the little girl with the braid!\P-Please, wait! It's too dangerous.\And if the mabeasts took her, it's already...\I get what you're saying! I do!\But, Rem...\Petra says another girl was taken away. response:	She showed concern for her friend before asking for my help.
context: Hey, what'd you say? Petra!\Damn it, she's right. I don't see the little girl with the braid!\P-Please, wait! It's too dangerous.\And if the mabeasts took her, it's already...\I get what you're saying! I do!\But, Rem...\Petra says another girl was taken away.\She showed concern for her friend before asking for my help. response:	She put her friend before herself!
context: Damn it, she's right. I don't see the little girl with the braid!\P-Please, wait! It's too dangerous.\And if the mabeasts took her, it's already...\I get what you're saying! I do!\But, Rem...\Petra says another girl was taken away.\She showed concern for her friend before asking for my help.\She put her friend before herself! response:	I want to respect Petra's feelings.
context: P-Please, wait! It's too dangerous.\And if the mabeasts took her, it's already...\I get what you're saying! I do!\But, Rem...\Petra says another girl was taken away.\She showed concern for her friend before asking for my help.\She put her friend before herself!\I want to respect Petra's feelings. response:	If you take something on, you should make the effort to take it all on.
context: And if the mabeasts took her, it's already...\I get what you're saying! I do!\But, Rem...\Petra says another girl was taken away.\She showed concern for her friend before asking for my help.\She put her friend before herself!\I want to respect Petra's feelings.\If you take something on, you should make the effort to take it all on. response:	If you get too greedy,
context: I get what you're saying! I do!\But, Rem...\Petra says another girl was taken away.\She showed concern for her friend before asking for my help.\She put her friend before herself!\I want to respect Petra's feelings.\If you take something on, you should make the effort to take it all on.\If you get too greedy, response:	you might take on more than you can carry back.
context: But, Rem...\Petra says another girl was taken away.\She showed concern for her friend before asking for my help.\She put her friend before herself!\I want to respect Petra's feelings.\If you take something on, you should make the effort to take it all on.\If you get too greedy,\you might take on more than you can carry back. response:	That's why you're with me, isn't it?
context: Petra says another girl was taken away.\She showed concern for her friend before asking for my help.\She put her friend before herself!\I want to respect Petra's feelings.\If you take something on, you should make the effort to take it all on.\If you get too greedy,\you might take on more than you can carry back.\That's why you're with me, isn't it? response:	What does that have to do with me?
context: She showed concern for her friend before asking for my help.\She put her friend before herself!\I want to respect Petra's feelings.\If you take something on, you should make the effort to take it all on.\If you get too greedy,\you might take on more than you can carry back.\That's why you're with me, isn't it?\What does that have to do with me? response:	Those kids need you now.
context: She put her friend before herself!\I want to respect Petra's feelings.\If you take something on, you should make the effort to take it all on.\If you get too greedy,\you might take on more than you can carry back.\That's why you're with me, isn't it?\What does that have to do with me?\Those kids need you now. response:	When the villagers show up,
context: I want to respect Petra's feelings.\If you take something on, you should make the effort to take it all on.\If you get too greedy,\you might take on more than you can carry back.\That's why you're with me, isn't it?\What does that have to do with me?\Those kids need you now.\When the villagers show up, response:	leave the kids with them and follow me.
context: If you take something on, you should make the effort to take it all on.\If you get too greedy,\you might take on more than you can carry back.\That's why you're with me, isn't it?\What does that have to do with me?\Those kids need you now.\When the villagers show up,\leave the kids with them and follow me. response:	We don't know the threat our opponent presents, or when the villagers will arrive.
context: If you get too greedy,\you might take on more than you can carry back.\That's why you're with me, isn't it?\What does that have to do with me?\Those kids need you now.\When the villagers show up,\leave the kids with them and follow me.\We don't know the threat our opponent presents, or when the villagers will arrive. response:	And at worst, there is a chance I won't be able to find you.
context: you might take on more than you can carry back.\That's why you're with me, isn't it?\What does that have to do with me?\Those kids need you now.\When the villagers show up,\leave the kids with them and follow me.\We don't know the threat our opponent presents, or when the villagers will arrive.\And at worst, there is a chance I won't be able to find you. response:	It'll be fine. You won't lose me.
context: That's why you're with me, isn't it?\What does that have to do with me?\Those kids need you now.\When the villagers show up,\leave the kids with them and follow me.\We don't know the threat our opponent presents, or when the villagers will arrive.\And at worst, there is a chance I won't be able to find you.\It'll be fine. You won't lose me. response:	What makes you so sure?
context: What does that have to do with me?\Those kids need you now.\When the villagers show up,\leave the kids with them and follow me.\We don't know the threat our opponent presents, or when the villagers will arrive.\And at worst, there is a chance I won't be able to find you.\It'll be fine. You won't lose me.\What makes you so sure? response:	Even if no one else does, you can pick up my scent.
context: Those kids need you now.\When the villagers show up,\leave the kids with them and follow me.\We don't know the threat our opponent presents, or when the villagers will arrive.\And at worst, there is a chance I won't be able to find you.\It'll be fine. You won't lose me.\What makes you so sure?\Even if no one else does, you can pick up my scent. response:	The foul odor that hangs on me...
context: When the villagers show up,\leave the kids with them and follow me.\We don't know the threat our opponent presents, or when the villagers will arrive.\And at worst, there is a chance I won't be able to find you.\It'll be fine. You won't lose me.\What makes you so sure?\Even if no one else does, you can pick up my scent.\The foul odor that hangs on me... response:	The smell of the witch.
context: leave the kids with them and follow me.\We don't know the threat our opponent presents, or when the villagers will arrive.\And at worst, there is a chance I won't be able to find you.\It'll be fine. You won't lose me.\What makes you so sure?\Even if no one else does, you can pick up my scent.\The foul odor that hangs on me...\The smell of the witch. response:	Right?
context: We don't know the threat our opponent presents, or when the villagers will arrive.\And at worst, there is a chance I won't be able to find you.\It'll be fine. You won't lose me.\What makes you so sure?\Even if no one else does, you can pick up my scent.\The foul odor that hangs on me...\The smell of the witch.\Right? response:	Subaru-kun, how much do you know about...
context: And at worst, there is a chance I won't be able to find you.\It'll be fine. You won't lose me.\What makes you so sure?\Even if no one else does, you can pick up my scent.\The foul odor that hangs on me...\The smell of the witch.\Right?\Subaru-kun, how much do you know about... response:	No idea... There's a ton I don't understand.
context: It'll be fine. You won't lose me.\What makes you so sure?\Even if no one else does, you can pick up my scent.\The foul odor that hangs on me...\The smell of the witch.\Right?\Subaru-kun, how much do you know about...\No idea... There's a ton I don't understand. response:	So much that no matter how many times I start over,
context: What makes you so sure?\Even if no one else does, you can pick up my scent.\The foul odor that hangs on me...\The smell of the witch.\Right?\Subaru-kun, how much do you know about...\No idea... There's a ton I don't understand.\So much that no matter how many times I start over, response:	I can't find the answer I'm looking for.
context: Even if no one else does, you can pick up my scent.\The foul odor that hangs on me...\The smell of the witch.\Right?\Subaru-kun, how much do you know about...\No idea... There's a ton I don't understand.\So much that no matter how many times I start over,\I can't find the answer I'm looking for. response:	Just like there are things you want to ask me,
context: The foul odor that hangs on me...\The smell of the witch.\Right?\Subaru-kun, how much do you know about...\No idea... There's a ton I don't understand.\So much that no matter how many times I start over,\I can't find the answer I'm looking for.\Just like there are things you want to ask me, response:	there are tons of things I want to ask you.
context: The smell of the witch.\Right?\Subaru-kun, how much do you know about...\No idea... There's a ton I don't understand.\So much that no matter how many times I start over,\I can't find the answer I'm looking for.\Just like there are things you want to ask me,\there are tons of things I want to ask you. response:	So when this is all taken care of, let's talk.
context: Right?\Subaru-kun, how much do you know about...\No idea... There's a ton I don't understand.\So much that no matter how many times I start over,\I can't find the answer I'm looking for.\Just like there are things you want to ask me,\there are tons of things I want to ask you.\So when this is all taken care of, let's talk. response:	Until our voices are hoarse! Promise?
context: Subaru-kun, how much do you know about...\No idea... There's a ton I don't understand.\So much that no matter how many times I start over,\I can't find the answer I'm looking for.\Just like there are things you want to ask me,\there are tons of things I want to ask you.\So when this is all taken care of, let's talk.\Until our voices are hoarse! Promise? response:	I trust you, Rem.
context: No idea... There's a ton I don't understand.\So much that no matter how many times I start over,\I can't find the answer I'm looking for.\Just like there are things you want to ask me,\there are tons of things I want to ask you.\So when this is all taken care of, let's talk.\Until our voices are hoarse! Promise?\I trust you, Rem. response:	So I want to act in a way that makes you trust me.
context: So much that no matter how many times I start over,\I can't find the answer I'm looking for.\Just like there are things you want to ask me,\there are tons of things I want to ask you.\So when this is all taken care of, let's talk.\Until our voices are hoarse! Promise?\I trust you, Rem.\So I want to act in a way that makes you trust me. response:	I'll make that promise right now!
context: I can't find the answer I'm looking for.\Just like there are things you want to ask me,\there are tons of things I want to ask you.\So when this is all taken care of, let's talk.\Until our voices are hoarse! Promise?\I trust you, Rem.\So I want to act in a way that makes you trust me.\I'll make that promise right now! response:	Very well. The promise is made.
context: Just like there are things you want to ask me,\there are tons of things I want to ask you.\So when this is all taken care of, let's talk.\Until our voices are hoarse! Promise?\I trust you, Rem.\So I want to act in a way that makes you trust me.\I'll make that promise right now!\Very well. The promise is made. response:	I will ask you many questions, so be ready.
context: there are tons of things I want to ask you.\So when this is all taken care of, let's talk.\Until our voices are hoarse! Promise?\I trust you, Rem.\So I want to act in a way that makes you trust me.\I'll make that promise right now!\Very well. The promise is made.\I will ask you many questions, so be ready. response:	Sure!
context: So when this is all taken care of, let's talk.\Until our voices are hoarse! Promise?\I trust you, Rem.\So I want to act in a way that makes you trust me.\I'll make that promise right now!\Very well. The promise is made.\I will ask you many questions, so be ready.\Sure! response:	Once the villagers come for the kids, I'll come join you.
context: Until our voices are hoarse! Promise?\I trust you, Rem.\So I want to act in a way that makes you trust me.\I'll make that promise right now!\Very well. The promise is made.\I will ask you many questions, so be ready.\Sure!\Once the villagers come for the kids, I'll come join you. response:	Don't do anything reckless.
context: I trust you, Rem.\So I want to act in a way that makes you trust me.\I'll make that promise right now!\Very well. The promise is made.\I will ask you many questions, so be ready.\Sure!\Once the villagers come for the kids, I'll come join you.\Don't do anything reckless. response:	Don't worry! I'm fanatical like a demon today!
context: So I want to act in a way that makes you trust me.\I'll make that promise right now!\Very well. The promise is made.\I will ask you many questions, so be ready.\Sure!\Once the villagers come for the kids, I'll come join you.\Don't do anything reckless.\Don't worry! I'm fanatical like a demon today! response:	Fanatical... like a demon?
context: I'll make that promise right now!\Very well. The promise is made.\I will ask you many questions, so be ready.\Sure!\Once the villagers come for the kids, I'll come join you.\Don't do anything reckless.\Don't worry! I'm fanatical like a demon today!\Fanatical... like a demon? response:	It's the demon version of divine possession.
context: Very well. The promise is made.\I will ask you many questions, so be ready.\Sure!\Once the villagers come for the kids, I'll come join you.\Don't do anything reckless.\Don't worry! I'm fanatical like a demon today!\Fanatical... like a demon?\It's the demon version of divine possession. response:	It's my favorite phrase lately!
context: I will ask you many questions, so be ready.\Sure!\Once the villagers come for the kids, I'll come join you.\Don't do anything reckless.\Don't worry! I'm fanatical like a demon today!\Fanatical... like a demon?\It's the demon version of divine possession.\It's my favorite phrase lately! response:	Please be careful.
context: Sure!\Once the villagers come for the kids, I'll come join you.\Don't do anything reckless.\Don't worry! I'm fanatical like a demon today!\Fanatical... like a demon?\It's the demon version of divine possession.\It's my favorite phrase lately!\Please be careful. response:	If the one that cursed those kids really was that dog from today,
context: Once the villagers come for the kids, I'll come join you.\Don't do anything reckless.\Don't worry! I'm fanatical like a demon today!\Fanatical... like a demon?\It's the demon version of divine possession.\It's my favorite phrase lately!\Please be careful.\If the one that cursed those kids really was that dog from today, response:	there's no way I can lose, right?
context: Don't do anything reckless.\Don't worry! I'm fanatical like a demon today!\Fanatical... like a demon?\It's the demon version of divine possession.\It's my favorite phrase lately!\Please be careful.\If the one that cursed those kids really was that dog from today,\there's no way I can lose, right? response:	I smell animals.
context: Don't worry! I'm fanatical like a demon today!\Fanatical... like a demon?\It's the demon version of divine possession.\It's my favorite phrase lately!\Please be careful.\If the one that cursed those kids really was that dog from today,\there's no way I can lose, right?\I smell animals. response:	Is it a trap?
context: Fanatical... like a demon?\It's the demon version of divine possession.\It's my favorite phrase lately!\Please be careful.\If the one that cursed those kids really was that dog from today,\there's no way I can lose, right?\I smell animals.\Is it a trap? response:	Emilia wouldn't hesitate!
context: It's the demon version of divine possession.\It's my favorite phrase lately!\Please be careful.\If the one that cursed those kids really was that dog from today,\there's no way I can lose, right?\I smell animals.\Is it a trap?\Emilia wouldn't hesitate! response:	Thank goodness...
context: It's my favorite phrase lately!\Please be careful.\If the one that cursed those kids really was that dog from today,\there's no way I can lose, right?\I smell animals.\Is it a trap?\Emilia wouldn't hesitate!\Thank goodness... response:	This is not what we discussed!
context: Please be careful.\If the one that cursed those kids really was that dog from today,\there's no way I can lose, right?\I smell animals.\Is it a trap?\Emilia wouldn't hesitate!\Thank goodness...\This is not what we discussed! response:	Why is it so huge?
context: If the one that cursed those kids really was that dog from today,\there's no way I can lose, right?\I smell animals.\Is it a trap?\Emilia wouldn't hesitate!\Thank goodness...\This is not what we discussed!\Why is it so huge? response:	And was it waiting for me to come for her?
context: there's no way I can lose, right?\I smell animals.\Is it a trap?\Emilia wouldn't hesitate!\Thank goodness...\This is not what we discussed!\Why is it so huge?\And was it waiting for me to come for her? response:	Nowhere to run...
context: I smell animals.\Is it a trap?\Emilia wouldn't hesitate!\Thank goodness...\This is not what we discussed!\Why is it so huge?\And was it waiting for me to come for her?\Nowhere to run... response:	Damn it! If you wanna fight, bring it on!
context: Is it a trap?\Emilia wouldn't hesitate!\Thank goodness...\This is not what we discussed!\Why is it so huge?\And was it waiting for me to come for her?\Nowhere to run...\Damn it! If you wanna fight, bring it on! response:	That...
context: Emilia wouldn't hesitate!\Thank goodness...\This is not what we discussed!\Why is it so huge?\And was it waiting for me to come for her?\Nowhere to run...\Damn it! If you wanna fight, bring it on!\That... response:	doesn't hurt!
context: Thank goodness...\This is not what we discussed!\Why is it so huge?\And was it waiting for me to come for her?\Nowhere to run...\Damn it! If you wanna fight, bring it on!\That...\doesn't hurt! response:	You just bit me, didn't you, you moron?!
context: This is not what we discussed!\Why is it so huge?\And was it waiting for me to come for her?\Nowhere to run...\Damn it! If you wanna fight, bring it on!\That...\doesn't hurt!\You just bit me, didn't you, you moron?! response:	I won...
context: Why is it so huge?\And was it waiting for me to come for her?\Nowhere to run...\Damn it! If you wanna fight, bring it on!\That...\doesn't hurt!\You just bit me, didn't you, you moron?!\I won... response:	You've gotta be kidding me...
context: And was it waiting for me to come for her?\Nowhere to run...\Damn it! If you wanna fight, bring it on!\That...\doesn't hurt!\You just bit me, didn't you, you moron?!\I won...\You've gotta be kidding me... response:	If you wanna fight, bring it on!
context: Nowhere to run...\Damn it! If you wanna fight, bring it on!\That...\doesn't hurt!\You just bit me, didn't you, you moron?!\I won...\You've gotta be kidding me...\If you wanna fight, bring it on! response:	The children have been safely returned to the village.
context: Damn it! If you wanna fight, bring it on!\That...\doesn't hurt!\You just bit me, didn't you, you moron?!\I won...\You've gotta be kidding me...\If you wanna fight, bring it on!\The children have been safely returned to the village. response:	Thank you for buying time.
context: That...\doesn't hurt!\You just bit me, didn't you, you moron?!\I won...\You've gotta be kidding me...\If you wanna fight, bring it on!\The children have been safely returned to the village.\Thank you for buying time. response:	Rem, watch ou
context: doesn't hurt!\You just bit me, didn't you, you moron?!\I won...\You've gotta be kidding me...\If you wanna fight, bring it on!\The children have been safely returned to the village.\Thank you for buying time.\Rem, watch ou response:	Shh.
context: You just bit me, didn't you, you moron?!\I won...\You've gotta be kidding me...\If you wanna fight, bring it on!\The children have been safely returned to the village.\Thank you for buying time.\Rem, watch ou\Shh. response:	Y-You're strong!
context: I won...\You've gotta be kidding me...\If you wanna fight, bring it on!\The children have been safely returned to the village.\Thank you for buying time.\Rem, watch ou\Shh.\Y-You're strong! response:	I'm not sure if that's a nice thing to say to a girl, Subaru-kun.
context: You've gotta be kidding me...\If you wanna fight, bring it on!\The children have been safely returned to the village.\Thank you for buying time.\Rem, watch ou\Shh.\Y-You're strong!\I'm not sure if that's a nice thing to say to a girl, Subaru-kun. response:	I have no other words to describe you!
context: If you wanna fight, bring it on!\The children have been safely returned to the village.\Thank you for buying time.\Rem, watch ou\Shh.\Y-You're strong!\I'm not sure if that's a nice thing to say to a girl, Subaru-kun.\I have no other words to describe you! response:	You're seriously incredible!
context: The children have been safely returned to the village.\Thank you for buying time.\Rem, watch ou\Shh.\Y-You're strong!\I'm not sure if that's a nice thing to say to a girl, Subaru-kun.\I have no other words to describe you!\You're seriously incredible! response:	So, Rem, would you be able to take them all out in one shot, by chance?
context: Thank you for buying time.\Rem, watch ou\Shh.\Y-You're strong!\I'm not sure if that's a nice thing to say to a girl, Subaru-kun.\I have no other words to describe you!\You're seriously incredible!\So, Rem, would you be able to take them all out in one shot, by chance? response:	We are outnumbered. With this many, our situation is dire.
context: Rem, watch ou\Shh.\Y-You're strong!\I'm not sure if that's a nice thing to say to a girl, Subaru-kun.\I have no other words to describe you!\You're seriously incredible!\So, Rem, would you be able to take them all out in one shot, by chance?\We are outnumbered. With this many, our situation is dire. response:	Yeah, I guess it would be.
context: Shh.\Y-You're strong!\I'm not sure if that's a nice thing to say to a girl, Subaru-kun.\I have no other words to describe you!\You're seriously incredible!\So, Rem, would you be able to take them all out in one shot, by chance?\We are outnumbered. With this many, our situation is dire.\Yeah, I guess it would be. response:	In that case... There!
context: Y-You're strong!\I'm not sure if that's a nice thing to say to a girl, Subaru-kun.\I have no other words to describe you!\You're seriously incredible!\So, Rem, would you be able to take them all out in one shot, by chance?\We are outnumbered. With this many, our situation is dire.\Yeah, I guess it would be.\In that case... There! response:	Now!
context: I'm not sure if that's a nice thing to say to a girl, Subaru-kun.\I have no other words to describe you!\You're seriously incredible!\So, Rem, would you be able to take them all out in one shot, by chance?\We are outnumbered. With this many, our situation is dire.\Yeah, I guess it would be.\In that case... There!\Now! response:	Rem, I don't know the way!
context: I have no other words to describe you!\You're seriously incredible!\So, Rem, would you be able to take them all out in one shot, by chance?\We are outnumbered. With this many, our situation is dire.\Yeah, I guess it would be.\In that case... There!\Now!\Rem, I don't know the way! response:	Straight ahead.
context: You're seriously incredible!\So, Rem, would you be able to take them all out in one shot, by chance?\We are outnumbered. With this many, our situation is dire.\Yeah, I guess it would be.\In that case... There!\Now!\Rem, I don't know the way!\Straight ahead. response:	Once we cross the barrier, the battle will end.
context: So, Rem, would you be able to take them all out in one shot, by chance?\We are outnumbered. With this many, our situation is dire.\Yeah, I guess it would be.\In that case... There!\Now!\Rem, I don't know the way!\Straight ahead.\Once we cross the barrier, the battle will end. response:	Run toward the village bonfire!
