context: Kurogiri, get rid of these guys. response:	Villain - Tomura Shigaraki - Quirk: Decay
context: Just you watch, Hero Killer.\Almost everyone is thinking, It's no skin off my back.\No, they're not even thinking that.\No matter where someone tries to kill someone else for whatever reason,\these guys will just keep smiling thoughtlessly and going on living.\It's the hero killer!\Is this really okay?\Super popular!! Hero Killer Mask 980 yen response:	You'll definitely get in trouble!
context: Almost everyone is thinking, It's no skin off my back.\No, they're not even thinking that.\No matter where someone tries to kill someone else for whatever reason,\these guys will just keep smiling thoughtlessly and going on living.\It's the hero killer!\Is this really okay?\Super popular!! Hero Killer Mask 980 yen\You'll definitely get in trouble! response:	It's such a bad idea!
context: No, they're not even thinking that.\No matter where someone tries to kill someone else for whatever reason,\these guys will just keep smiling thoughtlessly and going on living.\It's the hero killer!\Is this really okay?\Super popular!! Hero Killer Mask 980 yen\You'll definitely get in trouble!\It's such a bad idea! response:	That's cool!
context: No matter where someone tries to kill someone else for whatever reason,\these guys will just keep smiling thoughtlessly and going on living.\It's the hero killer!\Is this really okay?\Super popular!! Hero Killer Mask 980 yen\You'll definitely get in trouble!\It's such a bad idea!\That's cool! response:	But on the other hand,
context: these guys will just keep smiling thoughtlessly and going on living.\It's the hero killer!\Is this really okay?\Super popular!! Hero Killer Mask 980 yen\You'll definitely get in trouble!\It's such a bad idea!\That's cool!\But on the other hand, response:	you've got some sympathizers who are far from your ideals.
context: It's the hero killer!\Is this really okay?\Super popular!! Hero Killer Mask 980 yen\You'll definitely get in trouble!\It's such a bad idea!\That's cool!\But on the other hand,\you've got some sympathizers who are far from your ideals. response:	What's up with that?
context: Is this really okay?\Super popular!! Hero Killer Mask 980 yen\You'll definitely get in trouble!\It's such a bad idea!\That's cool!\But on the other hand,\you've got some sympathizers who are far from your ideals.\What's up with that? response:	Aren't we doing the same thing, you and me?
context: Super popular!! Hero Killer Mask 980 yen\You'll definitely get in trouble!\It's such a bad idea!\That's cool!\But on the other hand,\you've got some sympathizers who are far from your ideals.\What's up with that?\Aren't we doing the same thing, you and me? response:	In the end, you just destroyed the things you didn't like, right?
context: You'll definitely get in trouble!\It's such a bad idea!\That's cool!\But on the other hand,\you've got some sympathizers who are far from your ideals.\What's up with that?\Aren't we doing the same thing, you and me?\In the end, you just destroyed the things you didn't like, right? response:	What's up with that?
context: It's such a bad idea!\That's cool!\But on the other hand,\you've got some sympathizers who are far from your ideals.\What's up with that?\Aren't we doing the same thing, you and me?\In the end, you just destroyed the things you didn't like, right?\What's up with that? response:	What's the difference?
context: That's cool!\But on the other hand,\you've got some sympathizers who are far from your ideals.\What's up with that?\Aren't we doing the same thing, you and me?\In the end, you just destroyed the things you didn't like, right?\What's up with that?\What's the difference? response:	Act natural, like I'm an old friend.
context: But on the other hand,\you've got some sympathizers who are far from your ideals.\What's up with that?\Aren't we doing the same thing, you and me?\In the end, you just destroyed the things you didn't like, right?\What's up with that?\What's the difference?\Act natural, like I'm an old friend. response:	Don't make a fuss, okay?
context: you've got some sympathizers who are far from your ideals.\What's up with that?\Aren't we doing the same thing, you and me?\In the end, you just destroyed the things you didn't like, right?\What's up with that?\What's the difference?\Act natural, like I'm an old friend.\Don't make a fuss, okay? response:	Calm down and catch your breath.
context: What's up with that?\Aren't we doing the same thing, you and me?\In the end, you just destroyed the things you didn't like, right?\What's up with that?\What's the difference?\Act natural, like I'm an old friend.\Don't make a fuss, okay?\Calm down and catch your breath. response:	I want to talk to you.
context: Aren't we doing the same thing, you and me?\In the end, you just destroyed the things you didn't like, right?\What's up with that?\What's the difference?\Act natural, like I'm an old friend.\Don't make a fuss, okay?\Calm down and catch your breath.\I want to talk to you. response:	That's all.
context: In the end, you just destroyed the things you didn't like, right?\What's up with that?\What's the difference?\Act natural, like I'm an old friend.\Don't make a fuss, okay?\Calm down and catch your breath.\I want to talk to you.\That's all. response:	Just try and do something funny.
context: What's up with that?\What's the difference?\Act natural, like I'm an old friend.\Don't make a fuss, okay?\Calm down and catch your breath.\I want to talk to you.\That's all.\Just try and do something funny. response:	It's simple.
context: What's the difference?\Act natural, like I'm an old friend.\Don't make a fuss, okay?\Calm down and catch your breath.\I want to talk to you.\That's all.\Just try and do something funny.\It's simple. response:	The instant all five of my fingers touch your neck,
context: Act natural, like I'm an old friend.\Don't make a fuss, okay?\Calm down and catch your breath.\I want to talk to you.\That's all.\Just try and do something funny.\It's simple.\The instant all five of my fingers touch your neck, response:	you'll start crumbling from the skin of your throat.
context: Don't make a fuss, okay?\Calm down and catch your breath.\I want to talk to you.\That's all.\Just try and do something funny.\It's simple.\The instant all five of my fingers touch your neck,\you'll start crumbling from the skin of your throat. response:	You'll turn to dust in less than a minute.
context: Calm down and catch your breath.\I want to talk to you.\That's all.\Just try and do something funny.\It's simple.\The instant all five of my fingers touch your neck,\you'll start crumbling from the skin of your throat.\You'll turn to dust in less than a minute. response:	I-If you do that in a place with this many people,
context: I want to talk to you.\That's all.\Just try and do something funny.\It's simple.\The instant all five of my fingers touch your neck,\you'll start crumbling from the skin of your throat.\You'll turn to dust in less than a minute.\I-If you do that in a place with this many people, response:	a hero will come and catch you in no time...
context: That's all.\Just try and do something funny.\It's simple.\The instant all five of my fingers touch your neck,\you'll start crumbling from the skin of your throat.\You'll turn to dust in less than a minute.\I-If you do that in a place with this many people,\a hero will come and catch you in no time... response:	I'm sure.
context: Just try and do something funny.\It's simple.\The instant all five of my fingers touch your neck,\you'll start crumbling from the skin of your throat.\You'll turn to dust in less than a minute.\I-If you do that in a place with this many people,\a hero will come and catch you in no time...\I'm sure. response:	But look at these guys.
context: It's simple.\The instant all five of my fingers touch your neck,\you'll start crumbling from the skin of your throat.\You'll turn to dust in less than a minute.\I-If you do that in a place with this many people,\a hero will come and catch you in no time...\I'm sure.\But look at these guys. response:	Even though anyone could wield their Quirk at any time,
context: The instant all five of my fingers touch your neck,\you'll start crumbling from the skin of your throat.\You'll turn to dust in less than a minute.\I-If you do that in a place with this many people,\a hero will come and catch you in no time...\I'm sure.\But look at these guys.\Even though anyone could wield their Quirk at any time, response:	how can they smile and gather like that?
context: you'll start crumbling from the skin of your throat.\You'll turn to dust in less than a minute.\I-If you do that in a place with this many people,\a hero will come and catch you in no time...\I'm sure.\But look at these guys.\Even though anyone could wield their Quirk at any time,\how can they smile and gather like that? response:	When it comes down to it, laws and rules assume that individuals have morals.
context: You'll turn to dust in less than a minute.\I-If you do that in a place with this many people,\a hero will come and catch you in no time...\I'm sure.\But look at these guys.\Even though anyone could wield their Quirk at any time,\how can they smile and gather like that?\When it comes down to it, laws and rules assume that individuals have morals. response:	They're convinced that there's no way anyone would do it.
context: I-If you do that in a place with this many people,\a hero will come and catch you in no time...\I'm sure.\But look at these guys.\Even though anyone could wield their Quirk at any time,\how can they smile and gather like that?\When it comes down to it, laws and rules assume that individuals have morals.\They're convinced that there's no way anyone would do it. response:	Before I'm caught I could crumble twenty-no, thirty people...
context: a hero will come and catch you in no time...\I'm sure.\But look at these guys.\Even though anyone could wield their Quirk at any time,\how can they smile and gather like that?\When it comes down to it, laws and rules assume that individuals have morals.\They're convinced that there's no way anyone would do it.\Before I'm caught I could crumble twenty-no, thirty people... response:	What... do you want to talk about?
context: I'm sure.\But look at these guys.\Even though anyone could wield their Quirk at any time,\how can they smile and gather like that?\When it comes down to it, laws and rules assume that individuals have morals.\They're convinced that there's no way anyone would do it.\Before I'm caught I could crumble twenty-no, thirty people...\What... do you want to talk about? response:	This is nice.
context: But look at these guys.\Even though anyone could wield their Quirk at any time,\how can they smile and gather like that?\When it comes down to it, laws and rules assume that individuals have morals.\They're convinced that there's no way anyone would do it.\Before I'm caught I could crumble twenty-no, thirty people...\What... do you want to talk about?\This is nice. response:	Since we've got this chance, why don't we sit down and have a chat?
context: Even though anyone could wield their Quirk at any time,\how can they smile and gather like that?\When it comes down to it, laws and rules assume that individuals have morals.\They're convinced that there's no way anyone would do it.\Before I'm caught I could crumble twenty-no, thirty people...\What... do you want to talk about?\This is nice.\Since we've got this chance, why don't we sit down and have a chat? response:	Anyway, I hate everything,
context: how can they smile and gather like that?\When it comes down to it, laws and rules assume that individuals have morals.\They're convinced that there's no way anyone would do it.\Before I'm caught I could crumble twenty-no, thirty people...\What... do you want to talk about?\This is nice.\Since we've got this chance, why don't we sit down and have a chat?\Anyway, I hate everything, response:	but what pisses me off the most right now is the hero killer.
context: When it comes down to it, laws and rules assume that individuals have morals.\They're convinced that there's no way anyone would do it.\Before I'm caught I could crumble twenty-no, thirty people...\What... do you want to talk about?\This is nice.\Since we've got this chance, why don't we sit down and have a chat?\Anyway, I hate everything,\but what pisses me off the most right now is the hero killer. response:	He's not with you?
context: They're convinced that there's no way anyone would do it.\Before I'm caught I could crumble twenty-no, thirty people...\What... do you want to talk about?\This is nice.\Since we've got this chance, why don't we sit down and have a chat?\Anyway, I hate everything,\but what pisses me off the most right now is the hero killer.\He's not with you? response:	I didn't acknowledge it, but that's how it ended up in the news.
context: Before I'm caught I could crumble twenty-no, thirty people...\What... do you want to talk about?\This is nice.\Since we've got this chance, why don't we sit down and have a chat?\Anyway, I hate everything,\but what pisses me off the most right now is the hero killer.\He's not with you?\I didn't acknowledge it, but that's how it ended up in the news. response:	That's the problem.
context: What... do you want to talk about?\This is nice.\Since we've got this chance, why don't we sit down and have a chat?\Anyway, I hate everything,\but what pisses me off the most right now is the hero killer.\He's not with you?\I didn't acknowledge it, but that's how it ended up in the news.\That's the problem. response:	Almost everyone is looking at the hero killer.
context: This is nice.\Since we've got this chance, why don't we sit down and have a chat?\Anyway, I hate everything,\but what pisses me off the most right now is the hero killer.\He's not with you?\I didn't acknowledge it, but that's how it ended up in the news.\That's the problem.\Almost everyone is looking at the hero killer. response:	Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.
context: Since we've got this chance, why don't we sit down and have a chat?\Anyway, I hate everything,\but what pisses me off the most right now is the hero killer.\He's not with you?\I didn't acknowledge it, but that's how it ended up in the news.\That's the problem.\Almost everyone is looking at the hero killer.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero. response:	The attack on U.A. and the Nomus I released on Hosu City...
context: Anyway, I hate everything,\but what pisses me off the most right now is the hero killer.\He's not with you?\I didn't acknowledge it, but that's how it ended up in the news.\That's the problem.\Almost everyone is looking at the hero killer.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\The attack on U.A. and the Nomus I released on Hosu City... response:	He enrolled in a private hero high school but was disappointed in the fundamentally depraved view
context: but what pisses me off the most right now is the hero killer.\He's not with you?\I didn't acknowledge it, but that's how it ended up in the news.\That's the problem.\Almost everyone is looking at the hero killer.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\The attack on U.A. and the Nomus I released on Hosu City...\He enrolled in a private hero high school but was disappointed in the fundamentally depraved view response:	Everything was upstaged by him.
context: He's not with you?\I didn't acknowledge it, but that's how it ended up in the news.\That's the problem.\Almost everyone is looking at the hero killer.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\The attack on U.A. and the Nomus I released on Hosu City...\He enrolled in a private hero high school but was disappointed in the fundamentally depraved view\Everything was upstaged by him. response:	of heroes taught by the educational system.
context: I didn't acknowledge it, but that's how it ended up in the news.\That's the problem.\Almost everyone is looking at the hero killer.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\The attack on U.A. and the Nomus I released on Hosu City...\He enrolled in a private hero high school but was disappointed in the fundamentally depraved view\Everything was upstaged by him.\of heroes taught by the educational system. response:	No one's looking at me.
context: That's the problem.\Almost everyone is looking at the hero killer.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\The attack on U.A. and the Nomus I released on Hosu City...\He enrolled in a private hero high school but was disappointed in the fundamentally depraved view\Everything was upstaged by him.\of heroes taught by the educational system.\No one's looking at me. response:	Why is that?
context: Almost everyone is looking at the hero killer.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\The attack on U.A. and the Nomus I released on Hosu City...\He enrolled in a private hero high school but was disappointed in the fundamentally depraved view\Everything was upstaged by him.\of heroes taught by the educational system.\No one's looking at me.\Why is that? response:	No matter how much he boasts,
context: Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\The attack on U.A. and the Nomus I released on Hosu City...\He enrolled in a private hero high school but was disappointed in the fundamentally depraved view\Everything was upstaged by him.\of heroes taught by the educational system.\No one's looking at me.\Why is that?\No matter how much he boasts, response:	in the end, he just destroyed what he didn't like, right?
context: The attack on U.A. and the Nomus I released on Hosu City...\He enrolled in a private hero high school but was disappointed in the fundamentally depraved view\Everything was upstaged by him.\of heroes taught by the educational system.\No one's looking at me.\Why is that?\No matter how much he boasts,\in the end, he just destroyed what he didn't like, right? response:	What do you think the difference is between me and him, Midoriya?
context: He enrolled in a private hero high school but was disappointed in the fundamentally depraved view\Everything was upstaged by him.\of heroes taught by the educational system.\No one's looking at me.\Why is that?\No matter how much he boasts,\in the end, he just destroyed what he didn't like, right?\What do you think the difference is between me and him, Midoriya? response:	I got flustered and ended up running at full speed.
context: Everything was upstaged by him.\of heroes taught by the educational system.\No one's looking at me.\Why is that?\No matter how much he boasts,\in the end, he just destroyed what he didn't like, right?\What do you think the difference is between me and him, Midoriya?\I got flustered and ended up running at full speed. response:	I bet Deku was really confused...
context: of heroes taught by the educational system.\No one's looking at me.\Why is that?\No matter how much he boasts,\in the end, he just destroyed what he didn't like, right?\What do you think the difference is between me and him, Midoriya?\I got flustered and ended up running at full speed.\I bet Deku was really confused... response:	I feel bad leaving him like that.
context: No one's looking at me.\Why is that?\No matter how much he boasts,\in the end, he just destroyed what he didn't like, right?\What do you think the difference is between me and him, Midoriya?\I got flustered and ended up running at full speed.\I bet Deku was really confused...\I feel bad leaving him like that. response:	Yeah, so I need to go back and apologize.
context: Why is that?\No matter how much he boasts,\in the end, he just destroyed what he didn't like, right?\What do you think the difference is between me and him, Midoriya?\I got flustered and ended up running at full speed.\I bet Deku was really confused...\I feel bad leaving him like that.\Yeah, so I need to go back and apologize. response:	Yeah, I need to go back...
context: No matter how much he boasts,\in the end, he just destroyed what he didn't like, right?\What do you think the difference is between me and him, Midoriya?\I got flustered and ended up running at full speed.\I bet Deku was really confused...\I feel bad leaving him like that.\Yeah, so I need to go back and apologize.\Yeah, I need to go back... response:	No, that's not it. I'm just gonna apologize when I go back...
context: in the end, he just destroyed what he didn't like, right?\What do you think the difference is between me and him, Midoriya?\I got flustered and ended up running at full speed.\I bet Deku was really confused...\I feel bad leaving him like that.\Yeah, so I need to go back and apologize.\Yeah, I need to go back...\No, that's not it. I'm just gonna apologize when I go back... response:	Yeah. That's right. It's not like I want to go shopping with him or anything.
context: What do you think the difference is between me and him, Midoriya?\I got flustered and ended up running at full speed.\I bet Deku was really confused...\I feel bad leaving him like that.\Yeah, so I need to go back and apologize.\Yeah, I need to go back...\No, that's not it. I'm just gonna apologize when I go back...\Yeah. That's right. It's not like I want to go shopping with him or anything. response:	In the first place,
context: I got flustered and ended up running at full speed.\I bet Deku was really confused...\I feel bad leaving him like that.\Yeah, so I need to go back and apologize.\Yeah, I need to go back...\No, that's not it. I'm just gonna apologize when I go back...\Yeah. That's right. It's not like I want to go shopping with him or anything.\In the first place, response:	I just thought he was amazing for someone who wanted to be a hero, like me.
context: I bet Deku was really confused...\I feel bad leaving him like that.\Yeah, so I need to go back and apologize.\Yeah, I need to go back...\No, that's not it. I'm just gonna apologize when I go back...\Yeah. That's right. It's not like I want to go shopping with him or anything.\In the first place,\I just thought he was amazing for someone who wanted to be a hero, like me. response:	Yeah, I'll go back. No, it's not like that at all.
context: I feel bad leaving him like that.\Yeah, so I need to go back and apologize.\Yeah, I need to go back...\No, that's not it. I'm just gonna apologize when I go back...\Yeah. That's right. It's not like I want to go shopping with him or anything.\In the first place,\I just thought he was amazing for someone who wanted to be a hero, like me.\Yeah, I'll go back. No, it's not like that at all. response:	What Aoyama said was really ridiculous.
context: Yeah, so I need to go back and apologize.\Yeah, I need to go back...\No, that's not it. I'm just gonna apologize when I go back...\Yeah. That's right. It's not like I want to go shopping with him or anything.\In the first place,\I just thought he was amazing for someone who wanted to be a hero, like me.\Yeah, I'll go back. No, it's not like that at all.\What Aoyama said was really ridiculous. response:	What is the difference...?
context: Yeah, I need to go back...\No, that's not it. I'm just gonna apologize when I go back...\Yeah. That's right. It's not like I want to go shopping with him or anything.\In the first place,\I just thought he was amazing for someone who wanted to be a hero, like me.\Yeah, I'll go back. No, it's not like that at all.\What Aoyama said was really ridiculous.\What is the difference...? response:	I can't understand or agree with who you are.
context: No, that's not it. I'm just gonna apologize when I go back...\Yeah. That's right. It's not like I want to go shopping with him or anything.\In the first place,\I just thought he was amazing for someone who wanted to be a hero, like me.\Yeah, I'll go back. No, it's not like that at all.\What Aoyama said was really ridiculous.\What is the difference...?\I can't understand or agree with who you are. response:	For the hero killer, I don't agree with him,
context: Yeah. That's right. It's not like I want to go shopping with him or anything.\In the first place,\I just thought he was amazing for someone who wanted to be a hero, like me.\Yeah, I'll go back. No, it's not like that at all.\What Aoyama said was really ridiculous.\What is the difference...?\I can't understand or agree with who you are.\For the hero killer, I don't agree with him, response:	All Might's debut left a deep impression on him, and he set his sights on becoming a hero.
context: In the first place,\I just thought he was amazing for someone who wanted to be a hero, like me.\Yeah, I'll go back. No, it's not like that at all.\What Aoyama said was really ridiculous.\What is the difference...?\I can't understand or agree with who you are.\For the hero killer, I don't agree with him,\All Might's debut left a deep impression on him, and he set his sights on becoming a hero. response:	but I can understand him.
context: I just thought he was amazing for someone who wanted to be a hero, like me.\Yeah, I'll go back. No, it's not like that at all.\What Aoyama said was really ridiculous.\What is the difference...?\I can't understand or agree with who you are.\For the hero killer, I don't agree with him,\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\but I can understand him. response:	Because for me and the hero killer, it all started...
context: Yeah, I'll go back. No, it's not like that at all.\What Aoyama said was really ridiculous.\What is the difference...?\I can't understand or agree with who you are.\For the hero killer, I don't agree with him,\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\but I can understand him.\Because for me and the hero killer, it all started... response:	This is all...
context: What Aoyama said was really ridiculous.\What is the difference...?\I can't understand or agree with who you are.\For the hero killer, I don't agree with him,\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\but I can understand him.\Because for me and the hero killer, it all started...\This is all... response:	At that time, I was saved...
context: What is the difference...?\I can't understand or agree with who you are.\For the hero killer, I don't agree with him,\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\but I can understand him.\Because for me and the hero killer, it all started...\This is all...\At that time, I was saved... response:	At the very least, he wasn't destroying just because he wanted to.
context: I can't understand or agree with who you are.\For the hero killer, I don't agree with him,\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\but I can understand him.\Because for me and the hero killer, it all started...\This is all...\At that time, I was saved...\At the very least, he wasn't destroying just because he wanted to. response:	It's game over now.
context: For the hero killer, I don't agree with him,\All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\but I can understand him.\Because for me and the hero killer, it all started...\This is all...\At that time, I was saved...\At the very least, he wasn't destroying just because he wanted to.\It's game over now. response:	Shall we go home?
context: All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\but I can understand him.\Because for me and the hero killer, it all started...\This is all...\At that time, I was saved...\At the very least, he wasn't destroying just because he wanted to.\It's game over now.\Shall we go home? response:	He didn't just abandon it in vain, like you did.
context: but I can understand him.\Because for me and the hero killer, it all started...\This is all...\At that time, I was saved...\At the very least, he wasn't destroying just because he wanted to.\It's game over now.\Shall we go home?\He didn't just abandon it in vain, like you did. response:	Even if the way he did it was wrong,
context: Because for me and the hero killer, it all started...\This is all...\At that time, I was saved...\At the very least, he wasn't destroying just because he wanted to.\It's game over now.\Shall we go home?\He didn't just abandon it in vain, like you did.\Even if the way he did it was wrong, response:	he was trying to live up to his ideals, I think.
context: This is all...\At that time, I was saved...\At the very least, he wasn't destroying just because he wanted to.\It's game over now.\Shall we go home?\He didn't just abandon it in vain, like you did.\Even if the way he did it was wrong,\he was trying to live up to his ideals, I think. response:	It's like a weight off my chest.
context: At that time, I was saved...\At the very least, he wasn't destroying just because he wanted to.\It's game over now.\Shall we go home?\He didn't just abandon it in vain, like you did.\Even if the way he did it was wrong,\he was trying to live up to his ideals, I think.\It's like a weight off my chest. response:	I feel like I've connected the dots.
context: At the very least, he wasn't destroying just because he wanted to.\It's game over now.\Shall we go home?\He didn't just abandon it in vain, like you did.\Even if the way he did it was wrong,\he was trying to live up to his ideals, I think.\It's like a weight off my chest.\I feel like I've connected the dots. response:	Why the hero killer pisses me off,
context: It's game over now.\Shall we go home?\He didn't just abandon it in vain, like you did.\Even if the way he did it was wrong,\he was trying to live up to his ideals, I think.\It's like a weight off my chest.\I feel like I've connected the dots.\Why the hero killer pisses me off, response:	and why you irritate me...
context: Shall we go home?\He didn't just abandon it in vain, like you did.\Even if the way he did it was wrong,\he was trying to live up to his ideals, I think.\It's like a weight off my chest.\I feel like I've connected the dots.\Why the hero killer pisses me off,\and why you irritate me... response:	I feel like I understand now.
context: He didn't just abandon it in vain, like you did.\Even if the way he did it was wrong,\he was trying to live up to his ideals, I think.\It's like a weight off my chest.\I feel like I've connected the dots.\Why the hero killer pisses me off,\and why you irritate me...\I feel like I understand now. response:	Everything's because of All Might.
context: Even if the way he did it was wrong,\he was trying to live up to his ideals, I think.\It's like a weight off my chest.\I feel like I've connected the dots.\Why the hero killer pisses me off,\and why you irritate me...\I feel like I understand now.\Everything's because of All Might. response:	Yeah, that's it...
context: he was trying to live up to his ideals, I think.\It's like a weight off my chest.\I feel like I've connected the dots.\Why the hero killer pisses me off,\and why you irritate me...\I feel like I understand now.\Everything's because of All Might.\Yeah, that's it... response:	When all's said and done, that's where I ended up.
context: It's like a weight off my chest.\I feel like I've connected the dots.\Why the hero killer pisses me off,\and why you irritate me...\I feel like I understand now.\Everything's because of All Might.\Yeah, that's it...\When all's said and done, that's where I ended up. response:	What was I worrying so much about?
context: I feel like I've connected the dots.\Why the hero killer pisses me off,\and why you irritate me...\I feel like I understand now.\Everything's because of All Might.\Yeah, that's it...\When all's said and done, that's where I ended up.\What was I worrying so much about? response:	These guys are able to smile thoughtlessly because All Might is smiling thoughtlessly.
context: Why the hero killer pisses me off,\and why you irritate me...\I feel like I understand now.\Everything's because of All Might.\Yeah, that's it...\When all's said and done, that's where I ended up.\What was I worrying so much about?\These guys are able to smile thoughtlessly because All Might is smiling thoughtlessly. response:	It's because that trash is smiling thoughtlessly,
context: and why you irritate me...\I feel like I understand now.\Everything's because of All Might.\Yeah, that's it...\When all's said and done, that's where I ended up.\What was I worrying so much about?\These guys are able to smile thoughtlessly because All Might is smiling thoughtlessly.\It's because that trash is smiling thoughtlessly, response:	as if there was no one he couldn't save!
context: I feel like I understand now.\Everything's because of All Might.\Yeah, that's it...\When all's said and done, that's where I ended up.\What was I worrying so much about?\These guys are able to smile thoughtlessly because All Might is smiling thoughtlessly.\It's because that trash is smiling thoughtlessly,\as if there was no one he couldn't save! response:	Oh, I'm so glad we could talk.
context: Everything's because of All Might.\Yeah, that's it...\When all's said and done, that's where I ended up.\What was I worrying so much about?\These guys are able to smile thoughtlessly because All Might is smiling thoughtlessly.\It's because that trash is smiling thoughtlessly,\as if there was no one he couldn't save!\Oh, I'm so glad we could talk. response:	It's great. Thanks, Midoriya!
context: Yeah, that's it...\When all's said and done, that's where I ended up.\What was I worrying so much about?\These guys are able to smile thoughtlessly because All Might is smiling thoughtlessly.\It's because that trash is smiling thoughtlessly,\as if there was no one he couldn't save!\Oh, I'm so glad we could talk.\It's great. Thanks, Midoriya! response:	I don't have to do anything different.
context: When all's said and done, that's where I ended up.\What was I worrying so much about?\These guys are able to smile thoughtlessly because All Might is smiling thoughtlessly.\It's because that trash is smiling thoughtlessly,\as if there was no one he couldn't save!\Oh, I'm so glad we could talk.\It's great. Thanks, Midoriya!\I don't have to do anything different. response:	Whoops, don't struggle.
context: What was I worrying so much about?\These guys are able to smile thoughtlessly because All Might is smiling thoughtlessly.\It's because that trash is smiling thoughtlessly,\as if there was no one he couldn't save!\Oh, I'm so glad we could talk.\It's great. Thanks, Midoriya!\I don't have to do anything different.\Whoops, don't struggle. response:	Do you want to die?
context: These guys are able to smile thoughtlessly because All Might is smiling thoughtlessly.\It's because that trash is smiling thoughtlessly,\as if there was no one he couldn't save!\Oh, I'm so glad we could talk.\It's great. Thanks, Midoriya!\I don't have to do anything different.\Whoops, don't struggle.\Do you want to die? response:	You think it's okay for the masses to die?
context: It's because that trash is smiling thoughtlessly,\as if there was no one he couldn't save!\Oh, I'm so glad we could talk.\It's great. Thanks, Midoriya!\I don't have to do anything different.\Whoops, don't struggle.\Do you want to die?\You think it's okay for the masses to die? response:	It's so ironic, Hero Killer.
context: as if there was no one he couldn't save!\Oh, I'm so glad we could talk.\It's great. Thanks, Midoriya!\I don't have to do anything different.\Whoops, don't struggle.\Do you want to die?\You think it's okay for the masses to die?\It's so ironic, Hero Killer. response:	I'm your opposite, but you let me live, and now your ideals and convictions
context: Oh, I'm so glad we could talk.\It's great. Thanks, Midoriya!\I don't have to do anything different.\Whoops, don't struggle.\Do you want to die?\You think it's okay for the masses to die?\It's so ironic, Hero Killer.\I'm your opposite, but you let me live, and now your ideals and convictions response:	will all become a stepping stone for me.
context: It's great. Thanks, Midoriya!\I don't have to do anything different.\Whoops, don't struggle.\Do you want to die?\You think it's okay for the masses to die?\It's so ironic, Hero Killer.\I'm your opposite, but you let me live, and now your ideals and convictions\will all become a stepping stone for me. response:	Deku?
context: I don't have to do anything different.\Whoops, don't struggle.\Do you want to die?\You think it's okay for the masses to die?\It's so ironic, Hero Killer.\I'm your opposite, but you let me live, and now your ideals and convictions\will all become a stepping stone for me.\Deku? response:	A friend...? No...
context: Whoops, don't struggle.\Do you want to die?\You think it's okay for the masses to die?\It's so ironic, Hero Killer.\I'm your opposite, but you let me live, and now your ideals and convictions\will all become a stepping stone for me.\Deku?\A friend...? No... response:	Get your hands off him...
context: Do you want to die?\You think it's okay for the masses to die?\It's so ironic, Hero Killer.\I'm your opposite, but you let me live, and now your ideals and convictions\will all become a stepping stone for me.\Deku?\A friend...? No...\Get your hands off him... response:	It's nothing! I'm fine! So don't come close!
context: You think it's okay for the masses to die?\It's so ironic, Hero Killer.\I'm your opposite, but you let me live, and now your ideals and convictions\will all become a stepping stone for me.\Deku?\A friend...? No...\Get your hands off him...\It's nothing! I'm fine! So don't come close! response:	Oh, you had a friend with you? Sorry'bout that.
context: It's so ironic, Hero Killer.\I'm your opposite, but you let me live, and now your ideals and convictions\will all become a stepping stone for me.\Deku?\A friend...? No...\Get your hands off him...\It's nothing! I'm fine! So don't come close!\Oh, you had a friend with you? Sorry'bout that. response:	I'm off, then.
context: I'm your opposite, but you let me live, and now your ideals and convictions\will all become a stepping stone for me.\Deku?\A friend...? No...\Get your hands off him...\It's nothing! I'm fine! So don't come close!\Oh, you had a friend with you? Sorry'bout that.\I'm off, then. response:	If you try following me, I'll get angry.
context: will all become a stepping stone for me.\Deku?\A friend...? No...\Get your hands off him...\It's nothing! I'm fine! So don't come close!\Oh, you had a friend with you? Sorry'bout that.\I'm off, then.\If you try following me, I'll get angry. response:	Deku!
