context: But if that's the case, what would become of the Galactic Alliance response:	if the Hideauze are beaten completely?
context: Okay. That was close, huh?\Anyway, what were you doing there?\I do not... really know.\Oh, well, relax for now.\There it is!\Look!\Yay!\Well, I will go back to work. response:	What the...?!
context: Anyway, what were you doing there?\I do not... really know.\Oh, well, relax for now.\There it is!\Look!\Yay!\Well, I will go back to work.\What the...?! response:	The street you want is straight ahead!
context: I do not... really know.\Oh, well, relax for now.\There it is!\Look!\Yay!\Well, I will go back to work.\What the...?!\The street you want is straight ahead! response:	Here...
context: Oh, well, relax for now.\There it is!\Look!\Yay!\Well, I will go back to work.\What the...?!\The street you want is straight ahead!\Here... response:	That was some good exercise.
context: There it is!\Look!\Yay!\Well, I will go back to work.\What the...?!\The street you want is straight ahead!\Here...\That was some good exercise. response:	Right?
context: Look!\Yay!\Well, I will go back to work.\What the...?!\The street you want is straight ahead!\Here...\That was some good exercise.\Right? response:	Now we can eat a lot without worrying about it!
context: Yay!\Well, I will go back to work.\What the...?!\The street you want is straight ahead!\Here...\That was some good exercise.\Right?\Now we can eat a lot without worrying about it! response:	Query: Why is this necessary? I repeat. Query: Why is this necessary?
context: Well, I will go back to work.\What the...?!\The street you want is straight ahead!\Here...\That was some good exercise.\Right?\Now we can eat a lot without worrying about it!\Query: Why is this necessary? I repeat. Query: Why is this necessary? response:	I said, don't move!
context: What the...?!\The street you want is straight ahead!\Here...\That was some good exercise.\Right?\Now we can eat a lot without worrying about it!\Query: Why is this necessary? I repeat. Query: Why is this necessary?\I said, don't move! response:	It's almost time.
context: The street you want is straight ahead!\Here...\That was some good exercise.\Right?\Now we can eat a lot without worrying about it!\Query: Why is this necessary? I repeat. Query: Why is this necessary?\I said, don't move!\It's almost time. response:	This...
context: Here...\That was some good exercise.\Right?\Now we can eat a lot without worrying about it!\Query: Why is this necessary? I repeat. Query: Why is this necessary?\I said, don't move!\It's almost time.\This... response:	Young one... What do you intend to do with this?
context: That was some good exercise.\Right?\Now we can eat a lot without worrying about it!\Query: Why is this necessary? I repeat. Query: Why is this necessary?\I said, don't move!\It's almost time.\This...\Young one... What do you intend to do with this? response:	Alright, fine. Take it.
context: Right?\Now we can eat a lot without worrying about it!\Query: Why is this necessary? I repeat. Query: Why is this necessary?\I said, don't move!\It's almost time.\This...\Young one... What do you intend to do with this?\Alright, fine. Take it. response:	If this will settle things...
context: Now we can eat a lot without worrying about it!\Query: Why is this necessary? I repeat. Query: Why is this necessary?\I said, don't move!\It's almost time.\This...\Young one... What do you intend to do with this?\Alright, fine. Take it.\If this will settle things... response:	Um...
context: Query: Why is this necessary? I repeat. Query: Why is this necessary?\I said, don't move!\It's almost time.\This...\Young one... What do you intend to do with this?\Alright, fine. Take it.\If this will settle things...\Um... response:	Shhh!
context: I said, don't move!\It's almost time.\This...\Young one... What do you intend to do with this?\Alright, fine. Take it.\If this will settle things...\Um...\Shhh! response:	What's in here, parts?
context: It's almost time.\This...\Young one... What do you intend to do with this?\Alright, fine. Take it.\If this will settle things...\Um...\Shhh!\What's in here, parts? response:	Do I have to go back through there?
context: This...\Young one... What do you intend to do with this?\Alright, fine. Take it.\If this will settle things...\Um...\Shhh!\What's in here, parts?\Do I have to go back through there? response:	Here...
context: Young one... What do you intend to do with this?\Alright, fine. Take it.\If this will settle things...\Um...\Shhh!\What's in here, parts?\Do I have to go back through there?\Here... response:	Dammit, who blabbed about the party?!
context: Alright, fine. Take it.\If this will settle things...\Um...\Shhh!\What's in here, parts?\Do I have to go back through there?\Here...\Dammit, who blabbed about the party?! response:	Good job, Spaceboy!
context: If this will settle things...\Um...\Shhh!\What's in here, parts?\Do I have to go back through there?\Here...\Dammit, who blabbed about the party?!\Good job, Spaceboy! response:	Seasoning with salt just ain't enough. You got back just in time!
context: Um...\Shhh!\What's in here, parts?\Do I have to go back through there?\Here...\Dammit, who blabbed about the party?!\Good job, Spaceboy!\Seasoning with salt just ain't enough. You got back just in time! response:	Okay, who wants some?!
context: Shhh!\What's in here, parts?\Do I have to go back through there?\Here...\Dammit, who blabbed about the party?!\Good job, Spaceboy!\Seasoning with salt just ain't enough. You got back just in time!\Okay, who wants some?! response:	That old lady's sauce is the best!
context: What's in here, parts?\Do I have to go back through there?\Here...\Dammit, who blabbed about the party?!\Good job, Spaceboy!\Seasoning with salt just ain't enough. You got back just in time!\Okay, who wants some?!\That old lady's sauce is the best! response:	Ledo, if you don't get some now, it'll be gone!
context: Do I have to go back through there?\Here...\Dammit, who blabbed about the party?!\Good job, Spaceboy!\Seasoning with salt just ain't enough. You got back just in time!\Okay, who wants some?!\That old lady's sauce is the best!\Ledo, if you don't get some now, it'll be gone! response:	Y-Yes!
context: Here...\Dammit, who blabbed about the party?!\Good job, Spaceboy!\Seasoning with salt just ain't enough. You got back just in time!\Okay, who wants some?!\That old lady's sauce is the best!\Ledo, if you don't get some now, it'll be gone!\Y-Yes! response:	Here!
context: Dammit, who blabbed about the party?!\Good job, Spaceboy!\Seasoning with salt just ain't enough. You got back just in time!\Okay, who wants some?!\That old lady's sauce is the best!\Ledo, if you don't get some now, it'll be gone!\Y-Yes!\Here! response:	Is it good?
context: Good job, Spaceboy!\Seasoning with salt just ain't enough. You got back just in time!\Okay, who wants some?!\That old lady's sauce is the best!\Ledo, if you don't get some now, it'll be gone!\Y-Yes!\Here!\Is it good? response:	And try it with the fruit of your labors, too!
context: Seasoning with salt just ain't enough. You got back just in time!\Okay, who wants some?!\That old lady's sauce is the best!\Ledo, if you don't get some now, it'll be gone!\Y-Yes!\Here!\Is it good?\And try it with the fruit of your labors, too! response:	Here.
context: Okay, who wants some?!\That old lady's sauce is the best!\Ledo, if you don't get some now, it'll be gone!\Y-Yes!\Here!\Is it good?\And try it with the fruit of your labors, too!\Here. response:	T-This is...
context: That old lady's sauce is the best!\Ledo, if you don't get some now, it'll be gone!\Y-Yes!\Here!\Is it good?\And try it with the fruit of your labors, too!\Here.\T-This is... response:	Wind...
context: Ledo, if you don't get some now, it'll be gone!\Y-Yes!\Here!\Is it good?\And try it with the fruit of your labors, too!\Here.\T-This is...\Wind... response:	Well, better get back to work...
context: Y-Yes!\Here!\Is it good?\And try it with the fruit of your labors, too!\Here.\T-This is...\Wind...\Well, better get back to work... response:	Did you get enough to eat?
context: Here!\Is it good?\And try it with the fruit of your labors, too!\Here.\T-This is...\Wind...\Well, better get back to work...\Did you get enough to eat? response:	Yes. Maybe...
context: Is it good?\And try it with the fruit of your labors, too!\Here.\T-This is...\Wind...\Well, better get back to work...\Did you get enough to eat?\Yes. Maybe... response:	I see. Well, you did come in a bit late...
context: And try it with the fruit of your labors, too!\Here.\T-This is...\Wind...\Well, better get back to work...\Did you get enough to eat?\Yes. Maybe...\I see. Well, you did come in a bit late... response:	Sorry about that. Even though the party was for you...
context: Here.\T-This is...\Wind...\Well, better get back to work...\Did you get enough to eat?\Yes. Maybe...\I see. Well, you did come in a bit late...\Sorry about that. Even though the party was for you... response:	Huh? You didn't hear?
context: T-This is...\Wind...\Well, better get back to work...\Did you get enough to eat?\Yes. Maybe...\I see. Well, you did come in a bit late...\Sorry about that. Even though the party was for you...\Huh? You didn't hear? response:	Pinion heard you couldn't find a job, so he planned the party to cheer you up.
context: Wind...\Well, better get back to work...\Did you get enough to eat?\Yes. Maybe...\I see. Well, you did come in a bit late...\Sorry about that. Even though the party was for you...\Huh? You didn't hear?\Pinion heard you couldn't find a job, so he planned the party to cheer you up. response:	Oh... Really?
context: Well, better get back to work...\Did you get enough to eat?\Yes. Maybe...\I see. Well, you did come in a bit late...\Sorry about that. Even though the party was for you...\Huh? You didn't hear?\Pinion heard you couldn't find a job, so he planned the party to cheer you up.\Oh... Really? response:	Thanks for working hard for everyone's sake.
context: Did you get enough to eat?\Yes. Maybe...\I see. Well, you did come in a bit late...\Sorry about that. Even though the party was for you...\Huh? You didn't hear?\Pinion heard you couldn't find a job, so he planned the party to cheer you up.\Oh... Really?\Thanks for working hard for everyone's sake. response:	I did it... for everyone?
context: Yes. Maybe...\I see. Well, you did come in a bit late...\Sorry about that. Even though the party was for you...\Huh? You didn't hear?\Pinion heard you couldn't find a job, so he planned the party to cheer you up.\Oh... Really?\Thanks for working hard for everyone's sake.\I did it... for everyone? response:	Sure! Thanks to that, we were all able to eat something delicious!
context: I see. Well, you did come in a bit late...\Sorry about that. Even though the party was for you...\Huh? You didn't hear?\Pinion heard you couldn't find a job, so he planned the party to cheer you up.\Oh... Really?\Thanks for working hard for everyone's sake.\I did it... for everyone?\Sure! Thanks to that, we were all able to eat something delicious! response:	Come on, let's go! I'll try to help you find work again!
context: Sorry about that. Even though the party was for you...\Huh? You didn't hear?\Pinion heard you couldn't find a job, so he planned the party to cheer you up.\Oh... Really?\Thanks for working hard for everyone's sake.\I did it... for everyone?\Sure! Thanks to that, we were all able to eat something delicious!\Come on, let's go! I'll try to help you find work again! response:	I wonder what kind of work he'd be suited for...
context: Huh? You didn't hear?\Pinion heard you couldn't find a job, so he planned the party to cheer you up.\Oh... Really?\Thanks for working hard for everyone's sake.\I did it... for everyone?\Sure! Thanks to that, we were all able to eat something delicious!\Come on, let's go! I'll try to help you find work again!\I wonder what kind of work he'd be suited for... response:	Probably some kind of physical labor?
context: Pinion heard you couldn't find a job, so he planned the party to cheer you up.\Oh... Really?\Thanks for working hard for everyone's sake.\I did it... for everyone?\Sure! Thanks to that, we were all able to eat something delicious!\Come on, let's go! I'll try to help you find work again!\I wonder what kind of work he'd be suited for...\Probably some kind of physical labor? response:	No cows!
context: Oh... Really?\Thanks for working hard for everyone's sake.\I did it... for everyone?\Sure! Thanks to that, we were all able to eat something delicious!\Come on, let's go! I'll try to help you find work again!\I wonder what kind of work he'd be suited for...\Probably some kind of physical labor?\No cows! response:	What's that mean?
context: Thanks for working hard for everyone's sake.\I did it... for everyone?\Sure! Thanks to that, we were all able to eat something delicious!\Come on, let's go! I'll try to help you find work again!\I wonder what kind of work he'd be suited for...\Probably some kind of physical labor?\No cows!\What's that mean? response:	Pinion!
context: I did it... for everyone?\Sure! Thanks to that, we were all able to eat something delicious!\Come on, let's go! I'll try to help you find work again!\I wonder what kind of work he'd be suited for...\Probably some kind of physical labor?\No cows!\What's that mean?\Pinion! response:	So this is where you've been slacking off!
context: Sure! Thanks to that, we were all able to eat something delicious!\Come on, let's go! I'll try to help you find work again!\I wonder what kind of work he'd be suited for...\Probably some kind of physical labor?\No cows!\What's that mean?\Pinion!\So this is where you've been slacking off! response:	Wait, t-this is legitimate work here...
context: Come on, let's go! I'll try to help you find work again!\I wonder what kind of work he'd be suited for...\Probably some kind of physical labor?\No cows!\What's that mean?\Pinion!\So this is where you've been slacking off!\Wait, t-this is legitimate work here... response:	I'm sorry!
context: I wonder what kind of work he'd be suited for...\Probably some kind of physical labor?\No cows!\What's that mean?\Pinion!\So this is where you've been slacking off!\Wait, t-this is legitimate work here...\I'm sorry! response:	Query: Why is this necessary?
context: Probably some kind of physical labor?\No cows!\What's that mean?\Pinion!\So this is where you've been slacking off!\Wait, t-this is legitimate work here...\I'm sorry!\Query: Why is this necessary? response:	I repeat. Query: Why is this...
