context: Holy cow! A seminar on how to become a princess?! response:	That's practically like a seminar made just for me!
context: You are correct.\The wax figures here all used to be real ladies.\What?!\A monster!\I am the monster, Shakoukai!\Hello. I am very pleased to meet you!\Hey, did you just hear something?\Something must have happened to Ami and Mako. response:	Let's go and check!
context: The wax figures here all used to be real ladies.\What?!\A monster!\I am the monster, Shakoukai!\Hello. I am very pleased to meet you!\Hey, did you just hear something?\Something must have happened to Ami and Mako.\Let's go and check! response:	A monster!
context: What?!\A monster!\I am the monster, Shakoukai!\Hello. I am very pleased to meet you!\Hey, did you just hear something?\Something must have happened to Ami and Mako.\Let's go and check!\A monster! response:	It's a monster!
context: A monster!\I am the monster, Shakoukai!\Hello. I am very pleased to meet you!\Hey, did you just hear something?\Something must have happened to Ami and Mako.\Let's go and check!\A monster!\It's a monster! response:	Run!
context: I am the monster, Shakoukai!\Hello. I am very pleased to meet you!\Hey, did you just hear something?\Something must have happened to Ami and Mako.\Let's go and check!\A monster!\It's a monster!\Run! response:	Gross!
context: Hello. I am very pleased to meet you!\Hey, did you just hear something?\Something must have happened to Ami and Mako.\Let's go and check!\A monster!\It's a monster!\Run!\Gross! response:	I am so sorry; you failed the Princess Seminar!
context: Hey, did you just hear something?\Something must have happened to Ami and Mako.\Let's go and check!\A monster!\It's a monster!\Run!\Gross!\I am so sorry; you failed the Princess Seminar! response:	One of you three should be Sailor Moon,
context: Something must have happened to Ami and Mako.\Let's go and check!\A monster!\It's a monster!\Run!\Gross!\I am so sorry; you failed the Princess Seminar!\One of you three should be Sailor Moon, response:	but I wonder which one?
context: Let's go and check!\A monster!\It's a monster!\Run!\Gross!\I am so sorry; you failed the Princess Seminar!\One of you three should be Sailor Moon,\but I wonder which one? response:	Uh-oh!
context: A monster!\It's a monster!\Run!\Gross!\I am so sorry; you failed the Princess Seminar!\One of you three should be Sailor Moon,\but I wonder which one?\Uh-oh! response:	Why?
context: It's a monster!\Run!\Gross!\I am so sorry; you failed the Princess Seminar!\One of you three should be Sailor Moon,\but I wonder which one?\Uh-oh!\Why? response:	Because it would be impossible
context: Run!\Gross!\I am so sorry; you failed the Princess Seminar!\One of you three should be Sailor Moon,\but I wonder which one?\Uh-oh!\Why?\Because it would be impossible response:	for the clumsy, stupid, scatterbrained, common Sailor Moon
context: Gross!\I am so sorry; you failed the Princess Seminar!\One of you three should be Sailor Moon,\but I wonder which one?\Uh-oh!\Why?\Because it would be impossible\for the clumsy, stupid, scatterbrained, common Sailor Moon response:	to graduate from the Princess Seminar.
context: I am so sorry; you failed the Princess Seminar!\One of you three should be Sailor Moon,\but I wonder which one?\Uh-oh!\Why?\Because it would be impossible\for the clumsy, stupid, scatterbrained, common Sailor Moon\to graduate from the Princess Seminar. response:	I see!
context: One of you three should be Sailor Moon,\but I wonder which one?\Uh-oh!\Why?\Because it would be impossible\for the clumsy, stupid, scatterbrained, common Sailor Moon\to graduate from the Princess Seminar.\I see! response:	She's pretty shrewd!
context: but I wonder which one?\Uh-oh!\Why?\Because it would be impossible\for the clumsy, stupid, scatterbrained, common Sailor Moon\to graduate from the Princess Seminar.\I see!\She's pretty shrewd! response:	Hey, this is no time to be impressed!
context: Uh-oh!\Why?\Because it would be impossible\for the clumsy, stupid, scatterbrained, common Sailor Moon\to graduate from the Princess Seminar.\I see!\She's pretty shrewd!\Hey, this is no time to be impressed! response:	I shall turn you into wax figures!
context: Why?\Because it would be impossible\for the clumsy, stupid, scatterbrained, common Sailor Moon\to graduate from the Princess Seminar.\I see!\She's pretty shrewd!\Hey, this is no time to be impressed!\I shall turn you into wax figures! response:	Watch out!
context: Because it would be impossible\for the clumsy, stupid, scatterbrained, common Sailor Moon\to graduate from the Princess Seminar.\I see!\She's pretty shrewd!\Hey, this is no time to be impressed!\I shall turn you into wax figures!\Watch out! response:	I cannot see anything!
context: for the clumsy, stupid, scatterbrained, common Sailor Moon\to graduate from the Princess Seminar.\I see!\She's pretty shrewd!\Hey, this is no time to be impressed!\I shall turn you into wax figures!\Watch out!\I cannot see anything! response:	Now!
context: to graduate from the Princess Seminar.\I see!\She's pretty shrewd!\Hey, this is no time to be impressed!\I shall turn you into wax figures!\Watch out!\I cannot see anything!\Now! response:	Moon Prism Power Makeup!
context: I see!\She's pretty shrewd!\Hey, this is no time to be impressed!\I shall turn you into wax figures!\Watch out!\I cannot see anything!\Now!\Moon Prism Power Makeup! response:	Mars Power Makeup!
context: She's pretty shrewd!\Hey, this is no time to be impressed!\I shall turn you into wax figures!\Watch out!\I cannot see anything!\Now!\Moon Prism Power Makeup!\Mars Power Makeup! response:	Venus Power Makeup!
context: Hey, this is no time to be impressed!\I shall turn you into wax figures!\Watch out!\I cannot see anything!\Now!\Moon Prism Power Makeup!\Mars Power Makeup!\Venus Power Makeup! response:	Would you please get out of my way?!
context: I shall turn you into wax figures!\Watch out!\I cannot see anything!\Now!\Moon Prism Power Makeup!\Mars Power Makeup!\Venus Power Makeup!\Would you please get out of my way?! response:	Where have those three ladies gone?!
context: Watch out!\I cannot see anything!\Now!\Moon Prism Power Makeup!\Mars Power Makeup!\Venus Power Makeup!\Would you please get out of my way?!\Where have those three ladies gone?! response:	I'll never forgive you for failing Sailor Moon!
context: I cannot see anything!\Now!\Moon Prism Power Makeup!\Mars Power Makeup!\Venus Power Makeup!\Would you please get out of my way?!\Where have those three ladies gone?!\I'll never forgive you for failing Sailor Moon! response:	I'm a sailor warrior of love and justice, Sailor Moon!
context: Now!\Moon Prism Power Makeup!\Mars Power Makeup!\Venus Power Makeup!\Would you please get out of my way?!\Where have those three ladies gone?!\I'll never forgive you for failing Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon! response:	Likewise, Sailor Mars!
context: Moon Prism Power Makeup!\Mars Power Makeup!\Venus Power Makeup!\Would you please get out of my way?!\Where have those three ladies gone?!\I'll never forgive you for failing Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mars! response:	Sailor Venus!
context: Mars Power Makeup!\Venus Power Makeup!\Would you please get out of my way?!\Where have those three ladies gone?!\I'll never forgive you for failing Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mars!\Sailor Venus! response:	In the name of the moon,
context: Venus Power Makeup!\Would you please get out of my way?!\Where have those three ladies gone?!\I'll never forgive you for failing Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mars!\Sailor Venus!\In the name of the moon, response:	we will punish you!
context: Would you please get out of my way?!\Where have those three ladies gone?!\I'll never forgive you for failing Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mars!\Sailor Venus!\In the name of the moon,\we will punish you! response:	So, as I thought, one of those three ladies was Sailor Moon.
context: Where have those three ladies gone?!\I'll never forgive you for failing Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mars!\Sailor Venus!\In the name of the moon,\we will punish you!\So, as I thought, one of those three ladies was Sailor Moon. response:	Then, please take this!
context: I'll never forgive you for failing Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mars!\Sailor Venus!\In the name of the moon,\we will punish you!\So, as I thought, one of those three ladies was Sailor Moon.\Then, please take this! response:	I'll just burn that!
context: I'm a sailor warrior of love and justice, Sailor Moon!\Likewise, Sailor Mars!\Sailor Venus!\In the name of the moon,\we will punish you!\So, as I thought, one of those three ladies was Sailor Moon.\Then, please take this!\I'll just burn that! response:	Fire
context: Likewise, Sailor Mars!\Sailor Venus!\In the name of the moon,\we will punish you!\So, as I thought, one of those three ladies was Sailor Moon.\Then, please take this!\I'll just burn that!\Fire response:	Soul!
context: Sailor Venus!\In the name of the moon,\we will punish you!\So, as I thought, one of those three ladies was Sailor Moon.\Then, please take this!\I'll just burn that!\Fire\Soul! response:	Crescent Beam!
context: In the name of the moon,\we will punish you!\So, as I thought, one of those three ladies was Sailor Moon.\Then, please take this!\I'll just burn that!\Fire\Soul!\Crescent Beam! response:	Neither the Crescent Beam nor the Fire Soul works!
context: we will punish you!\So, as I thought, one of those three ladies was Sailor Moon.\Then, please take this!\I'll just burn that!\Fire\Soul!\Crescent Beam!\Neither the Crescent Beam nor the Fire Soul works! response:	It doesn't look like my Moon Tiara Action will work either!
context: So, as I thought, one of those three ladies was Sailor Moon.\Then, please take this!\I'll just burn that!\Fire\Soul!\Crescent Beam!\Neither the Crescent Beam nor the Fire Soul works!\It doesn't look like my Moon Tiara Action will work either! response:	I believe you will make excellent wax figures!
context: Then, please take this!\I'll just burn that!\Fire\Soul!\Crescent Beam!\Neither the Crescent Beam nor the Fire Soul works!\It doesn't look like my Moon Tiara Action will work either!\I believe you will make excellent wax figures! response:	Oh, no! I like figurines, but I don't want to become one!
context: I'll just burn that!\Fire\Soul!\Crescent Beam!\Neither the Crescent Beam nor the Fire Soul works!\It doesn't look like my Moon Tiara Action will work either!\I believe you will make excellent wax figures!\Oh, no! I like figurines, but I don't want to become one! response:	This rose!
context: Fire\Soul!\Crescent Beam!\Neither the Crescent Beam nor the Fire Soul works!\It doesn't look like my Moon Tiara Action will work either!\I believe you will make excellent wax figures!\Oh, no! I like figurines, but I don't want to become one!\This rose! response:	Could it be...
context: Soul!\Crescent Beam!\Neither the Crescent Beam nor the Fire Soul works!\It doesn't look like my Moon Tiara Action will work either!\I believe you will make excellent wax figures!\Oh, no! I like figurines, but I don't want to become one!\This rose!\Could it be... response:	Good work, Shakoukai.
context: Crescent Beam!\Neither the Crescent Beam nor the Fire Soul works!\It doesn't look like my Moon Tiara Action will work either!\I believe you will make excellent wax figures!\Oh, no! I like figurines, but I don't want to become one!\This rose!\Could it be...\Good work, Shakoukai. response:	Master Endymion.
context: Neither the Crescent Beam nor the Fire Soul works!\It doesn't look like my Moon Tiara Action will work either!\I believe you will make excellent wax figures!\Oh, no! I like figurines, but I don't want to become one!\This rose!\Could it be...\Good work, Shakoukai.\Master Endymion. response:	Tuxedo Mask, you came to rescue us, didn't you?!
context: It doesn't look like my Moon Tiara Action will work either!\I believe you will make excellent wax figures!\Oh, no! I like figurines, but I don't want to become one!\This rose!\Could it be...\Good work, Shakoukai.\Master Endymion.\Tuxedo Mask, you came to rescue us, didn't you?! response:	Tuxedo Mask...
context: I believe you will make excellent wax figures!\Oh, no! I like figurines, but I don't want to become one!\This rose!\Could it be...\Good work, Shakoukai.\Master Endymion.\Tuxedo Mask, you came to rescue us, didn't you?!\Tuxedo Mask... response:	Sailor Moon, give me the Silver Crystal.
context: Oh, no! I like figurines, but I don't want to become one!\This rose!\Could it be...\Good work, Shakoukai.\Master Endymion.\Tuxedo Mask, you came to rescue us, didn't you?!\Tuxedo Mask...\Sailor Moon, give me the Silver Crystal. response:	If you do, I will let you live.
context: This rose!\Could it be...\Good work, Shakoukai.\Master Endymion.\Tuxedo Mask, you came to rescue us, didn't you?!\Tuxedo Mask...\Sailor Moon, give me the Silver Crystal.\If you do, I will let you live. response:	Those were not Master Kunzite's orders...
context: Could it be...\Good work, Shakoukai.\Master Endymion.\Tuxedo Mask, you came to rescue us, didn't you?!\Tuxedo Mask...\Sailor Moon, give me the Silver Crystal.\If you do, I will let you live.\Those were not Master Kunzite's orders... response:	What will it be, Sailor Moon?
context: Good work, Shakoukai.\Master Endymion.\Tuxedo Mask, you came to rescue us, didn't you?!\Tuxedo Mask...\Sailor Moon, give me the Silver Crystal.\If you do, I will let you live.\Those were not Master Kunzite's orders...\What will it be, Sailor Moon? response:	Tuxedo Mask? This can't be happening.
context: Master Endymion.\Tuxedo Mask, you came to rescue us, didn't you?!\Tuxedo Mask...\Sailor Moon, give me the Silver Crystal.\If you do, I will let you live.\Those were not Master Kunzite's orders...\What will it be, Sailor Moon?\Tuxedo Mask? This can't be happening. response:	Wake up, Sailor Moon!
context: Tuxedo Mask, you came to rescue us, didn't you?!\Tuxedo Mask...\Sailor Moon, give me the Silver Crystal.\If you do, I will let you live.\Those were not Master Kunzite's orders...\What will it be, Sailor Moon?\Tuxedo Mask? This can't be happening.\Wake up, Sailor Moon! response:	This Tuxedo Mask is different from the Tuxedo Mask we know!
context: Tuxedo Mask...\Sailor Moon, give me the Silver Crystal.\If you do, I will let you live.\Those were not Master Kunzite's orders...\What will it be, Sailor Moon?\Tuxedo Mask? This can't be happening.\Wake up, Sailor Moon!\This Tuxedo Mask is different from the Tuxedo Mask we know! response:	Come, now!
context: Sailor Moon, give me the Silver Crystal.\If you do, I will let you live.\Those were not Master Kunzite's orders...\What will it be, Sailor Moon?\Tuxedo Mask? This can't be happening.\Wake up, Sailor Moon!\This Tuxedo Mask is different from the Tuxedo Mask we know!\Come, now! response:	Endymion, do not meddle in affairs not your own!
context: If you do, I will let you live.\Those were not Master Kunzite's orders...\What will it be, Sailor Moon?\Tuxedo Mask? This can't be happening.\Wake up, Sailor Moon!\This Tuxedo Mask is different from the Tuxedo Mask we know!\Come, now!\Endymion, do not meddle in affairs not your own! response:	What might you be talking about?
context: Those were not Master Kunzite's orders...\What will it be, Sailor Moon?\Tuxedo Mask? This can't be happening.\Wake up, Sailor Moon!\This Tuxedo Mask is different from the Tuxedo Mask we know!\Come, now!\Endymion, do not meddle in affairs not your own!\What might you be talking about? response:	I have been running this operation.
context: What will it be, Sailor Moon?\Tuxedo Mask? This can't be happening.\Wake up, Sailor Moon!\This Tuxedo Mask is different from the Tuxedo Mask we know!\Come, now!\Endymion, do not meddle in affairs not your own!\What might you be talking about?\I have been running this operation. response:	I will kindly ask you to stay out of it.
context: Tuxedo Mask? This can't be happening.\Wake up, Sailor Moon!\This Tuxedo Mask is different from the Tuxedo Mask we know!\Come, now!\Endymion, do not meddle in affairs not your own!\What might you be talking about?\I have been running this operation.\I will kindly ask you to stay out of it. response:	The important thing is to obtain the Silver Crystal. That is all.
context: Wake up, Sailor Moon!\This Tuxedo Mask is different from the Tuxedo Mask we know!\Come, now!\Endymion, do not meddle in affairs not your own!\What might you be talking about?\I have been running this operation.\I will kindly ask you to stay out of it.\The important thing is to obtain the Silver Crystal. That is all. response:	What?
context: This Tuxedo Mask is different from the Tuxedo Mask we know!\Come, now!\Endymion, do not meddle in affairs not your own!\What might you be talking about?\I have been running this operation.\I will kindly ask you to stay out of it.\The important thing is to obtain the Silver Crystal. That is all.\What? response:	Excuse me, what should I...
context: Come, now!\Endymion, do not meddle in affairs not your own!\What might you be talking about?\I have been running this operation.\I will kindly ask you to stay out of it.\The important thing is to obtain the Silver Crystal. That is all.\What?\Excuse me, what should I... response:	Kill Sailor Moon!
context: Endymion, do not meddle in affairs not your own!\What might you be talking about?\I have been running this operation.\I will kindly ask you to stay out of it.\The important thing is to obtain the Silver Crystal. That is all.\What?\Excuse me, what should I...\Kill Sailor Moon! response:	Wait! The Silver Crystal comes first!
context: What might you be talking about?\I have been running this operation.\I will kindly ask you to stay out of it.\The important thing is to obtain the Silver Crystal. That is all.\What?\Excuse me, what should I...\Kill Sailor Moon!\Wait! The Silver Crystal comes first! response:	No! Sailor Moon comes first!
context: I have been running this operation.\I will kindly ask you to stay out of it.\The important thing is to obtain the Silver Crystal. That is all.\What?\Excuse me, what should I...\Kill Sailor Moon!\Wait! The Silver Crystal comes first!\No! Sailor Moon comes first! response:	No, it's the Silver Crystal.
context: I will kindly ask you to stay out of it.\The important thing is to obtain the Silver Crystal. That is all.\What?\Excuse me, what should I...\Kill Sailor Moon!\Wait! The Silver Crystal comes first!\No! Sailor Moon comes first!\No, it's the Silver Crystal. response:	No, Sailor Moon!
context: The important thing is to obtain the Silver Crystal. That is all.\What?\Excuse me, what should I...\Kill Sailor Moon!\Wait! The Silver Crystal comes first!\No! Sailor Moon comes first!\No, it's the Silver Crystal.\No, Sailor Moon! response:	No, the Silver Crystal! No, Sailor Moon!
context: What?\Excuse me, what should I...\Kill Sailor Moon!\Wait! The Silver Crystal comes first!\No! Sailor Moon comes first!\No, it's the Silver Crystal.\No, Sailor Moon!\No, the Silver Crystal! No, Sailor Moon! response:	No, the Silver Crystal!
context: Excuse me, what should I...\Kill Sailor Moon!\Wait! The Silver Crystal comes first!\No! Sailor Moon comes first!\No, it's the Silver Crystal.\No, Sailor Moon!\No, the Silver Crystal! No, Sailor Moon!\No, the Silver Crystal! response:	No, the Silver Crystal! No, you're wrong!
context: Kill Sailor Moon!\Wait! The Silver Crystal comes first!\No! Sailor Moon comes first!\No, it's the Silver Crystal.\No, Sailor Moon!\No, the Silver Crystal! No, Sailor Moon!\No, the Silver Crystal!\No, the Silver Crystal! No, you're wrong! response:	No, you're wrong!
context: Wait! The Silver Crystal comes first!\No! Sailor Moon comes first!\No, it's the Silver Crystal.\No, Sailor Moon!\No, the Silver Crystal! No, Sailor Moon!\No, the Silver Crystal!\No, the Silver Crystal! No, you're wrong!\No, you're wrong! response:	Whose order should I follow?
context: No! Sailor Moon comes first!\No, it's the Silver Crystal.\No, Sailor Moon!\No, the Silver Crystal! No, Sailor Moon!\No, the Silver Crystal!\No, the Silver Crystal! No, you're wrong!\No, you're wrong!\Whose order should I follow? response:	Ta-da! You must be so tired.
context: No, it's the Silver Crystal.\No, Sailor Moon!\No, the Silver Crystal! No, Sailor Moon!\No, the Silver Crystal!\No, the Silver Crystal! No, you're wrong!\No, you're wrong!\Whose order should I follow?\Ta-da! You must be so tired. response:	Would you please care to have some coffee, if you would?
context: No, Sailor Moon!\No, the Silver Crystal! No, Sailor Moon!\No, the Silver Crystal!\No, the Silver Crystal! No, you're wrong!\No, you're wrong!\Whose order should I follow?\Ta-da! You must be so tired.\Would you please care to have some coffee, if you would? response:	You do not need to add such frills to your speech.
context: No, the Silver Crystal! No, Sailor Moon!\No, the Silver Crystal!\No, the Silver Crystal! No, you're wrong!\No, you're wrong!\Whose order should I follow?\Ta-da! You must be so tired.\Would you please care to have some coffee, if you would?\You do not need to add such frills to your speech. response:	This is my chance!
context: No, the Silver Crystal!\No, the Silver Crystal! No, you're wrong!\No, you're wrong!\Whose order should I follow?\Ta-da! You must be so tired.\Would you please care to have some coffee, if you would?\You do not need to add such frills to your speech.\This is my chance! response:	Moon Healing Escalation!
context: No, the Silver Crystal! No, you're wrong!\No, you're wrong!\Whose order should I follow?\Ta-da! You must be so tired.\Would you please care to have some coffee, if you would?\You do not need to add such frills to your speech.\This is my chance!\Moon Healing Escalation! response:	Refresh!
context: No, you're wrong!\Whose order should I follow?\Ta-da! You must be so tired.\Would you please care to have some coffee, if you would?\You do not need to add such frills to your speech.\This is my chance!\Moon Healing Escalation!\Refresh! response:	So, she was Countess Rose!
context: Whose order should I follow?\Ta-da! You must be so tired.\Would you please care to have some coffee, if you would?\You do not need to add such frills to your speech.\This is my chance!\Moon Healing Escalation!\Refresh!\So, she was Countess Rose! response:	I will restore Tuxedo Mask with my power!
context: Ta-da! You must be so tired.\Would you please care to have some coffee, if you would?\You do not need to add such frills to your speech.\This is my chance!\Moon Healing Escalation!\Refresh!\So, she was Countess Rose!\I will restore Tuxedo Mask with my power! response:	Moon Healing...
context: Would you please care to have some coffee, if you would?\You do not need to add such frills to your speech.\This is my chance!\Moon Healing Escalation!\Refresh!\So, she was Countess Rose!\I will restore Tuxedo Mask with my power!\Moon Healing... response:	Sailor Moon, I will leave the Silver Crystal in your keeping
context: You do not need to add such frills to your speech.\This is my chance!\Moon Healing Escalation!\Refresh!\So, she was Countess Rose!\I will restore Tuxedo Mask with my power!\Moon Healing...\Sailor Moon, I will leave the Silver Crystal in your keeping response:	until we meet again.
context: This is my chance!\Moon Healing Escalation!\Refresh!\So, she was Countess Rose!\I will restore Tuxedo Mask with my power!\Moon Healing...\Sailor Moon, I will leave the Silver Crystal in your keeping\until we meet again. response:	Good-bye.
context: Moon Healing Escalation!\Refresh!\So, she was Countess Rose!\I will restore Tuxedo Mask with my power!\Moon Healing...\Sailor Moon, I will leave the Silver Crystal in your keeping\until we meet again.\Good-bye. response:	Tuxedo Mask...
context: Refresh!\So, she was Countess Rose!\I will restore Tuxedo Mask with my power!\Moon Healing...\Sailor Moon, I will leave the Silver Crystal in your keeping\until we meet again.\Good-bye.\Tuxedo Mask... response:	Where is the monster?
context: So, she was Countess Rose!\I will restore Tuxedo Mask with my power!\Moon Healing...\Sailor Moon, I will leave the Silver Crystal in your keeping\until we meet again.\Good-bye.\Tuxedo Mask...\Where is the monster? response:	Oh, what were we...
context: I will restore Tuxedo Mask with my power!\Moon Healing...\Sailor Moon, I will leave the Silver Crystal in your keeping\until we meet again.\Good-bye.\Tuxedo Mask...\Where is the monster?\Oh, what were we... response:	Tuxedo Mask...
context: Moon Healing...\Sailor Moon, I will leave the Silver Crystal in your keeping\until we meet again.\Good-bye.\Tuxedo Mask...\Where is the monster?\Oh, what were we...\Tuxedo Mask... response:	I'm late! I'm late!
context: Sailor Moon, I will leave the Silver Crystal in your keeping\until we meet again.\Good-bye.\Tuxedo Mask...\Where is the monster?\Oh, what were we...\Tuxedo Mask...\I'm late! I'm late! response:	You're still doing the same thing!
context: until we meet again.\Good-bye.\Tuxedo Mask...\Where is the monster?\Oh, what were we...\Tuxedo Mask...\I'm late! I'm late!\You're still doing the same thing! response:	Because, I made up my mind!
context: Good-bye.\Tuxedo Mask...\Where is the monster?\Oh, what were we...\Tuxedo Mask...\I'm late! I'm late!\You're still doing the same thing!\Because, I made up my mind! response:	Huh? About what?
context: Tuxedo Mask...\Where is the monster?\Oh, what were we...\Tuxedo Mask...\I'm late! I'm late!\You're still doing the same thing!\Because, I made up my mind!\Huh? About what? response:	I'm going to aim to be my own kind of princess!
context: Where is the monster?\Oh, what were we...\Tuxedo Mask...\I'm late! I'm late!\You're still doing the same thing!\Because, I made up my mind!\Huh? About what?\I'm going to aim to be my own kind of princess! response:	See ya!
context: Oh, what were we...\Tuxedo Mask...\I'm late! I'm late!\You're still doing the same thing!\Because, I made up my mind!\Huh? About what?\I'm going to aim to be my own kind of princess!\See ya! response:	She's talking complete nonsense again.
context: Tuxedo Mask...\I'm late! I'm late!\You're still doing the same thing!\Because, I made up my mind!\Huh? About what?\I'm going to aim to be my own kind of princess!\See ya!\She's talking complete nonsense again. response:	During the day, the fragrance of flowers
context: I'm late! I'm late!\You're still doing the same thing!\Because, I made up my mind!\Huh? About what?\I'm going to aim to be my own kind of princess!\See ya!\She's talking complete nonsense again.\During the day, the fragrance of flowers response:	During the night, the twinkle of the stars
context: You're still doing the same thing!\Because, I made up my mind!\Huh? About what?\I'm going to aim to be my own kind of princess!\See ya!\She's talking complete nonsense again.\During the day, the fragrance of flowers\During the night, the twinkle of the stars response:	It's a world no one knows about
context: Because, I made up my mind!\Huh? About what?\I'm going to aim to be my own kind of princess!\See ya!\She's talking complete nonsense again.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about response:	With white shoes clicking
context: Huh? About what?\I'm going to aim to be my own kind of princess!\See ya!\She's talking complete nonsense again.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking response:	Cross the white moon bridge
context: I'm going to aim to be my own kind of princess!\See ya!\She's talking complete nonsense again.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge response:	And there lives a princess, dreaming of a sweet kiss
context: See ya!\She's talking complete nonsense again.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss response:	Offer a prayer to the moon
context: She's talking complete nonsense again.\During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon response:	It will surely bring you happiness
context: During the day, the fragrance of flowers\During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness response:	Go round and round, the moon's merry-go-round
context: During the night, the twinkle of the stars\It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round response:	Make that serene dress made of glass flutter in the wind
context: It's a world no one knows about\With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind response:	She's always watching over us
context: With white shoes clicking\Cross the white moon bridge\And there lives a princess, dreaming of a sweet kiss\Offer a prayer to the moon\It will surely bring you happiness\Go round and round, the moon's merry-go-round\Make that serene dress made of glass flutter in the wind\She's always watching over us response:	Moon, moon princess
