context: I'm Sarashina Ruka, and I'll be joining you as of today. response:	S-Seriously?
context: Monitoring\Cackle\You've been had!\Fondle\They must be messing with me!\S-Sorry, I think I'm just gonna bounce.\I've, uh, got something to do.\There's an assignment due. response:	Oh, too bad. You can't just ignore that.
context: Cackle\You've been had!\Fondle\They must be messing with me!\S-Sorry, I think I'm just gonna bounce.\I've, uh, got something to do.\There's an assignment due.\Oh, too bad. You can't just ignore that. response:	Y-Yeah. Sorry about this.
context: You've been had!\Fondle\They must be messing with me!\S-Sorry, I think I'm just gonna bounce.\I've, uh, got something to do.\There's an assignment due.\Oh, too bad. You can't just ignore that.\Y-Yeah. Sorry about this. response:	I'm not gullible enough to play along with this farce!
context: Fondle\They must be messing with me!\S-Sorry, I think I'm just gonna bounce.\I've, uh, got something to do.\There's an assignment due.\Oh, too bad. You can't just ignore that.\Y-Yeah. Sorry about this.\I'm not gullible enough to play along with this farce! response:	I guess I'm doing this alone, then.
context: They must be messing with me!\S-Sorry, I think I'm just gonna bounce.\I've, uh, got something to do.\There's an assignment due.\Oh, too bad. You can't just ignore that.\Y-Yeah. Sorry about this.\I'm not gullible enough to play along with this farce!\I guess I'm doing this alone, then. response:	What?!
context: S-Sorry, I think I'm just gonna bounce.\I've, uh, got something to do.\There's an assignment due.\Oh, too bad. You can't just ignore that.\Y-Yeah. Sorry about this.\I'm not gullible enough to play along with this farce!\I guess I'm doing this alone, then.\What?! response:	G-Going to the amusement park alone?!
context: I've, uh, got something to do.\There's an assignment due.\Oh, too bad. You can't just ignore that.\Y-Yeah. Sorry about this.\I'm not gullible enough to play along with this farce!\I guess I'm doing this alone, then.\What?!\G-Going to the amusement park alone?! response:	Yeah. I've been looking forward to it.
context: There's an assignment due.\Oh, too bad. You can't just ignore that.\Y-Yeah. Sorry about this.\I'm not gullible enough to play along with this farce!\I guess I'm doing this alone, then.\What?!\G-Going to the amusement park alone?!\Yeah. I've been looking forward to it. response:	I don't know about that!
context: Oh, too bad. You can't just ignore that.\Y-Yeah. Sorry about this.\I'm not gullible enough to play along with this farce!\I guess I'm doing this alone, then.\What?!\G-Going to the amusement park alone?!\Yeah. I've been looking forward to it.\I don't know about that! response:	I already bought the tickets, though.
context: Y-Yeah. Sorry about this.\I'm not gullible enough to play along with this farce!\I guess I'm doing this alone, then.\What?!\G-Going to the amusement park alone?!\Yeah. I've been looking forward to it.\I don't know about that!\I already bought the tickets, though. response:	Chizuru-san turned into a ghoul!
context: I'm not gullible enough to play along with this farce!\I guess I'm doing this alone, then.\What?!\G-Going to the amusement park alone?!\Yeah. I've been looking forward to it.\I don't know about that!\I already bought the tickets, though.\Chizuru-san turned into a ghoul! response:	See you.
context: I guess I'm doing this alone, then.\What?!\G-Going to the amusement park alone?!\Yeah. I've been looking forward to it.\I don't know about that!\I already bought the tickets, though.\Chizuru-san turned into a ghoul!\See you. response:	Chizuru-san... alone in the amusement park?
context: What?!\G-Going to the amusement park alone?!\Yeah. I've been looking forward to it.\I don't know about that!\I already bought the tickets, though.\Chizuru-san turned into a ghoul!\See you.\Chizuru-san... alone in the amusement park? response:	Gossip
context: G-Going to the amusement park alone?!\Yeah. I've been looking forward to it.\I don't know about that!\I already bought the tickets, though.\Chizuru-san turned into a ghoul!\See you.\Chizuru-san... alone in the amusement park?\Gossip response:	A-Ahem!
context: Yeah. I've been looking forward to it.\I don't know about that!\I already bought the tickets, though.\Chizuru-san turned into a ghoul!\See you.\Chizuru-san... alone in the amusement park?\Gossip\A-Ahem! response:	I can't call myself a man and let that happen.
context: I don't know about that!\I already bought the tickets, though.\Chizuru-san turned into a ghoul!\See you.\Chizuru-san... alone in the amusement park?\Gossip\A-Ahem!\I can't call myself a man and let that happen. response:	Please sit tight until we begin.
context: I already bought the tickets, though.\Chizuru-san turned into a ghoul!\See you.\Chizuru-san... alone in the amusement park?\Gossip\A-Ahem!\I can't call myself a man and let that happen.\Please sit tight until we begin. response:	Yay, I can't wait. It's been too long.
context: Chizuru-san turned into a ghoul!\See you.\Chizuru-san... alone in the amusement park?\Gossip\A-Ahem!\I can't call myself a man and let that happen.\Please sit tight until we begin.\Yay, I can't wait. It's been too long. response:	Oh, sorry. I'll scoot over.
context: See you.\Chizuru-san... alone in the amusement park?\Gossip\A-Ahem!\I can't call myself a man and let that happen.\Please sit tight until we begin.\Yay, I can't wait. It's been too long.\Oh, sorry. I'll scoot over. response:	Sh-She's so close!
context: Chizuru-san... alone in the amusement park?\Gossip\A-Ahem!\I can't call myself a man and let that happen.\Please sit tight until we begin.\Yay, I can't wait. It's been too long.\Oh, sorry. I'll scoot over.\Sh-She's so close! response:	What is this sweet scent?
context: Gossip\A-Ahem!\I can't call myself a man and let that happen.\Please sit tight until we begin.\Yay, I can't wait. It's been too long.\Oh, sorry. I'll scoot over.\Sh-She's so close!\What is this sweet scent? response:	Where am I, in a field of flowers?!
context: A-Ahem!\I can't call myself a man and let that happen.\Please sit tight until we begin.\Yay, I can't wait. It's been too long.\Oh, sorry. I'll scoot over.\Sh-She's so close!\What is this sweet scent?\Where am I, in a field of flowers?! response:	This is cool.
context: I can't call myself a man and let that happen.\Please sit tight until we begin.\Yay, I can't wait. It's been too long.\Oh, sorry. I'll scoot over.\Sh-She's so close!\What is this sweet scent?\Where am I, in a field of flowers?!\This is cool. response:	Yeah, Chizuru-san is peak girl.
context: Please sit tight until we begin.\Yay, I can't wait. It's been too long.\Oh, sorry. I'll scoot over.\Sh-She's so close!\What is this sweet scent?\Where am I, in a field of flowers?!\This is cool.\Yeah, Chizuru-san is peak girl. response:	Her voice, speech, and mannerisms are all perfect.
context: Yay, I can't wait. It's been too long.\Oh, sorry. I'll scoot over.\Sh-She's so close!\What is this sweet scent?\Where am I, in a field of flowers?!\This is cool.\Yeah, Chizuru-san is peak girl.\Her voice, speech, and mannerisms are all perfect. response:	Every man's dream girl!
context: Oh, sorry. I'll scoot over.\Sh-She's so close!\What is this sweet scent?\Where am I, in a field of flowers?!\This is cool.\Yeah, Chizuru-san is peak girl.\Her voice, speech, and mannerisms are all perfect.\Every man's dream girl! response:	If nothing else, I'm sure Kazuya likes her for real.
context: Sh-She's so close!\What is this sweet scent?\Where am I, in a field of flowers?!\This is cool.\Yeah, Chizuru-san is peak girl.\Her voice, speech, and mannerisms are all perfect.\Every man's dream girl!\If nothing else, I'm sure Kazuya likes her for real. response:	Haunted House
context: What is this sweet scent?\Where am I, in a field of flowers?!\This is cool.\Yeah, Chizuru-san is peak girl.\Her voice, speech, and mannerisms are all perfect.\Every man's dream girl!\If nothing else, I'm sure Kazuya likes her for real.\Haunted House response:	Sorry, I'm not good with scary stuff.
context: Where am I, in a field of flowers?!\This is cool.\Yeah, Chizuru-san is peak girl.\Her voice, speech, and mannerisms are all perfect.\Every man's dream girl!\If nothing else, I'm sure Kazuya likes her for real.\Haunted House\Sorry, I'm not good with scary stuff. response:	So close again!
context: This is cool.\Yeah, Chizuru-san is peak girl.\Her voice, speech, and mannerisms are all perfect.\Every man's dream girl!\If nothing else, I'm sure Kazuya likes her for real.\Haunted House\Sorry, I'm not good with scary stuff.\So close again! response:	Squeeze!
context: Yeah, Chizuru-san is peak girl.\Her voice, speech, and mannerisms are all perfect.\Every man's dream girl!\If nothing else, I'm sure Kazuya likes her for real.\Haunted House\Sorry, I'm not good with scary stuff.\So close again!\Squeeze! response:	Whoa, I feel'em! I can feel them!
context: Her voice, speech, and mannerisms are all perfect.\Every man's dream girl!\If nothing else, I'm sure Kazuya likes her for real.\Haunted House\Sorry, I'm not good with scary stuff.\So close again!\Squeeze!\Whoa, I feel'em! I can feel them! response:	S-Sorry.
context: Every man's dream girl!\If nothing else, I'm sure Kazuya likes her for real.\Haunted House\Sorry, I'm not good with scary stuff.\So close again!\Squeeze!\Whoa, I feel'em! I can feel them!\S-Sorry. response:	I-It's totally fine.
context: If nothing else, I'm sure Kazuya likes her for real.\Haunted House\Sorry, I'm not good with scary stuff.\So close again!\Squeeze!\Whoa, I feel'em! I can feel them!\S-Sorry.\I-It's totally fine. response:	They used to call me William Shun through grade school.
context: Haunted House\Sorry, I'm not good with scary stuff.\So close again!\Squeeze!\Whoa, I feel'em! I can feel them!\S-Sorry.\I-It's totally fine.\They used to call me William Shun through grade school. response:	I can't! I can't just go on a normal date with a girl I thought was my friend's girlfriend!
context: Sorry, I'm not good with scary stuff.\So close again!\Squeeze!\Whoa, I feel'em! I can feel them!\S-Sorry.\I-It's totally fine.\They used to call me William Shun through grade school.\I can't! I can't just go on a normal date with a girl I thought was my friend's girlfriend! response:	Once I've locked onto a girl's heart, I never miss!
context: So close again!\Squeeze!\Whoa, I feel'em! I can feel them!\S-Sorry.\I-It's totally fine.\They used to call me William Shun through grade school.\I can't! I can't just go on a normal date with a girl I thought was my friend's girlfriend!\Once I've locked onto a girl's heart, I never miss! response:	Wait, what am I even saying?!
context: Squeeze!\Whoa, I feel'em! I can feel them!\S-Sorry.\I-It's totally fine.\They used to call me William Shun through grade school.\I can't! I can't just go on a normal date with a girl I thought was my friend's girlfriend!\Once I've locked onto a girl's heart, I never miss!\Wait, what am I even saying?! response:	You're so funny, Shun-kun.
context: Whoa, I feel'em! I can feel them!\S-Sorry.\I-It's totally fine.\They used to call me William Shun through grade school.\I can't! I can't just go on a normal date with a girl I thought was my friend's girlfriend!\Once I've locked onto a girl's heart, I never miss!\Wait, what am I even saying?!\You're so funny, Shun-kun. response:	Skyship
context: S-Sorry.\I-It's totally fine.\They used to call me William Shun through grade school.\I can't! I can't just go on a normal date with a girl I thought was my friend's girlfriend!\Once I've locked onto a girl's heart, I never miss!\Wait, what am I even saying?!\You're so funny, Shun-kun.\Skyship response:	Thank you.
context: I-It's totally fine.\They used to call me William Shun through grade school.\I can't! I can't just go on a normal date with a girl I thought was my friend's girlfriend!\Once I've locked onto a girl's heart, I never miss!\Wait, what am I even saying?!\You're so funny, Shun-kun.\Skyship\Thank you. response:	Ba-dump
context: They used to call me William Shun through grade school.\I can't! I can't just go on a normal date with a girl I thought was my friend's girlfriend!\Once I've locked onto a girl's heart, I never miss!\Wait, what am I even saying?!\You're so funny, Shun-kun.\Skyship\Thank you.\Ba-dump response:	What is wrong with me?
context: I can't! I can't just go on a normal date with a girl I thought was my friend's girlfriend!\Once I've locked onto a girl's heart, I never miss!\Wait, what am I even saying?!\You're so funny, Shun-kun.\Skyship\Thank you.\Ba-dump\What is wrong with me? response:	I said all that, and here I am having fun.
context: Once I've locked onto a girl's heart, I never miss!\Wait, what am I even saying?!\You're so funny, Shun-kun.\Skyship\Thank you.\Ba-dump\What is wrong with me?\I said all that, and here I am having fun. response:	Boys are so stupid, seriously.
context: Wait, what am I even saying?!\You're so funny, Shun-kun.\Skyship\Thank you.\Ba-dump\What is wrong with me?\I said all that, and here I am having fun.\Boys are so stupid, seriously. response:	I mean, we're talking rental girlfriends here.
context: You're so funny, Shun-kun.\Skyship\Thank you.\Ba-dump\What is wrong with me?\I said all that, and here I am having fun.\Boys are so stupid, seriously.\I mean, we're talking rental girlfriends here. response:	You pay for a date, and that's that.
context: Skyship\Thank you.\Ba-dump\What is wrong with me?\I said all that, and here I am having fun.\Boys are so stupid, seriously.\I mean, we're talking rental girlfriends here.\You pay for a date, and that's that. response:	It's not like we don't get it.
context: Thank you.\Ba-dump\What is wrong with me?\I said all that, and here I am having fun.\Boys are so stupid, seriously.\I mean, we're talking rental girlfriends here.\You pay for a date, and that's that.\It's not like we don't get it. response:	But when it's a gorgeous girl like you, it really makes us think.
context: Ba-dump\What is wrong with me?\I said all that, and here I am having fun.\Boys are so stupid, seriously.\I mean, we're talking rental girlfriends here.\You pay for a date, and that's that.\It's not like we don't get it.\But when it's a gorgeous girl like you, it really makes us think. response:	We fall for you. We wanna hold you in our arms.
context: What is wrong with me?\I said all that, and here I am having fun.\Boys are so stupid, seriously.\I mean, we're talking rental girlfriends here.\You pay for a date, and that's that.\It's not like we don't get it.\But when it's a gorgeous girl like you, it really makes us think.\We fall for you. We wanna hold you in our arms. response:	We're so childish, all of us.
context: I said all that, and here I am having fun.\Boys are so stupid, seriously.\I mean, we're talking rental girlfriends here.\You pay for a date, and that's that.\It's not like we don't get it.\But when it's a gorgeous girl like you, it really makes us think.\We fall for you. We wanna hold you in our arms.\We're so childish, all of us. response:	But I like boys.
context: Boys are so stupid, seriously.\I mean, we're talking rental girlfriends here.\You pay for a date, and that's that.\It's not like we don't get it.\But when it's a gorgeous girl like you, it really makes us think.\We fall for you. We wanna hold you in our arms.\We're so childish, all of us.\But I like boys. response:	O-Oh, I don't mean that in a salacious way!
context: I mean, we're talking rental girlfriends here.\You pay for a date, and that's that.\It's not like we don't get it.\But when it's a gorgeous girl like you, it really makes us think.\We fall for you. We wanna hold you in our arms.\We're so childish, all of us.\But I like boys.\O-Oh, I don't mean that in a salacious way! response:	Absolutely not!
context: You pay for a date, and that's that.\It's not like we don't get it.\But when it's a gorgeous girl like you, it really makes us think.\We fall for you. We wanna hold you in our arms.\We're so childish, all of us.\But I like boys.\O-Oh, I don't mean that in a salacious way!\Absolutely not! response:	R-Right...
context: It's not like we don't get it.\But when it's a gorgeous girl like you, it really makes us think.\We fall for you. We wanna hold you in our arms.\We're so childish, all of us.\But I like boys.\O-Oh, I don't mean that in a salacious way!\Absolutely not!\R-Right... response:	I didn't take it that way...
context: But when it's a gorgeous girl like you, it really makes us think.\We fall for you. We wanna hold you in our arms.\We're so childish, all of us.\But I like boys.\O-Oh, I don't mean that in a salacious way!\Absolutely not!\R-Right...\I didn't take it that way... response:	Sure, you do have your childish side, but that just means you're romantics.
context: We fall for you. We wanna hold you in our arms.\We're so childish, all of us.\But I like boys.\O-Oh, I don't mean that in a salacious way!\Absolutely not!\R-Right...\I didn't take it that way...\Sure, you do have your childish side, but that just means you're romantics. response:	Being pragmatic in life is a difficult thing,
context: We're so childish, all of us.\But I like boys.\O-Oh, I don't mean that in a salacious way!\Absolutely not!\R-Right...\I didn't take it that way...\Sure, you do have your childish side, but that just means you're romantics.\Being pragmatic in life is a difficult thing, response:	but it's even harder to continue to be a dreamer.
context: But I like boys.\O-Oh, I don't mean that in a salacious way!\Absolutely not!\R-Right...\I didn't take it that way...\Sure, you do have your childish side, but that just means you're romantics.\Being pragmatic in life is a difficult thing,\but it's even harder to continue to be a dreamer. response:	Chizuru-san...
context: O-Oh, I don't mean that in a salacious way!\Absolutely not!\R-Right...\I didn't take it that way...\Sure, you do have your childish side, but that just means you're romantics.\Being pragmatic in life is a difficult thing,\but it's even harder to continue to be a dreamer.\Chizuru-san... response:	We can't do as much for you as real girlfriends can,
context: Absolutely not!\R-Right...\I didn't take it that way...\Sure, you do have your childish side, but that just means you're romantics.\Being pragmatic in life is a difficult thing,\but it's even harder to continue to be a dreamer.\Chizuru-san...\We can't do as much for you as real girlfriends can, response:	but we can be band-aids and stop the bleeding.
context: R-Right...\I didn't take it that way...\Sure, you do have your childish side, but that just means you're romantics.\Being pragmatic in life is a difficult thing,\but it's even harder to continue to be a dreamer.\Chizuru-san...\We can't do as much for you as real girlfriends can,\but we can be band-aids and stop the bleeding. response:	Life must be so rosy with a girlfriend like her.
context: I didn't take it that way...\Sure, you do have your childish side, but that just means you're romantics.\Being pragmatic in life is a difficult thing,\but it's even harder to continue to be a dreamer.\Chizuru-san...\We can't do as much for you as real girlfriends can,\but we can be band-aids and stop the bleeding.\Life must be so rosy with a girlfriend like her. response:	Hey, Kazuya, you're envied wherever you go.
context: Sure, you do have your childish side, but that just means you're romantics.\Being pragmatic in life is a difficult thing,\but it's even harder to continue to be a dreamer.\Chizuru-san...\We can't do as much for you as real girlfriends can,\but we can be band-aids and stop the bleeding.\Life must be so rosy with a girlfriend like her.\Hey, Kazuya, you're envied wherever you go. response:	You smell heaven right by your side.
context: Being pragmatic in life is a difficult thing,\but it's even harder to continue to be a dreamer.\Chizuru-san...\We can't do as much for you as real girlfriends can,\but we can be band-aids and stop the bleeding.\Life must be so rosy with a girlfriend like her.\Hey, Kazuya, you're envied wherever you go.\You smell heaven right by your side. response:	She laughs at your stupid jokes.
context: but it's even harder to continue to be a dreamer.\Chizuru-san...\We can't do as much for you as real girlfriends can,\but we can be band-aids and stop the bleeding.\Life must be so rosy with a girlfriend like her.\Hey, Kazuya, you're envied wherever you go.\You smell heaven right by your side.\She laughs at your stupid jokes. response:	You go on dates every day, hold hands,
context: Chizuru-san...\We can't do as much for you as real girlfriends can,\but we can be band-aids and stop the bleeding.\Life must be so rosy with a girlfriend like her.\Hey, Kazuya, you're envied wherever you go.\You smell heaven right by your side.\She laughs at your stupid jokes.\You go on dates every day, hold hands, response:	and have sex until you're sick of it...
context: We can't do as much for you as real girlfriends can,\but we can be band-aids and stop the bleeding.\Life must be so rosy with a girlfriend like her.\Hey, Kazuya, you're envied wherever you go.\You smell heaven right by your side.\She laughs at your stupid jokes.\You go on dates every day, hold hands,\and have sex until you're sick of it... response:	Man, I really do want one.
context: but we can be band-aids and stop the bleeding.\Life must be so rosy with a girlfriend like her.\Hey, Kazuya, you're envied wherever you go.\You smell heaven right by your side.\She laughs at your stupid jokes.\You go on dates every day, hold hands,\and have sex until you're sick of it...\Man, I really do want one. response:	I want a girlfriend!
context: Life must be so rosy with a girlfriend like her.\Hey, Kazuya, you're envied wherever you go.\You smell heaven right by your side.\She laughs at your stupid jokes.\You go on dates every day, hold hands,\and have sex until you're sick of it...\Man, I really do want one.\I want a girlfriend! response:	Rent - A - Girlfriend
context: Hey, Kazuya, you're envied wherever you go.\You smell heaven right by your side.\She laughs at your stupid jokes.\You go on dates every day, hold hands,\and have sex until you're sick of it...\Man, I really do want one.\I want a girlfriend!\Rent - A - Girlfriend response:	Wow.
context: You smell heaven right by your side.\She laughs at your stupid jokes.\You go on dates every day, hold hands,\and have sex until you're sick of it...\Man, I really do want one.\I want a girlfriend!\Rent - A - Girlfriend\Wow. response:	It was so crowded during the day, but we practically have the place to ourselves now.
context: She laughs at your stupid jokes.\You go on dates every day, hold hands,\and have sex until you're sick of it...\Man, I really do want one.\I want a girlfriend!\Rent - A - Girlfriend\Wow.\It was so crowded during the day, but we practically have the place to ourselves now. response:	Thanks for today, Chizuru-san.
context: You go on dates every day, hold hands,\and have sex until you're sick of it...\Man, I really do want one.\I want a girlfriend!\Rent - A - Girlfriend\Wow.\It was so crowded during the day, but we practically have the place to ourselves now.\Thanks for today, Chizuru-san. response:	You heard about Ruka-chan, right?
context: and have sex until you're sick of it...\Man, I really do want one.\I want a girlfriend!\Rent - A - Girlfriend\Wow.\It was so crowded during the day, but we practically have the place to ourselves now.\Thanks for today, Chizuru-san.\You heard about Ruka-chan, right? response:	And that's why you two planned this to cheer me up, right?
context: Man, I really do want one.\I want a girlfriend!\Rent - A - Girlfriend\Wow.\It was so crowded during the day, but we practically have the place to ourselves now.\Thanks for today, Chizuru-san.\You heard about Ruka-chan, right?\And that's why you two planned this to cheer me up, right? response:	I was so confused at first, but I had loads of fun!
context: I want a girlfriend!\Rent - A - Girlfriend\Wow.\It was so crowded during the day, but we practically have the place to ourselves now.\Thanks for today, Chizuru-san.\You heard about Ruka-chan, right?\And that's why you two planned this to cheer me up, right?\I was so confused at first, but I had loads of fun! response:	Oh, I should pay up.
context: Rent - A - Girlfriend\Wow.\It was so crowded during the day, but we practically have the place to ourselves now.\Thanks for today, Chizuru-san.\You heard about Ruka-chan, right?\And that's why you two planned this to cheer me up, right?\I was so confused at first, but I had loads of fun!\Oh, I should pay up. response:	Sorry.
context: Wow.\It was so crowded during the day, but we practically have the place to ourselves now.\Thanks for today, Chizuru-san.\You heard about Ruka-chan, right?\And that's why you two planned this to cheer me up, right?\I was so confused at first, but I had loads of fun!\Oh, I should pay up.\Sorry. response:	I've already been paid.
context: It was so crowded during the day, but we practically have the place to ourselves now.\Thanks for today, Chizuru-san.\You heard about Ruka-chan, right?\And that's why you two planned this to cheer me up, right?\I was so confused at first, but I had loads of fun!\Oh, I should pay up.\Sorry.\I've already been paid. response:	What? How?
context: Thanks for today, Chizuru-san.\You heard about Ruka-chan, right?\And that's why you two planned this to cheer me up, right?\I was so confused at first, but I had loads of fun!\Oh, I should pay up.\Sorry.\I've already been paid.\What? How? response:	K-Kazuya?!
context: You heard about Ruka-chan, right?\And that's why you two planned this to cheer me up, right?\I was so confused at first, but I had loads of fun!\Oh, I should pay up.\Sorry.\I've already been paid.\What? How?\K-Kazuya?! response:	What're you doing over there?
context: And that's why you two planned this to cheer me up, right?\I was so confused at first, but I had loads of fun!\Oh, I should pay up.\Sorry.\I've already been paid.\What? How?\K-Kazuya?!\What're you doing over there? response:	U-Uh, just, um... sightseeing?
context: I was so confused at first, but I had loads of fun!\Oh, I should pay up.\Sorry.\I've already been paid.\What? How?\K-Kazuya?!\What're you doing over there?\U-Uh, just, um... sightseeing? response:	Rattle
context: Oh, I should pay up.\Sorry.\I've already been paid.\What? How?\K-Kazuya?!\What're you doing over there?\U-Uh, just, um... sightseeing?\Rattle response:	A-Awkward!
context: Sorry.\I've already been paid.\What? How?\K-Kazuya?!\What're you doing over there?\U-Uh, just, um... sightseeing?\Rattle\A-Awkward! response:	A-Awkward!
context: I've already been paid.\What? How?\K-Kazuya?!\What're you doing over there?\U-Uh, just, um... sightseeing?\Rattle\A-Awkward!\A-Awkward! response:	Sweat
context: What? How?\K-Kazuya?!\What're you doing over there?\U-Uh, just, um... sightseeing?\Rattle\A-Awkward!\A-Awkward!\Sweat response:	Sorry, I need to visit the restroom.
context: K-Kazuya?!\What're you doing over there?\U-Uh, just, um... sightseeing?\Rattle\A-Awkward!\A-Awkward!\Sweat\Sorry, I need to visit the restroom. response:	S-Sure.
context: What're you doing over there?\U-Uh, just, um... sightseeing?\Rattle\A-Awkward!\A-Awkward!\Sweat\Sorry, I need to visit the restroom.\S-Sure. response:	Mizuhara...
context: U-Uh, just, um... sightseeing?\Rattle\A-Awkward!\A-Awkward!\Sweat\Sorry, I need to visit the restroom.\S-Sure.\Mizuhara... response:	She decided to give us space...
context: Rattle\A-Awkward!\A-Awkward!\Sweat\Sorry, I need to visit the restroom.\S-Sure.\Mizuhara...\She decided to give us space... response:	Oh, so that's what happened.
context: A-Awkward!\A-Awkward!\Sweat\Sorry, I need to visit the restroom.\S-Sure.\Mizuhara...\She decided to give us space...\Oh, so that's what happened. response:	Sorry I lied to you!
context: A-Awkward!\Sweat\Sorry, I need to visit the restroom.\S-Sure.\Mizuhara...\She decided to give us space...\Oh, so that's what happened.\Sorry I lied to you! response:	I rented her after the Mami heartbreak.
context: Sweat\Sorry, I need to visit the restroom.\S-Sure.\Mizuhara...\She decided to give us space...\Oh, so that's what happened.\Sorry I lied to you!\I rented her after the Mami heartbreak. response:	But then we ran into you and Kibe,
context: Sorry, I need to visit the restroom.\S-Sure.\Mizuhara...\She decided to give us space...\Oh, so that's what happened.\Sorry I lied to you!\I rented her after the Mami heartbreak.\But then we ran into you and Kibe, response:	and I showed her off as my girlfriend to look cool.
context: S-Sure.\Mizuhara...\She decided to give us space...\Oh, so that's what happened.\Sorry I lied to you!\I rented her after the Mami heartbreak.\But then we ran into you and Kibe,\and I showed her off as my girlfriend to look cool. response:	There was no going back after that!
context: Mizuhara...\She decided to give us space...\Oh, so that's what happened.\Sorry I lied to you!\I rented her after the Mami heartbreak.\But then we ran into you and Kibe,\and I showed her off as my girlfriend to look cool.\There was no going back after that! response:	Shake
context: She decided to give us space...\Oh, so that's what happened.\Sorry I lied to you!\I rented her after the Mami heartbreak.\But then we ran into you and Kibe,\and I showed her off as my girlfriend to look cool.\There was no going back after that!\Shake response:	He's really mad!
context: Oh, so that's what happened.\Sorry I lied to you!\I rented her after the Mami heartbreak.\But then we ran into you and Kibe,\and I showed her off as my girlfriend to look cool.\There was no going back after that!\Shake\He's really mad! response:	What the hell, man? That's so lame!
context: Sorry I lied to you!\I rented her after the Mami heartbreak.\But then we ran into you and Kibe,\and I showed her off as my girlfriend to look cool.\There was no going back after that!\Shake\He's really mad!\What the hell, man? That's so lame! response:	For your grandma? Talk about giving back to your family!
context: I rented her after the Mami heartbreak.\But then we ran into you and Kibe,\and I showed her off as my girlfriend to look cool.\There was no going back after that!\Shake\He's really mad!\What the hell, man? That's so lame!\For your grandma? Talk about giving back to your family! response:	Wait, does this even count as giving back?
context: But then we ran into you and Kibe,\and I showed her off as my girlfriend to look cool.\There was no going back after that!\Shake\He's really mad!\What the hell, man? That's so lame!\For your grandma? Talk about giving back to your family!\Wait, does this even count as giving back? response:	Chizuru-san sure got stuck with one annoying client!
context: and I showed her off as my girlfriend to look cool.\There was no going back after that!\Shake\He's really mad!\What the hell, man? That's so lame!\For your grandma? Talk about giving back to your family!\Wait, does this even count as giving back?\Chizuru-san sure got stuck with one annoying client! response:	You're laughing too much! My hands were tied!
context: There was no going back after that!\Shake\He's really mad!\What the hell, man? That's so lame!\For your grandma? Talk about giving back to your family!\Wait, does this even count as giving back?\Chizuru-san sure got stuck with one annoying client!\You're laughing too much! My hands were tied! response:	Guffaw Bwahaha
context: Shake\He's really mad!\What the hell, man? That's so lame!\For your grandma? Talk about giving back to your family!\Wait, does this even count as giving back?\Chizuru-san sure got stuck with one annoying client!\You're laughing too much! My hands were tied!\Guffaw Bwahaha response:	Is this guy trying to piss me off?
context: He's really mad!\What the hell, man? That's so lame!\For your grandma? Talk about giving back to your family!\Wait, does this even count as giving back?\Chizuru-san sure got stuck with one annoying client!\You're laughing too much! My hands were tied!\Guffaw Bwahaha\Is this guy trying to piss me off? response:	But man, I'm glad you're a stinky virgin like me.
context: What the hell, man? That's so lame!\For your grandma? Talk about giving back to your family!\Wait, does this even count as giving back?\Chizuru-san sure got stuck with one annoying client!\You're laughing too much! My hands were tied!\Guffaw Bwahaha\Is this guy trying to piss me off?\But man, I'm glad you're a stinky virgin like me. response:	I knew it was weird that a lameass like you landed a girl like her.
context: For your grandma? Talk about giving back to your family!\Wait, does this even count as giving back?\Chizuru-san sure got stuck with one annoying client!\You're laughing too much! My hands were tied!\Guffaw Bwahaha\Is this guy trying to piss me off?\But man, I'm glad you're a stinky virgin like me.\I knew it was weird that a lameass like you landed a girl like her. response:	You're going there, dude?
context: Wait, does this even count as giving back?\Chizuru-san sure got stuck with one annoying client!\You're laughing too much! My hands were tied!\Guffaw Bwahaha\Is this guy trying to piss me off?\But man, I'm glad you're a stinky virgin like me.\I knew it was weird that a lameass like you landed a girl like her.\You're going there, dude? response:	Y'know, when you showed up with Ruka-chan in tow,
context: Chizuru-san sure got stuck with one annoying client!\You're laughing too much! My hands were tied!\Guffaw Bwahaha\Is this guy trying to piss me off?\But man, I'm glad you're a stinky virgin like me.\I knew it was weird that a lameass like you landed a girl like her.\You're going there, dude?\Y'know, when you showed up with Ruka-chan in tow, response:	I nearly lost all faith in humanity's taste!
context: You're laughing too much! My hands were tied!\Guffaw Bwahaha\Is this guy trying to piss me off?\But man, I'm glad you're a stinky virgin like me.\I knew it was weird that a lameass like you landed a girl like her.\You're going there, dude?\Y'know, when you showed up with Ruka-chan in tow,\I nearly lost all faith in humanity's taste! response:	Y-You're one to talk!
context: Guffaw Bwahaha\Is this guy trying to piss me off?\But man, I'm glad you're a stinky virgin like me.\I knew it was weird that a lameass like you landed a girl like her.\You're going there, dude?\Y'know, when you showed up with Ruka-chan in tow,\I nearly lost all faith in humanity's taste!\Y-You're one to talk! response:	Just so you know, Ruka-chan's younger!
context: Is this guy trying to piss me off?\But man, I'm glad you're a stinky virgin like me.\I knew it was weird that a lameass like you landed a girl like her.\You're going there, dude?\Y'know, when you showed up with Ruka-chan in tow,\I nearly lost all faith in humanity's taste!\Y-You're one to talk!\Just so you know, Ruka-chan's younger! response:	Shut yer trap, pedo!
