context: Did Suna say something? response:	From: Yukika-chan Yamato-san, Thank you for your help yesterday. Thanks to you and Takeo-kun, I was able to invite Sunakawa-kun to the zoo. Thank you for listening to me.
context: H-Hey!\She's right.\Not disliking someone is different than liking someone.\Takeo, what are you doing?\You aren't going ho\I don't sense Yukika-chan anymore...\Oh, Takeo-kun!\Yamato... response:	I got a text message from Yukika-chan.
context: She's right.\Not disliking someone is different than liking someone.\Takeo, what are you doing?\You aren't going ho\I don't sense Yukika-chan anymore...\Oh, Takeo-kun!\Yamato...\I got a text message from Yukika-chan. response:	Thank you for everything. I'll never forget how you helped me pick out clothes. Goodbye. I don't think we'll be seeing each other again. May you be happy with Takeo-kun.
context: Not disliking someone is different than liking someone.\Takeo, what are you doing?\You aren't going ho\I don't sense Yukika-chan anymore...\Oh, Takeo-kun!\Yamato...\I got a text message from Yukika-chan.\Thank you for everything. I'll never forget how you helped me pick out clothes. Goodbye. I don't think we'll be seeing each other again. May you be happy with Takeo-kun. response:	Did something happen?
context: Takeo, what are you doing?\You aren't going ho\I don't sense Yukika-chan anymore...\Oh, Takeo-kun!\Yamato...\I got a text message from Yukika-chan.\Thank you for everything. I'll never forget how you helped me pick out clothes. Goodbye. I don't think we'll be seeing each other again. May you be happy with Takeo-kun.\Did something happen? response:	I replied to her text, but she hasn't written back.
context: You aren't going ho\I don't sense Yukika-chan anymore...\Oh, Takeo-kun!\Yamato...\I got a text message from Yukika-chan.\Thank you for everything. I'll never forget how you helped me pick out clothes. Goodbye. I don't think we'll be seeing each other again. May you be happy with Takeo-kun.\Did something happen?\I replied to her text, but she hasn't written back. response:	She won't even answer my calls!
context: I don't sense Yukika-chan anymore...\Oh, Takeo-kun!\Yamato...\I got a text message from Yukika-chan.\Thank you for everything. I'll never forget how you helped me pick out clothes. Goodbye. I don't think we'll be seeing each other again. May you be happy with Takeo-kun.\Did something happen?\I replied to her text, but she hasn't written back.\She won't even answer my calls! response:	She...
context: Oh, Takeo-kun!\Yamato...\I got a text message from Yukika-chan.\Thank you for everything. I'll never forget how you helped me pick out clothes. Goodbye. I don't think we'll be seeing each other again. May you be happy with Takeo-kun.\Did something happen?\I replied to her text, but she hasn't written back.\She won't even answer my calls!\She... response:	She said that it was getting painful, how kind Suna was to her.
context: Yamato...\I got a text message from Yukika-chan.\Thank you for everything. I'll never forget how you helped me pick out clothes. Goodbye. I don't think we'll be seeing each other again. May you be happy with Takeo-kun.\Did something happen?\I replied to her text, but she hasn't written back.\She won't even answer my calls!\She...\She said that it was getting painful, how kind Suna was to her. response:	That she was heartbroken because they felt so differently about each other.
context: I got a text message from Yukika-chan.\Thank you for everything. I'll never forget how you helped me pick out clothes. Goodbye. I don't think we'll be seeing each other again. May you be happy with Takeo-kun.\Did something happen?\I replied to her text, but she hasn't written back.\She won't even answer my calls!\She...\She said that it was getting painful, how kind Suna was to her.\That she was heartbroken because they felt so differently about each other. response:	She said she was going to give up.
context: Thank you for everything. I'll never forget how you helped me pick out clothes. Goodbye. I don't think we'll be seeing each other again. May you be happy with Takeo-kun.\Did something happen?\I replied to her text, but she hasn't written back.\She won't even answer my calls!\She...\She said that it was getting painful, how kind Suna was to her.\That she was heartbroken because they felt so differently about each other.\She said she was going to give up. response:	She asked me to thank you for everything.
context: Did something happen?\I replied to her text, but she hasn't written back.\She won't even answer my calls!\She...\She said that it was getting painful, how kind Suna was to her.\That she was heartbroken because they felt so differently about each other.\She said she was going to give up.\She asked me to thank you for everything. response:	Oh, okay.
context: I replied to her text, but she hasn't written back.\She won't even answer my calls!\She...\She said that it was getting painful, how kind Suna was to her.\That she was heartbroken because they felt so differently about each other.\She said she was going to give up.\She asked me to thank you for everything.\Oh, okay. response:	I got it.
context: She won't even answer my calls!\She...\She said that it was getting painful, how kind Suna was to her.\That she was heartbroken because they felt so differently about each other.\She said she was going to give up.\She asked me to thank you for everything.\Oh, okay.\I got it. response:	I'm going to stop by the bookstore.
context: She...\She said that it was getting painful, how kind Suna was to her.\That she was heartbroken because they felt so differently about each other.\She said she was going to give up.\She asked me to thank you for everything.\Oh, okay.\I got it.\I'm going to stop by the bookstore. response:	So this is how it ends.
context: She said that it was getting painful, how kind Suna was to her.\That she was heartbroken because they felt so differently about each other.\She said she was going to give up.\She asked me to thank you for everything.\Oh, okay.\I got it.\I'm going to stop by the bookstore.\So this is how it ends. response:	Just like that.
context: That she was heartbroken because they felt so differently about each other.\She said she was going to give up.\She asked me to thank you for everything.\Oh, okay.\I got it.\I'm going to stop by the bookstore.\So this is how it ends.\Just like that. response:	There isn't much closure...
context: She said she was going to give up.\She asked me to thank you for everything.\Oh, okay.\I got it.\I'm going to stop by the bookstore.\So this is how it ends.\Just like that.\There isn't much closure... response:	It's kind of sad that it just faded out like that.
context: She asked me to thank you for everything.\Oh, okay.\I got it.\I'm going to stop by the bookstore.\So this is how it ends.\Just like that.\There isn't much closure...\It's kind of sad that it just faded out like that. response:	Yukika-chan was saying that she wished she'd never said anything.
context: Oh, okay.\I got it.\I'm going to stop by the bookstore.\So this is how it ends.\Just like that.\There isn't much closure...\It's kind of sad that it just faded out like that.\Yukika-chan was saying that she wished she'd never said anything. response:	Do you agree, Yamato?
context: I got it.\I'm going to stop by the bookstore.\So this is how it ends.\Just like that.\There isn't much closure...\It's kind of sad that it just faded out like that.\Yukika-chan was saying that she wished she'd never said anything.\Do you agree, Yamato? response:	Of course not!
context: I'm going to stop by the bookstore.\So this is how it ends.\Just like that.\There isn't much closure...\It's kind of sad that it just faded out like that.\Yukika-chan was saying that she wished she'd never said anything.\Do you agree, Yamato?\Of course not! response:	If she thought about it more,
context: So this is how it ends.\Just like that.\There isn't much closure...\It's kind of sad that it just faded out like that.\Yukika-chan was saying that she wished she'd never said anything.\Do you agree, Yamato?\Of course not!\If she thought about it more, response:	she'd remember there were some fun times, too!
context: Just like that.\There isn't much closure...\It's kind of sad that it just faded out like that.\Yukika-chan was saying that she wished she'd never said anything.\Do you agree, Yamato?\Of course not!\If she thought about it more,\she'd remember there were some fun times, too! response:	Right.
context: There isn't much closure...\It's kind of sad that it just faded out like that.\Yukika-chan was saying that she wished she'd never said anything.\Do you agree, Yamato?\Of course not!\If she thought about it more,\she'd remember there were some fun times, too!\Right. response:	That's right.
context: It's kind of sad that it just faded out like that.\Yukika-chan was saying that she wished she'd never said anything.\Do you agree, Yamato?\Of course not!\If she thought about it more,\she'd remember there were some fun times, too!\Right.\That's right. response:	Oh, hello.
context: Yukika-chan was saying that she wished she'd never said anything.\Do you agree, Yamato?\Of course not!\If she thought about it more,\she'd remember there were some fun times, too!\Right.\That's right.\Oh, hello. response:	The zoo yesterday was fun.
context: Do you agree, Yamato?\Of course not!\If she thought about it more,\she'd remember there were some fun times, too!\Right.\That's right.\Oh, hello.\The zoo yesterday was fun. response:	Delete Photo? Delete Cancel
context: Of course not!\If she thought about it more,\she'd remember there were some fun times, too!\Right.\That's right.\Oh, hello.\The zoo yesterday was fun.\Delete Photo? Delete Cancel response:	Don't say sad things like you wish you'd never said anything,
context: If she thought about it more,\she'd remember there were some fun times, too!\Right.\That's right.\Oh, hello.\The zoo yesterday was fun.\Delete Photo? Delete Cancel\Don't say sad things like you wish you'd never said anything, response:	Yukika-chan.
context: she'd remember there were some fun times, too!\Right.\That's right.\Oh, hello.\The zoo yesterday was fun.\Delete Photo? Delete Cancel\Don't say sad things like you wish you'd never said anything,\Yukika-chan. response:	Suna, you go ahead!
context: Right.\That's right.\Oh, hello.\The zoo yesterday was fun.\Delete Photo? Delete Cancel\Don't say sad things like you wish you'd never said anything,\Yukika-chan.\Suna, you go ahead! response:	What?
context: That's right.\Oh, hello.\The zoo yesterday was fun.\Delete Photo? Delete Cancel\Don't say sad things like you wish you'd never said anything,\Yukika-chan.\Suna, you go ahead!\What? response:	It's urgent!
context: Oh, hello.\The zoo yesterday was fun.\Delete Photo? Delete Cancel\Don't say sad things like you wish you'd never said anything,\Yukika-chan.\Suna, you go ahead!\What?\It's urgent! response:	Okay.
context: The zoo yesterday was fun.\Delete Photo? Delete Cancel\Don't say sad things like you wish you'd never said anything,\Yukika-chan.\Suna, you go ahead!\What?\It's urgent!\Okay. response:	Yukika-chan!
context: Delete Photo? Delete Cancel\Don't say sad things like you wish you'd never said anything,\Yukika-chan.\Suna, you go ahead!\What?\It's urgent!\Okay.\Yukika-chan! response:	Oh, my god!
context: Don't say sad things like you wish you'd never said anything,\Yukika-chan.\Suna, you go ahead!\What?\It's urgent!\Okay.\Yukika-chan!\Oh, my god! response:	Yamato, I found Yukika-chan.
context: Yukika-chan.\Suna, you go ahead!\What?\It's urgent!\Okay.\Yukika-chan!\Oh, my god!\Yamato, I found Yukika-chan. response:	She's headed for the park!
context: Suna, you go ahead!\What?\It's urgent!\Okay.\Yukika-chan!\Oh, my god!\Yamato, I found Yukika-chan.\She's headed for the park! response:	Why are you running away?
context: What?\It's urgent!\Okay.\Yukika-chan!\Oh, my god!\Yamato, I found Yukika-chan.\She's headed for the park!\Why are you running away? response:	You don't have to disappear from all of our lives, Yukika
context: It's urgent!\Okay.\Yukika-chan!\Oh, my god!\Yamato, I found Yukika-chan.\She's headed for the park!\Why are you running away?\You don't have to disappear from all of our lives, Yukika response:	Coward!
context: Okay.\Yukika-chan!\Oh, my god!\Yamato, I found Yukika-chan.\She's headed for the park!\Why are you running away?\You don't have to disappear from all of our lives, Yukika\Coward! response:	What's there to do now?
context: Yukika-chan!\Oh, my god!\Yamato, I found Yukika-chan.\She's headed for the park!\Why are you running away?\You don't have to disappear from all of our lives, Yukika\Coward!\What's there to do now? response:	Just leave me alone.
context: Oh, my god!\Yamato, I found Yukika-chan.\She's headed for the park!\Why are you running away?\You don't have to disappear from all of our lives, Yukika\Coward!\What's there to do now?\Just leave me alone. response:	Suna might only be nice to you now,
context: Yamato, I found Yukika-chan.\She's headed for the park!\Why are you running away?\You don't have to disappear from all of our lives, Yukika\Coward!\What's there to do now?\Just leave me alone.\Suna might only be nice to you now, response:	but aren't you just getting started?
context: She's headed for the park!\Why are you running away?\You don't have to disappear from all of our lives, Yukika\Coward!\What's there to do now?\Just leave me alone.\Suna might only be nice to you now,\but aren't you just getting started? response:	I can't think like that!
context: Why are you running away?\You don't have to disappear from all of our lives, Yukika\Coward!\What's there to do now?\Just leave me alone.\Suna might only be nice to you now,\but aren't you just getting started?\I can't think like that! response:	How can I keep talking to him,
context: You don't have to disappear from all of our lives, Yukika\Coward!\What's there to do now?\Just leave me alone.\Suna might only be nice to you now,\but aren't you just getting started?\I can't think like that!\How can I keep talking to him, response:	when I know he doesn't have feelings for me?
context: Coward!\What's there to do now?\Just leave me alone.\Suna might only be nice to you now,\but aren't you just getting started?\I can't think like that!\How can I keep talking to him,\when I know he doesn't have feelings for me? response:	I'm not tough like you!
context: What's there to do now?\Just leave me alone.\Suna might only be nice to you now,\but aren't you just getting started?\I can't think like that!\How can I keep talking to him,\when I know he doesn't have feelings for me?\I'm not tough like you! response:	But, Yukika-chan...
context: Just leave me alone.\Suna might only be nice to you now,\but aren't you just getting started?\I can't think like that!\How can I keep talking to him,\when I know he doesn't have feelings for me?\I'm not tough like you!\But, Yukika-chan... response:	I've seen the letter you left for Suna with his chocolate, back in kindergarten!
context: Suna might only be nice to you now,\but aren't you just getting started?\I can't think like that!\How can I keep talking to him,\when I know he doesn't have feelings for me?\I'm not tough like you!\But, Yukika-chan...\I've seen the letter you left for Suna with his chocolate, back in kindergarten! response:	You saw it?
context: but aren't you just getting started?\I can't think like that!\How can I keep talking to him,\when I know he doesn't have feelings for me?\I'm not tough like you!\But, Yukika-chan...\I've seen the letter you left for Suna with his chocolate, back in kindergarten!\You saw it? response:	Sorry...
context: I can't think like that!\How can I keep talking to him,\when I know he doesn't have feelings for me?\I'm not tough like you!\But, Yukika-chan...\I've seen the letter you left for Suna with his chocolate, back in kindergarten!\You saw it?\Sorry... response:	I was really impressed when I saw the letter!
context: How can I keep talking to him,\when I know he doesn't have feelings for me?\I'm not tough like you!\But, Yukika-chan...\I've seen the letter you left for Suna with his chocolate, back in kindergarten!\You saw it?\Sorry...\I was really impressed when I saw the letter! response:	I thought, This must be how it is when someone really likes you!
context: when I know he doesn't have feelings for me?\I'm not tough like you!\But, Yukika-chan...\I've seen the letter you left for Suna with his chocolate, back in kindergarten!\You saw it?\Sorry...\I was really impressed when I saw the letter!\I thought, This must be how it is when someone really likes you! response:	I'm still impressed.
context: I'm not tough like you!\But, Yukika-chan...\I've seen the letter you left for Suna with his chocolate, back in kindergarten!\You saw it?\Sorry...\I was really impressed when I saw the letter!\I thought, This must be how it is when someone really likes you!\I'm still impressed. response:	That's why even Suna still remembers the letter.
context: But, Yukika-chan...\I've seen the letter you left for Suna with his chocolate, back in kindergarten!\You saw it?\Sorry...\I was really impressed when I saw the letter!\I thought, This must be how it is when someone really likes you!\I'm still impressed.\That's why even Suna still remembers the letter. response:	I don't think he's nice to just anyone.
context: I've seen the letter you left for Suna with his chocolate, back in kindergarten!\You saw it?\Sorry...\I was really impressed when I saw the letter!\I thought, This must be how it is when someone really likes you!\I'm still impressed.\That's why even Suna still remembers the letter.\I don't think he's nice to just anyone. response:	It's too sad to have things end this way!
context: You saw it?\Sorry...\I was really impressed when I saw the letter!\I thought, This must be how it is when someone really likes you!\I'm still impressed.\That's why even Suna still remembers the letter.\I don't think he's nice to just anyone.\It's too sad to have things end this way! response:	Takeo-kun, where's Yukika-chan?
context: Sorry...\I was really impressed when I saw the letter!\I thought, This must be how it is when someone really likes you!\I'm still impressed.\That's why even Suna still remembers the letter.\I don't think he's nice to just anyone.\It's too sad to have things end this way!\Takeo-kun, where's Yukika-chan? response:	Inside.
context: I was really impressed when I saw the letter!\I thought, This must be how it is when someone really likes you!\I'm still impressed.\That's why even Suna still remembers the letter.\I don't think he's nice to just anyone.\It's too sad to have things end this way!\Takeo-kun, where's Yukika-chan?\Inside. response:	Yukika-chan...
context: I thought, This must be how it is when someone really likes you!\I'm still impressed.\That's why even Suna still remembers the letter.\I don't think he's nice to just anyone.\It's too sad to have things end this way!\Takeo-kun, where's Yukika-chan?\Inside.\Yukika-chan... response:	What are you doing in front of the ladies' room?
context: I'm still impressed.\That's why even Suna still remembers the letter.\I don't think he's nice to just anyone.\It's too sad to have things end this way!\Takeo-kun, where's Yukika-chan?\Inside.\Yukika-chan...\What are you doing in front of the ladies' room? response:	Are you a peeping tom?
context: That's why even Suna still remembers the letter.\I don't think he's nice to just anyone.\It's too sad to have things end this way!\Takeo-kun, where's Yukika-chan?\Inside.\Yukika-chan...\What are you doing in front of the ladies' room?\Are you a peeping tom? response:	We're discussing an important issue!
context: I don't think he's nice to just anyone.\It's too sad to have things end this way!\Takeo-kun, where's Yukika-chan?\Inside.\Yukika-chan...\What are you doing in front of the ladies' room?\Are you a peeping tom?\We're discussing an important issue! response:	He's a friend of mine!
context: It's too sad to have things end this way!\Takeo-kun, where's Yukika-chan?\Inside.\Yukika-chan...\What are you doing in front of the ladies' room?\Are you a peeping tom?\We're discussing an important issue!\He's a friend of mine! response:	Oh, next time, try not to act so suspicious.
context: Takeo-kun, where's Yukika-chan?\Inside.\Yukika-chan...\What are you doing in front of the ladies' room?\Are you a peeping tom?\We're discussing an important issue!\He's a friend of mine!\Oh, next time, try not to act so suspicious. response:	Yes, sir.
context: Inside.\Yukika-chan...\What are you doing in front of the ladies' room?\Are you a peeping tom?\We're discussing an important issue!\He's a friend of mine!\Oh, next time, try not to act so suspicious.\Yes, sir. response:	So my letter was impressive?
context: Yukika-chan...\What are you doing in front of the ladies' room?\Are you a peeping tom?\We're discussing an important issue!\He's a friend of mine!\Oh, next time, try not to act so suspicious.\Yes, sir.\So my letter was impressive? response:	Yeah!
context: What are you doing in front of the ladies' room?\Are you a peeping tom?\We're discussing an important issue!\He's a friend of mine!\Oh, next time, try not to act so suspicious.\Yes, sir.\So my letter was impressive?\Yeah! response:	To tell you the truth,
context: Are you a peeping tom?\We're discussing an important issue!\He's a friend of mine!\Oh, next time, try not to act so suspicious.\Yes, sir.\So my letter was impressive?\Yeah!\To tell you the truth, response:	it would be sad if I never spoke to Sunakawa-kun again...
context: We're discussing an important issue!\He's a friend of mine!\Oh, next time, try not to act so suspicious.\Yes, sir.\So my letter was impressive?\Yeah!\To tell you the truth,\it would be sad if I never spoke to Sunakawa-kun again... response:	Right.
context: He's a friend of mine!\Oh, next time, try not to act so suspicious.\Yes, sir.\So my letter was impressive?\Yeah!\To tell you the truth,\it would be sad if I never spoke to Sunakawa-kun again...\Right. response:	Incoming Call Sunakawa-kun
context: Oh, next time, try not to act so suspicious.\Yes, sir.\So my letter was impressive?\Yeah!\To tell you the truth,\it would be sad if I never spoke to Sunakawa-kun again...\Right.\Incoming Call Sunakawa-kun response:	What should I do?
context: Yes, sir.\So my letter was impressive?\Yeah!\To tell you the truth,\it would be sad if I never spoke to Sunakawa-kun again...\Right.\Incoming Call Sunakawa-kun\What should I do? response:	It's Sunakawa-kun...
context: So my letter was impressive?\Yeah!\To tell you the truth,\it would be sad if I never spoke to Sunakawa-kun again...\Right.\Incoming Call Sunakawa-kun\What should I do?\It's Sunakawa-kun... response:	Take the call!
context: Yeah!\To tell you the truth,\it would be sad if I never spoke to Sunakawa-kun again...\Right.\Incoming Call Sunakawa-kun\What should I do?\It's Sunakawa-kun...\Take the call! response:	Good luck.
context: To tell you the truth,\it would be sad if I never spoke to Sunakawa-kun again...\Right.\Incoming Call Sunakawa-kun\What should I do?\It's Sunakawa-kun...\Take the call!\Good luck. response:	Hello.
context: it would be sad if I never spoke to Sunakawa-kun again...\Right.\Incoming Call Sunakawa-kun\What should I do?\It's Sunakawa-kun...\Take the call!\Good luck.\Hello. response:	Oh, it's me, Sunakawa.
context: Right.\Incoming Call Sunakawa-kun\What should I do?\It's Sunakawa-kun...\Take the call!\Good luck.\Hello.\Oh, it's me, Sunakawa. response:	Amami-san?
context: Incoming Call Sunakawa-kun\What should I do?\It's Sunakawa-kun...\Take the call!\Good luck.\Hello.\Oh, it's me, Sunakawa.\Amami-san? response:	Yes, it's me.
context: What should I do?\It's Sunakawa-kun...\Take the call!\Good luck.\Hello.\Oh, it's me, Sunakawa.\Amami-san?\Yes, it's me. response:	Yes.
context: It's Sunakawa-kun...\Take the call!\Good luck.\Hello.\Oh, it's me, Sunakawa.\Amami-san?\Yes, it's me.\Yes. response:	Yes, okay...
context: Take the call!\Good luck.\Hello.\Oh, it's me, Sunakawa.\Amami-san?\Yes, it's me.\Yes.\Yes, okay... response:	Yes, I know the place.
context: Good luck.\Hello.\Oh, it's me, Sunakawa.\Amami-san?\Yes, it's me.\Yes.\Yes, okay...\Yes, I know the place. response:	Okay, I'll see you.
context: Hello.\Oh, it's me, Sunakawa.\Amami-san?\Yes, it's me.\Yes.\Yes, okay...\Yes, I know the place.\Okay, I'll see you. response:	He says he wants to meet with me.
context: Oh, it's me, Sunakawa.\Amami-san?\Yes, it's me.\Yes.\Yes, okay...\Yes, I know the place.\Okay, I'll see you.\He says he wants to meet with me. response:	I'll go meet with him!
context: Amami-san?\Yes, it's me.\Yes.\Yes, okay...\Yes, I know the place.\Okay, I'll see you.\He says he wants to meet with me.\I'll go meet with him! response:	Yukika-chan, we'll wait here.
context: Yes, it's me.\Yes.\Yes, okay...\Yes, I know the place.\Okay, I'll see you.\He says he wants to meet with me.\I'll go meet with him!\Yukika-chan, we'll wait here. response:	Okay, I'll be back.
context: Yes.\Yes, okay...\Yes, I know the place.\Okay, I'll see you.\He says he wants to meet with me.\I'll go meet with him!\Yukika-chan, we'll wait here.\Okay, I'll be back. response:	I wonder what Sunakawa-kun's going to do.
context: Yes, okay...\Yes, I know the place.\Okay, I'll see you.\He says he wants to meet with me.\I'll go meet with him!\Yukika-chan, we'll wait here.\Okay, I'll be back.\I wonder what Sunakawa-kun's going to do. response:	I don't know.
context: Yes, I know the place.\Okay, I'll see you.\He says he wants to meet with me.\I'll go meet with him!\Yukika-chan, we'll wait here.\Okay, I'll be back.\I wonder what Sunakawa-kun's going to do.\I don't know. response:	I don't know, but Suna is kind...
context: Okay, I'll see you.\He says he wants to meet with me.\I'll go meet with him!\Yukika-chan, we'll wait here.\Okay, I'll be back.\I wonder what Sunakawa-kun's going to do.\I don't know.\I don't know, but Suna is kind... response:	I heard from Takeo.
context: He says he wants to meet with me.\I'll go meet with him!\Yukika-chan, we'll wait here.\Okay, I'll be back.\I wonder what Sunakawa-kun's going to do.\I don't know.\I don't know, but Suna is kind...\I heard from Takeo. response:	I'm sorry for asking you to come see me.
context: I'll go meet with him!\Yukika-chan, we'll wait here.\Okay, I'll be back.\I wonder what Sunakawa-kun's going to do.\I don't know.\I don't know, but Suna is kind...\I heard from Takeo.\I'm sorry for asking you to come see me. response:	It isn't a problem!
context: Yukika-chan, we'll wait here.\Okay, I'll be back.\I wonder what Sunakawa-kun's going to do.\I don't know.\I don't know, but Suna is kind...\I heard from Takeo.\I'm sorry for asking you to come see me.\It isn't a problem! response:	Here.
context: Okay, I'll be back.\I wonder what Sunakawa-kun's going to do.\I don't know.\I don't know, but Suna is kind...\I heard from Takeo.\I'm sorry for asking you to come see me.\It isn't a problem!\Here. response:	Thank you for all the chocolates.
context: I wonder what Sunakawa-kun's going to do.\I don't know.\I don't know, but Suna is kind...\I heard from Takeo.\I'm sorry for asking you to come see me.\It isn't a problem!\Here.\Thank you for all the chocolates. response:	I've always wanted to thank you for them.
context: I don't know.\I don't know, but Suna is kind...\I heard from Takeo.\I'm sorry for asking you to come see me.\It isn't a problem!\Here.\Thank you for all the chocolates.\I've always wanted to thank you for them. response:	Thank you.
context: I don't know, but Suna is kind...\I heard from Takeo.\I'm sorry for asking you to come see me.\It isn't a problem!\Here.\Thank you for all the chocolates.\I've always wanted to thank you for them.\Thank you. response:	Library
context: I heard from Takeo.\I'm sorry for asking you to come see me.\It isn't a problem!\Here.\Thank you for all the chocolates.\I've always wanted to thank you for them.\Thank you.\Library response:	I'm sorry.
context: I'm sorry for asking you to come see me.\It isn't a problem!\Here.\Thank you for all the chocolates.\I've always wanted to thank you for them.\Thank you.\Library\I'm sorry. response:	Thank you for being so nice to me.
context: It isn't a problem!\Here.\Thank you for all the chocolates.\I've always wanted to thank you for them.\Thank you.\Library\I'm sorry.\Thank you for being so nice to me. response:	I really liked you!
context: Here.\Thank you for all the chocolates.\I've always wanted to thank you for them.\Thank you.\Library\I'm sorry.\Thank you for being so nice to me.\I really liked you! response:	I want to thank you!
context: Thank you for all the chocolates.\I've always wanted to thank you for them.\Thank you.\Library\I'm sorry.\Thank you for being so nice to me.\I really liked you!\I want to thank you! response:	If I see you at school, can we still talk like friends?
context: I've always wanted to thank you for them.\Thank you.\Library\I'm sorry.\Thank you for being so nice to me.\I really liked you!\I want to thank you!\If I see you at school, can we still talk like friends? response:	Okay.
context: Thank you.\Library\I'm sorry.\Thank you for being so nice to me.\I really liked you!\I want to thank you!\If I see you at school, can we still talk like friends?\Okay. response:	Yukika-chan...
context: Library\I'm sorry.\Thank you for being so nice to me.\I really liked you!\I want to thank you!\If I see you at school, can we still talk like friends?\Okay.\Yukika-chan... response:	Sunakawa-kun gave me this.
context: I'm sorry.\Thank you for being so nice to me.\I really liked you!\I want to thank you!\If I see you at school, can we still talk like friends?\Okay.\Yukika-chan...\Sunakawa-kun gave me this. response:	Wow, it's really cute!
context: Thank you for being so nice to me.\I really liked you!\I want to thank you!\If I see you at school, can we still talk like friends?\Okay.\Yukika-chan...\Sunakawa-kun gave me this.\Wow, it's really cute! response:	He has such good taste.
context: I really liked you!\I want to thank you!\If I see you at school, can we still talk like friends?\Okay.\Yukika-chan...\Sunakawa-kun gave me this.\Wow, it's really cute!\He has such good taste. response:	This is exactly the kind of thing I like.
context: I want to thank you!\If I see you at school, can we still talk like friends?\Okay.\Yukika-chan...\Sunakawa-kun gave me this.\Wow, it's really cute!\He has such good taste.\This is exactly the kind of thing I like. response:	He said this was for all ten years of giving him chocolate.
context: If I see you at school, can we still talk like friends?\Okay.\Yukika-chan...\Sunakawa-kun gave me this.\Wow, it's really cute!\He has such good taste.\This is exactly the kind of thing I like.\He said this was for all ten years of giving him chocolate. response:	He apologized to me.
context: Okay.\Yukika-chan...\Sunakawa-kun gave me this.\Wow, it's really cute!\He has such good taste.\This is exactly the kind of thing I like.\He said this was for all ten years of giving him chocolate.\He apologized to me. response:	I had fun.
context: Yukika-chan...\Sunakawa-kun gave me this.\Wow, it's really cute!\He has such good taste.\This is exactly the kind of thing I like.\He said this was for all ten years of giving him chocolate.\He apologized to me.\I had fun. response:	Talking to Takeo-kun and Yamato-san until late at night.
context: Sunakawa-kun gave me this.\Wow, it's really cute!\He has such good taste.\This is exactly the kind of thing I like.\He said this was for all ten years of giving him chocolate.\He apologized to me.\I had fun.\Talking to Takeo-kun and Yamato-san until late at night. response:	Picking clothes with Yamato-san.
context: Wow, it's really cute!\He has such good taste.\This is exactly the kind of thing I like.\He said this was for all ten years of giving him chocolate.\He apologized to me.\I had fun.\Talking to Takeo-kun and Yamato-san until late at night.\Picking clothes with Yamato-san. response:	Going home with Sunakawa-kun,
context: He has such good taste.\This is exactly the kind of thing I like.\He said this was for all ten years of giving him chocolate.\He apologized to me.\I had fun.\Talking to Takeo-kun and Yamato-san until late at night.\Picking clothes with Yamato-san.\Going home with Sunakawa-kun, response:	though I couldn't talk to him at all...
context: This is exactly the kind of thing I like.\He said this was for all ten years of giving him chocolate.\He apologized to me.\I had fun.\Talking to Takeo-kun and Yamato-san until late at night.\Picking clothes with Yamato-san.\Going home with Sunakawa-kun,\though I couldn't talk to him at all... response:	Going to the zoo with Sunakawa-kun,
context: He said this was for all ten years of giving him chocolate.\He apologized to me.\I had fun.\Talking to Takeo-kun and Yamato-san until late at night.\Picking clothes with Yamato-san.\Going home with Sunakawa-kun,\though I couldn't talk to him at all...\Going to the zoo with Sunakawa-kun, response:	though I couldn't talk to him at all...
context: He apologized to me.\I had fun.\Talking to Takeo-kun and Yamato-san until late at night.\Picking clothes with Yamato-san.\Going home with Sunakawa-kun,\though I couldn't talk to him at all...\Going to the zoo with Sunakawa-kun,\though I couldn't talk to him at all... response:	Still, I have a lot of happy memories!
context: I had fun.\Talking to Takeo-kun and Yamato-san until late at night.\Picking clothes with Yamato-san.\Going home with Sunakawa-kun,\though I couldn't talk to him at all...\Going to the zoo with Sunakawa-kun,\though I couldn't talk to him at all...\Still, I have a lot of happy memories! response:	His world and mine overlapped.
context: Talking to Takeo-kun and Yamato-san until late at night.\Picking clothes with Yamato-san.\Going home with Sunakawa-kun,\though I couldn't talk to him at all...\Going to the zoo with Sunakawa-kun,\though I couldn't talk to him at all...\Still, I have a lot of happy memories!\His world and mine overlapped. response:	I'm glad I told him how I felt!
context: Picking clothes with Yamato-san.\Going home with Sunakawa-kun,\though I couldn't talk to him at all...\Going to the zoo with Sunakawa-kun,\though I couldn't talk to him at all...\Still, I have a lot of happy memories!\His world and mine overlapped.\I'm glad I told him how I felt! response:	That hurt.
context: Going home with Sunakawa-kun,\though I couldn't talk to him at all...\Going to the zoo with Sunakawa-kun,\though I couldn't talk to him at all...\Still, I have a lot of happy memories!\His world and mine overlapped.\I'm glad I told him how I felt!\That hurt. response:	Sorry.
context: though I couldn't talk to him at all...\Going to the zoo with Sunakawa-kun,\though I couldn't talk to him at all...\Still, I have a lot of happy memories!\His world and mine overlapped.\I'm glad I told him how I felt!\That hurt.\Sorry. response:	I'm fragile.
context: Going to the zoo with Sunakawa-kun,\though I couldn't talk to him at all...\Still, I have a lot of happy memories!\His world and mine overlapped.\I'm glad I told him how I felt!\That hurt.\Sorry.\I'm fragile. response:	I'm a weakling.
