context: There's so much I need to talk about. response:	About her.
context: Yes, ever since returning to school,\he's been following me around,\and I'm having trouble studying.\Oh, Mizutani-san.\Eh?\What are you looking at?\Okay, no need to intimidate her.\I don't like you! response:	Get lost!
context: he's been following me around,\and I'm having trouble studying.\Oh, Mizutani-san.\Eh?\What are you looking at?\Okay, no need to intimidate her.\I don't like you!\Get lost! response:	You should join her.
context: and I'm having trouble studying.\Oh, Mizutani-san.\Eh?\What are you looking at?\Okay, no need to intimidate her.\I don't like you!\Get lost!\You should join her. response:	Wait!
context: Oh, Mizutani-san.\Eh?\What are you looking at?\Okay, no need to intimidate her.\I don't like you!\Get lost!\You should join her.\Wait! response:	Stop! Stop!
context: Eh?\What are you looking at?\Okay, no need to intimidate her.\I don't like you!\Get lost!\You should join her.\Wait!\Stop! Stop! response:	Yo-Yoshida-kun, you're supposed to treat girls with care!
context: What are you looking at?\Okay, no need to intimidate her.\I don't like you!\Get lost!\You should join her.\Wait!\Stop! Stop!\Yo-Yoshida-kun, you're supposed to treat girls with care! response:	I'll lend you one of my favorite books!
context: Okay, no need to intimidate her.\I don't like you!\Get lost!\You should join her.\Wait!\Stop! Stop!\Yo-Yoshida-kun, you're supposed to treat girls with care!\I'll lend you one of my favorite books! response:	Okay?
context: I don't like you!\Get lost!\You should join her.\Wait!\Stop! Stop!\Yo-Yoshida-kun, you're supposed to treat girls with care!\I'll lend you one of my favorite books!\Okay? response:	Get along now!
context: Get lost!\You should join her.\Wait!\Stop! Stop!\Yo-Yoshida-kun, you're supposed to treat girls with care!\I'll lend you one of my favorite books!\Okay?\Get along now! response:	That was when he placed
context: You should join her.\Wait!\Stop! Stop!\Yo-Yoshida-kun, you're supposed to treat girls with care!\I'll lend you one of my favorite books!\Okay?\Get along now!\That was when he placed response:	his arms around me in a gentle embrace,
context: Wait!\Stop! Stop!\Yo-Yoshida-kun, you're supposed to treat girls with care!\I'll lend you one of my favorite books!\Okay?\Get along now!\That was when he placed\his arms around me in a gentle embrace, response:	and my heart began to pound...
context: Stop! Stop!\Yo-Yoshida-kun, you're supposed to treat girls with care!\I'll lend you one of my favorite books!\Okay?\Get along now!\That was when he placed\his arms around me in a gentle embrace,\and my heart began to pound... response:	My feelings won't change.
context: Yo-Yoshida-kun, you're supposed to treat girls with care!\I'll lend you one of my favorite books!\Okay?\Get along now!\That was when he placed\his arms around me in a gentle embrace,\and my heart began to pound...\My feelings won't change. response:	I'll always love you.
context: I'll lend you one of my favorite books!\Okay?\Get along now!\That was when he placed\his arms around me in a gentle embrace,\and my heart began to pound...\My feelings won't change.\I'll always love you. response:	After thinking, thinking, and thinking some more
context: Okay?\Get along now!\That was when he placed\his arms around me in a gentle embrace,\and my heart began to pound...\My feelings won't change.\I'll always love you.\After thinking, thinking, and thinking some more response:	about what he meant...
context: Get along now!\That was when he placed\his arms around me in a gentle embrace,\and my heart began to pound...\My feelings won't change.\I'll always love you.\After thinking, thinking, and thinking some more\about what he meant... response:	Sensei!
context: That was when he placed\his arms around me in a gentle embrace,\and my heart began to pound...\My feelings won't change.\I'll always love you.\After thinking, thinking, and thinking some more\about what he meant...\Sensei! response:	What does it mean to treat someone with care?!
context: his arms around me in a gentle embrace,\and my heart began to pound...\My feelings won't change.\I'll always love you.\After thinking, thinking, and thinking some more\about what he meant...\Sensei!\What does it mean to treat someone with care?! response:	You need to be considerate.
context: and my heart began to pound...\My feelings won't change.\I'll always love you.\After thinking, thinking, and thinking some more\about what he meant...\Sensei!\What does it mean to treat someone with care?!\You need to be considerate. response:	What do you do to be considerate?
context: My feelings won't change.\I'll always love you.\After thinking, thinking, and thinking some more\about what he meant...\Sensei!\What does it mean to treat someone with care?!\You need to be considerate.\What do you do to be considerate? response:	You should do nice things.
context: I'll always love you.\After thinking, thinking, and thinking some more\about what he meant...\Sensei!\What does it mean to treat someone with care?!\You need to be considerate.\What do you do to be considerate?\You should do nice things. response:	For the first time in my life,
context: After thinking, thinking, and thinking some more\about what he meant...\Sensei!\What does it mean to treat someone with care?!\You need to be considerate.\What do you do to be considerate?\You should do nice things.\For the first time in my life, response:	I gave up on a question I couldn't solve.
context: about what he meant...\Sensei!\What does it mean to treat someone with care?!\You need to be considerate.\What do you do to be considerate?\You should do nice things.\For the first time in my life,\I gave up on a question I couldn't solve. response:	They look like they're having fun.
context: Sensei!\What does it mean to treat someone with care?!\You need to be considerate.\What do you do to be considerate?\You should do nice things.\For the first time in my life,\I gave up on a question I couldn't solve.\They look like they're having fun. response:	I bet they get to eat dinner or play dodgeball together.
context: What does it mean to treat someone with care?!\You need to be considerate.\What do you do to be considerate?\You should do nice things.\For the first time in my life,\I gave up on a question I couldn't solve.\They look like they're having fun.\I bet they get to eat dinner or play dodgeball together. response:	I wish I got to do something...
context: You need to be considerate.\What do you do to be considerate?\You should do nice things.\For the first time in my life,\I gave up on a question I couldn't solve.\They look like they're having fun.\I bet they get to eat dinner or play dodgeball together.\I wish I got to do something... response:	Come on, Shizuku...
context: What do you do to be considerate?\You should do nice things.\For the first time in my life,\I gave up on a question I couldn't solve.\They look like they're having fun.\I bet they get to eat dinner or play dodgeball together.\I wish I got to do something...\Come on, Shizuku... response:	I already said that I'm not going!
context: You should do nice things.\For the first time in my life,\I gave up on a question I couldn't solve.\They look like they're having fun.\I bet they get to eat dinner or play dodgeball together.\I wish I got to do something...\Come on, Shizuku...\I already said that I'm not going! response:	Midterms are coming up.
context: For the first time in my life,\I gave up on a question I couldn't solve.\They look like they're having fun.\I bet they get to eat dinner or play dodgeball together.\I wish I got to do something...\Come on, Shizuku...\I already said that I'm not going!\Midterms are coming up. response:	It's not just about monja.
context: I gave up on a question I couldn't solve.\They look like they're having fun.\I bet they get to eat dinner or play dodgeball together.\I wish I got to do something...\Come on, Shizuku...\I already said that I'm not going!\Midterms are coming up.\It's not just about monja. response:	Friends are supposed to hang out together, right?
context: They look like they're having fun.\I bet they get to eat dinner or play dodgeball together.\I wish I got to do something...\Come on, Shizuku...\I already said that I'm not going!\Midterms are coming up.\It's not just about monja.\Friends are supposed to hang out together, right? response:	I want to go with you.
context: I bet they get to eat dinner or play dodgeball together.\I wish I got to do something...\Come on, Shizuku...\I already said that I'm not going!\Midterms are coming up.\It's not just about monja.\Friends are supposed to hang out together, right?\I want to go with you. response:	Nobody else is willing to look me in the eye.
context: I wish I got to do something...\Come on, Shizuku...\I already said that I'm not going!\Midterms are coming up.\It's not just about monja.\Friends are supposed to hang out together, right?\I want to go with you.\Nobody else is willing to look me in the eye. response:	That's because you're either glaring at them, threatening them,
context: Come on, Shizuku...\I already said that I'm not going!\Midterms are coming up.\It's not just about monja.\Friends are supposed to hang out together, right?\I want to go with you.\Nobody else is willing to look me in the eye.\That's because you're either glaring at them, threatening them, response:	or beating them up.
context: I already said that I'm not going!\Midterms are coming up.\It's not just about monja.\Friends are supposed to hang out together, right?\I want to go with you.\Nobody else is willing to look me in the eye.\That's because you're either glaring at them, threatening them,\or beating them up. response:	There was a speech during the opening ceremony
context: Midterms are coming up.\It's not just about monja.\Friends are supposed to hang out together, right?\I want to go with you.\Nobody else is willing to look me in the eye.\That's because you're either glaring at them, threatening them,\or beating them up.\There was a speech during the opening ceremony response:	that was given by the first-year with the highest score.
context: It's not just about monja.\Friends are supposed to hang out together, right?\I want to go with you.\Nobody else is willing to look me in the eye.\That's because you're either glaring at them, threatening them,\or beating them up.\There was a speech during the opening ceremony\that was given by the first-year with the highest score. response:	I've always had the highest grades.
context: Friends are supposed to hang out together, right?\I want to go with you.\Nobody else is willing to look me in the eye.\That's because you're either glaring at them, threatening them,\or beating them up.\There was a speech during the opening ceremony\that was given by the first-year with the highest score.\I've always had the highest grades. response:	I worked very hard to make that happen.
context: I want to go with you.\Nobody else is willing to look me in the eye.\That's because you're either glaring at them, threatening them,\or beating them up.\There was a speech during the opening ceremony\that was given by the first-year with the highest score.\I've always had the highest grades.\I worked very hard to make that happen. response:	Next, we have a speech from the first year class.
context: Nobody else is willing to look me in the eye.\That's because you're either glaring at them, threatening them,\or beating them up.\There was a speech during the opening ceremony\that was given by the first-year with the highest score.\I've always had the highest grades.\I worked very hard to make that happen.\Next, we have a speech from the first year class. response:	But this time...
context: That's because you're either glaring at them, threatening them,\or beating them up.\There was a speech during the opening ceremony\that was given by the first-year with the highest score.\I've always had the highest grades.\I worked very hard to make that happen.\Next, we have a speech from the first year class.\But this time... response:	it wasn't me.
context: or beating them up.\There was a speech during the opening ceremony\that was given by the first-year with the highest score.\I've always had the highest grades.\I worked very hard to make that happen.\Next, we have a speech from the first year class.\But this time...\it wasn't me. response:	So...
context: There was a speech during the opening ceremony\that was given by the first-year with the highest score.\I've always had the highest grades.\I worked very hard to make that happen.\Next, we have a speech from the first year class.\But this time...\it wasn't me.\So... response:	I have to redeem myself during midterms.
context: that was given by the first-year with the highest score.\I've always had the highest grades.\I worked very hard to make that happen.\Next, we have a speech from the first year class.\But this time...\it wasn't me.\So...\I have to redeem myself during midterms. response:	I don't have time to waste on monja.
context: I've always had the highest grades.\I worked very hard to make that happen.\Next, we have a speech from the first year class.\But this time...\it wasn't me.\So...\I have to redeem myself during midterms.\I don't have time to waste on monja. response:	Oh.
context: I worked very hard to make that happen.\Next, we have a speech from the first year class.\But this time...\it wasn't me.\So...\I have to redeem myself during midterms.\I don't have time to waste on monja.\Oh. response:	First, you find the coordinates for the intersection.
context: Next, we have a speech from the first year class.\But this time...\it wasn't me.\So...\I have to redeem myself during midterms.\I don't have time to waste on monja.\Oh.\First, you find the coordinates for the intersection. response:	And this answer is wrong.
context: But this time...\it wasn't me.\So...\I have to redeem myself during midterms.\I don't have time to waste on monja.\Oh.\First, you find the coordinates for the intersection.\And this answer is wrong. response:	It should be b=4, not b=8.
context: it wasn't me.\So...\I have to redeem myself during midterms.\I don't have time to waste on monja.\Oh.\First, you find the coordinates for the intersection.\And this answer is wrong.\It should be b=4, not b=8. response:	I remember now...
context: So...\I have to redeem myself during midterms.\I don't have time to waste on monja.\Oh.\First, you find the coordinates for the intersection.\And this answer is wrong.\It should be b=4, not b=8.\I remember now... response:	The first-year speaker...
context: I have to redeem myself during midterms.\I don't have time to waste on monja.\Oh.\First, you find the coordinates for the intersection.\And this answer is wrong.\It should be b=4, not b=8.\I remember now...\The first-year speaker... response:	Please step forward.
context: I don't have time to waste on monja.\Oh.\First, you find the coordinates for the intersection.\And this answer is wrong.\It should be b=4, not b=8.\I remember now...\The first-year speaker...\Please step forward. response:	First-year speaker, Yoshida Haru!
context: Oh.\First, you find the coordinates for the intersection.\And this answer is wrong.\It should be b=4, not b=8.\I remember now...\The first-year speaker...\Please step forward.\First-year speaker, Yoshida Haru! response:	Hmm?
context: First, you find the coordinates for the intersection.\And this answer is wrong.\It should be b=4, not b=8.\I remember now...\The first-year speaker...\Please step forward.\First-year speaker, Yoshida Haru!\Hmm? response:	Oh! Shizuku!
context: And this answer is wrong.\It should be b=4, not b=8.\I remember now...\The first-year speaker...\Please step forward.\First-year speaker, Yoshida Haru!\Hmm?\Oh! Shizuku! response:	Why did you go home without telling me yesterday?!
context: It should be b=4, not b=8.\I remember now...\The first-year speaker...\Please step forward.\First-year speaker, Yoshida Haru!\Hmm?\Oh! Shizuku!\Why did you go home without telling me yesterday?! response:	What?!
context: I remember now...\The first-year speaker...\Please step forward.\First-year speaker, Yoshida Haru!\Hmm?\Oh! Shizuku!\Why did you go home without telling me yesterday?!\What?! response:	Sorry, but until midterms are over, you're my enemy.
context: The first-year speaker...\Please step forward.\First-year speaker, Yoshida Haru!\Hmm?\Oh! Shizuku!\Why did you go home without telling me yesterday?!\What?!\Sorry, but until midterms are over, you're my enemy. response:	I need you to stop distracting me from my studies.
context: Please step forward.\First-year speaker, Yoshida Haru!\Hmm?\Oh! Shizuku!\Why did you go home without telling me yesterday?!\What?!\Sorry, but until midterms are over, you're my enemy.\I need you to stop distracting me from my studies. response:	What's so special about studying?
context: First-year speaker, Yoshida Haru!\Hmm?\Oh! Shizuku!\Why did you go home without telling me yesterday?!\What?!\Sorry, but until midterms are over, you're my enemy.\I need you to stop distracting me from my studies.\What's so special about studying? response:	Every problem has an answer. How hard can it be?
context: Hmm?\Oh! Shizuku!\Why did you go home without telling me yesterday?!\What?!\Sorry, but until midterms are over, you're my enemy.\I need you to stop distracting me from my studies.\What's so special about studying?\Every problem has an answer. How hard can it be? response:	You must really hate me.
context: Oh! Shizuku!\Why did you go home without telling me yesterday?!\What?!\Sorry, but until midterms are over, you're my enemy.\I need you to stop distracting me from my studies.\What's so special about studying?\Every problem has an answer. How hard can it be?\You must really hate me. response:	Man, seriously!
context: Why did you go home without telling me yesterday?!\What?!\Sorry, but until midterms are over, you're my enemy.\I need you to stop distracting me from my studies.\What's so special about studying?\Every problem has an answer. How hard can it be?\You must really hate me.\Man, seriously! response:	Why am I so upset?!
context: What?!\Sorry, but until midterms are over, you're my enemy.\I need you to stop distracting me from my studies.\What's so special about studying?\Every problem has an answer. How hard can it be?\You must really hate me.\Man, seriously!\Why am I so upset?! response:	I should study.
context: Sorry, but until midterms are over, you're my enemy.\I need you to stop distracting me from my studies.\What's so special about studying?\Every problem has an answer. How hard can it be?\You must really hate me.\Man, seriously!\Why am I so upset?!\I should study. response:	Right. Other people don't matter.
context: I need you to stop distracting me from my studies.\What's so special about studying?\Every problem has an answer. How hard can it be?\You must really hate me.\Man, seriously!\Why am I so upset?!\I should study.\Right. Other people don't matter. response:	That's the philosophy I've always followed.
context: What's so special about studying?\Every problem has an answer. How hard can it be?\You must really hate me.\Man, seriously!\Why am I so upset?!\I should study.\Right. Other people don't matter.\That's the philosophy I've always followed. response:	Hey.
context: Every problem has an answer. How hard can it be?\You must really hate me.\Man, seriously!\Why am I so upset?!\I should study.\Right. Other people don't matter.\That's the philosophy I've always followed.\Hey. response:	Yes?
context: You must really hate me.\Man, seriously!\Why am I so upset?!\I should study.\Right. Other people don't matter.\That's the philosophy I've always followed.\Hey.\Yes? response:	Where's Shizuku?
context: Man, seriously!\Why am I so upset?!\I should study.\Right. Other people don't matter.\That's the philosophy I've always followed.\Hey.\Yes?\Where's Shizuku? response:	I-I don't know...
context: Why am I so upset?!\I should study.\Right. Other people don't matter.\That's the philosophy I've always followed.\Hey.\Yes?\Where's Shizuku?\I-I don't know... response:	Oh, I saw her a second ago.
context: I should study.\Right. Other people don't matter.\That's the philosophy I've always followed.\Hey.\Yes?\Where's Shizuku?\I-I don't know...\Oh, I saw her a second ago. response:	Man, why did you bring her here?
context: Right. Other people don't matter.\That's the philosophy I've always followed.\Hey.\Yes?\Where's Shizuku?\I-I don't know...\Oh, I saw her a second ago.\Man, why did you bring her here? response:	Aren't you mad about that first-year beating us up?
context: That's the philosophy I've always followed.\Hey.\Yes?\Where's Shizuku?\I-I don't know...\Oh, I saw her a second ago.\Man, why did you bring her here?\Aren't you mad about that first-year beating us up? response:	Pumpkin Pudding Cookies
context: Hey.\Yes?\Where's Shizuku?\I-I don't know...\Oh, I saw her a second ago.\Man, why did you bring her here?\Aren't you mad about that first-year beating us up?\Pumpkin Pudding Cookies response:	How adorable. Are you a first-year?
context: Yes?\Where's Shizuku?\I-I don't know...\Oh, I saw her a second ago.\Man, why did you bring her here?\Aren't you mad about that first-year beating us up?\Pumpkin Pudding Cookies\How adorable. Are you a first-year? response:	Want something to eat?
context: Where's Shizuku?\I-I don't know...\Oh, I saw her a second ago.\Man, why did you bring her here?\Aren't you mad about that first-year beating us up?\Pumpkin Pudding Cookies\How adorable. Are you a first-year?\Want something to eat? response:	You always act without thinking.
context: I-I don't know...\Oh, I saw her a second ago.\Man, why did you bring her here?\Aren't you mad about that first-year beating us up?\Pumpkin Pudding Cookies\How adorable. Are you a first-year?\Want something to eat?\You always act without thinking. response:	They're the ones Haru beat up for robbing him.
context: Oh, I saw her a second ago.\Man, why did you bring her here?\Aren't you mad about that first-year beating us up?\Pumpkin Pudding Cookies\How adorable. Are you a first-year?\Want something to eat?\You always act without thinking.\They're the ones Haru beat up for robbing him. response:	Excuse me.
context: Man, why did you bring her here?\Aren't you mad about that first-year beating us up?\Pumpkin Pudding Cookies\How adorable. Are you a first-year?\Want something to eat?\You always act without thinking.\They're the ones Haru beat up for robbing him.\Excuse me. response:	Do you mind if I study?
context: Aren't you mad about that first-year beating us up?\Pumpkin Pudding Cookies\How adorable. Are you a first-year?\Want something to eat?\You always act without thinking.\They're the ones Haru beat up for robbing him.\Excuse me.\Do you mind if I study? response:	Huh?
context: Pumpkin Pudding Cookies\How adorable. Are you a first-year?\Want something to eat?\You always act without thinking.\They're the ones Haru beat up for robbing him.\Excuse me.\Do you mind if I study?\Huh? response:	Er, go ahead.
context: How adorable. Are you a first-year?\Want something to eat?\You always act without thinking.\They're the ones Haru beat up for robbing him.\Excuse me.\Do you mind if I study?\Huh?\Er, go ahead. response:	Right.
context: Want something to eat?\You always act without thinking.\They're the ones Haru beat up for robbing him.\Excuse me.\Do you mind if I study?\Huh?\Er, go ahead.\Right. response:	Everything has gone wrong
context: You always act without thinking.\They're the ones Haru beat up for robbing him.\Excuse me.\Do you mind if I study?\Huh?\Er, go ahead.\Right.\Everything has gone wrong response:	since he came into the picture.
context: They're the ones Haru beat up for robbing him.\Excuse me.\Do you mind if I study?\Huh?\Er, go ahead.\Right.\Everything has gone wrong\since he came into the picture. response:	I just want
context: Excuse me.\Do you mind if I study?\Huh?\Er, go ahead.\Right.\Everything has gone wrong\since he came into the picture.\I just want response:	some peace and quiet
context: Do you mind if I study?\Huh?\Er, go ahead.\Right.\Everything has gone wrong\since he came into the picture.\I just want\some peace and quiet response:	to study.
context: Huh?\Er, go ahead.\Right.\Everything has gone wrong\since he came into the picture.\I just want\some peace and quiet\to study. response:	Where is Shizuku?!
context: Er, go ahead.\Right.\Everything has gone wrong\since he came into the picture.\I just want\some peace and quiet\to study.\Where is Shizuku?! response:	Shizuku!
context: Right.\Everything has gone wrong\since he came into the picture.\I just want\some peace and quiet\to study.\Where is Shizuku?!\Shizuku! response:	Bastards!
context: Everything has gone wrong\since he came into the picture.\I just want\some peace and quiet\to study.\Where is Shizuku?!\Shizuku!\Bastards! response:	What did you do to her?!
context: since he came into the picture.\I just want\some peace and quiet\to study.\Where is Shizuku?!\Shizuku!\Bastards!\What did you do to her?! response:	Forget it. Let's go.
context: I just want\some peace and quiet\to study.\Where is Shizuku?!\Shizuku!\Bastards!\What did you do to her?!\Forget it. Let's go. response:	I can't let this slide!
context: some peace and quiet\to study.\Where is Shizuku?!\Shizuku!\Bastards!\What did you do to her?!\Forget it. Let's go.\I can't let this slide! response:	I'm going to kill them!
context: to study.\Where is Shizuku?!\Shizuku!\Bastards!\What did you do to her?!\Forget it. Let's go.\I can't let this slide!\I'm going to kill them! response:	It's okay.
context: Where is Shizuku?!\Shizuku!\Bastards!\What did you do to her?!\Forget it. Let's go.\I can't let this slide!\I'm going to kill them!\It's okay. response:	Stop it...
context: Shizuku!\Bastards!\What did you do to her?!\Forget it. Let's go.\I can't let this slide!\I'm going to kill them!\It's okay.\Stop it... response:	Shut up!
context: Bastards!\What did you do to her?!\Forget it. Let's go.\I can't let this slide!\I'm going to kill them!\It's okay.\Stop it...\Shut up! response:	W-Wait!
context: What did you do to her?!\Forget it. Let's go.\I can't let this slide!\I'm going to kill them!\It's okay.\Stop it...\Shut up!\W-Wait! response:	Are you okay?
context: Forget it. Let's go.\I can't let this slide!\I'm going to kill them!\It's okay.\Stop it...\Shut up!\W-Wait!\Are you okay? response:	I've...
context: I can't let this slide!\I'm going to kill them!\It's okay.\Stop it...\Shut up!\W-Wait!\Are you okay?\I've... response:	had enough.
context: I'm going to kill them!\It's okay.\Stop it...\Shut up!\W-Wait!\Are you okay?\I've...\had enough. response:	We're finished.
context: It's okay.\Stop it...\Shut up!\W-Wait!\Are you okay?\I've...\had enough.\We're finished. response:	I'm sick of your friendship games.
context: Stop it...\Shut up!\W-Wait!\Are you okay?\I've...\had enough.\We're finished.\I'm sick of your friendship games. response:	Just disappear.
context: Shut up!\W-Wait!\Are you okay?\I've...\had enough.\We're finished.\I'm sick of your friendship games.\Just disappear. response:	Maybe you thought
context: W-Wait!\Are you okay?\I've...\had enough.\We're finished.\I'm sick of your friendship games.\Just disappear.\Maybe you thought response:	I could provide you with the connection you always wanted,
context: Are you okay?\I've...\had enough.\We're finished.\I'm sick of your friendship games.\Just disappear.\Maybe you thought\I could provide you with the connection you always wanted, response:	but I can't give you that,
context: I've...\had enough.\We're finished.\I'm sick of your friendship games.\Just disappear.\Maybe you thought\I could provide you with the connection you always wanted,\but I can't give you that, response:	because I think it's a waste of time.
context: had enough.\We're finished.\I'm sick of your friendship games.\Just disappear.\Maybe you thought\I could provide you with the connection you always wanted,\but I can't give you that,\because I think it's a waste of time. response:	So that's how it is...
context: We're finished.\I'm sick of your friendship games.\Just disappear.\Maybe you thought\I could provide you with the connection you always wanted,\but I can't give you that,\because I think it's a waste of time.\So that's how it is... response:	Midterms 1st Period - Modern Japanese 2nd Period - English 3rd Period - Math
context: I'm sick of your friendship games.\Just disappear.\Maybe you thought\I could provide you with the connection you always wanted,\but I can't give you that,\because I think it's a waste of time.\So that's how it is...\Midterms 1st Period - Modern Japanese 2nd Period - English 3rd Period - Math response:	Midterm Grades - First Year 1st Mizutani Shizuku 2nd Sawada Riku 3rd Kasano Masamune
context: Just disappear.\Maybe you thought\I could provide you with the connection you always wanted,\but I can't give you that,\because I think it's a waste of time.\So that's how it is...\Midterms 1st Period - Modern Japanese 2nd Period - English 3rd Period - Math\Midterm Grades - First Year 1st Mizutani Shizuku 2nd Sawada Riku 3rd Kasano Masamune response:	Yes!
context: Maybe you thought\I could provide you with the connection you always wanted,\but I can't give you that,\because I think it's a waste of time.\So that's how it is...\Midterms 1st Period - Modern Japanese 2nd Period - English 3rd Period - Math\Midterm Grades - First Year 1st Mizutani Shizuku 2nd Sawada Riku 3rd Kasano Masamune\Yes! response:	Yes.
context: I could provide you with the connection you always wanted,\but I can't give you that,\because I think it's a waste of time.\So that's how it is...\Midterms 1st Period - Modern Japanese 2nd Period - English 3rd Period - Math\Midterm Grades - First Year 1st Mizutani Shizuku 2nd Sawada Riku 3rd Kasano Masamune\Yes!\Yes. response:	I don't understand...
context: but I can't give you that,\because I think it's a waste of time.\So that's how it is...\Midterms 1st Period - Modern Japanese 2nd Period - English 3rd Period - Math\Midterm Grades - First Year 1st Mizutani Shizuku 2nd Sawada Riku 3rd Kasano Masamune\Yes!\Yes.\I don't understand... response:	I came in first.
context: because I think it's a waste of time.\So that's how it is...\Midterms 1st Period - Modern Japanese 2nd Period - English 3rd Period - Math\Midterm Grades - First Year 1st Mizutani Shizuku 2nd Sawada Riku 3rd Kasano Masamune\Yes!\Yes.\I don't understand...\I came in first. response:	I should be happy.
context: So that's how it is...\Midterms 1st Period - Modern Japanese 2nd Period - English 3rd Period - Math\Midterm Grades - First Year 1st Mizutani Shizuku 2nd Sawada Riku 3rd Kasano Masamune\Yes!\Yes.\I don't understand...\I came in first.\I should be happy. response:	Man...
context: Midterms 1st Period - Modern Japanese 2nd Period - English 3rd Period - Math\Midterm Grades - First Year 1st Mizutani Shizuku 2nd Sawada Riku 3rd Kasano Masamune\Yes!\Yes.\I don't understand...\I came in first.\I should be happy.\Man... response:	If you're not being victimized, you're picking fights.
context: Midterm Grades - First Year 1st Mizutani Shizuku 2nd Sawada Riku 3rd Kasano Masamune\Yes!\Yes.\I don't understand...\I came in first.\I should be happy.\Man...\If you're not being victimized, you're picking fights. response:	Just look at what happened with those kids.
context: Yes!\Yes.\I don't understand...\I came in first.\I should be happy.\Man...\If you're not being victimized, you're picking fights.\Just look at what happened with those kids. response:	You should be honest with him!
context: Yes.\I don't understand...\I came in first.\I should be happy.\Man...\If you're not being victimized, you're picking fights.\Just look at what happened with those kids.\You should be honest with him! response:	First.
context: I don't understand...\I came in first.\I should be happy.\Man...\If you're not being victimized, you're picking fights.\Just look at what happened with those kids.\You should be honest with him!\First. response:	Huh? What's your point?
context: I came in first.\I should be happy.\Man...\If you're not being victimized, you're picking fights.\Just look at what happened with those kids.\You should be honest with him!\First.\Huh? What's your point? response:	You hate me so much that you wanted to rub it in my face?
context: I should be happy.\Man...\If you're not being victimized, you're picking fights.\Just look at what happened with those kids.\You should be honest with him!\First.\Huh? What's your point?\You hate me so much that you wanted to rub it in my face? response:	I don't hate you.
context: Man...\If you're not being victimized, you're picking fights.\Just look at what happened with those kids.\You should be honest with him!\First.\Huh? What's your point?\You hate me so much that you wanted to rub it in my face?\I don't hate you. response:	I don't hate you, Haru.
context: If you're not being victimized, you're picking fights.\Just look at what happened with those kids.\You should be honest with him!\First.\Huh? What's your point?\You hate me so much that you wanted to rub it in my face?\I don't hate you.\I don't hate you, Haru. response:	Y-You don't need to cry!
context: Just look at what happened with those kids.\You should be honest with him!\First.\Huh? What's your point?\You hate me so much that you wanted to rub it in my face?\I don't hate you.\I don't hate you, Haru.\Y-You don't need to cry! response:	No.
context: You should be honest with him!\First.\Huh? What's your point?\You hate me so much that you wanted to rub it in my face?\I don't hate you.\I don't hate you, Haru.\Y-You don't need to cry!\No. response:	I was so happy.
context: First.\Huh? What's your point?\You hate me so much that you wanted to rub it in my face?\I don't hate you.\I don't hate you, Haru.\Y-You don't need to cry!\No.\I was so happy. response:	In that moment,
context: Huh? What's your point?\You hate me so much that you wanted to rub it in my face?\I don't hate you.\I don't hate you, Haru.\Y-You don't need to cry!\No.\I was so happy.\In that moment, response:	I could feel my heart move.
context: You hate me so much that you wanted to rub it in my face?\I don't hate you.\I don't hate you, Haru.\Y-You don't need to cry!\No.\I was so happy.\In that moment,\I could feel my heart move. response:	Thank you for coming to save me.
context: I don't hate you.\I don't hate you, Haru.\Y-You don't need to cry!\No.\I was so happy.\In that moment,\I could feel my heart move.\Thank you for coming to save me. response:	You made me happy.
context: I don't hate you, Haru.\Y-You don't need to cry!\No.\I was so happy.\In that moment,\I could feel my heart move.\Thank you for coming to save me.\You made me happy. response:	After that...
context: Y-You don't need to cry!\No.\I was so happy.\In that moment,\I could feel my heart move.\Thank you for coming to save me.\You made me happy.\After that... response:	The general consensus is that Yoshida Haru
context: No.\I was so happy.\In that moment,\I could feel my heart move.\Thank you for coming to save me.\You made me happy.\After that...\The general consensus is that Yoshida Haru response:	has calmed down.
context: I was so happy.\In that moment,\I could feel my heart move.\Thank you for coming to save me.\You made me happy.\After that...\The general consensus is that Yoshida Haru\has calmed down. response:	You're quiet today.
context: In that moment,\I could feel my heart move.\Thank you for coming to save me.\You made me happy.\After that...\The general consensus is that Yoshida Haru\has calmed down.\You're quiet today. response:	Yep, you bet.
context: I could feel my heart move.\Thank you for coming to save me.\You made me happy.\After that...\The general consensus is that Yoshida Haru\has calmed down.\You're quiet today.\Yep, you bet. response:	Because you care
context: Thank you for coming to save me.\You made me happy.\After that...\The general consensus is that Yoshida Haru\has calmed down.\You're quiet today.\Yep, you bet.\Because you care response:	about studying a lot, for some reason, right?
context: You made me happy.\After that...\The general consensus is that Yoshida Haru\has calmed down.\You're quiet today.\Yep, you bet.\Because you care\about studying a lot, for some reason, right? response:	If it's something you care about,
context: After that...\The general consensus is that Yoshida Haru\has calmed down.\You're quiet today.\Yep, you bet.\Because you care\about studying a lot, for some reason, right?\If it's something you care about, response:	it's something I care about.
context: The general consensus is that Yoshida Haru\has calmed down.\You're quiet today.\Yep, you bet.\Because you care\about studying a lot, for some reason, right?\If it's something you care about,\it's something I care about. response:	I see.
context: has calmed down.\You're quiet today.\Yep, you bet.\Because you care\about studying a lot, for some reason, right?\If it's something you care about,\it's something I care about.\I see. response:	So that's what it means to treat someone with care.
context: You're quiet today.\Yep, you bet.\Because you care\about studying a lot, for some reason, right?\If it's something you care about,\it's something I care about.\I see.\So that's what it means to treat someone with care. response:	Which means...
