context: It is the turn of the 20th century. response:	The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,
context: Your defection was all an act to lure us out of hiding.\This is Headquarters.\The target has vanished! They're asking for reinforcements.\What?!\Give me that!\What happened?\Uh, well, we took our eyes off of them for a second, and...\You fools! response:	Leave someone to keep watch and go find them!
context: This is Headquarters.\The target has vanished! They're asking for reinforcements.\What?!\Give me that!\What happened?\Uh, well, we took our eyes off of them for a second, and...\You fools!\Leave someone to keep watch and go find them! response:	Don't shoot!
context: The target has vanished! They're asking for reinforcements.\What?!\Give me that!\What happened?\Uh, well, we took our eyes off of them for a second, and...\You fools!\Leave someone to keep watch and go find them!\Don't shoot! response:	You serve Kimble.
context: What?!\Give me that!\What happened?\Uh, well, we took our eyes off of them for a second, and...\You fools!\Leave someone to keep watch and go find them!\Don't shoot!\You serve Kimble. response:	I have business with your employer.
context: Give me that!\What happened?\Uh, well, we took our eyes off of them for a second, and...\You fools!\Leave someone to keep watch and go find them!\Don't shoot!\You serve Kimble.\I have business with your employer. response:	I request an audience.
context: What happened?\Uh, well, we took our eyes off of them for a second, and...\You fools!\Leave someone to keep watch and go find them!\Don't shoot!\You serve Kimble.\I have business with your employer.\I request an audience. response:	What the hell is going on here?
context: Uh, well, we took our eyes off of them for a second, and...\You fools!\Leave someone to keep watch and go find them!\Don't shoot!\You serve Kimble.\I have business with your employer.\I request an audience.\What the hell is going on here? response:	We received a report from A, and made a change of plans.
context: You fools!\Leave someone to keep watch and go find them!\Don't shoot!\You serve Kimble.\I have business with your employer.\I request an audience.\What the hell is going on here?\We received a report from A, and made a change of plans. response:	We have mounted an attack against Normandy's ambush.
context: Leave someone to keep watch and go find them!\Don't shoot!\You serve Kimble.\I have business with your employer.\I request an audience.\What the hell is going on here?\We received a report from A, and made a change of plans.\We have mounted an attack against Normandy's ambush. response:	I guess that's the end of the Duke's hounds.
context: Don't shoot!\You serve Kimble.\I have business with your employer.\I request an audience.\What the hell is going on here?\We received a report from A, and made a change of plans.\We have mounted an attack against Normandy's ambush.\I guess that's the end of the Duke's hounds. response:	It always bothered me. Why didn't you say from the start that you would only defect with your sister?
context: You serve Kimble.\I have business with your employer.\I request an audience.\What the hell is going on here?\We received a report from A, and made a change of plans.\We have mounted an attack against Normandy's ambush.\I guess that's the end of the Duke's hounds.\It always bothered me. Why didn't you say from the start that you would only defect with your sister? response:	But then I saw Amy, and it made sense.
context: I have business with your employer.\I request an audience.\What the hell is going on here?\We received a report from A, and made a change of plans.\We have mounted an attack against Normandy's ambush.\I guess that's the end of the Duke's hounds.\It always bothered me. Why didn't you say from the start that you would only defect with your sister?\But then I saw Amy, and it made sense. response:	She had the feet of a ballet dancer.
context: I request an audience.\What the hell is going on here?\We received a report from A, and made a change of plans.\We have mounted an attack against Normandy's ambush.\I guess that's the end of the Duke's hounds.\It always bothered me. Why didn't you say from the start that you would only defect with your sister?\But then I saw Amy, and it made sense.\She had the feet of a ballet dancer. response:	Feet don't get like that without a lot of practice.
context: What the hell is going on here?\We received a report from A, and made a change of plans.\We have mounted an attack against Normandy's ambush.\I guess that's the end of the Duke's hounds.\It always bothered me. Why didn't you say from the start that you would only defect with your sister?\But then I saw Amy, and it made sense.\She had the feet of a ballet dancer.\Feet don't get like that without a lot of practice. response:	I remembered that when I met you, you dropped your bag.
context: We received a report from A, and made a change of plans.\We have mounted an attack against Normandy's ambush.\I guess that's the end of the Duke's hounds.\It always bothered me. Why didn't you say from the start that you would only defect with your sister?\But then I saw Amy, and it made sense.\She had the feet of a ballet dancer.\Feet don't get like that without a lot of practice.\I remembered that when I met you, you dropped your bag. response:	and I saw an acceptance letter from the Royal Ballet fall out.
context: We have mounted an attack against Normandy's ambush.\I guess that's the end of the Duke's hounds.\It always bothered me. Why didn't you say from the start that you would only defect with your sister?\But then I saw Amy, and it made sense.\She had the feet of a ballet dancer.\Feet don't get like that without a lot of practice.\I remembered that when I met you, you dropped your bag.\and I saw an acceptance letter from the Royal Ballet fall out. response:	That's when I connected the dots.
context: I guess that's the end of the Duke's hounds.\It always bothered me. Why didn't you say from the start that you would only defect with your sister?\But then I saw Amy, and it made sense.\She had the feet of a ballet dancer.\Feet don't get like that without a lot of practice.\I remembered that when I met you, you dropped your bag.\and I saw an acceptance letter from the Royal Ballet fall out.\That's when I connected the dots. response:	You weren't going to make your sister defect.
context: It always bothered me. Why didn't you say from the start that you would only defect with your sister?\But then I saw Amy, and it made sense.\She had the feet of a ballet dancer.\Feet don't get like that without a lot of practice.\I remembered that when I met you, you dropped your bag.\and I saw an acceptance letter from the Royal Ballet fall out.\That's when I connected the dots.\You weren't going to make your sister defect. response:	You! Go look outside!
context: But then I saw Amy, and it made sense.\She had the feet of a ballet dancer.\Feet don't get like that without a lot of practice.\I remembered that when I met you, you dropped your bag.\and I saw an acceptance letter from the Royal Ballet fall out.\That's when I connected the dots.\You weren't going to make your sister defect.\You! Go look outside! response:	You!
context: She had the feet of a ballet dancer.\Feet don't get like that without a lot of practice.\I remembered that when I met you, you dropped your bag.\and I saw an acceptance letter from the Royal Ballet fall out.\That's when I connected the dots.\You weren't going to make your sister defect.\You! Go look outside!\You! response:	How did you get in here?
context: Feet don't get like that without a lot of practice.\I remembered that when I met you, you dropped your bag.\and I saw an acceptance letter from the Royal Ballet fall out.\That's when I connected the dots.\You weren't going to make your sister defect.\You! Go look outside!\You!\How did you get in here? response:	Public Security Minister Kimble, I presume?
context: I remembered that when I met you, you dropped your bag.\and I saw an acceptance letter from the Royal Ballet fall out.\That's when I connected the dots.\You weren't going to make your sister defect.\You! Go look outside!\You!\How did you get in here?\Public Security Minister Kimble, I presume? response:	Our boss has some questions for you.
context: and I saw an acceptance letter from the Royal Ballet fall out.\That's when I connected the dots.\You weren't going to make your sister defect.\You! Go look outside!\You!\How did you get in here?\Public Security Minister Kimble, I presume?\Our boss has some questions for you. response:	We're all done here.
context: That's when I connected the dots.\You weren't going to make your sister defect.\You! Go look outside!\You!\How did you get in here?\Public Security Minister Kimble, I presume?\Our boss has some questions for you.\We're all done here. response:	Understood.
context: You weren't going to make your sister defect.\You! Go look outside!\You!\How did you get in here?\Public Security Minister Kimble, I presume?\Our boss has some questions for you.\We're all done here.\Understood. response:	Nice work, everyone.
context: You! Go look outside!\You!\How did you get in here?\Public Security Minister Kimble, I presume?\Our boss has some questions for you.\We're all done here.\Understood.\Nice work, everyone. response:	Well, we'd better head back, too.
context: You!\How did you get in here?\Public Security Minister Kimble, I presume?\Our boss has some questions for you.\We're all done here.\Understood.\Nice work, everyone.\Well, we'd better head back, too. response:	This is our last stop.
context: How did you get in here?\Public Security Minister Kimble, I presume?\Our boss has some questions for you.\We're all done here.\Understood.\Nice work, everyone.\Well, we'd better head back, too.\This is our last stop. response:	That gun's not loaded.
context: Public Security Minister Kimble, I presume?\Our boss has some questions for you.\We're all done here.\Understood.\Nice work, everyone.\Well, we'd better head back, too.\This is our last stop.\That gun's not loaded. response:	You're not cut out for spy work.
context: Our boss has some questions for you.\We're all done here.\Understood.\Nice work, everyone.\Well, we'd better head back, too.\This is our last stop.\That gun's not loaded.\You're not cut out for spy work. response:	Now I can't defect OR go back to my laboratory.
context: We're all done here.\Understood.\Nice work, everyone.\Well, we'd better head back, too.\This is our last stop.\That gun's not loaded.\You're not cut out for spy work.\Now I can't defect OR go back to my laboratory. response:	And your sister will never be cured.
context: Understood.\Nice work, everyone.\Well, we'd better head back, too.\This is our last stop.\That gun's not loaded.\You're not cut out for spy work.\Now I can't defect OR go back to my laboratory.\And your sister will never be cured. response:	On the Black Lizard Planet,
context: Nice work, everyone.\Well, we'd better head back, too.\This is our last stop.\That gun's not loaded.\You're not cut out for spy work.\Now I can't defect OR go back to my laboratory.\And your sister will never be cured.\On the Black Lizard Planet, response:	we get someone's signature before we kill them.
context: Well, we'd better head back, too.\This is our last stop.\That gun's not loaded.\You're not cut out for spy work.\Now I can't defect OR go back to my laboratory.\And your sister will never be cured.\On the Black Lizard Planet,\we get someone's signature before we kill them. response:	I'd expect as much from someone who watched her family's murder.
context: This is our last stop.\That gun's not loaded.\You're not cut out for spy work.\Now I can't defect OR go back to my laboratory.\And your sister will never be cured.\On the Black Lizard Planet,\we get someone's signature before we kill them.\I'd expect as much from someone who watched her family's murder. response:	That was just another lie to get you off your guard.
context: That gun's not loaded.\You're not cut out for spy work.\Now I can't defect OR go back to my laboratory.\And your sister will never be cured.\On the Black Lizard Planet,\we get someone's signature before we kill them.\I'd expect as much from someone who watched her family's murder.\That was just another lie to get you off your guard. response:	Then was it a lie that your omelets tasted so good?
context: You're not cut out for spy work.\Now I can't defect OR go back to my laboratory.\And your sister will never be cured.\On the Black Lizard Planet,\we get someone's signature before we kill them.\I'd expect as much from someone who watched her family's murder.\That was just another lie to get you off your guard.\Then was it a lie that your omelets tasted so good? response:	A lie, yes.
context: Now I can't defect OR go back to my laboratory.\And your sister will never be cured.\On the Black Lizard Planet,\we get someone's signature before we kill them.\I'd expect as much from someone who watched her family's murder.\That was just another lie to get you off your guard.\Then was it a lie that your omelets tasted so good?\A lie, yes. response:	I bought them.
context: And your sister will never be cured.\On the Black Lizard Planet,\we get someone's signature before we kill them.\I'd expect as much from someone who watched her family's murder.\That was just another lie to get you off your guard.\Then was it a lie that your omelets tasted so good?\A lie, yes.\I bought them. response:	And that the stars were so beautiful?
context: On the Black Lizard Planet,\we get someone's signature before we kill them.\I'd expect as much from someone who watched her family's murder.\That was just another lie to get you off your guard.\Then was it a lie that your omelets tasted so good?\A lie, yes.\I bought them.\And that the stars were so beautiful? response:	Probably a lie.
context: we get someone's signature before we kill them.\I'd expect as much from someone who watched her family's murder.\That was just another lie to get you off your guard.\Then was it a lie that your omelets tasted so good?\A lie, yes.\I bought them.\And that the stars were so beautiful?\Probably a lie. response:	Are you going to kill me?
context: I'd expect as much from someone who watched her family's murder.\That was just another lie to get you off your guard.\Then was it a lie that your omelets tasted so good?\A lie, yes.\I bought them.\And that the stars were so beautiful?\Probably a lie.\Are you going to kill me? response:	No.
context: That was just another lie to get you off your guard.\Then was it a lie that your omelets tasted so good?\A lie, yes.\I bought them.\And that the stars were so beautiful?\Probably a lie.\Are you going to kill me?\No. response:	No.
context: Then was it a lie that your omelets tasted so good?\A lie, yes.\I bought them.\And that the stars were so beautiful?\Probably a lie.\Are you going to kill me?\No.\No. response:	No.
context: A lie, yes.\I bought them.\And that the stars were so beautiful?\Probably a lie.\Are you going to kill me?\No.\No.\No. response:	No.
context: I bought them.\And that the stars were so beautiful?\Probably a lie.\Are you going to kill me?\No.\No.\No.\No. response:	It says they found Eric's body in the Thames.
context: And that the stars were so beautiful?\Probably a lie.\Are you going to kill me?\No.\No.\No.\No.\It says they found Eric's body in the Thames. response:	Why did it take an entire week?
context: Probably a lie.\Are you going to kill me?\No.\No.\No.\No.\It says they found Eric's body in the Thames.\Why did it take an entire week? response:	Because if you die immediately after signing up, the insurance company won't pay.
context: Are you going to kill me?\No.\No.\No.\No.\It says they found Eric's body in the Thames.\Why did it take an entire week?\Because if you die immediately after signing up, the insurance company won't pay. response:	You're very well-informed, Your Highness.
context: No.\No.\No.\No.\It says they found Eric's body in the Thames.\Why did it take an entire week?\Because if you die immediately after signing up, the insurance company won't pay.\You're very well-informed, Your Highness. response:	You're so kind, Ange.
context: No.\No.\No.\It says they found Eric's body in the Thames.\Why did it take an entire week?\Because if you die immediately after signing up, the insurance company won't pay.\You're very well-informed, Your Highness.\You're so kind, Ange. response:	No.
context: No.\No.\It says they found Eric's body in the Thames.\Why did it take an entire week?\Because if you die immediately after signing up, the insurance company won't pay.\You're very well-informed, Your Highness.\You're so kind, Ange.\No. response:	I'm not kind.
context: No.\It says they found Eric's body in the Thames.\Why did it take an entire week?\Because if you die immediately after signing up, the insurance company won't pay.\You're very well-informed, Your Highness.\You're so kind, Ange.\No.\I'm not kind. response:	Liar.
