context: I've been tall ever since I was young. response:	When we line up for morning assembly, I'm always at the end.
context: Ahh! We did it again.\Oh, where's Suzuki-kun?\I don't know. He's been gone for a while now.\Suzuki-kun?\He went somewhere when I met up with everyone.\She left me all alone and ran off to play with someone else.\I've lost interest.\Oh, he's back. response:	Suzuki-kun!
context: Oh, where's Suzuki-kun?\I don't know. He's been gone for a while now.\Suzuki-kun?\He went somewhere when I met up with everyone.\She left me all alone and ran off to play with someone else.\I've lost interest.\Oh, he's back.\Suzuki-kun! response:	Where did you go?
context: I don't know. He's been gone for a while now.\Suzuki-kun?\He went somewhere when I met up with everyone.\She left me all alone and ran off to play with someone else.\I've lost interest.\Oh, he's back.\Suzuki-kun!\Where did you go? response:	I was a bit thirsty, so I went to get some juice.
context: Suzuki-kun?\He went somewhere when I met up with everyone.\She left me all alone and ran off to play with someone else.\I've lost interest.\Oh, he's back.\Suzuki-kun!\Where did you go?\I was a bit thirsty, so I went to get some juice. response:	I bought enough for everyone.
context: He went somewhere when I met up with everyone.\She left me all alone and ran off to play with someone else.\I've lost interest.\Oh, he's back.\Suzuki-kun!\Where did you go?\I was a bit thirsty, so I went to get some juice.\I bought enough for everyone. response:	You sure are thoughtful, Suzuki-kun.
context: She left me all alone and ran off to play with someone else.\I've lost interest.\Oh, he's back.\Suzuki-kun!\Where did you go?\I was a bit thirsty, so I went to get some juice.\I bought enough for everyone.\You sure are thoughtful, Suzuki-kun. response:	Here, is this okay?
context: I've lost interest.\Oh, he's back.\Suzuki-kun!\Where did you go?\I was a bit thirsty, so I went to get some juice.\I bought enough for everyone.\You sure are thoughtful, Suzuki-kun.\Here, is this okay? response:	Yeah, thanks.
context: Oh, he's back.\Suzuki-kun!\Where did you go?\I was a bit thirsty, so I went to get some juice.\I bought enough for everyone.\You sure are thoughtful, Suzuki-kun.\Here, is this okay?\Yeah, thanks. response:	I got a warm drink for you, Tanaka-san.
context: Suzuki-kun!\Where did you go?\I was a bit thirsty, so I went to get some juice.\I bought enough for everyone.\You sure are thoughtful, Suzuki-kun.\Here, is this okay?\Yeah, thanks.\I got a warm drink for you, Tanaka-san. response:	For me?
context: Where did you go?\I was a bit thirsty, so I went to get some juice.\I bought enough for everyone.\You sure are thoughtful, Suzuki-kun.\Here, is this okay?\Yeah, thanks.\I got a warm drink for you, Tanaka-san.\For me? response:	I thought you seemed cold.
context: I was a bit thirsty, so I went to get some juice.\I bought enough for everyone.\You sure are thoughtful, Suzuki-kun.\Here, is this okay?\Yeah, thanks.\I got a warm drink for you, Tanaka-san.\For me?\I thought you seemed cold. response:	Thank you.
context: I bought enough for everyone.\You sure are thoughtful, Suzuki-kun.\Here, is this okay?\Yeah, thanks.\I got a warm drink for you, Tanaka-san.\For me?\I thought you seemed cold.\Thank you. response:	Cold.
context: You sure are thoughtful, Suzuki-kun.\Here, is this okay?\Yeah, thanks.\I got a warm drink for you, Tanaka-san.\For me?\I thought you seemed cold.\Thank you.\Cold. response:	Sorry. Should I have gotten you a warm drink too?
context: Here, is this okay?\Yeah, thanks.\I got a warm drink for you, Tanaka-san.\For me?\I thought you seemed cold.\Thank you.\Cold.\Sorry. Should I have gotten you a warm drink too? response:	No, this is fine.
context: Yeah, thanks.\I got a warm drink for you, Tanaka-san.\For me?\I thought you seemed cold.\Thank you.\Cold.\Sorry. Should I have gotten you a warm drink too?\No, this is fine. response:	You went on that a lot of times, huh?
context: I got a warm drink for you, Tanaka-san.\For me?\I thought you seemed cold.\Thank you.\Cold.\Sorry. Should I have gotten you a warm drink too?\No, this is fine.\You went on that a lot of times, huh? response:	It's the best!
context: For me?\I thought you seemed cold.\Thank you.\Cold.\Sorry. Should I have gotten you a warm drink too?\No, this is fine.\You went on that a lot of times, huh?\It's the best! response:	It was super fun.
context: I thought you seemed cold.\Thank you.\Cold.\Sorry. Should I have gotten you a warm drink too?\No, this is fine.\You went on that a lot of times, huh?\It's the best!\It was super fun. response:	Isn't it scary?
context: Thank you.\Cold.\Sorry. Should I have gotten you a warm drink too?\No, this is fine.\You went on that a lot of times, huh?\It's the best!\It was super fun.\Isn't it scary? response:	It's not scary at all.
context: Cold.\Sorry. Should I have gotten you a warm drink too?\No, this is fine.\You went on that a lot of times, huh?\It's the best!\It was super fun.\Isn't it scary?\It's not scary at all. response:	Really?
context: Sorry. Should I have gotten you a warm drink too?\No, this is fine.\You went on that a lot of times, huh?\It's the best!\It was super fun.\Isn't it scary?\It's not scary at all.\Really? response:	Well then, I'll give it a try.
context: No, this is fine.\You went on that a lot of times, huh?\It's the best!\It was super fun.\Isn't it scary?\It's not scary at all.\Really?\Well then, I'll give it a try. response:	Yeah! Go! Go!
context: You went on that a lot of times, huh?\It's the best!\It was super fun.\Isn't it scary?\It's not scary at all.\Really?\Well then, I'll give it a try.\Yeah! Go! Go! response:	I can talk with him normally now. This is nice.
context: It's the best!\It was super fun.\Isn't it scary?\It's not scary at all.\Really?\Well then, I'll give it a try.\Yeah! Go! Go!\I can talk with him normally now. This is nice. response:	You sure got tanned.
context: It was super fun.\Isn't it scary?\It's not scary at all.\Really?\Well then, I'll give it a try.\Yeah! Go! Go!\I can talk with him normally now. This is nice.\You sure got tanned. response:	Amazing, right? I tan really quickly.
context: Isn't it scary?\It's not scary at all.\Really?\Well then, I'll give it a try.\Yeah! Go! Go!\I can talk with him normally now. This is nice.\You sure got tanned.\Amazing, right? I tan really quickly. response:	Chiharu-chan doesn't seem to dislike guys anymore, either.
context: It's not scary at all.\Really?\Well then, I'll give it a try.\Yeah! Go! Go!\I can talk with him normally now. This is nice.\You sure got tanned.\Amazing, right? I tan really quickly.\Chiharu-chan doesn't seem to dislike guys anymore, either. response:	That guy really is amazing.
context: Really?\Well then, I'll give it a try.\Yeah! Go! Go!\I can talk with him normally now. This is nice.\You sure got tanned.\Amazing, right? I tan really quickly.\Chiharu-chan doesn't seem to dislike guys anymore, either.\That guy really is amazing. response:	Bye bye.
context: Well then, I'll give it a try.\Yeah! Go! Go!\I can talk with him normally now. This is nice.\You sure got tanned.\Amazing, right? I tan really quickly.\Chiharu-chan doesn't seem to dislike guys anymore, either.\That guy really is amazing.\Bye bye. response:	See ya later!
context: Yeah! Go! Go!\I can talk with him normally now. This is nice.\You sure got tanned.\Amazing, right? I tan really quickly.\Chiharu-chan doesn't seem to dislike guys anymore, either.\That guy really is amazing.\Bye bye.\See ya later! response:	Bye bye.
context: I can talk with him normally now. This is nice.\You sure got tanned.\Amazing, right? I tan really quickly.\Chiharu-chan doesn't seem to dislike guys anymore, either.\That guy really is amazing.\Bye bye.\See ya later!\Bye bye. response:	Is this okay?
context: You sure got tanned.\Amazing, right? I tan really quickly.\Chiharu-chan doesn't seem to dislike guys anymore, either.\That guy really is amazing.\Bye bye.\See ya later!\Bye bye.\Is this okay? response:	What?
context: Amazing, right? I tan really quickly.\Chiharu-chan doesn't seem to dislike guys anymore, either.\That guy really is amazing.\Bye bye.\See ya later!\Bye bye.\Is this okay?\What? response:	Chiharu-chan and Suzuki-kun's houses are in the same direction.
context: Chiharu-chan doesn't seem to dislike guys anymore, either.\That guy really is amazing.\Bye bye.\See ya later!\Bye bye.\Is this okay?\What?\Chiharu-chan and Suzuki-kun's houses are in the same direction. response:	What are you worried about?
context: That guy really is amazing.\Bye bye.\See ya later!\Bye bye.\Is this okay?\What?\Chiharu-chan and Suzuki-kun's houses are in the same direction.\What are you worried about? response:	Suzuki is a nice guy.
context: Bye bye.\See ya later!\Bye bye.\Is this okay?\What?\Chiharu-chan and Suzuki-kun's houses are in the same direction.\What are you worried about?\Suzuki is a nice guy. response:	And Chiharu doesn't dislike guys anymore.
context: See ya later!\Bye bye.\Is this okay?\What?\Chiharu-chan and Suzuki-kun's houses are in the same direction.\What are you worried about?\Suzuki is a nice guy.\And Chiharu doesn't dislike guys anymore. response:	She and I were pretty lovey-dovey, too.
context: Bye bye.\Is this okay?\What?\Chiharu-chan and Suzuki-kun's houses are in the same direction.\What are you worried about?\Suzuki is a nice guy.\And Chiharu doesn't dislike guys anymore.\She and I were pretty lovey-dovey, too. response:	Yeah, you guys seemed to be getting along well.
context: Is this okay?\What?\Chiharu-chan and Suzuki-kun's houses are in the same direction.\What are you worried about?\Suzuki is a nice guy.\And Chiharu doesn't dislike guys anymore.\She and I were pretty lovey-dovey, too.\Yeah, you guys seemed to be getting along well. response:	You had a pretty good mood going on too, Koizuni.
context: What?\Chiharu-chan and Suzuki-kun's houses are in the same direction.\What are you worried about?\Suzuki is a nice guy.\And Chiharu doesn't dislike guys anymore.\She and I were pretty lovey-dovey, too.\Yeah, you guys seemed to be getting along well.\You had a pretty good mood going on too, Koizuni. response:	Thank you.
context: Chiharu-chan and Suzuki-kun's houses are in the same direction.\What are you worried about?\Suzuki is a nice guy.\And Chiharu doesn't dislike guys anymore.\She and I were pretty lovey-dovey, too.\Yeah, you guys seemed to be getting along well.\You had a pretty good mood going on too, Koizuni.\Thank you. response:	This is all thanks to you, Otani.
context: What are you worried about?\Suzuki is a nice guy.\And Chiharu doesn't dislike guys anymore.\She and I were pretty lovey-dovey, too.\Yeah, you guys seemed to be getting along well.\You had a pretty good mood going on too, Koizuni.\Thank you.\This is all thanks to you, Otani. response:	Right! Let's work hard again tomorrow, okay?
context: Suzuki is a nice guy.\And Chiharu doesn't dislike guys anymore.\She and I were pretty lovey-dovey, too.\Yeah, you guys seemed to be getting along well.\You had a pretty good mood going on too, Koizuni.\Thank you.\This is all thanks to you, Otani.\Right! Let's work hard again tomorrow, okay? response:	Yeah! Let's reach for happiness together!
context: And Chiharu doesn't dislike guys anymore.\She and I were pretty lovey-dovey, too.\Yeah, you guys seemed to be getting along well.\You had a pretty good mood going on too, Koizuni.\Thank you.\This is all thanks to you, Otani.\Right! Let's work hard again tomorrow, okay?\Yeah! Let's reach for happiness together! response:	Even though I said that,
context: She and I were pretty lovey-dovey, too.\Yeah, you guys seemed to be getting along well.\You had a pretty good mood going on too, Koizuni.\Thank you.\This is all thanks to you, Otani.\Right! Let's work hard again tomorrow, okay?\Yeah! Let's reach for happiness together!\Even though I said that, response:	Suzuki-kun sure is a nice guy, huh?
context: Yeah, you guys seemed to be getting along well.\You had a pretty good mood going on too, Koizuni.\Thank you.\This is all thanks to you, Otani.\Right! Let's work hard again tomorrow, okay?\Yeah! Let's reach for happiness together!\Even though I said that,\Suzuki-kun sure is a nice guy, huh? response:	Don't tell me you've fallen for him?!
context: You had a pretty good mood going on too, Koizuni.\Thank you.\This is all thanks to you, Otani.\Right! Let's work hard again tomorrow, okay?\Yeah! Let's reach for happiness together!\Even though I said that,\Suzuki-kun sure is a nice guy, huh?\Don't tell me you've fallen for him?! response:	N-No, no. That's not it.
context: Thank you.\This is all thanks to you, Otani.\Right! Let's work hard again tomorrow, okay?\Yeah! Let's reach for happiness together!\Even though I said that,\Suzuki-kun sure is a nice guy, huh?\Don't tell me you've fallen for him?!\N-No, no. That's not it. response:	That's not it.
context: This is all thanks to you, Otani.\Right! Let's work hard again tomorrow, okay?\Yeah! Let's reach for happiness together!\Even though I said that,\Suzuki-kun sure is a nice guy, huh?\Don't tell me you've fallen for him?!\N-No, no. That's not it.\That's not it. response:	He is a nice guy.
context: Right! Let's work hard again tomorrow, okay?\Yeah! Let's reach for happiness together!\Even though I said that,\Suzuki-kun sure is a nice guy, huh?\Don't tell me you've fallen for him?!\N-No, no. That's not it.\That's not it.\He is a nice guy. response:	Yeah, that's right.
context: Yeah! Let's reach for happiness together!\Even though I said that,\Suzuki-kun sure is a nice guy, huh?\Don't tell me you've fallen for him?!\N-No, no. That's not it.\That's not it.\He is a nice guy.\Yeah, that's right. response:	He walked me home yesterday.
context: Even though I said that,\Suzuki-kun sure is a nice guy, huh?\Don't tell me you've fallen for him?!\N-No, no. That's not it.\That's not it.\He is a nice guy.\Yeah, that's right.\He walked me home yesterday. response:	He walked you home?
context: Suzuki-kun sure is a nice guy, huh?\Don't tell me you've fallen for him?!\N-No, no. That's not it.\That's not it.\He is a nice guy.\Yeah, that's right.\He walked me home yesterday.\He walked you home? response:	I always thought that guys were brutish and scary.
context: Don't tell me you've fallen for him?!\N-No, no. That's not it.\That's not it.\He is a nice guy.\Yeah, that's right.\He walked me home yesterday.\He walked you home?\I always thought that guys were brutish and scary. response:	But Suzuki-kun is very kind. He's not scary at all.
context: N-No, no. That's not it.\That's not it.\He is a nice guy.\Yeah, that's right.\He walked me home yesterday.\He walked you home?\I always thought that guys were brutish and scary.\But Suzuki-kun is very kind. He's not scary at all. response:	Oh, is that so.
context: That's not it.\He is a nice guy.\Yeah, that's right.\He walked me home yesterday.\He walked you home?\I always thought that guys were brutish and scary.\But Suzuki-kun is very kind. He's not scary at all.\Oh, is that so. response:	But I thought you were getting along well with Otani yesterday, Chiharu-chan.
context: He is a nice guy.\Yeah, that's right.\He walked me home yesterday.\He walked you home?\I always thought that guys were brutish and scary.\But Suzuki-kun is very kind. He's not scary at all.\Oh, is that so.\But I thought you were getting along well with Otani yesterday, Chiharu-chan. response:	Well said, Nobu-chan!
context: Yeah, that's right.\He walked me home yesterday.\He walked you home?\I always thought that guys were brutish and scary.\But Suzuki-kun is very kind. He's not scary at all.\Oh, is that so.\But I thought you were getting along well with Otani yesterday, Chiharu-chan.\Well said, Nobu-chan! response:	So, what about Otani?
context: He walked me home yesterday.\He walked you home?\I always thought that guys were brutish and scary.\But Suzuki-kun is very kind. He's not scary at all.\Oh, is that so.\But I thought you were getting along well with Otani yesterday, Chiharu-chan.\Well said, Nobu-chan!\So, what about Otani? response:	Oh, Otani-kun?
context: He walked you home?\I always thought that guys were brutish and scary.\But Suzuki-kun is very kind. He's not scary at all.\Oh, is that so.\But I thought you were getting along well with Otani yesterday, Chiharu-chan.\Well said, Nobu-chan!\So, what about Otani?\Oh, Otani-kun? response:	He's really easy to talk to.
context: I always thought that guys were brutish and scary.\But Suzuki-kun is very kind. He's not scary at all.\Oh, is that so.\But I thought you were getting along well with Otani yesterday, Chiharu-chan.\Well said, Nobu-chan!\So, what about Otani?\Oh, Otani-kun?\He's really easy to talk to. response:	Isn't he?
context: But Suzuki-kun is very kind. He's not scary at all.\Oh, is that so.\But I thought you were getting along well with Otani yesterday, Chiharu-chan.\Well said, Nobu-chan!\So, what about Otani?\Oh, Otani-kun?\He's really easy to talk to.\Isn't he? response:	It's probably because he's short, so he doesn't seem like a guy at all.
context: Oh, is that so.\But I thought you were getting along well with Otani yesterday, Chiharu-chan.\Well said, Nobu-chan!\So, what about Otani?\Oh, Otani-kun?\He's really easy to talk to.\Isn't he?\It's probably because he's short, so he doesn't seem like a guy at all. response:	Fire!
context: But I thought you were getting along well with Otani yesterday, Chiharu-chan.\Well said, Nobu-chan!\So, what about Otani?\Oh, Otani-kun?\He's really easy to talk to.\Isn't he?\It's probably because he's short, so he doesn't seem like a guy at all.\Fire! response:	Otani... You're sunk.
context: Well said, Nobu-chan!\So, what about Otani?\Oh, Otani-kun?\He's really easy to talk to.\Isn't he?\It's probably because he's short, so he doesn't seem like a guy at all.\Fire!\Otani... You're sunk. response:	Man that was harsh. If Otani had heard that, what would he
context: So, what about Otani?\Oh, Otani-kun?\He's really easy to talk to.\Isn't he?\It's probably because he's short, so he doesn't seem like a guy at all.\Fire!\Otani... You're sunk.\Man that was harsh. If Otani had heard that, what would he response:	Good morning.
context: Oh, Otani-kun?\He's really easy to talk to.\Isn't he?\It's probably because he's short, so he doesn't seem like a guy at all.\Fire!\Otani... You're sunk.\Man that was harsh. If Otani had heard that, what would he\Good morning. response:	O-Otani
context: He's really easy to talk to.\Isn't he?\It's probably because he's short, so he doesn't seem like a guy at all.\Fire!\Otani... You're sunk.\Man that was harsh. If Otani had heard that, what would he\Good morning.\O-Otani response:	Good morning.
context: Isn't he?\It's probably because he's short, so he doesn't seem like a guy at all.\Fire!\Otani... You're sunk.\Man that was harsh. If Otani had heard that, what would he\Good morning.\O-Otani\Good morning. response:	Good morning, Otani-kun.
context: It's probably because he's short, so he doesn't seem like a guy at all.\Fire!\Otani... You're sunk.\Man that was harsh. If Otani had heard that, what would he\Good morning.\O-Otani\Good morning.\Good morning, Otani-kun. response:	Good morning to you, Tanaka-san.
context: Fire!\Otani... You're sunk.\Man that was harsh. If Otani had heard that, what would he\Good morning.\O-Otani\Good morning.\Good morning, Otani-kun.\Good morning to you, Tanaka-san. response:	Yesterday sure was fun.
context: Otani... You're sunk.\Man that was harsh. If Otani had heard that, what would he\Good morning.\O-Otani\Good morning.\Good morning, Otani-kun.\Good morning to you, Tanaka-san.\Yesterday sure was fun. response:	So stiff.
context: Man that was harsh. If Otani had heard that, what would he\Good morning.\O-Otani\Good morning.\Good morning, Otani-kun.\Good morning to you, Tanaka-san.\Yesterday sure was fun.\So stiff. response:	You sure are funny, Otani-kun.
context: Good morning.\O-Otani\Good morning.\Good morning, Otani-kun.\Good morning to you, Tanaka-san.\Yesterday sure was fun.\So stiff.\You sure are funny, Otani-kun. response:	Otani?
context: O-Otani\Good morning.\Good morning, Otani-kun.\Good morning to you, Tanaka-san.\Yesterday sure was fun.\So stiff.\You sure are funny, Otani-kun.\Otani? response:	I am not Otani.
context: Good morning.\Good morning, Otani-kun.\Good morning to you, Tanaka-san.\Yesterday sure was fun.\So stiff.\You sure are funny, Otani-kun.\Otani?\I am not Otani. response:	I am small, therefore I am Kotani.
context: Good morning, Otani-kun.\Good morning to you, Tanaka-san.\Yesterday sure was fun.\So stiff.\You sure are funny, Otani-kun.\Otani?\I am not Otani.\I am small, therefore I am Kotani. response:	Pull yourself together, Otani!
context: Good morning to you, Tanaka-san.\Yesterday sure was fun.\So stiff.\You sure are funny, Otani-kun.\Otani?\I am not Otani.\I am small, therefore I am Kotani.\Pull yourself together, Otani! response:	It's Kotani.
context: Yesterday sure was fun.\So stiff.\You sure are funny, Otani-kun.\Otani?\I am not Otani.\I am small, therefore I am Kotani.\Pull yourself together, Otani!\It's Kotani. response:	Please tell the teacher that Kotani will be absent today.
context: So stiff.\You sure are funny, Otani-kun.\Otani?\I am not Otani.\I am small, therefore I am Kotani.\Pull yourself together, Otani!\It's Kotani.\Please tell the teacher that Kotani will be absent today. response:	Ko...
context: You sure are funny, Otani-kun.\Otani?\I am not Otani.\I am small, therefore I am Kotani.\Pull yourself together, Otani!\It's Kotani.\Please tell the teacher that Kotani will be absent today.\Ko... response:	Kotani!
context: Otani?\I am not Otani.\I am small, therefore I am Kotani.\Pull yourself together, Otani!\It's Kotani.\Please tell the teacher that Kotani will be absent today.\Ko...\Kotani! response:	It's Otani.
context: I am not Otani.\I am small, therefore I am Kotani.\Pull yourself together, Otani!\It's Kotani.\Please tell the teacher that Kotani will be absent today.\Ko...\Kotani!\It's Otani. response:	Otani.
context: I am small, therefore I am Kotani.\Pull yourself together, Otani!\It's Kotani.\Please tell the teacher that Kotani will be absent today.\Ko...\Kotani!\It's Otani.\Otani. response:	I told you to call me Kotani, didn't I?
context: Pull yourself together, Otani!\It's Kotani.\Please tell the teacher that Kotani will be absent today.\Ko...\Kotani!\It's Otani.\Otani.\I told you to call me Kotani, didn't I? response:	Ah.. Um...
context: It's Kotani.\Please tell the teacher that Kotani will be absent today.\Ko...\Kotani!\It's Otani.\Otani.\I told you to call me Kotani, didn't I?\Ah.. Um... response:	What?
context: Please tell the teacher that Kotani will be absent today.\Ko...\Kotani!\It's Otani.\Otani.\I told you to call me Kotani, didn't I?\Ah.. Um...\What? response:	Are you trying to comfort me?
context: Ko...\Kotani!\It's Otani.\Otani.\I told you to call me Kotani, didn't I?\Ah.. Um...\What?\Are you trying to comfort me? response:	Huh?!
context: Kotani!\It's Otani.\Otani.\I told you to call me Kotani, didn't I?\Ah.. Um...\What?\Are you trying to comfort me?\Huh?! response:	Hey, I was just worried about you. What's with that sarcastic attitude?
context: It's Otani.\Otani.\I told you to call me Kotani, didn't I?\Ah.. Um...\What?\Are you trying to comfort me?\Huh?!\Hey, I was just worried about you. What's with that sarcastic attitude? response:	Who's being sarcastic?!
context: Otani.\I told you to call me Kotani, didn't I?\Ah.. Um...\What?\Are you trying to comfort me?\Huh?!\Hey, I was just worried about you. What's with that sarcastic attitude?\Who's being sarcastic?! response:	So what if you got called small?
context: I told you to call me Kotani, didn't I?\Ah.. Um...\What?\Are you trying to comfort me?\Huh?!\Hey, I was just worried about you. What's with that sarcastic attitude?\Who's being sarcastic?!\So what if you got called small? response:	You're a man, aren't you?
context: Ah.. Um...\What?\Are you trying to comfort me?\Huh?!\Hey, I was just worried about you. What's with that sarcastic attitude?\Who's being sarcastic?!\So what if you got called small?\You're a man, aren't you? response:	I'm small so I don't count as a guy
context: What?\Are you trying to comfort me?\Huh?!\Hey, I was just worried about you. What's with that sarcastic attitude?\Who's being sarcastic?!\So what if you got called small?\You're a man, aren't you?\I'm small so I don't count as a guy response:	You idiot!
context: Are you trying to comfort me?\Huh?!\Hey, I was just worried about you. What's with that sarcastic attitude?\Who's being sarcastic?!\So what if you got called small?\You're a man, aren't you?\I'm small so I don't count as a guy\You idiot! response:	Big or small, as long as you have a *** you're a man, right?!
context: Huh?!\Hey, I was just worried about you. What's with that sarcastic attitude?\Who's being sarcastic?!\So what if you got called small?\You're a man, aren't you?\I'm small so I don't count as a guy\You idiot!\Big or small, as long as you have a *** you're a man, right?! response:	Girls shouldn't say that word.
context: Hey, I was just worried about you. What's with that sarcastic attitude?\Who's being sarcastic?!\So what if you got called small?\You're a man, aren't you?\I'm small so I don't count as a guy\You idiot!\Big or small, as long as you have a *** you're a man, right?!\Girls shouldn't say that word. response:	Shut up!
context: Who's being sarcastic?!\So what if you got called small?\You're a man, aren't you?\I'm small so I don't count as a guy\You idiot!\Big or small, as long as you have a *** you're a man, right?!\Girls shouldn't say that word.\Shut up! response:	Haven't you always been called small?
context: So what if you got called small?\You're a man, aren't you?\I'm small so I don't count as a guy\You idiot!\Big or small, as long as you have a *** you're a man, right?!\Girls shouldn't say that word.\Shut up!\Haven't you always been called small? response:	Acting like this just because a girl said it is pathetic!
context: You're a man, aren't you?\I'm small so I don't count as a guy\You idiot!\Big or small, as long as you have a *** you're a man, right?!\Girls shouldn't say that word.\Shut up!\Haven't you always been called small?\Acting like this just because a girl said it is pathetic! response:	If you get so depressed over stuff like this, no one will ever like you, dumbass!
context: I'm small so I don't count as a guy\You idiot!\Big or small, as long as you have a *** you're a man, right?!\Girls shouldn't say that word.\Shut up!\Haven't you always been called small?\Acting like this just because a girl said it is pathetic!\If you get so depressed over stuff like this, no one will ever like you, dumbass! response:	Geez..
context: You idiot!\Big or small, as long as you have a *** you're a man, right?!\Girls shouldn't say that word.\Shut up!\Haven't you always been called small?\Acting like this just because a girl said it is pathetic!\If you get so depressed over stuff like this, no one will ever like you, dumbass!\Geez.. response:	Ha. That idiot's punch really woke me up.
context: Big or small, as long as you have a *** you're a man, right?!\Girls shouldn't say that word.\Shut up!\Haven't you always been called small?\Acting like this just because a girl said it is pathetic!\If you get so depressed over stuff like this, no one will ever like you, dumbass!\Geez..\Ha. That idiot's punch really woke me up. response:	Sorry.
context: Girls shouldn't say that word.\Shut up!\Haven't you always been called small?\Acting like this just because a girl said it is pathetic!\If you get so depressed over stuff like this, no one will ever like you, dumbass!\Geez..\Ha. That idiot's punch really woke me up.\Sorry. response:	Suzuki-kun?!
context: Shut up!\Haven't you always been called small?\Acting like this just because a girl said it is pathetic!\If you get so depressed over stuff like this, no one will ever like you, dumbass!\Geez..\Ha. That idiot's punch really woke me up.\Sorry.\Suzuki-kun?! response:	Good morning.
context: Haven't you always been called small?\Acting like this just because a girl said it is pathetic!\If you get so depressed over stuff like this, no one will ever like you, dumbass!\Geez..\Ha. That idiot's punch really woke me up.\Sorry.\Suzuki-kun?!\Good morning. response:	Good morning?
context: Acting like this just because a girl said it is pathetic!\If you get so depressed over stuff like this, no one will ever like you, dumbass!\Geez..\Ha. That idiot's punch really woke me up.\Sorry.\Suzuki-kun?!\Good morning.\Good morning? response:	Class has already started.
context: If you get so depressed over stuff like this, no one will ever like you, dumbass!\Geez..\Ha. That idiot's punch really woke me up.\Sorry.\Suzuki-kun?!\Good morning.\Good morning?\Class has already started. response:	Yeah, I'm late.
context: Geez..\Ha. That idiot's punch really woke me up.\Sorry.\Suzuki-kun?!\Good morning.\Good morning?\Class has already started.\Yeah, I'm late. response:	I'm not good at getting up early in summer.
context: Ha. That idiot's punch really woke me up.\Sorry.\Suzuki-kun?!\Good morning.\Good morning?\Class has already started.\Yeah, I'm late.\I'm not good at getting up early in summer. response:	Is that so?
context: Sorry.\Suzuki-kun?!\Good morning.\Good morning?\Class has already started.\Yeah, I'm late.\I'm not good at getting up early in summer.\Is that so? response:	Well, I don't get up early in the winter either.
context: Suzuki-kun?!\Good morning.\Good morning?\Class has already started.\Yeah, I'm late.\I'm not good at getting up early in summer.\Is that so?\Well, I don't get up early in the winter either. response:	Is that so?
context: Good morning.\Good morning?\Class has already started.\Yeah, I'm late.\I'm not good at getting up early in summer.\Is that so?\Well, I don't get up early in the winter either.\Is that so? response:	Thanks for yesterday. I had fun.
context: Good morning?\Class has already started.\Yeah, I'm late.\I'm not good at getting up early in summer.\Is that so?\Well, I don't get up early in the winter either.\Is that so?\Thanks for yesterday. I had fun. response:	Oh yeah. Me, too.
context: Class has already started.\Yeah, I'm late.\I'm not good at getting up early in summer.\Is that so?\Well, I don't get up early in the winter either.\Is that so?\Thanks for yesterday. I had fun.\Oh yeah. Me, too. response:	Um...
context: Yeah, I'm late.\I'm not good at getting up early in summer.\Is that so?\Well, I don't get up early in the winter either.\Is that so?\Thanks for yesterday. I had fun.\Oh yeah. Me, too.\Um... response:	What is it?
context: I'm not good at getting up early in summer.\Is that so?\Well, I don't get up early in the winter either.\Is that so?\Thanks for yesterday. I had fun.\Oh yeah. Me, too.\Um...\What is it? response:	Am I scary?
context: Is that so?\Well, I don't get up early in the winter either.\Is that so?\Thanks for yesterday. I had fun.\Oh yeah. Me, too.\Um...\What is it?\Am I scary? response:	Huh?
context: Well, I don't get up early in the winter either.\Is that so?\Thanks for yesterday. I had fun.\Oh yeah. Me, too.\Um...\What is it?\Am I scary?\Huh? response:	Yesterday, Tanaka-san seemed scared of me.
context: Is that so?\Thanks for yesterday. I had fun.\Oh yeah. Me, too.\Um...\What is it?\Am I scary?\Huh?\Yesterday, Tanaka-san seemed scared of me. response:	Suzuki-kun sure is a nice guy.
context: Thanks for yesterday. I had fun.\Oh yeah. Me, too.\Um...\What is it?\Am I scary?\Huh?\Yesterday, Tanaka-san seemed scared of me.\Suzuki-kun sure is a nice guy. response:	Uh... she's just not comfortable around guys. It's not your fault, Suzuki-kun.
context: Oh yeah. Me, too.\Um...\What is it?\Am I scary?\Huh?\Yesterday, Tanaka-san seemed scared of me.\Suzuki-kun sure is a nice guy.\Uh... she's just not comfortable around guys. It's not your fault, Suzuki-kun. response:	I-Is that so.
context: Um...\What is it?\Am I scary?\Huh?\Yesterday, Tanaka-san seemed scared of me.\Suzuki-kun sure is a nice guy.\Uh... she's just not comfortable around guys. It's not your fault, Suzuki-kun.\I-Is that so. response:	Yeah.
context: What is it?\Am I scary?\Huh?\Yesterday, Tanaka-san seemed scared of me.\Suzuki-kun sure is a nice guy.\Uh... she's just not comfortable around guys. It's not your fault, Suzuki-kun.\I-Is that so.\Yeah. response:	But...
context: Am I scary?\Huh?\Yesterday, Tanaka-san seemed scared of me.\Suzuki-kun sure is a nice guy.\Uh... she's just not comfortable around guys. It's not your fault, Suzuki-kun.\I-Is that so.\Yeah.\But... response:	Eh?!
context: Huh?\Yesterday, Tanaka-san seemed scared of me.\Suzuki-kun sure is a nice guy.\Uh... she's just not comfortable around guys. It's not your fault, Suzuki-kun.\I-Is that so.\Yeah.\But...\Eh?! response:	It's probably because we're almost the same height,
