context: Damn it, Mob. response:	You could've let me know if you had other plans.
context: If you wanna make it big, you can't die here!\This is your chance to be freed from the shackles of this black organization.\Hurry up. Leave this to my student and go!\You're such a...\Thank you!\Run away!\Actually, I'll be going, too...\The ceiling! response:	You're not getting away.
context: This is your chance to be freed from the shackles of this black organization.\Hurry up. Leave this to my student and go!\You're such a...\Thank you!\Run away!\Actually, I'll be going, too...\The ceiling!\You're not getting away. response:	Whoa, what is going on?
context: Hurry up. Leave this to my student and go!\You're such a...\Thank you!\Run away!\Actually, I'll be going, too...\The ceiling!\You're not getting away.\Whoa, what is going on? response:	There are seriously espers other than Mob?
context: You're such a...\Thank you!\Run away!\Actually, I'll be going, too...\The ceiling!\You're not getting away.\Whoa, what is going on?\There are seriously espers other than Mob? response:	I'm no match for that power...
context: Thank you!\Run away!\Actually, I'll be going, too...\The ceiling!\You're not getting away.\Whoa, what is going on?\There are seriously espers other than Mob?\I'm no match for that power... response:	Actually, they're pretty difficult for me, too.
context: Run away!\Actually, I'll be going, too...\The ceiling!\You're not getting away.\Whoa, what is going on?\There are seriously espers other than Mob?\I'm no match for that power...\Actually, they're pretty difficult for me, too. response:	Which means...
context: Actually, I'll be going, too...\The ceiling!\You're not getting away.\Whoa, what is going on?\There are seriously espers other than Mob?\I'm no match for that power...\Actually, they're pretty difficult for me, too.\Which means... response:	Kageyama-kun!
context: The ceiling!\You're not getting away.\Whoa, what is going on?\There are seriously espers other than Mob?\I'm no match for that power...\Actually, they're pretty difficult for me, too.\Which means...\Kageyama-kun! response:	It's up to you.
context: You're not getting away.\Whoa, what is going on?\There are seriously espers other than Mob?\I'm no match for that power...\Actually, they're pretty difficult for me, too.\Which means...\Kageyama-kun!\It's up to you. response:	Yes. He's strong.
context: Whoa, what is going on?\There are seriously espers other than Mob?\I'm no match for that power...\Actually, they're pretty difficult for me, too.\Which means...\Kageyama-kun!\It's up to you.\Yes. He's strong. response:	I'll take care of him.
context: There are seriously espers other than Mob?\I'm no match for that power...\Actually, they're pretty difficult for me, too.\Which means...\Kageyama-kun!\It's up to you.\Yes. He's strong.\I'll take care of him. response:	I'm pretty sure he's never met anyone stronger than him yet.
context: I'm no match for that power...\Actually, they're pretty difficult for me, too.\Which means...\Kageyama-kun!\It's up to you.\Yes. He's strong.\I'll take care of him.\I'm pretty sure he's never met anyone stronger than him yet. response:	Sadly, you won't get anywhere close to me...
context: Actually, they're pretty difficult for me, too.\Which means...\Kageyama-kun!\It's up to you.\Yes. He's strong.\I'll take care of him.\I'm pretty sure he's never met anyone stronger than him yet.\Sadly, you won't get anywhere close to me... response:	And you'll be squished.
context: Which means...\Kageyama-kun!\It's up to you.\Yes. He's strong.\I'll take care of him.\I'm pretty sure he's never met anyone stronger than him yet.\Sadly, you won't get anywhere close to me...\And you'll be squished. response:	Nii-san!
context: Kageyama-kun!\It's up to you.\Yes. He's strong.\I'll take care of him.\I'm pretty sure he's never met anyone stronger than him yet.\Sadly, you won't get anywhere close to me...\And you'll be squished.\Nii-san! response:	Gravity control?!
context: It's up to you.\Yes. He's strong.\I'll take care of him.\I'm pretty sure he's never met anyone stronger than him yet.\Sadly, you won't get anywhere close to me...\And you'll be squished.\Nii-san!\Gravity control?! response:	Mob, what are you doing?
context: Yes. He's strong.\I'll take care of him.\I'm pretty sure he's never met anyone stronger than him yet.\Sadly, you won't get anywhere close to me...\And you'll be squished.\Nii-san!\Gravity control?!\Mob, what are you doing? response:	Master...
context: I'll take care of him.\I'm pretty sure he's never met anyone stronger than him yet.\Sadly, you won't get anywhere close to me...\And you'll be squished.\Nii-san!\Gravity control?!\Mob, what are you doing?\Master... response:	You're not bad, being able to resist my powers.
context: I'm pretty sure he's never met anyone stronger than him yet.\Sadly, you won't get anywhere close to me...\And you'll be squished.\Nii-san!\Gravity control?!\Mob, what are you doing?\Master...\You're not bad, being able to resist my powers. response:	Why don't we increase the gravity a bit?
context: Sadly, you won't get anywhere close to me...\And you'll be squished.\Nii-san!\Gravity control?!\Mob, what are you doing?\Master...\You're not bad, being able to resist my powers.\Why don't we increase the gravity a bit? response:	Anti-Esper Dropkick!
context: And you'll be squished.\Nii-san!\Gravity control?!\Mob, what are you doing?\Master...\You're not bad, being able to resist my powers.\Why don't we increase the gravity a bit?\Anti-Esper Dropkick! response:	Anti-Esper Dropkick
context: Nii-san!\Gravity control?!\Mob, what are you doing?\Master...\You're not bad, being able to resist my powers.\Why don't we increase the gravity a bit?\Anti-Esper Dropkick!\Anti-Esper Dropkick response:	This is one of Reigen's special moves,
context: Gravity control?!\Mob, what are you doing?\Master...\You're not bad, being able to resist my powers.\Why don't we increase the gravity a bit?\Anti-Esper Dropkick!\Anti-Esper Dropkick\This is one of Reigen's special moves, response:	where he dropkicks an esper as hard as he can.
context: Mob, what are you doing?\Master...\You're not bad, being able to resist my powers.\Why don't we increase the gravity a bit?\Anti-Esper Dropkick!\Anti-Esper Dropkick\This is one of Reigen's special moves,\where he dropkicks an esper as hard as he can. response:	Master...
context: Master...\You're not bad, being able to resist my powers.\Why don't we increase the gravity a bit?\Anti-Esper Dropkick!\Anti-Esper Dropkick\This is one of Reigen's special moves,\where he dropkicks an esper as hard as he can.\Master... response:	Mob.
context: You're not bad, being able to resist my powers.\Why don't we increase the gravity a bit?\Anti-Esper Dropkick!\Anti-Esper Dropkick\This is one of Reigen's special moves,\where he dropkicks an esper as hard as he can.\Master...\Mob. response:	Are you planning on fighting these guys with your psychic powers?
context: Why don't we increase the gravity a bit?\Anti-Esper Dropkick!\Anti-Esper Dropkick\This is one of Reigen's special moves,\where he dropkicks an esper as hard as he can.\Master...\Mob.\Are you planning on fighting these guys with your psychic powers? response:	Didn't I tell you that it's dangerous to use them against others?
context: Anti-Esper Dropkick!\Anti-Esper Dropkick\This is one of Reigen's special moves,\where he dropkicks an esper as hard as he can.\Master...\Mob.\Are you planning on fighting these guys with your psychic powers?\Didn't I tell you that it's dangerous to use them against others? response:	Are you going to break the rule?
context: Anti-Esper Dropkick\This is one of Reigen's special moves,\where he dropkicks an esper as hard as he can.\Master...\Mob.\Are you planning on fighting these guys with your psychic powers?\Didn't I tell you that it's dangerous to use them against others?\Are you going to break the rule? response:	He had a rule like that?
context: This is one of Reigen's special moves,\where he dropkicks an esper as hard as he can.\Master...\Mob.\Are you planning on fighting these guys with your psychic powers?\Didn't I tell you that it's dangerous to use them against others?\Are you going to break the rule?\He had a rule like that? response:	In order to save me, he had no choice!
context: where he dropkicks an esper as hard as he can.\Master...\Mob.\Are you planning on fighting these guys with your psychic powers?\Didn't I tell you that it's dangerous to use them against others?\Are you going to break the rule?\He had a rule like that?\In order to save me, he had no choice! response:	Mob...
context: Master...\Mob.\Are you planning on fighting these guys with your psychic powers?\Didn't I tell you that it's dangerous to use them against others?\Are you going to break the rule?\He had a rule like that?\In order to save me, he had no choice!\Mob... response:	You felt that cornered?
context: Mob.\Are you planning on fighting these guys with your psychic powers?\Didn't I tell you that it's dangerous to use them against others?\Are you going to break the rule?\He had a rule like that?\In order to save me, he had no choice!\Mob...\You felt that cornered? response:	It must have been rough.
context: Are you planning on fighting these guys with your psychic powers?\Didn't I tell you that it's dangerous to use them against others?\Are you going to break the rule?\He had a rule like that?\In order to save me, he had no choice!\Mob...\You felt that cornered?\It must have been rough. response:	Confronting others is the hardest thing for him,
context: Didn't I tell you that it's dangerous to use them against others?\Are you going to break the rule?\He had a rule like that?\In order to save me, he had no choice!\Mob...\You felt that cornered?\It must have been rough.\Confronting others is the hardest thing for him, response:	especially confronting adults like you.
context: Are you going to break the rule?\He had a rule like that?\In order to save me, he had no choice!\Mob...\You felt that cornered?\It must have been rough.\Confronting others is the hardest thing for him,\especially confronting adults like you. response:	Watching you guys bully a kid who's so awkward and gets easily discouraged
context: He had a rule like that?\In order to save me, he had no choice!\Mob...\You felt that cornered?\It must have been rough.\Confronting others is the hardest thing for him,\especially confronting adults like you.\Watching you guys bully a kid who's so awkward and gets easily discouraged response:	definitely doesn't make me feel good.
context: In order to save me, he had no choice!\Mob...\You felt that cornered?\It must have been rough.\Confronting others is the hardest thing for him,\especially confronting adults like you.\Watching you guys bully a kid who's so awkward and gets easily discouraged\definitely doesn't make me feel good. response:	Stop stressing out my student!
context: Mob...\You felt that cornered?\It must have been rough.\Confronting others is the hardest thing for him,\especially confronting adults like you.\Watching you guys bully a kid who's so awkward and gets easily discouraged\definitely doesn't make me feel good.\Stop stressing out my student! response:	Then, are you going to fight instead?
context: You felt that cornered?\It must have been rough.\Confronting others is the hardest thing for him,\especially confronting adults like you.\Watching you guys bully a kid who's so awkward and gets easily discouraged\definitely doesn't make me feel good.\Stop stressing out my student!\Then, are you going to fight instead? response:	Guys, let me tell you something...
context: It must have been rough.\Confronting others is the hardest thing for him,\especially confronting adults like you.\Watching you guys bully a kid who's so awkward and gets easily discouraged\definitely doesn't make me feel good.\Stop stressing out my student!\Then, are you going to fight instead?\Guys, let me tell you something... response:	You're not supposed to harm others.
context: Confronting others is the hardest thing for him,\especially confronting adults like you.\Watching you guys bully a kid who's so awkward and gets easily discouraged\definitely doesn't make me feel good.\Stop stressing out my student!\Then, are you going to fight instead?\Guys, let me tell you something...\You're not supposed to harm others. response:	But dropkicks are okay?
context: especially confronting adults like you.\Watching you guys bully a kid who's so awkward and gets easily discouraged\definitely doesn't make me feel good.\Stop stressing out my student!\Then, are you going to fight instead?\Guys, let me tell you something...\You're not supposed to harm others.\But dropkicks are okay? response:	But if you're not going to listen, I'll fight you.
context: Watching you guys bully a kid who's so awkward and gets easily discouraged\definitely doesn't make me feel good.\Stop stressing out my student!\Then, are you going to fight instead?\Guys, let me tell you something...\You're not supposed to harm others.\But dropkicks are okay?\But if you're not going to listen, I'll fight you. response:	Due to my position as their temporary guardian,
context: definitely doesn't make me feel good.\Stop stressing out my student!\Then, are you going to fight instead?\Guys, let me tell you something...\You're not supposed to harm others.\But dropkicks are okay?\But if you're not going to listen, I'll fight you.\Due to my position as their temporary guardian, response:	I'm not going to let them fight.
context: Stop stressing out my student!\Then, are you going to fight instead?\Guys, let me tell you something...\You're not supposed to harm others.\But dropkicks are okay?\But if you're not going to listen, I'll fight you.\Due to my position as their temporary guardian,\I'm not going to let them fight. response:	I'll fight you, as peacefully as possible.
context: Then, are you going to fight instead?\Guys, let me tell you something...\You're not supposed to harm others.\But dropkicks are okay?\But if you're not going to listen, I'll fight you.\Due to my position as their temporary guardian,\I'm not going to let them fight.\I'll fight you, as peacefully as possible. response:	First, let's see what you've got.
context: Guys, let me tell you something...\You're not supposed to harm others.\But dropkicks are okay?\But if you're not going to listen, I'll fight you.\Due to my position as their temporary guardian,\I'm not going to let them fight.\I'll fight you, as peacefully as possible.\First, let's see what you've got. response:	I'll show you my hypnosis!
context: You're not supposed to harm others.\But dropkicks are okay?\But if you're not going to listen, I'll fight you.\Due to my position as their temporary guardian,\I'm not going to let them fight.\I'll fight you, as peacefully as possible.\First, let's see what you've got.\I'll show you my hypnosis! response:	Five Yen
context: But dropkicks are okay?\But if you're not going to listen, I'll fight you.\Due to my position as their temporary guardian,\I'm not going to let them fight.\I'll fight you, as peacefully as possible.\First, let's see what you've got.\I'll show you my hypnosis!\Five Yen response:	Look at this five yen coin.
context: But if you're not going to listen, I'll fight you.\Due to my position as their temporary guardian,\I'm not going to let them fight.\I'll fight you, as peacefully as possible.\First, let's see what you've got.\I'll show you my hypnosis!\Five Yen\Look at this five yen coin. response:	How foolish.
context: Due to my position as their temporary guardian,\I'm not going to let them fight.\I'll fight you, as peacefully as possible.\First, let's see what you've got.\I'll show you my hypnosis!\Five Yen\Look at this five yen coin.\How foolish. response:	Something's wrong. I don't sense anything from him.
context: I'm not going to let them fight.\I'll fight you, as peacefully as possible.\First, let's see what you've got.\I'll show you my hypnosis!\Five Yen\Look at this five yen coin.\How foolish.\Something's wrong. I don't sense anything from him. response:	Kageyama-kun's master's powers...
context: I'll fight you, as peacefully as possible.\First, let's see what you've got.\I'll show you my hypnosis!\Five Yen\Look at this five yen coin.\How foolish.\Something's wrong. I don't sense anything from him.\Kageyama-kun's master's powers... response:	So he actually is an esper?
context: First, let's see what you've got.\I'll show you my hypnosis!\Five Yen\Look at this five yen coin.\How foolish.\Something's wrong. I don't sense anything from him.\Kageyama-kun's master's powers...\So he actually is an esper? response:	If this is a ruse, it's going to be dangerous.
context: I'll show you my hypnosis!\Five Yen\Look at this five yen coin.\How foolish.\Something's wrong. I don't sense anything from him.\Kageyama-kun's master's powers...\So he actually is an esper?\If this is a ruse, it's going to be dangerous. response:	While you're watching this...
context: Five Yen\Look at this five yen coin.\How foolish.\Something's wrong. I don't sense anything from him.\Kageyama-kun's master's powers...\So he actually is an esper?\If this is a ruse, it's going to be dangerous.\While you're watching this... response:	Hypnosis Punch!
context: Look at this five yen coin.\How foolish.\Something's wrong. I don't sense anything from him.\Kageyama-kun's master's powers...\So he actually is an esper?\If this is a ruse, it's going to be dangerous.\While you're watching this...\Hypnosis Punch! response:	Hypnosis Punch
context: How foolish.\Something's wrong. I don't sense anything from him.\Kageyama-kun's master's powers...\So he actually is an esper?\If this is a ruse, it's going to be dangerous.\While you're watching this...\Hypnosis Punch!\Hypnosis Punch response:	This is one of Reigen's special moves, where he suddenly punches his opponent.
context: Something's wrong. I don't sense anything from him.\Kageyama-kun's master's powers...\So he actually is an esper?\If this is a ruse, it's going to be dangerous.\While you're watching this...\Hypnosis Punch!\Hypnosis Punch\This is one of Reigen's special moves, where he suddenly punches his opponent. response:	He just hit him!
context: Kageyama-kun's master's powers...\So he actually is an esper?\If this is a ruse, it's going to be dangerous.\While you're watching this...\Hypnosis Punch!\Hypnosis Punch\This is one of Reigen's special moves, where he suddenly punches his opponent.\He just hit him! response:	Those weren't special powers at all.
context: So he actually is an esper?\If this is a ruse, it's going to be dangerous.\While you're watching this...\Hypnosis Punch!\Hypnosis Punch\This is one of Reigen's special moves, where he suddenly punches his opponent.\He just hit him!\Those weren't special powers at all. response:	You guys...
context: If this is a ruse, it's going to be dangerous.\While you're watching this...\Hypnosis Punch!\Hypnosis Punch\This is one of Reigen's special moves, where he suddenly punches his opponent.\He just hit him!\Those weren't special powers at all.\You guys... response:	Quit messing around!
context: While you're watching this...\Hypnosis Punch!\Hypnosis Punch\This is one of Reigen's special moves, where he suddenly punches his opponent.\He just hit him!\Those weren't special powers at all.\You guys...\Quit messing around! response:	What's up with that?
context: Hypnosis Punch!\Hypnosis Punch\This is one of Reigen's special moves, where he suddenly punches his opponent.\He just hit him!\Those weren't special powers at all.\You guys...\Quit messing around!\What's up with that? response:	That's a really sharp katana!
context: Hypnosis Punch\This is one of Reigen's special moves, where he suddenly punches his opponent.\He just hit him!\Those weren't special powers at all.\You guys...\Quit messing around!\What's up with that?\That's a really sharp katana! response:	Jugan.
context: This is one of Reigen's special moves, where he suddenly punches his opponent.\He just hit him!\Those weren't special powers at all.\You guys...\Quit messing around!\What's up with that?\That's a really sharp katana!\Jugan. response:	Jugan
context: He just hit him!\Those weren't special powers at all.\You guys...\Quit messing around!\What's up with that?\That's a really sharp katana!\Jugan.\Jugan response:	This is actually a toy sword made out of plastic,
context: Those weren't special powers at all.\You guys...\Quit messing around!\What's up with that?\That's a really sharp katana!\Jugan.\Jugan\This is actually a toy sword made out of plastic, response:	but after wearing it and cursing it over the years,
context: You guys...\Quit messing around!\What's up with that?\That's a really sharp katana!\Jugan.\Jugan\This is actually a toy sword made out of plastic,\but after wearing it and cursing it over the years, response:	it actually became powerful.
context: Quit messing around!\What's up with that?\That's a really sharp katana!\Jugan.\Jugan\This is actually a toy sword made out of plastic,\but after wearing it and cursing it over the years,\it actually became powerful. response:	Uh, hold on. Listen...
context: What's up with that?\That's a really sharp katana!\Jugan.\Jugan\This is actually a toy sword made out of plastic,\but after wearing it and cursing it over the years,\it actually became powerful.\Uh, hold on. Listen... response:	Come out, my little ones.
context: That's a really sharp katana!\Jugan.\Jugan\This is actually a toy sword made out of plastic,\but after wearing it and cursing it over the years,\it actually became powerful.\Uh, hold on. Listen...\Come out, my little ones. response:	Do you think you can handle my little evil spirits that I've nurtured?
context: Jugan.\Jugan\This is actually a toy sword made out of plastic,\but after wearing it and cursing it over the years,\it actually became powerful.\Uh, hold on. Listen...\Come out, my little ones.\Do you think you can handle my little evil spirits that I've nurtured? response:	No really, listen.
context: Jugan\This is actually a toy sword made out of plastic,\but after wearing it and cursing it over the years,\it actually became powerful.\Uh, hold on. Listen...\Come out, my little ones.\Do you think you can handle my little evil spirits that I've nurtured?\No really, listen. response:	Ethereal Bodies Technique.
context: This is actually a toy sword made out of plastic,\but after wearing it and cursing it over the years,\it actually became powerful.\Uh, hold on. Listen...\Come out, my little ones.\Do you think you can handle my little evil spirits that I've nurtured?\No really, listen.\Ethereal Bodies Technique. response:	Ethereal Bodies Technique
context: but after wearing it and cursing it over the years,\it actually became powerful.\Uh, hold on. Listen...\Come out, my little ones.\Do you think you can handle my little evil spirits that I've nurtured?\No really, listen.\Ethereal Bodies Technique.\Ethereal Bodies Technique response:	I can freely exit my physical body,
context: it actually became powerful.\Uh, hold on. Listen...\Come out, my little ones.\Do you think you can handle my little evil spirits that I've nurtured?\No really, listen.\Ethereal Bodies Technique.\Ethereal Bodies Technique\I can freely exit my physical body, response:	and I can even clone my ethereal form.
context: Uh, hold on. Listen...\Come out, my little ones.\Do you think you can handle my little evil spirits that I've nurtured?\No really, listen.\Ethereal Bodies Technique.\Ethereal Bodies Technique\I can freely exit my physical body,\and I can even clone my ethereal form. response:	Come on, you're dealing with children.
context: Come out, my little ones.\Do you think you can handle my little evil spirits that I've nurtured?\No really, listen.\Ethereal Bodies Technique.\Ethereal Bodies Technique\I can freely exit my physical body,\and I can even clone my ethereal form.\Come on, you're dealing with children. response:	Maybe I'll get a little angry.
context: Do you think you can handle my little evil spirits that I've nurtured?\No really, listen.\Ethereal Bodies Technique.\Ethereal Bodies Technique\I can freely exit my physical body,\and I can even clone my ethereal form.\Come on, you're dealing with children.\Maybe I'll get a little angry. response:	Black Orbs.
context: No really, listen.\Ethereal Bodies Technique.\Ethereal Bodies Technique\I can freely exit my physical body,\and I can even clone my ethereal form.\Come on, you're dealing with children.\Maybe I'll get a little angry.\Black Orbs. response:	Black Orbs
context: Ethereal Bodies Technique.\Ethereal Bodies Technique\I can freely exit my physical body,\and I can even clone my ethereal form.\Come on, you're dealing with children.\Maybe I'll get a little angry.\Black Orbs.\Black Orbs response:	Let the varying gravity from them rip you apart.
context: Ethereal Bodies Technique\I can freely exit my physical body,\and I can even clone my ethereal form.\Come on, you're dealing with children.\Maybe I'll get a little angry.\Black Orbs.\Black Orbs\Let the varying gravity from them rip you apart. response:	Reigen's plan backfired.
context: I can freely exit my physical body,\and I can even clone my ethereal form.\Come on, you're dealing with children.\Maybe I'll get a little angry.\Black Orbs.\Black Orbs\Let the varying gravity from them rip you apart.\Reigen's plan backfired. response:	I was going to try to reason with them while they were panicked from being hit,
context: and I can even clone my ethereal form.\Come on, you're dealing with children.\Maybe I'll get a little angry.\Black Orbs.\Black Orbs\Let the varying gravity from them rip you apart.\Reigen's plan backfired.\I was going to try to reason with them while they were panicked from being hit, response:	but I just pissed them off!
context: Come on, you're dealing with children.\Maybe I'll get a little angry.\Black Orbs.\Black Orbs\Let the varying gravity from them rip you apart.\Reigen's plan backfired.\I was going to try to reason with them while they were panicked from being hit,\but I just pissed them off! response:	I messed up!
context: Maybe I'll get a little angry.\Black Orbs.\Black Orbs\Let the varying gravity from them rip you apart.\Reigen's plan backfired.\I was going to try to reason with them while they were panicked from being hit,\but I just pissed them off!\I messed up! response:	Reigen was very confident in defeating others in arguments.
context: Black Orbs.\Black Orbs\Let the varying gravity from them rip you apart.\Reigen's plan backfired.\I was going to try to reason with them while they were panicked from being hit,\but I just pissed them off!\I messed up!\Reigen was very confident in defeating others in arguments. response:	He had never lost to anyone in an argument, no matter who they were.
context: Black Orbs\Let the varying gravity from them rip you apart.\Reigen's plan backfired.\I was going to try to reason with them while they were panicked from being hit,\but I just pissed them off!\I messed up!\Reigen was very confident in defeating others in arguments.\He had never lost to anyone in an argument, no matter who they were. response:	But that's only when I'm actually dealing with adults.
context: Let the varying gravity from them rip you apart.\Reigen's plan backfired.\I was going to try to reason with them while they were panicked from being hit,\but I just pissed them off!\I messed up!\Reigen was very confident in defeating others in arguments.\He had never lost to anyone in an argument, no matter who they were.\But that's only when I'm actually dealing with adults. response:	These brutes who are actually seriously attacking middle school kids...
context: Reigen's plan backfired.\I was going to try to reason with them while they were panicked from being hit,\but I just pissed them off!\I messed up!\Reigen was very confident in defeating others in arguments.\He had never lost to anyone in an argument, no matter who they were.\But that's only when I'm actually dealing with adults.\These brutes who are actually seriously attacking middle school kids... response:	These guys who are seriously talking about taking over the world...
context: I was going to try to reason with them while they were panicked from being hit,\but I just pissed them off!\I messed up!\Reigen was very confident in defeating others in arguments.\He had never lost to anyone in an argument, no matter who they were.\But that's only when I'm actually dealing with adults.\These brutes who are actually seriously attacking middle school kids...\These guys who are seriously talking about taking over the world... response:	are children who failed to grow up.
context: but I just pissed them off!\I messed up!\Reigen was very confident in defeating others in arguments.\He had never lost to anyone in an argument, no matter who they were.\But that's only when I'm actually dealing with adults.\These brutes who are actually seriously attacking middle school kids...\These guys who are seriously talking about taking over the world...\are children who failed to grow up. response:	How did they end up like this? The answer is simple...
context: I messed up!\Reigen was very confident in defeating others in arguments.\He had never lost to anyone in an argument, no matter who they were.\But that's only when I'm actually dealing with adults.\These brutes who are actually seriously attacking middle school kids...\These guys who are seriously talking about taking over the world...\are children who failed to grow up.\How did they end up like this? The answer is simple... response:	Mob, we're getting outta here!
context: Reigen was very confident in defeating others in arguments.\He had never lost to anyone in an argument, no matter who they were.\But that's only when I'm actually dealing with adults.\These brutes who are actually seriously attacking middle school kids...\These guys who are seriously talking about taking over the world...\are children who failed to grow up.\How did they end up like this? The answer is simple...\Mob, we're getting outta here! response:	Die!
context: He had never lost to anyone in an argument, no matter who they were.\But that's only when I'm actually dealing with adults.\These brutes who are actually seriously attacking middle school kids...\These guys who are seriously talking about taking over the world...\are children who failed to grow up.\How did they end up like this? The answer is simple...\Mob, we're getting outta here!\Die! response:	I'm being pulled in!
context: But that's only when I'm actually dealing with adults.\These brutes who are actually seriously attacking middle school kids...\These guys who are seriously talking about taking over the world...\are children who failed to grow up.\How did they end up like this? The answer is simple...\Mob, we're getting outta here!\Die!\I'm being pulled in! response:	Crap! Pull him back!
context: These brutes who are actually seriously attacking middle school kids...\These guys who are seriously talking about taking over the world...\are children who failed to grow up.\How did they end up like this? The answer is simple...\Mob, we're getting outta here!\Die!\I'm being pulled in!\Crap! Pull him back! response:	Master!
context: These guys who are seriously talking about taking over the world...\are children who failed to grow up.\How did they end up like this? The answer is simple...\Mob, we're getting outta here!\Die!\I'm being pulled in!\Crap! Pull him back!\Master! response:	Ow!
context: are children who failed to grow up.\How did they end up like this? The answer is simple...\Mob, we're getting outta here!\Die!\I'm being pulled in!\Crap! Pull him back!\Master!\Ow! response:	While I don't like the idea of being sucked into a black hole,
context: How did they end up like this? The answer is simple...\Mob, we're getting outta here!\Die!\I'm being pulled in!\Crap! Pull him back!\Master!\Ow!\While I don't like the idea of being sucked into a black hole, response:	don't rip my body apart by pulling too hard!
context: Mob, we're getting outta here!\Die!\I'm being pulled in!\Crap! Pull him back!\Master!\Ow!\While I don't like the idea of being sucked into a black hole,\don't rip my body apart by pulling too hard! response:	Maybe I went too far.
context: Die!\I'm being pulled in!\Crap! Pull him back!\Master!\Ow!\While I don't like the idea of being sucked into a black hole,\don't rip my body apart by pulling too hard!\Maybe I went too far. response:	Come on, now...
context: I'm being pulled in!\Crap! Pull him back!\Master!\Ow!\While I don't like the idea of being sucked into a black hole,\don't rip my body apart by pulling too hard!\Maybe I went too far.\Come on, now... response:	You can blow them away with psychic powers?
context: Crap! Pull him back!\Master!\Ow!\While I don't like the idea of being sucked into a black hole,\don't rip my body apart by pulling too hard!\Maybe I went too far.\Come on, now...\You can blow them away with psychic powers? response:	Give it a try.
context: Master!\Ow!\While I don't like the idea of being sucked into a black hole,\don't rip my body apart by pulling too hard!\Maybe I went too far.\Come on, now...\You can blow them away with psychic powers?\Give it a try. response:	Wha
context: Ow!\While I don't like the idea of being sucked into a black hole,\don't rip my body apart by pulling too hard!\Maybe I went too far.\Come on, now...\You can blow them away with psychic powers?\Give it a try.\Wha response:	Little Brother!
context: While I don't like the idea of being sucked into a black hole,\don't rip my body apart by pulling too hard!\Maybe I went too far.\Come on, now...\You can blow them away with psychic powers?\Give it a try.\Wha\Little Brother! response:	I'm surprised you were able to dodge that.
context: don't rip my body apart by pulling too hard!\Maybe I went too far.\Come on, now...\You can blow them away with psychic powers?\Give it a try.\Wha\Little Brother!\I'm surprised you were able to dodge that. response:	But...
context: Maybe I went too far.\Come on, now...\You can blow them away with psychic powers?\Give it a try.\Wha\Little Brother!\I'm surprised you were able to dodge that.\But... response:	You look better that way.
context: Come on, now...\You can blow them away with psychic powers?\Give it a try.\Wha\Little Brother!\I'm surprised you were able to dodge that.\But...\You look better that way. response:	Dang it... There are some weirdos back there.
context: You can blow them away with psychic powers?\Give it a try.\Wha\Little Brother!\I'm surprised you were able to dodge that.\But...\You look better that way.\Dang it... There are some weirdos back there. response:	If they were evil spirits, I'd be able to exorcise them...
context: Give it a try.\Wha\Little Brother!\I'm surprised you were able to dodge that.\But...\You look better that way.\Dang it... There are some weirdos back there.\If they were evil spirits, I'd be able to exorcise them... response:	Exorcise?
context: Wha\Little Brother!\I'm surprised you were able to dodge that.\But...\You look better that way.\Dang it... There are some weirdos back there.\If they were evil spirits, I'd be able to exorcise them...\Exorcise? response:	Just try it.
context: Little Brother!\I'm surprised you were able to dodge that.\But...\You look better that way.\Dang it... There are some weirdos back there.\If they were evil spirits, I'd be able to exorcise them...\Exorcise?\Just try it. response:	Huh?
context: I'm surprised you were able to dodge that.\But...\You look better that way.\Dang it... There are some weirdos back there.\If they were evil spirits, I'd be able to exorcise them...\Exorcise?\Just try it.\Huh? response:	I guess you can just exorcise them.
context: But...\You look better that way.\Dang it... There are some weirdos back there.\If they were evil spirits, I'd be able to exorcise them...\Exorcise?\Just try it.\Huh?\I guess you can just exorcise them. response:	Come out, my ultimate creation...
context: You look better that way.\Dang it... There are some weirdos back there.\If they were evil spirits, I'd be able to exorcise them...\Exorcise?\Just try it.\Huh?\I guess you can just exorcise them.\Come out, my ultimate creation... response:	Candy-chan!
context: Dang it... There are some weirdos back there.\If they were evil spirits, I'd be able to exorcise them...\Exorcise?\Just try it.\Huh?\I guess you can just exorcise them.\Come out, my ultimate creation...\Candy-chan! response:	You can wreak as much havoc as you'd like today!
context: If they were evil spirits, I'd be able to exorcise them...\Exorcise?\Just try it.\Huh?\I guess you can just exorcise them.\Come out, my ultimate creation...\Candy-chan!\You can wreak as much havoc as you'd like today! response:	We're getting out of here.
context: Exorcise?\Just try it.\Huh?\I guess you can just exorcise them.\Come out, my ultimate creation...\Candy-chan!\You can wreak as much havoc as you'd like today!\We're getting out of here. response:	Don't bother with them, Mob!
context: Just try it.\Huh?\I guess you can just exorcise them.\Come out, my ultimate creation...\Candy-chan!\You can wreak as much havoc as you'd like today!\We're getting out of here.\Don't bother with them, Mob! response:	Kageyama-kun, use all of your powers!
context: Huh?\I guess you can just exorcise them.\Come out, my ultimate creation...\Candy-chan!\You can wreak as much havoc as you'd like today!\We're getting out of here.\Don't bother with them, Mob!\Kageyama-kun, use all of your powers! response:	Just blow these guys away!
context: I guess you can just exorcise them.\Come out, my ultimate creation...\Candy-chan!\You can wreak as much havoc as you'd like today!\We're getting out of here.\Don't bother with them, Mob!\Kageyama-kun, use all of your powers!\Just blow these guys away! response:	Stop! Don't fight back!
