context: Interviews with Monster Girls response:	Demi-chans Want to Learn
context: Still, it's amazing you ranked fifth, Kyouko.\I was a little surprised. I didn't expect...\Sorry! That didn't come out right, did it?\No, I didn't take it that way at all.\Is it because your parents ordered you to study?\I don't really remember,\but I think my dad used to be like that.\He doesn't do that to me much anymore, though, response:	since I study because I like to.
context: I was a little surprised. I didn't expect...\Sorry! That didn't come out right, did it?\No, I didn't take it that way at all.\Is it because your parents ordered you to study?\I don't really remember,\but I think my dad used to be like that.\He doesn't do that to me much anymore, though,\since I study because I like to. response:	You study... because... you like to?
context: Sorry! That didn't come out right, did it?\No, I didn't take it that way at all.\Is it because your parents ordered you to study?\I don't really remember,\but I think my dad used to be like that.\He doesn't do that to me much anymore, though,\since I study because I like to.\You study... because... you like to? response:	Y-You're way too self-aware.
context: No, I didn't take it that way at all.\Is it because your parents ordered you to study?\I don't really remember,\but I think my dad used to be like that.\He doesn't do that to me much anymore, though,\since I study because I like to.\You study... because... you like to?\Y-You're way too self-aware. response:	N-Not really.
context: Is it because your parents ordered you to study?\I don't really remember,\but I think my dad used to be like that.\He doesn't do that to me much anymore, though,\since I study because I like to.\You study... because... you like to?\Y-You're way too self-aware.\N-Not really. response:	It's just, gaining as much as the effort I put in,
context: I don't really remember,\but I think my dad used to be like that.\He doesn't do that to me much anymore, though,\since I study because I like to.\You study... because... you like to?\Y-You're way too self-aware.\N-Not really.\It's just, gaining as much as the effort I put in, response:	and seeing it return as good grades...
context: but I think my dad used to be like that.\He doesn't do that to me much anymore, though,\since I study because I like to.\You study... because... you like to?\Y-You're way too self-aware.\N-Not really.\It's just, gaining as much as the effort I put in,\and seeing it return as good grades... response:	I think I just like that sort of thing.
context: He doesn't do that to me much anymore, though,\since I study because I like to.\You study... because... you like to?\Y-You're way too self-aware.\N-Not really.\It's just, gaining as much as the effort I put in,\and seeing it return as good grades...\I think I just like that sort of thing. response:	Hmm... So it's kinda like a game?
context: since I study because I like to.\You study... because... you like to?\Y-You're way too self-aware.\N-Not really.\It's just, gaining as much as the effort I put in,\and seeing it return as good grades...\I think I just like that sort of thing.\Hmm... So it's kinda like a game? response:	Y-Yeah, maybe!
context: You study... because... you like to?\Y-You're way too self-aware.\N-Not really.\It's just, gaining as much as the effort I put in,\and seeing it return as good grades...\I think I just like that sort of thing.\Hmm... So it's kinda like a game?\Y-Yeah, maybe! response:	It isn't for my future or anything.
context: Y-You're way too self-aware.\N-Not really.\It's just, gaining as much as the effort I put in,\and seeing it return as good grades...\I think I just like that sort of thing.\Hmm... So it's kinda like a game?\Y-Yeah, maybe!\It isn't for my future or anything. response:	I just enjoy doing it.
context: N-Not really.\It's just, gaining as much as the effort I put in,\and seeing it return as good grades...\I think I just like that sort of thing.\Hmm... So it's kinda like a game?\Y-Yeah, maybe!\It isn't for my future or anything.\I just enjoy doing it. response:	Yeah, I guess with video games,
context: It's just, gaining as much as the effort I put in,\and seeing it return as good grades...\I think I just like that sort of thing.\Hmm... So it's kinda like a game?\Y-Yeah, maybe!\It isn't for my future or anything.\I just enjoy doing it.\Yeah, I guess with video games, response:	you can't watch someone really good and not get excited.
context: and seeing it return as good grades...\I think I just like that sort of thing.\Hmm... So it's kinda like a game?\Y-Yeah, maybe!\It isn't for my future or anything.\I just enjoy doing it.\Yeah, I guess with video games,\you can't watch someone really good and not get excited. response:	And it's totally wrong to feel better when you find someone as bad as you, huh?
context: I think I just like that sort of thing.\Hmm... So it's kinda like a game?\Y-Yeah, maybe!\It isn't for my future or anything.\I just enjoy doing it.\Yeah, I guess with video games,\you can't watch someone really good and not get excited.\And it's totally wrong to feel better when you find someone as bad as you, huh? response:	Well, I just learned something!
context: Hmm... So it's kinda like a game?\Y-Yeah, maybe!\It isn't for my future or anything.\I just enjoy doing it.\Yeah, I guess with video games,\you can't watch someone really good and not get excited.\And it's totally wrong to feel better when you find someone as bad as you, huh?\Well, I just learned something! response:	Just kidding.
context: Y-Yeah, maybe!\It isn't for my future or anything.\I just enjoy doing it.\Yeah, I guess with video games,\you can't watch someone really good and not get excited.\And it's totally wrong to feel better when you find someone as bad as you, huh?\Well, I just learned something!\Just kidding. response:	Nice joke!
context: It isn't for my future or anything.\I just enjoy doing it.\Yeah, I guess with video games,\you can't watch someone really good and not get excited.\And it's totally wrong to feel better when you find someone as bad as you, huh?\Well, I just learned something!\Just kidding.\Nice joke! response:	Take that.
context: I just enjoy doing it.\Yeah, I guess with video games,\you can't watch someone really good and not get excited.\And it's totally wrong to feel better when you find someone as bad as you, huh?\Well, I just learned something!\Just kidding.\Nice joke!\Take that. response:	Well, someone who can't think of studying as a game
context: Yeah, I guess with video games,\you can't watch someone really good and not get excited.\And it's totally wrong to feel better when you find someone as bad as you, huh?\Well, I just learned something!\Just kidding.\Nice joke!\Take that.\Well, someone who can't think of studying as a game response:	has no choice but to plug away at it.
context: you can't watch someone really good and not get excited.\And it's totally wrong to feel better when you find someone as bad as you, huh?\Well, I just learned something!\Just kidding.\Nice joke!\Take that.\Well, someone who can't think of studying as a game\has no choice but to plug away at it. response:	That's right.
context: And it's totally wrong to feel better when you find someone as bad as you, huh?\Well, I just learned something!\Just kidding.\Nice joke!\Take that.\Well, someone who can't think of studying as a game\has no choice but to plug away at it.\That's right. response:	But aren't you doing it for Takahashi-sensei's praise?
context: Well, I just learned something!\Just kidding.\Nice joke!\Take that.\Well, someone who can't think of studying as a game\has no choice but to plug away at it.\That's right.\But aren't you doing it for Takahashi-sensei's praise? response:	Better work hard.
context: Just kidding.\Nice joke!\Take that.\Well, someone who can't think of studying as a game\has no choice but to plug away at it.\That's right.\But aren't you doing it for Takahashi-sensei's praise?\Better work hard. response:	Yep.
context: Nice joke!\Take that.\Well, someone who can't think of studying as a game\has no choice but to plug away at it.\That's right.\But aren't you doing it for Takahashi-sensei's praise?\Better work hard.\Yep. response:	You think Takahashi-sensei will praise us for studying a lot?
context: Take that.\Well, someone who can't think of studying as a game\has no choice but to plug away at it.\That's right.\But aren't you doing it for Takahashi-sensei's praise?\Better work hard.\Yep.\You think Takahashi-sensei will praise us for studying a lot? response:	Of course he will!
context: Well, someone who can't think of studying as a game\has no choice but to plug away at it.\That's right.\But aren't you doing it for Takahashi-sensei's praise?\Better work hard.\Yep.\You think Takahashi-sensei will praise us for studying a lot?\Of course he will! response:	He is a teacher, after all!
context: has no choice but to plug away at it.\That's right.\But aren't you doing it for Takahashi-sensei's praise?\Better work hard.\Yep.\You think Takahashi-sensei will praise us for studying a lot?\Of course he will!\He is a teacher, after all! response:	He said you were very impressive, Kyouko.
context: That's right.\But aren't you doing it for Takahashi-sensei's praise?\Better work hard.\Yep.\You think Takahashi-sensei will praise us for studying a lot?\Of course he will!\He is a teacher, after all!\He said you were very impressive, Kyouko. response:	He did?
context: But aren't you doing it for Takahashi-sensei's praise?\Better work hard.\Yep.\You think Takahashi-sensei will praise us for studying a lot?\Of course he will!\He is a teacher, after all!\He said you were very impressive, Kyouko.\He did? response:	Then, next time, maybe I'll try to rank first...
context: Better work hard.\Yep.\You think Takahashi-sensei will praise us for studying a lot?\Of course he will!\He is a teacher, after all!\He said you were very impressive, Kyouko.\He did?\Then, next time, maybe I'll try to rank first... response:	Just kidding!
context: Yep.\You think Takahashi-sensei will praise us for studying a lot?\Of course he will!\He is a teacher, after all!\He said you were very impressive, Kyouko.\He did?\Then, next time, maybe I'll try to rank first...\Just kidding! response:	Hey, you... You're getting carried away!
context: You think Takahashi-sensei will praise us for studying a lot?\Of course he will!\He is a teacher, after all!\He said you were very impressive, Kyouko.\He did?\Then, next time, maybe I'll try to rank first...\Just kidding!\Hey, you... You're getting carried away! response:	Biology Prep Room
context: Of course he will!\He is a teacher, after all!\He said you were very impressive, Kyouko.\He did?\Then, next time, maybe I'll try to rank first...\Just kidding!\Hey, you... You're getting carried away!\Biology Prep Room response:	Demi-humans: Vampire Edition Their Natures and Thought Processes
context: He is a teacher, after all!\He said you were very impressive, Kyouko.\He did?\Then, next time, maybe I'll try to rank first...\Just kidding!\Hey, you... You're getting carried away!\Biology Prep Room\Demi-humans: Vampire Edition Their Natures and Thought Processes response:	Should you really relax so much, just because make-up exams are over?
context: He said you were very impressive, Kyouko.\He did?\Then, next time, maybe I'll try to rank first...\Just kidding!\Hey, you... You're getting carried away!\Biology Prep Room\Demi-humans: Vampire Edition Their Natures and Thought Processes\Should you really relax so much, just because make-up exams are over? response:	Proficiency tests are next week.
context: He did?\Then, next time, maybe I'll try to rank first...\Just kidding!\Hey, you... You're getting carried away!\Biology Prep Room\Demi-humans: Vampire Edition Their Natures and Thought Processes\Should you really relax so much, just because make-up exams are over?\Proficiency tests are next week. response:	It's fine... I'm studying after school.
context: Then, next time, maybe I'll try to rank first...\Just kidding!\Hey, you... You're getting carried away!\Biology Prep Room\Demi-humans: Vampire Edition Their Natures and Thought Processes\Should you really relax so much, just because make-up exams are over?\Proficiency tests are next week.\It's fine... I'm studying after school. response:	In the library, with Macchi and Yukki.
context: Just kidding!\Hey, you... You're getting carried away!\Biology Prep Room\Demi-humans: Vampire Edition Their Natures and Thought Processes\Should you really relax so much, just because make-up exams are over?\Proficiency tests are next week.\It's fine... I'm studying after school.\In the library, with Macchi and Yukki. response:	You call it studying, but are you sure you aren't just bothering them?
context: Hey, you... You're getting carried away!\Biology Prep Room\Demi-humans: Vampire Edition Their Natures and Thought Processes\Should you really relax so much, just because make-up exams are over?\Proficiency tests are next week.\It's fine... I'm studying after school.\In the library, with Macchi and Yukki.\You call it studying, but are you sure you aren't just bothering them? response:	I'm not! Macchi even said explaining to others is a good way to study!
context: Biology Prep Room\Demi-humans: Vampire Edition Their Natures and Thought Processes\Should you really relax so much, just because make-up exams are over?\Proficiency tests are next week.\It's fine... I'm studying after school.\In the library, with Macchi and Yukki.\You call it studying, but are you sure you aren't just bothering them?\I'm not! Macchi even said explaining to others is a good way to study! response:	She made a joke like,
context: Demi-humans: Vampire Edition Their Natures and Thought Processes\Should you really relax so much, just because make-up exams are over?\Proficiency tests are next week.\It's fine... I'm studying after school.\In the library, with Macchi and Yukki.\You call it studying, but are you sure you aren't just bothering them?\I'm not! Macchi even said explaining to others is a good way to study!\She made a joke like, response:	Next time, I'll try to rank first.
context: Should you really relax so much, just because make-up exams are over?\Proficiency tests are next week.\It's fine... I'm studying after school.\In the library, with Macchi and Yukki.\You call it studying, but are you sure you aren't just bothering them?\I'm not! Macchi even said explaining to others is a good way to study!\She made a joke like,\Next time, I'll try to rank first. response:	Well, just don't fail this time.
context: Proficiency tests are next week.\It's fine... I'm studying after school.\In the library, with Macchi and Yukki.\You call it studying, but are you sure you aren't just bothering them?\I'm not! Macchi even said explaining to others is a good way to study!\She made a joke like,\Next time, I'll try to rank first.\Well, just don't fail this time. response:	You can fail a proficiency test?
context: It's fine... I'm studying after school.\In the library, with Macchi and Yukki.\You call it studying, but are you sure you aren't just bothering them?\I'm not! Macchi even said explaining to others is a good way to study!\She made a joke like,\Next time, I'll try to rank first.\Well, just don't fail this time.\You can fail a proficiency test? response:	If your score looks bad,
context: In the library, with Macchi and Yukki.\You call it studying, but are you sure you aren't just bothering them?\I'm not! Macchi even said explaining to others is a good way to study!\She made a joke like,\Next time, I'll try to rank first.\Well, just don't fail this time.\You can fail a proficiency test?\If your score looks bad, response:	I'll judge it a failure.
context: You call it studying, but are you sure you aren't just bothering them?\I'm not! Macchi even said explaining to others is a good way to study!\She made a joke like,\Next time, I'll try to rank first.\Well, just don't fail this time.\You can fail a proficiency test?\If your score looks bad,\I'll judge it a failure. response:	Huh? Sensei, that's no fair!
context: I'm not! Macchi even said explaining to others is a good way to study!\She made a joke like,\Next time, I'll try to rank first.\Well, just don't fail this time.\You can fail a proficiency test?\If your score looks bad,\I'll judge it a failure.\Huh? Sensei, that's no fair! response:	Demi-humans: Vampire Edition Their Natures and Thought Processes
context: She made a joke like,\Next time, I'll try to rank first.\Well, just don't fail this time.\You can fail a proficiency test?\If your score looks bad,\I'll judge it a failure.\Huh? Sensei, that's no fair!\Demi-humans: Vampire Edition Their Natures and Thought Processes response:	That's tyranny!
context: Next time, I'll try to rank first.\Well, just don't fail this time.\You can fail a proficiency test?\If your score looks bad,\I'll judge it a failure.\Huh? Sensei, that's no fair!\Demi-humans: Vampire Edition Their Natures and Thought Processes\That's tyranny! response:	Wow...
context: Well, just don't fail this time.\You can fail a proficiency test?\If your score looks bad,\I'll judge it a failure.\Huh? Sensei, that's no fair!\Demi-humans: Vampire Edition Their Natures and Thought Processes\That's tyranny!\Wow... response:	What?
context: You can fail a proficiency test?\If your score looks bad,\I'll judge it a failure.\Huh? Sensei, that's no fair!\Demi-humans: Vampire Edition Their Natures and Thought Processes\That's tyranny!\Wow...\What? response:	The desire to suck blood
context: If your score looks bad,\I'll judge it a failure.\Huh? Sensei, that's no fair!\Demi-humans: Vampire Edition Their Natures and Thought Processes\That's tyranny!\Wow...\What?\The desire to suck blood response:	is a combination of wanting blood and wanting to bite?
context: I'll judge it a failure.\Huh? Sensei, that's no fair!\Demi-humans: Vampire Edition Their Natures and Thought Processes\That's tyranny!\Wow...\What?\The desire to suck blood\is a combination of wanting blood and wanting to bite? response:	Yeah, yeah! I think so!
context: Huh? Sensei, that's no fair!\Demi-humans: Vampire Edition Their Natures and Thought Processes\That's tyranny!\Wow...\What?\The desire to suck blood\is a combination of wanting blood and wanting to bite?\Yeah, yeah! I think so! response:	So you can satisfy the former with blood packs,
context: Demi-humans: Vampire Edition Their Natures and Thought Processes\That's tyranny!\Wow...\What?\The desire to suck blood\is a combination of wanting blood and wanting to bite?\Yeah, yeah! I think so!\So you can satisfy the former with blood packs, response:	and the latter by chewing on Himari-chan's arm?
context: That's tyranny!\Wow...\What?\The desire to suck blood\is a combination of wanting blood and wanting to bite?\Yeah, yeah! I think so!\So you can satisfy the former with blood packs,\and the latter by chewing on Himari-chan's arm? response:	That's right.
context: Wow...\What?\The desire to suck blood\is a combination of wanting blood and wanting to bite?\Yeah, yeah! I think so!\So you can satisfy the former with blood packs,\and the latter by chewing on Himari-chan's arm?\That's right. response:	Do you have any preferences?
context: What?\The desire to suck blood\is a combination of wanting blood and wanting to bite?\Yeah, yeah! I think so!\So you can satisfy the former with blood packs,\and the latter by chewing on Himari-chan's arm?\That's right.\Do you have any preferences? response:	Huh?
context: The desire to suck blood\is a combination of wanting blood and wanting to bite?\Yeah, yeah! I think so!\So you can satisfy the former with blood packs,\and the latter by chewing on Himari-chan's arm?\That's right.\Do you have any preferences?\Huh? response:	You know, like favorite foods.
context: is a combination of wanting blood and wanting to bite?\Yeah, yeah! I think so!\So you can satisfy the former with blood packs,\and the latter by chewing on Himari-chan's arm?\That's right.\Do you have any preferences?\Huh?\You know, like favorite foods. response:	Do you have a favorite type of arm?
context: Yeah, yeah! I think so!\So you can satisfy the former with blood packs,\and the latter by chewing on Himari-chan's arm?\That's right.\Do you have any preferences?\Huh?\You know, like favorite foods.\Do you have a favorite type of arm? response:	The First Arm I Want to Bite Championship!! The Hikari Cup
context: So you can satisfy the former with blood packs,\and the latter by chewing on Himari-chan's arm?\That's right.\Do you have any preferences?\Huh?\You know, like favorite foods.\Do you have a favorite type of arm?\The First Arm I Want to Bite Championship!! The Hikari Cup response:	The Hikari Cup!
context: and the latter by chewing on Himari-chan's arm?\That's right.\Do you have any preferences?\Huh?\You know, like favorite foods.\Do you have a favorite type of arm?\The First Arm I Want to Bite Championship!! The Hikari Cup\The Hikari Cup! response:	Yay...
context: That's right.\Do you have any preferences?\Huh?\You know, like favorite foods.\Do you have a favorite type of arm?\The First Arm I Want to Bite Championship!! The Hikari Cup\The Hikari Cup!\Yay... response:	What is this?
context: Do you have any preferences?\Huh?\You know, like favorite foods.\Do you have a favorite type of arm?\The First Arm I Want to Bite Championship!! The Hikari Cup\The Hikari Cup!\Yay...\What is this? response:	Well, as she so loudly declared,
context: Huh?\You know, like favorite foods.\Do you have a favorite type of arm?\The First Arm I Want to Bite Championship!! The Hikari Cup\The Hikari Cup!\Yay...\What is this?\Well, as she so loudly declared, response:	Lady Takanashi Hikari, the only vampire in this school,
context: You know, like favorite foods.\Do you have a favorite type of arm?\The First Arm I Want to Bite Championship!! The Hikari Cup\The Hikari Cup!\Yay...\What is this?\Well, as she so loudly declared,\Lady Takanashi Hikari, the only vampire in this school, response:	will determine which of our arms she'd most like to bite.
context: Do you have a favorite type of arm?\The First Arm I Want to Bite Championship!! The Hikari Cup\The Hikari Cup!\Yay...\What is this?\Well, as she so loudly declared,\Lady Takanashi Hikari, the only vampire in this school,\will determine which of our arms she'd most like to bite. response:	That's why I had you two come here.
context: The First Arm I Want to Bite Championship!! The Hikari Cup\The Hikari Cup!\Yay...\What is this?\Well, as she so loudly declared,\Lady Takanashi Hikari, the only vampire in this school,\will determine which of our arms she'd most like to bite.\That's why I had you two come here. response:	Thank you for joining us today.
context: The Hikari Cup!\Yay...\What is this?\Well, as she so loudly declared,\Lady Takanashi Hikari, the only vampire in this school,\will determine which of our arms she'd most like to bite.\That's why I had you two come here.\Thank you for joining us today. response:	Too high-and-mighty!
context: Yay...\What is this?\Well, as she so loudly declared,\Lady Takanashi Hikari, the only vampire in this school,\will determine which of our arms she'd most like to bite.\That's why I had you two come here.\Thank you for joining us today.\Too high-and-mighty! response:	Huh?
context: What is this?\Well, as she so loudly declared,\Lady Takanashi Hikari, the only vampire in this school,\will determine which of our arms she'd most like to bite.\That's why I had you two come here.\Thank you for joining us today.\Too high-and-mighty!\Huh? response:	What's this mood she's creating?
context: Well, as she so loudly declared,\Lady Takanashi Hikari, the only vampire in this school,\will determine which of our arms she'd most like to bite.\That's why I had you two come here.\Thank you for joining us today.\Too high-and-mighty!\Huh?\What's this mood she's creating? response:	Well, why don't we start with Machi?
context: Lady Takanashi Hikari, the only vampire in this school,\will determine which of our arms she'd most like to bite.\That's why I had you two come here.\Thank you for joining us today.\Too high-and-mighty!\Huh?\What's this mood she's creating?\Well, why don't we start with Machi? response:	O-Okay.
context: will determine which of our arms she'd most like to bite.\That's why I had you two come here.\Thank you for joining us today.\Too high-and-mighty!\Huh?\What's this mood she's creating?\Well, why don't we start with Machi?\O-Okay. response:	Should I roll up my sleeve?
context: That's why I had you two come here.\Thank you for joining us today.\Too high-and-mighty!\Huh?\What's this mood she's creating?\Well, why don't we start with Machi?\O-Okay.\Should I roll up my sleeve? response:	Yes.
context: Thank you for joining us today.\Too high-and-mighty!\Huh?\What's this mood she's creating?\Well, why don't we start with Machi?\O-Okay.\Should I roll up my sleeve?\Yes. response:	The First Arm I Want to Bite Championship!! The Hikari Cup Macchi
context: Too high-and-mighty!\Huh?\What's this mood she's creating?\Well, why don't we start with Machi?\O-Okay.\Should I roll up my sleeve?\Yes.\The First Arm I Want to Bite Championship!! The Hikari Cup Macchi response:	Hmm... The smoothness of Macchi's arm is nice,
context: Huh?\What's this mood she's creating?\Well, why don't we start with Machi?\O-Okay.\Should I roll up my sleeve?\Yes.\The First Arm I Want to Bite Championship!! The Hikari Cup Macchi\Hmm... The smoothness of Macchi's arm is nice, response:	but it's pretty muscular.
context: What's this mood she's creating?\Well, why don't we start with Machi?\O-Okay.\Should I roll up my sleeve?\Yes.\The First Arm I Want to Bite Championship!! The Hikari Cup Macchi\Hmm... The smoothness of Macchi's arm is nice,\but it's pretty muscular. response:	It can't be helped, since she carries her head and exercises a lot, but...
context: Well, why don't we start with Machi?\O-Okay.\Should I roll up my sleeve?\Yes.\The First Arm I Want to Bite Championship!! The Hikari Cup Macchi\Hmm... The smoothness of Macchi's arm is nice,\but it's pretty muscular.\It can't be helped, since she carries her head and exercises a lot, but... response:	You like softer arms?
context: O-Okay.\Should I roll up my sleeve?\Yes.\The First Arm I Want to Bite Championship!! The Hikari Cup Macchi\Hmm... The smoothness of Macchi's arm is nice,\but it's pretty muscular.\It can't be helped, since she carries her head and exercises a lot, but...\You like softer arms? response:	Yeah, though that also depends on the person.
context: Should I roll up my sleeve?\Yes.\The First Arm I Want to Bite Championship!! The Hikari Cup Macchi\Hmm... The smoothness of Macchi's arm is nice,\but it's pretty muscular.\It can't be helped, since she carries her head and exercises a lot, but...\You like softer arms?\Yeah, though that also depends on the person. response:	Also, Macchi loses a few points for having no neck.
context: Yes.\The First Arm I Want to Bite Championship!! The Hikari Cup Macchi\Hmm... The smoothness of Macchi's arm is nice,\but it's pretty muscular.\It can't be helped, since she carries her head and exercises a lot, but...\You like softer arms?\Yeah, though that also depends on the person.\Also, Macchi loses a few points for having no neck. response:	Even if I'm biting the arm, looking at the neck sort of...
context: The First Arm I Want to Bite Championship!! The Hikari Cup Macchi\Hmm... The smoothness of Macchi's arm is nice,\but it's pretty muscular.\It can't be helped, since she carries her head and exercises a lot, but...\You like softer arms?\Yeah, though that also depends on the person.\Also, Macchi loses a few points for having no neck.\Even if I'm biting the arm, looking at the neck sort of... response:	gets to me...
context: Hmm... The smoothness of Macchi's arm is nice,\but it's pretty muscular.\It can't be helped, since she carries her head and exercises a lot, but...\You like softer arms?\Yeah, though that also depends on the person.\Also, Macchi loses a few points for having no neck.\Even if I'm biting the arm, looking at the neck sort of...\gets to me... response:	Wow, there's a lot to this, huh?
context: but it's pretty muscular.\It can't be helped, since she carries her head and exercises a lot, but...\You like softer arms?\Yeah, though that also depends on the person.\Also, Macchi loses a few points for having no neck.\Even if I'm biting the arm, looking at the neck sort of...\gets to me...\Wow, there's a lot to this, huh? response:	Taking all of this into consideration,
context: It can't be helped, since she carries her head and exercises a lot, but...\You like softer arms?\Yeah, though that also depends on the person.\Also, Macchi loses a few points for having no neck.\Even if I'm biting the arm, looking at the neck sort of...\gets to me...\Wow, there's a lot to this, huh?\Taking all of this into consideration, response:	Macchi's score is...
context: You like softer arms?\Yeah, though that also depends on the person.\Also, Macchi loses a few points for having no neck.\Even if I'm biting the arm, looking at the neck sort of...\gets to me...\Wow, there's a lot to this, huh?\Taking all of this into consideration,\Macchi's score is... response:	Macchi: 65
context: Yeah, though that also depends on the person.\Also, Macchi loses a few points for having no neck.\Even if I'm biting the arm, looking at the neck sort of...\gets to me...\Wow, there's a lot to this, huh?\Taking all of this into consideration,\Macchi's score is...\Macchi: 65 response:	65 points.
context: Also, Macchi loses a few points for having no neck.\Even if I'm biting the arm, looking at the neck sort of...\gets to me...\Wow, there's a lot to this, huh?\Taking all of this into consideration,\Macchi's score is...\Macchi: 65\65 points. response:	To use an analogy, she's a bit like chicken tenderloin.
context: Even if I'm biting the arm, looking at the neck sort of...\gets to me...\Wow, there's a lot to this, huh?\Taking all of this into consideration,\Macchi's score is...\Macchi: 65\65 points.\To use an analogy, she's a bit like chicken tenderloin. response:	T-Tenderloin?
context: gets to me...\Wow, there's a lot to this, huh?\Taking all of this into consideration,\Macchi's score is...\Macchi: 65\65 points.\To use an analogy, she's a bit like chicken tenderloin.\T-Tenderloin? response:	Yep, sometimes you just want some.
context: Wow, there's a lot to this, huh?\Taking all of this into consideration,\Macchi's score is...\Macchi: 65\65 points.\To use an analogy, she's a bit like chicken tenderloin.\T-Tenderloin?\Yep, sometimes you just want some. response:	Huh...
context: Taking all of this into consideration,\Macchi's score is...\Macchi: 65\65 points.\To use an analogy, she's a bit like chicken tenderloin.\T-Tenderloin?\Yep, sometimes you just want some.\Huh... response:	Macchi: 65, Tenderloin
context: Macchi's score is...\Macchi: 65\65 points.\To use an analogy, she's a bit like chicken tenderloin.\T-Tenderloin?\Yep, sometimes you just want some.\Huh...\Macchi: 65, Tenderloin response:	So you can use foods for comparison?
context: Macchi: 65\65 points.\To use an analogy, she's a bit like chicken tenderloin.\T-Tenderloin?\Yep, sometimes you just want some.\Huh...\Macchi: 65, Tenderloin\So you can use foods for comparison? response:	Yeah! Yours really is great!
context: 65 points.\To use an analogy, she's a bit like chicken tenderloin.\T-Tenderloin?\Yep, sometimes you just want some.\Huh...\Macchi: 65, Tenderloin\So you can use foods for comparison?\Yeah! Yours really is great! response:	It's soft and moist,
context: To use an analogy, she's a bit like chicken tenderloin.\T-Tenderloin?\Yep, sometimes you just want some.\Huh...\Macchi: 65, Tenderloin\So you can use foods for comparison?\Yeah! Yours really is great!\It's soft and moist, response:	and its coolness makes it a true Yukki original!
context: T-Tenderloin?\Yep, sometimes you just want some.\Huh...\Macchi: 65, Tenderloin\So you can use foods for comparison?\Yeah! Yours really is great!\It's soft and moist,\and its coolness makes it a true Yukki original! response:	Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream
context: Yep, sometimes you just want some.\Huh...\Macchi: 65, Tenderloin\So you can use foods for comparison?\Yeah! Yours really is great!\It's soft and moist,\and its coolness makes it a true Yukki original!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream response:	93 points! Like soft ice cream!
context: Huh...\Macchi: 65, Tenderloin\So you can use foods for comparison?\Yeah! Yours really is great!\It's soft and moist,\and its coolness makes it a true Yukki original!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\93 points! Like soft ice cream! response:	Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream
context: Macchi: 65, Tenderloin\So you can use foods for comparison?\Yeah! Yours really is great!\It's soft and moist,\and its coolness makes it a true Yukki original!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\93 points! Like soft ice cream!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream response:	By the way, what's Himari-chan's arm like?
context: So you can use foods for comparison?\Yeah! Yours really is great!\It's soft and moist,\and its coolness makes it a true Yukki original!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\93 points! Like soft ice cream!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\By the way, what's Himari-chan's arm like? response:	Himari's?
context: Yeah! Yours really is great!\It's soft and moist,\and its coolness makes it a true Yukki original!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\93 points! Like soft ice cream!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\By the way, what's Himari-chan's arm like?\Himari's? response:	Hmm...
context: It's soft and moist,\and its coolness makes it a true Yukki original!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\93 points! Like soft ice cream!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\By the way, what's Himari-chan's arm like?\Himari's?\Hmm... response:	I've been chewing Himari's arm since we were kids,
context: and its coolness makes it a true Yukki original!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\93 points! Like soft ice cream!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\By the way, what's Himari-chan's arm like?\Himari's?\Hmm...\I've been chewing Himari's arm since we were kids, response:	so it's hard to give it a score.
context: Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\93 points! Like soft ice cream!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\By the way, what's Himari-chan's arm like?\Himari's?\Hmm...\I've been chewing Himari's arm since we were kids,\so it's hard to give it a score. response:	Something for when the mouth feels lonely, I guess?
context: 93 points! Like soft ice cream!\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\By the way, what's Himari-chan's arm like?\Himari's?\Hmm...\I've been chewing Himari's arm since we were kids,\so it's hard to give it a score.\Something for when the mouth feels lonely, I guess? response:	Like gum?
context: Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream\By the way, what's Himari-chan's arm like?\Himari's?\Hmm...\I've been chewing Himari's arm since we were kids,\so it's hard to give it a score.\Something for when the mouth feels lonely, I guess?\Like gum? response:	Is that what it's like?
context: By the way, what's Himari-chan's arm like?\Himari's?\Hmm...\I've been chewing Himari's arm since we were kids,\so it's hard to give it a score.\Something for when the mouth feels lonely, I guess?\Like gum?\Is that what it's like? response:	Yeah! That's it!
