context: If I remember correctly response:	70,000 years ago by Ruoshui Riverbank
context: My mentor's eyes aren't as dark as yours.\They aren't as calm as yours.\Tell me.\You're considered quite young among the gods.\Why would you behave so much like an elderly god?\Even more so than Lord Dong Hua?\You can keep looking for a while longer.\If you're tired, you can nap in my arms. response:	The sun has already risen.
context: They aren't as calm as yours.\Tell me.\You're considered quite young among the gods.\Why would you behave so much like an elderly god?\Even more so than Lord Dong Hua?\You can keep looking for a while longer.\If you're tired, you can nap in my arms.\The sun has already risen. response:	Are you going to get up or sleep for a while longer?
context: Tell me.\You're considered quite young among the gods.\Why would you behave so much like an elderly god?\Even more so than Lord Dong Hua?\You can keep looking for a while longer.\If you're tired, you can nap in my arms.\The sun has already risen.\Are you going to get up or sleep for a while longer? response:	I'm a bit thirsty.
context: You're considered quite young among the gods.\Why would you behave so much like an elderly god?\Even more so than Lord Dong Hua?\You can keep looking for a while longer.\If you're tired, you can nap in my arms.\The sun has already risen.\Are you going to get up or sleep for a while longer?\I'm a bit thirsty. response:	Get someone to make tea.
context: Why would you behave so much like an elderly god?\Even more so than Lord Dong Hua?\You can keep looking for a while longer.\If you're tired, you can nap in my arms.\The sun has already risen.\Are you going to get up or sleep for a while longer?\I'm a bit thirsty.\Get someone to make tea. response:	Sure.
context: Even more so than Lord Dong Hua?\You can keep looking for a while longer.\If you're tired, you can nap in my arms.\The sun has already risen.\Are you going to get up or sleep for a while longer?\I'm a bit thirsty.\Get someone to make tea.\Sure. response:	Starting today
context: You can keep looking for a while longer.\If you're tired, you can nap in my arms.\The sun has already risen.\Are you going to get up or sleep for a while longer?\I'm a bit thirsty.\Get someone to make tea.\Sure.\Starting today response:	station someone to keep an eye on the Bell of the East Emperor at all times.
context: If you're tired, you can nap in my arms.\The sun has already risen.\Are you going to get up or sleep for a while longer?\I'm a bit thirsty.\Get someone to make tea.\Sure.\Starting today\station someone to keep an eye on the Bell of the East Emperor at all times. response:	Should there be any abnormal movement, report back immediately.
context: The sun has already risen.\Are you going to get up or sleep for a while longer?\I'm a bit thirsty.\Get someone to make tea.\Sure.\Starting today\station someone to keep an eye on the Bell of the East Emperor at all times.\Should there be any abnormal movement, report back immediately. response:	Does Your Highness think Qing Cang will break out soon?
context: Are you going to get up or sleep for a while longer?\I'm a bit thirsty.\Get someone to make tea.\Sure.\Starting today\station someone to keep an eye on the Bell of the East Emperor at all times.\Should there be any abnormal movement, report back immediately.\Does Your Highness think Qing Cang will break out soon? response:	You don't have to know about that.
context: I'm a bit thirsty.\Get someone to make tea.\Sure.\Starting today\station someone to keep an eye on the Bell of the East Emperor at all times.\Should there be any abnormal movement, report back immediately.\Does Your Highness think Qing Cang will break out soon?\You don't have to know about that. response:	Just heed my words.
context: Get someone to make tea.\Sure.\Starting today\station someone to keep an eye on the Bell of the East Emperor at all times.\Should there be any abnormal movement, report back immediately.\Does Your Highness think Qing Cang will break out soon?\You don't have to know about that.\Just heed my words. response:	Should there be any abnormal movement in the bell, alarm no one else.
context: Sure.\Starting today\station someone to keep an eye on the Bell of the East Emperor at all times.\Should there be any abnormal movement, report back immediately.\Does Your Highness think Qing Cang will break out soon?\You don't have to know about that.\Just heed my words.\Should there be any abnormal movement in the bell, alarm no one else. response:	Come to me immediately.
context: Starting today\station someone to keep an eye on the Bell of the East Emperor at all times.\Should there be any abnormal movement, report back immediately.\Does Your Highness think Qing Cang will break out soon?\You don't have to know about that.\Just heed my words.\Should there be any abnormal movement in the bell, alarm no one else.\Come to me immediately. response:	Yes!
context: station someone to keep an eye on the Bell of the East Emperor at all times.\Should there be any abnormal movement, report back immediately.\Does Your Highness think Qing Cang will break out soon?\You don't have to know about that.\Just heed my words.\Should there be any abnormal movement in the bell, alarm no one else.\Come to me immediately.\Yes! response:	You said that you saw High God Bai Qian drugging His Highness's tea?
context: Should there be any abnormal movement, report back immediately.\Does Your Highness think Qing Cang will break out soon?\You don't have to know about that.\Just heed my words.\Should there be any abnormal movement in the bell, alarm no one else.\Come to me immediately.\Yes!\You said that you saw High God Bai Qian drugging His Highness's tea? response:	Did you really see High God Bai Qian do that?
context: Does Your Highness think Qing Cang will break out soon?\You don't have to know about that.\Just heed my words.\Should there be any abnormal movement in the bell, alarm no one else.\Come to me immediately.\Yes!\You said that you saw High God Bai Qian drugging His Highness's tea?\Did you really see High God Bai Qian do that? response:	I wouldn't dare lie to you.
context: You don't have to know about that.\Just heed my words.\Should there be any abnormal movement in the bell, alarm no one else.\Come to me immediately.\Yes!\You said that you saw High God Bai Qian drugging His Highness's tea?\Did you really see High God Bai Qian do that?\I wouldn't dare lie to you. response:	How is that possible?
context: Just heed my words.\Should there be any abnormal movement in the bell, alarm no one else.\Come to me immediately.\Yes!\You said that you saw High God Bai Qian drugging His Highness's tea?\Did you really see High God Bai Qian do that?\I wouldn't dare lie to you.\How is that possible? response:	She's engaged to Ye Hua.
context: Should there be any abnormal movement in the bell, alarm no one else.\Come to me immediately.\Yes!\You said that you saw High God Bai Qian drugging His Highness's tea?\Did you really see High God Bai Qian do that?\I wouldn't dare lie to you.\How is that possible?\She's engaged to Ye Hua. response:	She wouldn't do that.
context: Come to me immediately.\Yes!\You said that you saw High God Bai Qian drugging His Highness's tea?\Did you really see High God Bai Qian do that?\I wouldn't dare lie to you.\How is that possible?\She's engaged to Ye Hua.\She wouldn't do that. response:	I've always had my doubts about this high god and the Crown Prince.
context: Yes!\You said that you saw High God Bai Qian drugging His Highness's tea?\Did you really see High God Bai Qian do that?\I wouldn't dare lie to you.\How is that possible?\She's engaged to Ye Hua.\She wouldn't do that.\I've always had my doubts about this high god and the Crown Prince. response:	Doesn't Your Highness feel the same way?
context: You said that you saw High God Bai Qian drugging His Highness's tea?\Did you really see High God Bai Qian do that?\I wouldn't dare lie to you.\How is that possible?\She's engaged to Ye Hua.\She wouldn't do that.\I've always had my doubts about this high god and the Crown Prince.\Doesn't Your Highness feel the same way? response:	About what?
context: Did you really see High God Bai Qian do that?\I wouldn't dare lie to you.\How is that possible?\She's engaged to Ye Hua.\She wouldn't do that.\I've always had my doubts about this high god and the Crown Prince.\Doesn't Your Highness feel the same way?\About what? response:	You may be dismissed.
context: I wouldn't dare lie to you.\How is that possible?\She's engaged to Ye Hua.\She wouldn't do that.\I've always had my doubts about this high god and the Crown Prince.\Doesn't Your Highness feel the same way?\About what?\You may be dismissed. response:	Yes.
context: How is that possible?\She's engaged to Ye Hua.\She wouldn't do that.\I've always had my doubts about this high god and the Crown Prince.\Doesn't Your Highness feel the same way?\About what?\You may be dismissed.\Yes. response:	I still remember very clearly what happened 300 years ago.
context: She's engaged to Ye Hua.\She wouldn't do that.\I've always had my doubts about this high god and the Crown Prince.\Doesn't Your Highness feel the same way?\About what?\You may be dismissed.\Yes.\I still remember very clearly what happened 300 years ago. response:	Doesn't Your Highness find it weird?
context: She wouldn't do that.\I've always had my doubts about this high god and the Crown Prince.\Doesn't Your Highness feel the same way?\About what?\You may be dismissed.\Yes.\I still remember very clearly what happened 300 years ago.\Doesn't Your Highness find it weird? response:	Back then, His Highness loved that mortal so deeply.
context: I've always had my doubts about this high god and the Crown Prince.\Doesn't Your Highness feel the same way?\About what?\You may be dismissed.\Yes.\I still remember very clearly what happened 300 years ago.\Doesn't Your Highness find it weird?\Back then, His Highness loved that mortal so deeply. response:	For 300 years, he guarded that Soul-gathering Lamp.
context: Doesn't Your Highness feel the same way?\About what?\You may be dismissed.\Yes.\I still remember very clearly what happened 300 years ago.\Doesn't Your Highness find it weird?\Back then, His Highness loved that mortal so deeply.\For 300 years, he guarded that Soul-gathering Lamp. response:	He was so keen on forging a replica of her.
context: About what?\You may be dismissed.\Yes.\I still remember very clearly what happened 300 years ago.\Doesn't Your Highness find it weird?\Back then, His Highness loved that mortal so deeply.\For 300 years, he guarded that Soul-gathering Lamp.\He was so keen on forging a replica of her. response:	Why did that suddenly changed after he took a trip to the Eastern Sea?
context: You may be dismissed.\Yes.\I still remember very clearly what happened 300 years ago.\Doesn't Your Highness find it weird?\Back then, His Highness loved that mortal so deeply.\For 300 years, he guarded that Soul-gathering Lamp.\He was so keen on forging a replica of her.\Why did that suddenly changed after he took a trip to the Eastern Sea? response:	Even if he were to change his mind that was simply too abrupt.
context: Yes.\I still remember very clearly what happened 300 years ago.\Doesn't Your Highness find it weird?\Back then, His Highness loved that mortal so deeply.\For 300 years, he guarded that Soul-gathering Lamp.\He was so keen on forging a replica of her.\Why did that suddenly changed after he took a trip to the Eastern Sea?\Even if he were to change his mind that was simply too abrupt. response:	Now that you've said it, it does coincide with what I think.
context: I still remember very clearly what happened 300 years ago.\Doesn't Your Highness find it weird?\Back then, His Highness loved that mortal so deeply.\For 300 years, he guarded that Soul-gathering Lamp.\He was so keen on forging a replica of her.\Why did that suddenly changed after he took a trip to the Eastern Sea?\Even if he were to change his mind that was simply too abrupt.\Now that you've said it, it does coincide with what I think. response:	I've also been very worried.
context: Doesn't Your Highness find it weird?\Back then, His Highness loved that mortal so deeply.\For 300 years, he guarded that Soul-gathering Lamp.\He was so keen on forging a replica of her.\Why did that suddenly changed after he took a trip to the Eastern Sea?\Even if he were to change his mind that was simply too abrupt.\Now that you've said it, it does coincide with what I think.\I've also been very worried. response:	Has Ye Hua been bewitched?
context: Back then, His Highness loved that mortal so deeply.\For 300 years, he guarded that Soul-gathering Lamp.\He was so keen on forging a replica of her.\Why did that suddenly changed after he took a trip to the Eastern Sea?\Even if he were to change his mind that was simply too abrupt.\Now that you've said it, it does coincide with what I think.\I've also been very worried.\Has Ye Hua been bewitched? response:	Why would he fall for another so quickly?
context: For 300 years, he guarded that Soul-gathering Lamp.\He was so keen on forging a replica of her.\Why did that suddenly changed after he took a trip to the Eastern Sea?\Even if he were to change his mind that was simply too abrupt.\Now that you've said it, it does coincide with what I think.\I've also been very worried.\Has Ye Hua been bewitched?\Why would he fall for another so quickly? response:	The Nine-tailed Fox Clan of Qing Qiu is skilled at casting seduction charms.
context: He was so keen on forging a replica of her.\Why did that suddenly changed after he took a trip to the Eastern Sea?\Even if he were to change his mind that was simply too abrupt.\Now that you've said it, it does coincide with what I think.\I've also been very worried.\Has Ye Hua been bewitched?\Why would he fall for another so quickly?\The Nine-tailed Fox Clan of Qing Qiu is skilled at casting seduction charms. response:	Perhaps, it was some seduction drug that the maid saw her adding into the tea.
context: Why did that suddenly changed after he took a trip to the Eastern Sea?\Even if he were to change his mind that was simply too abrupt.\Now that you've said it, it does coincide with what I think.\I've also been very worried.\Has Ye Hua been bewitched?\Why would he fall for another so quickly?\The Nine-tailed Fox Clan of Qing Qiu is skilled at casting seduction charms.\Perhaps, it was some seduction drug that the maid saw her adding into the tea. response:	These are but speculations.
context: Even if he were to change his mind that was simply too abrupt.\Now that you've said it, it does coincide with what I think.\I've also been very worried.\Has Ye Hua been bewitched?\Why would he fall for another so quickly?\The Nine-tailed Fox Clan of Qing Qiu is skilled at casting seduction charms.\Perhaps, it was some seduction drug that the maid saw her adding into the tea.\These are but speculations. response:	After all, she is a high god.
context: Now that you've said it, it does coincide with what I think.\I've also been very worried.\Has Ye Hua been bewitched?\Why would he fall for another so quickly?\The Nine-tailed Fox Clan of Qing Qiu is skilled at casting seduction charms.\Perhaps, it was some seduction drug that the maid saw her adding into the tea.\These are but speculations.\After all, she is a high god. response:	She's also engaged to Ye Hua.
context: I've also been very worried.\Has Ye Hua been bewitched?\Why would he fall for another so quickly?\The Nine-tailed Fox Clan of Qing Qiu is skilled at casting seduction charms.\Perhaps, it was some seduction drug that the maid saw her adding into the tea.\These are but speculations.\After all, she is a high god.\She's also engaged to Ye Hua. response:	She wouldn't stoop to that.
context: Has Ye Hua been bewitched?\Why would he fall for another so quickly?\The Nine-tailed Fox Clan of Qing Qiu is skilled at casting seduction charms.\Perhaps, it was some seduction drug that the maid saw her adding into the tea.\These are but speculations.\After all, she is a high god.\She's also engaged to Ye Hua.\She wouldn't stoop to that. response:	Even if Ye Hua feels nothing for her, he still has to marry her.
context: Why would he fall for another so quickly?\The Nine-tailed Fox Clan of Qing Qiu is skilled at casting seduction charms.\Perhaps, it was some seduction drug that the maid saw her adding into the tea.\These are but speculations.\After all, she is a high god.\She's also engaged to Ye Hua.\She wouldn't stoop to that.\Even if Ye Hua feels nothing for her, he still has to marry her. response:	I'm afraid that Your Highness isn't aware of a something.
context: The Nine-tailed Fox Clan of Qing Qiu is skilled at casting seduction charms.\Perhaps, it was some seduction drug that the maid saw her adding into the tea.\These are but speculations.\After all, she is a high god.\She's also engaged to Ye Hua.\She wouldn't stoop to that.\Even if Ye Hua feels nothing for her, he still has to marry her.\I'm afraid that Your Highness isn't aware of a something. response:	What else is there that is strange?
context: Perhaps, it was some seduction drug that the maid saw her adding into the tea.\These are but speculations.\After all, she is a high god.\She's also engaged to Ye Hua.\She wouldn't stoop to that.\Even if Ye Hua feels nothing for her, he still has to marry her.\I'm afraid that Your Highness isn't aware of a something.\What else is there that is strange? response:	Before the Crown Prince went to the Eastern Sea
context: These are but speculations.\After all, she is a high god.\She's also engaged to Ye Hua.\She wouldn't stoop to that.\Even if Ye Hua feels nothing for her, he still has to marry her.\I'm afraid that Your Highness isn't aware of a something.\What else is there that is strange?\Before the Crown Prince went to the Eastern Sea response:	Qing Qiu's Bai Feng Jiu once took on my form
context: After all, she is a high god.\She's also engaged to Ye Hua.\She wouldn't stoop to that.\Even if Ye Hua feels nothing for her, he still has to marry her.\I'm afraid that Your Highness isn't aware of a something.\What else is there that is strange?\Before the Crown Prince went to the Eastern Sea\Qing Qiu's Bai Feng Jiu once took on my form response:	and stole the Soul-gathering Lamp from Zichen Hall.
context: She's also engaged to Ye Hua.\She wouldn't stoop to that.\Even if Ye Hua feels nothing for her, he still has to marry her.\I'm afraid that Your Highness isn't aware of a something.\What else is there that is strange?\Before the Crown Prince went to the Eastern Sea\Qing Qiu's Bai Feng Jiu once took on my form\and stole the Soul-gathering Lamp from Zichen Hall. response:	What?
context: She wouldn't stoop to that.\Even if Ye Hua feels nothing for her, he still has to marry her.\I'm afraid that Your Highness isn't aware of a something.\What else is there that is strange?\Before the Crown Prince went to the Eastern Sea\Qing Qiu's Bai Feng Jiu once took on my form\and stole the Soul-gathering Lamp from Zichen Hall.\What? response:	She stole the Soul-gathering Lamp?
context: Even if Ye Hua feels nothing for her, he still has to marry her.\I'm afraid that Your Highness isn't aware of a something.\What else is there that is strange?\Before the Crown Prince went to the Eastern Sea\Qing Qiu's Bai Feng Jiu once took on my form\and stole the Soul-gathering Lamp from Zichen Hall.\What?\She stole the Soul-gathering Lamp? response:	That Bai Feng Jiu...
context: I'm afraid that Your Highness isn't aware of a something.\What else is there that is strange?\Before the Crown Prince went to the Eastern Sea\Qing Qiu's Bai Feng Jiu once took on my form\and stole the Soul-gathering Lamp from Zichen Hall.\What?\She stole the Soul-gathering Lamp?\That Bai Feng Jiu... response:	As a princess, how could she do such a thing?
context: What else is there that is strange?\Before the Crown Prince went to the Eastern Sea\Qing Qiu's Bai Feng Jiu once took on my form\and stole the Soul-gathering Lamp from Zichen Hall.\What?\She stole the Soul-gathering Lamp?\That Bai Feng Jiu...\As a princess, how could she do such a thing? response:	Why are you only telling me about this now?
context: Before the Crown Prince went to the Eastern Sea\Qing Qiu's Bai Feng Jiu once took on my form\and stole the Soul-gathering Lamp from Zichen Hall.\What?\She stole the Soul-gathering Lamp?\That Bai Feng Jiu...\As a princess, how could she do such a thing?\Why are you only telling me about this now? response:	Third Prince and the Star Lord came to apologize on her behalf.
context: Qing Qiu's Bai Feng Jiu once took on my form\and stole the Soul-gathering Lamp from Zichen Hall.\What?\She stole the Soul-gathering Lamp?\That Bai Feng Jiu...\As a princess, how could she do such a thing?\Why are you only telling me about this now?\Third Prince and the Star Lord came to apologize on her behalf. response:	They said that she was too playful and stole the lamp for fun.
context: and stole the Soul-gathering Lamp from Zichen Hall.\What?\She stole the Soul-gathering Lamp?\That Bai Feng Jiu...\As a princess, how could she do such a thing?\Why are you only telling me about this now?\Third Prince and the Star Lord came to apologize on her behalf.\They said that she was too playful and stole the lamp for fun. response:	They asked me not to blame her anymore.
context: What?\She stole the Soul-gathering Lamp?\That Bai Feng Jiu...\As a princess, how could she do such a thing?\Why are you only telling me about this now?\Third Prince and the Star Lord came to apologize on her behalf.\They said that she was too playful and stole the lamp for fun.\They asked me not to blame her anymore. response:	It was also for the sake of Lord Dong Hua and the Star Lord
context: She stole the Soul-gathering Lamp?\That Bai Feng Jiu...\As a princess, how could she do such a thing?\Why are you only telling me about this now?\Third Prince and the Star Lord came to apologize on her behalf.\They said that she was too playful and stole the lamp for fun.\They asked me not to blame her anymore.\It was also for the sake of Lord Dong Hua and the Star Lord response:	that this matter was resolved quietly.
context: That Bai Feng Jiu...\As a princess, how could she do such a thing?\Why are you only telling me about this now?\Third Prince and the Star Lord came to apologize on her behalf.\They said that she was too playful and stole the lamp for fun.\They asked me not to blame her anymore.\It was also for the sake of Lord Dong Hua and the Star Lord\that this matter was resolved quietly. response:	I've heard that Bai Feng Jiu has been fooling around in Taichen Palace
context: As a princess, how could she do such a thing?\Why are you only telling me about this now?\Third Prince and the Star Lord came to apologize on her behalf.\They said that she was too playful and stole the lamp for fun.\They asked me not to blame her anymore.\It was also for the sake of Lord Dong Hua and the Star Lord\that this matter was resolved quietly.\I've heard that Bai Feng Jiu has been fooling around in Taichen Palace response:	in the name of repaying kindness.
context: Why are you only telling me about this now?\Third Prince and the Star Lord came to apologize on her behalf.\They said that she was too playful and stole the lamp for fun.\They asked me not to blame her anymore.\It was also for the sake of Lord Dong Hua and the Star Lord\that this matter was resolved quietly.\I've heard that Bai Feng Jiu has been fooling around in Taichen Palace\in the name of repaying kindness. response:	She wreaked such havoc in Taichen Palace.
context: Third Prince and the Star Lord came to apologize on her behalf.\They said that she was too playful and stole the lamp for fun.\They asked me not to blame her anymore.\It was also for the sake of Lord Dong Hua and the Star Lord\that this matter was resolved quietly.\I've heard that Bai Feng Jiu has been fooling around in Taichen Palace\in the name of repaying kindness.\She wreaked such havoc in Taichen Palace. response:	I thought that Lord Dong Hua would have disliked that little princess.
context: They said that she was too playful and stole the lamp for fun.\They asked me not to blame her anymore.\It was also for the sake of Lord Dong Hua and the Star Lord\that this matter was resolved quietly.\I've heard that Bai Feng Jiu has been fooling around in Taichen Palace\in the name of repaying kindness.\She wreaked such havoc in Taichen Palace.\I thought that Lord Dong Hua would have disliked that little princess. response:	Who knew that he would be so protective of her?
context: They asked me not to blame her anymore.\It was also for the sake of Lord Dong Hua and the Star Lord\that this matter was resolved quietly.\I've heard that Bai Feng Jiu has been fooling around in Taichen Palace\in the name of repaying kindness.\She wreaked such havoc in Taichen Palace.\I thought that Lord Dong Hua would have disliked that little princess.\Who knew that he would be so protective of her? response:	Lord Dong Hua's mind is unfathomable. Who could have known?
context: It was also for the sake of Lord Dong Hua and the Star Lord\that this matter was resolved quietly.\I've heard that Bai Feng Jiu has been fooling around in Taichen Palace\in the name of repaying kindness.\She wreaked such havoc in Taichen Palace.\I thought that Lord Dong Hua would have disliked that little princess.\Who knew that he would be so protective of her?\Lord Dong Hua's mind is unfathomable. Who could have known? response:	But when I think of this matter, I do find it fishy.
context: that this matter was resolved quietly.\I've heard that Bai Feng Jiu has been fooling around in Taichen Palace\in the name of repaying kindness.\She wreaked such havoc in Taichen Palace.\I thought that Lord Dong Hua would have disliked that little princess.\Who knew that he would be so protective of her?\Lord Dong Hua's mind is unfathomable. Who could have known?\But when I think of this matter, I do find it fishy. response:	Your Highness, think about it.
context: I've heard that Bai Feng Jiu has been fooling around in Taichen Palace\in the name of repaying kindness.\She wreaked such havoc in Taichen Palace.\I thought that Lord Dong Hua would have disliked that little princess.\Who knew that he would be so protective of her?\Lord Dong Hua's mind is unfathomable. Who could have known?\But when I think of this matter, I do find it fishy.\Your Highness, think about it. response:	Bai Feng Jiu first took away the Soul-gathering Lamp
context: in the name of repaying kindness.\She wreaked such havoc in Taichen Palace.\I thought that Lord Dong Hua would have disliked that little princess.\Who knew that he would be so protective of her?\Lord Dong Hua's mind is unfathomable. Who could have known?\But when I think of this matter, I do find it fishy.\Your Highness, think about it.\Bai Feng Jiu first took away the Soul-gathering Lamp response:	that had Su Su's blood and bones growing in it.
context: She wreaked such havoc in Taichen Palace.\I thought that Lord Dong Hua would have disliked that little princess.\Who knew that he would be so protective of her?\Lord Dong Hua's mind is unfathomable. Who could have known?\But when I think of this matter, I do find it fishy.\Your Highness, think about it.\Bai Feng Jiu first took away the Soul-gathering Lamp\that had Su Su's blood and bones growing in it. response:	Then Bai Qian met His Highness in the Eastern Sea.
context: I thought that Lord Dong Hua would have disliked that little princess.\Who knew that he would be so protective of her?\Lord Dong Hua's mind is unfathomable. Who could have known?\But when I think of this matter, I do find it fishy.\Your Highness, think about it.\Bai Feng Jiu first took away the Soul-gathering Lamp\that had Su Su's blood and bones growing in it.\Then Bai Qian met His Highness in the Eastern Sea. response:	After His Highness met her he immediately fell for her instead.
context: Who knew that he would be so protective of her?\Lord Dong Hua's mind is unfathomable. Who could have known?\But when I think of this matter, I do find it fishy.\Your Highness, think about it.\Bai Feng Jiu first took away the Soul-gathering Lamp\that had Su Su's blood and bones growing in it.\Then Bai Qian met His Highness in the Eastern Sea.\After His Highness met her he immediately fell for her instead. response:	His Highness hasn't mentioned making a replica of Su Su since then.
context: Lord Dong Hua's mind is unfathomable. Who could have known?\But when I think of this matter, I do find it fishy.\Your Highness, think about it.\Bai Feng Jiu first took away the Soul-gathering Lamp\that had Su Su's blood and bones growing in it.\Then Bai Qian met His Highness in the Eastern Sea.\After His Highness met her he immediately fell for her instead.\His Highness hasn't mentioned making a replica of Su Su since then. response:	Isn't this all too much of a coincidence?
context: But when I think of this matter, I do find it fishy.\Your Highness, think about it.\Bai Feng Jiu first took away the Soul-gathering Lamp\that had Su Su's blood and bones growing in it.\Then Bai Qian met His Highness in the Eastern Sea.\After His Highness met her he immediately fell for her instead.\His Highness hasn't mentioned making a replica of Su Su since then.\Isn't this all too much of a coincidence? response:	It is indeed.
context: Your Highness, think about it.\Bai Feng Jiu first took away the Soul-gathering Lamp\that had Su Su's blood and bones growing in it.\Then Bai Qian met His Highness in the Eastern Sea.\After His Highness met her he immediately fell for her instead.\His Highness hasn't mentioned making a replica of Su Su since then.\Isn't this all too much of a coincidence?\It is indeed. response:	Therefore, whether or not
context: Bai Feng Jiu first took away the Soul-gathering Lamp\that had Su Su's blood and bones growing in it.\Then Bai Qian met His Highness in the Eastern Sea.\After His Highness met her he immediately fell for her instead.\His Highness hasn't mentioned making a replica of Su Su since then.\Isn't this all too much of a coincidence?\It is indeed.\Therefore, whether or not response:	there is an engagement between Bai Qian and His Highness
context: that had Su Su's blood and bones growing in it.\Then Bai Qian met His Highness in the Eastern Sea.\After His Highness met her he immediately fell for her instead.\His Highness hasn't mentioned making a replica of Su Su since then.\Isn't this all too much of a coincidence?\It is indeed.\Therefore, whether or not\there is an engagement between Bai Qian and His Highness response:	we must get to the bottom of this matter.
context: Then Bai Qian met His Highness in the Eastern Sea.\After His Highness met her he immediately fell for her instead.\His Highness hasn't mentioned making a replica of Su Su since then.\Isn't this all too much of a coincidence?\It is indeed.\Therefore, whether or not\there is an engagement between Bai Qian and His Highness\we must get to the bottom of this matter. response:	If Bai Qian is so manipulative
context: After His Highness met her he immediately fell for her instead.\His Highness hasn't mentioned making a replica of Su Su since then.\Isn't this all too much of a coincidence?\It is indeed.\Therefore, whether or not\there is an engagement between Bai Qian and His Highness\we must get to the bottom of this matter.\If Bai Qian is so manipulative response:	Your Highness should report this matter
context: His Highness hasn't mentioned making a replica of Su Su since then.\Isn't this all too much of a coincidence?\It is indeed.\Therefore, whether or not\there is an engagement between Bai Qian and His Highness\we must get to the bottom of this matter.\If Bai Qian is so manipulative\Your Highness should report this matter response:	to the Heavenly Lord and the Crown Prince.
context: Isn't this all too much of a coincidence?\It is indeed.\Therefore, whether or not\there is an engagement between Bai Qian and His Highness\we must get to the bottom of this matter.\If Bai Qian is so manipulative\Your Highness should report this matter\to the Heavenly Lord and the Crown Prince. response:	It's too dangerous to make this woman the future Consort or Heavenly Empress.
context: It is indeed.\Therefore, whether or not\there is an engagement between Bai Qian and His Highness\we must get to the bottom of this matter.\If Bai Qian is so manipulative\Your Highness should report this matter\to the Heavenly Lord and the Crown Prince.\It's too dangerous to make this woman the future Consort or Heavenly Empress. response:	Exactly!
context: Therefore, whether or not\there is an engagement between Bai Qian and His Highness\we must get to the bottom of this matter.\If Bai Qian is so manipulative\Your Highness should report this matter\to the Heavenly Lord and the Crown Prince.\It's too dangerous to make this woman the future Consort or Heavenly Empress.\Exactly! response:	However, these are still just our speculations.
context: there is an engagement between Bai Qian and His Highness\we must get to the bottom of this matter.\If Bai Qian is so manipulative\Your Highness should report this matter\to the Heavenly Lord and the Crown Prince.\It's too dangerous to make this woman the future Consort or Heavenly Empress.\Exactly!\However, these are still just our speculations. response:	She is after all High God Bai Qian and the Queen of Qing Qiu.
context: we must get to the bottom of this matter.\If Bai Qian is so manipulative\Your Highness should report this matter\to the Heavenly Lord and the Crown Prince.\It's too dangerous to make this woman the future Consort or Heavenly Empress.\Exactly!\However, these are still just our speculations.\She is after all High God Bai Qian and the Queen of Qing Qiu. response:	She is not one we can offend.
context: If Bai Qian is so manipulative\Your Highness should report this matter\to the Heavenly Lord and the Crown Prince.\It's too dangerous to make this woman the future Consort or Heavenly Empress.\Exactly!\However, these are still just our speculations.\She is after all High God Bai Qian and the Queen of Qing Qiu.\She is not one we can offend. response:	She has been to the Celestial Palace twice without greeting me.
context: Your Highness should report this matter\to the Heavenly Lord and the Crown Prince.\It's too dangerous to make this woman the future Consort or Heavenly Empress.\Exactly!\However, these are still just our speculations.\She is after all High God Bai Qian and the Queen of Qing Qiu.\She is not one we can offend.\She has been to the Celestial Palace twice without greeting me. response:	Today, I will go and visit her instead.
context: to the Heavenly Lord and the Crown Prince.\It's too dangerous to make this woman the future Consort or Heavenly Empress.\Exactly!\However, these are still just our speculations.\She is after all High God Bai Qian and the Queen of Qing Qiu.\She is not one we can offend.\She has been to the Celestial Palace twice without greeting me.\Today, I will go and visit her instead. response:	Mother, you're reading too quickly.
context: It's too dangerous to make this woman the future Consort or Heavenly Empress.\Exactly!\However, these are still just our speculations.\She is after all High God Bai Qian and the Queen of Qing Qiu.\She is not one we can offend.\She has been to the Celestial Palace twice without greeting me.\Today, I will go and visit her instead.\Mother, you're reading too quickly. response:	Why would a child read so carefully?
context: Exactly!\However, these are still just our speculations.\She is after all High God Bai Qian and the Queen of Qing Qiu.\She is not one we can offend.\She has been to the Celestial Palace twice without greeting me.\Today, I will go and visit her instead.\Mother, you're reading too quickly.\Why would a child read so carefully? response:	I'll tell you the story when I'm done reading it.
context: However, these are still just our speculations.\She is after all High God Bai Qian and the Queen of Qing Qiu.\She is not one we can offend.\She has been to the Celestial Palace twice without greeting me.\Today, I will go and visit her instead.\Mother, you're reading too quickly.\Why would a child read so carefully?\I'll tell you the story when I'm done reading it. response:	- Your Highness! - Your Highness!
context: She is after all High God Bai Qian and the Queen of Qing Qiu.\She is not one we can offend.\She has been to the Celestial Palace twice without greeting me.\Today, I will go and visit her instead.\Mother, you're reading too quickly.\Why would a child read so carefully?\I'll tell you the story when I'm done reading it.\- Your Highness! - Your Highness! response:	You may all get up.
context: She is not one we can offend.\She has been to the Celestial Palace twice without greeting me.\Today, I will go and visit her instead.\Mother, you're reading too quickly.\Why would a child read so carefully?\I'll tell you the story when I'm done reading it.\- Your Highness! - Your Highness!\You may all get up. response:	Greetings, Grandmother.
