context: Not yet. I'm not finished... response:	I'm going to be... the Wizard King.
context: Even without magical powers...\I'm going to become the Wizard King!\Not giving up...\is my magic!\I built up my muscles since I couldn't use any magic.\Looks like they came in handy after all.\Asta...\Asta, are you okay? response:	I'm so sorry. It's all my fault... I'm sorry...
context: I'm going to become the Wizard King!\Not giving up...\is my magic!\I built up my muscles since I couldn't use any magic.\Looks like they came in handy after all.\Asta...\Asta, are you okay?\I'm so sorry. It's all my fault... I'm sorry... response:	This is nothin'!
context: Not giving up...\is my magic!\I built up my muscles since I couldn't use any magic.\Looks like they came in handy after all.\Asta...\Asta, are you okay?\I'm so sorry. It's all my fault... I'm sorry...\This is nothin'! response:	I'm gonna become the Wizard King.
context: is my magic!\I built up my muscles since I couldn't use any magic.\Looks like they came in handy after all.\Asta...\Asta, are you okay?\I'm so sorry. It's all my fault... I'm sorry...\This is nothin'!\I'm gonna become the Wizard King. response:	I'm gonna become the Wizard King... and protect you and everyone else.
context: I built up my muscles since I couldn't use any magic.\Looks like they came in handy after all.\Asta...\Asta, are you okay?\I'm so sorry. It's all my fault... I'm sorry...\This is nothin'!\I'm gonna become the Wizard King.\I'm gonna become the Wizard King... and protect you and everyone else. response:	I'm gonna make everyone even happier! So we can have even nicer things!
context: Looks like they came in handy after all.\Asta...\Asta, are you okay?\I'm so sorry. It's all my fault... I'm sorry...\This is nothin'!\I'm gonna become the Wizard King.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things! response:	And then, I'm gonna prove to everyone...
context: Asta...\Asta, are you okay?\I'm so sorry. It's all my fault... I'm sorry...\This is nothin'!\I'm gonna become the Wizard King.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone... response:	Prove?
context: Asta, are you okay?\I'm so sorry. It's all my fault... I'm sorry...\This is nothin'!\I'm gonna become the Wizard King.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove? response:	That even if you're poor... or an orphan...
context: I'm so sorry. It's all my fault... I'm sorry...\This is nothin'!\I'm gonna become the Wizard King.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan... response:	you can still become the Wizard King.
context: This is nothin'!\I'm gonna become the Wizard King.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King. response:	We can?
context: I'm gonna become the Wizard King.\I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\We can? response:	Yeah.
context: I'm gonna become the Wizard King... and protect you and everyone else.\I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\We can?\Yeah. response:	Can we really?
context: I'm gonna make everyone even happier! So we can have even nicer things!\And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\We can?\Yeah.\Can we really? response:	Anyone can... if they work hard enough!
context: And then, I'm gonna prove to everyone...\Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\We can?\Yeah.\Can we really?\Anyone can... if they work hard enough! response:	Anyone?
context: Prove?\That even if you're poor... or an orphan...\you can still become the Wizard King.\We can?\Yeah.\Can we really?\Anyone can... if they work hard enough!\Anyone? response:	Me, or even you, Yuno!
context: That even if you're poor... or an orphan...\you can still become the Wizard King.\We can?\Yeah.\Can we really?\Anyone can... if they work hard enough!\Anyone?\Me, or even you, Yuno! response:	I'll... never cry again.
context: you can still become the Wizard King.\We can?\Yeah.\Can we really?\Anyone can... if they work hard enough!\Anyone?\Me, or even you, Yuno!\I'll... never cry again. response:	Maybe I... no...
context: We can?\Yeah.\Can we really?\Anyone can... if they work hard enough!\Anyone?\Me, or even you, Yuno!\I'll... never cry again.\Maybe I... no... response:	Yuno?
context: Yeah.\Can we really?\Anyone can... if they work hard enough!\Anyone?\Me, or even you, Yuno!\I'll... never cry again.\Maybe I... no...\Yuno? response:	I will...
context: Can we really?\Anyone can... if they work hard enough!\Anyone?\Me, or even you, Yuno!\I'll... never cry again.\Maybe I... no...\Yuno?\I will... response:	I'll become the Wizard King, too!
context: Anyone can... if they work hard enough!\Anyone?\Me, or even you, Yuno!\I'll... never cry again.\Maybe I... no...\Yuno?\I will...\I'll become the Wizard King, too! response:	I'll get stronger, and protect you and everyone else!
context: Anyone?\Me, or even you, Yuno!\I'll... never cry again.\Maybe I... no...\Yuno?\I will...\I'll become the Wizard King, too!\I'll get stronger, and protect you and everyone else! response:	I'm gonna make everyone happier! So we can have nicer things!
context: Me, or even you, Yuno!\I'll... never cry again.\Maybe I... no...\Yuno?\I will...\I'll become the Wizard King, too!\I'll get stronger, and protect you and everyone else!\I'm gonna make everyone happier! So we can have nicer things! response:	Yuno! Look, look! I got my own grimoire!
context: I'll... never cry again.\Maybe I... no...\Yuno?\I will...\I'll become the Wizard King, too!\I'll get stronger, and protect you and everyone else!\I'm gonna make everyone happier! So we can have nicer things!\Yuno! Look, look! I got my own grimoire! response:	It's insanely shabby, but I'm gonna take good care of it for the rest of my life!
context: Maybe I... no...\Yuno?\I will...\I'll become the Wizard King, too!\I'll get stronger, and protect you and everyone else!\I'm gonna make everyone happier! So we can have nicer things!\Yuno! Look, look! I got my own grimoire!\It's insanely shabby, but I'm gonna take good care of it for the rest of my life! response:	There, there, there, there, there. There, there, there, there.
context: Yuno?\I will...\I'll become the Wizard King, too!\I'll get stronger, and protect you and everyone else!\I'm gonna make everyone happier! So we can have nicer things!\Yuno! Look, look! I got my own grimoire!\It's insanely shabby, but I'm gonna take good care of it for the rest of my life!\There, there, there, there, there. There, there, there, there. response:	I guess...
context: I will...\I'll become the Wizard King, too!\I'll get stronger, and protect you and everyone else!\I'm gonna make everyone happier! So we can have nicer things!\Yuno! Look, look! I got my own grimoire!\It's insanely shabby, but I'm gonna take good care of it for the rest of my life!\There, there, there, there, there. There, there, there, there.\I guess... response:	you saved me again.
context: I'll become the Wizard King, too!\I'll get stronger, and protect you and everyone else!\I'm gonna make everyone happier! So we can have nicer things!\Yuno! Look, look! I got my own grimoire!\It's insanely shabby, but I'm gonna take good care of it for the rest of my life!\There, there, there, there, there. There, there, there, there.\I guess...\you saved me again. response:	I'll repay you for this someday.
context: I'll get stronger, and protect you and everyone else!\I'm gonna make everyone happier! So we can have nicer things!\Yuno! Look, look! I got my own grimoire!\It's insanely shabby, but I'm gonna take good care of it for the rest of my life!\There, there, there, there, there. There, there, there, there.\I guess...\you saved me again.\I'll repay you for this someday. response:	Asta...
context: I'm gonna make everyone happier! So we can have nicer things!\Yuno! Look, look! I got my own grimoire!\It's insanely shabby, but I'm gonna take good care of it for the rest of my life!\There, there, there, there, there. There, there, there, there.\I guess...\you saved me again.\I'll repay you for this someday.\Asta... response:	Do you remember our promise?
context: Yuno! Look, look! I got my own grimoire!\It's insanely shabby, but I'm gonna take good care of it for the rest of my life!\There, there, there, there, there. There, there, there, there.\I guess...\you saved me again.\I'll repay you for this someday.\Asta...\Do you remember our promise? response:	So you're gonna become the Wizard King, too?
context: It's insanely shabby, but I'm gonna take good care of it for the rest of my life!\There, there, there, there, there. There, there, there, there.\I guess...\you saved me again.\I'll repay you for this someday.\Asta...\Do you remember our promise?\So you're gonna become the Wizard King, too? response:	That means...
context: There, there, there, there, there. There, there, there, there.\I guess...\you saved me again.\I'll repay you for this someday.\Asta...\Do you remember our promise?\So you're gonna become the Wizard King, too?\That means... response:	Yuno, you're...
context: I guess...\you saved me again.\I'll repay you for this someday.\Asta...\Do you remember our promise?\So you're gonna become the Wizard King, too?\That means...\Yuno, you're... response:	Asta, you're...
context: you saved me again.\I'll repay you for this someday.\Asta...\Do you remember our promise?\So you're gonna become the Wizard King, too?\That means...\Yuno, you're...\Asta, you're... response:	You mean you remember it?
context: I'll repay you for this someday.\Asta...\Do you remember our promise?\So you're gonna become the Wizard King, too?\That means...\Yuno, you're...\Asta, you're...\You mean you remember it? response:	I thought you were just making fun of me.
context: Asta...\Do you remember our promise?\So you're gonna become the Wizard King, too?\That means...\Yuno, you're...\Asta, you're...\You mean you remember it?\I thought you were just making fun of me. response:	I have no interest in being too friendly with my rival.
context: Do you remember our promise?\So you're gonna become the Wizard King, too?\That means...\Yuno, you're...\Asta, you're...\You mean you remember it?\I thought you were just making fun of me.\I have no interest in being too friendly with my rival. response:	But you're the one who gave me hope.
context: So you're gonna become the Wizard King, too?\That means...\Yuno, you're...\Asta, you're...\You mean you remember it?\I thought you were just making fun of me.\I have no interest in being too friendly with my rival.\But you're the one who gave me hope. response:	Even if you're poor, an orphan...
context: That means...\Yuno, you're...\Asta, you're...\You mean you remember it?\I thought you were just making fun of me.\I have no interest in being too friendly with my rival.\But you're the one who gave me hope.\Even if you're poor, an orphan... response:	or even us...
context: Yuno, you're...\Asta, you're...\You mean you remember it?\I thought you were just making fun of me.\I have no interest in being too friendly with my rival.\But you're the one who gave me hope.\Even if you're poor, an orphan...\or even us... response:	We can become greater than anyone else in this world. And to prove that...
context: Asta, you're...\You mean you remember it?\I thought you were just making fun of me.\I have no interest in being too friendly with my rival.\But you're the one who gave me hope.\Even if you're poor, an orphan...\or even us...\We can become greater than anyone else in this world. And to prove that... response:	To make Sister and everyone else happy...
context: You mean you remember it?\I thought you were just making fun of me.\I have no interest in being too friendly with my rival.\But you're the one who gave me hope.\Even if you're poor, an orphan...\or even us...\We can become greater than anyone else in this world. And to prove that...\To make Sister and everyone else happy... response:	Let's see who can become the Wizard King!
context: I thought you were just making fun of me.\I have no interest in being too friendly with my rival.\But you're the one who gave me hope.\Even if you're poor, an orphan...\or even us...\We can become greater than anyone else in this world. And to prove that...\To make Sister and everyone else happy...\Let's see who can become the Wizard King! response:	No one can escape from here
context: I have no interest in being too friendly with my rival.\But you're the one who gave me hope.\Even if you're poor, an orphan...\or even us...\We can become greater than anyone else in this world. And to prove that...\To make Sister and everyone else happy...\Let's see who can become the Wizard King!\No one can escape from here response:	Once again in the small closed off classroom
context: But you're the one who gave me hope.\Even if you're poor, an orphan...\or even us...\We can become greater than anyone else in this world. And to prove that...\To make Sister and everyone else happy...\Let's see who can become the Wizard King!\No one can escape from here\Once again in the small closed off classroom response:	The star of the class was shining yet again
context: Even if you're poor, an orphan...\or even us...\We can become greater than anyone else in this world. And to prove that...\To make Sister and everyone else happy...\Let's see who can become the Wizard King!\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again response:	They shine so bright that I close my eyes
context: or even us...\We can become greater than anyone else in this world. And to prove that...\To make Sister and everyone else happy...\Let's see who can become the Wizard King!\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes response:	I've thought many times
context: We can become greater than anyone else in this world. And to prove that...\To make Sister and everyone else happy...\Let's see who can become the Wizard King!\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times response:	That the revolution was within my hands
context: To make Sister and everyone else happy...\Let's see who can become the Wizard King!\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands response:	Isn't it strange? If you want to laugh, go ahead and laugh
context: Let's see who can become the Wizard King!\No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh response:	The rest of us who were left behind wanted to become something
context: No one can escape from here\Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something response:	We repeat the same morning over and over
context: Once again in the small closed off classroom\The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over response:	You're the only one who can choose your tomorrow
context: The star of the class was shining yet again\They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow response:	Let's go beyond our current selves
context: They shine so bright that I close my eyes\I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves response:	Even though I can't use magic, I'm going to join the Magic Knights!
context: I've thought many times\That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves\Even though I can't use magic, I'm going to join the Magic Knights! response:	So that I can become the Wizard King!
context: That the revolution was within my hands\Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves\Even though I can't use magic, I'm going to join the Magic Knights!\So that I can become the Wizard King! response:	Black Clover, Page 3: To the Royal Capital of the Clover Kingdom!
context: Isn't it strange? If you want to laugh, go ahead and laugh\The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves\Even though I can't use magic, I'm going to join the Magic Knights!\So that I can become the Wizard King!\Black Clover, Page 3: To the Royal Capital of the Clover Kingdom! response:	Page 3 To the Royal Capital of the Clover Kingdom!
context: The rest of us who were left behind wanted to become something\We repeat the same morning over and over\You're the only one who can choose your tomorrow\Let's go beyond our current selves\Even though I can't use magic, I'm going to join the Magic Knights!\So that I can become the Wizard King!\Black Clover, Page 3: To the Royal Capital of the Clover Kingdom!\Page 3 To the Royal Capital of the Clover Kingdom! response:	Not giving up is my magic!
