context: This is a BETA version. response:	I will go to Europe.
context: That's right, Mine.\It shouldn't be a stagnant orchestra,\but an orchestra that will progress with time...\See you! Bye!\Bye!\Ah!\Venus is rising!\Idiot!! response:	OK, Chiaki-kun!
context: It shouldn't be a stagnant orchestra,\but an orchestra that will progress with time...\See you! Bye!\Bye!\Ah!\Venus is rising!\Idiot!!\OK, Chiaki-kun! response:	Tonight, in order to deepen our friendship,
context: but an orchestra that will progress with time...\See you! Bye!\Bye!\Ah!\Venus is rising!\Idiot!!\OK, Chiaki-kun!\Tonight, in order to deepen our friendship, response:	let's the two of us have a chat until morning!
context: See you! Bye!\Bye!\Ah!\Venus is rising!\Idiot!!\OK, Chiaki-kun!\Tonight, in order to deepen our friendship,\let's the two of us have a chat until morning! response:	Where's your house?
context: Bye!\Ah!\Venus is rising!\Idiot!!\OK, Chiaki-kun!\Tonight, in order to deepen our friendship,\let's the two of us have a chat until morning!\Where's your house? response:	Chiaki-Samaaa!!!
context: Ah!\Venus is rising!\Idiot!!\OK, Chiaki-kun!\Tonight, in order to deepen our friendship,\let's the two of us have a chat until morning!\Where's your house?\Chiaki-Samaaa!!! response:	Chiaki-Sama, hurry up!!
context: Venus is rising!\Idiot!!\OK, Chiaki-kun!\Tonight, in order to deepen our friendship,\let's the two of us have a chat until morning!\Where's your house?\Chiaki-Samaaa!!!\Chiaki-Sama, hurry up!! response:	Take this chance to escape!
context: Idiot!!\OK, Chiaki-kun!\Tonight, in order to deepen our friendship,\let's the two of us have a chat until morning!\Where's your house?\Chiaki-Samaaa!!!\Chiaki-Sama, hurry up!!\Take this chance to escape! response:	Masumi, you followed me for this?
context: OK, Chiaki-kun!\Tonight, in order to deepen our friendship,\let's the two of us have a chat until morning!\Where's your house?\Chiaki-Samaaa!!!\Chiaki-Sama, hurry up!!\Take this chance to escape!\Masumi, you followed me for this? response:	Yes!! Hurry!
context: Tonight, in order to deepen our friendship,\let's the two of us have a chat until morning!\Where's your house?\Chiaki-Samaaa!!!\Chiaki-Sama, hurry up!!\Take this chance to escape!\Masumi, you followed me for this?\Yes!! Hurry! response:	OK
context: let's the two of us have a chat until morning!\Where's your house?\Chiaki-Samaaa!!!\Chiaki-Sama, hurry up!!\Take this chance to escape!\Masumi, you followed me for this?\Yes!! Hurry!\OK response:	I must do my part too...
context: Where's your house?\Chiaki-Samaaa!!!\Chiaki-Sama, hurry up!!\Take this chance to escape!\Masumi, you followed me for this?\Yes!! Hurry!\OK\I must do my part too... response:	Eh, Chiaki-kun! What's up?
context: Chiaki-Samaaa!!!\Chiaki-Sama, hurry up!!\Take this chance to escape!\Masumi, you followed me for this?\Yes!! Hurry!\OK\I must do my part too...\Eh, Chiaki-kun! What's up? response:	I have a favor to ask concerning the Rising Star
context: Chiaki-Sama, hurry up!!\Take this chance to escape!\Masumi, you followed me for this?\Yes!! Hurry!\OK\I must do my part too...\Eh, Chiaki-kun! What's up?\I have a favor to ask concerning the Rising Star response:	Eh?
context: Take this chance to escape!\Masumi, you followed me for this?\Yes!! Hurry!\OK\I must do my part too...\Eh, Chiaki-kun! What's up?\I have a favor to ask concerning the Rising Star\Eh? response:	And then...
context: Masumi, you followed me for this?\Yes!! Hurry!\OK\I must do my part too...\Eh, Chiaki-kun! What's up?\I have a favor to ask concerning the Rising Star\Eh?\And then... response:	There's another one who's progressing in a dizzy way
context: Yes!! Hurry!\OK\I must do my part too...\Eh, Chiaki-kun! What's up?\I have a favor to ask concerning the Rising Star\Eh?\And then...\There's another one who's progressing in a dizzy way response:	No, it's wrong...
context: OK\I must do my part too...\Eh, Chiaki-kun! What's up?\I have a favor to ask concerning the Rising Star\Eh?\And then...\There's another one who's progressing in a dizzy way\No, it's wrong... response:	The second finger was wrong...
context: I must do my part too...\Eh, Chiaki-kun! What's up?\I have a favor to ask concerning the Rising Star\Eh?\And then...\There's another one who's progressing in a dizzy way\No, it's wrong...\The second finger was wrong... response:	The rhythm was wrong...
context: Eh, Chiaki-kun! What's up?\I have a favor to ask concerning the Rising Star\Eh?\And then...\There's another one who's progressing in a dizzy way\No, it's wrong...\The second finger was wrong...\The rhythm was wrong... response:	Why is it so, Schumann?
context: I have a favor to ask concerning the Rising Star\Eh?\And then...\There's another one who's progressing in a dizzy way\No, it's wrong...\The second finger was wrong...\The rhythm was wrong...\Why is it so, Schumann? response:	Nodame-chan?
context: Eh?\And then...\There's another one who's progressing in a dizzy way\No, it's wrong...\The second finger was wrong...\The rhythm was wrong...\Why is it so, Schumann?\Nodame-chan? response:	You have to eat lunch properly!
context: And then...\There's another one who's progressing in a dizzy way\No, it's wrong...\The second finger was wrong...\The rhythm was wrong...\Why is it so, Schumann?\Nodame-chan?\You have to eat lunch properly! response:	You haven't eaten anything since yesterday!
context: There's another one who's progressing in a dizzy way\No, it's wrong...\The second finger was wrong...\The rhythm was wrong...\Why is it so, Schumann?\Nodame-chan?\You have to eat lunch properly!\You haven't eaten anything since yesterday! response:	Nodame-chan, what's that??
context: No, it's wrong...\The second finger was wrong...\The rhythm was wrong...\Why is it so, Schumann?\Nodame-chan?\You have to eat lunch properly!\You haven't eaten anything since yesterday!\Nodame-chan, what's that?? response:	You must take a rest!
context: The second finger was wrong...\The rhythm was wrong...\Why is it so, Schumann?\Nodame-chan?\You have to eat lunch properly!\You haven't eaten anything since yesterday!\Nodame-chan, what's that??\You must take a rest! response:	Or take some fresh air outside!!
context: The rhythm was wrong...\Why is it so, Schumann?\Nodame-chan?\You have to eat lunch properly!\You haven't eaten anything since yesterday!\Nodame-chan, what's that??\You must take a rest!\Or take some fresh air outside!! response:	Wow. Noda Megumi? She passed the 2nd stage?
context: Why is it so, Schumann?\Nodame-chan?\You have to eat lunch properly!\You haven't eaten anything since yesterday!\Nodame-chan, what's that??\You must take a rest!\Or take some fresh air outside!!\Wow. Noda Megumi? She passed the 2nd stage? response:	4th year Tsuboi Ryuuji 3rd year Noda Megumi
context: Nodame-chan?\You have to eat lunch properly!\You haven't eaten anything since yesterday!\Nodame-chan, what's that??\You must take a rest!\Or take some fresh air outside!!\Wow. Noda Megumi? She passed the 2nd stage?\4th year Tsuboi Ryuuji 3rd year Noda Megumi response:	Nodame, all of a sudden..?
context: You have to eat lunch properly!\You haven't eaten anything since yesterday!\Nodame-chan, what's that??\You must take a rest!\Or take some fresh air outside!!\Wow. Noda Megumi? She passed the 2nd stage?\4th year Tsuboi Ryuuji 3rd year Noda Megumi\Nodame, all of a sudden..? response:	Ah..
context: You haven't eaten anything since yesterday!\Nodame-chan, what's that??\You must take a rest!\Or take some fresh air outside!!\Wow. Noda Megumi? She passed the 2nd stage?\4th year Tsuboi Ryuuji 3rd year Noda Megumi\Nodame, all of a sudden..?\Ah.. response:	Eto Sensei!
context: Nodame-chan, what's that??\You must take a rest!\Or take some fresh air outside!!\Wow. Noda Megumi? She passed the 2nd stage?\4th year Tsuboi Ryuuji 3rd year Noda Megumi\Nodame, all of a sudden..?\Ah..\Eto Sensei! response:	What is it?
context: You must take a rest!\Or take some fresh air outside!!\Wow. Noda Megumi? She passed the 2nd stage?\4th year Tsuboi Ryuuji 3rd year Noda Megumi\Nodame, all of a sudden..?\Ah..\Eto Sensei!\What is it? response:	How is Nodame? Can she win?
context: Or take some fresh air outside!!\Wow. Noda Megumi? She passed the 2nd stage?\4th year Tsuboi Ryuuji 3rd year Noda Megumi\Nodame, all of a sudden..?\Ah..\Eto Sensei!\What is it?\How is Nodame? Can she win? response:	Ahhh..
context: Wow. Noda Megumi? She passed the 2nd stage?\4th year Tsuboi Ryuuji 3rd year Noda Megumi\Nodame, all of a sudden..?\Ah..\Eto Sensei!\What is it?\How is Nodame? Can she win?\Ahhh.. response:	It's unknown yet whether Noda will finish practising it till the Final Stage
context: 4th year Tsuboi Ryuuji 3rd year Noda Megumi\Nodame, all of a sudden..?\Ah..\Eto Sensei!\What is it?\How is Nodame? Can she win?\Ahhh..\It's unknown yet whether Noda will finish practising it till the Final Stage response:	Today she'll have to practice until midnight again.
context: Nodame, all of a sudden..?\Ah..\Eto Sensei!\What is it?\How is Nodame? Can she win?\Ahhh..\It's unknown yet whether Noda will finish practising it till the Final Stage\Today she'll have to practice until midnight again. response:	In any case, Schumann...
context: Ah..\Eto Sensei!\What is it?\How is Nodame? Can she win?\Ahhh..\It's unknown yet whether Noda will finish practising it till the Final Stage\Today she'll have to practice until midnight again.\In any case, Schumann... response:	That one will sure take time to master..
context: Eto Sensei!\What is it?\How is Nodame? Can she win?\Ahhh..\It's unknown yet whether Noda will finish practising it till the Final Stage\Today she'll have to practice until midnight again.\In any case, Schumann...\That one will sure take time to master.. response:	Eh?
context: What is it?\How is Nodame? Can she win?\Ahhh..\It's unknown yet whether Noda will finish practising it till the Final Stage\Today she'll have to practice until midnight again.\In any case, Schumann...\That one will sure take time to master..\Eh? response:	Eh??
context: How is Nodame? Can she win?\Ahhh..\It's unknown yet whether Noda will finish practising it till the Final Stage\Today she'll have to practice until midnight again.\In any case, Schumann...\That one will sure take time to master..\Eh?\Eh?? response:	She already mastered it! How come so sudden?
context: Ahhh..\It's unknown yet whether Noda will finish practising it till the Final Stage\Today she'll have to practice until midnight again.\In any case, Schumann...\That one will sure take time to master..\Eh?\Eh??\She already mastered it! How come so sudden? response:	What is that?
context: It's unknown yet whether Noda will finish practising it till the Final Stage\Today she'll have to practice until midnight again.\In any case, Schumann...\That one will sure take time to master..\Eh?\Eh??\She already mastered it! How come so sudden?\What is that? response:	Nodame-chan was doing it!
context: Today she'll have to practice until midnight again.\In any case, Schumann...\That one will sure take time to master..\Eh?\Eh??\She already mastered it! How come so sudden?\What is that?\Nodame-chan was doing it! response:	I have no idea what it means
context: In any case, Schumann...\That one will sure take time to master..\Eh?\Eh??\She already mastered it! How come so sudden?\What is that?\Nodame-chan was doing it!\I have no idea what it means response:	I wonder if this one is plus and this one is minus?
context: That one will sure take time to master..\Eh?\Eh??\She already mastered it! How come so sudden?\What is that?\Nodame-chan was doing it!\I have no idea what it means\I wonder if this one is plus and this one is minus? response:	Electrical charge?
context: Eh?\Eh??\She already mastered it! How come so sudden?\What is that?\Nodame-chan was doing it!\I have no idea what it means\I wonder if this one is plus and this one is minus?\Electrical charge? response:	Did someone come and teach her?
context: Eh??\She already mastered it! How come so sudden?\What is that?\Nodame-chan was doing it!\I have no idea what it means\I wonder if this one is plus and this one is minus?\Electrical charge?\Did someone come and teach her? response:	AAA, please don't say such a scary thing!
context: She already mastered it! How come so sudden?\What is that?\Nodame-chan was doing it!\I have no idea what it means\I wonder if this one is plus and this one is minus?\Electrical charge?\Did someone come and teach her?\AAA, please don't say such a scary thing! response:	Nobody came!
context: What is that?\Nodame-chan was doing it!\I have no idea what it means\I wonder if this one is plus and this one is minus?\Electrical charge?\Did someone come and teach her?\AAA, please don't say such a scary thing!\Nobody came! response:	Nodame-chan kept practising by herself
context: Nodame-chan was doing it!\I have no idea what it means\I wonder if this one is plus and this one is minus?\Electrical charge?\Did someone come and teach her?\AAA, please don't say such a scary thing!\Nobody came!\Nodame-chan kept practising by herself response:	She kept repeating the same Movement over and over...
context: I have no idea what it means\I wonder if this one is plus and this one is minus?\Electrical charge?\Did someone come and teach her?\AAA, please don't say such a scary thing!\Nobody came!\Nodame-chan kept practising by herself\She kept repeating the same Movement over and over... response:	and blah blah blah speaking to herself...
context: I wonder if this one is plus and this one is minus?\Electrical charge?\Did someone come and teach her?\AAA, please don't say such a scary thing!\Nobody came!\Nodame-chan kept practising by herself\She kept repeating the same Movement over and over...\and blah blah blah speaking to herself... response:	and then...
context: Electrical charge?\Did someone come and teach her?\AAA, please don't say such a scary thing!\Nobody came!\Nodame-chan kept practising by herself\She kept repeating the same Movement over and over...\and blah blah blah speaking to herself...\and then... response:	electrical charge?
context: Did someone come and teach her?\AAA, please don't say such a scary thing!\Nobody came!\Nodame-chan kept practising by herself\She kept repeating the same Movement over and over...\and blah blah blah speaking to herself...\and then...\electrical charge? response:	What are these, actually!
context: AAA, please don't say such a scary thing!\Nobody came!\Nodame-chan kept practising by herself\She kept repeating the same Movement over and over...\and blah blah blah speaking to herself...\and then...\electrical charge?\What are these, actually! response:	It's the same as before.
context: Nobody came!\Nodame-chan kept practising by herself\She kept repeating the same Movement over and over...\and blah blah blah speaking to herself...\and then...\electrical charge?\What are these, actually!\It's the same as before. response:	When I thought that she was playing Schubert messily,
context: Nodame-chan kept practising by herself\She kept repeating the same Movement over and over...\and blah blah blah speaking to herself...\and then...\electrical charge?\What are these, actually!\It's the same as before.\When I thought that she was playing Schubert messily, response:	the next day suddenly she could play it correctly!
context: She kept repeating the same Movement over and over...\and blah blah blah speaking to herself...\and then...\electrical charge?\What are these, actually!\It's the same as before.\When I thought that she was playing Schubert messily,\the next day suddenly she could play it correctly! response:	When I thought she could manage to play a difficult piece perfectly,
context: and blah blah blah speaking to herself...\and then...\electrical charge?\What are these, actually!\It's the same as before.\When I thought that she was playing Schubert messily,\the next day suddenly she could play it correctly!\When I thought she could manage to play a difficult piece perfectly, response:	on stage, that was...
context: and then...\electrical charge?\What are these, actually!\It's the same as before.\When I thought that she was playing Schubert messily,\the next day suddenly she could play it correctly!\When I thought she could manage to play a difficult piece perfectly,\on stage, that was... response:	What kind of kid is she?
context: electrical charge?\What are these, actually!\It's the same as before.\When I thought that she was playing Schubert messily,\the next day suddenly she could play it correctly!\When I thought she could manage to play a difficult piece perfectly,\on stage, that was...\What kind of kid is she? response:	The no-good version again??
context: What are these, actually!\It's the same as before.\When I thought that she was playing Schubert messily,\the next day suddenly she could play it correctly!\When I thought she could manage to play a difficult piece perfectly,\on stage, that was...\What kind of kid is she?\The no-good version again?? response:	I don't get it at all...
context: It's the same as before.\When I thought that she was playing Schubert messily,\the next day suddenly she could play it correctly!\When I thought she could manage to play a difficult piece perfectly,\on stage, that was...\What kind of kid is she?\The no-good version again??\I don't get it at all... response:	I don't have the experience of having such a pupil like her before.
context: When I thought that she was playing Schubert messily,\the next day suddenly she could play it correctly!\When I thought she could manage to play a difficult piece perfectly,\on stage, that was...\What kind of kid is she?\The no-good version again??\I don't get it at all...\I don't have the experience of having such a pupil like her before. response:	How should I teach her..geeezz!!!
context: the next day suddenly she could play it correctly!\When I thought she could manage to play a difficult piece perfectly,\on stage, that was...\What kind of kid is she?\The no-good version again??\I don't get it at all...\I don't have the experience of having such a pupil like her before.\How should I teach her..geeezz!!! response:	Eh, Noda!!
context: When I thought she could manage to play a difficult piece perfectly,\on stage, that was...\What kind of kid is she?\The no-good version again??\I don't get it at all...\I don't have the experience of having such a pupil like her before.\How should I teach her..geeezz!!!\Eh, Noda!! response:	What are you doing?
context: on stage, that was...\What kind of kid is she?\The no-good version again??\I don't get it at all...\I don't have the experience of having such a pupil like her before.\How should I teach her..geeezz!!!\Eh, Noda!!\What are you doing? response:	Oi!
context: What kind of kid is she?\The no-good version again??\I don't get it at all...\I don't have the experience of having such a pupil like her before.\How should I teach her..geeezz!!!\Eh, Noda!!\What are you doing?\Oi! response:	Oi! Noda!
context: The no-good version again??\I don't get it at all...\I don't have the experience of having such a pupil like her before.\How should I teach her..geeezz!!!\Eh, Noda!!\What are you doing?\Oi!\Oi! Noda! response:	Oh no!
context: I don't get it at all...\I don't have the experience of having such a pupil like her before.\How should I teach her..geeezz!!!\Eh, Noda!!\What are you doing?\Oi!\Oi! Noda!\Oh no! response:	Hey, Noda!
context: I don't have the experience of having such a pupil like her before.\How should I teach her..geeezz!!!\Eh, Noda!!\What are you doing?\Oi!\Oi! Noda!\Oh no!\Hey, Noda! response:	KAORI!!!
context: How should I teach her..geeezz!!!\Eh, Noda!!\What are you doing?\Oi!\Oi! Noda!\Oh no!\Hey, Noda!\KAORI!!! response:	Oi, what's wrong?
context: Eh, Noda!!\What are you doing?\Oi!\Oi! Noda!\Oh no!\Hey, Noda!\KAORI!!!\Oi, what's wrong? response:	Saiko..
context: What are you doing?\Oi!\Oi! Noda!\Oh no!\Hey, Noda!\KAORI!!!\Oi, what's wrong?\Saiko.. response:	Good evening
context: Oi!\Oi! Noda!\Oh no!\Hey, Noda!\KAORI!!!\Oi, what's wrong?\Saiko..\Good evening response:	So you were studying just now?
context: Oi! Noda!\Oh no!\Hey, Noda!\KAORI!!!\Oi, what's wrong?\Saiko..\Good evening\So you were studying just now? response:	Yes
context: Oh no!\Hey, Noda!\KAORI!!!\Oi, what's wrong?\Saiko..\Good evening\So you were studying just now?\Yes response:	What is it?
context: Hey, Noda!\KAORI!!!\Oi, what's wrong?\Saiko..\Good evening\So you were studying just now?\Yes\What is it? response:	Actually I have some business with your neighbor next door, but she seems to be out.
context: KAORI!!!\Oi, what's wrong?\Saiko..\Good evening\So you were studying just now?\Yes\What is it?\Actually I have some business with your neighbor next door, but she seems to be out. response:	My neighbor?
context: Oi, what's wrong?\Saiko..\Good evening\So you were studying just now?\Yes\What is it?\Actually I have some business with your neighbor next door, but she seems to be out.\My neighbor? response:	I want to give it to her
context: Saiko..\Good evening\So you were studying just now?\Yes\What is it?\Actually I have some business with your neighbor next door, but she seems to be out.\My neighbor?\I want to give it to her response:	Christmas Concert R.S Orchestra December 25th, 2006 Suntory Hall
context: Good evening\So you were studying just now?\Yes\What is it?\Actually I have some business with your neighbor next door, but she seems to be out.\My neighbor?\I want to give it to her\Christmas Concert R.S Orchestra December 25th, 2006 Suntory Hall response:	It's because that girl seems to be trying hard to do her best
context: So you were studying just now?\Yes\What is it?\Actually I have some business with your neighbor next door, but she seems to be out.\My neighbor?\I want to give it to her\Christmas Concert R.S Orchestra December 25th, 2006 Suntory Hall\It's because that girl seems to be trying hard to do her best response:	I tried to do a few things in the past because I wanted Shinichi to love me
context: Yes\What is it?\Actually I have some business with your neighbor next door, but she seems to be out.\My neighbor?\I want to give it to her\Christmas Concert R.S Orchestra December 25th, 2006 Suntory Hall\It's because that girl seems to be trying hard to do her best\I tried to do a few things in the past because I wanted Shinichi to love me response:	But that girl...
context: What is it?\Actually I have some business with your neighbor next door, but she seems to be out.\My neighbor?\I want to give it to her\Christmas Concert R.S Orchestra December 25th, 2006 Suntory Hall\It's because that girl seems to be trying hard to do her best\I tried to do a few things in the past because I wanted Shinichi to love me\But that girl... response:	in order to be able to walk side by side with you,
context: Actually I have some business with your neighbor next door, but she seems to be out.\My neighbor?\I want to give it to her\Christmas Concert R.S Orchestra December 25th, 2006 Suntory Hall\It's because that girl seems to be trying hard to do her best\I tried to do a few things in the past because I wanted Shinichi to love me\But that girl...\in order to be able to walk side by side with you, response:	she is trying so very hard to catch up with you, isn't she?
context: My neighbor?\I want to give it to her\Christmas Concert R.S Orchestra December 25th, 2006 Suntory Hall\It's because that girl seems to be trying hard to do her best\I tried to do a few things in the past because I wanted Shinichi to love me\But that girl...\in order to be able to walk side by side with you,\she is trying so very hard to catch up with you, isn't she? response:	It will be great if she can do well in the Final Stage
context: I want to give it to her\Christmas Concert R.S Orchestra December 25th, 2006 Suntory Hall\It's because that girl seems to be trying hard to do her best\I tried to do a few things in the past because I wanted Shinichi to love me\But that girl...\in order to be able to walk side by side with you,\she is trying so very hard to catch up with you, isn't she?\It will be great if she can do well in the Final Stage response:	Yes
context: Christmas Concert R.S Orchestra December 25th, 2006 Suntory Hall\It's because that girl seems to be trying hard to do her best\I tried to do a few things in the past because I wanted Shinichi to love me\But that girl...\in order to be able to walk side by side with you,\she is trying so very hard to catch up with you, isn't she?\It will be great if she can do well in the Final Stage\Yes response:	Bye..
context: It's because that girl seems to be trying hard to do her best\I tried to do a few things in the past because I wanted Shinichi to love me\But that girl...\in order to be able to walk side by side with you,\she is trying so very hard to catch up with you, isn't she?\It will be great if she can do well in the Final Stage\Yes\Bye.. response:	Shinichi too..
context: I tried to do a few things in the past because I wanted Shinichi to love me\But that girl...\in order to be able to walk side by side with you,\she is trying so very hard to catch up with you, isn't she?\It will be great if she can do well in the Final Stage\Yes\Bye..\Shinichi too.. response:	It will be your last performance in japan, isn't it?
context: But that girl...\in order to be able to walk side by side with you,\she is trying so very hard to catch up with you, isn't she?\It will be great if she can do well in the Final Stage\Yes\Bye..\Shinichi too..\It will be your last performance in japan, isn't it? response:	Please do your best!
context: in order to be able to walk side by side with you,\she is trying so very hard to catch up with you, isn't she?\It will be great if she can do well in the Final Stage\Yes\Bye..\Shinichi too..\It will be your last performance in japan, isn't it?\Please do your best! response:	First floor, 12th row, Seat no 19 5000 yen (good seat)
context: she is trying so very hard to catch up with you, isn't she?\It will be great if she can do well in the Final Stage\Yes\Bye..\Shinichi too..\It will be your last performance in japan, isn't it?\Please do your best!\First floor, 12th row, Seat no 19 5000 yen (good seat) response:	The last..
context: It will be great if she can do well in the Final Stage\Yes\Bye..\Shinichi too..\It will be your last performance in japan, isn't it?\Please do your best!\First floor, 12th row, Seat no 19 5000 yen (good seat)\The last.. response:	38.8 Celcius?
context: Yes\Bye..\Shinichi too..\It will be your last performance in japan, isn't it?\Please do your best!\First floor, 12th row, Seat no 19 5000 yen (good seat)\The last..\38.8 Celcius? response:	What should we do, Kozo-san?
context: Bye..\Shinichi too..\It will be your last performance in japan, isn't it?\Please do your best!\First floor, 12th row, Seat no 19 5000 yen (good seat)\The last..\38.8 Celcius?\What should we do, Kozo-san? response:	I wonder if we had better take her to hospital?
context: Shinichi too..\It will be your last performance in japan, isn't it?\Please do your best!\First floor, 12th row, Seat no 19 5000 yen (good seat)\The last..\38.8 Celcius?\What should we do, Kozo-san?\I wonder if we had better take her to hospital? response:	Today is already very late...
context: It will be your last performance in japan, isn't it?\Please do your best!\First floor, 12th row, Seat no 19 5000 yen (good seat)\The last..\38.8 Celcius?\What should we do, Kozo-san?\I wonder if we had better take her to hospital?\Today is already very late... response:	for the time being let her rest.
context: Please do your best!\First floor, 12th row, Seat no 19 5000 yen (good seat)\The last..\38.8 Celcius?\What should we do, Kozo-san?\I wonder if we had better take her to hospital?\Today is already very late...\for the time being let her rest. response:	Yes...
context: First floor, 12th row, Seat no 19 5000 yen (good seat)\The last..\38.8 Celcius?\What should we do, Kozo-san?\I wonder if we had better take her to hospital?\Today is already very late...\for the time being let her rest.\Yes... response:	Do we still have antipiretics? (=medicine to reduce fever)
context: The last..\38.8 Celcius?\What should we do, Kozo-san?\I wonder if we had better take her to hospital?\Today is already very late...\for the time being let her rest.\Yes...\Do we still have antipiretics? (=medicine to reduce fever) response:	It's because she's always strange
context: 38.8 Celcius?\What should we do, Kozo-san?\I wonder if we had better take her to hospital?\Today is already very late...\for the time being let her rest.\Yes...\Do we still have antipiretics? (=medicine to reduce fever)\It's because she's always strange response:	so when she's really strange like now, I didn't notice it.
context: What should we do, Kozo-san?\I wonder if we had better take her to hospital?\Today is already very late...\for the time being let her rest.\Yes...\Do we still have antipiretics? (=medicine to reduce fever)\It's because she's always strange\so when she's really strange like now, I didn't notice it. response:	She's forcing herself too much
context: I wonder if we had better take her to hospital?\Today is already very late...\for the time being let her rest.\Yes...\Do we still have antipiretics? (=medicine to reduce fever)\It's because she's always strange\so when she's really strange like now, I didn't notice it.\She's forcing herself too much response:	she didn't even eat...
context: Today is already very late...\for the time being let her rest.\Yes...\Do we still have antipiretics? (=medicine to reduce fever)\It's because she's always strange\so when she's really strange like now, I didn't notice it.\She's forcing herself too much\she didn't even eat... response:	at a time when, because of the competition, the peak of exhaustion should be coming.
context: for the time being let her rest.\Yes...\Do we still have antipiretics? (=medicine to reduce fever)\It's because she's always strange\so when she's really strange like now, I didn't notice it.\She's forcing herself too much\she didn't even eat...\at a time when, because of the competition, the peak of exhaustion should be coming. response:	With this, it is completely time-over.
context: Yes...\Do we still have antipiretics? (=medicine to reduce fever)\It's because she's always strange\so when she's really strange like now, I didn't notice it.\She's forcing herself too much\she didn't even eat...\at a time when, because of the competition, the peak of exhaustion should be coming.\With this, it is completely time-over. response:	You don't have to do it anymore.
context: Do we still have antipiretics? (=medicine to reduce fever)\It's because she's always strange\so when she's really strange like now, I didn't notice it.\She's forcing herself too much\she didn't even eat...\at a time when, because of the competition, the peak of exhaustion should be coming.\With this, it is completely time-over.\You don't have to do it anymore. response:	Take a good rest.
context: It's because she's always strange\so when she's really strange like now, I didn't notice it.\She's forcing herself too much\she didn't even eat...\at a time when, because of the competition, the peak of exhaustion should be coming.\With this, it is completely time-over.\You don't have to do it anymore.\Take a good rest. response:	Whoever can go through those Petrouchka rings gets 2000.000 yen prize.
context: so when she's really strange like now, I didn't notice it.\She's forcing herself too much\she didn't even eat...\at a time when, because of the competition, the peak of exhaustion should be coming.\With this, it is completely time-over.\You don't have to do it anymore.\Take a good rest.\Whoever can go through those Petrouchka rings gets 2000.000 yen prize. response:	Nodame will go through them!
context: She's forcing herself too much\she didn't even eat...\at a time when, because of the competition, the peak of exhaustion should be coming.\With this, it is completely time-over.\You don't have to do it anymore.\Take a good rest.\Whoever can go through those Petrouchka rings gets 2000.000 yen prize.\Nodame will go through them! response:	I'll say it in advance
context: she didn't even eat...\at a time when, because of the competition, the peak of exhaustion should be coming.\With this, it is completely time-over.\You don't have to do it anymore.\Take a good rest.\Whoever can go through those Petrouchka rings gets 2000.000 yen prize.\Nodame will go through them!\I'll say it in advance response:	If you miss it, you'll be punished by swallowing 1000 needles!
context: at a time when, because of the competition, the peak of exhaustion should be coming.\With this, it is completely time-over.\You don't have to do it anymore.\Take a good rest.\Whoever can go through those Petrouchka rings gets 2000.000 yen prize.\Nodame will go through them!\I'll say it in advance\If you miss it, you'll be punished by swallowing 1000 needles! response:	You knew it too, didn't you?
context: With this, it is completely time-over.\You don't have to do it anymore.\Take a good rest.\Whoever can go through those Petrouchka rings gets 2000.000 yen prize.\Nodame will go through them!\I'll say it in advance\If you miss it, you'll be punished by swallowing 1000 needles!\You knew it too, didn't you? response:	In the past, you were in that room, right? Megumi-chan!
context: You don't have to do it anymore.\Take a good rest.\Whoever can go through those Petrouchka rings gets 2000.000 yen prize.\Nodame will go through them!\I'll say it in advance\If you miss it, you'll be punished by swallowing 1000 needles!\You knew it too, didn't you?\In the past, you were in that room, right? Megumi-chan! response:	Yuuto-kun...
context: Take a good rest.\Whoever can go through those Petrouchka rings gets 2000.000 yen prize.\Nodame will go through them!\I'll say it in advance\If you miss it, you'll be punished by swallowing 1000 needles!\You knew it too, didn't you?\In the past, you were in that room, right? Megumi-chan!\Yuuto-kun... response:	Petrouchka...
context: Whoever can go through those Petrouchka rings gets 2000.000 yen prize.\Nodame will go through them!\I'll say it in advance\If you miss it, you'll be punished by swallowing 1000 needles!\You knew it too, didn't you?\In the past, you were in that room, right? Megumi-chan!\Yuuto-kun...\Petrouchka... response:	Stravinsky, who was a pianist and conductor, changed this orchestra piece
context: Nodame will go through them!\I'll say it in advance\If you miss it, you'll be punished by swallowing 1000 needles!\You knew it too, didn't you?\In the past, you were in that room, right? Megumi-chan!\Yuuto-kun...\Petrouchka...\Stravinsky, who was a pianist and conductor, changed this orchestra piece response:	into a piano piece for the sake of a ballet
context: I'll say it in advance\If you miss it, you'll be punished by swallowing 1000 needles!\You knew it too, didn't you?\In the past, you were in that room, right? Megumi-chan!\Yuuto-kun...\Petrouchka...\Stravinsky, who was a pianist and conductor, changed this orchestra piece\into a piano piece for the sake of a ballet response:	An orchestra piece?
context: If you miss it, you'll be punished by swallowing 1000 needles!\You knew it too, didn't you?\In the past, you were in that room, right? Megumi-chan!\Yuuto-kun...\Petrouchka...\Stravinsky, who was a pianist and conductor, changed this orchestra piece\into a piano piece for the sake of a ballet\An orchestra piece? response:	It's a sad story about a puppet,
context: You knew it too, didn't you?\In the past, you were in that room, right? Megumi-chan!\Yuuto-kun...\Petrouchka...\Stravinsky, who was a pianist and conductor, changed this orchestra piece\into a piano piece for the sake of a ballet\An orchestra piece?\It's a sad story about a puppet, response:	who after given life by the puppeteer,
