context: The Infinity Clock is in our hands. response:	The amplitude limiter is almost finished.
context: Contracts with Celestial Spirits?\So he was a Celestial Spirit wizard as well as an author...\But there's more.\Will Neville had many disciples.\However, after he lied down for that eternal sleep,\his disciples dispersed, their whereabouts unknown.\What is this?\A biographical dictionary... I brought one from the storehouse. response:	Um... There!
context: So he was a Celestial Spirit wizard as well as an author...\But there's more.\Will Neville had many disciples.\However, after he lied down for that eternal sleep,\his disciples dispersed, their whereabouts unknown.\What is this?\A biographical dictionary... I brought one from the storehouse.\Um... There! response:	Will Neville, author...
context: But there's more.\Will Neville had many disciples.\However, after he lied down for that eternal sleep,\his disciples dispersed, their whereabouts unknown.\What is this?\A biographical dictionary... I brought one from the storehouse.\Um... There!\Will Neville, author... response:	What, a bird?
context: Will Neville had many disciples.\However, after he lied down for that eternal sleep,\his disciples dispersed, their whereabouts unknown.\What is this?\A biographical dictionary... I brought one from the storehouse.\Um... There!\Will Neville, author...\What, a bird? response:	It's like a VIP of a religious organization.
context: However, after he lied down for that eternal sleep,\his disciples dispersed, their whereabouts unknown.\What is this?\A biographical dictionary... I brought one from the storehouse.\Um... There!\Will Neville, author...\What, a bird?\It's like a VIP of a religious organization. response:	Um... As a cardinal, he made many achievements
context: his disciples dispersed, their whereabouts unknown.\What is this?\A biographical dictionary... I brought one from the storehouse.\Um... There!\Will Neville, author...\What, a bird?\It's like a VIP of a religious organization.\Um... As a cardinal, he made many achievements response:	and was also known as a researcher into Zentopia's history.
context: What is this?\A biographical dictionary... I brought one from the storehouse.\Um... There!\Will Neville, author...\What, a bird?\It's like a VIP of a religious organization.\Um... As a cardinal, he made many achievements\and was also known as a researcher into Zentopia's history. response:	But he left the church at one point,
context: A biographical dictionary... I brought one from the storehouse.\Um... There!\Will Neville, author...\What, a bird?\It's like a VIP of a religious organization.\Um... As a cardinal, he made many achievements\and was also known as a researcher into Zentopia's history.\But he left the church at one point, response:	and nobody knows where he was for some time.
context: Um... There!\Will Neville, author...\What, a bird?\It's like a VIP of a religious organization.\Um... As a cardinal, he made many achievements\and was also known as a researcher into Zentopia's history.\But he left the church at one point,\and nobody knows where he was for some time. response:	It doesn't say what he was doing?
context: Will Neville, author...\What, a bird?\It's like a VIP of a religious organization.\Um... As a cardinal, he made many achievements\and was also known as a researcher into Zentopia's history.\But he left the church at one point,\and nobody knows where he was for some time.\It doesn't say what he was doing? response:	Uh-uh...
context: What, a bird?\It's like a VIP of a religious organization.\Um... As a cardinal, he made many achievements\and was also known as a researcher into Zentopia's history.\But he left the church at one point,\and nobody knows where he was for some time.\It doesn't say what he was doing?\Uh-uh... response:	After being who-knows-where for several years,
context: It's like a VIP of a religious organization.\Um... As a cardinal, he made many achievements\and was also known as a researcher into Zentopia's history.\But he left the church at one point,\and nobody knows where he was for some time.\It doesn't say what he was doing?\Uh-uh...\After being who-knows-where for several years, response:	Will Neville suddenly became an author,
context: Um... As a cardinal, he made many achievements\and was also known as a researcher into Zentopia's history.\But he left the church at one point,\and nobody knows where he was for some time.\It doesn't say what he was doing?\Uh-uh...\After being who-knows-where for several years,\Will Neville suddenly became an author, response:	joining public life once again.
context: and was also known as a researcher into Zentopia's history.\But he left the church at one point,\and nobody knows where he was for some time.\It doesn't say what he was doing?\Uh-uh...\After being who-knows-where for several years,\Will Neville suddenly became an author,\joining public life once again. response:	But it doesn't say anything in here about him being a Celestial Spirit Wizard.
context: But he left the church at one point,\and nobody knows where he was for some time.\It doesn't say what he was doing?\Uh-uh...\After being who-knows-where for several years,\Will Neville suddenly became an author,\joining public life once again.\But it doesn't say anything in here about him being a Celestial Spirit Wizard. response:	Or that he had disciples...
context: and nobody knows where he was for some time.\It doesn't say what he was doing?\Uh-uh...\After being who-knows-where for several years,\Will Neville suddenly became an author,\joining public life once again.\But it doesn't say anything in here about him being a Celestial Spirit Wizard.\Or that he had disciples... response:	What's going on here?
context: It doesn't say what he was doing?\Uh-uh...\After being who-knows-where for several years,\Will Neville suddenly became an author,\joining public life once again.\But it doesn't say anything in here about him being a Celestial Spirit Wizard.\Or that he had disciples...\What's going on here? response:	Why does Kinana know stuff about him that's not even in that dictionary?
context: Uh-uh...\After being who-knows-where for several years,\Will Neville suddenly became an author,\joining public life once again.\But it doesn't say anything in here about him being a Celestial Spirit Wizard.\Or that he had disciples...\What's going on here?\Why does Kinana know stuff about him that's not even in that dictionary? response:	And writing it in an ancient language...
context: After being who-knows-where for several years,\Will Neville suddenly became an author,\joining public life once again.\But it doesn't say anything in here about him being a Celestial Spirit Wizard.\Or that he had disciples...\What's going on here?\Why does Kinana know stuff about him that's not even in that dictionary?\And writing it in an ancient language... response:	That Legion captain said the Infinity Clock belonged to the church, right?
context: Will Neville suddenly became an author,\joining public life once again.\But it doesn't say anything in here about him being a Celestial Spirit Wizard.\Or that he had disciples...\What's going on here?\Why does Kinana know stuff about him that's not even in that dictionary?\And writing it in an ancient language...\That Legion captain said the Infinity Clock belonged to the church, right? response:	A former member of that church wrote Key of the Starry Heavens,
context: joining public life once again.\But it doesn't say anything in here about him being a Celestial Spirit Wizard.\Or that he had disciples...\What's going on here?\Why does Kinana know stuff about him that's not even in that dictionary?\And writing it in an ancient language...\That Legion captain said the Infinity Clock belonged to the church, right?\A former member of that church wrote Key of the Starry Heavens, response:	which Uncle Jude used to leave a message for Nee-san.
context: But it doesn't say anything in here about him being a Celestial Spirit Wizard.\Or that he had disciples...\What's going on here?\Why does Kinana know stuff about him that's not even in that dictionary?\And writing it in an ancient language...\That Legion captain said the Infinity Clock belonged to the church, right?\A former member of that church wrote Key of the Starry Heavens,\which Uncle Jude used to leave a message for Nee-san. response:	This is gettin' on my nerves!
context: Or that he had disciples...\What's going on here?\Why does Kinana know stuff about him that's not even in that dictionary?\And writing it in an ancient language...\That Legion captain said the Infinity Clock belonged to the church, right?\A former member of that church wrote Key of the Starry Heavens,\which Uncle Jude used to leave a message for Nee-san.\This is gettin' on my nerves! response:	What the hell did he want us to do?!
context: What's going on here?\Why does Kinana know stuff about him that's not even in that dictionary?\And writing it in an ancient language...\That Legion captain said the Infinity Clock belonged to the church, right?\A former member of that church wrote Key of the Starry Heavens,\which Uncle Jude used to leave a message for Nee-san.\This is gettin' on my nerves!\What the hell did he want us to do?! response:	Find that Milk Devil or whatever and beat the crap out of him?!
context: Why does Kinana know stuff about him that's not even in that dictionary?\And writing it in an ancient language...\That Legion captain said the Infinity Clock belonged to the church, right?\A former member of that church wrote Key of the Starry Heavens,\which Uncle Jude used to leave a message for Nee-san.\This is gettin' on my nerves!\What the hell did he want us to do?!\Find that Milk Devil or whatever and beat the crap out of him?! response:	Will Neville is long dead! Listen when somebody's talking!
context: And writing it in an ancient language...\That Legion captain said the Infinity Clock belonged to the church, right?\A former member of that church wrote Key of the Starry Heavens,\which Uncle Jude used to leave a message for Nee-san.\This is gettin' on my nerves!\What the hell did he want us to do?!\Find that Milk Devil or whatever and beat the crap out of him?!\Will Neville is long dead! Listen when somebody's talking! response:	Gray-sama, do your best!
context: That Legion captain said the Infinity Clock belonged to the church, right?\A former member of that church wrote Key of the Starry Heavens,\which Uncle Jude used to leave a message for Nee-san.\This is gettin' on my nerves!\What the hell did he want us to do?!\Find that Milk Devil or whatever and beat the crap out of him?!\Will Neville is long dead! Listen when somebody's talking!\Gray-sama, do your best! response:	If we knew where Oracion Seis was going to strike next,
context: A former member of that church wrote Key of the Starry Heavens,\which Uncle Jude used to leave a message for Nee-san.\This is gettin' on my nerves!\What the hell did he want us to do?!\Find that Milk Devil or whatever and beat the crap out of him?!\Will Neville is long dead! Listen when somebody's talking!\Gray-sama, do your best!\If we knew where Oracion Seis was going to strike next, response:	we could lie in wait for them.
context: which Uncle Jude used to leave a message for Nee-san.\This is gettin' on my nerves!\What the hell did he want us to do?!\Find that Milk Devil or whatever and beat the crap out of him?!\Will Neville is long dead! Listen when somebody's talking!\Gray-sama, do your best!\If we knew where Oracion Seis was going to strike next,\we could lie in wait for them. response:	Right.
context: This is gettin' on my nerves!\What the hell did he want us to do?!\Find that Milk Devil or whatever and beat the crap out of him?!\Will Neville is long dead! Listen when somebody's talking!\Gray-sama, do your best!\If we knew where Oracion Seis was going to strike next,\we could lie in wait for them.\Right. response:	You people are noisy. How's a girl supposed to get any sleep?
context: What the hell did he want us to do?!\Find that Milk Devil or whatever and beat the crap out of him?!\Will Neville is long dead! Listen when somebody's talking!\Gray-sama, do your best!\If we knew where Oracion Seis was going to strike next,\we could lie in wait for them.\Right.\You people are noisy. How's a girl supposed to get any sleep? response:	It's afternoon already! How long do you need to sleep?!
context: Find that Milk Devil or whatever and beat the crap out of him?!\Will Neville is long dead! Listen when somebody's talking!\Gray-sama, do your best!\If we knew where Oracion Seis was going to strike next,\we could lie in wait for them.\Right.\You people are noisy. How's a girl supposed to get any sleep?\It's afternoon already! How long do you need to sleep?! response:	I don't know why, but I'm just so sleepy...
context: Will Neville is long dead! Listen when somebody's talking!\Gray-sama, do your best!\If we knew where Oracion Seis was going to strike next,\we could lie in wait for them.\Right.\You people are noisy. How's a girl supposed to get any sleep?\It's afternoon already! How long do you need to sleep?!\I don't know why, but I'm just so sleepy... response:	What was that, though? You want to find Oracion Seis?
context: Gray-sama, do your best!\If we knew where Oracion Seis was going to strike next,\we could lie in wait for them.\Right.\You people are noisy. How's a girl supposed to get any sleep?\It's afternoon already! How long do you need to sleep?!\I don't know why, but I'm just so sleepy...\What was that, though? You want to find Oracion Seis? response:	I see! With your fortune-telling...
context: If we knew where Oracion Seis was going to strike next,\we could lie in wait for them.\Right.\You people are noisy. How's a girl supposed to get any sleep?\It's afternoon already! How long do you need to sleep?!\I don't know why, but I'm just so sleepy...\What was that, though? You want to find Oracion Seis?\I see! With your fortune-telling... response:	That's right!
context: we could lie in wait for them.\Right.\You people are noisy. How's a girl supposed to get any sleep?\It's afternoon already! How long do you need to sleep?!\I don't know why, but I'm just so sleepy...\What was that, though? You want to find Oracion Seis?\I see! With your fortune-telling...\That's right! response:	Dammit! Don't back away!
context: Right.\You people are noisy. How's a girl supposed to get any sleep?\It's afternoon already! How long do you need to sleep?!\I don't know why, but I'm just so sleepy...\What was that, though? You want to find Oracion Seis?\I see! With your fortune-telling...\That's right!\Dammit! Don't back away! response:	Archers! In position!
context: You people are noisy. How's a girl supposed to get any sleep?\It's afternoon already! How long do you need to sleep?!\I don't know why, but I'm just so sleepy...\What was that, though? You want to find Oracion Seis?\I see! With your fortune-telling...\That's right!\Dammit! Don't back away!\Archers! In position! response:	Fire!
context: It's afternoon already! How long do you need to sleep?!\I don't know why, but I'm just so sleepy...\What was that, though? You want to find Oracion Seis?\I see! With your fortune-telling...\That's right!\Dammit! Don't back away!\Archers! In position!\Fire! response:	You're slow... Too slow...
context: I don't know why, but I'm just so sleepy...\What was that, though? You want to find Oracion Seis?\I see! With your fortune-telling...\That's right!\Dammit! Don't back away!\Archers! In position!\Fire!\You're slow... Too slow... response:	Clouds... become a storm, with lightning!
context: What was that, though? You want to find Oracion Seis?\I see! With your fortune-telling...\That's right!\Dammit! Don't back away!\Archers! In position!\Fire!\You're slow... Too slow...\Clouds... become a storm, with lightning! response:	Slot Magic! This guarantees victory again!
context: I see! With your fortune-telling...\That's right!\Dammit! Don't back away!\Archers! In position!\Fire!\You're slow... Too slow...\Clouds... become a storm, with lightning!\Slot Magic! This guarantees victory again! response:	What do you think about this?! Lightning bonus! Totally hot!
context: That's right!\Dammit! Don't back away!\Archers! In position!\Fire!\You're slow... Too slow...\Clouds... become a storm, with lightning!\Slot Magic! This guarantees victory again!\What do you think about this?! Lightning bonus! Totally hot! response:	I could hear it... There was only one vessel of this land, the one from before.
context: Dammit! Don't back away!\Archers! In position!\Fire!\You're slow... Too slow...\Clouds... become a storm, with lightning!\Slot Magic! This guarantees victory again!\What do you think about this?! Lightning bonus! Totally hot!\I could hear it... There was only one vessel of this land, the one from before. response:	We don't have much time left.
context: Archers! In position!\Fire!\You're slow... Too slow...\Clouds... become a storm, with lightning!\Slot Magic! This guarantees victory again!\What do you think about this?! Lightning bonus! Totally hot!\I could hear it... There was only one vessel of this land, the one from before.\We don't have much time left. response:	I suppose we'll just have to rely on information now...
context: Fire!\You're slow... Too slow...\Clouds... become a storm, with lightning!\Slot Magic! This guarantees victory again!\What do you think about this?! Lightning bonus! Totally hot!\I could hear it... There was only one vessel of this land, the one from before.\We don't have much time left.\I suppose we'll just have to rely on information now... response:	Now she should be brought to me...
context: You're slow... Too slow...\Clouds... become a storm, with lightning!\Slot Magic! This guarantees victory again!\What do you think about this?! Lightning bonus! Totally hot!\I could hear it... There was only one vessel of this land, the one from before.\We don't have much time left.\I suppose we'll just have to rely on information now...\Now she should be brought to me... response:	Have you forgotten orders?
context: Clouds... become a storm, with lightning!\Slot Magic! This guarantees victory again!\What do you think about this?! Lightning bonus! Totally hot!\I could hear it... There was only one vessel of this land, the one from before.\We don't have much time left.\I suppose we'll just have to rely on information now...\Now she should be brought to me...\Have you forgotten orders? response:	That's not our job.
context: Slot Magic! This guarantees victory again!\What do you think about this?! Lightning bonus! Totally hot!\I could hear it... There was only one vessel of this land, the one from before.\We don't have much time left.\I suppose we'll just have to rely on information now...\Now she should be brought to me...\Have you forgotten orders?\That's not our job. response:	Alright, finished! Like this is okay?
context: What do you think about this?! Lightning bonus! Totally hot!\I could hear it... There was only one vessel of this land, the one from before.\We don't have much time left.\I suppose we'll just have to rely on information now...\Now she should be brought to me...\Have you forgotten orders?\That's not our job.\Alright, finished! Like this is okay? response:	Yep. Well done.
context: I could hear it... There was only one vessel of this land, the one from before.\We don't have much time left.\I suppose we'll just have to rely on information now...\Now she should be brought to me...\Have you forgotten orders?\That's not our job.\Alright, finished! Like this is okay?\Yep. Well done. response:	I'm going to divine the place Oracion Seis is targeting next,
context: We don't have much time left.\I suppose we'll just have to rely on information now...\Now she should be brought to me...\Have you forgotten orders?\That's not our job.\Alright, finished! Like this is okay?\Yep. Well done.\I'm going to divine the place Oracion Seis is targeting next, response:	as well as who should go where.
context: I suppose we'll just have to rely on information now...\Now she should be brought to me...\Have you forgotten orders?\That's not our job.\Alright, finished! Like this is okay?\Yep. Well done.\I'm going to divine the place Oracion Seis is targeting next,\as well as who should go where. response:	I saw it!
context: Now she should be brought to me...\Have you forgotten orders?\That's not our job.\Alright, finished! Like this is okay?\Yep. Well done.\I'm going to divine the place Oracion Seis is targeting next,\as well as who should go where.\I saw it! response:	So it's decided like this?
context: Have you forgotten orders?\That's not our job.\Alright, finished! Like this is okay?\Yep. Well done.\I'm going to divine the place Oracion Seis is targeting next,\as well as who should go where.\I saw it!\So it's decided like this? response:	Yep.
context: That's not our job.\Alright, finished! Like this is okay?\Yep. Well done.\I'm going to divine the place Oracion Seis is targeting next,\as well as who should go where.\I saw it!\So it's decided like this?\Yep. response:	I think the team chemistry and their compatibility
context: Alright, finished! Like this is okay?\Yep. Well done.\I'm going to divine the place Oracion Seis is targeting next,\as well as who should go where.\I saw it!\So it's decided like this?\Yep.\I think the team chemistry and their compatibility response:	with those destinations feels right.
context: Yep. Well done.\I'm going to divine the place Oracion Seis is targeting next,\as well as who should go where.\I saw it!\So it's decided like this?\Yep.\I think the team chemistry and their compatibility\with those destinations feels right. response:	Whatever, let's just get goin'!
context: I'm going to divine the place Oracion Seis is targeting next,\as well as who should go where.\I saw it!\So it's decided like this?\Yep.\I think the team chemistry and their compatibility\with those destinations feels right.\Whatever, let's just get goin'! response:	I'll announce it.
context: as well as who should go where.\I saw it!\So it's decided like this?\Yep.\I think the team chemistry and their compatibility\with those destinations feels right.\Whatever, let's just get goin'!\I'll announce it. response:	The first team is Gray and Fried!
context: I saw it!\So it's decided like this?\Yep.\I think the team chemistry and their compatibility\with those destinations feels right.\Whatever, let's just get goin'!\I'll announce it.\The first team is Gray and Fried! response:	Interesting. I've always wanted to try partnering with you.
context: So it's decided like this?\Yep.\I think the team chemistry and their compatibility\with those destinations feels right.\Whatever, let's just get goin'!\I'll announce it.\The first team is Gray and Fried!\Interesting. I've always wanted to try partnering with you. response:	Rune Magic and Ice Magic...
context: Yep.\I think the team chemistry and their compatibility\with those destinations feels right.\Whatever, let's just get goin'!\I'll announce it.\The first team is Gray and Fried!\Interesting. I've always wanted to try partnering with you.\Rune Magic and Ice Magic... response:	If we combine them well, we should get interesting results.
context: I think the team chemistry and their compatibility\with those destinations feels right.\Whatever, let's just get goin'!\I'll announce it.\The first team is Gray and Fried!\Interesting. I've always wanted to try partnering with you.\Rune Magic and Ice Magic...\If we combine them well, we should get interesting results. response:	Next, Erza and Evergreen!
context: with those destinations feels right.\Whatever, let's just get goin'!\I'll announce it.\The first team is Gray and Fried!\Interesting. I've always wanted to try partnering with you.\Rune Magic and Ice Magic...\If we combine them well, we should get interesting results.\Next, Erza and Evergreen! response:	Are they gonna be okay with teamwork?
context: Whatever, let's just get goin'!\I'll announce it.\The first team is Gray and Fried!\Interesting. I've always wanted to try partnering with you.\Rune Magic and Ice Magic...\If we combine them well, we should get interesting results.\Next, Erza and Evergreen!\Are they gonna be okay with teamwork? response:	Well, Evergreeen has a sense of rivalry with Erza.
context: I'll announce it.\The first team is Gray and Fried!\Interesting. I've always wanted to try partnering with you.\Rune Magic and Ice Magic...\If we combine them well, we should get interesting results.\Next, Erza and Evergreen!\Are they gonna be okay with teamwork?\Well, Evergreeen has a sense of rivalry with Erza. response:	Me?!
context: The first team is Gray and Fried!\Interesting. I've always wanted to try partnering with you.\Rune Magic and Ice Magic...\If we combine them well, we should get interesting results.\Next, Erza and Evergreen!\Are they gonna be okay with teamwork?\Well, Evergreeen has a sense of rivalry with Erza.\Me?! response:	This is a nice opportunity.
context: Interesting. I've always wanted to try partnering with you.\Rune Magic and Ice Magic...\If we combine them well, we should get interesting results.\Next, Erza and Evergreen!\Are they gonna be okay with teamwork?\Well, Evergreeen has a sense of rivalry with Erza.\Me?!\This is a nice opportunity. response:	This time for sure, we'll see which of us is worthy of a fairy name!
context: Rune Magic and Ice Magic...\If we combine them well, we should get interesting results.\Next, Erza and Evergreen!\Are they gonna be okay with teamwork?\Well, Evergreeen has a sense of rivalry with Erza.\Me?!\This is a nice opportunity.\This time for sure, we'll see which of us is worthy of a fairy name! response:	What's important is finding the Infinity Clock.
context: If we combine them well, we should get interesting results.\Next, Erza and Evergreen!\Are they gonna be okay with teamwork?\Well, Evergreeen has a sense of rivalry with Erza.\Me?!\This is a nice opportunity.\This time for sure, we'll see which of us is worthy of a fairy name!\What's important is finding the Infinity Clock. response:	After I accomplish that, I'll play your game anytime.
context: Next, Erza and Evergreen!\Are they gonna be okay with teamwork?\Well, Evergreeen has a sense of rivalry with Erza.\Me?!\This is a nice opportunity.\This time for sure, we'll see which of us is worthy of a fairy name!\What's important is finding the Infinity Clock.\After I accomplish that, I'll play your game anytime. response:	Look, you don't need to compete against each other...
context: Are they gonna be okay with teamwork?\Well, Evergreeen has a sense of rivalry with Erza.\Me?!\This is a nice opportunity.\This time for sure, we'll see which of us is worthy of a fairy name!\What's important is finding the Infinity Clock.\After I accomplish that, I'll play your game anytime.\Look, you don't need to compete against each other... response:	Let's be friendly, o-o-okay?
context: Well, Evergreeen has a sense of rivalry with Erza.\Me?!\This is a nice opportunity.\This time for sure, we'll see which of us is worthy of a fairy name!\What's important is finding the Infinity Clock.\After I accomplish that, I'll play your game anytime.\Look, you don't need to compete against each other...\Let's be friendly, o-o-okay? response:	Next, Gajeel and Juvia!
context: Me?!\This is a nice opportunity.\This time for sure, we'll see which of us is worthy of a fairy name!\What's important is finding the Infinity Clock.\After I accomplish that, I'll play your game anytime.\Look, you don't need to compete against each other...\Let's be friendly, o-o-okay?\Next, Gajeel and Juvia! response:	The Phantom Road combo that came to our side.
context: This is a nice opportunity.\This time for sure, we'll see which of us is worthy of a fairy name!\What's important is finding the Infinity Clock.\After I accomplish that, I'll play your game anytime.\Look, you don't need to compete against each other...\Let's be friendly, o-o-okay?\Next, Gajeel and Juvia!\The Phantom Road combo that came to our side. response:	Why must Juvia and Gray-sama be separated?!
context: This time for sure, we'll see which of us is worthy of a fairy name!\What's important is finding the Infinity Clock.\After I accomplish that, I'll play your game anytime.\Look, you don't need to compete against each other...\Let's be friendly, o-o-okay?\Next, Gajeel and Juvia!\The Phantom Road combo that came to our side.\Why must Juvia and Gray-sama be separated?! response:	To me, that's what the end of the world is!
context: What's important is finding the Infinity Clock.\After I accomplish that, I'll play your game anytime.\Look, you don't need to compete against each other...\Let's be friendly, o-o-okay?\Next, Gajeel and Juvia!\The Phantom Road combo that came to our side.\Why must Juvia and Gray-sama be separated?!\To me, that's what the end of the world is! response:	Continuing, Bickslow and Wendy!
context: After I accomplish that, I'll play your game anytime.\Look, you don't need to compete against each other...\Let's be friendly, o-o-okay?\Next, Gajeel and Juvia!\The Phantom Road combo that came to our side.\Why must Juvia and Gray-sama be separated?!\To me, that's what the end of the world is!\Continuing, Bickslow and Wendy! response:	Another unusual pairing, right? What fun!
context: Look, you don't need to compete against each other...\Let's be friendly, o-o-okay?\Next, Gajeel and Juvia!\The Phantom Road combo that came to our side.\Why must Juvia and Gray-sama be separated?!\To me, that's what the end of the world is!\Continuing, Bickslow and Wendy!\Another unusual pairing, right? What fun! response:	I-I'm looking forward to working with you, Bickslow-san.
context: Let's be friendly, o-o-okay?\Next, Gajeel and Juvia!\The Phantom Road combo that came to our side.\Why must Juvia and Gray-sama be separated?!\To me, that's what the end of the world is!\Continuing, Bickslow and Wendy!\Another unusual pairing, right? What fun!\I-I'm looking forward to working with you, Bickslow-san. response:	Yeah! And make sure you get along with my babies, too!
context: Next, Gajeel and Juvia!\The Phantom Road combo that came to our side.\Why must Juvia and Gray-sama be separated?!\To me, that's what the end of the world is!\Continuing, Bickslow and Wendy!\Another unusual pairing, right? What fun!\I-I'm looking forward to working with you, Bickslow-san.\Yeah! And make sure you get along with my babies, too! response:	Get along! Get along!
context: The Phantom Road combo that came to our side.\Why must Juvia and Gray-sama be separated?!\To me, that's what the end of the world is!\Continuing, Bickslow and Wendy!\Another unusual pairing, right? What fun!\I-I'm looking forward to working with you, Bickslow-san.\Yeah! And make sure you get along with my babies, too!\Get along! Get along! response:	Next! Happy, Carla, and Panther Lily!
context: Why must Juvia and Gray-sama be separated?!\To me, that's what the end of the world is!\Continuing, Bickslow and Wendy!\Another unusual pairing, right? What fun!\I-I'm looking forward to working with you, Bickslow-san.\Yeah! And make sure you get along with my babies, too!\Get along! Get along!\Next! Happy, Carla, and Panther Lily! response:	Aye! The Exceed team is reunited, huh?
context: To me, that's what the end of the world is!\Continuing, Bickslow and Wendy!\Another unusual pairing, right? What fun!\I-I'm looking forward to working with you, Bickslow-san.\Yeah! And make sure you get along with my babies, too!\Get along! Get along!\Next! Happy, Carla, and Panther Lily!\Aye! The Exceed team is reunited, huh? response:	Lily aside, I have my doubts about us being able to deal with them.
context: Continuing, Bickslow and Wendy!\Another unusual pairing, right? What fun!\I-I'm looking forward to working with you, Bickslow-san.\Yeah! And make sure you get along with my babies, too!\Get along! Get along!\Next! Happy, Carla, and Panther Lily!\Aye! The Exceed team is reunited, huh?\Lily aside, I have my doubts about us being able to deal with them. response:	And last! Natsu, Lucy, Elfman, Michelle!
context: Another unusual pairing, right? What fun!\I-I'm looking forward to working with you, Bickslow-san.\Yeah! And make sure you get along with my babies, too!\Get along! Get along!\Next! Happy, Carla, and Panther Lily!\Aye! The Exceed team is reunited, huh?\Lily aside, I have my doubts about us being able to deal with them.\And last! Natsu, Lucy, Elfman, Michelle! response:	Alright!
context: I-I'm looking forward to working with you, Bickslow-san.\Yeah! And make sure you get along with my babies, too!\Get along! Get along!\Next! Happy, Carla, and Panther Lily!\Aye! The Exceed team is reunited, huh?\Lily aside, I have my doubts about us being able to deal with them.\And last! Natsu, Lucy, Elfman, Michelle!\Alright! response:	We're the only four-person team?
context: Yeah! And make sure you get along with my babies, too!\Get along! Get along!\Next! Happy, Carla, and Panther Lily!\Aye! The Exceed team is reunited, huh?\Lily aside, I have my doubts about us being able to deal with them.\And last! Natsu, Lucy, Elfman, Michelle!\Alright!\We're the only four-person team? response:	Nee-san, we're together again, huh?
context: Get along! Get along!\Next! Happy, Carla, and Panther Lily!\Aye! The Exceed team is reunited, huh?\Lily aside, I have my doubts about us being able to deal with them.\And last! Natsu, Lucy, Elfman, Michelle!\Alright!\We're the only four-person team?\Nee-san, we're together again, huh? response:	Yep! Let's do our best to find the Infinity Clock!
context: Next! Happy, Carla, and Panther Lily!\Aye! The Exceed team is reunited, huh?\Lily aside, I have my doubts about us being able to deal with them.\And last! Natsu, Lucy, Elfman, Michelle!\Alright!\We're the only four-person team?\Nee-san, we're together again, huh?\Yep! Let's do our best to find the Infinity Clock! response:	That's all! Wait, I'm left here again?!
context: Aye! The Exceed team is reunited, huh?\Lily aside, I have my doubts about us being able to deal with them.\And last! Natsu, Lucy, Elfman, Michelle!\Alright!\We're the only four-person team?\Nee-san, we're together again, huh?\Yep! Let's do our best to find the Infinity Clock!\That's all! Wait, I'm left here again?! response:	I wanna go with Natsu-nii, too!
context: Lily aside, I have my doubts about us being able to deal with them.\And last! Natsu, Lucy, Elfman, Michelle!\Alright!\We're the only four-person team?\Nee-san, we're together again, huh?\Yep! Let's do our best to find the Infinity Clock!\That's all! Wait, I'm left here again?!\I wanna go with Natsu-nii, too! response:	I don't want to be separated from Gray-sama!
context: And last! Natsu, Lucy, Elfman, Michelle!\Alright!\We're the only four-person team?\Nee-san, we're together again, huh?\Yep! Let's do our best to find the Infinity Clock!\That's all! Wait, I'm left here again?!\I wanna go with Natsu-nii, too!\I don't want to be separated from Gray-sama! response:	Trade with Gray-sama, Gajeel!
context: Alright!\We're the only four-person team?\Nee-san, we're together again, huh?\Yep! Let's do our best to find the Infinity Clock!\That's all! Wait, I'm left here again?!\I wanna go with Natsu-nii, too!\I don't want to be separated from Gray-sama!\Trade with Gray-sama, Gajeel! response:	Forget about it!
context: We're the only four-person team?\Nee-san, we're together again, huh?\Yep! Let's do our best to find the Infinity Clock!\That's all! Wait, I'm left here again?!\I wanna go with Natsu-nii, too!\I don't want to be separated from Gray-sama!\Trade with Gray-sama, Gajeel!\Forget about it! response:	My divination told me these pairings are the best this time.
context: Nee-san, we're together again, huh?\Yep! Let's do our best to find the Infinity Clock!\That's all! Wait, I'm left here again?!\I wanna go with Natsu-nii, too!\I don't want to be separated from Gray-sama!\Trade with Gray-sama, Gajeel!\Forget about it!\My divination told me these pairings are the best this time. response:	Then let Juvia trade places with Fried-san!
context: Yep! Let's do our best to find the Infinity Clock!\That's all! Wait, I'm left here again?!\I wanna go with Natsu-nii, too!\I don't want to be separated from Gray-sama!\Trade with Gray-sama, Gajeel!\Forget about it!\My divination told me these pairings are the best this time.\Then let Juvia trade places with Fried-san! response:	It's the same thing...
context: That's all! Wait, I'm left here again?!\I wanna go with Natsu-nii, too!\I don't want to be separated from Gray-sama!\Trade with Gray-sama, Gajeel!\Forget about it!\My divination told me these pairings are the best this time.\Then let Juvia trade places with Fried-san!\It's the same thing... response:	Come to think of it, it's been a while since we've been apart, Natsu.
context: I wanna go with Natsu-nii, too!\I don't want to be separated from Gray-sama!\Trade with Gray-sama, Gajeel!\Forget about it!\My divination told me these pairings are the best this time.\Then let Juvia trade places with Fried-san!\It's the same thing...\Come to think of it, it's been a while since we've been apart, Natsu. response:	That's right! If push comes to shove, I can't fly!
context: I don't want to be separated from Gray-sama!\Trade with Gray-sama, Gajeel!\Forget about it!\My divination told me these pairings are the best this time.\Then let Juvia trade places with Fried-san!\It's the same thing...\Come to think of it, it's been a while since we've been apart, Natsu.\That's right! If push comes to shove, I can't fly! response:	So you're a survivor from one of those destroyed churches?
