context: Leiden is such a big city! response:	I know! I got lost because there's
context: At school.\Where is the president?\He had a guild meeting.\Wait, aren't you done with school?\Yes. But I wrote a letter today.\Although I'm not sure if the feelings came across.\I see.\Weren't you two fighting? response:	That's right! It's this idiot!
context: Where is the president?\He had a guild meeting.\Wait, aren't you done with school?\Yes. But I wrote a letter today.\Although I'm not sure if the feelings came across.\I see.\Weren't you two fighting?\That's right! It's this idiot! response:	He put a wet cup on the letter I wrote for a client!
context: He had a guild meeting.\Wait, aren't you done with school?\Yes. But I wrote a letter today.\Although I'm not sure if the feelings came across.\I see.\Weren't you two fighting?\That's right! It's this idiot!\He put a wet cup on the letter I wrote for a client! response:	It's your fault for putting the letter there!
context: Wait, aren't you done with school?\Yes. But I wrote a letter today.\Although I'm not sure if the feelings came across.\I see.\Weren't you two fighting?\That's right! It's this idiot!\He put a wet cup on the letter I wrote for a client!\It's your fault for putting the letter there! response:	What is with your attitude? I'm tired of it.
context: Yes. But I wrote a letter today.\Although I'm not sure if the feelings came across.\I see.\Weren't you two fighting?\That's right! It's this idiot!\He put a wet cup on the letter I wrote for a client!\It's your fault for putting the letter there!\What is with your attitude? I'm tired of it. response:	Violet!
context: Although I'm not sure if the feelings came across.\I see.\Weren't you two fighting?\That's right! It's this idiot!\He put a wet cup on the letter I wrote for a client!\It's your fault for putting the letter there!\What is with your attitude? I'm tired of it.\Violet! response:	Luculia.
context: I see.\Weren't you two fighting?\That's right! It's this idiot!\He put a wet cup on the letter I wrote for a client!\It's your fault for putting the letter there!\What is with your attitude? I'm tired of it.\Violet!\Luculia. response:	What is it?
context: Weren't you two fighting?\That's right! It's this idiot!\He put a wet cup on the letter I wrote for a client!\It's your fault for putting the letter there!\What is with your attitude? I'm tired of it.\Violet!\Luculia.\What is it? response:	Good morning, Violet.
context: That's right! It's this idiot!\He put a wet cup on the letter I wrote for a client!\It's your fault for putting the letter there!\What is with your attitude? I'm tired of it.\Violet!\Luculia.\What is it?\Good morning, Violet. response:	Instructor. I thought class was over.
context: He put a wet cup on the letter I wrote for a client!\It's your fault for putting the letter there!\What is with your attitude? I'm tired of it.\Violet!\Luculia.\What is it?\Good morning, Violet.\Instructor. I thought class was over. response:	Sorry, I'm the one who asked her to come here.
context: It's your fault for putting the letter there!\What is with your attitude? I'm tired of it.\Violet!\Luculia.\What is it?\Good morning, Violet.\Instructor. I thought class was over.\Sorry, I'm the one who asked her to come here. response:	Luculia showed me this letter.
context: What is with your attitude? I'm tired of it.\Violet!\Luculia.\What is it?\Good morning, Violet.\Instructor. I thought class was over.\Sorry, I'm the one who asked her to come here.\Luculia showed me this letter. response:	The letter you wrote on behalf of Luculia for her brother.
context: Violet!\Luculia.\What is it?\Good morning, Violet.\Instructor. I thought class was over.\Sorry, I'm the one who asked her to come here.\Luculia showed me this letter.\The letter you wrote on behalf of Luculia for her brother. response:	The feelings I've been wanting to tell my brother.
context: Luculia.\What is it?\Good morning, Violet.\Instructor. I thought class was over.\Sorry, I'm the one who asked her to come here.\Luculia showed me this letter.\The letter you wrote on behalf of Luculia for her brother.\The feelings I've been wanting to tell my brother. response:	Violet, you were able to tell him for me.
context: What is it?\Good morning, Violet.\Instructor. I thought class was over.\Sorry, I'm the one who asked her to come here.\Luculia showed me this letter.\The letter you wrote on behalf of Luculia for her brother.\The feelings I've been wanting to tell my brother.\Violet, you were able to tell him for me. response:	An optimal Doll...
context: Good morning, Violet.\Instructor. I thought class was over.\Sorry, I'm the one who asked her to come here.\Luculia showed me this letter.\The letter you wrote on behalf of Luculia for her brother.\The feelings I've been wanting to tell my brother.\Violet, you were able to tell him for me.\An optimal Doll... response:	will be able to decipher...
context: Instructor. I thought class was over.\Sorry, I'm the one who asked her to come here.\Luculia showed me this letter.\The letter you wrote on behalf of Luculia for her brother.\The feelings I've been wanting to tell my brother.\Violet, you were able to tell him for me.\An optimal Doll...\will be able to decipher... response:	the person's true feelings and express it on paper.
context: Sorry, I'm the one who asked her to come here.\Luculia showed me this letter.\The letter you wrote on behalf of Luculia for her brother.\The feelings I've been wanting to tell my brother.\Violet, you were able to tell him for me.\An optimal Doll...\will be able to decipher...\the person's true feelings and express it on paper. response:	You were able to express a feeling.
context: Luculia showed me this letter.\The letter you wrote on behalf of Luculia for her brother.\The feelings I've been wanting to tell my brother.\Violet, you were able to tell him for me.\An optimal Doll...\will be able to decipher...\the person's true feelings and express it on paper.\You were able to express a feeling. response:	Violet.
context: The letter you wrote on behalf of Luculia for her brother.\The feelings I've been wanting to tell my brother.\Violet, you were able to tell him for me.\An optimal Doll...\will be able to decipher...\the person's true feelings and express it on paper.\You were able to express a feeling.\Violet. response:	I hope you become an optimal Doll.
context: The feelings I've been wanting to tell my brother.\Violet, you were able to tell him for me.\An optimal Doll...\will be able to decipher...\the person's true feelings and express it on paper.\You were able to express a feeling.\Violet.\I hope you become an optimal Doll. response:	Violet!
context: Violet, you were able to tell him for me.\An optimal Doll...\will be able to decipher...\the person's true feelings and express it on paper.\You were able to express a feeling.\Violet.\I hope you become an optimal Doll.\Violet! response:	Congratulations!
context: An optimal Doll...\will be able to decipher...\the person's true feelings and express it on paper.\You were able to express a feeling.\Violet.\I hope you become an optimal Doll.\Violet!\Congratulations! response:	Luculia.
context: will be able to decipher...\the person's true feelings and express it on paper.\You were able to express a feeling.\Violet.\I hope you become an optimal Doll.\Violet!\Congratulations!\Luculia. response:	And...
context: the person's true feelings and express it on paper.\You were able to express a feeling.\Violet.\I hope you become an optimal Doll.\Violet!\Congratulations!\Luculia.\And... response:	thank you so much.
context: You were able to express a feeling.\Violet.\I hope you become an optimal Doll.\Violet!\Congratulations!\Luculia.\And...\thank you so much. response:	A letter can sometimes be short and sweet
context: Violet.\I hope you become an optimal Doll.\Violet!\Congratulations!\Luculia.\And...\thank you so much.\A letter can sometimes be short and sweet response:	and still express important feelings.
context: I hope you become an optimal Doll.\Violet!\Congratulations!\Luculia.\And...\thank you so much.\A letter can sometimes be short and sweet\and still express important feelings. response:	I learned from her what the most important aspect...
context: Violet!\Congratulations!\Luculia.\And...\thank you so much.\A letter can sometimes be short and sweet\and still express important feelings.\I learned from her what the most important aspect... response:	of being a Doll is.
context: Congratulations!\Luculia.\And...\thank you so much.\A letter can sometimes be short and sweet\and still express important feelings.\I learned from her what the most important aspect...\of being a Doll is. response:	She was a little odd with her doll-like outfits...
context: Luculia.\And...\thank you so much.\A letter can sometimes be short and sweet\and still express important feelings.\I learned from her what the most important aspect...\of being a Doll is.\She was a little odd with her doll-like outfits... response:	and acting like a soldier.
context: And...\thank you so much.\A letter can sometimes be short and sweet\and still express important feelings.\I learned from her what the most important aspect...\of being a Doll is.\She was a little odd with her doll-like outfits...\and acting like a soldier. response:	But she was a wonderful girl.
context: thank you so much.\A letter can sometimes be short and sweet\and still express important feelings.\I learned from her what the most important aspect...\of being a Doll is.\She was a little odd with her doll-like outfits...\and acting like a soldier.\But she was a wonderful girl. response:	Subtitle translation by Zensho Yamamoto
