context: Arima-sensei, why do you want to perform at the Culture Festival? response:	I've got this horrible friend.
context: Damned midget! Damned midget!\Arima- sensei!? What kind of relationship is that!? Tell me!\So do you have his contact info!? His email address, too!?\Of course I do! Yesterday, we had taiyaki together!\It was so yummy, that taiyaki!\Arima\You know his email address... The taiyaki was yummy...\No fair! response:	You knowing Arima... that's so unfair!
context: Arima- sensei!? What kind of relationship is that!? Tell me!\So do you have his contact info!? His email address, too!?\Of course I do! Yesterday, we had taiyaki together!\It was so yummy, that taiyaki!\Arima\You know his email address... The taiyaki was yummy...\No fair!\You knowing Arima... that's so unfair! response:	What was that?
context: So do you have his contact info!? His email address, too!?\Of course I do! Yesterday, we had taiyaki together!\It was so yummy, that taiyaki!\Arima\You know his email address... The taiyaki was yummy...\No fair!\You knowing Arima... that's so unfair!\What was that? response:	Twinkle, twinkle, little star...
context: Of course I do! Yesterday, we had taiyaki together!\It was so yummy, that taiyaki!\Arima\You know his email address... The taiyaki was yummy...\No fair!\You knowing Arima... that's so unfair!\What was that?\Twinkle, twinkle, little star... response:	How I wonder what you are...
context: It was so yummy, that taiyaki!\Arima\You know his email address... The taiyaki was yummy...\No fair!\You knowing Arima... that's so unfair!\What was that?\Twinkle, twinkle, little star...\How I wonder what you are... response:	Totsuhara University Hospital
context: Arima\You know his email address... The taiyaki was yummy...\No fair!\You knowing Arima... that's so unfair!\What was that?\Twinkle, twinkle, little star...\How I wonder what you are...\Totsuhara University Hospital response:	I messed up again!
context: You know his email address... The taiyaki was yummy...\No fair!\You knowing Arima... that's so unfair!\What was that?\Twinkle, twinkle, little star...\How I wonder what you are...\Totsuhara University Hospital\I messed up again! response:	Twinkle, twinkle, little star...
context: No fair!\You knowing Arima... that's so unfair!\What was that?\Twinkle, twinkle, little star...\How I wonder what you are...\Totsuhara University Hospital\I messed up again!\Twinkle, twinkle, little star... response:	How I wonder what you are...
context: You knowing Arima... that's so unfair!\What was that?\Twinkle, twinkle, little star...\How I wonder what you are...\Totsuhara University Hospital\I messed up again!\Twinkle, twinkle, little star...\How I wonder what you are... response:	Up above the world so high...
context: What was that?\Twinkle, twinkle, little star...\How I wonder what you are...\Totsuhara University Hospital\I messed up again!\Twinkle, twinkle, little star...\How I wonder what you are...\Up above the world so high... response:	Like a diamond in the sky...
context: Twinkle, twinkle, little star...\How I wonder what you are...\Totsuhara University Hospital\I messed up again!\Twinkle, twinkle, little star...\How I wonder what you are...\Up above the world so high...\Like a diamond in the sky... response:	Twinkle, twinkle, li
context: How I wonder what you are...\Totsuhara University Hospital\I messed up again!\Twinkle, twinkle, little star...\How I wonder what you are...\Up above the world so high...\Like a diamond in the sky...\Twinkle, twinkle, li response:	Hey.
context: Totsuhara University Hospital\I messed up again!\Twinkle, twinkle, little star...\How I wonder what you are...\Up above the world so high...\Like a diamond in the sky...\Twinkle, twinkle, li\Hey. response:	Hey.
context: I messed up again!\Twinkle, twinkle, little star...\How I wonder what you are...\Up above the world so high...\Like a diamond in the sky...\Twinkle, twinkle, li\Hey.\Hey. response:	Is that guy your boyfriend?
context: Twinkle, twinkle, little star...\How I wonder what you are...\Up above the world so high...\Like a diamond in the sky...\Twinkle, twinkle, li\Hey.\Hey.\Is that guy your boyfriend? response:	Boyfriend?
context: How I wonder what you are...\Up above the world so high...\Like a diamond in the sky...\Twinkle, twinkle, li\Hey.\Hey.\Is that guy your boyfriend?\Boyfriend? response:	No, no, not at all.
context: Up above the world so high...\Like a diamond in the sky...\Twinkle, twinkle, li\Hey.\Hey.\Is that guy your boyfriend?\Boyfriend?\No, no, not at all. response:	That guy's what you call a jackass!
context: Like a diamond in the sky...\Twinkle, twinkle, li\Hey.\Hey.\Is that guy your boyfriend?\Boyfriend?\No, no, not at all.\That guy's what you call a jackass! response:	He's a jackass!
context: Twinkle, twinkle, li\Hey.\Hey.\Is that guy your boyfriend?\Boyfriend?\No, no, not at all.\That guy's what you call a jackass!\He's a jackass! response:	Jackass!
context: Hey.\Hey.\Is that guy your boyfriend?\Boyfriend?\No, no, not at all.\That guy's what you call a jackass!\He's a jackass!\Jackass! response:	What do you mean a jackass!?
context: Hey.\Is that guy your boyfriend?\Boyfriend?\No, no, not at all.\That guy's what you call a jackass!\He's a jackass!\Jackass!\What do you mean a jackass!? response:	Well, you are!
context: Is that guy your boyfriend?\Boyfriend?\No, no, not at all.\That guy's what you call a jackass!\He's a jackass!\Jackass!\What do you mean a jackass!?\Well, you are! response:	Making a violinist who can't play the violin listen to this.
context: Boyfriend?\No, no, not at all.\That guy's what you call a jackass!\He's a jackass!\Jackass!\What do you mean a jackass!?\Well, you are!\Making a violinist who can't play the violin listen to this. response:	It's your fault that I miss it now.
context: No, no, not at all.\That guy's what you call a jackass!\He's a jackass!\Jackass!\What do you mean a jackass!?\Well, you are!\Making a violinist who can't play the violin listen to this.\It's your fault that I miss it now. response:	I can't commit double suicide with you.
context: That guy's what you call a jackass!\He's a jackass!\Jackass!\What do you mean a jackass!?\Well, you are!\Making a violinist who can't play the violin listen to this.\It's your fault that I miss it now.\I can't commit double suicide with you. response:	You're so heartless.
context: He's a jackass!\Jackass!\What do you mean a jackass!?\Well, you are!\Making a violinist who can't play the violin listen to this.\It's your fault that I miss it now.\I can't commit double suicide with you.\You're so heartless. response:	Well, look, when we went shopping, I was the one who carried your bags.
context: Jackass!\What do you mean a jackass!?\Well, you are!\Making a violinist who can't play the violin listen to this.\It's your fault that I miss it now.\I can't commit double suicide with you.\You're so heartless.\Well, look, when we went shopping, I was the one who carried your bags. response:	You always take the initiative. You only tell me things after the fact.
context: What do you mean a jackass!?\Well, you are!\Making a violinist who can't play the violin listen to this.\It's your fault that I miss it now.\I can't commit double suicide with you.\You're so heartless.\Well, look, when we went shopping, I was the one who carried your bags.\You always take the initiative. You only tell me things after the fact. response:	You walk in front of me,
context: Well, you are!\Making a violinist who can't play the violin listen to this.\It's your fault that I miss it now.\I can't commit double suicide with you.\You're so heartless.\Well, look, when we went shopping, I was the one who carried your bags.\You always take the initiative. You only tell me things after the fact.\You walk in front of me, response:	and I'm always behind you.
context: Making a violinist who can't play the violin listen to this.\It's your fault that I miss it now.\I can't commit double suicide with you.\You're so heartless.\Well, look, when we went shopping, I was the one who carried your bags.\You always take the initiative. You only tell me things after the fact.\You walk in front of me,\and I'm always behind you. response:	What I always remember...
context: It's your fault that I miss it now.\I can't commit double suicide with you.\You're so heartless.\Well, look, when we went shopping, I was the one who carried your bags.\You always take the initiative. You only tell me things after the fact.\You walk in front of me,\and I'm always behind you.\What I always remember... response:	At this rate, it wouldn't be double suicide, I'd be following you.
context: I can't commit double suicide with you.\You're so heartless.\Well, look, when we went shopping, I was the one who carried your bags.\You always take the initiative. You only tell me things after the fact.\You walk in front of me,\and I'm always behind you.\What I always remember...\At this rate, it wouldn't be double suicide, I'd be following you. response:	So please, give me one more chance.
context: You're so heartless.\Well, look, when we went shopping, I was the one who carried your bags.\You always take the initiative. You only tell me things after the fact.\You walk in front of me,\and I'm always behind you.\What I always remember...\At this rate, it wouldn't be double suicide, I'd be following you.\So please, give me one more chance. response:	Please give me another chance to stand by your side.
context: Well, look, when we went shopping, I was the one who carried your bags.\You always take the initiative. You only tell me things after the fact.\You walk in front of me,\and I'm always behind you.\What I always remember...\At this rate, it wouldn't be double suicide, I'd be following you.\So please, give me one more chance.\Please give me another chance to stand by your side. response:	Please perform with me one more time.
context: You always take the initiative. You only tell me things after the fact.\You walk in front of me,\and I'm always behind you.\What I always remember...\At this rate, it wouldn't be double suicide, I'd be following you.\So please, give me one more chance.\Please give me another chance to stand by your side.\Please perform with me one more time. response:	But... I...
context: You walk in front of me,\and I'm always behind you.\What I always remember...\At this rate, it wouldn't be double suicide, I'd be following you.\So please, give me one more chance.\Please give me another chance to stand by your side.\Please perform with me one more time.\But... I... response:	You're not a princess.
context: and I'm always behind you.\What I always remember...\At this rate, it wouldn't be double suicide, I'd be following you.\So please, give me one more chance.\Please give me another chance to stand by your side.\Please perform with me one more time.\But... I...\You're not a princess. response:	You're the daughter of a cake shop owner who loves caneles,
context: What I always remember...\At this rate, it wouldn't be double suicide, I'd be following you.\So please, give me one more chance.\Please give me another chance to stand by your side.\Please perform with me one more time.\But... I...\You're not a princess.\You're the daughter of a cake shop owner who loves caneles, response:	and you're not the heroine of a novel.
context: At this rate, it wouldn't be double suicide, I'd be following you.\So please, give me one more chance.\Please give me another chance to stand by your side.\Please perform with me one more time.\But... I...\You're not a princess.\You're the daughter of a cake shop owner who loves caneles,\and you're not the heroine of a novel. response:	No way am I ever gonna play Ravel.
context: So please, give me one more chance.\Please give me another chance to stand by your side.\Please perform with me one more time.\But... I...\You're not a princess.\You're the daughter of a cake shop owner who loves caneles,\and you're not the heroine of a novel.\No way am I ever gonna play Ravel. response:	So please, perform with me one more time.
context: Please give me another chance to stand by your side.\Please perform with me one more time.\But... I...\You're not a princess.\You're the daughter of a cake shop owner who loves caneles,\and you're not the heroine of a novel.\No way am I ever gonna play Ravel.\So please, perform with me one more time. response:	Besides, you're the one who said it.
context: Please perform with me one more time.\But... I...\You're not a princess.\You're the daughter of a cake shop owner who loves caneles,\and you're not the heroine of a novel.\No way am I ever gonna play Ravel.\So please, perform with me one more time.\Besides, you're the one who said it. response:	Do you think you'll be able to forget?”
context: But... I...\You're not a princess.\You're the daughter of a cake shop owner who loves caneles,\and you're not the heroine of a novel.\No way am I ever gonna play Ravel.\So please, perform with me one more time.\Besides, you're the one who said it.\Do you think you'll be able to forget?” response:	You really are cruel.
context: You're not a princess.\You're the daughter of a cake shop owner who loves caneles,\and you're not the heroine of a novel.\No way am I ever gonna play Ravel.\So please, perform with me one more time.\Besides, you're the one who said it.\Do you think you'll be able to forget?”\You really are cruel. response:	I thought you knew that. I'm a jackass.
context: You're the daughter of a cake shop owner who loves caneles,\and you're not the heroine of a novel.\No way am I ever gonna play Ravel.\So please, perform with me one more time.\Besides, you're the one who said it.\Do you think you'll be able to forget?”\You really are cruel.\I thought you knew that. I'm a jackass. response:	The air is chilly, and as dry as can be.
context: and you're not the heroine of a novel.\No way am I ever gonna play Ravel.\So please, perform with me one more time.\Besides, you're the one who said it.\Do you think you'll be able to forget?”\You really are cruel.\I thought you knew that. I'm a jackass.\The air is chilly, and as dry as can be. response:	The laundered sheets lend a gentleness to my surroundings.
context: No way am I ever gonna play Ravel.\So please, perform with me one more time.\Besides, you're the one who said it.\Do you think you'll be able to forget?”\You really are cruel.\I thought you knew that. I'm a jackass.\The air is chilly, and as dry as can be.\The laundered sheets lend a gentleness to my surroundings. response:	Such a cruel boy.
context: So please, perform with me one more time.\Besides, you're the one who said it.\Do you think you'll be able to forget?”\You really are cruel.\I thought you knew that. I'm a jackass.\The air is chilly, and as dry as can be.\The laundered sheets lend a gentleness to my surroundings.\Such a cruel boy. response:	Telling me to dream one more time.
context: Besides, you're the one who said it.\Do you think you'll be able to forget?”\You really are cruel.\I thought you knew that. I'm a jackass.\The air is chilly, and as dry as can be.\The laundered sheets lend a gentleness to my surroundings.\Such a cruel boy.\Telling me to dream one more time. response:	I thought I was satisfied because my dream had come true...
context: Do you think you'll be able to forget?”\You really are cruel.\I thought you knew that. I'm a jackass.\The air is chilly, and as dry as can be.\The laundered sheets lend a gentleness to my surroundings.\Such a cruel boy.\Telling me to dream one more time.\I thought I was satisfied because my dream had come true... response:	And I'd told myself it was enough...
context: You really are cruel.\I thought you knew that. I'm a jackass.\The air is chilly, and as dry as can be.\The laundered sheets lend a gentleness to my surroundings.\Such a cruel boy.\Telling me to dream one more time.\I thought I was satisfied because my dream had come true...\And I'd told myself it was enough... response:	Yet here you are, watering this withered heart again.
context: I thought you knew that. I'm a jackass.\The air is chilly, and as dry as can be.\The laundered sheets lend a gentleness to my surroundings.\Such a cruel boy.\Telling me to dream one more time.\I thought I was satisfied because my dream had come true...\And I'd told myself it was enough...\Yet here you are, watering this withered heart again. response:	Hey!
context: The air is chilly, and as dry as can be.\The laundered sheets lend a gentleness to my surroundings.\Such a cruel boy.\Telling me to dream one more time.\I thought I was satisfied because my dream had come true...\And I'd told myself it was enough...\Yet here you are, watering this withered heart again.\Hey! response:	You're making her cry!
context: The laundered sheets lend a gentleness to my surroundings.\Such a cruel boy.\Telling me to dream one more time.\I thought I was satisfied because my dream had come true...\And I'd told myself it was enough...\Yet here you are, watering this withered heart again.\Hey!\You're making her cry! response:	What a vile jackass!
context: Such a cruel boy.\Telling me to dream one more time.\I thought I was satisfied because my dream had come true...\And I'd told myself it was enough...\Yet here you are, watering this withered heart again.\Hey!\You're making her cry!\What a vile jackass! response:	Enemy of women!
context: Telling me to dream one more time.\I thought I was satisfied because my dream had come true...\And I'd told myself it was enough...\Yet here you are, watering this withered heart again.\Hey!\You're making her cry!\What a vile jackass!\Enemy of women! response:	No, no, that's not what this is.
context: I thought I was satisfied because my dream had come true...\And I'd told myself it was enough...\Yet here you are, watering this withered heart again.\Hey!\You're making her cry!\What a vile jackass!\Enemy of women!\No, no, that's not what this is. response:	How dare you, jackass!?
context: And I'd told myself it was enough...\Yet here you are, watering this withered heart again.\Hey!\You're making her cry!\What a vile jackass!\Enemy of women!\No, no, that's not what this is.\How dare you, jackass!? response:	Boys aren't supposed to bully girls, you know!
context: Yet here you are, watering this withered heart again.\Hey!\You're making her cry!\What a vile jackass!\Enemy of women!\No, no, that's not what this is.\How dare you, jackass!?\Boys aren't supposed to bully girls, you know! response:	I'm greedy, so...
context: Hey!\You're making her cry!\What a vile jackass!\Enemy of women!\No, no, that's not what this is.\How dare you, jackass!?\Boys aren't supposed to bully girls, you know!\I'm greedy, so... response:	I'm just gonna dream again...
context: You're making her cry!\What a vile jackass!\Enemy of women!\No, no, that's not what this is.\How dare you, jackass!?\Boys aren't supposed to bully girls, you know!\I'm greedy, so...\I'm just gonna dream again... response:	Of waltzing with you someday...
context: What a vile jackass!\Enemy of women!\No, no, that's not what this is.\How dare you, jackass!?\Boys aren't supposed to bully girls, you know!\I'm greedy, so...\I'm just gonna dream again...\Of waltzing with you someday... response:	Hearts Come Together
context: Enemy of women!\No, no, that's not what this is.\How dare you, jackass!?\Boys aren't supposed to bully girls, you know!\I'm greedy, so...\I'm just gonna dream again...\Of waltzing with you someday...\Hearts Come Together response:	I just might.
context: No, no, that's not what this is.\How dare you, jackass!?\Boys aren't supposed to bully girls, you know!\I'm greedy, so...\I'm just gonna dream again...\Of waltzing with you someday...\Hearts Come Together\I just might. response:	Episode 19 Goodbye Hero
context: How dare you, jackass!?\Boys aren't supposed to bully girls, you know!\I'm greedy, so...\I'm just gonna dream again...\Of waltzing with you someday...\Hearts Come Together\I just might.\Episode 19 Goodbye Hero response:	Watch Again Next Week
