context: You're a rental girlfriend, aren't you? response:	I have to shut that girl up, no matter what!
context: I like you, Kazuya-kun!\Sh-She... likes... me?\What are you saying? You shouldn't mess with grown-ups like that!\You have no reason to fall for me!\I'm serious.\Between what happened on the ferry and the double date...\It shocked me to see how much you care for Chizuru-san.\If you care so much for a rental girlfriend, response:	then you're sure to treat a real girlfriend even better!
context: Sh-She... likes... me?\What are you saying? You shouldn't mess with grown-ups like that!\You have no reason to fall for me!\I'm serious.\Between what happened on the ferry and the double date...\It shocked me to see how much you care for Chizuru-san.\If you care so much for a rental girlfriend,\then you're sure to treat a real girlfriend even better! response:	What are you talking about?
context: What are you saying? You shouldn't mess with grown-ups like that!\You have no reason to fall for me!\I'm serious.\Between what happened on the ferry and the double date...\It shocked me to see how much you care for Chizuru-san.\If you care so much for a rental girlfriend,\then you're sure to treat a real girlfriend even better!\What are you talking about? response:	Mizuhara's just a rental...
context: You have no reason to fall for me!\I'm serious.\Between what happened on the ferry and the double date...\It shocked me to see how much you care for Chizuru-san.\If you care so much for a rental girlfriend,\then you're sure to treat a real girlfriend even better!\What are you talking about?\Mizuhara's just a rental... response:	Really?
context: I'm serious.\Between what happened on the ferry and the double date...\It shocked me to see how much you care for Chizuru-san.\If you care so much for a rental girlfriend,\then you're sure to treat a real girlfriend even better!\What are you talking about?\Mizuhara's just a rental...\Really? response:	Then you can go out with me!
context: Between what happened on the ferry and the double date...\It shocked me to see how much you care for Chizuru-san.\If you care so much for a rental girlfriend,\then you're sure to treat a real girlfriend even better!\What are you talking about?\Mizuhara's just a rental...\Really?\Then you can go out with me! response:	I-I-It's not that simple.
context: It shocked me to see how much you care for Chizuru-san.\If you care so much for a rental girlfriend,\then you're sure to treat a real girlfriend even better!\What are you talking about?\Mizuhara's just a rental...\Really?\Then you can go out with me!\I-I-It's not that simple. response:	But it is.
context: If you care so much for a rental girlfriend,\then you're sure to treat a real girlfriend even better!\What are you talking about?\Mizuhara's just a rental...\Really?\Then you can go out with me!\I-I-It's not that simple.\But it is. response:	If she's just a rental girlfriend, there should be nothing in our way.
context: then you're sure to treat a real girlfriend even better!\What are you talking about?\Mizuhara's just a rental...\Really?\Then you can go out with me!\I-I-It's not that simple.\But it is.\If she's just a rental girlfriend, there should be nothing in our way. response:	There's no way that's happening!
context: What are you talking about?\Mizuhara's just a rental...\Really?\Then you can go out with me!\I-I-It's not that simple.\But it is.\If she's just a rental girlfriend, there should be nothing in our way.\There's no way that's happening! response:	Me, date her?
context: Mizuhara's just a rental...\Really?\Then you can go out with me!\I-I-It's not that simple.\But it is.\If she's just a rental girlfriend, there should be nothing in our way.\There's no way that's happening!\Me, date her? response:	Me...
context: Really?\Then you can go out with me!\I-I-It's not that simple.\But it is.\If she's just a rental girlfriend, there should be nothing in our way.\There's no way that's happening!\Me, date her?\Me... response:	date...
context: Then you can go out with me!\I-I-It's not that simple.\But it is.\If she's just a rental girlfriend, there should be nothing in our way.\There's no way that's happening!\Me, date her?\Me...\date... response:	her?
context: I-I-It's not that simple.\But it is.\If she's just a rental girlfriend, there should be nothing in our way.\There's no way that's happening!\Me, date her?\Me...\date...\her? response:	M-Mizuhara? You sure you should be coming out?
context: But it is.\If she's just a rental girlfriend, there should be nothing in our way.\There's no way that's happening!\Me, date her?\Me...\date...\her?\M-Mizuhara? You sure you should be coming out? response:	She already knows.
context: If she's just a rental girlfriend, there should be nothing in our way.\There's no way that's happening!\Me, date her?\Me...\date...\her?\M-Mizuhara? You sure you should be coming out?\She already knows. response:	There you are, puppet master.
context: There's no way that's happening!\Me, date her?\Me...\date...\her?\M-Mizuhara? You sure you should be coming out?\She already knows.\There you are, puppet master. response:	Who're you calling a mastermind?
context: Me, date her?\Me...\date...\her?\M-Mizuhara? You sure you should be coming out?\She already knows.\There you are, puppet master.\Who're you calling a mastermind? response:	Do you realize what you're saying?
context: Me...\date...\her?\M-Mizuhara? You sure you should be coming out?\She already knows.\There you are, puppet master.\Who're you calling a mastermind?\Do you realize what you're saying? response:	Like Kazuya-san said, we've only kept up this rental relationship because we had no choice.
context: date...\her?\M-Mizuhara? You sure you should be coming out?\She already knows.\There you are, puppet master.\Who're you calling a mastermind?\Do you realize what you're saying?\Like Kazuya-san said, we've only kept up this rental relationship because we had no choice. response:	Even if you're serious, telling him that out of the blue is only going to throw him off.
context: her?\M-Mizuhara? You sure you should be coming out?\She already knows.\There you are, puppet master.\Who're you calling a mastermind?\Do you realize what you're saying?\Like Kazuya-san said, we've only kept up this rental relationship because we had no choice.\Even if you're serious, telling him that out of the blue is only going to throw him off. response:	That's not true.
context: M-Mizuhara? You sure you should be coming out?\She already knows.\There you are, puppet master.\Who're you calling a mastermind?\Do you realize what you're saying?\Like Kazuya-san said, we've only kept up this rental relationship because we had no choice.\Even if you're serious, telling him that out of the blue is only going to throw him off.\That's not true. response:	He's even grabbed my boob!
context: She already knows.\There you are, puppet master.\Who're you calling a mastermind?\Do you realize what you're saying?\Like Kazuya-san said, we've only kept up this rental relationship because we had no choice.\Even if you're serious, telling him that out of the blue is only going to throw him off.\That's not true.\He's even grabbed my boob! response:	Wha?
context: There you are, puppet master.\Who're you calling a mastermind?\Do you realize what you're saying?\Like Kazuya-san said, we've only kept up this rental relationship because we had no choice.\Even if you're serious, telling him that out of the blue is only going to throw him off.\That's not true.\He's even grabbed my boob!\Wha? response:	Oh, uh, that wasn't what...
context: Who're you calling a mastermind?\Do you realize what you're saying?\Like Kazuya-san said, we've only kept up this rental relationship because we had no choice.\Even if you're serious, telling him that out of the blue is only going to throw him off.\That's not true.\He's even grabbed my boob!\Wha?\Oh, uh, that wasn't what... response:	Squish!
context: Do you realize what you're saying?\Like Kazuya-san said, we've only kept up this rental relationship because we had no choice.\Even if you're serious, telling him that out of the blue is only going to throw him off.\That's not true.\He's even grabbed my boob!\Wha?\Oh, uh, that wasn't what...\Squish! response:	What were you thinking?
context: Like Kazuya-san said, we've only kept up this rental relationship because we had no choice.\Even if you're serious, telling him that out of the blue is only going to throw him off.\That's not true.\He's even grabbed my boob!\Wha?\Oh, uh, that wasn't what...\Squish!\What were you thinking? response:	Does any girl work for you, as long as she's cute?!
context: Even if you're serious, telling him that out of the blue is only going to throw him off.\That's not true.\He's even grabbed my boob!\Wha?\Oh, uh, that wasn't what...\Squish!\What were you thinking?\Does any girl work for you, as long as she's cute?! response:	It's not what you think!
context: That's not true.\He's even grabbed my boob!\Wha?\Oh, uh, that wasn't what...\Squish!\What were you thinking?\Does any girl work for you, as long as she's cute?!\It's not what you think! response:	Has he ever grabbed your boobs, Chizuru-san?
context: He's even grabbed my boob!\Wha?\Oh, uh, that wasn't what...\Squish!\What were you thinking?\Does any girl work for you, as long as she's cute?!\It's not what you think!\Has he ever grabbed your boobs, Chizuru-san? response:	Your boobs
context: Wha?\Oh, uh, that wasn't what...\Squish!\What were you thinking?\Does any girl work for you, as long as she's cute?!\It's not what you think!\Has he ever grabbed your boobs, Chizuru-san?\Your boobs response:	Like hell!
context: Oh, uh, that wasn't what...\Squish!\What were you thinking?\Does any girl work for you, as long as she's cute?!\It's not what you think!\Has he ever grabbed your boobs, Chizuru-san?\Your boobs\Like hell! response:	Snicker
context: Squish!\What were you thinking?\Does any girl work for you, as long as she's cute?!\It's not what you think!\Has he ever grabbed your boobs, Chizuru-san?\Your boobs\Like hell!\Snicker response:	That means I've gotten further than you.
context: What were you thinking?\Does any girl work for you, as long as she's cute?!\It's not what you think!\Has he ever grabbed your boobs, Chizuru-san?\Your boobs\Like hell!\Snicker\That means I've gotten further than you. response:	Excuse me?!
context: Does any girl work for you, as long as she's cute?!\It's not what you think!\Has he ever grabbed your boobs, Chizuru-san?\Your boobs\Like hell!\Snicker\That means I've gotten further than you.\Excuse me?! response:	He embraced me without asking, then pushed me onto my back...
context: It's not what you think!\Has he ever grabbed your boobs, Chizuru-san?\Your boobs\Like hell!\Snicker\That means I've gotten further than you.\Excuse me?!\He embraced me without asking, then pushed me onto my back... response:	That and the boob thing happened at different times!
context: Has he ever grabbed your boobs, Chizuru-san?\Your boobs\Like hell!\Snicker\That means I've gotten further than you.\Excuse me?!\He embraced me without asking, then pushed me onto my back...\That and the boob thing happened at different times! response:	That doesn't make it okay.
context: Your boobs\Like hell!\Snicker\That means I've gotten further than you.\Excuse me?!\He embraced me without asking, then pushed me onto my back...\That and the boob thing happened at different times!\That doesn't make it okay. response:	That's not what I meant!
context: Like hell!\Snicker\That means I've gotten further than you.\Excuse me?!\He embraced me without asking, then pushed me onto my back...\That and the boob thing happened at different times!\That doesn't make it okay.\That's not what I meant! response:	Anyway, just settle down.
context: Snicker\That means I've gotten further than you.\Excuse me?!\He embraced me without asking, then pushed me onto my back...\That and the boob thing happened at different times!\That doesn't make it okay.\That's not what I meant!\Anyway, just settle down. response:	We can't do this out here. What if someone sees?
context: That means I've gotten further than you.\Excuse me?!\He embraced me without asking, then pushed me onto my back...\That and the boob thing happened at different times!\That doesn't make it okay.\That's not what I meant!\Anyway, just settle down.\We can't do this out here. What if someone sees? response:	You've got a point.
context: Excuse me?!\He embraced me without asking, then pushed me onto my back...\That and the boob thing happened at different times!\That doesn't make it okay.\That's not what I meant!\Anyway, just settle down.\We can't do this out here. What if someone sees?\You've got a point. response:	Don't touch me!
context: He embraced me without asking, then pushed me onto my back...\That and the boob thing happened at different times!\That doesn't make it okay.\That's not what I meant!\Anyway, just settle down.\We can't do this out here. What if someone sees?\You've got a point.\Don't touch me! response:	Look, I can explain!
context: That and the boob thing happened at different times!\That doesn't make it okay.\That's not what I meant!\Anyway, just settle down.\We can't do this out here. What if someone sees?\You've got a point.\Don't touch me!\Look, I can explain! response:	I don't believe this.
context: That doesn't make it okay.\That's not what I meant!\Anyway, just settle down.\We can't do this out here. What if someone sees?\You've got a point.\Don't touch me!\Look, I can explain!\I don't believe this. response:	You're even frequenting his apartment?
context: That's not what I meant!\Anyway, just settle down.\We can't do this out here. What if someone sees?\You've got a point.\Don't touch me!\Look, I can explain!\I don't believe this.\You're even frequenting his apartment? response:	Wh-What do you mean?
context: Anyway, just settle down.\We can't do this out here. What if someone sees?\You've got a point.\Don't touch me!\Look, I can explain!\I don't believe this.\You're even frequenting his apartment?\Wh-What do you mean? response:	If you're just a rental, wouldn't you hesitate to enter a client's apartment?!
context: We can't do this out here. What if someone sees?\You've got a point.\Don't touch me!\Look, I can explain!\I don't believe this.\You're even frequenting his apartment?\Wh-What do you mean?\If you're just a rental, wouldn't you hesitate to enter a client's apartment?! response:	But you just walked in, which proves you've done it before!
context: You've got a point.\Don't touch me!\Look, I can explain!\I don't believe this.\You're even frequenting his apartment?\Wh-What do you mean?\If you're just a rental, wouldn't you hesitate to enter a client's apartment?!\But you just walked in, which proves you've done it before! response:	Right, she did come in back then.
context: Don't touch me!\Look, I can explain!\I don't believe this.\You're even frequenting his apartment?\Wh-What do you mean?\If you're just a rental, wouldn't you hesitate to enter a client's apartment?!\But you just walked in, which proves you've done it before!\Right, she did come in back then. response:	Disgusting!! Scandalous!!
context: Look, I can explain!\I don't believe this.\You're even frequenting his apartment?\Wh-What do you mean?\If you're just a rental, wouldn't you hesitate to enter a client's apartment?!\But you just walked in, which proves you've done it before!\Right, she did come in back then.\Disgusting!! Scandalous!! response:	So much for just a rental!
context: I don't believe this.\You're even frequenting his apartment?\Wh-What do you mean?\If you're just a rental, wouldn't you hesitate to enter a client's apartment?!\But you just walked in, which proves you've done it before!\Right, she did come in back then.\Disgusting!! Scandalous!!\So much for just a rental! response:	Chizuru's a bad, bad lady I'm gonna tell her agency
context: You're even frequenting his apartment?\Wh-What do you mean?\If you're just a rental, wouldn't you hesitate to enter a client's apartment?!\But you just walked in, which proves you've done it before!\Right, she did come in back then.\Disgusting!! Scandalous!!\So much for just a rental!\Chizuru's a bad, bad lady I'm gonna tell her agency response:	You're getting down and dirty without telling your other clients or your agency!
context: Wh-What do you mean?\If you're just a rental, wouldn't you hesitate to enter a client's apartment?!\But you just walked in, which proves you've done it before!\Right, she did come in back then.\Disgusting!! Scandalous!!\So much for just a rental!\Chizuru's a bad, bad lady I'm gonna tell her agency\You're getting down and dirty without telling your other clients or your agency! response:	Eep! That song's practically horror, Ruka-chan!!
context: If you're just a rental, wouldn't you hesitate to enter a client's apartment?!\But you just walked in, which proves you've done it before!\Right, she did come in back then.\Disgusting!! Scandalous!!\So much for just a rental!\Chizuru's a bad, bad lady I'm gonna tell her agency\You're getting down and dirty without telling your other clients or your agency!\Eep! That song's practically horror, Ruka-chan!! response:	I would never!
context: But you just walked in, which proves you've done it before!\Right, she did come in back then.\Disgusting!! Scandalous!!\So much for just a rental!\Chizuru's a bad, bad lady I'm gonna tell her agency\You're getting down and dirty without telling your other clients or your agency!\Eep! That song's practically horror, Ruka-chan!!\I would never! response:	I'm sitting next to him!
context: Right, she did come in back then.\Disgusting!! Scandalous!!\So much for just a rental!\Chizuru's a bad, bad lady I'm gonna tell her agency\You're getting down and dirty without telling your other clients or your agency!\Eep! That song's practically horror, Ruka-chan!!\I would never!\I'm sitting next to him! response:	I'm not letting anyone else by his side!
context: Disgusting!! Scandalous!!\So much for just a rental!\Chizuru's a bad, bad lady I'm gonna tell her agency\You're getting down and dirty without telling your other clients or your agency!\Eep! That song's practically horror, Ruka-chan!!\I would never!\I'm sitting next to him!\I'm not letting anyone else by his side! response:	F-Feel free.
context: So much for just a rental!\Chizuru's a bad, bad lady I'm gonna tell her agency\You're getting down and dirty without telling your other clients or your agency!\Eep! That song's practically horror, Ruka-chan!!\I would never!\I'm sitting next to him!\I'm not letting anyone else by his side!\F-Feel free. response:	Five minutes.
context: Chizuru's a bad, bad lady I'm gonna tell her agency\You're getting down and dirty without telling your other clients or your agency!\Eep! That song's practically horror, Ruka-chan!!\I would never!\I'm sitting next to him!\I'm not letting anyone else by his side!\F-Feel free.\Five minutes. response:	Ruka-chan, give me five minutes to speak with Kazuya-san.
context: You're getting down and dirty without telling your other clients or your agency!\Eep! That song's practically horror, Ruka-chan!!\I would never!\I'm sitting next to him!\I'm not letting anyone else by his side!\F-Feel free.\Five minutes.\Ruka-chan, give me five minutes to speak with Kazuya-san. response:	No way. Who knows what you'd do if I left you two alone?
context: Eep! That song's practically horror, Ruka-chan!!\I would never!\I'm sitting next to him!\I'm not letting anyone else by his side!\F-Feel free.\Five minutes.\Ruka-chan, give me five minutes to speak with Kazuya-san.\No way. Who knows what you'd do if I left you two alone? response:	Nothing!
context: I would never!\I'm sitting next to him!\I'm not letting anyone else by his side!\F-Feel free.\Five minutes.\Ruka-chan, give me five minutes to speak with Kazuya-san.\No way. Who knows what you'd do if I left you two alone?\Nothing! response:	R-Ruka-chan...
context: I'm sitting next to him!\I'm not letting anyone else by his side!\F-Feel free.\Five minutes.\Ruka-chan, give me five minutes to speak with Kazuya-san.\No way. Who knows what you'd do if I left you two alone?\Nothing!\R-Ruka-chan... response:	Yes?
context: I'm not letting anyone else by his side!\F-Feel free.\Five minutes.\Ruka-chan, give me five minutes to speak with Kazuya-san.\No way. Who knows what you'd do if I left you two alone?\Nothing!\R-Ruka-chan...\Yes? response:	Please give us some space, okay?
context: F-Feel free.\Five minutes.\Ruka-chan, give me five minutes to speak with Kazuya-san.\No way. Who knows what you'd do if I left you two alone?\Nothing!\R-Ruka-chan...\Yes?\Please give us some space, okay? response:	I can't say no to you, Kazuya-kun.
context: Five minutes.\Ruka-chan, give me five minutes to speak with Kazuya-san.\No way. Who knows what you'd do if I left you two alone?\Nothing!\R-Ruka-chan...\Yes?\Please give us some space, okay?\I can't say no to you, Kazuya-kun. response:	Grr
context: Ruka-chan, give me five minutes to speak with Kazuya-san.\No way. Who knows what you'd do if I left you two alone?\Nothing!\R-Ruka-chan...\Yes?\Please give us some space, okay?\I can't say no to you, Kazuya-kun.\Grr response:	Grr!
context: No way. Who knows what you'd do if I left you two alone?\Nothing!\R-Ruka-chan...\Yes?\Please give us some space, okay?\I can't say no to you, Kazuya-kun.\Grr\Grr! response:	Let's get this out of the way first.
context: Nothing!\R-Ruka-chan...\Yes?\Please give us some space, okay?\I can't say no to you, Kazuya-kun.\Grr\Grr!\Let's get this out of the way first. response:	Do you like Ruka-chan?
context: R-Ruka-chan...\Yes?\Please give us some space, okay?\I can't say no to you, Kazuya-kun.\Grr\Grr!\Let's get this out of the way first.\Do you like Ruka-chan? response:	No, I don't!
context: Yes?\Please give us some space, okay?\I can't say no to you, Kazuya-kun.\Grr\Grr!\Let's get this out of the way first.\Do you like Ruka-chan?\No, I don't! response:	That's inconsistent with her testimony.
context: Please give us some space, okay?\I can't say no to you, Kazuya-kun.\Grr\Grr!\Let's get this out of the way first.\Do you like Ruka-chan?\No, I don't!\That's inconsistent with her testimony. response:	L-Look, those were accidents!
context: I can't say no to you, Kazuya-kun.\Grr\Grr!\Let's get this out of the way first.\Do you like Ruka-chan?\No, I don't!\That's inconsistent with her testimony.\L-Look, those were accidents! response:	I just don't know.
context: Grr\Grr!\Let's get this out of the way first.\Do you like Ruka-chan?\No, I don't!\That's inconsistent with her testimony.\L-Look, those were accidents!\I just don't know. response:	It's the first time anyone's told me they like me.
context: Grr!\Let's get this out of the way first.\Do you like Ruka-chan?\No, I don't!\That's inconsistent with her testimony.\L-Look, those were accidents!\I just don't know.\It's the first time anyone's told me they like me. response:	Any guy would find her cute, and I'm no exception.
context: Let's get this out of the way first.\Do you like Ruka-chan?\No, I don't!\That's inconsistent with her testimony.\L-Look, those were accidents!\I just don't know.\It's the first time anyone's told me they like me.\Any guy would find her cute, and I'm no exception. response:	But considering how Kuri'd feel, there's no way I could date her.
context: Do you like Ruka-chan?\No, I don't!\That's inconsistent with her testimony.\L-Look, those were accidents!\I just don't know.\It's the first time anyone's told me they like me.\Any guy would find her cute, and I'm no exception.\But considering how Kuri'd feel, there's no way I could date her. response:	Got it. You shouldn't go out with her, then.
context: No, I don't!\That's inconsistent with her testimony.\L-Look, those were accidents!\I just don't know.\It's the first time anyone's told me they like me.\Any guy would find her cute, and I'm no exception.\But considering how Kuri'd feel, there's no way I could date her.\Got it. You shouldn't go out with her, then. response:	If you let her have her way now, she'll keep blackmailing you.
context: That's inconsistent with her testimony.\L-Look, those were accidents!\I just don't know.\It's the first time anyone's told me they like me.\Any guy would find her cute, and I'm no exception.\But considering how Kuri'd feel, there's no way I could date her.\Got it. You shouldn't go out with her, then.\If you let her have her way now, she'll keep blackmailing you. response:	As the grown-up here, you need to face her without fear.
context: L-Look, those were accidents!\I just don't know.\It's the first time anyone's told me they like me.\Any guy would find her cute, and I'm no exception.\But considering how Kuri'd feel, there's no way I could date her.\Got it. You shouldn't go out with her, then.\If you let her have her way now, she'll keep blackmailing you.\As the grown-up here, you need to face her without fear. response:	I didn't expect that.
context: I just don't know.\It's the first time anyone's told me they like me.\Any guy would find her cute, and I'm no exception.\But considering how Kuri'd feel, there's no way I could date her.\Got it. You shouldn't go out with her, then.\If you let her have her way now, she'll keep blackmailing you.\As the grown-up here, you need to face her without fear.\I didn't expect that. response:	I thought you'd say I should go out with her.
context: It's the first time anyone's told me they like me.\Any guy would find her cute, and I'm no exception.\But considering how Kuri'd feel, there's no way I could date her.\Got it. You shouldn't go out with her, then.\If you let her have her way now, she'll keep blackmailing you.\As the grown-up here, you need to face her without fear.\I didn't expect that.\I thought you'd say I should go out with her. response:	Why?
context: Any guy would find her cute, and I'm no exception.\But considering how Kuri'd feel, there's no way I could date her.\Got it. You shouldn't go out with her, then.\If you let her have her way now, she'll keep blackmailing you.\As the grown-up here, you need to face her without fear.\I didn't expect that.\I thought you'd say I should go out with her.\Why? response:	Remember what you said?
context: But considering how Kuri'd feel, there's no way I could date her.\Got it. You shouldn't go out with her, then.\If you let her have her way now, she'll keep blackmailing you.\As the grown-up here, you need to face her without fear.\I didn't expect that.\I thought you'd say I should go out with her.\Why?\Remember what you said? response:	And the best way to do that would be for you to get a real girlfriend.
context: Got it. You shouldn't go out with her, then.\If you let her have her way now, she'll keep blackmailing you.\As the grown-up here, you need to face her without fear.\I didn't expect that.\I thought you'd say I should go out with her.\Why?\Remember what you said?\And the best way to do that would be for you to get a real girlfriend. response:	Let's get one thing straight.
context: If you let her have her way now, she'll keep blackmailing you.\As the grown-up here, you need to face her without fear.\I didn't expect that.\I thought you'd say I should go out with her.\Why?\Remember what you said?\And the best way to do that would be for you to get a real girlfriend.\Let's get one thing straight. response:	Sure, that's my end goal,
context: As the grown-up here, you need to face her without fear.\I didn't expect that.\I thought you'd say I should go out with her.\Why?\Remember what you said?\And the best way to do that would be for you to get a real girlfriend.\Let's get one thing straight.\Sure, that's my end goal, response:	but I can obviously understand you'd be against getting a girlfriend in this fashion.
context: I didn't expect that.\I thought you'd say I should go out with her.\Why?\Remember what you said?\And the best way to do that would be for you to get a real girlfriend.\Let's get one thing straight.\Sure, that's my end goal,\but I can obviously understand you'd be against getting a girlfriend in this fashion. response:	Besides...
context: I thought you'd say I should go out with her.\Why?\Remember what you said?\And the best way to do that would be for you to get a real girlfriend.\Let's get one thing straight.\Sure, that's my end goal,\but I can obviously understand you'd be against getting a girlfriend in this fashion.\Besides... response:	She's blackmailing you to go out with her. Makes me doubt if she really likes you.
context: Why?\Remember what you said?\And the best way to do that would be for you to get a real girlfriend.\Let's get one thing straight.\Sure, that's my end goal,\but I can obviously understand you'd be against getting a girlfriend in this fashion.\Besides...\She's blackmailing you to go out with her. Makes me doubt if she really likes you. response:	The one thing a significant other can't lack is love for their partner.
context: Remember what you said?\And the best way to do that would be for you to get a real girlfriend.\Let's get one thing straight.\Sure, that's my end goal,\but I can obviously understand you'd be against getting a girlfriend in this fashion.\Besides...\She's blackmailing you to go out with her. Makes me doubt if she really likes you.\The one thing a significant other can't lack is love for their partner. response:	We're not talking about a rental girlfriend here. It's not as simple.
context: And the best way to do that would be for you to get a real girlfriend.\Let's get one thing straight.\Sure, that's my end goal,\but I can obviously understand you'd be against getting a girlfriend in this fashion.\Besides...\She's blackmailing you to go out with her. Makes me doubt if she really likes you.\The one thing a significant other can't lack is love for their partner.\We're not talking about a rental girlfriend here. It's not as simple. response:	But what now?
context: Let's get one thing straight.\Sure, that's my end goal,\but I can obviously understand you'd be against getting a girlfriend in this fashion.\Besides...\She's blackmailing you to go out with her. Makes me doubt if she really likes you.\The one thing a significant other can't lack is love for their partner.\We're not talking about a rental girlfriend here. It's not as simple.\But what now? response:	We need to do something to prevent her from spilling the beans.
context: Sure, that's my end goal,\but I can obviously understand you'd be against getting a girlfriend in this fashion.\Besides...\She's blackmailing you to go out with her. Makes me doubt if she really likes you.\The one thing a significant other can't lack is love for their partner.\We're not talking about a rental girlfriend here. It's not as simple.\But what now?\We need to do something to prevent her from spilling the beans. response:	I have an idea!
context: but I can obviously understand you'd be against getting a girlfriend in this fashion.\Besides...\She's blackmailing you to go out with her. Makes me doubt if she really likes you.\The one thing a significant other can't lack is love for their partner.\We're not talking about a rental girlfriend here. It's not as simple.\But what now?\We need to do something to prevent her from spilling the beans.\I have an idea! response:	You'll tell Kuri-kun the truth?
context: Besides...\She's blackmailing you to go out with her. Makes me doubt if she really likes you.\The one thing a significant other can't lack is love for their partner.\We're not talking about a rental girlfriend here. It's not as simple.\But what now?\We need to do something to prevent her from spilling the beans.\I have an idea!\You'll tell Kuri-kun the truth? response:	Yeah. And now, he'll be willing to keep it on the down-low as a shared secret.
context: She's blackmailing you to go out with her. Makes me doubt if she really likes you.\The one thing a significant other can't lack is love for their partner.\We're not talking about a rental girlfriend here. It's not as simple.\But what now?\We need to do something to prevent her from spilling the beans.\I have an idea!\You'll tell Kuri-kun the truth?\Yeah. And now, he'll be willing to keep it on the down-low as a shared secret. response:	But...
context: The one thing a significant other can't lack is love for their partner.\We're not talking about a rental girlfriend here. It's not as simple.\But what now?\We need to do something to prevent her from spilling the beans.\I have an idea!\You'll tell Kuri-kun the truth?\Yeah. And now, he'll be willing to keep it on the down-low as a shared secret.\But... response:	All I'll tell him is that Mizuhara's a rental girlfriend.
context: We're not talking about a rental girlfriend here. It's not as simple.\But what now?\We need to do something to prevent her from spilling the beans.\I have an idea!\You'll tell Kuri-kun the truth?\Yeah. And now, he'll be willing to keep it on the down-low as a shared secret.\But...\All I'll tell him is that Mizuhara's a rental girlfriend. response:	That way, it won't affect your college life.
context: But what now?\We need to do something to prevent her from spilling the beans.\I have an idea!\You'll tell Kuri-kun the truth?\Yeah. And now, he'll be willing to keep it on the down-low as a shared secret.\But...\All I'll tell him is that Mizuhara's a rental girlfriend.\That way, it won't affect your college life. response:	Nobody's realized that you go to our college.
context: We need to do something to prevent her from spilling the beans.\I have an idea!\You'll tell Kuri-kun the truth?\Yeah. And now, he'll be willing to keep it on the down-low as a shared secret.\But...\All I'll tell him is that Mizuhara's a rental girlfriend.\That way, it won't affect your college life.\Nobody's realized that you go to our college. response:	Yeah, but...
context: I have an idea!\You'll tell Kuri-kun the truth?\Yeah. And now, he'll be willing to keep it on the down-low as a shared secret.\But...\All I'll tell him is that Mizuhara's a rental girlfriend.\That way, it won't affect your college life.\Nobody's realized that you go to our college.\Yeah, but... response:	I'll go see Kuri.
context: You'll tell Kuri-kun the truth?\Yeah. And now, he'll be willing to keep it on the down-low as a shared secret.\But...\All I'll tell him is that Mizuhara's a rental girlfriend.\That way, it won't affect your college life.\Nobody's realized that you go to our college.\Yeah, but...\I'll go see Kuri. response:	Now?
context: Yeah. And now, he'll be willing to keep it on the down-low as a shared secret.\But...\All I'll tell him is that Mizuhara's a rental girlfriend.\That way, it won't affect your college life.\Nobody's realized that you go to our college.\Yeah, but...\I'll go see Kuri.\Now? response:	Yeah.
context: But...\All I'll tell him is that Mizuhara's a rental girlfriend.\That way, it won't affect your college life.\Nobody's realized that you go to our college.\Yeah, but...\I'll go see Kuri.\Now?\Yeah. response:	Given how he must be feeling,
context: All I'll tell him is that Mizuhara's a rental girlfriend.\That way, it won't affect your college life.\Nobody's realized that you go to our college.\Yeah, but...\I'll go see Kuri.\Now?\Yeah.\Given how he must be feeling, response:	he'd probably ignore my calls or texts.
context: That way, it won't affect your college life.\Nobody's realized that you go to our college.\Yeah, but...\I'll go see Kuri.\Now?\Yeah.\Given how he must be feeling,\he'd probably ignore my calls or texts. response:	I'll talk to him in person. You keep Ruka-chan occupied.
context: Nobody's realized that you go to our college.\Yeah, but...\I'll go see Kuri.\Now?\Yeah.\Given how he must be feeling,\he'd probably ignore my calls or texts.\I'll talk to him in person. You keep Ruka-chan occupied. response:	Are you sure? He'll find out you rented a girlfriend.
context: Yeah, but...\I'll go see Kuri.\Now?\Yeah.\Given how he must be feeling,\he'd probably ignore my calls or texts.\I'll talk to him in person. You keep Ruka-chan occupied.\Are you sure? He'll find out you rented a girlfriend. response:	Well, I found out about him, so it's not fair that I get to keep my secret.
context: I'll go see Kuri.\Now?\Yeah.\Given how he must be feeling,\he'd probably ignore my calls or texts.\I'll talk to him in person. You keep Ruka-chan occupied.\Are you sure? He'll find out you rented a girlfriend.\Well, I found out about him, so it's not fair that I get to keep my secret. response:	We can go get a drink and shoot the shit about rental girlfriends.
context: Now?\Yeah.\Given how he must be feeling,\he'd probably ignore my calls or texts.\I'll talk to him in person. You keep Ruka-chan occupied.\Are you sure? He'll find out you rented a girlfriend.\Well, I found out about him, so it's not fair that I get to keep my secret.\We can go get a drink and shoot the shit about rental girlfriends. response:	I'm sure it'll be a blast.
context: Yeah.\Given how he must be feeling,\he'd probably ignore my calls or texts.\I'll talk to him in person. You keep Ruka-chan occupied.\Are you sure? He'll find out you rented a girlfriend.\Well, I found out about him, so it's not fair that I get to keep my secret.\We can go get a drink and shoot the shit about rental girlfriends.\I'm sure it'll be a blast. response:	Mizuhara's right.
