context: It's been a long time. response:	Londark!
context: Rudy longed to be an adventurer.\It didn't matter whether he could be or not.\He just wanted to fight what he saw as unreasonable.\I didn't need to worry about whether I had talent.\Rudy brought me close.\He gave me my songs.\Isuzu!\Miss Serara! response:	It's all right.
context: It didn't matter whether he could be or not.\He just wanted to fight what he saw as unreasonable.\I didn't need to worry about whether I had talent.\Rudy brought me close.\He gave me my songs.\Isuzu!\Miss Serara!\It's all right. response:	I searched all the buildings west of here with Wolfie's nose.
context: He just wanted to fight what he saw as unreasonable.\I didn't need to worry about whether I had talent.\Rudy brought me close.\He gave me my songs.\Isuzu!\Miss Serara!\It's all right.\I searched all the buildings west of here with Wolfie's nose. response:	All the People of the Land have evacuated.
context: I didn't need to worry about whether I had talent.\Rudy brought me close.\He gave me my songs.\Isuzu!\Miss Serara!\It's all right.\I searched all the buildings west of here with Wolfie's nose.\All the People of the Land have evacuated. response:	Get back, mister!
context: Rudy brought me close.\He gave me my songs.\Isuzu!\Miss Serara!\It's all right.\I searched all the buildings west of here with Wolfie's nose.\All the People of the Land have evacuated.\Get back, mister! response:	Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2
context: He gave me my songs.\Isuzu!\Miss Serara!\It's all right.\I searched all the buildings west of here with Wolfie's nose.\All the People of the Land have evacuated.\Get back, mister!\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2 response:	Tohya...
context: Isuzu!\Miss Serara!\It's all right.\I searched all the buildings west of here with Wolfie's nose.\All the People of the Land have evacuated.\Get back, mister!\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya... response:	Shut up!
context: Miss Serara!\It's all right.\I searched all the buildings west of here with Wolfie's nose.\All the People of the Land have evacuated.\Get back, mister!\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya...\Shut up! response:	You're still going to get in my way?
context: It's all right.\I searched all the buildings west of here with Wolfie's nose.\All the People of the Land have evacuated.\Get back, mister!\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya...\Shut up!\You're still going to get in my way? response:	This battle belongs to the Odyssey Knights!
context: I searched all the buildings west of here with Wolfie's nose.\All the People of the Land have evacuated.\Get back, mister!\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya...\Shut up!\You're still going to get in my way?\This battle belongs to the Odyssey Knights! response:	He's still fighting.
context: All the People of the Land have evacuated.\Get back, mister!\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya...\Shut up!\You're still going to get in my way?\This battle belongs to the Odyssey Knights!\He's still fighting. response:	Yeah, Tohya hasn't lost yet, either!
context: Get back, mister!\Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya...\Shut up!\You're still going to get in my way?\This battle belongs to the Odyssey Knights!\He's still fighting.\Yeah, Tohya hasn't lost yet, either! response:	He's near the river.
context: Party Chat Tohya Minori Isuzu Rundel Haus Code Serara Roe 2\Tohya...\Shut up!\You're still going to get in my way?\This battle belongs to the Odyssey Knights!\He's still fighting.\Yeah, Tohya hasn't lost yet, either!\He's near the river. response:	He's close!
context: Tohya...\Shut up!\You're still going to get in my way?\This battle belongs to the Odyssey Knights!\He's still fighting.\Yeah, Tohya hasn't lost yet, either!\He's near the river.\He's close! response:	Don't mess up until I get there, Tohya!
context: Shut up!\You're still going to get in my way?\This battle belongs to the Odyssey Knights!\He's still fighting.\Yeah, Tohya hasn't lost yet, either!\He's near the river.\He's close!\Don't mess up until I get there, Tohya! response:	I, Rundel Haus Code,
context: You're still going to get in my way?\This battle belongs to the Odyssey Knights!\He's still fighting.\Yeah, Tohya hasn't lost yet, either!\He's near the river.\He's close!\Don't mess up until I get there, Tohya!\I, Rundel Haus Code, response:	will help you!
context: This battle belongs to the Odyssey Knights!\He's still fighting.\Yeah, Tohya hasn't lost yet, either!\He's near the river.\He's close!\Don't mess up until I get there, Tohya!\I, Rundel Haus Code,\will help you! response:	I won't step down!
context: He's still fighting.\Yeah, Tohya hasn't lost yet, either!\He's near the river.\He's close!\Don't mess up until I get there, Tohya!\I, Rundel Haus Code,\will help you!\I won't step down! response:	I'm not going to give up on you guys!
context: Yeah, Tohya hasn't lost yet, either!\He's near the river.\He's close!\Don't mess up until I get there, Tohya!\I, Rundel Haus Code,\will help you!\I won't step down!\I'm not going to give up on you guys! response:	What does a kid like you know?
context: He's near the river.\He's close!\Don't mess up until I get there, Tohya!\I, Rundel Haus Code,\will help you!\I won't step down!\I'm not going to give up on you guys!\What does a kid like you know? response:	If you don't stop,
context: He's close!\Don't mess up until I get there, Tohya!\I, Rundel Haus Code,\will help you!\I won't step down!\I'm not going to give up on you guys!\What does a kid like you know?\If you don't stop, response:	I'll rip you apart with my Onslaught!
context: Don't mess up until I get there, Tohya!\I, Rundel Haus Code,\will help you!\I won't step down!\I'm not going to give up on you guys!\What does a kid like you know?\If you don't stop,\I'll rip you apart with my Onslaught! response:	Then do it!
context: I, Rundel Haus Code,\will help you!\I won't step down!\I'm not going to give up on you guys!\What does a kid like you know?\If you don't stop,\I'll rip you apart with my Onslaught!\Then do it! response:	But I'm not leaving!
context: will help you!\I won't step down!\I'm not going to give up on you guys!\What does a kid like you know?\If you don't stop,\I'll rip you apart with my Onslaught!\Then do it!\But I'm not leaving! response:	Tohya!
context: I won't step down!\I'm not going to give up on you guys!\What does a kid like you know?\If you don't stop,\I'll rip you apart with my Onslaught!\Then do it!\But I'm not leaving!\Tohya! response:	This is the place where we die.
context: I'm not going to give up on you guys!\What does a kid like you know?\If you don't stop,\I'll rip you apart with my Onslaught!\Then do it!\But I'm not leaving!\Tohya!\This is the place where we die. response:	Don't block our path to hell!
context: What does a kid like you know?\If you don't stop,\I'll rip you apart with my Onslaught!\Then do it!\But I'm not leaving!\Tohya!\This is the place where we die.\Don't block our path to hell! response:	Tohya...
context: If you don't stop,\I'll rip you apart with my Onslaught!\Then do it!\But I'm not leaving!\Tohya!\This is the place where we die.\Don't block our path to hell!\Tohya... response:	Give me a break!
context: I'll rip you apart with my Onslaught!\Then do it!\But I'm not leaving!\Tohya!\This is the place where we die.\Don't block our path to hell!\Tohya...\Give me a break! response:	The place where you die?
context: Then do it!\But I'm not leaving!\Tohya!\This is the place where we die.\Don't block our path to hell!\Tohya...\Give me a break!\The place where you die? response:	A path to hell?
context: But I'm not leaving!\Tohya!\This is the place where we die.\Don't block our path to hell!\Tohya...\Give me a break!\The place where you die?\A path to hell? response:	Miss Isuzu?
context: Tohya!\This is the place where we die.\Don't block our path to hell!\Tohya...\Give me a break!\The place where you die?\A path to hell?\Miss Isuzu? response:	Rudy...
context: This is the place where we die.\Don't block our path to hell!\Tohya...\Give me a break!\The place where you die?\A path to hell?\Miss Isuzu?\Rudy... response:	I want to fill this world with the sound of a forty-third song!
context: Don't block our path to hell!\Tohya...\Give me a break!\The place where you die?\A path to hell?\Miss Isuzu?\Rudy...\I want to fill this world with the sound of a forty-third song! response:	I want to play the song I made for the first time in this world!
context: Tohya...\Give me a break!\The place where you die?\A path to hell?\Miss Isuzu?\Rudy...\I want to fill this world with the sound of a forty-third song!\I want to play the song I made for the first time in this world! response:	Because...
context: Give me a break!\The place where you die?\A path to hell?\Miss Isuzu?\Rudy...\I want to fill this world with the sound of a forty-third song!\I want to play the song I made for the first time in this world!\Because... response:	This world...
context: The place where you die?\A path to hell?\Miss Isuzu?\Rudy...\I want to fill this world with the sound of a forty-third song!\I want to play the song I made for the first time in this world!\Because...\This world... response:	This world I've walked through with my friends...
context: A path to hell?\Miss Isuzu?\Rudy...\I want to fill this world with the sound of a forty-third song!\I want to play the song I made for the first time in this world!\Because...\This world...\This world I've walked through with my friends... response:	It isn't...
context: Miss Isuzu?\Rudy...\I want to fill this world with the sound of a forty-third song!\I want to play the song I made for the first time in this world!\Because...\This world...\This world I've walked through with my friends...\It isn't... response:	It isn't...
context: Rudy...\I want to fill this world with the sound of a forty-third song!\I want to play the song I made for the first time in this world!\Because...\This world...\This world I've walked through with my friends...\It isn't...\It isn't... response:	the path to hell!
context: I want to fill this world with the sound of a forty-third song!\I want to play the song I made for the first time in this world!\Because...\This world...\This world I've walked through with my friends...\It isn't...\It isn't...\the path to hell! response:	The sea wind, the asphalt...
context: I want to play the song I made for the first time in this world!\Because...\This world...\This world I've walked through with my friends...\It isn't...\It isn't...\the path to hell!\The sea wind, the asphalt... response:	Once we're over the hill,
context: Because...\This world...\This world I've walked through with my friends...\It isn't...\It isn't...\the path to hell!\The sea wind, the asphalt...\Once we're over the hill, response:	we can see the next town.
context: This world...\This world I've walked through with my friends...\It isn't...\It isn't...\the path to hell!\The sea wind, the asphalt...\Once we're over the hill,\we can see the next town. response:	Our journey is just beginning.
context: This world I've walked through with my friends...\It isn't...\It isn't...\the path to hell!\The sea wind, the asphalt...\Once we're over the hill,\we can see the next town.\Our journey is just beginning. response:	Plucking the strings on my little lute,
context: It isn't...\It isn't...\the path to hell!\The sea wind, the asphalt...\Once we're over the hill,\we can see the next town.\Our journey is just beginning.\Plucking the strings on my little lute, response:	I'll open up the window
context: It isn't...\the path to hell!\The sea wind, the asphalt...\Once we're over the hill,\we can see the next town.\Our journey is just beginning.\Plucking the strings on my little lute,\I'll open up the window response:	and begin again today.
context: the path to hell!\The sea wind, the asphalt...\Once we're over the hill,\we can see the next town.\Our journey is just beginning.\Plucking the strings on my little lute,\I'll open up the window\and begin again today. response:	Even if you can't hear this song,
context: The sea wind, the asphalt...\Once we're over the hill,\we can see the next town.\Our journey is just beginning.\Plucking the strings on my little lute,\I'll open up the window\and begin again today.\Even if you can't hear this song, response:	even if you're locked inside this tiny world,
context: Once we're over the hill,\we can see the next town.\Our journey is just beginning.\Plucking the strings on my little lute,\I'll open up the window\and begin again today.\Even if you can't hear this song,\even if you're locked inside this tiny world, response:	it's okay
context: we can see the next town.\Our journey is just beginning.\Plucking the strings on my little lute,\I'll open up the window\and begin again today.\Even if you can't hear this song,\even if you're locked inside this tiny world,\it's okay response:	because I'm here.
context: Our journey is just beginning.\Plucking the strings on my little lute,\I'll open up the window\and begin again today.\Even if you can't hear this song,\even if you're locked inside this tiny world,\it's okay\because I'm here. response:	I'll overwrite the yesterday that hurt your heart.
context: Plucking the strings on my little lute,\I'll open up the window\and begin again today.\Even if you can't hear this song,\even if you're locked inside this tiny world,\it's okay\because I'm here.\I'll overwrite the yesterday that hurt your heart. response:	I won't forget the shining rainbow I spread,
context: I'll open up the window\and begin again today.\Even if you can't hear this song,\even if you're locked inside this tiny world,\it's okay\because I'm here.\I'll overwrite the yesterday that hurt your heart.\I won't forget the shining rainbow I spread, response:	and my hopes will become musical notes.
context: and begin again today.\Even if you can't hear this song,\even if you're locked inside this tiny world,\it's okay\because I'm here.\I'll overwrite the yesterday that hurt your heart.\I won't forget the shining rainbow I spread,\and my hopes will become musical notes. response:	I won't forget the shining promise I made with you.
context: Even if you can't hear this song,\even if you're locked inside this tiny world,\it's okay\because I'm here.\I'll overwrite the yesterday that hurt your heart.\I won't forget the shining rainbow I spread,\and my hopes will become musical notes.\I won't forget the shining promise I made with you. response:	Even my cowardly lute is different today.
context: even if you're locked inside this tiny world,\it's okay\because I'm here.\I'll overwrite the yesterday that hurt your heart.\I won't forget the shining rainbow I spread,\and my hopes will become musical notes.\I won't forget the shining promise I made with you.\Even my cowardly lute is different today. response:	The journey is over.
context: it's okay\because I'm here.\I'll overwrite the yesterday that hurt your heart.\I won't forget the shining rainbow I spread,\and my hopes will become musical notes.\I won't forget the shining promise I made with you.\Even my cowardly lute is different today.\The journey is over. response:	What were they able to do?
context: because I'm here.\I'll overwrite the yesterday that hurt your heart.\I won't forget the shining rainbow I spread,\and my hopes will become musical notes.\I won't forget the shining promise I made with you.\Even my cowardly lute is different today.\The journey is over.\What were they able to do? response:	Were they able to save anyone?
context: I'll overwrite the yesterday that hurt your heart.\I won't forget the shining rainbow I spread,\and my hopes will become musical notes.\I won't forget the shining promise I made with you.\Even my cowardly lute is different today.\The journey is over.\What were they able to do?\Were they able to save anyone? response:	Minori and the others still feel glum.
context: I won't forget the shining rainbow I spread,\and my hopes will become musical notes.\I won't forget the shining promise I made with you.\Even my cowardly lute is different today.\The journey is over.\What were they able to do?\Were they able to save anyone?\Minori and the others still feel glum. response:	Roe 2 entrusts them with a letter for Shiroe.
context: and my hopes will become musical notes.\I won't forget the shining promise I made with you.\Even my cowardly lute is different today.\The journey is over.\What were they able to do?\Were they able to save anyone?\Minori and the others still feel glum.\Roe 2 entrusts them with a letter for Shiroe. response:	Meanwhile, a new threat approaches Akihabara.
context: I won't forget the shining promise I made with you.\Even my cowardly lute is different today.\The journey is over.\What were they able to do?\Were they able to save anyone?\Minori and the others still feel glum.\Roe 2 entrusts them with a letter for Shiroe.\Meanwhile, a new threat approaches Akihabara. response:	The Skylarks Take Flight
context: Even my cowardly lute is different today.\The journey is over.\What were they able to do?\Were they able to save anyone?\Minori and the others still feel glum.\Roe 2 entrusts them with a letter for Shiroe.\Meanwhile, a new threat approaches Akihabara.\The Skylarks Take Flight response:	Next time: The Skylarks Take Flight.
context: The journey is over.\What were they able to do?\Were they able to save anyone?\Minori and the others still feel glum.\Roe 2 entrusts them with a letter for Shiroe.\Meanwhile, a new threat approaches Akihabara.\The Skylarks Take Flight\Next time: The Skylarks Take Flight. response:	I have friends to run with me.
