context: I have to get some proper rest. response:	Don't disturb me again.
context: You should know that Qian Qian doesn't like to owe any favors.\If she knows that the elixir is from me\she wouldn't be able to accept it happily and focus on the treatment.\High God, you just have to say that you attained the divine fungal grass\and used your cultivation to create the elixir.\Qian Qian is keen on saving Mo Yuan so she won't question it.\All right, I'll agree to it.\I won't be staying. response:	I still have to report back to the Celestial Palace.
context: If she knows that the elixir is from me\she wouldn't be able to accept it happily and focus on the treatment.\High God, you just have to say that you attained the divine fungal grass\and used your cultivation to create the elixir.\Qian Qian is keen on saving Mo Yuan so she won't question it.\All right, I'll agree to it.\I won't be staying.\I still have to report back to the Celestial Palace. response:	Crown Prince.
context: she wouldn't be able to accept it happily and focus on the treatment.\High God, you just have to say that you attained the divine fungal grass\and used your cultivation to create the elixir.\Qian Qian is keen on saving Mo Yuan so she won't question it.\All right, I'll agree to it.\I won't be staying.\I still have to report back to the Celestial Palace.\Crown Prince. response:	Have you ever thought that once Mo Yuan's spirit returns to his body
context: High God, you just have to say that you attained the divine fungal grass\and used your cultivation to create the elixir.\Qian Qian is keen on saving Mo Yuan so she won't question it.\All right, I'll agree to it.\I won't be staying.\I still have to report back to the Celestial Palace.\Crown Prince.\Have you ever thought that once Mo Yuan's spirit returns to his body response:	the seal of the Bell of East Emperor will break once he wakes up?
context: and used your cultivation to create the elixir.\Qian Qian is keen on saving Mo Yuan so she won't question it.\All right, I'll agree to it.\I won't be staying.\I still have to report back to the Celestial Palace.\Crown Prince.\Have you ever thought that once Mo Yuan's spirit returns to his body\the seal of the Bell of East Emperor will break once he wakes up? response:	What will happen to all lives in the realms?
context: Qian Qian is keen on saving Mo Yuan so she won't question it.\All right, I'll agree to it.\I won't be staying.\I still have to report back to the Celestial Palace.\Crown Prince.\Have you ever thought that once Mo Yuan's spirit returns to his body\the seal of the Bell of East Emperor will break once he wakes up?\What will happen to all lives in the realms? response:	If Qing Cang is to kill all lives in the realms
context: All right, I'll agree to it.\I won't be staying.\I still have to report back to the Celestial Palace.\Crown Prince.\Have you ever thought that once Mo Yuan's spirit returns to his body\the seal of the Bell of East Emperor will break once he wakes up?\What will happen to all lives in the realms?\If Qing Cang is to kill all lives in the realms response:	someone who can subdue him will surely appear.
context: I won't be staying.\I still have to report back to the Celestial Palace.\Crown Prince.\Have you ever thought that once Mo Yuan's spirit returns to his body\the seal of the Bell of East Emperor will break once he wakes up?\What will happen to all lives in the realms?\If Qing Cang is to kill all lives in the realms\someone who can subdue him will surely appear. response:	70,000 years ago Mo Yuan sealed him up with his spirit.
context: I still have to report back to the Celestial Palace.\Crown Prince.\Have you ever thought that once Mo Yuan's spirit returns to his body\the seal of the Bell of East Emperor will break once he wakes up?\What will happen to all lives in the realms?\If Qing Cang is to kill all lives in the realms\someone who can subdue him will surely appear.\70,000 years ago Mo Yuan sealed him up with his spirit. response:	300 years ago Qian Qian risked her life to do it again.
context: Crown Prince.\Have you ever thought that once Mo Yuan's spirit returns to his body\the seal of the Bell of East Emperor will break once he wakes up?\What will happen to all lives in the realms?\If Qing Cang is to kill all lives in the realms\someone who can subdue him will surely appear.\70,000 years ago Mo Yuan sealed him up with his spirit.\300 years ago Qian Qian risked her life to do it again. response:	Someone will also do it in the future.
context: Have you ever thought that once Mo Yuan's spirit returns to his body\the seal of the Bell of East Emperor will break once he wakes up?\What will happen to all lives in the realms?\If Qing Cang is to kill all lives in the realms\someone who can subdue him will surely appear.\70,000 years ago Mo Yuan sealed him up with his spirit.\300 years ago Qian Qian risked her life to do it again.\Someone will also do it in the future. response:	Your Highness.
context: the seal of the Bell of East Emperor will break once he wakes up?\What will happen to all lives in the realms?\If Qing Cang is to kill all lives in the realms\someone who can subdue him will surely appear.\70,000 years ago Mo Yuan sealed him up with his spirit.\300 years ago Qian Qian risked her life to do it again.\Someone will also do it in the future.\Your Highness. response:	Let's go.
context: What will happen to all lives in the realms?\If Qing Cang is to kill all lives in the realms\someone who can subdue him will surely appear.\70,000 years ago Mo Yuan sealed him up with his spirit.\300 years ago Qian Qian risked her life to do it again.\Someone will also do it in the future.\Your Highness.\Let's go. response:	- Yes. - Yes.
context: If Qing Cang is to kill all lives in the realms\someone who can subdue him will surely appear.\70,000 years ago Mo Yuan sealed him up with his spirit.\300 years ago Qian Qian risked her life to do it again.\Someone will also do it in the future.\Your Highness.\Let's go.\- Yes. - Yes. response:	Why are you pulling me away?
context: someone who can subdue him will surely appear.\70,000 years ago Mo Yuan sealed him up with his spirit.\300 years ago Qian Qian risked her life to do it again.\Someone will also do it in the future.\Your Highness.\Let's go.\- Yes. - Yes.\Why are you pulling me away? response:	I just want to tell him that Qian Qian's feelings for him are real
context: 70,000 years ago Mo Yuan sealed him up with his spirit.\300 years ago Qian Qian risked her life to do it again.\Someone will also do it in the future.\Your Highness.\Let's go.\- Yes. - Yes.\Why are you pulling me away?\I just want to tell him that Qian Qian's feelings for him are real response:	so that they could bare their heart to each other soon.
context: 300 years ago Qian Qian risked her life to do it again.\Someone will also do it in the future.\Your Highness.\Let's go.\- Yes. - Yes.\Why are you pulling me away?\I just want to tell him that Qian Qian's feelings for him are real\so that they could bare their heart to each other soon. response:	Flowers bloom and wither.
context: Someone will also do it in the future.\Your Highness.\Let's go.\- Yes. - Yes.\Why are you pulling me away?\I just want to tell him that Qian Qian's feelings for him are real\so that they could bare their heart to each other soon.\Flowers bloom and wither. response:	Everyone answers to their own actions.
context: Your Highness.\Let's go.\- Yes. - Yes.\Why are you pulling me away?\I just want to tell him that Qian Qian's feelings for him are real\so that they could bare their heart to each other soon.\Flowers bloom and wither.\Everyone answers to their own actions. response:	This isn't something we can manipulate.
context: Let's go.\- Yes. - Yes.\Why are you pulling me away?\I just want to tell him that Qian Qian's feelings for him are real\so that they could bare their heart to each other soon.\Flowers bloom and wither.\Everyone answers to their own actions.\This isn't something we can manipulate. response:	Crown Prince.
context: - Yes. - Yes.\Why are you pulling me away?\I just want to tell him that Qian Qian's feelings for him are real\so that they could bare their heart to each other soon.\Flowers bloom and wither.\Everyone answers to their own actions.\This isn't something we can manipulate.\Crown Prince. response:	Jia Yun.
context: Why are you pulling me away?\I just want to tell him that Qian Qian's feelings for him are real\so that they could bare their heart to each other soon.\Flowers bloom and wither.\Everyone answers to their own actions.\This isn't something we can manipulate.\Crown Prince.\Jia Yun. response:	Present.
context: I just want to tell him that Qian Qian's feelings for him are real\so that they could bare their heart to each other soon.\Flowers bloom and wither.\Everyone answers to their own actions.\This isn't something we can manipulate.\Crown Prince.\Jia Yun.\Present. response:	Go to Cheng Yu.
context: so that they could bare their heart to each other soon.\Flowers bloom and wither.\Everyone answers to their own actions.\This isn't something we can manipulate.\Crown Prince.\Jia Yun.\Present.\Go to Cheng Yu. response:	Tell her to take A-Li with her
context: Flowers bloom and wither.\Everyone answers to their own actions.\This isn't something we can manipulate.\Crown Prince.\Jia Yun.\Present.\Go to Cheng Yu.\Tell her to take A-Li with her response:	to the assembly at Sacred Mountain for a few days.
context: Everyone answers to their own actions.\This isn't something we can manipulate.\Crown Prince.\Jia Yun.\Present.\Go to Cheng Yu.\Tell her to take A-Li with her\to the assembly at Sacred Mountain for a few days. response:	Just say that the sugar cane in Sacred Mountain is delicious.
context: This isn't something we can manipulate.\Crown Prince.\Jia Yun.\Present.\Go to Cheng Yu.\Tell her to take A-Li with her\to the assembly at Sacred Mountain for a few days.\Just say that the sugar cane in Sacred Mountain is delicious. response:	Take A-Li there to have some fun.
context: Crown Prince.\Jia Yun.\Present.\Go to Cheng Yu.\Tell her to take A-Li with her\to the assembly at Sacred Mountain for a few days.\Just say that the sugar cane in Sacred Mountain is delicious.\Take A-Li there to have some fun. response:	Sugar cane?
context: Jia Yun.\Present.\Go to Cheng Yu.\Tell her to take A-Li with her\to the assembly at Sacred Mountain for a few days.\Just say that the sugar cane in Sacred Mountain is delicious.\Take A-Li there to have some fun.\Sugar cane? response:	Do it now.
context: Present.\Go to Cheng Yu.\Tell her to take A-Li with her\to the assembly at Sacred Mountain for a few days.\Just say that the sugar cane in Sacred Mountain is delicious.\Take A-Li there to have some fun.\Sugar cane?\Do it now. response:	Yes.
context: Go to Cheng Yu.\Tell her to take A-Li with her\to the assembly at Sacred Mountain for a few days.\Just say that the sugar cane in Sacred Mountain is delicious.\Take A-Li there to have some fun.\Sugar cane?\Do it now.\Yes. response:	Tian Shu.
context: Tell her to take A-Li with her\to the assembly at Sacred Mountain for a few days.\Just say that the sugar cane in Sacred Mountain is delicious.\Take A-Li there to have some fun.\Sugar cane?\Do it now.\Yes.\Tian Shu. response:	Present.
context: to the assembly at Sacred Mountain for a few days.\Just say that the sugar cane in Sacred Mountain is delicious.\Take A-Li there to have some fun.\Sugar cane?\Do it now.\Yes.\Tian Shu.\Present. response:	Report back to the Grand Hall for me.
context: Just say that the sugar cane in Sacred Mountain is delicious.\Take A-Li there to have some fun.\Sugar cane?\Do it now.\Yes.\Tian Shu.\Present.\Report back to the Grand Hall for me. response:	Just say that I've destroyed all the divine fungal grass
context: Take A-Li there to have some fun.\Sugar cane?\Do it now.\Yes.\Tian Shu.\Present.\Report back to the Grand Hall for me.\Just say that I've destroyed all the divine fungal grass response:	killed the four mythical beasts, and sunk Yingzhou Island.
context: Sugar cane?\Do it now.\Yes.\Tian Shu.\Present.\Report back to the Grand Hall for me.\Just say that I've destroyed all the divine fungal grass\killed the four mythical beasts, and sunk Yingzhou Island. response:	However, I've also used up all of my cultivation doing so.
context: Do it now.\Yes.\Tian Shu.\Present.\Report back to the Grand Hall for me.\Just say that I've destroyed all the divine fungal grass\killed the four mythical beasts, and sunk Yingzhou Island.\However, I've also used up all of my cultivation doing so. response:	What?
context: Yes.\Tian Shu.\Present.\Report back to the Grand Hall for me.\Just say that I've destroyed all the divine fungal grass\killed the four mythical beasts, and sunk Yingzhou Island.\However, I've also used up all of my cultivation doing so.\What? response:	Your energy...
context: Tian Shu.\Present.\Report back to the Grand Hall for me.\Just say that I've destroyed all the divine fungal grass\killed the four mythical beasts, and sunk Yingzhou Island.\However, I've also used up all of my cultivation doing so.\What?\Your energy... response:	Bear this in mind.
context: Present.\Report back to the Grand Hall for me.\Just say that I've destroyed all the divine fungal grass\killed the four mythical beasts, and sunk Yingzhou Island.\However, I've also used up all of my cultivation doing so.\What?\Your energy...\Bear this in mind. response:	Do not mention that I've been to Ten-mile...
context: Report back to the Grand Hall for me.\Just say that I've destroyed all the divine fungal grass\killed the four mythical beasts, and sunk Yingzhou Island.\However, I've also used up all of my cultivation doing so.\What?\Your energy...\Bear this in mind.\Do not mention that I've been to Ten-mile... response:	Ten-mile Peach Tree Woods...
context: Just say that I've destroyed all the divine fungal grass\killed the four mythical beasts, and sunk Yingzhou Island.\However, I've also used up all of my cultivation doing so.\What?\Your energy...\Bear this in mind.\Do not mention that I've been to Ten-mile...\Ten-mile Peach Tree Woods... response:	Your Highness...
context: killed the four mythical beasts, and sunk Yingzhou Island.\However, I've also used up all of my cultivation doing so.\What?\Your energy...\Bear this in mind.\Do not mention that I've been to Ten-mile...\Ten-mile Peach Tree Woods...\Your Highness... response:	Father really agreed to this?
context: However, I've also used up all of my cultivation doing so.\What?\Your energy...\Bear this in mind.\Do not mention that I've been to Ten-mile...\Ten-mile Peach Tree Woods...\Your Highness...\Father really agreed to this? response:	Yes, Little Prince.
context: What?\Your energy...\Bear this in mind.\Do not mention that I've been to Ten-mile...\Ten-mile Peach Tree Woods...\Your Highness...\Father really agreed to this?\Yes, Little Prince. response:	His Highness said that the sugar cane on Sacred Mountain is the most delicious.
context: Your energy...\Bear this in mind.\Do not mention that I've been to Ten-mile...\Ten-mile Peach Tree Woods...\Your Highness...\Father really agreed to this?\Yes, Little Prince.\His Highness said that the sugar cane on Sacred Mountain is the most delicious. response:	Little Prince can enjoy sugar cane and have fun for a few days.
context: Bear this in mind.\Do not mention that I've been to Ten-mile...\Ten-mile Peach Tree Woods...\Your Highness...\Father really agreed to this?\Yes, Little Prince.\His Highness said that the sugar cane on Sacred Mountain is the most delicious.\Little Prince can enjoy sugar cane and have fun for a few days. response:	Is Father celebrating some occasion?
context: Do not mention that I've been to Ten-mile...\Ten-mile Peach Tree Woods...\Your Highness...\Father really agreed to this?\Yes, Little Prince.\His Highness said that the sugar cane on Sacred Mountain is the most delicious.\Little Prince can enjoy sugar cane and have fun for a few days.\Is Father celebrating some occasion? response:	Why would he suddenly be so lenient and allow me to go out to play alone?
context: Ten-mile Peach Tree Woods...\Your Highness...\Father really agreed to this?\Yes, Little Prince.\His Highness said that the sugar cane on Sacred Mountain is the most delicious.\Little Prince can enjoy sugar cane and have fun for a few days.\Is Father celebrating some occasion?\Why would he suddenly be so lenient and allow me to go out to play alone? response:	What other happy occasion could it be?
context: Your Highness...\Father really agreed to this?\Yes, Little Prince.\His Highness said that the sugar cane on Sacred Mountain is the most delicious.\Little Prince can enjoy sugar cane and have fun for a few days.\Is Father celebrating some occasion?\Why would he suddenly be so lenient and allow me to go out to play alone?\What other happy occasion could it be? response:	It must be that your mother is finally going to marry your father.
context: Father really agreed to this?\Yes, Little Prince.\His Highness said that the sugar cane on Sacred Mountain is the most delicious.\Little Prince can enjoy sugar cane and have fun for a few days.\Is Father celebrating some occasion?\Why would he suddenly be so lenient and allow me to go out to play alone?\What other happy occasion could it be?\It must be that your mother is finally going to marry your father. response:	You're right!
context: Yes, Little Prince.\His Highness said that the sugar cane on Sacred Mountain is the most delicious.\Little Prince can enjoy sugar cane and have fun for a few days.\Is Father celebrating some occasion?\Why would he suddenly be so lenient and allow me to go out to play alone?\What other happy occasion could it be?\It must be that your mother is finally going to marry your father.\You're right! response:	The other day Third Great-uncle said that my mother will soon marry my father.
context: His Highness said that the sugar cane on Sacred Mountain is the most delicious.\Little Prince can enjoy sugar cane and have fun for a few days.\Is Father celebrating some occasion?\Why would he suddenly be so lenient and allow me to go out to play alone?\What other happy occasion could it be?\It must be that your mother is finally going to marry your father.\You're right!\The other day Third Great-uncle said that my mother will soon marry my father. response:	Are you happy for me?
context: Little Prince can enjoy sugar cane and have fun for a few days.\Is Father celebrating some occasion?\Why would he suddenly be so lenient and allow me to go out to play alone?\What other happy occasion could it be?\It must be that your mother is finally going to marry your father.\You're right!\The other day Third Great-uncle said that my mother will soon marry my father.\Are you happy for me? response:	Definitely! I'm happy for you.
context: Is Father celebrating some occasion?\Why would he suddenly be so lenient and allow me to go out to play alone?\What other happy occasion could it be?\It must be that your mother is finally going to marry your father.\You're right!\The other day Third Great-uncle said that my mother will soon marry my father.\Are you happy for me?\Definitely! I'm happy for you. response:	Little Prince, should we get going?
context: Why would he suddenly be so lenient and allow me to go out to play alone?\What other happy occasion could it be?\It must be that your mother is finally going to marry your father.\You're right!\The other day Third Great-uncle said that my mother will soon marry my father.\Are you happy for me?\Definitely! I'm happy for you.\Little Prince, should we get going? response:	Speak up!
context: What other happy occasion could it be?\It must be that your mother is finally going to marry your father.\You're right!\The other day Third Great-uncle said that my mother will soon marry my father.\Are you happy for me?\Definitely! I'm happy for you.\Little Prince, should we get going?\Speak up! response:	What went wrong?
context: It must be that your mother is finally going to marry your father.\You're right!\The other day Third Great-uncle said that my mother will soon marry my father.\Are you happy for me?\Definitely! I'm happy for you.\Little Prince, should we get going?\Speak up!\What went wrong? response:	Crown Prince went to Yingzhou of the Eastern Sea alone.
context: You're right!\The other day Third Great-uncle said that my mother will soon marry my father.\Are you happy for me?\Definitely! I'm happy for you.\Little Prince, should we get going?\Speak up!\What went wrong?\Crown Prince went to Yingzhou of the Eastern Sea alone. response:	Not only did he kill the four mythical beasts
context: The other day Third Great-uncle said that my mother will soon marry my father.\Are you happy for me?\Definitely! I'm happy for you.\Little Prince, should we get going?\Speak up!\What went wrong?\Crown Prince went to Yingzhou of the Eastern Sea alone.\Not only did he kill the four mythical beasts response:	but he sank Yingzhou and destroyed the divine fungal grass.
context: Are you happy for me?\Definitely! I'm happy for you.\Little Prince, should we get going?\Speak up!\What went wrong?\Crown Prince went to Yingzhou of the Eastern Sea alone.\Not only did he kill the four mythical beasts\but he sank Yingzhou and destroyed the divine fungal grass. response:	It's also because of that he has now used up all of his energy.
context: Definitely! I'm happy for you.\Little Prince, should we get going?\Speak up!\What went wrong?\Crown Prince went to Yingzhou of the Eastern Sea alone.\Not only did he kill the four mythical beasts\but he sank Yingzhou and destroyed the divine fungal grass.\It's also because of that he has now used up all of his energy. response:	What?
context: Little Prince, should we get going?\Speak up!\What went wrong?\Crown Prince went to Yingzhou of the Eastern Sea alone.\Not only did he kill the four mythical beasts\but he sank Yingzhou and destroyed the divine fungal grass.\It's also because of that he has now used up all of his energy.\What? response:	Silly child.
context: Speak up!\What went wrong?\Crown Prince went to Yingzhou of the Eastern Sea alone.\Not only did he kill the four mythical beasts\but he sank Yingzhou and destroyed the divine fungal grass.\It's also because of that he has now used up all of his energy.\What?\Silly child. response:	Why would you go and destroy some divine fungal grass for nothing?
context: What went wrong?\Crown Prince went to Yingzhou of the Eastern Sea alone.\Not only did he kill the four mythical beasts\but he sank Yingzhou and destroyed the divine fungal grass.\It's also because of that he has now used up all of his energy.\What?\Silly child.\Why would you go and destroy some divine fungal grass for nothing? response:	You've now brought such calamity upon yourself.
context: Crown Prince went to Yingzhou of the Eastern Sea alone.\Not only did he kill the four mythical beasts\but he sank Yingzhou and destroyed the divine fungal grass.\It's also because of that he has now used up all of his energy.\What?\Silly child.\Why would you go and destroy some divine fungal grass for nothing?\You've now brought such calamity upon yourself. response:	Where is Xiao Jiu?
context: Not only did he kill the four mythical beasts\but he sank Yingzhou and destroyed the divine fungal grass.\It's also because of that he has now used up all of his energy.\What?\Silly child.\Why would you go and destroy some divine fungal grass for nothing?\You've now brought such calamity upon yourself.\Where is Xiao Jiu? response:	Emissary.
context: but he sank Yingzhou and destroyed the divine fungal grass.\It's also because of that he has now used up all of his energy.\What?\Silly child.\Why would you go and destroy some divine fungal grass for nothing?\You've now brought such calamity upon yourself.\Where is Xiao Jiu?\Emissary. response:	You're finally awake.
context: It's also because of that he has now used up all of his energy.\What?\Silly child.\Why would you go and destroy some divine fungal grass for nothing?\You've now brought such calamity upon yourself.\Where is Xiao Jiu?\Emissary.\You're finally awake. response:	What happened?
context: What?\Silly child.\Why would you go and destroy some divine fungal grass for nothing?\You've now brought such calamity upon yourself.\Where is Xiao Jiu?\Emissary.\You're finally awake.\What happened? response:	You've been asleep for so long.
context: Silly child.\Why would you go and destroy some divine fungal grass for nothing?\You've now brought such calamity upon yourself.\Where is Xiao Jiu?\Emissary.\You're finally awake.\What happened?\You've been asleep for so long. response:	High God Zhe Yan has been waiting for you in the main hall for two days.
context: Why would you go and destroy some divine fungal grass for nothing?\You've now brought such calamity upon yourself.\Where is Xiao Jiu?\Emissary.\You're finally awake.\What happened?\You've been asleep for so long.\High God Zhe Yan has been waiting for you in the main hall for two days. response:	I've been asleep that long?
context: You've now brought such calamity upon yourself.\Where is Xiao Jiu?\Emissary.\You're finally awake.\What happened?\You've been asleep for so long.\High God Zhe Yan has been waiting for you in the main hall for two days.\I've been asleep that long? response:	Zhe Yan!
context: Where is Xiao Jiu?\Emissary.\You're finally awake.\What happened?\You've been asleep for so long.\High God Zhe Yan has been waiting for you in the main hall for two days.\I've been asleep that long?\Zhe Yan! response:	Seeing how you are now I suppose Mo Yuan's soul is repaired.
context: Emissary.\You're finally awake.\What happened?\You've been asleep for so long.\High God Zhe Yan has been waiting for you in the main hall for two days.\I've been asleep that long?\Zhe Yan!\Seeing how you are now I suppose Mo Yuan's soul is repaired. response:	A few days ago, I had this elixir created
context: You're finally awake.\What happened?\You've been asleep for so long.\High God Zhe Yan has been waiting for you in the main hall for two days.\I've been asleep that long?\Zhe Yan!\Seeing how you are now I suppose Mo Yuan's soul is repaired.\A few days ago, I had this elixir created response:	so I've brought it here for you since you might be in need for it.
context: What happened?\You've been asleep for so long.\High God Zhe Yan has been waiting for you in the main hall for two days.\I've been asleep that long?\Zhe Yan!\Seeing how you are now I suppose Mo Yuan's soul is repaired.\A few days ago, I had this elixir created\so I've brought it here for you since you might be in need for it. response:	This is...
context: You've been asleep for so long.\High God Zhe Yan has been waiting for you in the main hall for two days.\I've been asleep that long?\Zhe Yan!\Seeing how you are now I suppose Mo Yuan's soul is repaired.\A few days ago, I had this elixir created\so I've brought it here for you since you might be in need for it.\This is... response:	You used your powers to create this elixir?
context: High God Zhe Yan has been waiting for you in the main hall for two days.\I've been asleep that long?\Zhe Yan!\Seeing how you are now I suppose Mo Yuan's soul is repaired.\A few days ago, I had this elixir created\so I've brought it here for you since you might be in need for it.\This is...\You used your powers to create this elixir? response:	You actually knew that I planned to transfer my power to my mentor?
context: I've been asleep that long?\Zhe Yan!\Seeing how you are now I suppose Mo Yuan's soul is repaired.\A few days ago, I had this elixir created\so I've brought it here for you since you might be in need for it.\This is...\You used your powers to create this elixir?\You actually knew that I planned to transfer my power to my mentor? response:	Are you all right?
context: Zhe Yan!\Seeing how you are now I suppose Mo Yuan's soul is repaired.\A few days ago, I had this elixir created\so I've brought it here for you since you might be in need for it.\This is...\You used your powers to create this elixir?\You actually knew that I planned to transfer my power to my mentor?\Are you all right? response:	Are you hurt by the four mystical beasts
context: Seeing how you are now I suppose Mo Yuan's soul is repaired.\A few days ago, I had this elixir created\so I've brought it here for you since you might be in need for it.\This is...\You used your powers to create this elixir?\You actually knew that I planned to transfer my power to my mentor?\Are you all right?\Are you hurt by the four mystical beasts response:	when you retrieved the divine fungal grass?
context: A few days ago, I had this elixir created\so I've brought it here for you since you might be in need for it.\This is...\You used your powers to create this elixir?\You actually knew that I planned to transfer my power to my mentor?\Are you all right?\Are you hurt by the four mystical beasts\when you retrieved the divine fungal grass? response:	When my father went to retrieve it, he was injured.
context: so I've brought it here for you since you might be in need for it.\This is...\You used your powers to create this elixir?\You actually knew that I planned to transfer my power to my mentor?\Are you all right?\Are you hurt by the four mystical beasts\when you retrieved the divine fungal grass?\When my father went to retrieve it, he was injured. response:	You're actually going to transfer power to Mo Yuan?
context: This is...\You used your powers to create this elixir?\You actually knew that I planned to transfer my power to my mentor?\Are you all right?\Are you hurt by the four mystical beasts\when you retrieved the divine fungal grass?\When my father went to retrieve it, he was injured.\You're actually going to transfer power to Mo Yuan? response:	I hadn't thought of that.
context: You used your powers to create this elixir?\You actually knew that I planned to transfer my power to my mentor?\Are you all right?\Are you hurt by the four mystical beasts\when you retrieved the divine fungal grass?\When my father went to retrieve it, he was injured.\You're actually going to transfer power to Mo Yuan?\I hadn't thought of that. response:	I only had the elixir created and brought it here to you.
context: You actually knew that I planned to transfer my power to my mentor?\Are you all right?\Are you hurt by the four mystical beasts\when you retrieved the divine fungal grass?\When my father went to retrieve it, he was injured.\You're actually going to transfer power to Mo Yuan?\I hadn't thought of that.\I only had the elixir created and brought it here to you. response:	You had singlehandedly sealed Qing Cang up and used up most of your powers.
context: Are you all right?\Are you hurt by the four mystical beasts\when you retrieved the divine fungal grass?\When my father went to retrieve it, he was injured.\You're actually going to transfer power to Mo Yuan?\I hadn't thought of that.\I only had the elixir created and brought it here to you.\You had singlehandedly sealed Qing Cang up and used up most of your powers. response:	If you transfer your energy to Mo Yuan and leave but a bit for yourself
context: Are you hurt by the four mystical beasts\when you retrieved the divine fungal grass?\When my father went to retrieve it, he was injured.\You're actually going to transfer power to Mo Yuan?\I hadn't thought of that.\I only had the elixir created and brought it here to you.\You had singlehandedly sealed Qing Cang up and used up most of your powers.\If you transfer your energy to Mo Yuan and leave but a bit for yourself response:	it might be hard to call yourself a High God.
context: when you retrieved the divine fungal grass?\When my father went to retrieve it, he was injured.\You're actually going to transfer power to Mo Yuan?\I hadn't thought of that.\I only had the elixir created and brought it here to you.\You had singlehandedly sealed Qing Cang up and used up most of your powers.\If you transfer your energy to Mo Yuan and leave but a bit for yourself\it might be hard to call yourself a High God. response:	Heavenly Father raised me and I never had the chance to repay him.
context: When my father went to retrieve it, he was injured.\You're actually going to transfer power to Mo Yuan?\I hadn't thought of that.\I only had the elixir created and brought it here to you.\You had singlehandedly sealed Qing Cang up and used up most of your powers.\If you transfer your energy to Mo Yuan and leave but a bit for yourself\it might be hard to call yourself a High God.\Heavenly Father raised me and I never had the chance to repay him. response:	I should at least offer some help.
context: You're actually going to transfer power to Mo Yuan?\I hadn't thought of that.\I only had the elixir created and brought it here to you.\You had singlehandedly sealed Qing Cang up and used up most of your powers.\If you transfer your energy to Mo Yuan and leave but a bit for yourself\it might be hard to call yourself a High God.\Heavenly Father raised me and I never had the chance to repay him.\I should at least offer some help. response:	However your friendship might be with my mentor
context: I hadn't thought of that.\I only had the elixir created and brought it here to you.\You had singlehandedly sealed Qing Cang up and used up most of your powers.\If you transfer your energy to Mo Yuan and leave but a bit for yourself\it might be hard to call yourself a High God.\Heavenly Father raised me and I never had the chance to repay him.\I should at least offer some help.\However your friendship might be with my mentor response:	I should still bow to you for this elixir.
context: I only had the elixir created and brought it here to you.\You had singlehandedly sealed Qing Cang up and used up most of your powers.\If you transfer your energy to Mo Yuan and leave but a bit for yourself\it might be hard to call yourself a High God.\Heavenly Father raised me and I never had the chance to repay him.\I should at least offer some help.\However your friendship might be with my mentor\I should still bow to you for this elixir. response:	That's not necessary.
context: You had singlehandedly sealed Qing Cang up and used up most of your powers.\If you transfer your energy to Mo Yuan and leave but a bit for yourself\it might be hard to call yourself a High God.\Heavenly Father raised me and I never had the chance to repay him.\I should at least offer some help.\However your friendship might be with my mentor\I should still bow to you for this elixir.\That's not necessary. response:	I have to go now.
context: If you transfer your energy to Mo Yuan and leave but a bit for yourself\it might be hard to call yourself a High God.\Heavenly Father raised me and I never had the chance to repay him.\I should at least offer some help.\However your friendship might be with my mentor\I should still bow to you for this elixir.\That's not necessary.\I have to go now. response:	When Die Yong feels better get him to take this elixir.
context: it might be hard to call yourself a High God.\Heavenly Father raised me and I never had the chance to repay him.\I should at least offer some help.\However your friendship might be with my mentor\I should still bow to you for this elixir.\That's not necessary.\I have to go now.\When Die Yong feels better get him to take this elixir. response:	However, he's too frail.
context: Heavenly Father raised me and I never had the chance to repay him.\I should at least offer some help.\However your friendship might be with my mentor\I should still bow to you for this elixir.\That's not necessary.\I have to go now.\When Die Yong feels better get him to take this elixir.\However, he's too frail. response:	I wonder if he can withstand the effect of this elixir.
context: I should at least offer some help.\However your friendship might be with my mentor\I should still bow to you for this elixir.\That's not necessary.\I have to go now.\When Die Yong feels better get him to take this elixir.\However, he's too frail.\I wonder if he can withstand the effect of this elixir. response:	You'd better stay by his side to look after him.
context: However your friendship might be with my mentor\I should still bow to you for this elixir.\That's not necessary.\I have to go now.\When Die Yong feels better get him to take this elixir.\However, he's too frail.\I wonder if he can withstand the effect of this elixir.\You'd better stay by his side to look after him. response:	I understand.
context: I should still bow to you for this elixir.\That's not necessary.\I have to go now.\When Die Yong feels better get him to take this elixir.\However, he's too frail.\I wonder if he can withstand the effect of this elixir.\You'd better stay by his side to look after him.\I understand. response:	What brought High God here?
context: That's not necessary.\I have to go now.\When Die Yong feels better get him to take this elixir.\However, he's too frail.\I wonder if he can withstand the effect of this elixir.\You'd better stay by his side to look after him.\I understand.\What brought High God here? response:	Auntie hasn't returned yet.
context: I have to go now.\When Die Yong feels better get him to take this elixir.\However, he's too frail.\I wonder if he can withstand the effect of this elixir.\You'd better stay by his side to look after him.\I understand.\What brought High God here?\Auntie hasn't returned yet. response:	No, I've just visited her in West Sea.
context: When Die Yong feels better get him to take this elixir.\However, he's too frail.\I wonder if he can withstand the effect of this elixir.\You'd better stay by his side to look after him.\I understand.\What brought High God here?\Auntie hasn't returned yet.\No, I've just visited her in West Sea. response:	Are you here to see Fourth Uncle then?
