context: Don't be such a sissy! response:	Yukimura, I told you that today's the due date of the School Festival's report, right?
context: You punks! There's a limit to how much you can dream!\You can tell my true nature?\Who do you think you are? What do you know about me?\*Glare*\You idiots.\Usui?\The window!\Man... The Chief's going to lose it when she come back. response:	It's because the back door was locked.
context: You can tell my true nature?\Who do you think you are? What do you know about me?\*Glare*\You idiots.\Usui?\The window!\Man... The Chief's going to lose it when she come back.\It's because the back door was locked. response:	I didn't have a choice.
context: Who do you think you are? What do you know about me?\*Glare*\You idiots.\Usui?\The window!\Man... The Chief's going to lose it when she come back.\It's because the back door was locked.\I didn't have a choice. response:	We're sorry.
context: *Glare*\You idiots.\Usui?\The window!\Man... The Chief's going to lose it when she come back.\It's because the back door was locked.\I didn't have a choice.\We're sorry. response:	Guys. What did you think her true nature was?
context: You idiots.\Usui?\The window!\Man... The Chief's going to lose it when she come back.\It's because the back door was locked.\I didn't have a choice.\We're sorry.\Guys. What did you think her true nature was? response:	I'm curious.
context: Usui?\The window!\Man... The Chief's going to lose it when she come back.\It's because the back door was locked.\I didn't have a choice.\We're sorry.\Guys. What did you think her true nature was?\I'm curious. response:	Well... We thought she might be a sadist, despite being a maid.
context: The window!\Man... The Chief's going to lose it when she come back.\It's because the back door was locked.\I didn't have a choice.\We're sorry.\Guys. What did you think her true nature was?\I'm curious.\Well... We thought she might be a sadist, despite being a maid. response:	If that were the case, we wanted her to punish us.
context: Man... The Chief's going to lose it when she come back.\It's because the back door was locked.\I didn't have a choice.\We're sorry.\Guys. What did you think her true nature was?\I'm curious.\Well... We thought she might be a sadist, despite being a maid.\If that were the case, we wanted her to punish us. response:	So you guys are masochists.
context: It's because the back door was locked.\I didn't have a choice.\We're sorry.\Guys. What did you think her true nature was?\I'm curious.\Well... We thought she might be a sadist, despite being a maid.\If that were the case, we wanted her to punish us.\So you guys are masochists. response:	Yes, I guess.
context: I didn't have a choice.\We're sorry.\Guys. What did you think her true nature was?\I'm curious.\Well... We thought she might be a sadist, despite being a maid.\If that were the case, we wanted her to punish us.\So you guys are masochists.\Yes, I guess. response:	Hardcore ones.
context: We're sorry.\Guys. What did you think her true nature was?\I'm curious.\Well... We thought she might be a sadist, despite being a maid.\If that were the case, we wanted her to punish us.\So you guys are masochists.\Yes, I guess.\Hardcore ones. response:	Unfortunately, this is my cute maid.
context: Guys. What did you think her true nature was?\I'm curious.\Well... We thought she might be a sadist, despite being a maid.\If that were the case, we wanted her to punish us.\So you guys are masochists.\Yes, I guess.\Hardcore ones.\Unfortunately, this is my cute maid. response:	So she's not available to others.
context: I'm curious.\Well... We thought she might be a sadist, despite being a maid.\If that were the case, we wanted her to punish us.\So you guys are masochists.\Yes, I guess.\Hardcore ones.\Unfortunately, this is my cute maid.\So she's not available to others. response:	I don't recall...
context: Well... We thought she might be a sadist, despite being a maid.\If that were the case, we wanted her to punish us.\So you guys are masochists.\Yes, I guess.\Hardcore ones.\Unfortunately, this is my cute maid.\So she's not available to others.\I don't recall... response:	Becoming your belonging!
context: If that were the case, we wanted her to punish us.\So you guys are masochists.\Yes, I guess.\Hardcore ones.\Unfortunately, this is my cute maid.\So she's not available to others.\I don't recall...\Becoming your belonging! response:	Keep walking.
context: So you guys are masochists.\Yes, I guess.\Hardcore ones.\Unfortunately, this is my cute maid.\So she's not available to others.\I don't recall...\Becoming your belonging!\Keep walking. response:	Well... It's only right... to say what needs to be said... so...
context: Yes, I guess.\Hardcore ones.\Unfortunately, this is my cute maid.\So she's not available to others.\I don't recall...\Becoming your belonging!\Keep walking.\Well... It's only right... to say what needs to be said... so... response:	Usui.
context: Hardcore ones.\Unfortunately, this is my cute maid.\So she's not available to others.\I don't recall...\Becoming your belonging!\Keep walking.\Well... It's only right... to say what needs to be said... so...\Usui. response:	Thank you.
context: Unfortunately, this is my cute maid.\So she's not available to others.\I don't recall...\Becoming your belonging!\Keep walking.\Well... It's only right... to say what needs to be said... so...\Usui.\Thank you. response:	Misa-chan.
context: So she's not available to others.\I don't recall...\Becoming your belonging!\Keep walking.\Well... It's only right... to say what needs to be said... so...\Usui.\Thank you.\Misa-chan. response:	Sorry I'm late.
context: I don't recall...\Becoming your belonging!\Keep walking.\Well... It's only right... to say what needs to be said... so...\Usui.\Thank you.\Misa-chan.\Sorry I'm late. response:	Ah, so you were with her, Usui-kun.
context: Becoming your belonging!\Keep walking.\Well... It's only right... to say what needs to be said... so...\Usui.\Thank you.\Misa-chan.\Sorry I'm late.\Ah, so you were with her, Usui-kun. response:	Um...
context: Keep walking.\Well... It's only right... to say what needs to be said... so...\Usui.\Thank you.\Misa-chan.\Sorry I'm late.\Ah, so you were with her, Usui-kun.\Um... response:	Weren't you two looking into each other's eyes?
context: Well... It's only right... to say what needs to be said... so...\Usui.\Thank you.\Misa-chan.\Sorry I'm late.\Ah, so you were with her, Usui-kun.\Um...\Weren't you two looking into each other's eyes? response:	Sorry I bothered you.
context: Usui.\Thank you.\Misa-chan.\Sorry I'm late.\Ah, so you were with her, Usui-kun.\Um...\Weren't you two looking into each other's eyes?\Sorry I bothered you. response:	I should have taken more time.
context: Thank you.\Misa-chan.\Sorry I'm late.\Ah, so you were with her, Usui-kun.\Um...\Weren't you two looking into each other's eyes?\Sorry I bothered you.\I should have taken more time. response:	I'm so inconsiderate.
context: Misa-chan.\Sorry I'm late.\Ah, so you were with her, Usui-kun.\Um...\Weren't you two looking into each other's eyes?\Sorry I bothered you.\I should have taken more time.\I'm so inconsiderate. response:	What are you saying, Chief?
context: Sorry I'm late.\Ah, so you were with her, Usui-kun.\Um...\Weren't you two looking into each other's eyes?\Sorry I bothered you.\I should have taken more time.\I'm so inconsiderate.\What are you saying, Chief? response:	What is it, Usui-kun?
context: Ah, so you were with her, Usui-kun.\Um...\Weren't you two looking into each other's eyes?\Sorry I bothered you.\I should have taken more time.\I'm so inconsiderate.\What are you saying, Chief?\What is it, Usui-kun? response:	Up?
context: Um...\Weren't you two looking into each other's eyes?\Sorry I bothered you.\I should have taken more time.\I'm so inconsiderate.\What are you saying, Chief?\What is it, Usui-kun?\Up? response:	Ohhh.
context: Weren't you two looking into each other's eyes?\Sorry I bothered you.\I should have taken more time.\I'm so inconsiderate.\What are you saying, Chief?\What is it, Usui-kun?\Up?\Ohhh. response:	What happened?
context: Sorry I bothered you.\I should have taken more time.\I'm so inconsiderate.\What are you saying, Chief?\What is it, Usui-kun?\Up?\Ohhh.\What happened? response:	I'm sorry.
context: I should have taken more time.\I'm so inconsiderate.\What are you saying, Chief?\What is it, Usui-kun?\Up?\Ohhh.\What happened?\I'm sorry. response:	You see-
context: I'm so inconsiderate.\What are you saying, Chief?\What is it, Usui-kun?\Up?\Ohhh.\What happened?\I'm sorry.\You see- response:	Chief!
context: What are you saying, Chief?\What is it, Usui-kun?\Up?\Ohhh.\What happened?\I'm sorry.\You see-\Chief! response:	So did you scream at all?
context: What is it, Usui-kun?\Up?\Ohhh.\What happened?\I'm sorry.\You see-\Chief!\So did you scream at all? response:	Eek! Help me!, like all the other girls would?
context: Up?\Ohhh.\What happened?\I'm sorry.\You see-\Chief!\So did you scream at all?\Eek! Help me!, like all the other girls would? response:	No, I gave them a lesson.
context: Ohhh.\What happened?\I'm sorry.\You see-\Chief!\So did you scream at all?\Eek! Help me!, like all the other girls would?\No, I gave them a lesson. response:	I knew it.
context: What happened?\I'm sorry.\You see-\Chief!\So did you scream at all?\Eek! Help me!, like all the other girls would?\No, I gave them a lesson.\I knew it. response:	It's a good thing that you weren't injured.
context: I'm sorry.\You see-\Chief!\So did you scream at all?\Eek! Help me!, like all the other girls would?\No, I gave them a lesson.\I knew it.\It's a good thing that you weren't injured. response:	Don't do anything like that again.
context: You see-\Chief!\So did you scream at all?\Eek! Help me!, like all the other girls would?\No, I gave them a lesson.\I knew it.\It's a good thing that you weren't injured.\Don't do anything like that again. response:	I'm sorry to worry you.
context: Chief!\So did you scream at all?\Eek! Help me!, like all the other girls would?\No, I gave them a lesson.\I knew it.\It's a good thing that you weren't injured.\Don't do anything like that again.\I'm sorry to worry you. response:	But I'm fine.
context: So did you scream at all?\Eek! Help me!, like all the other girls would?\No, I gave them a lesson.\I knew it.\It's a good thing that you weren't injured.\Don't do anything like that again.\I'm sorry to worry you.\But I'm fine. response:	I'll train to become stronger.
context: Eek! Help me!, like all the other girls would?\No, I gave them a lesson.\I knew it.\It's a good thing that you weren't injured.\Don't do anything like that again.\I'm sorry to worry you.\But I'm fine.\I'll train to become stronger. response:	I guess it's very Misa-chan like.
context: No, I gave them a lesson.\I knew it.\It's a good thing that you weren't injured.\Don't do anything like that again.\I'm sorry to worry you.\But I'm fine.\I'll train to become stronger.\I guess it's very Misa-chan like. response:	Yeah, very much like her.
context: I knew it.\It's a good thing that you weren't injured.\Don't do anything like that again.\I'm sorry to worry you.\But I'm fine.\I'll train to become stronger.\I guess it's very Misa-chan like.\Yeah, very much like her. response:	Everyone's thinking, What's the point in becoming stronger?
context: It's a good thing that you weren't injured.\Don't do anything like that again.\I'm sorry to worry you.\But I'm fine.\I'll train to become stronger.\I guess it's very Misa-chan like.\Yeah, very much like her.\Everyone's thinking, What's the point in becoming stronger? response:	Okay.
context: Don't do anything like that again.\I'm sorry to worry you.\But I'm fine.\I'll train to become stronger.\I guess it's very Misa-chan like.\Yeah, very much like her.\Everyone's thinking, What's the point in becoming stronger?\Okay. response:	There, I set it as your wallpaper.
context: I'm sorry to worry you.\But I'm fine.\I'll train to become stronger.\I guess it's very Misa-chan like.\Yeah, very much like her.\Everyone's thinking, What's the point in becoming stronger?\Okay.\There, I set it as your wallpaper. response:	Your picture from the other day.
context: But I'm fine.\I'll train to become stronger.\I guess it's very Misa-chan like.\Yeah, very much like her.\Everyone's thinking, What's the point in becoming stronger?\Okay.\There, I set it as your wallpaper.\Your picture from the other day. response:	W-when did you take this picture?!
context: I'll train to become stronger.\I guess it's very Misa-chan like.\Yeah, very much like her.\Everyone's thinking, What's the point in becoming stronger?\Okay.\There, I set it as your wallpaper.\Your picture from the other day.\W-when did you take this picture?! response:	Who took this to begin with?
context: I guess it's very Misa-chan like.\Yeah, very much like her.\Everyone's thinking, What's the point in becoming stronger?\Okay.\There, I set it as your wallpaper.\Your picture from the other day.\W-when did you take this picture?!\Who took this to begin with? response:	I did.
context: Yeah, very much like her.\Everyone's thinking, What's the point in becoming stronger?\Okay.\There, I set it as your wallpaper.\Your picture from the other day.\W-when did you take this picture?!\Who took this to begin with?\I did. response:	As Chief Satsuki says, we have to appreciate the cute things together.
context: Everyone's thinking, What's the point in becoming stronger?\Okay.\There, I set it as your wallpaper.\Your picture from the other day.\W-when did you take this picture?!\Who took this to begin with?\I did.\As Chief Satsuki says, we have to appreciate the cute things together. response:	She took so many that her memory filled up.
context: Okay.\There, I set it as your wallpaper.\Your picture from the other day.\W-when did you take this picture?!\Who took this to begin with?\I did.\As Chief Satsuki says, we have to appreciate the cute things together.\She took so many that her memory filled up. response:	Let me see.
context: There, I set it as your wallpaper.\Your picture from the other day.\W-when did you take this picture?!\Who took this to begin with?\I did.\As Chief Satsuki says, we have to appreciate the cute things together.\She took so many that her memory filled up.\Let me see. response:	She's so cute.
context: Your picture from the other day.\W-when did you take this picture?!\Who took this to begin with?\I did.\As Chief Satsuki says, we have to appreciate the cute things together.\She took so many that her memory filled up.\Let me see.\She's so cute. response:	No looking, Usui!
context: W-when did you take this picture?!\Who took this to begin with?\I did.\As Chief Satsuki says, we have to appreciate the cute things together.\She took so many that her memory filled up.\Let me see.\She's so cute.\No looking, Usui! response:	Give me that photo, too.
context: Who took this to begin with?\I did.\As Chief Satsuki says, we have to appreciate the cute things together.\She took so many that her memory filled up.\Let me see.\She's so cute.\No looking, Usui!\Give me that photo, too. response:	Hey.
context: I did.\As Chief Satsuki says, we have to appreciate the cute things together.\She took so many that her memory filled up.\Let me see.\She's so cute.\No looking, Usui!\Give me that photo, too.\Hey. response:	Check it out. I have that picture, too.
context: As Chief Satsuki says, we have to appreciate the cute things together.\She took so many that her memory filled up.\Let me see.\She's so cute.\No looking, Usui!\Give me that photo, too.\Hey.\Check it out. I have that picture, too. response:	You got to be kidding me.
context: She took so many that her memory filled up.\Let me see.\She's so cute.\No looking, Usui!\Give me that photo, too.\Hey.\Check it out. I have that picture, too.\You got to be kidding me. response:	Hey, send it over.
context: Let me see.\She's so cute.\No looking, Usui!\Give me that photo, too.\Hey.\Check it out. I have that picture, too.\You got to be kidding me.\Hey, send it over. response:	No, don't give it to him!
context: She's so cute.\No looking, Usui!\Give me that photo, too.\Hey.\Check it out. I have that picture, too.\You got to be kidding me.\Hey, send it over.\No, don't give it to him! response:	Stop it!
context: No looking, Usui!\Give me that photo, too.\Hey.\Check it out. I have that picture, too.\You got to be kidding me.\Hey, send it over.\No, don't give it to him!\Stop it! response:	Hey, how do I change this?
context: Give me that photo, too.\Hey.\Check it out. I have that picture, too.\You got to be kidding me.\Hey, send it over.\No, don't give it to him!\Stop it!\Hey, how do I change this? response:	This wallpaper is so embarrassing that I can't open the phone!
context: Hey.\Check it out. I have that picture, too.\You got to be kidding me.\Hey, send it over.\No, don't give it to him!\Stop it!\Hey, how do I change this?\This wallpaper is so embarrassing that I can't open the phone! response:	How do I change it?
context: Check it out. I have that picture, too.\You got to be kidding me.\Hey, send it over.\No, don't give it to him!\Stop it!\Hey, how do I change this?\This wallpaper is so embarrassing that I can't open the phone!\How do I change it? response:	If you don't do it yourself, you'll never learn how to use it.
context: You got to be kidding me.\Hey, send it over.\No, don't give it to him!\Stop it!\Hey, how do I change this?\This wallpaper is so embarrassing that I can't open the phone!\How do I change it?\If you don't do it yourself, you'll never learn how to use it. response:	Sent.
context: Hey, send it over.\No, don't give it to him!\Stop it!\Hey, how do I change this?\This wallpaper is so embarrassing that I can't open the phone!\How do I change it?\If you don't do it yourself, you'll never learn how to use it.\Sent. response:	I said stop!
context: No, don't give it to him!\Stop it!\Hey, how do I change this?\This wallpaper is so embarrassing that I can't open the phone!\How do I change it?\If you don't do it yourself, you'll never learn how to use it.\Sent.\I said stop! response:	I got it.
context: Stop it!\Hey, how do I change this?\This wallpaper is so embarrassing that I can't open the phone!\How do I change it?\If you don't do it yourself, you'll never learn how to use it.\Sent.\I said stop!\I got it. response:	The cake was good, wasn't it, Sis?
context: Hey, how do I change this?\This wallpaper is so embarrassing that I can't open the phone!\How do I change it?\If you don't do it yourself, you'll never learn how to use it.\Sent.\I said stop!\I got it.\The cake was good, wasn't it, Sis? response:	Could you say thank you to the Chief?
context: This wallpaper is so embarrassing that I can't open the phone!\How do I change it?\If you don't do it yourself, you'll never learn how to use it.\Sent.\I said stop!\I got it.\The cake was good, wasn't it, Sis?\Could you say thank you to the Chief? response:	I already did. For you and for Mom, too.
context: How do I change it?\If you don't do it yourself, you'll never learn how to use it.\Sent.\I said stop!\I got it.\The cake was good, wasn't it, Sis?\Could you say thank you to the Chief?\I already did. For you and for Mom, too. response:	I get the feeling another cake is coming our way soon.
context: If you don't do it yourself, you'll never learn how to use it.\Sent.\I said stop!\I got it.\The cake was good, wasn't it, Sis?\Could you say thank you to the Chief?\I already did. For you and for Mom, too.\I get the feeling another cake is coming our way soon. response:	Don't have high hopes like that.
context: Sent.\I said stop!\I got it.\The cake was good, wasn't it, Sis?\Could you say thank you to the Chief?\I already did. For you and for Mom, too.\I get the feeling another cake is coming our way soon.\Don't have high hopes like that. response:	Prez. I've accumulated points from Maid Latte.
context: I said stop!\I got it.\The cake was good, wasn't it, Sis?\Could you say thank you to the Chief?\I already did. For you and for Mom, too.\I get the feeling another cake is coming our way soon.\Don't have high hopes like that.\Prez. I've accumulated points from Maid Latte. response:	You're coming too often, Usui.
context: I got it.\The cake was good, wasn't it, Sis?\Could you say thank you to the Chief?\I already did. For you and for Mom, too.\I get the feeling another cake is coming our way soon.\Don't have high hopes like that.\Prez. I've accumulated points from Maid Latte.\You're coming too often, Usui. response:	Take a picture with me, Misa-chan.
context: The cake was good, wasn't it, Sis?\Could you say thank you to the Chief?\I already did. For you and for Mom, too.\I get the feeling another cake is coming our way soon.\Don't have high hopes like that.\Prez. I've accumulated points from Maid Latte.\You're coming too often, Usui.\Take a picture with me, Misa-chan. response:	To do that, you have to beat me in a game.
context: Could you say thank you to the Chief?\I already did. For you and for Mom, too.\I get the feeling another cake is coming our way soon.\Don't have high hopes like that.\Prez. I've accumulated points from Maid Latte.\You're coming too often, Usui.\Take a picture with me, Misa-chan.\To do that, you have to beat me in a game. response:	Prez, did you accept disciples? They're calling you Master.
context: I already did. For you and for Mom, too.\I get the feeling another cake is coming our way soon.\Don't have high hopes like that.\Prez. I've accumulated points from Maid Latte.\You're coming too often, Usui.\Take a picture with me, Misa-chan.\To do that, you have to beat me in a game.\Prez, did you accept disciples? They're calling you Master. response:	I don't get it at all.
