context: KING OF THE HILL FINAL BATTLE response:	This is a king of the hill final battle!
context: I'll take all of it on myself!\I'll show you that there are those who will never yield to force.\That is my resolve!\Easily said, somewhat more difficult to do.\If your words are hollow, expect no mercy!\I won't kneel before you... Never!\I'll never kneel before you!\Gamagoori. I have seen the full measure of your resolve. response:	Come with me. And become my shield.
context: I'll show you that there are those who will never yield to force.\That is my resolve!\Easily said, somewhat more difficult to do.\If your words are hollow, expect no mercy!\I won't kneel before you... Never!\I'll never kneel before you!\Gamagoori. I have seen the full measure of your resolve.\Come with me. And become my shield. response:	What are you thinking?
context: That is my resolve!\Easily said, somewhat more difficult to do.\If your words are hollow, expect no mercy!\I won't kneel before you... Never!\I'll never kneel before you!\Gamagoori. I have seen the full measure of your resolve.\Come with me. And become my shield.\What are you thinking? response:	People are pigs in human clothing.
context: Easily said, somewhat more difficult to do.\If your words are hollow, expect no mercy!\I won't kneel before you... Never!\I'll never kneel before you!\Gamagoori. I have seen the full measure of your resolve.\Come with me. And become my shield.\What are you thinking?\People are pigs in human clothing. response:	I will fight against everything this world stands for
context: If your words are hollow, expect no mercy!\I won't kneel before you... Never!\I'll never kneel before you!\Gamagoori. I have seen the full measure of your resolve.\Come with me. And become my shield.\What are you thinking?\People are pigs in human clothing.\I will fight against everything this world stands for response:	and completely remake it.
context: I won't kneel before you... Never!\I'll never kneel before you!\Gamagoori. I have seen the full measure of your resolve.\Come with me. And become my shield.\What are you thinking?\People are pigs in human clothing.\I will fight against everything this world stands for\and completely remake it. response:	As the first step to that end, I will create
context: I'll never kneel before you!\Gamagoori. I have seen the full measure of your resolve.\Come with me. And become my shield.\What are you thinking?\People are pigs in human clothing.\I will fight against everything this world stands for\and completely remake it.\As the first step to that end, I will create response:	a new high school in two years' time.
context: Gamagoori. I have seen the full measure of your resolve.\Come with me. And become my shield.\What are you thinking?\People are pigs in human clothing.\I will fight against everything this world stands for\and completely remake it.\As the first step to that end, I will create\a new high school in two years' time. response:	A high school that will be my army.
context: Come with me. And become my shield.\What are you thinking?\People are pigs in human clothing.\I will fight against everything this world stands for\and completely remake it.\As the first step to that end, I will create\a new high school in two years' time.\A high school that will be my army. response:	Join me there, and you will be able to acquire new strength.
context: What are you thinking?\People are pigs in human clothing.\I will fight against everything this world stands for\and completely remake it.\As the first step to that end, I will create\a new high school in two years' time.\A high school that will be my army.\Join me there, and you will be able to acquire new strength. response:	Very well. I will wait two years.
context: People are pigs in human clothing.\I will fight against everything this world stands for\and completely remake it.\As the first step to that end, I will create\a new high school in two years' time.\A high school that will be my army.\Join me there, and you will be able to acquire new strength.\Very well. I will wait two years. response:	I told you! I am Lady Satsuki's ultimate shield!
context: I will fight against everything this world stands for\and completely remake it.\As the first step to that end, I will create\a new high school in two years' time.\A high school that will be my army.\Join me there, and you will be able to acquire new strength.\Very well. I will wait two years.\I told you! I am Lady Satsuki's ultimate shield! response:	I will crush you here and now!
context: and completely remake it.\As the first step to that end, I will create\a new high school in two years' time.\A high school that will be my army.\Join me there, and you will be able to acquire new strength.\Very well. I will wait two years.\I told you! I am Lady Satsuki's ultimate shield!\I will crush you here and now! response:	Like hell you will!
context: As the first step to that end, I will create\a new high school in two years' time.\A high school that will be my army.\Join me there, and you will be able to acquire new strength.\Very well. I will wait two years.\I told you! I am Lady Satsuki's ultimate shield!\I will crush you here and now!\Like hell you will! response:	I'm not about to lose to you!
context: a new high school in two years' time.\A high school that will be my army.\Join me there, and you will be able to acquire new strength.\Very well. I will wait two years.\I told you! I am Lady Satsuki's ultimate shield!\I will crush you here and now!\Like hell you will!\I'm not about to lose to you! response:	What are you even fighting for?
context: A high school that will be my army.\Join me there, and you will be able to acquire new strength.\Very well. I will wait two years.\I told you! I am Lady Satsuki's ultimate shield!\I will crush you here and now!\Like hell you will!\I'm not about to lose to you!\What are you even fighting for? response:	Out of rage for your father's murder?
context: Join me there, and you will be able to acquire new strength.\Very well. I will wait two years.\I told you! I am Lady Satsuki's ultimate shield!\I will crush you here and now!\Like hell you will!\I'm not about to lose to you!\What are you even fighting for?\Out of rage for your father's murder? response:	You're petty! Petty! Petty!
context: Very well. I will wait two years.\I told you! I am Lady Satsuki's ultimate shield!\I will crush you here and now!\Like hell you will!\I'm not about to lose to you!\What are you even fighting for?\Out of rage for your father's murder?\You're petty! Petty! Petty! response:	If you challenge her out of a personal vendetta,
context: I told you! I am Lady Satsuki's ultimate shield!\I will crush you here and now!\Like hell you will!\I'm not about to lose to you!\What are you even fighting for?\Out of rage for your father's murder?\You're petty! Petty! Petty!\If you challenge her out of a personal vendetta, response:	a great being like Satsuki Kiryuin won't be budged!
context: I will crush you here and now!\Like hell you will!\I'm not about to lose to you!\What are you even fighting for?\Out of rage for your father's murder?\You're petty! Petty! Petty!\If you challenge her out of a personal vendetta,\a great being like Satsuki Kiryuin won't be budged! response:	What?!
context: Like hell you will!\I'm not about to lose to you!\What are you even fighting for?\Out of rage for your father's murder?\You're petty! Petty! Petty!\If you challenge her out of a personal vendetta,\a great being like Satsuki Kiryuin won't be budged!\What?! response:	And not just her!
context: I'm not about to lose to you!\What are you even fighting for?\Out of rage for your father's murder?\You're petty! Petty! Petty!\If you challenge her out of a personal vendetta,\a great being like Satsuki Kiryuin won't be budged!\What?!\And not just her! response:	You'll never be able to defeat me, either!
context: What are you even fighting for?\Out of rage for your father's murder?\You're petty! Petty! Petty!\If you challenge her out of a personal vendetta,\a great being like Satsuki Kiryuin won't be budged!\What?!\And not just her!\You'll never be able to defeat me, either! response:	Oh, gosh!
context: Out of rage for your father's murder?\You're petty! Petty! Petty!\If you challenge her out of a personal vendetta,\a great being like Satsuki Kiryuin won't be budged!\What?!\And not just her!\You'll never be able to defeat me, either!\Oh, gosh! response:	Are you all right, Ryuko?
context: You're petty! Petty! Petty!\If you challenge her out of a personal vendetta,\a great being like Satsuki Kiryuin won't be budged!\What?!\And not just her!\You'll never be able to defeat me, either!\Oh, gosh!\Are you all right, Ryuko? response:	Yeah, I'm in rough shape, though...
context: If you challenge her out of a personal vendetta,\a great being like Satsuki Kiryuin won't be budged!\What?!\And not just her!\You'll never be able to defeat me, either!\Oh, gosh!\Are you all right, Ryuko?\Yeah, I'm in rough shape, though... response:	But I can't drop out, not now.
context: a great being like Satsuki Kiryuin won't be budged!\What?!\And not just her!\You'll never be able to defeat me, either!\Oh, gosh!\Are you all right, Ryuko?\Yeah, I'm in rough shape, though...\But I can't drop out, not now. response:	So, not only are you a fool, you're a sore loser.
context: What?!\And not just her!\You'll never be able to defeat me, either!\Oh, gosh!\Are you all right, Ryuko?\Yeah, I'm in rough shape, though...\But I can't drop out, not now.\So, not only are you a fool, you're a sore loser. response:	What's bad around here is your luck.
context: And not just her!\You'll never be able to defeat me, either!\Oh, gosh!\Are you all right, Ryuko?\Yeah, I'm in rough shape, though...\But I can't drop out, not now.\So, not only are you a fool, you're a sore loser.\What's bad around here is your luck. response:	The bad luck of getting stuck fighting me!
context: You'll never be able to defeat me, either!\Oh, gosh!\Are you all right, Ryuko?\Yeah, I'm in rough shape, though...\But I can't drop out, not now.\So, not only are you a fool, you're a sore loser.\What's bad around here is your luck.\The bad luck of getting stuck fighting me! response:	Don't do that!
context: Oh, gosh!\Are you all right, Ryuko?\Yeah, I'm in rough shape, though...\But I can't drop out, not now.\So, not only are you a fool, you're a sore loser.\What's bad around here is your luck.\The bad luck of getting stuck fighting me!\Don't do that! response:	You can't just wail on him without a plan like that!
context: Are you all right, Ryuko?\Yeah, I'm in rough shape, though...\But I can't drop out, not now.\So, not only are you a fool, you're a sore loser.\What's bad around here is your luck.\The bad luck of getting stuck fighting me!\Don't do that!\You can't just wail on him without a plan like that! response:	He'll hit you with another counterattack!
context: Yeah, I'm in rough shape, though...\But I can't drop out, not now.\So, not only are you a fool, you're a sore loser.\What's bad around here is your luck.\The bad luck of getting stuck fighting me!\Don't do that!\You can't just wail on him without a plan like that!\He'll hit you with another counterattack! response:	Is it out of desperation?
context: But I can't drop out, not now.\So, not only are you a fool, you're a sore loser.\What's bad around here is your luck.\The bad luck of getting stuck fighting me!\Don't do that!\You can't just wail on him without a plan like that!\He'll hit you with another counterattack!\Is it out of desperation? response:	That's no good.
context: So, not only are you a fool, you're a sore loser.\What's bad around here is your luck.\The bad luck of getting stuck fighting me!\Don't do that!\You can't just wail on him without a plan like that!\He'll hit you with another counterattack!\Is it out of desperation?\That's no good. response:	Has she finally lost all capacity for rational thought?
context: What's bad around here is your luck.\The bad luck of getting stuck fighting me!\Don't do that!\You can't just wail on him without a plan like that!\He'll hit you with another counterattack!\Is it out of desperation?\That's no good.\Has she finally lost all capacity for rational thought? response:	Struggle all you want, you don't have a chance of winning!
context: The bad luck of getting stuck fighting me!\Don't do that!\You can't just wail on him without a plan like that!\He'll hit you with another counterattack!\Is it out of desperation?\That's no good.\Has she finally lost all capacity for rational thought?\Struggle all you want, you don't have a chance of winning! response:	Learn your place as a student and quietly accept my discipline!
context: Don't do that!\You can't just wail on him without a plan like that!\He'll hit you with another counterattack!\Is it out of desperation?\That's no good.\Has she finally lost all capacity for rational thought?\Struggle all you want, you don't have a chance of winning!\Learn your place as a student and quietly accept my discipline! response:	Scourge Regalia!
context: You can't just wail on him without a plan like that!\He'll hit you with another counterattack!\Is it out of desperation?\That's no good.\Has she finally lost all capacity for rational thought?\Struggle all you want, you don't have a chance of winning!\Learn your place as a student and quietly accept my discipline!\Scourge Regalia! response:	As if! If I lose to the likes of you, I'll never learn
context: He'll hit you with another counterattack!\Is it out of desperation?\That's no good.\Has she finally lost all capacity for rational thought?\Struggle all you want, you don't have a chance of winning!\Learn your place as a student and quietly accept my discipline!\Scourge Regalia!\As if! If I lose to the likes of you, I'll never learn response:	who killed my dad no matter how long I try!
context: Is it out of desperation?\That's no good.\Has she finally lost all capacity for rational thought?\Struggle all you want, you don't have a chance of winning!\Learn your place as a student and quietly accept my discipline!\Scourge Regalia!\As if! If I lose to the likes of you, I'll never learn\who killed my dad no matter how long I try! response:	Go get him, Ryuko!
context: That's no good.\Has she finally lost all capacity for rational thought?\Struggle all you want, you don't have a chance of winning!\Learn your place as a student and quietly accept my discipline!\Scourge Regalia!\As if! If I lose to the likes of you, I'll never learn\who killed my dad no matter how long I try!\Go get him, Ryuko! response:	It still hasn't sunk through that skull of yours?
context: Has she finally lost all capacity for rational thought?\Struggle all you want, you don't have a chance of winning!\Learn your place as a student and quietly accept my discipline!\Scourge Regalia!\As if! If I lose to the likes of you, I'll never learn\who killed my dad no matter how long I try!\Go get him, Ryuko!\It still hasn't sunk through that skull of yours? response:	Disciplinary Committee Chair Ira Gamagoori!
context: Struggle all you want, you don't have a chance of winning!\Learn your place as a student and quietly accept my discipline!\Scourge Regalia!\As if! If I lose to the likes of you, I'll never learn\who killed my dad no matter how long I try!\Go get him, Ryuko!\It still hasn't sunk through that skull of yours?\Disciplinary Committee Chair Ira Gamagoori! response:	By shackling myself and whipping myself mercilessly,
context: Learn your place as a student and quietly accept my discipline!\Scourge Regalia!\As if! If I lose to the likes of you, I'll never learn\who killed my dad no matter how long I try!\Go get him, Ryuko!\It still hasn't sunk through that skull of yours?\Disciplinary Committee Chair Ira Gamagoori!\By shackling myself and whipping myself mercilessly, response:	I tried to set an example for the students.
context: Scourge Regalia!\As if! If I lose to the likes of you, I'll never learn\who killed my dad no matter how long I try!\Go get him, Ryuko!\It still hasn't sunk through that skull of yours?\Disciplinary Committee Chair Ira Gamagoori!\By shackling myself and whipping myself mercilessly,\I tried to set an example for the students. response:	See my behavior and correct your own!
context: As if! If I lose to the likes of you, I'll never learn\who killed my dad no matter how long I try!\Go get him, Ryuko!\It still hasn't sunk through that skull of yours?\Disciplinary Committee Chair Ira Gamagoori!\By shackling myself and whipping myself mercilessly,\I tried to set an example for the students.\See my behavior and correct your own! response:	They would mend their ways of their own accord.
context: who killed my dad no matter how long I try!\Go get him, Ryuko!\It still hasn't sunk through that skull of yours?\Disciplinary Committee Chair Ira Gamagoori!\By shackling myself and whipping myself mercilessly,\I tried to set an example for the students.\See my behavior and correct your own!\They would mend their ways of their own accord. response:	To impose order on the independence of Honnouji Academy's students!
context: Go get him, Ryuko!\It still hasn't sunk through that skull of yours?\Disciplinary Committee Chair Ira Gamagoori!\By shackling myself and whipping myself mercilessly,\I tried to set an example for the students.\See my behavior and correct your own!\They would mend their ways of their own accord.\To impose order on the independence of Honnouji Academy's students! response:	The Shackle Regalia is the very embodiment of that desire!
context: It still hasn't sunk through that skull of yours?\Disciplinary Committee Chair Ira Gamagoori!\By shackling myself and whipping myself mercilessly,\I tried to set an example for the students.\See my behavior and correct your own!\They would mend their ways of their own accord.\To impose order on the independence of Honnouji Academy's students!\The Shackle Regalia is the very embodiment of that desire! response:	And to those who still refuse to learn,
context: Disciplinary Committee Chair Ira Gamagoori!\By shackling myself and whipping myself mercilessly,\I tried to set an example for the students.\See my behavior and correct your own!\They would mend their ways of their own accord.\To impose order on the independence of Honnouji Academy's students!\The Shackle Regalia is the very embodiment of that desire!\And to those who still refuse to learn, response:	I held back my tears and gave them a taste of the cleansing whip!
context: By shackling myself and whipping myself mercilessly,\I tried to set an example for the students.\See my behavior and correct your own!\They would mend their ways of their own accord.\To impose order on the independence of Honnouji Academy's students!\The Shackle Regalia is the very embodiment of that desire!\And to those who still refuse to learn,\I held back my tears and gave them a taste of the cleansing whip! response:	That is the Scourge Regalia!
context: I tried to set an example for the students.\See my behavior and correct your own!\They would mend their ways of their own accord.\To impose order on the independence of Honnouji Academy's students!\The Shackle Regalia is the very embodiment of that desire!\And to those who still refuse to learn,\I held back my tears and gave them a taste of the cleansing whip!\That is the Scourge Regalia! response:	If you refuse the whip of love, then you leave me no choice!
context: See my behavior and correct your own!\They would mend their ways of their own accord.\To impose order on the independence of Honnouji Academy's students!\The Shackle Regalia is the very embodiment of that desire!\And to those who still refuse to learn,\I held back my tears and gave them a taste of the cleansing whip!\That is the Scourge Regalia!\If you refuse the whip of love, then you leave me no choice! response:	Let me show you the true terror of the Shackle Regalia!
context: They would mend their ways of their own accord.\To impose order on the independence of Honnouji Academy's students!\The Shackle Regalia is the very embodiment of that desire!\And to those who still refuse to learn,\I held back my tears and gave them a taste of the cleansing whip!\That is the Scourge Regalia!\If you refuse the whip of love, then you leave me no choice!\Let me show you the true terror of the Shackle Regalia! response:	Ryuko Matoi, your independence is revoked!
context: To impose order on the independence of Honnouji Academy's students!\The Shackle Regalia is the very embodiment of that desire!\And to those who still refuse to learn,\I held back my tears and gave them a taste of the cleansing whip!\That is the Scourge Regalia!\If you refuse the whip of love, then you leave me no choice!\Let me show you the true terror of the Shackle Regalia!\Ryuko Matoi, your independence is revoked! response:	I'm going to mold you into a proper student!
context: The Shackle Regalia is the very embodiment of that desire!\And to those who still refuse to learn,\I held back my tears and gave them a taste of the cleansing whip!\That is the Scourge Regalia!\If you refuse the whip of love, then you leave me no choice!\Let me show you the true terror of the Shackle Regalia!\Ryuko Matoi, your independence is revoked!\I'm going to mold you into a proper student! response:	Where do you get off, anyway,
context: And to those who still refuse to learn,\I held back my tears and gave them a taste of the cleansing whip!\That is the Scourge Regalia!\If you refuse the whip of love, then you leave me no choice!\Let me show you the true terror of the Shackle Regalia!\Ryuko Matoi, your independence is revoked!\I'm going to mold you into a proper student!\Where do you get off, anyway, response:	modifying your sailor uniform into that slutty outfit?!
context: I held back my tears and gave them a taste of the cleansing whip!\That is the Scourge Regalia!\If you refuse the whip of love, then you leave me no choice!\Let me show you the true terror of the Shackle Regalia!\Ryuko Matoi, your independence is revoked!\I'm going to mold you into a proper student!\Where do you get off, anyway,\modifying your sailor uniform into that slutty outfit?! response:	How utterly depraved! How utterly deviant!
context: That is the Scourge Regalia!\If you refuse the whip of love, then you leave me no choice!\Let me show you the true terror of the Shackle Regalia!\Ryuko Matoi, your independence is revoked!\I'm going to mold you into a proper student!\Where do you get off, anyway,\modifying your sailor uniform into that slutty outfit?!\How utterly depraved! How utterly deviant! response:	What about your precious Lady Satsuki, then?!
context: If you refuse the whip of love, then you leave me no choice!\Let me show you the true terror of the Shackle Regalia!\Ryuko Matoi, your independence is revoked!\I'm going to mold you into a proper student!\Where do you get off, anyway,\modifying your sailor uniform into that slutty outfit?!\How utterly depraved! How utterly deviant!\What about your precious Lady Satsuki, then?! response:	She is an exception!
context: Let me show you the true terror of the Shackle Regalia!\Ryuko Matoi, your independence is revoked!\I'm going to mold you into a proper student!\Where do you get off, anyway,\modifying your sailor uniform into that slutty outfit?!\How utterly depraved! How utterly deviant!\What about your precious Lady Satsuki, then?!\She is an exception! response:	Her form is made up of her iron will and well-trained body.
context: Ryuko Matoi, your independence is revoked!\I'm going to mold you into a proper student!\Where do you get off, anyway,\modifying your sailor uniform into that slutty outfit?!\How utterly depraved! How utterly deviant!\What about your precious Lady Satsuki, then?!\She is an exception!\Her form is made up of her iron will and well-trained body. response:	Don't give me that self-serving garbage!
context: I'm going to mold you into a proper student!\Where do you get off, anyway,\modifying your sailor uniform into that slutty outfit?!\How utterly depraved! How utterly deviant!\What about your precious Lady Satsuki, then?!\She is an exception!\Her form is made up of her iron will and well-trained body.\Don't give me that self-serving garbage! response:	Crap! I'm wrapped up!
context: Where do you get off, anyway,\modifying your sailor uniform into that slutty outfit?!\How utterly depraved! How utterly deviant!\What about your precious Lady Satsuki, then?!\She is an exception!\Her form is made up of her iron will and well-trained body.\Don't give me that self-serving garbage!\Crap! I'm wrapped up! response:	Did I rattle you because I hit too close to home?
context: modifying your sailor uniform into that slutty outfit?!\How utterly depraved! How utterly deviant!\What about your precious Lady Satsuki, then?!\She is an exception!\Her form is made up of her iron will and well-trained body.\Don't give me that self-serving garbage!\Crap! I'm wrapped up!\Did I rattle you because I hit too close to home? response:	All right, Ryuko Matoi, I'm going to mold you into shape now!
context: How utterly depraved! How utterly deviant!\What about your precious Lady Satsuki, then?!\She is an exception!\Her form is made up of her iron will and well-trained body.\Don't give me that self-serving garbage!\Crap! I'm wrapped up!\Did I rattle you because I hit too close to home?\All right, Ryuko Matoi, I'm going to mold you into shape now! response:	This mold is of the ideal, proper female high school student.
context: What about your precious Lady Satsuki, then?!\She is an exception!\Her form is made up of her iron will and well-trained body.\Don't give me that self-serving garbage!\Crap! I'm wrapped up!\Did I rattle you because I hit too close to home?\All right, Ryuko Matoi, I'm going to mold you into shape now!\This mold is of the ideal, proper female high school student. response:	A proper spirit starts with a proper shape.
context: She is an exception!\Her form is made up of her iron will and well-trained body.\Don't give me that self-serving garbage!\Crap! I'm wrapped up!\Did I rattle you because I hit too close to home?\All right, Ryuko Matoi, I'm going to mold you into shape now!\This mold is of the ideal, proper female high school student.\A proper spirit starts with a proper shape. response:	Have a taste of this mold...
context: Her form is made up of her iron will and well-trained body.\Don't give me that self-serving garbage!\Crap! I'm wrapped up!\Did I rattle you because I hit too close to home?\All right, Ryuko Matoi, I'm going to mold you into shape now!\This mold is of the ideal, proper female high school student.\A proper spirit starts with a proper shape.\Have a taste of this mold... response:	Struggle! Struggle!
context: Don't give me that self-serving garbage!\Crap! I'm wrapped up!\Did I rattle you because I hit too close to home?\All right, Ryuko Matoi, I'm going to mold you into shape now!\This mold is of the ideal, proper female high school student.\A proper spirit starts with a proper shape.\Have a taste of this mold...\Struggle! Struggle! response:	She's like a human taiyaki!
context: Crap! I'm wrapped up!\Did I rattle you because I hit too close to home?\All right, Ryuko Matoi, I'm going to mold you into shape now!\This mold is of the ideal, proper female high school student.\A proper spirit starts with a proper shape.\Have a taste of this mold...\Struggle! Struggle!\She's like a human taiyaki! response:	I won't give up!
context: Did I rattle you because I hit too close to home?\All right, Ryuko Matoi, I'm going to mold you into shape now!\This mold is of the ideal, proper female high school student.\A proper spirit starts with a proper shape.\Have a taste of this mold...\Struggle! Struggle!\She's like a human taiyaki!\I won't give up! response:	I'll keep at it and relentlessly try to straighten you out!
context: All right, Ryuko Matoi, I'm going to mold you into shape now!\This mold is of the ideal, proper female high school student.\A proper spirit starts with a proper shape.\Have a taste of this mold...\Struggle! Struggle!\She's like a human taiyaki!\I won't give up!\I'll keep at it and relentlessly try to straighten you out! response:	I will mold you! Mold you into a proper student!
context: This mold is of the ideal, proper female high school student.\A proper spirit starts with a proper shape.\Have a taste of this mold...\Struggle! Struggle!\She's like a human taiyaki!\I won't give up!\I'll keep at it and relentlessly try to straighten you out!\I will mold you! Mold you into a proper student! response:	Do you want to win, Ryuko?
context: A proper spirit starts with a proper shape.\Have a taste of this mold...\Struggle! Struggle!\She's like a human taiyaki!\I won't give up!\I'll keep at it and relentlessly try to straighten you out!\I will mold you! Mold you into a proper student!\Do you want to win, Ryuko? response:	You're asking me an obvious question like that now?!
context: Have a taste of this mold...\Struggle! Struggle!\She's like a human taiyaki!\I won't give up!\I'll keep at it and relentlessly try to straighten you out!\I will mold you! Mold you into a proper student!\Do you want to win, Ryuko?\You're asking me an obvious question like that now?! response:	If you do, I have an idea.
context: Struggle! Struggle!\She's like a human taiyaki!\I won't give up!\I'll keep at it and relentlessly try to straighten you out!\I will mold you! Mold you into a proper student!\Do you want to win, Ryuko?\You're asking me an obvious question like that now?!\If you do, I have an idea. response:	That thing you were thinking about earlier?
context: She's like a human taiyaki!\I won't give up!\I'll keep at it and relentlessly try to straighten you out!\I will mold you! Mold you into a proper student!\Do you want to win, Ryuko?\You're asking me an obvious question like that now?!\If you do, I have an idea.\That thing you were thinking about earlier? response:	Yes. Will you let me handle this?
context: I won't give up!\I'll keep at it and relentlessly try to straighten you out!\I will mold you! Mold you into a proper student!\Do you want to win, Ryuko?\You're asking me an obvious question like that now?!\If you do, I have an idea.\That thing you were thinking about earlier?\Yes. Will you let me handle this? response:	Got it!
context: I'll keep at it and relentlessly try to straighten you out!\I will mold you! Mold you into a proper student!\Do you want to win, Ryuko?\You're asking me an obvious question like that now?!\If you do, I have an idea.\That thing you were thinking about earlier?\Yes. Will you let me handle this?\Got it! response:	Ah, she used the power of her transformation disengaging
context: I will mold you! Mold you into a proper student!\Do you want to win, Ryuko?\You're asking me an obvious question like that now?!\If you do, I have an idea.\That thing you were thinking about earlier?\Yes. Will you let me handle this?\Got it!\Ah, she used the power of her transformation disengaging response:	to break free of the shackles.
context: Do you want to win, Ryuko?\You're asking me an obvious question like that now?!\If you do, I have an idea.\That thing you were thinking about earlier?\Yes. Will you let me handle this?\Got it!\Ah, she used the power of her transformation disengaging\to break free of the shackles. response:	But she doesn't have a hope of winning like that.
context: You're asking me an obvious question like that now?!\If you do, I have an idea.\That thing you were thinking about earlier?\Yes. Will you let me handle this?\Got it!\Ah, she used the power of her transformation disengaging\to break free of the shackles.\But she doesn't have a hope of winning like that. response:	Oh, so my words finally got through to you?
context: If you do, I have an idea.\That thing you were thinking about earlier?\Yes. Will you let me handle this?\Got it!\Ah, she used the power of her transformation disengaging\to break free of the shackles.\But she doesn't have a hope of winning like that.\Oh, so my words finally got through to you? response:	I see that you have returned to a more proper appearance!
context: That thing you were thinking about earlier?\Yes. Will you let me handle this?\Got it!\Ah, she used the power of her transformation disengaging\to break free of the shackles.\But she doesn't have a hope of winning like that.\Oh, so my words finally got through to you?\I see that you have returned to a more proper appearance! response:	Who would listen to you, you big pervert?
context: Yes. Will you let me handle this?\Got it!\Ah, she used the power of her transformation disengaging\to break free of the shackles.\But she doesn't have a hope of winning like that.\Oh, so my words finally got through to you?\I see that you have returned to a more proper appearance!\Who would listen to you, you big pervert? response:	In that case, taste the ultimate whip of love!
context: Got it!\Ah, she used the power of her transformation disengaging\to break free of the shackles.\But she doesn't have a hope of winning like that.\Oh, so my words finally got through to you?\I see that you have returned to a more proper appearance!\Who would listen to you, you big pervert?\In that case, taste the ultimate whip of love! response:	So, you're applying the idea that
context: Ah, she used the power of her transformation disengaging\to break free of the shackles.\But she doesn't have a hope of winning like that.\Oh, so my words finally got through to you?\I see that you have returned to a more proper appearance!\Who would listen to you, you big pervert?\In that case, taste the ultimate whip of love!\So, you're applying the idea that response:	Even the hunter spares the bird that flies to his bosom?
context: to break free of the shackles.\But she doesn't have a hope of winning like that.\Oh, so my words finally got through to you?\I see that you have returned to a more proper appearance!\Who would listen to you, you big pervert?\In that case, taste the ultimate whip of love!\So, you're applying the idea that\Even the hunter spares the bird that flies to his bosom? response:	But I must warn you, I'm not that sentimental!
context: But she doesn't have a hope of winning like that.\Oh, so my words finally got through to you?\I see that you have returned to a more proper appearance!\Who would listen to you, you big pervert?\In that case, taste the ultimate whip of love!\So, you're applying the idea that\Even the hunter spares the bird that flies to his bosom?\But I must warn you, I'm not that sentimental! response:	I'll strangle you right here!
context: Oh, so my words finally got through to you?\I see that you have returned to a more proper appearance!\Who would listen to you, you big pervert?\In that case, taste the ultimate whip of love!\So, you're applying the idea that\Even the hunter spares the bird that flies to his bosom?\But I must warn you, I'm not that sentimental!\I'll strangle you right here! response:	Having trouble breathing?
context: I see that you have returned to a more proper appearance!\Who would listen to you, you big pervert?\In that case, taste the ultimate whip of love!\So, you're applying the idea that\Even the hunter spares the bird that flies to his bosom?\But I must warn you, I'm not that sentimental!\I'll strangle you right here!\Having trouble breathing? response:	But without your Scissor Blade, you have no way to fight back!
context: Who would listen to you, you big pervert?\In that case, taste the ultimate whip of love!\So, you're applying the idea that\Even the hunter spares the bird that flies to his bosom?\But I must warn you, I'm not that sentimental!\I'll strangle you right here!\Having trouble breathing?\But without your Scissor Blade, you have no way to fight back! response:	Uh-oh. Is it all over?
context: In that case, taste the ultimate whip of love!\So, you're applying the idea that\Even the hunter spares the bird that flies to his bosom?\But I must warn you, I'm not that sentimental!\I'll strangle you right here!\Having trouble breathing?\But without your Scissor Blade, you have no way to fight back!\Uh-oh. Is it all over? response:	A shame, I wanted to gather more Kamui data.
context: So, you're applying the idea that\Even the hunter spares the bird that flies to his bosom?\But I must warn you, I'm not that sentimental!\I'll strangle you right here!\Having trouble breathing?\But without your Scissor Blade, you have no way to fight back!\Uh-oh. Is it all over?\A shame, I wanted to gather more Kamui data. response:	No! What's this I'm sensing?
context: Even the hunter spares the bird that flies to his bosom?\But I must warn you, I'm not that sentimental!\I'll strangle you right here!\Having trouble breathing?\But without your Scissor Blade, you have no way to fight back!\Uh-oh. Is it all over?\A shame, I wanted to gather more Kamui data.\No! What's this I'm sensing? response:	Gamagoori, that was foolish.
context: But I must warn you, I'm not that sentimental!\I'll strangle you right here!\Having trouble breathing?\But without your Scissor Blade, you have no way to fight back!\Uh-oh. Is it all over?\A shame, I wanted to gather more Kamui data.\No! What's this I'm sensing?\Gamagoori, that was foolish. response:	Life Fiber Synchronize...!
context: I'll strangle you right here!\Having trouble breathing?\But without your Scissor Blade, you have no way to fight back!\Uh-oh. Is it all over?\A shame, I wanted to gather more Kamui data.\No! What's this I'm sensing?\Gamagoori, that was foolish.\Life Fiber Synchronize...! response:	What?!
context: Having trouble breathing?\But without your Scissor Blade, you have no way to fight back!\Uh-oh. Is it all over?\A shame, I wanted to gather more Kamui data.\No! What's this I'm sensing?\Gamagoori, that was foolish.\Life Fiber Synchronize...!\What?! response:	Senketsu Senjin!
context: But without your Scissor Blade, you have no way to fight back!\Uh-oh. Is it all over?\A shame, I wanted to gather more Kamui data.\No! What's this I'm sensing?\Gamagoori, that was foolish.\Life Fiber Synchronize...!\What?!\Senketsu Senjin! response:	SENKETSU SENJIN
context: Uh-oh. Is it all over?\A shame, I wanted to gather more Kamui data.\No! What's this I'm sensing?\Gamagoori, that was foolish.\Life Fiber Synchronize...!\What?!\Senketsu Senjin!\SENKETSU SENJIN response:	She turned her Kamui into a blade?
context: A shame, I wanted to gather more Kamui data.\No! What's this I'm sensing?\Gamagoori, that was foolish.\Life Fiber Synchronize...!\What?!\Senketsu Senjin!\SENKETSU SENJIN\She turned her Kamui into a blade? response:	You don't have enough energy
