context: Can't something fun happen for once? response:	Every single day bores me to death.
context: Who do those foreign supporters think they are? Just wait until we put the thumbscrews on you when we next meet.\Our honor is on the line with tonight's kickoff.\Whether in soccer or politics, we'll crush them and silence their nation for good.\As I always say, our Prime Minister is just too soft.\He values compromise? What our country truly needs is...\Strong statesmen!\Strong statesmen!\Well said, son. response:	You too, Father.
context: Our honor is on the line with tonight's kickoff.\Whether in soccer or politics, we'll crush them and silence their nation for good.\As I always say, our Prime Minister is just too soft.\He values compromise? What our country truly needs is...\Strong statesmen!\Strong statesmen!\Well said, son.\You too, Father. response:	Call me Chairman here!
context: Whether in soccer or politics, we'll crush them and silence their nation for good.\As I always say, our Prime Minister is just too soft.\He values compromise? What our country truly needs is...\Strong statesmen!\Strong statesmen!\Well said, son.\You too, Father.\Call me Chairman here! response:	Yes, Chairman.
context: As I always say, our Prime Minister is just too soft.\He values compromise? What our country truly needs is...\Strong statesmen!\Strong statesmen!\Well said, son.\You too, Father.\Call me Chairman here!\Yes, Chairman. response:	Whoops, my bad.
context: He values compromise? What our country truly needs is...\Strong statesmen!\Strong statesmen!\Well said, son.\You too, Father.\Call me Chairman here!\Yes, Chairman.\Whoops, my bad. response:	I don't recognize you. What class are you in?
context: Strong statesmen!\Strong statesmen!\Well said, son.\You too, Father.\Call me Chairman here!\Yes, Chairman.\Whoops, my bad.\I don't recognize you. What class are you in? response:	Who knows? I can't recall.
context: Strong statesmen!\Well said, son.\You too, Father.\Call me Chairman here!\Yes, Chairman.\Whoops, my bad.\I don't recognize you. What class are you in?\Who knows? I can't recall. response:	What's with that attitude?!
context: Well said, son.\You too, Father.\Call me Chairman here!\Yes, Chairman.\Whoops, my bad.\I don't recognize you. What class are you in?\Who knows? I can't recall.\What's with that attitude?! response:	Huh?!
context: You too, Father.\Call me Chairman here!\Yes, Chairman.\Whoops, my bad.\I don't recognize you. What class are you in?\Who knows? I can't recall.\What's with that attitude?!\Huh?! response:	Are you speaking to me like that knowing I'm Louis Blackwell?
context: Call me Chairman here!\Yes, Chairman.\Whoops, my bad.\I don't recognize you. What class are you in?\Who knows? I can't recall.\What's with that attitude?!\Huh?!\Are you speaking to me like that knowing I'm Louis Blackwell? response:	Like hell I'd even know you!
context: Yes, Chairman.\Whoops, my bad.\I don't recognize you. What class are you in?\Who knows? I can't recall.\What's with that attitude?!\Huh?!\Are you speaking to me like that knowing I'm Louis Blackwell?\Like hell I'd even know you! response:	Color me surprised, then.
context: Whoops, my bad.\I don't recognize you. What class are you in?\Who knows? I can't recall.\What's with that attitude?!\Huh?!\Are you speaking to me like that knowing I'm Louis Blackwell?\Like hell I'd even know you!\Color me surprised, then. response:	I never expected to find a student at Appleton lacking respect for a Blackwell.
context: I don't recognize you. What class are you in?\Who knows? I can't recall.\What's with that attitude?!\Huh?!\Are you speaking to me like that knowing I'm Louis Blackwell?\Like hell I'd even know you!\Color me surprised, then.\I never expected to find a student at Appleton lacking respect for a Blackwell. response:	My father is the Chairman and this country's Minister of Defense!
context: Who knows? I can't recall.\What's with that attitude?!\Huh?!\Are you speaking to me like that knowing I'm Louis Blackwell?\Like hell I'd even know you!\Color me surprised, then.\I never expected to find a student at Appleton lacking respect for a Blackwell.\My father is the Chairman and this country's Minister of Defense! response:	Oh, is that so? You'll have to excuse my rudeness!
context: What's with that attitude?!\Huh?!\Are you speaking to me like that knowing I'm Louis Blackwell?\Like hell I'd even know you!\Color me surprised, then.\I never expected to find a student at Appleton lacking respect for a Blackwell.\My father is the Chairman and this country's Minister of Defense!\Oh, is that so? You'll have to excuse my rudeness! response:	Back off!
context: Huh?!\Are you speaking to me like that knowing I'm Louis Blackwell?\Like hell I'd even know you!\Color me surprised, then.\I never expected to find a student at Appleton lacking respect for a Blackwell.\My father is the Chairman and this country's Minister of Defense!\Oh, is that so? You'll have to excuse my rudeness!\Back off! response:	Why, you...!
context: Are you speaking to me like that knowing I'm Louis Blackwell?\Like hell I'd even know you!\Color me surprised, then.\I never expected to find a student at Appleton lacking respect for a Blackwell.\My father is the Chairman and this country's Minister of Defense!\Oh, is that so? You'll have to excuse my rudeness!\Back off!\Why, you...! response:	Amanda, settle down!
context: Like hell I'd even know you!\Color me surprised, then.\I never expected to find a student at Appleton lacking respect for a Blackwell.\My father is the Chairman and this country's Minister of Defense!\Oh, is that so? You'll have to excuse my rudeness!\Back off!\Why, you...!\Amanda, settle down! response:	What've you got there? Show me.
context: Color me surprised, then.\I never expected to find a student at Appleton lacking respect for a Blackwell.\My father is the Chairman and this country's Minister of Defense!\Oh, is that so? You'll have to excuse my rudeness!\Back off!\Why, you...!\Amanda, settle down!\What've you got there? Show me. response:	S-Squeak.
context: I never expected to find a student at Appleton lacking respect for a Blackwell.\My father is the Chairman and this country's Minister of Defense!\Oh, is that so? You'll have to excuse my rudeness!\Back off!\Why, you...!\Amanda, settle down!\What've you got there? Show me.\S-Squeak. response:	A rat! There was still a rat!
context: My father is the Chairman and this country's Minister of Defense!\Oh, is that so? You'll have to excuse my rudeness!\Back off!\Why, you...!\Amanda, settle down!\What've you got there? Show me.\S-Squeak.\A rat! There was still a rat! response:	The familiar exterminator was supposed to eradicate them all!
context: Oh, is that so? You'll have to excuse my rudeness!\Back off!\Why, you...!\Amanda, settle down!\What've you got there? Show me.\S-Squeak.\A rat! There was still a rat!\The familiar exterminator was supposed to eradicate them all! response:	Familiar exterminator?
context: Back off!\Why, you...!\Amanda, settle down!\What've you got there? Show me.\S-Squeak.\A rat! There was still a rat!\The familiar exterminator was supposed to eradicate them all!\Familiar exterminator? response:	Rats are the witches' familiars! Their underlings!
context: Why, you...!\Amanda, settle down!\What've you got there? Show me.\S-Squeak.\A rat! There was still a rat!\The familiar exterminator was supposed to eradicate them all!\Familiar exterminator?\Rats are the witches' familiars! Their underlings! response:	We had them all eliminated in order to prevent the deception and corruption of witches in our holy place of learning!
context: Amanda, settle down!\What've you got there? Show me.\S-Squeak.\A rat! There was still a rat!\The familiar exterminator was supposed to eradicate them all!\Familiar exterminator?\Rats are the witches' familiars! Their underlings!\We had them all eliminated in order to prevent the deception and corruption of witches in our holy place of learning! response:	What kinda school is this?
context: What've you got there? Show me.\S-Squeak.\A rat! There was still a rat!\The familiar exterminator was supposed to eradicate them all!\Familiar exterminator?\Rats are the witches' familiars! Their underlings!\We had them all eliminated in order to prevent the deception and corruption of witches in our holy place of learning!\What kinda school is this? response:	Hand it over!
context: S-Squeak.\A rat! There was still a rat!\The familiar exterminator was supposed to eradicate them all!\Familiar exterminator?\Rats are the witches' familiars! Their underlings!\We had them all eliminated in order to prevent the deception and corruption of witches in our holy place of learning!\What kinda school is this?\Hand it over! response:	And now you expect an obedient Yes, of course! from me, right?
context: A rat! There was still a rat!\The familiar exterminator was supposed to eradicate them all!\Familiar exterminator?\Rats are the witches' familiars! Their underlings!\We had them all eliminated in order to prevent the deception and corruption of witches in our holy place of learning!\What kinda school is this?\Hand it over!\And now you expect an obedient Yes, of course! from me, right? response:	What's going on, Louis?
context: The familiar exterminator was supposed to eradicate them all!\Familiar exterminator?\Rats are the witches' familiars! Their underlings!\We had them all eliminated in order to prevent the deception and corruption of witches in our holy place of learning!\What kinda school is this?\Hand it over!\And now you expect an obedient Yes, of course! from me, right?\What's going on, Louis? response:	He has a familiar!
context: Familiar exterminator?\Rats are the witches' familiars! Their underlings!\We had them all eliminated in order to prevent the deception and corruption of witches in our holy place of learning!\What kinda school is this?\Hand it over!\And now you expect an obedient Yes, of course! from me, right?\What's going on, Louis?\He has a familiar! response:	Come now, are you serious?
context: Rats are the witches' familiars! Their underlings!\We had them all eliminated in order to prevent the deception and corruption of witches in our holy place of learning!\What kinda school is this?\Hand it over!\And now you expect an obedient Yes, of course! from me, right?\What's going on, Louis?\He has a familiar!\Come now, are you serious? response:	This is an ordinary rat, no more than fodder for foxes if you threw it in a field.
context: We had them all eliminated in order to prevent the deception and corruption of witches in our holy place of learning!\What kinda school is this?\Hand it over!\And now you expect an obedient Yes, of course! from me, right?\What's going on, Louis?\He has a familiar!\Come now, are you serious?\This is an ordinary rat, no more than fodder for foxes if you threw it in a field. response:	I'll let it outside.
context: What kinda school is this?\Hand it over!\And now you expect an obedient Yes, of course! from me, right?\What's going on, Louis?\He has a familiar!\Come now, are you serious?\This is an ordinary rat, no more than fodder for foxes if you threw it in a field.\I'll let it outside. response:	Can I presume you take no issue?
context: Hand it over!\And now you expect an obedient Yes, of course! from me, right?\What's going on, Louis?\He has a familiar!\Come now, are you serious?\This is an ordinary rat, no more than fodder for foxes if you threw it in a field.\I'll let it outside.\Can I presume you take no issue? response:	Hmph, pompous prick.
context: And now you expect an obedient Yes, of course! from me, right?\What's going on, Louis?\He has a familiar!\Come now, are you serious?\This is an ordinary rat, no more than fodder for foxes if you threw it in a field.\I'll let it outside.\Can I presume you take no issue?\Hmph, pompous prick. response:	So?
context: What's going on, Louis?\He has a familiar!\Come now, are you serious?\This is an ordinary rat, no more than fodder for foxes if you threw it in a field.\I'll let it outside.\Can I presume you take no issue?\Hmph, pompous prick.\So? response:	What gives us the honor of a visit from witches?
context: He has a familiar!\Come now, are you serious?\This is an ordinary rat, no more than fodder for foxes if you threw it in a field.\I'll let it outside.\Can I presume you take no issue?\Hmph, pompous prick.\So?\What gives us the honor of a visit from witches? response:	Why'd you have to try and start a fight?!
context: Come now, are you serious?\This is an ordinary rat, no more than fodder for foxes if you threw it in a field.\I'll let it outside.\Can I presume you take no issue?\Hmph, pompous prick.\So?\What gives us the honor of a visit from witches?\Why'd you have to try and start a fight?! response:	How would I've been able to look for the Word then?
context: This is an ordinary rat, no more than fodder for foxes if you threw it in a field.\I'll let it outside.\Can I presume you take no issue?\Hmph, pompous prick.\So?\What gives us the honor of a visit from witches?\Why'd you have to try and start a fight?!\How would I've been able to look for the Word then? response:	Oh, shut it! I don't give a rat's ass about the Words.
context: I'll let it outside.\Can I presume you take no issue?\Hmph, pompous prick.\So?\What gives us the honor of a visit from witches?\Why'd you have to try and start a fight?!\How would I've been able to look for the Word then?\Oh, shut it! I don't give a rat's ass about the Words. response:	Then why'd you even come?
context: Can I presume you take no issue?\Hmph, pompous prick.\So?\What gives us the honor of a visit from witches?\Why'd you have to try and start a fight?!\How would I've been able to look for the Word then?\Oh, shut it! I don't give a rat's ass about the Words.\Then why'd you even come? response:	I wanted to go out with a bang before I quit Luna Nova.
context: Hmph, pompous prick.\So?\What gives us the honor of a visit from witches?\Why'd you have to try and start a fight?!\How would I've been able to look for the Word then?\Oh, shut it! I don't give a rat's ass about the Words.\Then why'd you even come?\I wanted to go out with a bang before I quit Luna Nova. response:	That's so selfish!
context: So?\What gives us the honor of a visit from witches?\Why'd you have to try and start a fight?!\How would I've been able to look for the Word then?\Oh, shut it! I don't give a rat's ass about the Words.\Then why'd you even come?\I wanted to go out with a bang before I quit Luna Nova.\That's so selfish! response:	Yeah, what of it? I'll do what I want.
context: What gives us the honor of a visit from witches?\Why'd you have to try and start a fight?!\How would I've been able to look for the Word then?\Oh, shut it! I don't give a rat's ass about the Words.\Then why'd you even come?\I wanted to go out with a bang before I quit Luna Nova.\That's so selfish!\Yeah, what of it? I'll do what I want. response:	You're on your own too.
context: Why'd you have to try and start a fight?!\How would I've been able to look for the Word then?\Oh, shut it! I don't give a rat's ass about the Words.\Then why'd you even come?\I wanted to go out with a bang before I quit Luna Nova.\That's so selfish!\Yeah, what of it? I'll do what I want.\You're on your own too. response:	Wh-What's with you?
context: How would I've been able to look for the Word then?\Oh, shut it! I don't give a rat's ass about the Words.\Then why'd you even come?\I wanted to go out with a bang before I quit Luna Nova.\That's so selfish!\Yeah, what of it? I'll do what I want.\You're on your own too.\Wh-What's with you? response:	I suppose I should at least ask.
context: Oh, shut it! I don't give a rat's ass about the Words.\Then why'd you even come?\I wanted to go out with a bang before I quit Luna Nova.\That's so selfish!\Yeah, what of it? I'll do what I want.\You're on your own too.\Wh-What's with you?\I suppose I should at least ask. response:	Why are you here?
context: Then why'd you even come?\I wanted to go out with a bang before I quit Luna Nova.\That's so selfish!\Yeah, what of it? I'll do what I want.\You're on your own too.\Wh-What's with you?\I suppose I should at least ask.\Why are you here? response:	I came to find a Word.
context: I wanted to go out with a bang before I quit Luna Nova.\That's so selfish!\Yeah, what of it? I'll do what I want.\You're on your own too.\Wh-What's with you?\I suppose I should at least ask.\Why are you here?\I came to find a Word. response:	There are seven ancient Words that make up a spell,
context: That's so selfish!\Yeah, what of it? I'll do what I want.\You're on your own too.\Wh-What's with you?\I suppose I should at least ask.\Why are you here?\I came to find a Word.\There are seven ancient Words that make up a spell, response:	and I'm going to find Chariot along with them.
context: Yeah, what of it? I'll do what I want.\You're on your own too.\Wh-What's with you?\I suppose I should at least ask.\Why are you here?\I came to find a Word.\There are seven ancient Words that make up a spell,\and I'm going to find Chariot along with them. response:	You still admire that witch?
context: You're on your own too.\Wh-What's with you?\I suppose I should at least ask.\Why are you here?\I came to find a Word.\There are seven ancient Words that make up a spell,\and I'm going to find Chariot along with them.\You still admire that witch? response:	Obviously! Becoming a witch who can give people dreams like she did means everything to me!
context: Wh-What's with you?\I suppose I should at least ask.\Why are you here?\I came to find a Word.\There are seven ancient Words that make up a spell,\and I'm going to find Chariot along with them.\You still admire that witch?\Obviously! Becoming a witch who can give people dreams like she did means everything to me! response:	Even though nobody wishes that of you?
context: I suppose I should at least ask.\Why are you here?\I came to find a Word.\There are seven ancient Words that make up a spell,\and I'm going to find Chariot along with them.\You still admire that witch?\Obviously! Becoming a witch who can give people dreams like she did means everything to me!\Even though nobody wishes that of you? response:	S-Sure, maybe nobody wants me to do it...
context: Why are you here?\I came to find a Word.\There are seven ancient Words that make up a spell,\and I'm going to find Chariot along with them.\You still admire that witch?\Obviously! Becoming a witch who can give people dreams like she did means everything to me!\Even though nobody wishes that of you?\S-Sure, maybe nobody wants me to do it... response:	I cannot understand why you'd go to such lengths when nobody ever asked you to.
context: I came to find a Word.\There are seven ancient Words that make up a spell,\and I'm going to find Chariot along with them.\You still admire that witch?\Obviously! Becoming a witch who can give people dreams like she did means everything to me!\Even though nobody wishes that of you?\S-Sure, maybe nobody wants me to do it...\I cannot understand why you'd go to such lengths when nobody ever asked you to. response:	It's because I want to do it! Aren't you the same?
context: There are seven ancient Words that make up a spell,\and I'm going to find Chariot along with them.\You still admire that witch?\Obviously! Becoming a witch who can give people dreams like she did means everything to me!\Even though nobody wishes that of you?\S-Sure, maybe nobody wants me to do it...\I cannot understand why you'd go to such lengths when nobody ever asked you to.\It's because I want to do it! Aren't you the same? response:	Haven't I told you before?
context: and I'm going to find Chariot along with them.\You still admire that witch?\Obviously! Becoming a witch who can give people dreams like she did means everything to me!\Even though nobody wishes that of you?\S-Sure, maybe nobody wants me to do it...\I cannot understand why you'd go to such lengths when nobody ever asked you to.\It's because I want to do it! Aren't you the same?\Haven't I told you before? response:	There is a certain conduct expected of a Hanbridge.
context: You still admire that witch?\Obviously! Becoming a witch who can give people dreams like she did means everything to me!\Even though nobody wishes that of you?\S-Sure, maybe nobody wants me to do it...\I cannot understand why you'd go to such lengths when nobody ever asked you to.\It's because I want to do it! Aren't you the same?\Haven't I told you before?\There is a certain conduct expected of a Hanbridge. response:	Everyone around me expects me to become a great leader of this country.
context: Obviously! Becoming a witch who can give people dreams like she did means everything to me!\Even though nobody wishes that of you?\S-Sure, maybe nobody wants me to do it...\I cannot understand why you'd go to such lengths when nobody ever asked you to.\It's because I want to do it! Aren't you the same?\Haven't I told you before?\There is a certain conduct expected of a Hanbridge.\Everyone around me expects me to become a great leader of this country. response:	I have a responsibility to answer them.
context: Even though nobody wishes that of you?\S-Sure, maybe nobody wants me to do it...\I cannot understand why you'd go to such lengths when nobody ever asked you to.\It's because I want to do it! Aren't you the same?\Haven't I told you before?\There is a certain conduct expected of a Hanbridge.\Everyone around me expects me to become a great leader of this country.\I have a responsibility to answer them. response:	You go on about expectations and responsibility, but is that really what you want to do?
context: S-Sure, maybe nobody wants me to do it...\I cannot understand why you'd go to such lengths when nobody ever asked you to.\It's because I want to do it! Aren't you the same?\Haven't I told you before?\There is a certain conduct expected of a Hanbridge.\Everyone around me expects me to become a great leader of this country.\I have a responsibility to answer them.\You go on about expectations and responsibility, but is that really what you want to do? response:	Life is not about what you want.
context: I cannot understand why you'd go to such lengths when nobody ever asked you to.\It's because I want to do it! Aren't you the same?\Haven't I told you before?\There is a certain conduct expected of a Hanbridge.\Everyone around me expects me to become a great leader of this country.\I have a responsibility to answer them.\You go on about expectations and responsibility, but is that really what you want to do?\Life is not about what you want. response:	The things I must do have already been decided.
context: It's because I want to do it! Aren't you the same?\Haven't I told you before?\There is a certain conduct expected of a Hanbridge.\Everyone around me expects me to become a great leader of this country.\I have a responsibility to answer them.\You go on about expectations and responsibility, but is that really what you want to do?\Life is not about what you want.\The things I must do have already been decided. response:	Nothing is decided.
context: Haven't I told you before?\There is a certain conduct expected of a Hanbridge.\Everyone around me expects me to become a great leader of this country.\I have a responsibility to answer them.\You go on about expectations and responsibility, but is that really what you want to do?\Life is not about what you want.\The things I must do have already been decided.\Nothing is decided. response:	No matter how much I fail or lose heart, this is something I decided for myself.
context: There is a certain conduct expected of a Hanbridge.\Everyone around me expects me to become a great leader of this country.\I have a responsibility to answer them.\You go on about expectations and responsibility, but is that really what you want to do?\Life is not about what you want.\The things I must do have already been decided.\Nothing is decided.\No matter how much I fail or lose heart, this is something I decided for myself. response:	I'll become someone who can make everyone laugh and fill their hearts with excitement, like Chariot!
context: Everyone around me expects me to become a great leader of this country.\I have a responsibility to answer them.\You go on about expectations and responsibility, but is that really what you want to do?\Life is not about what you want.\The things I must do have already been decided.\Nothing is decided.\No matter how much I fail or lose heart, this is something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement, like Chariot! response:	And what if you're unable to fulfill your dream?
context: I have a responsibility to answer them.\You go on about expectations and responsibility, but is that really what you want to do?\Life is not about what you want.\The things I must do have already been decided.\Nothing is decided.\No matter how much I fail or lose heart, this is something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement, like Chariot!\And what if you're unable to fulfill your dream? response:	I will fulfill it!
context: You go on about expectations and responsibility, but is that really what you want to do?\Life is not about what you want.\The things I must do have already been decided.\Nothing is decided.\No matter how much I fail or lose heart, this is something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement, like Chariot!\And what if you're unable to fulfill your dream?\I will fulfill it! response:	I'll never give up until I do!
context: Life is not about what you want.\The things I must do have already been decided.\Nothing is decided.\No matter how much I fail or lose heart, this is something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement, like Chariot!\And what if you're unable to fulfill your dream?\I will fulfill it!\I'll never give up until I do! response:	So I have a favor to ask...
context: The things I must do have already been decided.\Nothing is decided.\No matter how much I fail or lose heart, this is something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement, like Chariot!\And what if you're unable to fulfill your dream?\I will fulfill it!\I'll never give up until I do!\So I have a favor to ask... response:	Do you know anything about the legendary Holy Grail?
context: Nothing is decided.\No matter how much I fail or lose heart, this is something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement, like Chariot!\And what if you're unable to fulfill your dream?\I will fulfill it!\I'll never give up until I do!\So I have a favor to ask...\Do you know anything about the legendary Holy Grail? response:	Even if I did, I have no obligation to tell you.
context: No matter how much I fail or lose heart, this is something I decided for myself.\I'll become someone who can make everyone laugh and fill their hearts with excitement, like Chariot!\And what if you're unable to fulfill your dream?\I will fulfill it!\I'll never give up until I do!\So I have a favor to ask...\Do you know anything about the legendary Holy Grail?\Even if I did, I have no obligation to tell you. response:	What good would it do to sow the seeds of disaster in a troublemaker...
context: I'll become someone who can make everyone laugh and fill their hearts with excitement, like Chariot!\And what if you're unable to fulfill your dream?\I will fulfill it!\I'll never give up until I do!\So I have a favor to ask...\Do you know anything about the legendary Holy Grail?\Even if I did, I have no obligation to tell you.\What good would it do to sow the seeds of disaster in a troublemaker... response:	Like... you...
context: And what if you're unable to fulfill your dream?\I will fulfill it!\I'll never give up until I do!\So I have a favor to ask...\Do you know anything about the legendary Holy Grail?\Even if I did, I have no obligation to tell you.\What good would it do to sow the seeds of disaster in a troublemaker...\Like... you... response:	Those...
context: I will fulfill it!\I'll never give up until I do!\So I have a favor to ask...\Do you know anything about the legendary Holy Grail?\Even if I did, I have no obligation to tell you.\What good would it do to sow the seeds of disaster in a troublemaker...\Like... you...\Those... response:	What are they?
context: I'll never give up until I do!\So I have a favor to ask...\Do you know anything about the legendary Holy Grail?\Even if I did, I have no obligation to tell you.\What good would it do to sow the seeds of disaster in a troublemaker...\Like... you...\Those...\What are they? response:	Isn't this...
context: So I have a favor to ask...\Do you know anything about the legendary Holy Grail?\Even if I did, I have no obligation to tell you.\What good would it do to sow the seeds of disaster in a troublemaker...\Like... you...\Those...\What are they?\Isn't this... response:	The legendary Holy Grail? Found it!
context: Do you know anything about the legendary Holy Grail?\Even if I did, I have no obligation to tell you.\What good would it do to sow the seeds of disaster in a troublemaker...\Like... you...\Those...\What are they?\Isn't this...\The legendary Holy Grail? Found it! response:	I've gotta tell Amanda!
context: Even if I did, I have no obligation to tell you.\What good would it do to sow the seeds of disaster in a troublemaker...\Like... you...\Those...\What are they?\Isn't this...\The legendary Holy Grail? Found it!\I've gotta tell Amanda! response:	Justice! Good game!
context: What good would it do to sow the seeds of disaster in a troublemaker...\Like... you...\Those...\What are they?\Isn't this...\The legendary Holy Grail? Found it!\I've gotta tell Amanda!\Justice! Good game! response:	Louis beat us again.
context: Like... you...\Those...\What are they?\Isn't this...\The legendary Holy Grail? Found it!\I've gotta tell Amanda!\Justice! Good game!\Louis beat us again. response:	Lady Luck has her eye on me.
context: Those...\What are they?\Isn't this...\The legendary Holy Grail? Found it!\I've gotta tell Amanda!\Justice! Good game!\Louis beat us again.\Lady Luck has her eye on me. response:	Please smile upon me next.
context: What are they?\Isn't this...\The legendary Holy Grail? Found it!\I've gotta tell Amanda!\Justice! Good game!\Louis beat us again.\Lady Luck has her eye on me.\Please smile upon me next. response:	You won't catch her attention that easily.
context: Isn't this...\The legendary Holy Grail? Found it!\I've gotta tell Amanda!\Justice! Good game!\Louis beat us again.\Lady Luck has her eye on me.\Please smile upon me next.\You won't catch her attention that easily. response:	That's one dirty trick you're pulling there.
context: The legendary Holy Grail? Found it!\I've gotta tell Amanda!\Justice! Good game!\Louis beat us again.\Lady Luck has her eye on me.\Please smile upon me next.\You won't catch her attention that easily.\That's one dirty trick you're pulling there. response:	Wh-What are you talking about?
context: I've gotta tell Amanda!\Justice! Good game!\Louis beat us again.\Lady Luck has her eye on me.\Please smile upon me next.\You won't catch her attention that easily.\That's one dirty trick you're pulling there.\Wh-What are you talking about? response:	Look.
context: Justice! Good game!\Louis beat us again.\Lady Luck has her eye on me.\Please smile upon me next.\You won't catch her attention that easily.\That's one dirty trick you're pulling there.\Wh-What are you talking about?\Look. response:	Stop!
context: Louis beat us again.\Lady Luck has her eye on me.\Please smile upon me next.\You won't catch her attention that easily.\That's one dirty trick you're pulling there.\Wh-What are you talking about?\Look.\Stop! response:	Hey, Louis!
context: Lady Luck has her eye on me.\Please smile upon me next.\You won't catch her attention that easily.\That's one dirty trick you're pulling there.\Wh-What are you talking about?\Look.\Stop!\Hey, Louis! response:	Whoa, let me explain.
context: Please smile upon me next.\You won't catch her attention that easily.\That's one dirty trick you're pulling there.\Wh-What are you talking about?\Look.\Stop!\Hey, Louis!\Whoa, let me explain. response:	I saw through your bluff.
context: You won't catch her attention that easily.\That's one dirty trick you're pulling there.\Wh-What are you talking about?\Look.\Stop!\Hey, Louis!\Whoa, let me explain.\I saw through your bluff. response:	If you wanna cheat, you better learn from the best.
context: That's one dirty trick you're pulling there.\Wh-What are you talking about?\Look.\Stop!\Hey, Louis!\Whoa, let me explain.\I saw through your bluff.\If you wanna cheat, you better learn from the best. response:	Why, you...!
context: Wh-What are you talking about?\Look.\Stop!\Hey, Louis!\Whoa, let me explain.\I saw through your bluff.\If you wanna cheat, you better learn from the best.\Why, you...! response:	Oh, you want some?
context: Look.\Stop!\Hey, Louis!\Whoa, let me explain.\I saw through your bluff.\If you wanna cheat, you better learn from the best.\Why, you...!\Oh, you want some? response:	I-Isn't that
context: Stop!\Hey, Louis!\Whoa, let me explain.\I saw through your bluff.\If you wanna cheat, you better learn from the best.\Why, you...!\Oh, you want some?\I-Isn't that response:	Oruihon Deance!
context: Hey, Louis!\Whoa, let me explain.\I saw through your bluff.\If you wanna cheat, you better learn from the best.\Why, you...!\Oh, you want some?\I-Isn't that\Oruihon Deance! response:	Crap, I forgot Akko's still got the leyline router on her!
context: Whoa, let me explain.\I saw through your bluff.\If you wanna cheat, you better learn from the best.\Why, you...!\Oh, you want some?\I-Isn't that\Oruihon Deance!\Crap, I forgot Akko's still got the leyline router on her! response:	It's a witch!
context: I saw through your bluff.\If you wanna cheat, you better learn from the best.\Why, you...!\Oh, you want some?\I-Isn't that\Oruihon Deance!\Crap, I forgot Akko's still got the leyline router on her!\It's a witch! response:	No wonder I didn't recognize you!
context: If you wanna cheat, you better learn from the best.\Why, you...!\Oh, you want some?\I-Isn't that\Oruihon Deance!\Crap, I forgot Akko's still got the leyline router on her!\It's a witch!\No wonder I didn't recognize you! response:	Hey, goddammit! Let me go!
context: Why, you...!\Oh, you want some?\I-Isn't that\Oruihon Deance!\Crap, I forgot Akko's still got the leyline router on her!\It's a witch!\No wonder I didn't recognize you!\Hey, goddammit! Let me go! response:	Which means that rat is one too.
context: Oh, you want some?\I-Isn't that\Oruihon Deance!\Crap, I forgot Akko's still got the leyline router on her!\It's a witch!\No wonder I didn't recognize you!\Hey, goddammit! Let me go!\Which means that rat is one too. response:	Little Witch Academia
context: I-Isn't that\Oruihon Deance!\Crap, I forgot Akko's still got the leyline router on her!\It's a witch!\No wonder I didn't recognize you!\Hey, goddammit! Let me go!\Which means that rat is one too.\Little Witch Academia response:	Little Witch Academia
context: Oruihon Deance!\Crap, I forgot Akko's still got the leyline router on her!\It's a witch!\No wonder I didn't recognize you!\Hey, goddammit! Let me go!\Which means that rat is one too.\Little Witch Academia\Little Witch Academia response:	There.
context: Crap, I forgot Akko's still got the leyline router on her!\It's a witch!\No wonder I didn't recognize you!\Hey, goddammit! Let me go!\Which means that rat is one too.\Little Witch Academia\Little Witch Academia\There. response:	That one's coming off!
context: It's a witch!\No wonder I didn't recognize you!\Hey, goddammit! Let me go!\Which means that rat is one too.\Little Witch Academia\Little Witch Academia\There.\That one's coming off! response:	This doesn't feel right. Did something happen to Amanda?
context: No wonder I didn't recognize you!\Hey, goddammit! Let me go!\Which means that rat is one too.\Little Witch Academia\Little Witch Academia\There.\That one's coming off!\This doesn't feel right. Did something happen to Amanda? response:	Done, next is over here!
context: Hey, goddammit! Let me go!\Which means that rat is one too.\Little Witch Academia\Little Witch Academia\There.\That one's coming off!\This doesn't feel right. Did something happen to Amanda?\Done, next is over here! response:	We're busted! Amanda!
context: Which means that rat is one too.\Little Witch Academia\Little Witch Academia\There.\That one's coming off!\This doesn't feel right. Did something happen to Amanda?\Done, next is over here!\We're busted! Amanda! response:	What motive brought you to Appleton?
context: Little Witch Academia\Little Witch Academia\There.\That one's coming off!\This doesn't feel right. Did something happen to Amanda?\Done, next is over here!\We're busted! Amanda!\What motive brought you to Appleton? response:	No matter.
context: Little Witch Academia\There.\That one's coming off!\This doesn't feel right. Did something happen to Amanda?\Done, next is over here!\We're busted! Amanda!\What motive brought you to Appleton?\No matter. response:	We'll figure it out once we capture the rat.
context: There.\That one's coming off!\This doesn't feel right. Did something happen to Amanda?\Done, next is over here!\We're busted! Amanda!\What motive brought you to Appleton?\No matter.\We'll figure it out once we capture the rat. response:	There are ways of making you talk.
