context: This is what started it all. response:	Thank you very much, Inaho.
context: Lt. Marito.\See to the assault team selection.\Understood.\I'll go in the first wave.\Nao!\I probably have more experience fighting Martian weaponry than anyone on Earth.\Multiple radar returns overhead!\Anti-air warfare. Will intercept. response:	Decoy Kataphrakts hit! Releasing chaff and flares!
context: See to the assault team selection.\Understood.\I'll go in the first wave.\Nao!\I probably have more experience fighting Martian weaponry than anyone on Earth.\Multiple radar returns overhead!\Anti-air warfare. Will intercept.\Decoy Kataphrakts hit! Releasing chaff and flares! response:	Assault team, launch.
context: Understood.\I'll go in the first wave.\Nao!\I probably have more experience fighting Martian weaponry than anyone on Earth.\Multiple radar returns overhead!\Anti-air warfare. Will intercept.\Decoy Kataphrakts hit! Releasing chaff and flares!\Assault team, launch. response:	Mustang Leader to all units. In addition to poor laser comms due to the blizzard,
context: I'll go in the first wave.\Nao!\I probably have more experience fighting Martian weaponry than anyone on Earth.\Multiple radar returns overhead!\Anti-air warfare. Will intercept.\Decoy Kataphrakts hit! Releasing chaff and flares!\Assault team, launch.\Mustang Leader to all units. In addition to poor laser comms due to the blizzard, response:	their jamming will get stronger near the castle.
context: Nao!\I probably have more experience fighting Martian weaponry than anyone on Earth.\Multiple radar returns overhead!\Anti-air warfare. Will intercept.\Decoy Kataphrakts hit! Releasing chaff and flares!\Assault team, launch.\Mustang Leader to all units. In addition to poor laser comms due to the blizzard,\their jamming will get stronger near the castle. response:	Don't count on instructions until we're down. Fight independently.
context: I probably have more experience fighting Martian weaponry than anyone on Earth.\Multiple radar returns overhead!\Anti-air warfare. Will intercept.\Decoy Kataphrakts hit! Releasing chaff and flares!\Assault team, launch.\Mustang Leader to all units. In addition to poor laser comms due to the blizzard,\their jamming will get stronger near the castle.\Don't count on instructions until we're down. Fight independently. response:	Mustang 11, roger.
context: Multiple radar returns overhead!\Anti-air warfare. Will intercept.\Decoy Kataphrakts hit! Releasing chaff and flares!\Assault team, launch.\Mustang Leader to all units. In addition to poor laser comms due to the blizzard,\their jamming will get stronger near the castle.\Don't count on instructions until we're down. Fight independently.\Mustang 11, roger. response:	Mustang 22, roger.
context: Anti-air warfare. Will intercept.\Decoy Kataphrakts hit! Releasing chaff and flares!\Assault team, launch.\Mustang Leader to all units. In addition to poor laser comms due to the blizzard,\their jamming will get stronger near the castle.\Don't count on instructions until we're down. Fight independently.\Mustang 11, roger.\Mustang 22, roger. response:	Mustang 33, roger.
context: Decoy Kataphrakts hit! Releasing chaff and flares!\Assault team, launch.\Mustang Leader to all units. In addition to poor laser comms due to the blizzard,\their jamming will get stronger near the castle.\Don't count on instructions until we're down. Fight independently.\Mustang 11, roger.\Mustang 22, roger.\Mustang 33, roger. response:	Mustang 44, roger.
context: Assault team, launch.\Mustang Leader to all units. In addition to poor laser comms due to the blizzard,\their jamming will get stronger near the castle.\Don't count on instructions until we're down. Fight independently.\Mustang 11, roger.\Mustang 22, roger.\Mustang 33, roger.\Mustang 44, roger. response:	Drop!
context: Mustang Leader to all units. In addition to poor laser comms due to the blizzard,\their jamming will get stronger near the castle.\Don't count on instructions until we're down. Fight independently.\Mustang 11, roger.\Mustang 22, roger.\Mustang 33, roger.\Mustang 44, roger.\Drop! response:	Please don't let them hit me, please don't let them hit me, please don't let them hit me...
context: their jamming will get stronger near the castle.\Don't count on instructions until we're down. Fight independently.\Mustang 11, roger.\Mustang 22, roger.\Mustang 33, roger.\Mustang 44, roger.\Drop!\Please don't let them hit me, please don't let them hit me, please don't let them hit me... response:	When you're that scared, you're more likely to get hit!
context: Don't count on instructions until we're down. Fight independently.\Mustang 11, roger.\Mustang 22, roger.\Mustang 33, roger.\Mustang 44, roger.\Drop!\Please don't let them hit me, please don't let them hit me, please don't let them hit me...\When you're that scared, you're more likely to get hit! response:	Bullets are attracted to cowardice! Be confident, and the bullets will run from
context: Mustang 11, roger.\Mustang 22, roger.\Mustang 33, roger.\Mustang 44, roger.\Drop!\Please don't let them hit me, please don't let them hit me, please don't let them hit me...\When you're that scared, you're more likely to get hit!\Bullets are attracted to cowardice! Be confident, and the bullets will run from response:	Mustang 33!
context: Mustang 22, roger.\Mustang 33, roger.\Mustang 44, roger.\Drop!\Please don't let them hit me, please don't let them hit me, please don't let them hit me...\When you're that scared, you're more likely to get hit!\Bullets are attracted to cowardice! Be confident, and the bullets will run from\Mustang 33! response:	Use my orange color to guide you in.
context: Mustang 33, roger.\Mustang 44, roger.\Drop!\Please don't let them hit me, please don't let them hit me, please don't let them hit me...\When you're that scared, you're more likely to get hit!\Bullets are attracted to cowardice! Be confident, and the bullets will run from\Mustang 33!\Use my orange color to guide you in. response:	Nao, that's too fast!
context: Mustang 44, roger.\Drop!\Please don't let them hit me, please don't let them hit me, please don't let them hit me...\When you're that scared, you're more likely to get hit!\Bullets are attracted to cowardice! Be confident, and the bullets will run from\Mustang 33!\Use my orange color to guide you in.\Nao, that's too fast! response:	I'll drop using the decoys as a shield, and right after the objective leaves the clouds,
context: Drop!\Please don't let them hit me, please don't let them hit me, please don't let them hit me...\When you're that scared, you're more likely to get hit!\Bullets are attracted to cowardice! Be confident, and the bullets will run from\Mustang 33!\Use my orange color to guide you in.\Nao, that's too fast!\I'll drop using the decoys as a shield, and right after the objective leaves the clouds, response:	I'll fall until the very last second and then decelerate.
context: Please don't let them hit me, please don't let them hit me, please don't let them hit me...\When you're that scared, you're more likely to get hit!\Bullets are attracted to cowardice! Be confident, and the bullets will run from\Mustang 33!\Use my orange color to guide you in.\Nao, that's too fast!\I'll drop using the decoys as a shield, and right after the objective leaves the clouds,\I'll fall until the very last second and then decelerate. response:	Objective sighted.
context: When you're that scared, you're more likely to get hit!\Bullets are attracted to cowardice! Be confident, and the bullets will run from\Mustang 33!\Use my orange color to guide you in.\Nao, that's too fast!\I'll drop using the decoys as a shield, and right after the objective leaves the clouds,\I'll fall until the very last second and then decelerate.\Objective sighted. response:	Enemy Kataphrakt approaching!
context: Bullets are attracted to cowardice! Be confident, and the bullets will run from\Mustang 33!\Use my orange color to guide you in.\Nao, that's too fast!\I'll drop using the decoys as a shield, and right after the objective leaves the clouds,\I'll fall until the very last second and then decelerate.\Objective sighted.\Enemy Kataphrakt approaching! response:	Mustang 22, drop zone secured.
context: Mustang 33!\Use my orange color to guide you in.\Nao, that's too fast!\I'll drop using the decoys as a shield, and right after the objective leaves the clouds,\I'll fall until the very last second and then decelerate.\Objective sighted.\Enemy Kataphrakt approaching!\Mustang 22, drop zone secured. response:	Mustang 22, I have eyes on you. Approaching.
context: Use my orange color to guide you in.\Nao, that's too fast!\I'll drop using the decoys as a shield, and right after the objective leaves the clouds,\I'll fall until the very last second and then decelerate.\Objective sighted.\Enemy Kataphrakt approaching!\Mustang 22, drop zone secured.\Mustang 22, I have eyes on you. Approaching. response:	Don't do anything stupid, Nao!
context: Nao, that's too fast!\I'll drop using the decoys as a shield, and right after the objective leaves the clouds,\I'll fall until the very last second and then decelerate.\Objective sighted.\Enemy Kataphrakt approaching!\Mustang 22, drop zone secured.\Mustang 22, I have eyes on you. Approaching.\Don't do anything stupid, Nao! response:	The more I thinned out their AA guns, the easier it would be for the stragglers.
context: I'll drop using the decoys as a shield, and right after the objective leaves the clouds,\I'll fall until the very last second and then decelerate.\Objective sighted.\Enemy Kataphrakt approaching!\Mustang 22, drop zone secured.\Mustang 22, I have eyes on you. Approaching.\Don't do anything stupid, Nao!\The more I thinned out their AA guns, the easier it would be for the stragglers. response:	Hey, wait! Are you saying you did it to help me?!
context: I'll fall until the very last second and then decelerate.\Objective sighted.\Enemy Kataphrakt approaching!\Mustang 22, drop zone secured.\Mustang 22, I have eyes on you. Approaching.\Don't do anything stupid, Nao!\The more I thinned out their AA guns, the easier it would be for the stragglers.\Hey, wait! Are you saying you did it to help me?! response:	This isn't right. Comms are too clear.
context: Objective sighted.\Enemy Kataphrakt approaching!\Mustang 22, drop zone secured.\Mustang 22, I have eyes on you. Approaching.\Don't do anything stupid, Nao!\The more I thinned out their AA guns, the easier it would be for the stragglers.\Hey, wait! Are you saying you did it to help me?!\This isn't right. Comms are too clear. response:	Sorry this isn't first class, Princess!
context: Enemy Kataphrakt approaching!\Mustang 22, drop zone secured.\Mustang 22, I have eyes on you. Approaching.\Don't do anything stupid, Nao!\The more I thinned out their AA guns, the easier it would be for the stragglers.\Hey, wait! Are you saying you did it to help me?!\This isn't right. Comms are too clear.\Sorry this isn't first class, Princess! response:	Please don't go to any trouble over me.
context: Mustang 22, drop zone secured.\Mustang 22, I have eyes on you. Approaching.\Don't do anything stupid, Nao!\The more I thinned out their AA guns, the easier it would be for the stragglers.\Hey, wait! Are you saying you did it to help me?!\This isn't right. Comms are too clear.\Sorry this isn't first class, Princess!\Please don't go to any trouble over me. response:	Control to Princess 1. Stand by in drop position.
context: Mustang 22, I have eyes on you. Approaching.\Don't do anything stupid, Nao!\The more I thinned out their AA guns, the easier it would be for the stragglers.\Hey, wait! Are you saying you did it to help me?!\This isn't right. Comms are too clear.\Sorry this isn't first class, Princess!\Please don't go to any trouble over me.\Control to Princess 1. Stand by in drop position. response:	Roger. Princess 1, proceeding to drop position.
context: Don't do anything stupid, Nao!\The more I thinned out their AA guns, the easier it would be for the stragglers.\Hey, wait! Are you saying you did it to help me?!\This isn't right. Comms are too clear.\Sorry this isn't first class, Princess!\Please don't go to any trouble over me.\Control to Princess 1. Stand by in drop position.\Roger. Princess 1, proceeding to drop position. response:	Whatever happens, protect your fellow passenger. At any cost.
context: The more I thinned out their AA guns, the easier it would be for the stragglers.\Hey, wait! Are you saying you did it to help me?!\This isn't right. Comms are too clear.\Sorry this isn't first class, Princess!\Please don't go to any trouble over me.\Control to Princess 1. Stand by in drop position.\Roger. Princess 1, proceeding to drop position.\Whatever happens, protect your fellow passenger. At any cost. response:	Even your life.
context: Hey, wait! Are you saying you did it to help me?!\This isn't right. Comms are too clear.\Sorry this isn't first class, Princess!\Please don't go to any trouble over me.\Control to Princess 1. Stand by in drop position.\Roger. Princess 1, proceeding to drop position.\Whatever happens, protect your fellow passenger. At any cost.\Even your life. response:	Princess 1, prepare for drop.
context: This isn't right. Comms are too clear.\Sorry this isn't first class, Princess!\Please don't go to any trouble over me.\Control to Princess 1. Stand by in drop position.\Roger. Princess 1, proceeding to drop position.\Whatever happens, protect your fellow passenger. At any cost.\Even your life.\Princess 1, prepare for drop. response:	Princess 1, ready for drop.
context: Sorry this isn't first class, Princess!\Please don't go to any trouble over me.\Control to Princess 1. Stand by in drop position.\Roger. Princess 1, proceeding to drop position.\Whatever happens, protect your fellow passenger. At any cost.\Even your life.\Princess 1, prepare for drop.\Princess 1, ready for drop. response:	Princess 1, drop!
context: Please don't go to any trouble over me.\Control to Princess 1. Stand by in drop position.\Roger. Princess 1, proceeding to drop position.\Whatever happens, protect your fellow passenger. At any cost.\Even your life.\Princess 1, prepare for drop.\Princess 1, ready for drop.\Princess 1, drop! response:	Princess 1, dro-
context: Control to Princess 1. Stand by in drop position.\Roger. Princess 1, proceeding to drop position.\Whatever happens, protect your fellow passenger. At any cost.\Even your life.\Princess 1, prepare for drop.\Princess 1, ready for drop.\Princess 1, drop!\Princess 1, dro- response:	Enemy attack!
context: Roger. Princess 1, proceeding to drop position.\Whatever happens, protect your fellow passenger. At any cost.\Even your life.\Princess 1, prepare for drop.\Princess 1, ready for drop.\Princess 1, drop!\Princess 1, dro-\Enemy attack! response:	What happened?!
context: Whatever happens, protect your fellow passenger. At any cost.\Even your life.\Princess 1, prepare for drop.\Princess 1, ready for drop.\Princess 1, drop!\Princess 1, dro-\Enemy attack!\What happened?! response:	That can't be right... There's nothing on radar!
context: Even your life.\Princess 1, prepare for drop.\Princess 1, ready for drop.\Princess 1, drop!\Princess 1, dro-\Enemy attack!\What happened?!\That can't be right... There's nothing on radar! response:	Anti-air warfare!
context: Princess 1, prepare for drop.\Princess 1, ready for drop.\Princess 1, drop!\Princess 1, dro-\Enemy attack!\What happened?!\That can't be right... There's nothing on radar!\Anti-air warfare! response:	Protect the Deucalion!
context: Princess 1, ready for drop.\Princess 1, drop!\Princess 1, dro-\Enemy attack!\What happened?!\That can't be right... There's nothing on radar!\Anti-air warfare!\Protect the Deucalion! response:	The Deucalion...
context: Princess 1, drop!\Princess 1, dro-\Enemy attack!\What happened?!\That can't be right... There's nothing on radar!\Anti-air warfare!\Protect the Deucalion!\The Deucalion... response:	They transplanted the Aldnoah from the other machine,
context: Princess 1, dro-\Enemy attack!\What happened?!\That can't be right... There's nothing on radar!\Anti-air warfare!\Protect the Deucalion!\The Deucalion...\They transplanted the Aldnoah from the other machine, response:	but with Orlane dead, they could not activate it...
context: Enemy attack!\What happened?!\That can't be right... There's nothing on radar!\Anti-air warfare!\Protect the Deucalion!\The Deucalion...\They transplanted the Aldnoah from the other machine,\but with Orlane dead, they could not activate it... response:	So, it was Princess Asseylum who activated it, then.
context: What happened?!\That can't be right... There's nothing on radar!\Anti-air warfare!\Protect the Deucalion!\The Deucalion...\They transplanted the Aldnoah from the other machine,\but with Orlane dead, they could not activate it...\So, it was Princess Asseylum who activated it, then. response:	Accursed ship!
context: That can't be right... There's nothing on radar!\Anti-air warfare!\Protect the Deucalion!\The Deucalion...\They transplanted the Aldnoah from the other machine,\but with Orlane dead, they could not activate it...\So, it was Princess Asseylum who activated it, then.\Accursed ship! response:	Mustang 44!
context: Anti-air warfare!\Protect the Deucalion!\The Deucalion...\They transplanted the Aldnoah from the other machine,\but with Orlane dead, they could not activate it...\So, it was Princess Asseylum who activated it, then.\Accursed ship!\Mustang 44! response:	Son of a bitch!
context: Protect the Deucalion!\The Deucalion...\They transplanted the Aldnoah from the other machine,\but with Orlane dead, they could not activate it...\So, it was Princess Asseylum who activated it, then.\Accursed ship!\Mustang 44!\Son of a bitch! response:	Damage report...
context: The Deucalion...\They transplanted the Aldnoah from the other machine,\but with Orlane dead, they could not activate it...\So, it was Princess Asseylum who activated it, then.\Accursed ship!\Mustang 44!\Son of a bitch!\Damage report... response:	Starboard side, antigravity devices 2 through 7 offline...
context: They transplanted the Aldnoah from the other machine,\but with Orlane dead, they could not activate it...\So, it was Princess Asseylum who activated it, then.\Accursed ship!\Mustang 44!\Son of a bitch!\Damage report...\Starboard side, antigravity devices 2 through 7 offline... response:	We are losing altitude...
context: but with Orlane dead, they could not activate it...\So, it was Princess Asseylum who activated it, then.\Accursed ship!\Mustang 44!\Son of a bitch!\Damage report...\Starboard side, antigravity devices 2 through 7 offline...\We are losing altitude... response:	Funnel all our energy into propulsion!
context: So, it was Princess Asseylum who activated it, then.\Accursed ship!\Mustang 44!\Son of a bitch!\Damage report...\Starboard side, antigravity devices 2 through 7 offline...\We are losing altitude...\Funnel all our energy into propulsion! response:	Set course for...
context: Accursed ship!\Mustang 44!\Son of a bitch!\Damage report...\Starboard side, antigravity devices 2 through 7 offline...\We are losing altitude...\Funnel all our energy into propulsion!\Set course for... response:	We'll board the damn thing with this ship!
context: Mustang 44!\Son of a bitch!\Damage report...\Starboard side, antigravity devices 2 through 7 offline...\We are losing altitude...\Funnel all our energy into propulsion!\Set course for...\We'll board the damn thing with this ship! response:	Where's Seylum?!
context: Son of a bitch!\Damage report...\Starboard side, antigravity devices 2 through 7 offline...\We are losing altitude...\Funnel all our energy into propulsion!\Set course for...\We'll board the damn thing with this ship!\Where's Seylum?! response:	I haven't gotten the signal yet!
context: Damage report...\Starboard side, antigravity devices 2 through 7 offline...\We are losing altitude...\Funnel all our energy into propulsion!\Set course for...\We'll board the damn thing with this ship!\Where's Seylum?!\I haven't gotten the signal yet! response:	Warrant Officer Kaizuka! Three o'clock!
context: Starboard side, antigravity devices 2 through 7 offline...\We are losing altitude...\Funnel all our energy into propulsion!\Set course for...\We'll board the damn thing with this ship!\Where's Seylum?!\I haven't gotten the signal yet!\Warrant Officer Kaizuka! Three o'clock! response:	That's... the Deucalion?
context: We are losing altitude...\Funnel all our energy into propulsion!\Set course for...\We'll board the damn thing with this ship!\Where's Seylum?!\I haven't gotten the signal yet!\Warrant Officer Kaizuka! Three o'clock!\That's... the Deucalion? response:	All units, scatter!
