context: Kill... the Symbol of Peace. response:	Nice to meet you.
context: That's wonderful, but it's nothing impressive.\In the face of overwhelming power...\It's like he's breaking a twig...\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\M-M-Midoriya, I can't take it anymore.\I'm sure you must be having second thoughts, right? response:	Ribbit...
context: In the face of overwhelming power...\It's like he's breaking a twig...\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\M-M-Midoriya, I can't take it anymore.\I'm sure you must be having second thoughts, right?\Ribbit... response:	Shigaraki Tomura.
context: It's like he's breaking a twig...\I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\M-M-Midoriya, I can't take it anymore.\I'm sure you must be having second thoughts, right?\Ribbit...\Shigaraki Tomura. response:	Kurogiri, did you kill Thirteen?
context: I'm sure I erased his Quirk.\That means he is just that strong.\He's as strong as All Might...\M-M-Midoriya, I can't take it anymore.\I'm sure you must be having second thoughts, right?\Ribbit...\Shigaraki Tomura.\Kurogiri, did you kill Thirteen? response:	I put Thirteen out of action, but there were students that I was unable to disperse...
context: That means he is just that strong.\He's as strong as All Might...\M-M-Midoriya, I can't take it anymore.\I'm sure you must be having second thoughts, right?\Ribbit...\Shigaraki Tomura.\Kurogiri, did you kill Thirteen?\I put Thirteen out of action, but there were students that I was unable to disperse... response:	Huh?
context: He's as strong as All Might...\M-M-Midoriya, I can't take it anymore.\I'm sure you must be having second thoughts, right?\Ribbit...\Shigaraki Tomura.\Kurogiri, did you kill Thirteen?\I put Thirteen out of action, but there were students that I was unable to disperse...\Huh? response:	Kurogiri... you...!
context: M-M-Midoriya, I can't take it anymore.\I'm sure you must be having second thoughts, right?\Ribbit...\Shigaraki Tomura.\Kurogiri, did you kill Thirteen?\I put Thirteen out of action, but there were students that I was unable to disperse...\Huh?\Kurogiri... you...! response:	If you weren't a warp gate, I would have crushed you to pieces!
context: I'm sure you must be having second thoughts, right?\Ribbit...\Shigaraki Tomura.\Kurogiri, did you kill Thirteen?\I put Thirteen out of action, but there were students that I was unable to disperse...\Huh?\Kurogiri... you...!\If you weren't a warp gate, I would have crushed you to pieces! response:	We can't win against dozens of pros.
context: Ribbit...\Shigaraki Tomura.\Kurogiri, did you kill Thirteen?\I put Thirteen out of action, but there were students that I was unable to disperse...\Huh?\Kurogiri... you...!\If you weren't a warp gate, I would have crushed you to pieces!\We can't win against dozens of pros. response:	It's game over.
context: Shigaraki Tomura.\Kurogiri, did you kill Thirteen?\I put Thirteen out of action, but there were students that I was unable to disperse...\Huh?\Kurogiri... you...!\If you weren't a warp gate, I would have crushed you to pieces!\We can't win against dozens of pros.\It's game over. response:	Man, it's game over this time.
context: Kurogiri, did you kill Thirteen?\I put Thirteen out of action, but there were students that I was unable to disperse...\Huh?\Kurogiri... you...!\If you weren't a warp gate, I would have crushed you to pieces!\We can't win against dozens of pros.\It's game over.\Man, it's game over this time. response:	Let's go home.
context: I put Thirteen out of action, but there were students that I was unable to disperse...\Huh?\Kurogiri... you...!\If you weren't a warp gate, I would have crushed you to pieces!\We can't win against dozens of pros.\It's game over.\Man, it's game over this time.\Let's go home. response:	They're going home?
context: Huh?\Kurogiri... you...!\If you weren't a warp gate, I would have crushed you to pieces!\We can't win against dozens of pros.\It's game over.\Man, it's game over this time.\Let's go home.\They're going home? response:	Did he say they're going home?
context: Kurogiri... you...!\If you weren't a warp gate, I would have crushed you to pieces!\We can't win against dozens of pros.\It's game over.\Man, it's game over this time.\Let's go home.\They're going home?\Did he say they're going home? response:	That's what I heard.
context: If you weren't a warp gate, I would have crushed you to pieces!\We can't win against dozens of pros.\It's game over.\Man, it's game over this time.\Let's go home.\They're going home?\Did he say they're going home?\That's what I heard. response:	A-All right!
context: We can't win against dozens of pros.\It's game over.\Man, it's game over this time.\Let's go home.\They're going home?\Did he say they're going home?\That's what I heard.\A-All right! response:	We're saved!
context: It's game over.\Man, it's game over this time.\Let's go home.\They're going home?\Did he say they're going home?\That's what I heard.\A-All right!\We're saved! response:	Yes, but...
context: Man, it's game over this time.\Let's go home.\They're going home?\Did he say they're going home?\That's what I heard.\A-All right!\We're saved!\Yes, but... response:	I have a bad feeling about this, Midoriya.
context: Let's go home.\They're going home?\Did he say they're going home?\That's what I heard.\A-All right!\We're saved!\Yes, but...\I have a bad feeling about this, Midoriya. response:	Yeah.
context: They're going home?\Did he say they're going home?\That's what I heard.\A-All right!\We're saved!\Yes, but...\I have a bad feeling about this, Midoriya.\Yeah. response:	For them to simply retreat after doing all this...
context: Did he say they're going home?\That's what I heard.\A-All right!\We're saved!\Yes, but...\I have a bad feeling about this, Midoriya.\Yeah.\For them to simply retreat after doing all this... response:	Don't they want to kill All Might?
context: That's what I heard.\A-All right!\We're saved!\Yes, but...\I have a bad feeling about this, Midoriya.\Yeah.\For them to simply retreat after doing all this...\Don't they want to kill All Might? response:	If they leave like this, U.A. will just beef up their security.
context: A-All right!\We're saved!\Yes, but...\I have a bad feeling about this, Midoriya.\Yeah.\For them to simply retreat after doing all this...\Don't they want to kill All Might?\If they leave like this, U.A. will just beef up their security. response:	Game over?
context: We're saved!\Yes, but...\I have a bad feeling about this, Midoriya.\Yeah.\For them to simply retreat after doing all this...\Don't they want to kill All Might?\If they leave like this, U.A. will just beef up their security.\Game over? response:	What is it?
context: Yes, but...\I have a bad feeling about this, Midoriya.\Yeah.\For them to simply retreat after doing all this...\Don't they want to kill All Might?\If they leave like this, U.A. will just beef up their security.\Game over?\What is it? response:	What are those guys planning?
context: I have a bad feeling about this, Midoriya.\Yeah.\For them to simply retreat after doing all this...\Don't they want to kill All Might?\If they leave like this, U.A. will just beef up their security.\Game over?\What is it?\What are those guys planning? response:	Oh, yeah.
context: Yeah.\For them to simply retreat after doing all this...\Don't they want to kill All Might?\If they leave like this, U.A. will just beef up their security.\Game over?\What is it?\What are those guys planning?\Oh, yeah. response:	Before we leave,
context: For them to simply retreat after doing all this...\Don't they want to kill All Might?\If they leave like this, U.A. will just beef up their security.\Game over?\What is it?\What are those guys planning?\Oh, yeah.\Before we leave, response:	let's smash some of his pride as the Symbol of Peace!
context: Don't they want to kill All Might?\If they leave like this, U.A. will just beef up their security.\Game over?\What is it?\What are those guys planning?\Oh, yeah.\Before we leave,\let's smash some of his pride as the Symbol of Peace! response:	Tch.
context: If they leave like this, U.A. will just beef up their security.\Game over?\What is it?\What are those guys planning?\Oh, yeah.\Before we leave,\let's smash some of his pride as the Symbol of Peace!\Tch. response:	You really are cool...
context: Game over?\What is it?\What are those guys planning?\Oh, yeah.\Before we leave,\let's smash some of his pride as the Symbol of Peace!\Tch.\You really are cool... response:	Crap, crap, crap, crap!
context: What is it?\What are those guys planning?\Oh, yeah.\Before we leave,\let's smash some of his pride as the Symbol of Peace!\Tch.\You really are cool...\Crap, crap, crap, crap! response:	He's clearly different from our earlier opponents!
context: What are those guys planning?\Oh, yeah.\Before we leave,\let's smash some of his pride as the Symbol of Peace!\Tch.\You really are cool...\Crap, crap, crap, crap!\He's clearly different from our earlier opponents! response:	I've gotta save Asui and run away!
context: Oh, yeah.\Before we leave,\let's smash some of his pride as the Symbol of Peace!\Tch.\You really are cool...\Crap, crap, crap, crap!\He's clearly different from our earlier opponents!\I've gotta save Asui and run away! response:	Let go of her!
context: Before we leave,\let's smash some of his pride as the Symbol of Peace!\Tch.\You really are cool...\Crap, crap, crap, crap!\He's clearly different from our earlier opponents!\I've gotta save Asui and run away!\Let go of her! response:	Smash...!
context: let's smash some of his pride as the Symbol of Peace!\Tch.\You really are cool...\Crap, crap, crap, crap!\He's clearly different from our earlier opponents!\I've gotta save Asui and run away!\Let go of her!\Smash...! response:	My arm's not broken?!
context: Tch.\You really are cool...\Crap, crap, crap, crap!\He's clearly different from our earlier opponents!\I've gotta save Asui and run away!\Let go of her!\Smash...!\My arm's not broken?! response:	I'm finally able to control my power at a time like this?
context: You really are cool...\Crap, crap, crap, crap!\He's clearly different from our earlier opponents!\I've gotta save Asui and run away!\Let go of her!\Smash...!\My arm's not broken?!\I'm finally able to control my power at a time like this? response:	I did it!
context: Crap, crap, crap, crap!\He's clearly different from our earlier opponents!\I've gotta save Asui and run away!\Let go of her!\Smash...!\My arm's not broken?!\I'm finally able to control my power at a time like this?\I did it! response:	I was able to get in a good smash!
context: He's clearly different from our earlier opponents!\I've gotta save Asui and run away!\Let go of her!\Smash...!\My arm's not broken?!\I'm finally able to control my power at a time like this?\I did it!\I was able to get in a good smash! response:	All right!
context: I've gotta save Asui and run away!\Let go of her!\Smash...!\My arm's not broken?!\I'm finally able to control my power at a time like this?\I did it!\I was able to get in a good smash!\All right! response:	When in the world...
context: Let go of her!\Smash...!\My arm's not broken?!\I'm finally able to control my power at a time like this?\I did it!\I was able to get in a good smash!\All right!\When in the world... response:	Wait, it didn't... hurt him...?
context: Smash...!\My arm's not broken?!\I'm finally able to control my power at a time like this?\I did it!\I was able to get in a good smash!\All right!\When in the world...\Wait, it didn't... hurt him...? response:	Don't you think they are trying so hard because they have a way to kill him?
context: My arm's not broken?!\I'm finally able to control my power at a time like this?\I did it!\I was able to get in a good smash!\All right!\When in the world...\Wait, it didn't... hurt him...?\Don't you think they are trying so hard because they have a way to kill him? response:	No way...
context: I'm finally able to control my power at a time like this?\I did it!\I was able to get in a good smash!\All right!\When in the world...\Wait, it didn't... hurt him...?\Don't you think they are trying so hard because they have a way to kill him?\No way... response:	You move well.
context: I did it!\I was able to get in a good smash!\All right!\When in the world...\Wait, it didn't... hurt him...?\Don't you think they are trying so hard because they have a way to kill him?\No way...\You move well. response:	Your Smash
context: I was able to get in a good smash!\All right!\When in the world...\Wait, it didn't... hurt him...?\Don't you think they are trying so hard because they have a way to kill him?\No way...\You move well.\Your Smash response:	Are you a follower of All Might's?
context: All right!\When in the world...\Wait, it didn't... hurt him...?\Don't you think they are trying so hard because they have a way to kill him?\No way...\You move well.\Your Smash\Are you a follower of All Might's? response:	Oh well.
context: When in the world...\Wait, it didn't... hurt him...?\Don't you think they are trying so hard because they have a way to kill him?\No way...\You move well.\Your Smash\Are you a follower of All Might's?\Oh well. response:	I'm done with you.
context: Wait, it didn't... hurt him...?\Don't you think they are trying so hard because they have a way to kill him?\No way...\You move well.\Your Smash\Are you a follower of All Might's?\Oh well.\I'm done with you. response:	Ribbit!
context: Don't you think they are trying so hard because they have a way to kill him?\No way...\You move well.\Your Smash\Are you a follower of All Might's?\Oh well.\I'm done with you.\Ribbit! response:	It's fine now.
context: No way...\You move well.\Your Smash\Are you a follower of All Might's?\Oh well.\I'm done with you.\Ribbit!\It's fine now. response:	I am here!
context: You move well.\Your Smash\Are you a follower of All Might's?\Oh well.\I'm done with you.\Ribbit!\It's fine now.\I am here! response:	All Might!
context: Your Smash\Are you a follower of All Might's?\Oh well.\I'm done with you.\Ribbit!\It's fine now.\I am here!\All Might! response:	Ribbit...
context: Are you a follower of All Might's?\Oh well.\I'm done with you.\Ribbit!\It's fine now.\I am here!\All Might!\Ribbit... response:	All... Might...
context: Oh well.\I'm done with you.\Ribbit!\It's fine now.\I am here!\All Might!\Ribbit...\All... Might... response:	Ah...
context: I'm done with you.\Ribbit!\It's fine now.\I am here!\All Might!\Ribbit...\All... Might...\Ah... response:	It's fine now.
context: Ribbit!\It's fine now.\I am here!\All Might!\Ribbit...\All... Might...\Ah...\It's fine now. response:	I am here!
context: It's fine now.\I am here!\All Might!\Ribbit...\All... Might...\Ah...\It's fine now.\I am here! response:	Next time, All Might.
context: I am here!\All Might!\Ribbit...\All... Might...\Ah...\It's fine now.\I am here!\Next time, All Might. response:	As you can see, they will keep going after my weakness!
context: All Might!\Ribbit...\All... Might...\Ah...\It's fine now.\I am here!\Next time, All Might.\As you can see, they will keep going after my weakness! response:	Go beyond!
context: Ribbit...\All... Might...\Ah...\It's fine now.\I am here!\Next time, All Might.\As you can see, they will keep going after my weakness!\Go beyond! response:	Plus Ultra!
context: All... Might...\Ah...\It's fine now.\I am here!\Next time, All Might.\As you can see, they will keep going after my weakness!\Go beyond!\Plus Ultra! response:	Plus Ultra!
context: Ah...\It's fine now.\I am here!\Next time, All Might.\As you can see, they will keep going after my weakness!\Go beyond!\Plus Ultra!\Plus Ultra! response:	mutter mutter mutter mutter mutter mutter mutter mutter
context: It's fine now.\I am here!\Next time, All Might.\As you can see, they will keep going after my weakness!\Go beyond!\Plus Ultra!\Plus Ultra!\mutter mutter mutter mutter mutter mutter mutter mutter response:	Episode 11: Game Over
context: I am here!\Next time, All Might.\As you can see, they will keep going after my weakness!\Go beyond!\Plus Ultra!\Plus Ultra!\mutter mutter mutter mutter mutter mutter mutter mutter\Episode 11: Game Over response:	Landslide Zone
context: Next time, All Might.\As you can see, they will keep going after my weakness!\Go beyond!\Plus Ultra!\Plus Ultra!\mutter mutter mutter mutter mutter mutter mutter mutter\Episode 11: Game Over\Landslide Zone response:	Mountain Zone
context: As you can see, they will keep going after my weakness!\Go beyond!\Plus Ultra!\Plus Ultra!\mutter mutter mutter mutter mutter mutter mutter mutter\Episode 11: Game Over\Landslide Zone\Mountain Zone response:	Ji rou Kyouka
context: Go beyond!\Plus Ultra!\Plus Ultra!\mutter mutter mutter mutter mutter mutter mutter mutter\Episode 11: Game Over\Landslide Zone\Mountain Zone\Ji rou Kyouka response:	Quirk: E arphone Jack
context: Plus Ultra!\Plus Ultra!\mutter mutter mutter mutter mutter mutter mutter mutter\Episode 11: Game Over\Landslide Zone\Mountain Zone\Ji rou Kyouka\Quirk: E arphone Jack response:	Ya oyorozu Momo
context: Plus Ultra!\mutter mutter mutter mutter mutter mutter mutter mutter\Episode 11: Game Over\Landslide Zone\Mountain Zone\Ji rou Kyouka\Quirk: E arphone Jack\Ya oyorozu Momo response:	Crea tion
context: mutter mutter mutter mutter mutter mutter mutter mutter\Episode 11: Game Over\Landslide Zone\Mountain Zone\Ji rou Kyouka\Quirk: E arphone Jack\Ya oyorozu Momo\Crea tion response:	Kami nari Denki
context: Episode 11: Game Over\Landslide Zone\Mountain Zone\Ji rou Kyouka\Quirk: E arphone Jack\Ya oyorozu Momo\Crea tion\Kami nari Denki response:	Electrifi cation
context: Landslide Zone\Mountain Zone\Ji rou Kyouka\Quirk: E arphone Jack\Ya oyorozu Momo\Crea tion\Kami nari Denki\Electrifi cation response:	Collapse Zone
context: Mountain Zone\Ji rou Kyouka\Quirk: E arphone Jack\Ya oyorozu Momo\Crea tion\Kami nari Denki\Electrifi cation\Collapse Zone response:	Die!!
context: Ji rou Kyouka\Quirk: E arphone Jack\Ya oyorozu Momo\Crea tion\Kami nari Denki\Electrifi cation\Collapse Zone\Die!! response:	Die!!
context: Quirk: E arphone Jack\Ya oyorozu Momo\Crea tion\Kami nari Denki\Electrifi cation\Collapse Zone\Die!!\Die!! response:	Die!!
context: Ya oyorozu Momo\Crea tion\Kami nari Denki\Electrifi cation\Collapse Zone\Die!!\Die!!\Die!! response:	Die!!
context: Crea tion\Kami nari Denki\Electrifi cation\Collapse Zone\Die!!\Die!!\Die!!\Die!! response:	Die!!
context: Kami nari Denki\Electrifi cation\Collapse Zone\Die!!\Die!!\Die!!\Die!!\Die!! response:	Die!!
context: Electrifi cation\Collapse Zone\Die!!\Die!!\Die!!\Die!!\Die!!\Die!! response:	Die!!
context: Collapse Zone\Die!!\Die!!\Die!!\Die!!\Die!!\Die!!\Die!! response:	Die!!
context: Die!!\Die!!\Die!!\Die!!\Die!!\Die!!\Die!!\Die!! response:	Fire Zone
context: Die!!\Die!!\Die!!\Die!!\Die!!\Die!!\Die!!\Fire Zone response:	Squall Zone
context: Die!!\Die!!\Die!!\Die!!\Die!!\Die!!\Fire Zone\Squall Zone response:	Next time
context: Die!!\Die!!\Die!!\Die!!\Die!!\Fire Zone\Squall Zone\Next time response:	Next time: All Might
