context: Hajime-chan, you were already my favorite the moment I met you. response:	I felt you accepted me for who I was right away,
context: Okay.\Uh, I'm Sugayama.\Gatcha...\Uh... So Tachikawa citizens...\Please register on GALAX as soon as possible.\Use GALAX to figure out what you can do... Huh?\What's this?\Lame-o Prime Minister response:	Who are you calling lame?!
context: Uh, I'm Sugayama.\Gatcha...\Uh... So Tachikawa citizens...\Please register on GALAX as soon as possible.\Use GALAX to figure out what you can do... Huh?\What's this?\Lame-o Prime Minister\Who are you calling lame?! response:	Bite and Build!
context: Gatcha...\Uh... So Tachikawa citizens...\Please register on GALAX as soon as possible.\Use GALAX to figure out what you can do... Huh?\What's this?\Lame-o Prime Minister\Who are you calling lame?!\Bite and Build! response:	To all G members!
context: Uh... So Tachikawa citizens...\Please register on GALAX as soon as possible.\Use GALAX to figure out what you can do... Huh?\What's this?\Lame-o Prime Minister\Who are you calling lame?!\Bite and Build!\To all G members! response:	I will keep the CROWDS coming from Hino at bay!
context: Please register on GALAX as soon as possible.\Use GALAX to figure out what you can do... Huh?\What's this?\Lame-o Prime Minister\Who are you calling lame?!\Bite and Build!\To all G members!\I will keep the CROWDS coming from Hino at bay! response:	Jou, cover the train station!
context: Use GALAX to figure out what you can do... Huh?\What's this?\Lame-o Prime Minister\Who are you calling lame?!\Bite and Build!\To all G members!\I will keep the CROWDS coming from Hino at bay!\Jou, cover the train station! response:	Sugane, defend the school!
context: What's this?\Lame-o Prime Minister\Who are you calling lame?!\Bite and Build!\To all G members!\I will keep the CROWDS coming from Hino at bay!\Jou, cover the train station!\Sugane, defend the school! response:	Understood!
context: Lame-o Prime Minister\Who are you calling lame?!\Bite and Build!\To all G members!\I will keep the CROWDS coming from Hino at bay!\Jou, cover the train station!\Sugane, defend the school!\Understood! response:	Utsutsu, protect the river!
context: Who are you calling lame?!\Bite and Build!\To all G members!\I will keep the CROWDS coming from Hino at bay!\Jou, cover the train station!\Sugane, defend the school!\Understood!\Utsutsu, protect the river! response:	Roger!
context: Bite and Build!\To all G members!\I will keep the CROWDS coming from Hino at bay!\Jou, cover the train station!\Sugane, defend the school!\Understood!\Utsutsu, protect the river!\Roger! response:	Go, my fragments!
context: To all G members!\I will keep the CROWDS coming from Hino at bay!\Jou, cover the train station!\Sugane, defend the school!\Understood!\Utsutsu, protect the river!\Roger!\Go, my fragments! response:	Understood!
context: I will keep the CROWDS coming from Hino at bay!\Jou, cover the train station!\Sugane, defend the school!\Understood!\Utsutsu, protect the river!\Roger!\Go, my fragments!\Understood! response:	I'm gloomy...
context: Jou, cover the train station!\Sugane, defend the school!\Understood!\Utsutsu, protect the river!\Roger!\Go, my fragments!\Understood!\I'm gloomy... response:	Hajime, cover the park!
context: Sugane, defend the school!\Understood!\Utsutsu, protect the river!\Roger!\Go, my fragments!\Understood!\I'm gloomy...\Hajime, cover the park! response:	Sure thing, Pai-Pai!
context: Understood!\Utsutsu, protect the river!\Roger!\Go, my fragments!\Understood!\I'm gloomy...\Hajime, cover the park!\Sure thing, Pai-Pai! response:	Die?
context: Utsutsu, protect the river!\Roger!\Go, my fragments!\Understood!\I'm gloomy...\Hajime, cover the park!\Sure thing, Pai-Pai!\Die? response:	How can you even say that to someone you've never met?
context: Roger!\Go, my fragments!\Understood!\I'm gloomy...\Hajime, cover the park!\Sure thing, Pai-Pai!\Die?\How can you even say that to someone you've never met? response:	I have a family, too!
context: Go, my fragments!\Understood!\I'm gloomy...\Hajime, cover the park!\Sure thing, Pai-Pai!\Die?\How can you even say that to someone you've never met?\I have a family, too! response:	They'd be heartbroken if they were watching right now!
context: Understood!\I'm gloomy...\Hajime, cover the park!\Sure thing, Pai-Pai!\Die?\How can you even say that to someone you've never met?\I have a family, too!\They'd be heartbroken if they were watching right now! response:	Have you ever thought of that? Huh?
context: I'm gloomy...\Hajime, cover the park!\Sure thing, Pai-Pai!\Die?\How can you even say that to someone you've never met?\I have a family, too!\They'd be heartbroken if they were watching right now!\Have you ever thought of that? Huh? response:	Wow.
context: Hajime, cover the park!\Sure thing, Pai-Pai!\Die?\How can you even say that to someone you've never met?\I have a family, too!\They'd be heartbroken if they were watching right now!\Have you ever thought of that? Huh?\Wow. response:	Don't give me that crap!
context: Sure thing, Pai-Pai!\Die?\How can you even say that to someone you've never met?\I have a family, too!\They'd be heartbroken if they were watching right now!\Have you ever thought of that? Huh?\Wow.\Don't give me that crap! response:	I'm just me!
context: Die?\How can you even say that to someone you've never met?\I have a family, too!\They'd be heartbroken if they were watching right now!\Have you ever thought of that? Huh?\Wow.\Don't give me that crap!\I'm just me! response:	Keep going, Suga-yan!
context: How can you even say that to someone you've never met?\I have a family, too!\They'd be heartbroken if they were watching right now!\Have you ever thought of that? Huh?\Wow.\Don't give me that crap!\I'm just me!\Keep going, Suga-yan! response:	Sugayama respect
context: I have a family, too!\They'd be heartbroken if they were watching right now!\Have you ever thought of that? Huh?\Wow.\Don't give me that crap!\I'm just me!\Keep going, Suga-yan!\Sugayama respect response:	Each location of the CROWDS is marked by an X,
context: They'd be heartbroken if they were watching right now!\Have you ever thought of that? Huh?\Wow.\Don't give me that crap!\I'm just me!\Keep going, Suga-yan!\Sugayama respect\Each location of the CROWDS is marked by an X, response:	and the Gatchaman's combat locations are marked by stars.
context: Have you ever thought of that? Huh?\Wow.\Don't give me that crap!\I'm just me!\Keep going, Suga-yan!\Sugayama respect\Each location of the CROWDS is marked by an X,\and the Gatchaman's combat locations are marked by stars. response:	Please split up and protect the citizens from the CROWDS.
context: Wow.\Don't give me that crap!\I'm just me!\Keep going, Suga-yan!\Sugayama respect\Each location of the CROWDS is marked by an X,\and the Gatchaman's combat locations are marked by stars.\Please split up and protect the citizens from the CROWDS. response:	Roger!
context: Don't give me that crap!\I'm just me!\Keep going, Suga-yan!\Sugayama respect\Each location of the CROWDS is marked by an X,\and the Gatchaman's combat locations are marked by stars.\Please split up and protect the citizens from the CROWDS.\Roger! response:	Everyone, don't worry!
context: I'm just me!\Keep going, Suga-yan!\Sugayama respect\Each location of the CROWDS is marked by an X,\and the Gatchaman's combat locations are marked by stars.\Please split up and protect the citizens from the CROWDS.\Roger!\Everyone, don't worry! response:	There are no CROWDS in this area, at the moment.
context: Keep going, Suga-yan!\Sugayama respect\Each location of the CROWDS is marked by an X,\and the Gatchaman's combat locations are marked by stars.\Please split up and protect the citizens from the CROWDS.\Roger!\Everyone, don't worry!\There are no CROWDS in this area, at the moment. response:	Even if they attack,
context: Sugayama respect\Each location of the CROWDS is marked by an X,\and the Gatchaman's combat locations are marked by stars.\Please split up and protect the citizens from the CROWDS.\Roger!\Everyone, don't worry!\There are no CROWDS in this area, at the moment.\Even if they attack, response:	we, with the help of the Gatchaman, will hold them off with everything we've got!
context: Each location of the CROWDS is marked by an X,\and the Gatchaman's combat locations are marked by stars.\Please split up and protect the citizens from the CROWDS.\Roger!\Everyone, don't worry!\There are no CROWDS in this area, at the moment.\Even if they attack,\we, with the help of the Gatchaman, will hold them off with everything we've got! response:	Thank goodness...
context: and the Gatchaman's combat locations are marked by stars.\Please split up and protect the citizens from the CROWDS.\Roger!\Everyone, don't worry!\There are no CROWDS in this area, at the moment.\Even if they attack,\we, with the help of the Gatchaman, will hold them off with everything we've got!\Thank goodness... response:	Thanks.
context: Please split up and protect the citizens from the CROWDS.\Roger!\Everyone, don't worry!\There are no CROWDS in this area, at the moment.\Even if they attack,\we, with the help of the Gatchaman, will hold them off with everything we've got!\Thank goodness...\Thanks. response:	We're counting on you!
context: Roger!\Everyone, don't worry!\There are no CROWDS in this area, at the moment.\Even if they attack,\we, with the help of the Gatchaman, will hold them off with everything we've got!\Thank goodness...\Thanks.\We're counting on you! response:	Stay strong!
context: Everyone, don't worry!\There are no CROWDS in this area, at the moment.\Even if they attack,\we, with the help of the Gatchaman, will hold them off with everything we've got!\Thank goodness...\Thanks.\We're counting on you!\Stay strong! response:	GALAX users, please keep an eye on updates
context: There are no CROWDS in this area, at the moment.\Even if they attack,\we, with the help of the Gatchaman, will hold them off with everything we've got!\Thank goodness...\Thanks.\We're counting on you!\Stay strong!\GALAX users, please keep an eye on updates response:	and relay information to non-GALAX users!
context: Even if they attack,\we, with the help of the Gatchaman, will hold them off with everything we've got!\Thank goodness...\Thanks.\We're counting on you!\Stay strong!\GALAX users, please keep an eye on updates\and relay information to non-GALAX users! response:	You fix it, bastard!
context: we, with the help of the Gatchaman, will hold them off with everything we've got!\Thank goodness...\Thanks.\We're counting on you!\Stay strong!\GALAX users, please keep an eye on updates\and relay information to non-GALAX users!\You fix it, bastard! response:	Negligence
context: Thank goodness...\Thanks.\We're counting on you!\Stay strong!\GALAX users, please keep an eye on updates\and relay information to non-GALAX users!\You fix it, bastard!\Negligence response:	You fix it, bastard?
context: Thanks.\We're counting on you!\Stay strong!\GALAX users, please keep an eye on updates\and relay information to non-GALAX users!\You fix it, bastard!\Negligence\You fix it, bastard? response:	You're the leader, aren't you?
context: We're counting on you!\Stay strong!\GALAX users, please keep an eye on updates\and relay information to non-GALAX users!\You fix it, bastard!\Negligence\You fix it, bastard?\You're the leader, aren't you? response:	You're living life off our taxes!
context: Stay strong!\GALAX users, please keep an eye on updates\and relay information to non-GALAX users!\You fix it, bastard!\Negligence\You fix it, bastard?\You're the leader, aren't you?\You're living life off our taxes! response:	The country's in danger!
context: GALAX users, please keep an eye on updates\and relay information to non-GALAX users!\You fix it, bastard!\Negligence\You fix it, bastard?\You're the leader, aren't you?\You're living life off our taxes!\The country's in danger! response:	So you think someone else will always figure it out, don't you?!
context: and relay information to non-GALAX users!\You fix it, bastard!\Negligence\You fix it, bastard?\You're the leader, aren't you?\You're living life off our taxes!\The country's in danger!\So you think someone else will always figure it out, don't you?! response:	GALAX is too scary to use!
context: You fix it, bastard!\Negligence\You fix it, bastard?\You're the leader, aren't you?\You're living life off our taxes!\The country's in danger!\So you think someone else will always figure it out, don't you?!\GALAX is too scary to use! response:	Now you're pissed at us?
context: Negligence\You fix it, bastard?\You're the leader, aren't you?\You're living life off our taxes!\The country's in danger!\So you think someone else will always figure it out, don't you?!\GALAX is too scary to use!\Now you're pissed at us? response:	He's pissed and you're the PM?
context: You fix it, bastard?\You're the leader, aren't you?\You're living life off our taxes!\The country's in danger!\So you think someone else will always figure it out, don't you?!\GALAX is too scary to use!\Now you're pissed at us?\He's pissed and you're the PM? response:	Pissed
context: You're the leader, aren't you?\You're living life off our taxes!\The country's in danger!\So you think someone else will always figure it out, don't you?!\GALAX is too scary to use!\Now you're pissed at us?\He's pissed and you're the PM?\Pissed response:	True colors showing!
context: You're living life off our taxes!\The country's in danger!\So you think someone else will always figure it out, don't you?!\GALAX is too scary to use!\Now you're pissed at us?\He's pissed and you're the PM?\Pissed\True colors showing! response:	True self's showing, SG
context: The country's in danger!\So you think someone else will always figure it out, don't you?!\GALAX is too scary to use!\Now you're pissed at us?\He's pissed and you're the PM?\Pissed\True colors showing!\True self's showing, SG response:	And when they don't, you'll bitch and moan.
context: So you think someone else will always figure it out, don't you?!\GALAX is too scary to use!\Now you're pissed at us?\He's pissed and you're the PM?\Pissed\True colors showing!\True self's showing, SG\And when they don't, you'll bitch and moan. response:	He's hopeless
context: GALAX is too scary to use!\Now you're pissed at us?\He's pissed and you're the PM?\Pissed\True colors showing!\True self's showing, SG\And when they don't, you'll bitch and moan.\He's hopeless response:	Dude, he's scary
context: Now you're pissed at us?\He's pissed and you're the PM?\Pissed\True colors showing!\True self's showing, SG\And when they don't, you'll bitch and moan.\He's hopeless\Dude, he's scary response:	Is he srsly yelling at us?
context: He's pissed and you're the PM?\Pissed\True colors showing!\True self's showing, SG\And when they don't, you'll bitch and moan.\He's hopeless\Dude, he's scary\Is he srsly yelling at us? response:	Talk about holier than thou
context: Pissed\True colors showing!\True self's showing, SG\And when they don't, you'll bitch and moan.\He's hopeless\Dude, he's scary\Is he srsly yelling at us?\Talk about holier than thou response:	Don't put it on us-
context: True colors showing!\True self's showing, SG\And when they don't, you'll bitch and moan.\He's hopeless\Dude, he's scary\Is he srsly yelling at us?\Talk about holier than thou\Don't put it on us- response:	But what did you do?!
context: True self's showing, SG\And when they don't, you'll bitch and moan.\He's hopeless\Dude, he's scary\Is he srsly yelling at us?\Talk about holier than thou\Don't put it on us-\But what did you do?! response:	Why are we getting blamed?
context: And when they don't, you'll bitch and moan.\He's hopeless\Dude, he's scary\Is he srsly yelling at us?\Talk about holier than thou\Don't put it on us-\But what did you do?!\Why are we getting blamed? response:	Dude, calm down
context: He's hopeless\Dude, he's scary\Is he srsly yelling at us?\Talk about holier than thou\Don't put it on us-\But what did you do?!\Why are we getting blamed?\Dude, calm down response:	Don't make it sound so easy!
context: Dude, he's scary\Is he srsly yelling at us?\Talk about holier than thou\Don't put it on us-\But what did you do?!\Why are we getting blamed?\Dude, calm down\Don't make it sound so easy! response:	Have you ever done anything for this nation, even once?
context: Is he srsly yelling at us?\Talk about holier than thou\Don't put it on us-\But what did you do?!\Why are we getting blamed?\Dude, calm down\Don't make it sound so easy!\Have you ever done anything for this nation, even once? response:	Don't look at me
context: Talk about holier than thou\Don't put it on us-\But what did you do?!\Why are we getting blamed?\Dude, calm down\Don't make it sound so easy!\Have you ever done anything for this nation, even once?\Don't look at me response:	You've been found out
context: Don't put it on us-\But what did you do?!\Why are we getting blamed?\Dude, calm down\Don't make it sound so easy!\Have you ever done anything for this nation, even once?\Don't look at me\You've been found out response:	Srsly, a lecture?
context: But what did you do?!\Why are we getting blamed?\Dude, calm down\Don't make it sound so easy!\Have you ever done anything for this nation, even once?\Don't look at me\You've been found out\Srsly, a lecture? response:	Well...
context: Why are we getting blamed?\Dude, calm down\Don't make it sound so easy!\Have you ever done anything for this nation, even once?\Don't look at me\You've been found out\Srsly, a lecture?\Well... response:	You're telling us that?
context: Dude, calm down\Don't make it sound so easy!\Have you ever done anything for this nation, even once?\Don't look at me\You've been found out\Srsly, a lecture?\Well...\You're telling us that? response:	Nope
context: Don't make it sound so easy!\Have you ever done anything for this nation, even once?\Don't look at me\You've been found out\Srsly, a lecture?\Well...\You're telling us that?\Nope response:	Sry, dude
context: Have you ever done anything for this nation, even once?\Don't look at me\You've been found out\Srsly, a lecture?\Well...\You're telling us that?\Nope\Sry, dude response:	You don't even go to elections!
context: Don't look at me\You've been found out\Srsly, a lecture?\Well...\You're telling us that?\Nope\Sry, dude\You don't even go to elections! response:	If I had to pick, nope
context: You've been found out\Srsly, a lecture?\Well...\You're telling us that?\Nope\Sry, dude\You don't even go to elections!\If I had to pick, nope response:	Sry, bout that, dude
context: Srsly, a lecture?\Well...\You're telling us that?\Nope\Sry, dude\You don't even go to elections!\If I had to pick, nope\Sry, bout that, dude response:	Touche
context: Well...\You're telling us that?\Nope\Sry, dude\You don't even go to elections!\If I had to pick, nope\Sry, bout that, dude\Touche response:	If you've got complaints, try a hand at being the Prime Minister!
context: You're telling us that?\Nope\Sry, dude\You don't even go to elections!\If I had to pick, nope\Sry, bout that, dude\Touche\If you've got complaints, try a hand at being the Prime Minister! response:	The Prime Minister's lost it.
context: Nope\Sry, dude\You don't even go to elections!\If I had to pick, nope\Sry, bout that, dude\Touche\If you've got complaints, try a hand at being the Prime Minister!\The Prime Minister's lost it. response:	I'm starting to like him!
context: Sry, dude\You don't even go to elections!\If I had to pick, nope\Sry, bout that, dude\Touche\If you've got complaints, try a hand at being the Prime Minister!\The Prime Minister's lost it.\I'm starting to like him! response:	And go change the nation!
context: You don't even go to elections!\If I had to pick, nope\Sry, bout that, dude\Touche\If you've got complaints, try a hand at being the Prime Minister!\The Prime Minister's lost it.\I'm starting to like him!\And go change the nation! response:	Er... Please excuse me for what I just said.
context: If I had to pick, nope\Sry, bout that, dude\Touche\If you've got complaints, try a hand at being the Prime Minister!\The Prime Minister's lost it.\I'm starting to like him!\And go change the nation!\Er... Please excuse me for what I just said. response:	I have felt utterly isolated ever since I became the Prime Minister.
context: Sry, bout that, dude\Touche\If you've got complaints, try a hand at being the Prime Minister!\The Prime Minister's lost it.\I'm starting to like him!\And go change the nation!\Er... Please excuse me for what I just said.\I have felt utterly isolated ever since I became the Prime Minister. response:	Huh? Seriously?
context: Touche\If you've got complaints, try a hand at being the Prime Minister!\The Prime Minister's lost it.\I'm starting to like him!\And go change the nation!\Er... Please excuse me for what I just said.\I have felt utterly isolated ever since I became the Prime Minister.\Huh? Seriously? response:	What's wrong?
context: If you've got complaints, try a hand at being the Prime Minister!\The Prime Minister's lost it.\I'm starting to like him!\And go change the nation!\Er... Please excuse me for what I just said.\I have felt utterly isolated ever since I became the Prime Minister.\Huh? Seriously?\What's wrong? response:	Freezing up?
context: The Prime Minister's lost it.\I'm starting to like him!\And go change the nation!\Er... Please excuse me for what I just said.\I have felt utterly isolated ever since I became the Prime Minister.\Huh? Seriously?\What's wrong?\Freezing up? response:	Hey
context: I'm starting to like him!\And go change the nation!\Er... Please excuse me for what I just said.\I have felt utterly isolated ever since I became the Prime Minister.\Huh? Seriously?\What's wrong?\Freezing up?\Hey response:	The heck?
context: And go change the nation!\Er... Please excuse me for what I just said.\I have felt utterly isolated ever since I became the Prime Minister.\Huh? Seriously?\What's wrong?\Freezing up?\Hey\The heck? response:	Hellooo
context: Er... Please excuse me for what I just said.\I have felt utterly isolated ever since I became the Prime Minister.\Huh? Seriously?\What's wrong?\Freezing up?\Hey\The heck?\Hellooo response:	Tech difficulty
context: I have felt utterly isolated ever since I became the Prime Minister.\Huh? Seriously?\What's wrong?\Freezing up?\Hey\The heck?\Hellooo\Tech difficulty response:	Say something
context: Huh? Seriously?\What's wrong?\Freezing up?\Hey\The heck?\Hellooo\Tech difficulty\Say something response:	Looking at his planner again
context: What's wrong?\Freezing up?\Hey\The heck?\Hellooo\Tech difficulty\Say something\Looking at his planner again response:	Nervous
context: Freezing up?\Hey\The heck?\Hellooo\Tech difficulty\Say something\Looking at his planner again\Nervous response:	Actually, that planner's super cute!
context: Hey\The heck?\Hellooo\Tech difficulty\Say something\Looking at his planner again\Nervous\Actually, that planner's super cute! response:	Wait, wut?
context: The heck?\Hellooo\Tech difficulty\Say something\Looking at his planner again\Nervous\Actually, that planner's super cute!\Wait, wut? response:	Srsly?
context: Hellooo\Tech difficulty\Say something\Looking at his planner again\Nervous\Actually, that planner's super cute!\Wait, wut?\Srsly? response:	State of Emergency-
context: Tech difficulty\Say something\Looking at his planner again\Nervous\Actually, that planner's super cute!\Wait, wut?\Srsly?\State of Emergency- response:	Suga went all out
context: Say something\Looking at his planner again\Nervous\Actually, that planner's super cute!\Wait, wut?\Srsly?\State of Emergency-\Suga went all out response:	We will now distribute smart phones free of charge to all Tachikawa citizens!
context: Looking at his planner again\Nervous\Actually, that planner's super cute!\Wait, wut?\Srsly?\State of Emergency-\Suga went all out\We will now distribute smart phones free of charge to all Tachikawa citizens! response:	What does that mean?
context: Nervous\Actually, that planner's super cute!\Wait, wut?\Srsly?\State of Emergency-\Suga went all out\We will now distribute smart phones free of charge to all Tachikawa citizens!\What does that mean? response:	He seems weak
context: Actually, that planner's super cute!\Wait, wut?\Srsly?\State of Emergency-\Suga went all out\We will now distribute smart phones free of charge to all Tachikawa citizens!\What does that mean?\He seems weak response:	Wut?
context: Wait, wut?\Srsly?\State of Emergency-\Suga went all out\We will now distribute smart phones free of charge to all Tachikawa citizens!\What does that mean?\He seems weak\Wut? response:	You can do it if you try
context: Srsly?\State of Emergency-\Suga went all out\We will now distribute smart phones free of charge to all Tachikawa citizens!\What does that mean?\He seems weak\Wut?\You can do it if you try response:	What now?
context: State of Emergency-\Suga went all out\We will now distribute smart phones free of charge to all Tachikawa citizens!\What does that mean?\He seems weak\Wut?\You can do it if you try\What now? response:	Wut? How?
context: Suga went all out\We will now distribute smart phones free of charge to all Tachikawa citizens!\What does that mean?\He seems weak\Wut?\You can do it if you try\What now?\Wut? How? response:	The hell?
context: We will now distribute smart phones free of charge to all Tachikawa citizens!\What does that mean?\He seems weak\Wut?\You can do it if you try\What now?\Wut? How?\The hell? response:	Someone explain in 3 lines
context: What does that mean?\He seems weak\Wut?\You can do it if you try\What now?\Wut? How?\The hell?\Someone explain in 3 lines response:	Wut...?
context: He seems weak\Wut?\You can do it if you try\What now?\Wut? How?\The hell?\Someone explain in 3 lines\Wut...? response:	Srsly?!
context: Wut?\You can do it if you try\What now?\Wut? How?\The hell?\Someone explain in 3 lines\Wut...?\Srsly?! response:	We ask that everyone register on GALAX!
context: You can do it if you try\What now?\Wut? How?\The hell?\Someone explain in 3 lines\Wut...?\Srsly?!\We ask that everyone register on GALAX! response:	Gimme
context: What now?\Wut? How?\The hell?\Someone explain in 3 lines\Wut...?\Srsly?!\We ask that everyone register on GALAX!\Gimme response:	Gimme all
context: Wut? How?\The hell?\Someone explain in 3 lines\Wut...?\Srsly?!\We ask that everyone register on GALAX!\Gimme\Gimme all response:	Why
context: The hell?\Someone explain in 3 lines\Wut...?\Srsly?!\We ask that everyone register on GALAX!\Gimme\Gimme all\Why response:	Gimme!
context: Someone explain in 3 lines\Wut...?\Srsly?!\We ask that everyone register on GALAX!\Gimme\Gimme all\Why\Gimme! response:	Where?
context: Wut...?\Srsly?!\We ask that everyone register on GALAX!\Gimme\Gimme all\Why\Gimme!\Where? response:	What about Hino residents?
context: Srsly?!\We ask that everyone register on GALAX!\Gimme\Gimme all\Why\Gimme!\Where?\What about Hino residents? response:	Do we have to give them back?
context: We ask that everyone register on GALAX!\Gimme\Gimme all\Why\Gimme!\Where?\What about Hino residents?\Do we have to give them back? response:	Registering sux
context: Gimme\Gimme all\Why\Gimme!\Where?\What about Hino residents?\Do we have to give them back?\Registering sux response:	Just take'em all!
context: Gimme all\Why\Gimme!\Where?\What about Hino residents?\Do we have to give them back?\Registering sux\Just take'em all! response:	Hurry!
context: Why\Gimme!\Where?\What about Hino residents?\Do we have to give them back?\Registering sux\Just take'em all!\Hurry! response:	Everyone, please register on GALAX, now!
context: Gimme!\Where?\What about Hino residents?\Do we have to give them back?\Registering sux\Just take'em all!\Hurry!\Everyone, please register on GALAX, now! response:	Who doesn't have a smart phone?
context: Where?\What about Hino residents?\Do we have to give them back?\Registering sux\Just take'em all!\Hurry!\Everyone, please register on GALAX, now!\Who doesn't have a smart phone? response:	Who's having trouble registering?
context: What about Hino residents?\Do we have to give them back?\Registering sux\Just take'em all!\Hurry!\Everyone, please register on GALAX, now!\Who doesn't have a smart phone?\Who's having trouble registering? response:	Prime Minister Sugayama.
context: Do we have to give them back?\Registering sux\Just take'em all!\Hurry!\Everyone, please register on GALAX, now!\Who doesn't have a smart phone?\Who's having trouble registering?\Prime Minister Sugayama. response:	Y-Yes? You talking to me?
context: Registering sux\Just take'em all!\Hurry!\Everyone, please register on GALAX, now!\Who doesn't have a smart phone?\Who's having trouble registering?\Prime Minister Sugayama.\Y-Yes? You talking to me? response:	There is chaos on Itsukaichi-Kaido Avenue due to citizens
context: Just take'em all!\Hurry!\Everyone, please register on GALAX, now!\Who doesn't have a smart phone?\Who's having trouble registering?\Prime Minister Sugayama.\Y-Yes? You talking to me?\There is chaos on Itsukaichi-Kaido Avenue due to citizens response:	trying to flee the city.
context: Hurry!\Everyone, please register on GALAX, now!\Who doesn't have a smart phone?\Who's having trouble registering?\Prime Minister Sugayama.\Y-Yes? You talking to me?\There is chaos on Itsukaichi-Kaido Avenue due to citizens\trying to flee the city. response:	Your abilities as Prime Minister are needed.
context: Everyone, please register on GALAX, now!\Who doesn't have a smart phone?\Who's having trouble registering?\Prime Minister Sugayama.\Y-Yes? You talking to me?\There is chaos on Itsukaichi-Kaido Avenue due to citizens\trying to flee the city.\Your abilities as Prime Minister are needed. response:	Me? Needed?
context: Who doesn't have a smart phone?\Who's having trouble registering?\Prime Minister Sugayama.\Y-Yes? You talking to me?\There is chaos on Itsukaichi-Kaido Avenue due to citizens\trying to flee the city.\Your abilities as Prime Minister are needed.\Me? Needed? response:	Go, Suga-yan
context: Who's having trouble registering?\Prime Minister Sugayama.\Y-Yes? You talking to me?\There is chaos on Itsukaichi-Kaido Avenue due to citizens\trying to flee the city.\Your abilities as Prime Minister are needed.\Me? Needed?\Go, Suga-yan response:	Go handle it
context: Prime Minister Sugayama.\Y-Yes? You talking to me?\There is chaos on Itsukaichi-Kaido Avenue due to citizens\trying to flee the city.\Your abilities as Prime Minister are needed.\Me? Needed?\Go, Suga-yan\Go handle it response:	You're the PM
context: Y-Yes? You talking to me?\There is chaos on Itsukaichi-Kaido Avenue due to citizens\trying to flee the city.\Your abilities as Prime Minister are needed.\Me? Needed?\Go, Suga-yan\Go handle it\You're the PM response:	Hurry up!
context: There is chaos on Itsukaichi-Kaido Avenue due to citizens\trying to flee the city.\Your abilities as Prime Minister are needed.\Me? Needed?\Go, Suga-yan\Go handle it\You're the PM\Hurry up! response:	You're the only one who can handle it
context: trying to flee the city.\Your abilities as Prime Minister are needed.\Me? Needed?\Go, Suga-yan\Go handle it\You're the PM\Hurry up!\You're the only one who can handle it response:	Go forth, final Hero! Thy name is Sugayan!
context: Your abilities as Prime Minister are needed.\Me? Needed?\Go, Suga-yan\Go handle it\You're the PM\Hurry up!\You're the only one who can handle it\Go forth, final Hero! Thy name is Sugayan! response:	All right!
context: Me? Needed?\Go, Suga-yan\Go handle it\You're the PM\Hurry up!\You're the only one who can handle it\Go forth, final Hero! Thy name is Sugayan!\All right! response:	I'm gonna do this!
context: Go, Suga-yan\Go handle it\You're the PM\Hurry up!\You're the only one who can handle it\Go forth, final Hero! Thy name is Sugayan!\All right!\I'm gonna do this! response:	Rui, eighty-two percent of the citizens have safely evacuated.
context: Go handle it\You're the PM\Hurry up!\You're the only one who can handle it\Go forth, final Hero! Thy name is Sugayan!\All right!\I'm gonna do this!\Rui, eighty-two percent of the citizens have safely evacuated. response:	Good! We're almost there.
context: You're the PM\Hurry up!\You're the only one who can handle it\Go forth, final Hero! Thy name is Sugayan!\All right!\I'm gonna do this!\Rui, eighty-two percent of the citizens have safely evacuated.\Good! We're almost there. response:	Abandon your vehicles and head to the evacuation zone!
context: Hurry up!\You're the only one who can handle it\Go forth, final Hero! Thy name is Sugayan!\All right!\I'm gonna do this!\Rui, eighty-two percent of the citizens have safely evacuated.\Good! We're almost there.\Abandon your vehicles and head to the evacuation zone! response:	Many of the citizens attempting to leave the city
context: You're the only one who can handle it\Go forth, final Hero! Thy name is Sugayan!\All right!\I'm gonna do this!\Rui, eighty-two percent of the citizens have safely evacuated.\Good! We're almost there.\Abandon your vehicles and head to the evacuation zone!\Many of the citizens attempting to leave the city response:	do not like the riot police's announcements.
context: Go forth, final Hero! Thy name is Sugayan!\All right!\I'm gonna do this!\Rui, eighty-two percent of the citizens have safely evacuated.\Good! We're almost there.\Abandon your vehicles and head to the evacuation zone!\Many of the citizens attempting to leave the city\do not like the riot police's announcements. response:	Okay!
context: All right!\I'm gonna do this!\Rui, eighty-two percent of the citizens have safely evacuated.\Good! We're almost there.\Abandon your vehicles and head to the evacuation zone!\Many of the citizens attempting to leave the city\do not like the riot police's announcements.\Okay! response:	Give me that for a sec!
context: I'm gonna do this!\Rui, eighty-two percent of the citizens have safely evacuated.\Good! We're almost there.\Abandon your vehicles and head to the evacuation zone!\Many of the citizens attempting to leave the city\do not like the riot police's announcements.\Okay!\Give me that for a sec! response:	Yes, Ma'am.
context: Rui, eighty-two percent of the citizens have safely evacuated.\Good! We're almost there.\Abandon your vehicles and head to the evacuation zone!\Many of the citizens attempting to leave the city\do not like the riot police's announcements.\Okay!\Give me that for a sec!\Yes, Ma'am. response:	We understand your desire to leave the city.
context: Good! We're almost there.\Abandon your vehicles and head to the evacuation zone!\Many of the citizens attempting to leave the city\do not like the riot police's announcements.\Okay!\Give me that for a sec!\Yes, Ma'am.\We understand your desire to leave the city. response:	However, doing so en masse will cause chaos.
