context: Your Holiness! response:	I-I can't believe it...
context: But if we fight at the Academy, the students will all...\Don't worry about it.\Mr. Colbert is evacuating everyone.\Siesta! I told you to return to the mansion\with Lukshana and the others!\But we're already here.\I asked her to bring us here.\I've always wanted to see the Academy of Magic. response:	But it's not safe here!
context: Don't worry about it.\Mr. Colbert is evacuating everyone.\Siesta! I told you to return to the mansion\with Lukshana and the others!\But we're already here.\I asked her to bring us here.\I've always wanted to see the Academy of Magic.\But it's not safe here! response:	Everyone's already been evacuated, and...
context: Mr. Colbert is evacuating everyone.\Siesta! I told you to return to the mansion\with Lukshana and the others!\But we're already here.\I asked her to bring us here.\I've always wanted to see the Academy of Magic.\But it's not safe here!\Everyone's already been evacuated, and... response:	Oh, Louise, Tiffania!
context: Siesta! I told you to return to the mansion\with Lukshana and the others!\But we're already here.\I asked her to bring us here.\I've always wanted to see the Academy of Magic.\But it's not safe here!\Everyone's already been evacuated, and...\Oh, Louise, Tiffania! response:	You're later than I expected.
context: with Lukshana and the others!\But we're already here.\I asked her to bring us here.\I've always wanted to see the Academy of Magic.\But it's not safe here!\Everyone's already been evacuated, and...\Oh, Louise, Tiffania!\You're later than I expected. response:	I was just telling everybody about the formation
context: But we're already here.\I asked her to bring us here.\I've always wanted to see the Academy of Magic.\But it's not safe here!\Everyone's already been evacuated, and...\Oh, Louise, Tiffania!\You're later than I expected.\I was just telling everybody about the formation response:	I came up with for defeating the dragon.
context: I asked her to bring us here.\I've always wanted to see the Academy of Magic.\But it's not safe here!\Everyone's already been evacuated, and...\Oh, Louise, Tiffania!\You're later than I expected.\I was just telling everybody about the formation\I came up with for defeating the dragon. response:	Come here, you two.
context: I've always wanted to see the Academy of Magic.\But it's not safe here!\Everyone's already been evacuated, and...\Oh, Louise, Tiffania!\You're later than I expected.\I was just telling everybody about the formation\I came up with for defeating the dragon.\Come here, you two. response:	Yes...
context: But it's not safe here!\Everyone's already been evacuated, and...\Oh, Louise, Tiffania!\You're later than I expected.\I was just telling everybody about the formation\I came up with for defeating the dragon.\Come here, you two.\Yes... response:	Tabitha, weren't you just at the palace?
context: Everyone's already been evacuated, and...\Oh, Louise, Tiffania!\You're later than I expected.\I was just telling everybody about the formation\I came up with for defeating the dragon.\Come here, you two.\Yes...\Tabitha, weren't you just at the palace? response:	I flew at max speed and overtook you.
context: Oh, Louise, Tiffania!\You're later than I expected.\I was just telling everybody about the formation\I came up with for defeating the dragon.\Come here, you two.\Yes...\Tabitha, weren't you just at the palace?\I flew at max speed and overtook you. response:	I am sorry, Old Osmond.
context: You're later than I expected.\I was just telling everybody about the formation\I came up with for defeating the dragon.\Come here, you two.\Yes...\Tabitha, weren't you just at the palace?\I flew at max speed and overtook you.\I am sorry, Old Osmond. response:	Everybody insisted on staying.
context: I was just telling everybody about the formation\I came up with for defeating the dragon.\Come here, you two.\Yes...\Tabitha, weren't you just at the palace?\I flew at max speed and overtook you.\I am sorry, Old Osmond.\Everybody insisted on staying. response:	I thought this would happen.
context: I came up with for defeating the dragon.\Come here, you two.\Yes...\Tabitha, weren't you just at the palace?\I flew at max speed and overtook you.\I am sorry, Old Osmond.\Everybody insisted on staying.\I thought this would happen. response:	But why are you doing this?
context: Come here, you two.\Yes...\Tabitha, weren't you just at the palace?\I flew at max speed and overtook you.\I am sorry, Old Osmond.\Everybody insisted on staying.\I thought this would happen.\But why are you doing this? response:	If you stay here, you might die!
context: Yes...\Tabitha, weren't you just at the palace?\I flew at max speed and overtook you.\I am sorry, Old Osmond.\Everybody insisted on staying.\I thought this would happen.\But why are you doing this?\If you stay here, you might die! response:	Did you think we could just ignore this?
context: Tabitha, weren't you just at the palace?\I flew at max speed and overtook you.\I am sorry, Old Osmond.\Everybody insisted on staying.\I thought this would happen.\But why are you doing this?\If you stay here, you might die!\Did you think we could just ignore this? response:	We also want to protect the world that we live in.
context: I flew at max speed and overtook you.\I am sorry, Old Osmond.\Everybody insisted on staying.\I thought this would happen.\But why are you doing this?\If you stay here, you might die!\Did you think we could just ignore this?\We also want to protect the world that we live in. response:	It is our duty as the Undine Order to protect you in Saito's place.
context: I am sorry, Old Osmond.\Everybody insisted on staying.\I thought this would happen.\But why are you doing this?\If you stay here, you might die!\Did you think we could just ignore this?\We also want to protect the world that we live in.\It is our duty as the Undine Order to protect you in Saito's place. response:	Yeah!
context: Everybody insisted on staying.\I thought this would happen.\But why are you doing this?\If you stay here, you might die!\Did you think we could just ignore this?\We also want to protect the world that we live in.\It is our duty as the Undine Order to protect you in Saito's place.\Yeah! response:	Besides, doesn't this kind of thing make your heart race?
context: I thought this would happen.\But why are you doing this?\If you stay here, you might die!\Did you think we could just ignore this?\We also want to protect the world that we live in.\It is our duty as the Undine Order to protect you in Saito's place.\Yeah!\Besides, doesn't this kind of thing make your heart race? response:	Jeanette! What are you doing here?
context: But why are you doing this?\If you stay here, you might die!\Did you think we could just ignore this?\We also want to protect the world that we live in.\It is our duty as the Undine Order to protect you in Saito's place.\Yeah!\Besides, doesn't this kind of thing make your heart race?\Jeanette! What are you doing here? response:	I hired them.
context: If you stay here, you might die!\Did you think we could just ignore this?\We also want to protect the world that we live in.\It is our duty as the Undine Order to protect you in Saito's place.\Yeah!\Besides, doesn't this kind of thing make your heart race?\Jeanette! What are you doing here?\I hired them. response:	They're mercenaries. They'll fight for anyone.
context: Did you think we could just ignore this?\We also want to protect the world that we live in.\It is our duty as the Undine Order to protect you in Saito's place.\Yeah!\Besides, doesn't this kind of thing make your heart race?\Jeanette! What are you doing here?\I hired them.\They're mercenaries. They'll fight for anyone. response:	Yup.
context: We also want to protect the world that we live in.\It is our duty as the Undine Order to protect you in Saito's place.\Yeah!\Besides, doesn't this kind of thing make your heart race?\Jeanette! What are you doing here?\I hired them.\They're mercenaries. They'll fight for anyone.\Yup. response:	Not bad to have us as allies, huh?
context: It is our duty as the Undine Order to protect you in Saito's place.\Yeah!\Besides, doesn't this kind of thing make your heart race?\Jeanette! What are you doing here?\I hired them.\They're mercenaries. They'll fight for anyone.\Yup.\Not bad to have us as allies, huh? response:	It's not like we want this world to get destroyed.
context: Yeah!\Besides, doesn't this kind of thing make your heart race?\Jeanette! What are you doing here?\I hired them.\They're mercenaries. They'll fight for anyone.\Yup.\Not bad to have us as allies, huh?\It's not like we want this world to get destroyed. response:	You guys...
context: Besides, doesn't this kind of thing make your heart race?\Jeanette! What are you doing here?\I hired them.\They're mercenaries. They'll fight for anyone.\Yup.\Not bad to have us as allies, huh?\It's not like we want this world to get destroyed.\You guys... response:	Will you two lend a hand, too?
context: Jeanette! What are you doing here?\I hired them.\They're mercenaries. They'll fight for anyone.\Yup.\Not bad to have us as allies, huh?\It's not like we want this world to get destroyed.\You guys...\Will you two lend a hand, too? response:	Having another user of indigenous magic
context: I hired them.\They're mercenaries. They'll fight for anyone.\Yup.\Not bad to have us as allies, huh?\It's not like we want this world to get destroyed.\You guys...\Will you two lend a hand, too?\Having another user of indigenous magic response:	would really make things easier.
context: They're mercenaries. They'll fight for anyone.\Yup.\Not bad to have us as allies, huh?\It's not like we want this world to get destroyed.\You guys...\Will you two lend a hand, too?\Having another user of indigenous magic\would really make things easier. response:	Yeah, sure.
context: Yup.\Not bad to have us as allies, huh?\It's not like we want this world to get destroyed.\You guys...\Will you two lend a hand, too?\Having another user of indigenous magic\would really make things easier.\Yeah, sure. response:	Thanks. That's really helpful.
context: Not bad to have us as allies, huh?\It's not like we want this world to get destroyed.\You guys...\Will you two lend a hand, too?\Having another user of indigenous magic\would really make things easier.\Yeah, sure.\Thanks. That's really helpful. response:	Hey, Lukshana!
context: It's not like we want this world to get destroyed.\You guys...\Will you two lend a hand, too?\Having another user of indigenous magic\would really make things easier.\Yeah, sure.\Thanks. That's really helpful.\Hey, Lukshana! response:	I guess it would benefit Nephthys to get rid of the dragon.
context: You guys...\Will you two lend a hand, too?\Having another user of indigenous magic\would really make things easier.\Yeah, sure.\Thanks. That's really helpful.\Hey, Lukshana!\I guess it would benefit Nephthys to get rid of the dragon. response:	How about a late night snack?
context: Will you two lend a hand, too?\Having another user of indigenous magic\would really make things easier.\Yeah, sure.\Thanks. That's really helpful.\Hey, Lukshana!\I guess it would benefit Nephthys to get rid of the dragon.\How about a late night snack? response:	You guys...
context: Having another user of indigenous magic\would really make things easier.\Yeah, sure.\Thanks. That's really helpful.\Hey, Lukshana!\I guess it would benefit Nephthys to get rid of the dragon.\How about a late night snack?\You guys... response:	It's my fault.
context: would really make things easier.\Yeah, sure.\Thanks. That's really helpful.\Hey, Lukshana!\I guess it would benefit Nephthys to get rid of the dragon.\How about a late night snack?\You guys...\It's my fault. response:	It has to be my fault.
context: Yeah, sure.\Thanks. That's really helpful.\Hey, Lukshana!\I guess it would benefit Nephthys to get rid of the dragon.\How about a late night snack?\You guys...\It's my fault.\It has to be my fault. response:	It's because I made such a pathetic face.
context: Thanks. That's really helpful.\Hey, Lukshana!\I guess it would benefit Nephthys to get rid of the dragon.\How about a late night snack?\You guys...\It's my fault.\It has to be my fault.\It's because I made such a pathetic face. response:	That's why Louise did this to prevent me from
context: Hey, Lukshana!\I guess it would benefit Nephthys to get rid of the dragon.\How about a late night snack?\You guys...\It's my fault.\It has to be my fault.\It's because I made such a pathetic face.\That's why Louise did this to prevent me from response:	using the power of LIfPrasir again.
context: I guess it would benefit Nephthys to get rid of the dragon.\How about a late night snack?\You guys...\It's my fault.\It has to be my fault.\It's because I made such a pathetic face.\That's why Louise did this to prevent me from\using the power of LIfPrasir again. response:	But without this power,
context: How about a late night snack?\You guys...\It's my fault.\It has to be my fault.\It's because I made such a pathetic face.\That's why Louise did this to prevent me from\using the power of LIfPrasir again.\But without this power, response:	the Ancient Dragon can't be defeated!
context: You guys...\It's my fault.\It has to be my fault.\It's because I made such a pathetic face.\That's why Louise did this to prevent me from\using the power of LIfPrasir again.\But without this power,\the Ancient Dragon can't be defeated! response:	Everyone will...
context: It's my fault.\It has to be my fault.\It's because I made such a pathetic face.\That's why Louise did this to prevent me from\using the power of LIfPrasir again.\But without this power,\the Ancient Dragon can't be defeated!\Everyone will... response:	Louise will die!
context: It has to be my fault.\It's because I made such a pathetic face.\That's why Louise did this to prevent me from\using the power of LIfPrasir again.\But without this power,\the Ancient Dragon can't be defeated!\Everyone will...\Louise will die! response:	Maybe... Maybe over there...
context: It's because I made such a pathetic face.\That's why Louise did this to prevent me from\using the power of LIfPrasir again.\But without this power,\the Ancient Dragon can't be defeated!\Everyone will...\Louise will die!\Maybe... Maybe over there... response:	Here.
context: That's why Louise did this to prevent me from\using the power of LIfPrasir again.\But without this power,\the Ancient Dragon can't be defeated!\Everyone will...\Louise will die!\Maybe... Maybe over there...\Here. response:	That day, the Gate of Light opened here and
context: using the power of LIfPrasir again.\But without this power,\the Ancient Dragon can't be defeated!\Everyone will...\Louise will die!\Maybe... Maybe over there...\Here.\That day, the Gate of Light opened here and response:	I was summoned.
context: But without this power,\the Ancient Dragon can't be defeated!\Everyone will...\Louise will die!\Maybe... Maybe over there...\Here.\That day, the Gate of Light opened here and\I was summoned. response:	Louise? Can't you hear me, Louise?
context: the Ancient Dragon can't be defeated!\Everyone will...\Louise will die!\Maybe... Maybe over there...\Here.\That day, the Gate of Light opened here and\I was summoned.\Louise? Can't you hear me, Louise? response:	Louise! Hey, Louise!
context: Everyone will...\Louise will die!\Maybe... Maybe over there...\Here.\That day, the Gate of Light opened here and\I was summoned.\Louise? Can't you hear me, Louise?\Louise! Hey, Louise! response:	Louise!
context: Louise will die!\Maybe... Maybe over there...\Here.\That day, the Gate of Light opened here and\I was summoned.\Louise? Can't you hear me, Louise?\Louise! Hey, Louise!\Louise! response:	What's wrong with this guy?
context: Maybe... Maybe over there...\Here.\That day, the Gate of Light opened here and\I was summoned.\Louise? Can't you hear me, Louise?\Louise! Hey, Louise!\Louise!\What's wrong with this guy? response:	Louise! Louise!
context: Here.\That day, the Gate of Light opened here and\I was summoned.\Louise? Can't you hear me, Louise?\Louise! Hey, Louise!\Louise!\What's wrong with this guy?\Louise! Louise! response:	Did you get dumped by your favorite maid?
context: That day, the Gate of Light opened here and\I was summoned.\Louise? Can't you hear me, Louise?\Louise! Hey, Louise!\Louise!\What's wrong with this guy?\Louise! Louise!\Did you get dumped by your favorite maid? response:	Shut up.
context: I was summoned.\Louise? Can't you hear me, Louise?\Louise! Hey, Louise!\Louise!\What's wrong with this guy?\Louise! Louise!\Did you get dumped by your favorite maid?\Shut up. response:	Huh? Don't tell me you're crying!
context: Louise? Can't you hear me, Louise?\Louise! Hey, Louise!\Louise!\What's wrong with this guy?\Louise! Louise!\Did you get dumped by your favorite maid?\Shut up.\Huh? Don't tell me you're crying! response:	You've got to be kidding me!
context: Louise! Hey, Louise!\Louise!\What's wrong with this guy?\Louise! Louise!\Did you get dumped by your favorite maid?\Shut up.\Huh? Don't tell me you're crying!\You've got to be kidding me! response:	No wonder you got dumped!
context: Louise!\What's wrong with this guy?\Louise! Louise!\Did you get dumped by your favorite maid?\Shut up.\Huh? Don't tell me you're crying!\You've got to be kidding me!\No wonder you got dumped! response:	I told you to shut up!
context: What's wrong with this guy?\Louise! Louise!\Did you get dumped by your favorite maid?\Shut up.\Huh? Don't tell me you're crying!\You've got to be kidding me!\No wonder you got dumped!\I told you to shut up! response:	You bastard!
context: Louise! Louise!\Did you get dumped by your favorite maid?\Shut up.\Huh? Don't tell me you're crying!\You've got to be kidding me!\No wonder you got dumped!\I told you to shut up!\You bastard! response:	Showed you.
context: Did you get dumped by your favorite maid?\Shut up.\Huh? Don't tell me you're crying!\You've got to be kidding me!\No wonder you got dumped!\I told you to shut up!\You bastard!\Showed you. response:	And it's all for nothing, this loser's broke.
context: Shut up.\Huh? Don't tell me you're crying!\You've got to be kidding me!\No wonder you got dumped!\I told you to shut up!\You bastard!\Showed you.\And it's all for nothing, this loser's broke. response:	Let's go.
context: Huh? Don't tell me you're crying!\You've got to be kidding me!\No wonder you got dumped!\I told you to shut up!\You bastard!\Showed you.\And it's all for nothing, this loser's broke.\Let's go. response:	I can't get back to Halkeginia by myself.
context: You've got to be kidding me!\No wonder you got dumped!\I told you to shut up!\You bastard!\Showed you.\And it's all for nothing, this loser's broke.\Let's go.\I can't get back to Halkeginia by myself. response:	I can't see you again...
context: No wonder you got dumped!\I told you to shut up!\You bastard!\Showed you.\And it's all for nothing, this loser's broke.\Let's go.\I can't get back to Halkeginia by myself.\I can't see you again... response:	Louise...
context: I told you to shut up!\You bastard!\Showed you.\And it's all for nothing, this loser's broke.\Let's go.\I can't get back to Halkeginia by myself.\I can't see you again...\Louise... response:	What the...
context: You bastard!\Showed you.\And it's all for nothing, this loser's broke.\Let's go.\I can't get back to Halkeginia by myself.\I can't see you again...\Louise...\What the... response:	The dragon is...
context: Showed you.\And it's all for nothing, this loser's broke.\Let's go.\I can't get back to Halkeginia by myself.\I can't see you again...\Louise...\What the...\The dragon is... response:	It's getting bigger!
context: And it's all for nothing, this loser's broke.\Let's go.\I can't get back to Halkeginia by myself.\I can't see you again...\Louise...\What the...\The dragon is...\It's getting bigger! response:	It's huge!
context: Let's go.\I can't get back to Halkeginia by myself.\I can't see you again...\Louise...\What the...\The dragon is...\It's getting bigger!\It's huge! response:	Everyone, get back! Everyone back!
context: I can't get back to Halkeginia by myself.\I can't see you again...\Louise...\What the...\The dragon is...\It's getting bigger!\It's huge!\Everyone, get back! Everyone back! response:	Scary...
context: I can't see you again...\Louise...\What the...\The dragon is...\It's getting bigger!\It's huge!\Everyone, get back! Everyone back!\Scary... response:	Something is approaching from the front.
context: Louise...\What the...\The dragon is...\It's getting bigger!\It's huge!\Everyone, get back! Everyone back!\Scary...\Something is approaching from the front. response:	From the front?
context: What the...\The dragon is...\It's getting bigger!\It's huge!\Everyone, get back! Everyone back!\Scary...\Something is approaching from the front.\From the front? response:	That's the...
context: The dragon is...\It's getting bigger!\It's huge!\Everyone, get back! Everyone back!\Scary...\Something is approaching from the front.\From the front?\That's the... response:	It's the Ancient Dragon!
context: It's getting bigger!\It's huge!\Everyone, get back! Everyone back!\Scary...\Something is approaching from the front.\From the front?\That's the...\It's the Ancient Dragon! response:	I didn't know it could fly!
context: It's huge!\Everyone, get back! Everyone back!\Scary...\Something is approaching from the front.\From the front?\That's the...\It's the Ancient Dragon!\I didn't know it could fly! response:	Fire! Attack right away!
context: Everyone, get back! Everyone back!\Scary...\Something is approaching from the front.\From the front?\That's the...\It's the Ancient Dragon!\I didn't know it could fly!\Fire! Attack right away! response:	You're not here anymore,
context: Scary...\Something is approaching from the front.\From the front?\That's the...\It's the Ancient Dragon!\I didn't know it could fly!\Fire! Attack right away!\You're not here anymore, response:	but I'm sure you're living on in the world
context: Something is approaching from the front.\From the front?\That's the...\It's the Ancient Dragon!\I didn't know it could fly!\Fire! Attack right away!\You're not here anymore,\but I'm sure you're living on in the world response:	where you're supposed be.
context: From the front?\That's the...\It's the Ancient Dragon!\I didn't know it could fly!\Fire! Attack right away!\You're not here anymore,\but I'm sure you're living on in the world\where you're supposed be. response:	That's why I'm not afraid.
context: That's the...\It's the Ancient Dragon!\I didn't know it could fly!\Fire! Attack right away!\You're not here anymore,\but I'm sure you're living on in the world\where you're supposed be.\That's why I'm not afraid. response:	Next time, tune in for the last episode, Zero's Familiar.
context: It's the Ancient Dragon!\I didn't know it could fly!\Fire! Attack right away!\You're not here anymore,\but I'm sure you're living on in the world\where you're supposed be.\That's why I'm not afraid.\Next time, tune in for the last episode, Zero's Familiar. response:	Zero's Familiar
context: I didn't know it could fly!\Fire! Attack right away!\You're not here anymore,\but I'm sure you're living on in the world\where you're supposed be.\That's why I'm not afraid.\Next time, tune in for the last episode, Zero's Familiar.\Zero's Familiar response:	Thanks for everything, Saito!
