context: I heard you call for help, Suiryu. response:	You did well on your own.
context: Being courageous and taking action for the sake of others should be\what truly gives a hero their meaning.\He's actually making sense.\In that respect, you're still not the ultimate hero, Saitama.\You're right.\Which means much remains for you in the pursuit of your highest ideals.\It also means saying that you have no more room to grow\is just shallow and arrogant, don't you think? response:	King...
context: what truly gives a hero their meaning.\He's actually making sense.\In that respect, you're still not the ultimate hero, Saitama.\You're right.\Which means much remains for you in the pursuit of your highest ideals.\It also means saying that you have no more room to grow\is just shallow and arrogant, don't you think?\King... response:	Ahem.
context: He's actually making sense.\In that respect, you're still not the ultimate hero, Saitama.\You're right.\Which means much remains for you in the pursuit of your highest ideals.\It also means saying that you have no more room to grow\is just shallow and arrogant, don't you think?\King...\Ahem. response:	What does the ultimate hero need?
context: In that respect, you're still not the ultimate hero, Saitama.\You're right.\Which means much remains for you in the pursuit of your highest ideals.\It also means saying that you have no more room to grow\is just shallow and arrogant, don't you think?\King...\Ahem.\What does the ultimate hero need? response:	An unwavering sense of justice, the power to fight,
context: You're right.\Which means much remains for you in the pursuit of your highest ideals.\It also means saying that you have no more room to grow\is just shallow and arrogant, don't you think?\King...\Ahem.\What does the ultimate hero need?\An unwavering sense of justice, the power to fight, response:	and the courage to face all obstacles...
context: Which means much remains for you in the pursuit of your highest ideals.\It also means saying that you have no more room to grow\is just shallow and arrogant, don't you think?\King...\Ahem.\What does the ultimate hero need?\An unwavering sense of justice, the power to fight,\and the courage to face all obstacles... response:	Until you can find the true answer to that question,
context: It also means saying that you have no more room to grow\is just shallow and arrogant, don't you think?\King...\Ahem.\What does the ultimate hero need?\An unwavering sense of justice, the power to fight,\and the courage to face all obstacles...\Until you can find the true answer to that question, response:	you don't have time to say that you're bored.
context: is just shallow and arrogant, don't you think?\King...\Ahem.\What does the ultimate hero need?\An unwavering sense of justice, the power to fight,\and the courage to face all obstacles...\Until you can find the true answer to that question,\you don't have time to say that you're bored. response:	At least, that's what I think.
context: King...\Ahem.\What does the ultimate hero need?\An unwavering sense of justice, the power to fight,\and the courage to face all obstacles...\Until you can find the true answer to that question,\you don't have time to say that you're bored.\At least, that's what I think. response:	I also read that in a manga.
context: Ahem.\What does the ultimate hero need?\An unwavering sense of justice, the power to fight,\and the courage to face all obstacles...\Until you can find the true answer to that question,\you don't have time to say that you're bored.\At least, that's what I think.\I also read that in a manga. response:	You're amazing, dude.
context: What does the ultimate hero need?\An unwavering sense of justice, the power to fight,\and the courage to face all obstacles...\Until you can find the true answer to that question,\you don't have time to say that you're bored.\At least, that's what I think.\I also read that in a manga.\You're amazing, dude. response:	The ultimate hero... Think about my ideals, huh?
context: An unwavering sense of justice, the power to fight,\and the courage to face all obstacles...\Until you can find the true answer to that question,\you don't have time to say that you're bored.\At least, that's what I think.\I also read that in a manga.\You're amazing, dude.\The ultimate hero... Think about my ideals, huh? response:	That sounds even more boring.
context: and the courage to face all obstacles...\Until you can find the true answer to that question,\you don't have time to say that you're bored.\At least, that's what I think.\I also read that in a manga.\You're amazing, dude.\The ultimate hero... Think about my ideals, huh?\That sounds even more boring. response:	If you're that bored, want to come over and play some games?
context: Until you can find the true answer to that question,\you don't have time to say that you're bored.\At least, that's what I think.\I also read that in a manga.\You're amazing, dude.\The ultimate hero... Think about my ideals, huh?\That sounds even more boring.\If you're that bored, want to come over and play some games? response:	Uh, I'm really not in the mood for that right now.
context: you don't have time to say that you're bored.\At least, that's what I think.\I also read that in a manga.\You're amazing, dude.\The ultimate hero... Think about my ideals, huh?\That sounds even more boring.\If you're that bored, want to come over and play some games?\Uh, I'm really not in the mood for that right now. response:	Everything I do just makes me feel empty inside.
context: At least, that's what I think.\I also read that in a manga.\You're amazing, dude.\The ultimate hero... Think about my ideals, huh?\That sounds even more boring.\If you're that bored, want to come over and play some games?\Uh, I'm really not in the mood for that right now.\Everything I do just makes me feel empty inside. response:	Oh, come on. Let's do it.
context: I also read that in a manga.\You're amazing, dude.\The ultimate hero... Think about my ideals, huh?\That sounds even more boring.\If you're that bored, want to come over and play some games?\Uh, I'm really not in the mood for that right now.\Everything I do just makes me feel empty inside.\Oh, come on. Let's do it. response:	You want to lose sometimes, don't you? I'll make you lose.
context: You're amazing, dude.\The ultimate hero... Think about my ideals, huh?\That sounds even more boring.\If you're that bored, want to come over and play some games?\Uh, I'm really not in the mood for that right now.\Everything I do just makes me feel empty inside.\Oh, come on. Let's do it.\You want to lose sometimes, don't you? I'll make you lose. response:	It's no use trying to provoke me.
context: The ultimate hero... Think about my ideals, huh?\That sounds even more boring.\If you're that bored, want to come over and play some games?\Uh, I'm really not in the mood for that right now.\Everything I do just makes me feel empty inside.\Oh, come on. Let's do it.\You want to lose sometimes, don't you? I'll make you lose.\It's no use trying to provoke me. response:	It's not like I get mad when I lose at video games.
context: That sounds even more boring.\If you're that bored, want to come over and play some games?\Uh, I'm really not in the mood for that right now.\Everything I do just makes me feel empty inside.\Oh, come on. Let's do it.\You want to lose sometimes, don't you? I'll make you lose.\It's no use trying to provoke me.\It's not like I get mad when I lose at video games. response:	It doesn't even frustrate me.
context: If you're that bored, want to come over and play some games?\Uh, I'm really not in the mood for that right now.\Everything I do just makes me feel empty inside.\Oh, come on. Let's do it.\You want to lose sometimes, don't you? I'll make you lose.\It's no use trying to provoke me.\It's not like I get mad when I lose at video games.\It doesn't even frustrate me. response:	My emotions are waning, you know.
context: Uh, I'm really not in the mood for that right now.\Everything I do just makes me feel empty inside.\Oh, come on. Let's do it.\You want to lose sometimes, don't you? I'll make you lose.\It's no use trying to provoke me.\It's not like I get mad when I lose at video games.\It doesn't even frustrate me.\My emotions are waning, you know. response:	I see. Then how about this?
context: Everything I do just makes me feel empty inside.\Oh, come on. Let's do it.\You want to lose sometimes, don't you? I'll make you lose.\It's no use trying to provoke me.\It's not like I get mad when I lose at video games.\It doesn't even frustrate me.\My emotions are waning, you know.\I see. Then how about this? response:	I'll only use one finger on each hand as a handicap.
context: Oh, come on. Let's do it.\You want to lose sometimes, don't you? I'll make you lose.\It's no use trying to provoke me.\It's not like I get mad when I lose at video games.\It doesn't even frustrate me.\My emotions are waning, you know.\I see. Then how about this?\I'll only use one finger on each hand as a handicap. response:	No takebacks!
context: You want to lose sometimes, don't you? I'll make you lose.\It's no use trying to provoke me.\It's not like I get mad when I lose at video games.\It doesn't even frustrate me.\My emotions are waning, you know.\I see. Then how about this?\I'll only use one finger on each hand as a handicap.\No takebacks! response:	I'm gonna crush you this time!
context: It's no use trying to provoke me.\It's not like I get mad when I lose at video games.\It doesn't even frustrate me.\My emotions are waning, you know.\I see. Then how about this?\I'll only use one finger on each hand as a handicap.\No takebacks!\I'm gonna crush you this time! response:	To think the tables would turn on me like that...
context: It's not like I get mad when I lose at video games.\It doesn't even frustrate me.\My emotions are waning, you know.\I see. Then how about this?\I'll only use one finger on each hand as a handicap.\No takebacks!\I'm gonna crush you this time!\To think the tables would turn on me like that... response:	His power and speed were both far greater than I'd ever imagined.
context: It doesn't even frustrate me.\My emotions are waning, you know.\I see. Then how about this?\I'll only use one finger on each hand as a handicap.\No takebacks!\I'm gonna crush you this time!\To think the tables would turn on me like that...\His power and speed were both far greater than I'd ever imagined. response:	I was lucky to even escape.
context: My emotions are waning, you know.\I see. Then how about this?\I'll only use one finger on each hand as a handicap.\No takebacks!\I'm gonna crush you this time!\To think the tables would turn on me like that...\His power and speed were both far greater than I'd ever imagined.\I was lucky to even escape. response:	Although... using human martial arts against a four-legged fighting style
context: I see. Then how about this?\I'll only use one finger on each hand as a handicap.\No takebacks!\I'm gonna crush you this time!\To think the tables would turn on me like that...\His power and speed were both far greater than I'd ever imagined.\I was lucky to even escape.\Although... using human martial arts against a four-legged fighting style response:	put me at a disadvantage.
context: I'll only use one finger on each hand as a handicap.\No takebacks!\I'm gonna crush you this time!\To think the tables would turn on me like that...\His power and speed were both far greater than I'd ever imagined.\I was lucky to even escape.\Although... using human martial arts against a four-legged fighting style\put me at a disadvantage. response:	I definitely learned something.
context: No takebacks!\I'm gonna crush you this time!\To think the tables would turn on me like that...\His power and speed were both far greater than I'd ever imagined.\I was lucky to even escape.\Although... using human martial arts against a four-legged fighting style\put me at a disadvantage.\I definitely learned something. response:	That was so much fun, I can barely contain myself!
context: I'm gonna crush you this time!\To think the tables would turn on me like that...\His power and speed were both far greater than I'd ever imagined.\I was lucky to even escape.\Although... using human martial arts against a four-legged fighting style\put me at a disadvantage.\I definitely learned something.\That was so much fun, I can barely contain myself! response:	I can become even stronger!
context: To think the tables would turn on me like that...\His power and speed were both far greater than I'd ever imagined.\I was lucky to even escape.\Although... using human martial arts against a four-legged fighting style\put me at a disadvantage.\I definitely learned something.\That was so much fun, I can barely contain myself!\I can become even stronger! response:	That's...
context: His power and speed were both far greater than I'd ever imagined.\I was lucky to even escape.\Although... using human martial arts against a four-legged fighting style\put me at a disadvantage.\I definitely learned something.\That was so much fun, I can barely contain myself!\I can become even stronger!\That's... response:	There's no doubt about it.
context: I was lucky to even escape.\Although... using human martial arts against a four-legged fighting style\put me at a disadvantage.\I definitely learned something.\That was so much fun, I can barely contain myself!\I can become even stronger!\That's...\There's no doubt about it. response:	I couldn't ask for a better chance than this!
context: Although... using human martial arts against a four-legged fighting style\put me at a disadvantage.\I definitely learned something.\That was so much fun, I can barely contain myself!\I can become even stronger!\That's...\There's no doubt about it.\I couldn't ask for a better chance than this! response:	My body still moves, and I can't feel any pain.
context: put me at a disadvantage.\I definitely learned something.\That was so much fun, I can barely contain myself!\I can become even stronger!\That's...\There's no doubt about it.\I couldn't ask for a better chance than this!\My body still moves, and I can't feel any pain. response:	Actually, I'm so excited that I can feel my strength welling up within me!
context: I definitely learned something.\That was so much fun, I can barely contain myself!\I can become even stronger!\That's...\There's no doubt about it.\I couldn't ask for a better chance than this!\My body still moves, and I can't feel any pain.\Actually, I'm so excited that I can feel my strength welling up within me! response:	King, I'm going to hunt you!
context: That was so much fun, I can barely contain myself!\I can become even stronger!\That's...\There's no doubt about it.\I couldn't ask for a better chance than this!\My body still moves, and I can't feel any pain.\Actually, I'm so excited that I can feel my strength welling up within me!\King, I'm going to hunt you! response:	Predict his next move!
context: I can become even stronger!\That's...\There's no doubt about it.\I couldn't ask for a better chance than this!\My body still moves, and I can't feel any pain.\Actually, I'm so excited that I can feel my strength welling up within me!\King, I'm going to hunt you!\Predict his next move! response:	I have it! Prepare to die!
context: That's...\There's no doubt about it.\I couldn't ask for a better chance than this!\My body still moves, and I can't feel any pain.\Actually, I'm so excited that I can feel my strength welling up within me!\King, I'm going to hunt you!\Predict his next move!\I have it! Prepare to die! response:	Do you know the guy who just tried to attack you?
context: There's no doubt about it.\I couldn't ask for a better chance than this!\My body still moves, and I can't feel any pain.\Actually, I'm so excited that I can feel my strength welling up within me!\King, I'm going to hunt you!\Predict his next move!\I have it! Prepare to die!\Do you know the guy who just tried to attack you? response:	No... I haven't the slightest.
context: I couldn't ask for a better chance than this!\My body still moves, and I can't feel any pain.\Actually, I'm so excited that I can feel my strength welling up within me!\King, I'm going to hunt you!\Predict his next move!\I have it! Prepare to die!\Do you know the guy who just tried to attack you?\No... I haven't the slightest. response:	Jeez, there's no end to it if you have to deal with punks like that.
context: My body still moves, and I can't feel any pain.\Actually, I'm so excited that I can feel my strength welling up within me!\King, I'm going to hunt you!\Predict his next move!\I have it! Prepare to die!\Do you know the guy who just tried to attack you?\No... I haven't the slightest.\Jeez, there's no end to it if you have to deal with punks like that. response:	Come to think of it, have you heard what's going on right now?
context: Actually, I'm so excited that I can feel my strength welling up within me!\King, I'm going to hunt you!\Predict his next move!\I have it! Prepare to die!\Do you know the guy who just tried to attack you?\No... I haven't the slightest.\Jeez, there's no end to it if you have to deal with punks like that.\Come to think of it, have you heard what's going on right now? response:	No idea.
context: King, I'm going to hunt you!\Predict his next move!\I have it! Prepare to die!\Do you know the guy who just tried to attack you?\No... I haven't the slightest.\Jeez, there's no end to it if you have to deal with punks like that.\Come to think of it, have you heard what's going on right now?\No idea. response:	I don't know all the details, but there are monsters wreaking havoc everywhere,
context: Predict his next move!\I have it! Prepare to die!\Do you know the guy who just tried to attack you?\No... I haven't the slightest.\Jeez, there's no end to it if you have to deal with punks like that.\Come to think of it, have you heard what's going on right now?\No idea.\I don't know all the details, but there are monsters wreaking havoc everywhere, response:	and there's also some self-proclaimed hero hunter who's been hunting heroes.
context: I have it! Prepare to die!\Do you know the guy who just tried to attack you?\No... I haven't the slightest.\Jeez, there's no end to it if you have to deal with punks like that.\Come to think of it, have you heard what's going on right now?\No idea.\I don't know all the details, but there are monsters wreaking havoc everywhere,\and there's also some self-proclaimed hero hunter who's been hunting heroes. response:	Apparently, there's a lot going on.
context: Do you know the guy who just tried to attack you?\No... I haven't the slightest.\Jeez, there's no end to it if you have to deal with punks like that.\Come to think of it, have you heard what's going on right now?\No idea.\I don't know all the details, but there are monsters wreaking havoc everywhere,\and there's also some self-proclaimed hero hunter who's been hunting heroes.\Apparently, there's a lot going on. response:	I see...
context: No... I haven't the slightest.\Jeez, there's no end to it if you have to deal with punks like that.\Come to think of it, have you heard what's going on right now?\No idea.\I don't know all the details, but there are monsters wreaking havoc everywhere,\and there's also some self-proclaimed hero hunter who's been hunting heroes.\Apparently, there's a lot going on.\I see... response:	I've been pretty curious about this hero hunter guy.
context: Jeez, there's no end to it if you have to deal with punks like that.\Come to think of it, have you heard what's going on right now?\No idea.\I don't know all the details, but there are monsters wreaking havoc everywhere,\and there's also some self-proclaimed hero hunter who's been hunting heroes.\Apparently, there's a lot going on.\I see...\I've been pretty curious about this hero hunter guy. response:	Really?
context: Come to think of it, have you heard what's going on right now?\No idea.\I don't know all the details, but there are monsters wreaking havoc everywhere,\and there's also some self-proclaimed hero hunter who's been hunting heroes.\Apparently, there's a lot going on.\I see...\I've been pretty curious about this hero hunter guy.\Really? response:	I mean, no other human ever called themselves a monster, right?
context: No idea.\I don't know all the details, but there are monsters wreaking havoc everywhere,\and there's also some self-proclaimed hero hunter who's been hunting heroes.\Apparently, there's a lot going on.\I see...\I've been pretty curious about this hero hunter guy.\Really?\I mean, no other human ever called themselves a monster, right? response:	It was the same thing when I started being a hero on my own.
context: I don't know all the details, but there are monsters wreaking havoc everywhere,\and there's also some self-proclaimed hero hunter who's been hunting heroes.\Apparently, there's a lot going on.\I see...\I've been pretty curious about this hero hunter guy.\Really?\I mean, no other human ever called themselves a monster, right?\It was the same thing when I started being a hero on my own. response:	So I have my hopes up a little. He might actually be stronger than me.
context: and there's also some self-proclaimed hero hunter who's been hunting heroes.\Apparently, there's a lot going on.\I see...\I've been pretty curious about this hero hunter guy.\Really?\I mean, no other human ever called themselves a monster, right?\It was the same thing when I started being a hero on my own.\So I have my hopes up a little. He might actually be stronger than me. response:	I see. Hopefully you'll be able to meet him soon.
context: Apparently, there's a lot going on.\I see...\I've been pretty curious about this hero hunter guy.\Really?\I mean, no other human ever called themselves a monster, right?\It was the same thing when I started being a hero on my own.\So I have my hopes up a little. He might actually be stronger than me.\I see. Hopefully you'll be able to meet him soon. response:	Show yourselves.
context: I see...\I've been pretty curious about this hero hunter guy.\Really?\I mean, no other human ever called themselves a monster, right?\It was the same thing when I started being a hero on my own.\So I have my hopes up a little. He might actually be stronger than me.\I see. Hopefully you'll be able to meet him soon.\Show yourselves. response:	Who are you?!
context: I've been pretty curious about this hero hunter guy.\Really?\I mean, no other human ever called themselves a monster, right?\It was the same thing when I started being a hero on my own.\So I have my hopes up a little. He might actually be stronger than me.\I see. Hopefully you'll be able to meet him soon.\Show yourselves.\Who are you?! response:	Two against one?
context: Really?\I mean, no other human ever called themselves a monster, right?\It was the same thing when I started being a hero on my own.\So I have my hopes up a little. He might actually be stronger than me.\I see. Hopefully you'll be able to meet him soon.\Show yourselves.\Who are you?!\Two against one? response:	You must be prepared to die, if you have the balls to attack me!
context: I mean, no other human ever called themselves a monster, right?\It was the same thing when I started being a hero on my own.\So I have my hopes up a little. He might actually be stronger than me.\I see. Hopefully you'll be able to meet him soon.\Show yourselves.\Who are you?!\Two against one?\You must be prepared to die, if you have the balls to attack me! response:	Attack you? That's a bit harsh.
context: It was the same thing when I started being a hero on my own.\So I have my hopes up a little. He might actually be stronger than me.\I see. Hopefully you'll be able to meet him soon.\Show yourselves.\Who are you?!\Two against one?\You must be prepared to die, if you have the balls to attack me!\Attack you? That's a bit harsh. response:	Right? You're the last survivor of the Final 44, Speed-o-Sound Sonic, right?
context: So I have my hopes up a little. He might actually be stronger than me.\I see. Hopefully you'll be able to meet him soon.\Show yourselves.\Who are you?!\Two against one?\You must be prepared to die, if you have the balls to attack me!\Attack you? That's a bit harsh.\Right? You're the last survivor of the Final 44, Speed-o-Sound Sonic, right? response:	Are you two from the village?
context: I see. Hopefully you'll be able to meet him soon.\Show yourselves.\Who are you?!\Two against one?\You must be prepared to die, if you have the balls to attack me!\Attack you? That's a bit harsh.\Right? You're the last survivor of the Final 44, Speed-o-Sound Sonic, right?\Are you two from the village? response:	We're from the Golden 37. I'm Tempest Wind.
context: Show yourselves.\Who are you?!\Two against one?\You must be prepared to die, if you have the balls to attack me!\Attack you? That's a bit harsh.\Right? You're the last survivor of the Final 44, Speed-o-Sound Sonic, right?\Are you two from the village?\We're from the Golden 37. I'm Tempest Wind. response:	I'm Hellfire Flame.
context: Who are you?!\Two against one?\You must be prepared to die, if you have the balls to attack me!\Attack you? That's a bit harsh.\Right? You're the last survivor of the Final 44, Speed-o-Sound Sonic, right?\Are you two from the village?\We're from the Golden 37. I'm Tempest Wind.\I'm Hellfire Flame. response:	What do you want with me?
context: Two against one?\You must be prepared to die, if you have the balls to attack me!\Attack you? That's a bit harsh.\Right? You're the last survivor of the Final 44, Speed-o-Sound Sonic, right?\Are you two from the village?\We're from the Golden 37. I'm Tempest Wind.\I'm Hellfire Flame.\What do you want with me? response:	We're here to recruit you.
context: You must be prepared to die, if you have the balls to attack me!\Attack you? That's a bit harsh.\Right? You're the last survivor of the Final 44, Speed-o-Sound Sonic, right?\Are you two from the village?\We're from the Golden 37. I'm Tempest Wind.\I'm Hellfire Flame.\What do you want with me?\We're here to recruit you. response:	Want to do something big with us?
context: Attack you? That's a bit harsh.\Right? You're the last survivor of the Final 44, Speed-o-Sound Sonic, right?\Are you two from the village?\We're from the Golden 37. I'm Tempest Wind.\I'm Hellfire Flame.\What do you want with me?\We're here to recruit you.\Want to do something big with us? response:	Something big?
context: Right? You're the last survivor of the Final 44, Speed-o-Sound Sonic, right?\Are you two from the village?\We're from the Golden 37. I'm Tempest Wind.\I'm Hellfire Flame.\What do you want with me?\We're here to recruit you.\Want to do something big with us?\Something big? response:	Yes.
context: Are you two from the village?\We're from the Golden 37. I'm Tempest Wind.\I'm Hellfire Flame.\What do you want with me?\We're here to recruit you.\Want to do something big with us?\Something big?\Yes. response:	We're going to take over this world...
context: We're from the Golden 37. I'm Tempest Wind.\I'm Hellfire Flame.\What do you want with me?\We're here to recruit you.\Want to do something big with us?\Something big?\Yes.\We're going to take over this world... response:	as monsters who have surpassed humanity.
context: I'm Hellfire Flame.\What do you want with me?\We're here to recruit you.\Want to do something big with us?\Something big?\Yes.\We're going to take over this world...\as monsters who have surpassed humanity. response:	There is an association called the Monster Association that only accepts monsters.
context: What do you want with me?\We're here to recruit you.\Want to do something big with us?\Something big?\Yes.\We're going to take over this world...\as monsters who have surpassed humanity.\There is an association called the Monster Association that only accepts monsters. response:	We are members there.
context: We're here to recruit you.\Want to do something big with us?\Something big?\Yes.\We're going to take over this world...\as monsters who have surpassed humanity.\There is an association called the Monster Association that only accepts monsters.\We are members there. response:	The world is about to be flipped upside-down.
context: Want to do something big with us?\Something big?\Yes.\We're going to take over this world...\as monsters who have surpassed humanity.\There is an association called the Monster Association that only accepts monsters.\We are members there.\The world is about to be flipped upside-down. response:	This all sounds like nonsense.
context: Something big?\Yes.\We're going to take over this world...\as monsters who have surpassed humanity.\There is an association called the Monster Association that only accepts monsters.\We are members there.\The world is about to be flipped upside-down.\This all sounds like nonsense. response:	Why are you inviting me?
context: Yes.\We're going to take over this world...\as monsters who have surpassed humanity.\There is an association called the Monster Association that only accepts monsters.\We are members there.\The world is about to be flipped upside-down.\This all sounds like nonsense.\Why are you inviting me? response:	We want to defeat Flashy Flash once and for all.
context: We're going to take over this world...\as monsters who have surpassed humanity.\There is an association called the Monster Association that only accepts monsters.\We are members there.\The world is about to be flipped upside-down.\This all sounds like nonsense.\Why are you inviting me?\We want to defeat Flashy Flash once and for all. response:	Help us do that.
context: as monsters who have surpassed humanity.\There is an association called the Monster Association that only accepts monsters.\We are members there.\The world is about to be flipped upside-down.\This all sounds like nonsense.\Why are you inviting me?\We want to defeat Flashy Flash once and for all.\Help us do that. response:	Don't make me laugh. I have neither the obligation nor the time to do that.
context: There is an association called the Monster Association that only accepts monsters.\We are members there.\The world is about to be flipped upside-down.\This all sounds like nonsense.\Why are you inviting me?\We want to defeat Flashy Flash once and for all.\Help us do that.\Don't make me laugh. I have neither the obligation nor the time to do that. response:	Get lost if you don't want to die.
context: We are members there.\The world is about to be flipped upside-down.\This all sounds like nonsense.\Why are you inviting me?\We want to defeat Flashy Flash once and for all.\Help us do that.\Don't make me laugh. I have neither the obligation nor the time to do that.\Get lost if you don't want to die. response:	I guess we'll just have to show you, then.
context: The world is about to be flipped upside-down.\This all sounds like nonsense.\Why are you inviting me?\We want to defeat Flashy Flash once and for all.\Help us do that.\Don't make me laugh. I have neither the obligation nor the time to do that.\Get lost if you don't want to die.\I guess we'll just have to show you, then. response:	We mentioned the Monster Association, didn't we?
context: This all sounds like nonsense.\Why are you inviting me?\We want to defeat Flashy Flash once and for all.\Help us do that.\Don't make me laugh. I have neither the obligation nor the time to do that.\Get lost if you don't want to die.\I guess we'll just have to show you, then.\We mentioned the Monster Association, didn't we? response:	We're also...
context: Why are you inviting me?\We want to defeat Flashy Flash once and for all.\Help us do that.\Don't make me laugh. I have neither the obligation nor the time to do that.\Get lost if you don't want to die.\I guess we'll just have to show you, then.\We mentioned the Monster Association, didn't we?\We're also... response:	All it takes is becoming a monster.
context: We want to defeat Flashy Flash once and for all.\Help us do that.\Don't make me laugh. I have neither the obligation nor the time to do that.\Get lost if you don't want to die.\I guess we'll just have to show you, then.\We mentioned the Monster Association, didn't we?\We're also...\All it takes is becoming a monster. response:	No drugs or surgery can even come close to this.
context: Help us do that.\Don't make me laugh. I have neither the obligation nor the time to do that.\Get lost if you don't want to die.\I guess we'll just have to show you, then.\We mentioned the Monster Association, didn't we?\We're also...\All it takes is becoming a monster.\No drugs or surgery can even come close to this. response:	Are you interested in powering up now?
context: Don't make me laugh. I have neither the obligation nor the time to do that.\Get lost if you don't want to die.\I guess we'll just have to show you, then.\We mentioned the Monster Association, didn't we?\We're also...\All it takes is becoming a monster.\No drugs or surgery can even come close to this.\Are you interested in powering up now? response:	A monster cell.
context: Get lost if you don't want to die.\I guess we'll just have to show you, then.\We mentioned the Monster Association, didn't we?\We're also...\All it takes is becoming a monster.\No drugs or surgery can even come close to this.\Are you interested in powering up now?\A monster cell. response:	All you need to do is ingest this into your body.
context: I guess we'll just have to show you, then.\We mentioned the Monster Association, didn't we?\We're also...\All it takes is becoming a monster.\No drugs or surgery can even come close to this.\Are you interested in powering up now?\A monster cell.\All you need to do is ingest this into your body. response:	I'll give it to you.
context: We mentioned the Monster Association, didn't we?\We're also...\All it takes is becoming a monster.\No drugs or surgery can even come close to this.\Are you interested in powering up now?\A monster cell.\All you need to do is ingest this into your body.\I'll give it to you. response:	We'll be waiting for you at the Monster Association.
context: We're also...\All it takes is becoming a monster.\No drugs or surgery can even come close to this.\Are you interested in powering up now?\A monster cell.\All you need to do is ingest this into your body.\I'll give it to you.\We'll be waiting for you at the Monster Association. response:	No matter how much more I train, I can't see myself defeating him.
context: All it takes is becoming a monster.\No drugs or surgery can even come close to this.\Are you interested in powering up now?\A monster cell.\All you need to do is ingest this into your body.\I'll give it to you.\We'll be waiting for you at the Monster Association.\No matter how much more I train, I can't see myself defeating him. response:	But I want to defeat Saitama, no matter what.
context: No drugs or surgery can even come close to this.\Are you interested in powering up now?\A monster cell.\All you need to do is ingest this into your body.\I'll give it to you.\We'll be waiting for you at the Monster Association.\No matter how much more I train, I can't see myself defeating him.\But I want to defeat Saitama, no matter what. response:	And to do that...
context: Are you interested in powering up now?\A monster cell.\All you need to do is ingest this into your body.\I'll give it to you.\We'll be waiting for you at the Monster Association.\No matter how much more I train, I can't see myself defeating him.\But I want to defeat Saitama, no matter what.\And to do that... response:	I'll have to throw away my humanity. When I lost to him, I basically died.
context: A monster cell.\All you need to do is ingest this into your body.\I'll give it to you.\We'll be waiting for you at the Monster Association.\No matter how much more I train, I can't see myself defeating him.\But I want to defeat Saitama, no matter what.\And to do that...\I'll have to throw away my humanity. When I lost to him, I basically died. response:	I have no need to hold on to my humanity.
context: All you need to do is ingest this into your body.\I'll give it to you.\We'll be waiting for you at the Monster Association.\No matter how much more I train, I can't see myself defeating him.\But I want to defeat Saitama, no matter what.\And to do that...\I'll have to throw away my humanity. When I lost to him, I basically died.\I have no need to hold on to my humanity. response:	Saitama, I'm going to become a monster!
context: I'll give it to you.\We'll be waiting for you at the Monster Association.\No matter how much more I train, I can't see myself defeating him.\But I want to defeat Saitama, no matter what.\And to do that...\I'll have to throw away my humanity. When I lost to him, I basically died.\I have no need to hold on to my humanity.\Saitama, I'm going to become a monster! response:	Some of the monsters are still about, so the evacuation order is still in effect.
context: We'll be waiting for you at the Monster Association.\No matter how much more I train, I can't see myself defeating him.\But I want to defeat Saitama, no matter what.\And to do that...\I'll have to throw away my humanity. When I lost to him, I basically died.\I have no need to hold on to my humanity.\Saitama, I'm going to become a monster!\Some of the monsters are still about, so the evacuation order is still in effect. response:	It's been a long day.
context: No matter how much more I train, I can't see myself defeating him.\But I want to defeat Saitama, no matter what.\And to do that...\I'll have to throw away my humanity. When I lost to him, I basically died.\I have no need to hold on to my humanity.\Saitama, I'm going to become a monster!\Some of the monsters are still about, so the evacuation order is still in effect.\It's been a long day. response:	One particularly strong opponent is Martial Gorilla.
context: But I want to defeat Saitama, no matter what.\And to do that...\I'll have to throw away my humanity. When I lost to him, I basically died.\I have no need to hold on to my humanity.\Saitama, I'm going to become a monster!\Some of the monsters are still about, so the evacuation order is still in effect.\It's been a long day.\One particularly strong opponent is Martial Gorilla. response:	He said that he's going to continue attacking
context: And to do that...\I'll have to throw away my humanity. When I lost to him, I basically died.\I have no need to hold on to my humanity.\Saitama, I'm going to become a monster!\Some of the monsters are still about, so the evacuation order is still in effect.\It's been a long day.\One particularly strong opponent is Martial Gorilla.\He said that he's going to continue attacking response:	Class A heroes until his threat level is raised from Tiger to Demon.
context: I'll have to throw away my humanity. When I lost to him, I basically died.\I have no need to hold on to my humanity.\Saitama, I'm going to become a monster!\Some of the monsters are still about, so the evacuation order is still in effect.\It's been a long day.\One particularly strong opponent is Martial Gorilla.\He said that he's going to continue attacking\Class A heroes until his threat level is raised from Tiger to Demon. response:	City W, huh?
context: I have no need to hold on to my humanity.\Saitama, I'm going to become a monster!\Some of the monsters are still about, so the evacuation order is still in effect.\It's been a long day.\One particularly strong opponent is Martial Gorilla.\He said that he's going to continue attacking\Class A heroes until his threat level is raised from Tiger to Demon.\City W, huh? response:	Have the heroes in the area gather and surround him.
context: Saitama, I'm going to become a monster!\Some of the monsters are still about, so the evacuation order is still in effect.\It's been a long day.\One particularly strong opponent is Martial Gorilla.\He said that he's going to continue attacking\Class A heroes until his threat level is raised from Tiger to Demon.\City W, huh?\Have the heroes in the area gather and surround him. response:	There's no need.
