context: ReLIFE Experiment Contract response:	ReLIFE Laboratory is an organization that is developing a program
context: The 1,000 yen,\score of four,\and cigarette guy.\Seriously, don't remember me like that!\Sorry. I couldn't recall your name.\But you're smart.\I think that's unrelated.\It's Kaizaki. response:	Kaizaki Arata.
context: score of four,\and cigarette guy.\Seriously, don't remember me like that!\Sorry. I couldn't recall your name.\But you're smart.\I think that's unrelated.\It's Kaizaki.\Kaizaki Arata. response:	Kaizaki Arata.
context: and cigarette guy.\Seriously, don't remember me like that!\Sorry. I couldn't recall your name.\But you're smart.\I think that's unrelated.\It's Kaizaki.\Kaizaki Arata.\Kaizaki Arata. response:	I've memorized it. I'm Hishiro...
context: Seriously, don't remember me like that!\Sorry. I couldn't recall your name.\But you're smart.\I think that's unrelated.\It's Kaizaki.\Kaizaki Arata.\Kaizaki Arata.\I've memorized it. I'm Hishiro... response:	Um, why do you know my name?
context: Sorry. I couldn't recall your name.\But you're smart.\I think that's unrelated.\It's Kaizaki.\Kaizaki Arata.\Kaizaki Arata.\I've memorized it. I'm Hishiro...\Um, why do you know my name? response:	I think you used it at lunch, too.
context: But you're smart.\I think that's unrelated.\It's Kaizaki.\Kaizaki Arata.\Kaizaki Arata.\I've memorized it. I'm Hishiro...\Um, why do you know my name?\I think you used it at lunch, too. response:	We did introductions yesterday,
context: I think that's unrelated.\It's Kaizaki.\Kaizaki Arata.\Kaizaki Arata.\I've memorized it. I'm Hishiro...\Um, why do you know my name?\I think you used it at lunch, too.\We did introductions yesterday, response:	and you were introduced in this morning's homeroom, too.
context: It's Kaizaki.\Kaizaki Arata.\Kaizaki Arata.\I've memorized it. I'm Hishiro...\Um, why do you know my name?\I think you used it at lunch, too.\We did introductions yesterday,\and you were introduced in this morning's homeroom, too. response:	That's all you needed?
context: Kaizaki Arata.\Kaizaki Arata.\I've memorized it. I'm Hishiro...\Um, why do you know my name?\I think you used it at lunch, too.\We did introductions yesterday,\and you were introduced in this morning's homeroom, too.\That's all you needed? response:	But you're dumb.
context: Kaizaki Arata.\I've memorized it. I'm Hishiro...\Um, why do you know my name?\I think you used it at lunch, too.\We did introductions yesterday,\and you were introduced in this morning's homeroom, too.\That's all you needed?\But you're dumb. response:	Hey! That's going too far!
context: I've memorized it. I'm Hishiro...\Um, why do you know my name?\I think you used it at lunch, too.\We did introductions yesterday,\and you were introduced in this morning's homeroom, too.\That's all you needed?\But you're dumb.\Hey! That's going too far! response:	Don't say everything you think!
context: Um, why do you know my name?\I think you used it at lunch, too.\We did introductions yesterday,\and you were introduced in this morning's homeroom, too.\That's all you needed?\But you're dumb.\Hey! That's going too far!\Don't say everything you think! response:	I apologize. I won't say it anymore, even if that's what I think.
context: I think you used it at lunch, too.\We did introductions yesterday,\and you were introduced in this morning's homeroom, too.\That's all you needed?\But you're dumb.\Hey! That's going too far!\Don't say everything you think!\I apologize. I won't say it anymore, even if that's what I think. response:	Oh, come on.
context: We did introductions yesterday,\and you were introduced in this morning's homeroom, too.\That's all you needed?\But you're dumb.\Hey! That's going too far!\Don't say everything you think!\I apologize. I won't say it anymore, even if that's what I think.\Oh, come on. response:	Staff Room
context: and you were introduced in this morning's homeroom, too.\That's all you needed?\But you're dumb.\Hey! That's going too far!\Don't say everything you think!\I apologize. I won't say it anymore, even if that's what I think.\Oh, come on.\Staff Room response:	By the way, what were you doing in the staff room?
context: That's all you needed?\But you're dumb.\Hey! That's going too far!\Don't say everything you think!\I apologize. I won't say it anymore, even if that's what I think.\Oh, come on.\Staff Room\By the way, what were you doing in the staff room? response:	Oh, did you get in trouble, too?
context: But you're dumb.\Hey! That's going too far!\Don't say everything you think!\I apologize. I won't say it anymore, even if that's what I think.\Oh, come on.\Staff Room\By the way, what were you doing in the staff room?\Oh, did you get in trouble, too? response:	Do you actually mean that?
context: Hey! That's going too far!\Don't say everything you think!\I apologize. I won't say it anymore, even if that's what I think.\Oh, come on.\Staff Room\By the way, what were you doing in the staff room?\Oh, did you get in trouble, too?\Do you actually mean that? response:	Sorry. That was a joke.
context: Don't say everything you think!\I apologize. I won't say it anymore, even if that's what I think.\Oh, come on.\Staff Room\By the way, what were you doing in the staff room?\Oh, did you get in trouble, too?\Do you actually mean that?\Sorry. That was a joke. response:	I came to pick up my silver pin.
context: I apologize. I won't say it anymore, even if that's what I think.\Oh, come on.\Staff Room\By the way, what were you doing in the staff room?\Oh, did you get in trouble, too?\Do you actually mean that?\Sorry. That was a joke.\I came to pick up my silver pin. response:	Also, there was something I didn't understand on the tests,
context: Oh, come on.\Staff Room\By the way, what were you doing in the staff room?\Oh, did you get in trouble, too?\Do you actually mean that?\Sorry. That was a joke.\I came to pick up my silver pin.\Also, there was something I didn't understand on the tests, response:	so I asked about it.
context: Staff Room\By the way, what were you doing in the staff room?\Oh, did you get in trouble, too?\Do you actually mean that?\Sorry. That was a joke.\I came to pick up my silver pin.\Also, there was something I didn't understand on the tests,\so I asked about it. response:	Whoa. You sure are serious.
context: By the way, what were you doing in the staff room?\Oh, did you get in trouble, too?\Do you actually mean that?\Sorry. That was a joke.\I came to pick up my silver pin.\Also, there was something I didn't understand on the tests,\so I asked about it.\Whoa. You sure are serious. response:	Am I a serious, boring girl?
context: Oh, did you get in trouble, too?\Do you actually mean that?\Sorry. That was a joke.\I came to pick up my silver pin.\Also, there was something I didn't understand on the tests,\so I asked about it.\Whoa. You sure are serious.\Am I a serious, boring girl? response:	No, that's not it.
context: Do you actually mean that?\Sorry. That was a joke.\I came to pick up my silver pin.\Also, there was something I didn't understand on the tests,\so I asked about it.\Whoa. You sure are serious.\Am I a serious, boring girl?\No, that's not it. response:	I heard you topped the grade last year, so I just thought, No wonder.
context: Sorry. That was a joke.\I came to pick up my silver pin.\Also, there was something I didn't understand on the tests,\so I asked about it.\Whoa. You sure are serious.\Am I a serious, boring girl?\No, that's not it.\I heard you topped the grade last year, so I just thought, No wonder. response:	Sorry if I offended you.
context: I came to pick up my silver pin.\Also, there was something I didn't understand on the tests,\so I asked about it.\Whoa. You sure are serious.\Am I a serious, boring girl?\No, that's not it.\I heard you topped the grade last year, so I just thought, No wonder.\Sorry if I offended you. response:	No, I should be the one apologizing.
context: Also, there was something I didn't understand on the tests,\so I asked about it.\Whoa. You sure are serious.\Am I a serious, boring girl?\No, that's not it.\I heard you topped the grade last year, so I just thought, No wonder.\Sorry if I offended you.\No, I should be the one apologizing. response:	B-By the way, why do you speak so formally to me?
context: so I asked about it.\Whoa. You sure are serious.\Am I a serious, boring girl?\No, that's not it.\I heard you topped the grade last year, so I just thought, No wonder.\Sorry if I offended you.\No, I should be the one apologizing.\B-By the way, why do you speak so formally to me? response:	Do you think I'm a delinquent or scary or something?
context: Whoa. You sure are serious.\Am I a serious, boring girl?\No, that's not it.\I heard you topped the grade last year, so I just thought, No wonder.\Sorry if I offended you.\No, I should be the one apologizing.\B-By the way, why do you speak so formally to me?\Do you think I'm a delinquent or scary or something? response:	I sure hope that's the case,
context: Am I a serious, boring girl?\No, that's not it.\I heard you topped the grade last year, so I just thought, No wonder.\Sorry if I offended you.\No, I should be the one apologizing.\B-By the way, why do you speak so formally to me?\Do you think I'm a delinquent or scary or something?\I sure hope that's the case, response:	because it feels like she thinks I'm older, and that's giving me heart attacks.
context: No, that's not it.\I heard you topped the grade last year, so I just thought, No wonder.\Sorry if I offended you.\No, I should be the one apologizing.\B-By the way, why do you speak so formally to me?\Do you think I'm a delinquent or scary or something?\I sure hope that's the case,\because it feels like she thinks I'm older, and that's giving me heart attacks. response:	She said as much at lunch.
context: I heard you topped the grade last year, so I just thought, No wonder.\Sorry if I offended you.\No, I should be the one apologizing.\B-By the way, why do you speak so formally to me?\Do you think I'm a delinquent or scary or something?\I sure hope that's the case,\because it feels like she thinks I'm older, and that's giving me heart attacks.\She said as much at lunch. response:	You're grown-up.
context: Sorry if I offended you.\No, I should be the one apologizing.\B-By the way, why do you speak so formally to me?\Do you think I'm a delinquent or scary or something?\I sure hope that's the case,\because it feels like she thinks I'm older, and that's giving me heart attacks.\She said as much at lunch.\You're grown-up. response:	Not really.
context: No, I should be the one apologizing.\B-By the way, why do you speak so formally to me?\Do you think I'm a delinquent or scary or something?\I sure hope that's the case,\because it feels like she thinks I'm older, and that's giving me heart attacks.\She said as much at lunch.\You're grown-up.\Not really. response:	This is how I talk to everyone.
context: B-By the way, why do you speak so formally to me?\Do you think I'm a delinquent or scary or something?\I sure hope that's the case,\because it feels like she thinks I'm older, and that's giving me heart attacks.\She said as much at lunch.\You're grown-up.\Not really.\This is how I talk to everyone. response:	Don't worry about it.
context: Do you think I'm a delinquent or scary or something?\I sure hope that's the case,\because it feels like she thinks I'm older, and that's giving me heart attacks.\She said as much at lunch.\You're grown-up.\Not really.\This is how I talk to everyone.\Don't worry about it. response:	Is that so?
context: I sure hope that's the case,\because it feels like she thinks I'm older, and that's giving me heart attacks.\She said as much at lunch.\You're grown-up.\Not really.\This is how I talk to everyone.\Don't worry about it.\Is that so? response:	Does that make me unapproachable?
context: because it feels like she thinks I'm older, and that's giving me heart attacks.\She said as much at lunch.\You're grown-up.\Not really.\This is how I talk to everyone.\Don't worry about it.\Is that so?\Does that make me unapproachable? response:	People tell me that a lot.
context: She said as much at lunch.\You're grown-up.\Not really.\This is how I talk to everyone.\Don't worry about it.\Is that so?\Does that make me unapproachable?\People tell me that a lot. response:	Even at this age, I don't have any close friends.
context: You're grown-up.\Not really.\This is how I talk to everyone.\Don't worry about it.\Is that so?\Does that make me unapproachable?\People tell me that a lot.\Even at this age, I don't have any close friends. response:	I never thought that was a problem,
context: Not really.\This is how I talk to everyone.\Don't worry about it.\Is that so?\Does that make me unapproachable?\People tell me that a lot.\Even at this age, I don't have any close friends.\I never thought that was a problem, response:	but apparently society does.
context: This is how I talk to everyone.\Don't worry about it.\Is that so?\Does that make me unapproachable?\People tell me that a lot.\Even at this age, I don't have any close friends.\I never thought that was a problem,\but apparently society does. response:	I keep thinking I need to change,
context: Don't worry about it.\Is that so?\Does that make me unapproachable?\People tell me that a lot.\Even at this age, I don't have any close friends.\I never thought that was a problem,\but apparently society does.\I keep thinking I need to change, response:	but I have no idea where to begin.
context: Is that so?\Does that make me unapproachable?\People tell me that a lot.\Even at this age, I don't have any close friends.\I never thought that was a problem,\but apparently society does.\I keep thinking I need to change,\but I have no idea where to begin. response:	It would help if you could tell me honestly.
context: Does that make me unapproachable?\People tell me that a lot.\Even at this age, I don't have any close friends.\I never thought that was a problem,\but apparently society does.\I keep thinking I need to change,\but I have no idea where to begin.\It would help if you could tell me honestly. response:	Am I really unapproachable?
context: People tell me that a lot.\Even at this age, I don't have any close friends.\I never thought that was a problem,\but apparently society does.\I keep thinking I need to change,\but I have no idea where to begin.\It would help if you could tell me honestly.\Am I really unapproachable? response:	Frankly speaking, yeah.
context: Even at this age, I don't have any close friends.\I never thought that was a problem,\but apparently society does.\I keep thinking I need to change,\but I have no idea where to begin.\It would help if you could tell me honestly.\Am I really unapproachable?\Frankly speaking, yeah. response:	But I also feel like you'd be worth getting to know.
context: I never thought that was a problem,\but apparently society does.\I keep thinking I need to change,\but I have no idea where to begin.\It would help if you could tell me honestly.\Am I really unapproachable?\Frankly speaking, yeah.\But I also feel like you'd be worth getting to know. response:	I dunno, maybe try smiling a little more?
context: but apparently society does.\I keep thinking I need to change,\but I have no idea where to begin.\It would help if you could tell me honestly.\Am I really unapproachable?\Frankly speaking, yeah.\But I also feel like you'd be worth getting to know.\I dunno, maybe try smiling a little more? response:	Smiling?
context: I keep thinking I need to change,\but I have no idea where to begin.\It would help if you could tell me honestly.\Am I really unapproachable?\Frankly speaking, yeah.\But I also feel like you'd be worth getting to know.\I dunno, maybe try smiling a little more?\Smiling? response:	Like this?
context: but I have no idea where to begin.\It would help if you could tell me honestly.\Am I really unapproachable?\Frankly speaking, yeah.\But I also feel like you'd be worth getting to know.\I dunno, maybe try smiling a little more?\Smiling?\Like this? response:	You're kidding.
context: It would help if you could tell me honestly.\Am I really unapproachable?\Frankly speaking, yeah.\But I also feel like you'd be worth getting to know.\I dunno, maybe try smiling a little more?\Smiling?\Like this?\You're kidding. response:	You just freaked out.
context: Am I really unapproachable?\Frankly speaking, yeah.\But I also feel like you'd be worth getting to know.\I dunno, maybe try smiling a little more?\Smiling?\Like this?\You're kidding.\You just freaked out. response:	S-Sorry, it just wasn't what I was expecting.
context: Frankly speaking, yeah.\But I also feel like you'd be worth getting to know.\I dunno, maybe try smiling a little more?\Smiling?\Like this?\You're kidding.\You just freaked out.\S-Sorry, it just wasn't what I was expecting. response:	Then... like this?
context: But I also feel like you'd be worth getting to know.\I dunno, maybe try smiling a little more?\Smiling?\Like this?\You're kidding.\You just freaked out.\S-Sorry, it just wasn't what I was expecting.\Then... like this? response:	No, that's the same!
context: I dunno, maybe try smiling a little more?\Smiling?\Like this?\You're kidding.\You just freaked out.\S-Sorry, it just wasn't what I was expecting.\Then... like this?\No, that's the same! response:	No more! Abandon the smile strategy!
context: Smiling?\Like this?\You're kidding.\You just freaked out.\S-Sorry, it just wasn't what I was expecting.\Then... like this?\No, that's the same!\No more! Abandon the smile strategy! response:	You'll make enemies, not friends!
context: Like this?\You're kidding.\You just freaked out.\S-Sorry, it just wasn't what I was expecting.\Then... like this?\No, that's the same!\No more! Abandon the smile strategy!\You'll make enemies, not friends! response:	If I can't even manage a polite smile,
context: You're kidding.\You just freaked out.\S-Sorry, it just wasn't what I was expecting.\Then... like this?\No, that's the same!\No more! Abandon the smile strategy!\You'll make enemies, not friends!\If I can't even manage a polite smile, response:	I'll be in trouble in the real world.
context: You just freaked out.\S-Sorry, it just wasn't what I was expecting.\Then... like this?\No, that's the same!\No more! Abandon the smile strategy!\You'll make enemies, not friends!\If I can't even manage a polite smile,\I'll be in trouble in the real world. response:	Well, you don't have to rush things.
context: S-Sorry, it just wasn't what I was expecting.\Then... like this?\No, that's the same!\No more! Abandon the smile strategy!\You'll make enemies, not friends!\If I can't even manage a polite smile,\I'll be in trouble in the real world.\Well, you don't have to rush things. response:	You'll make friends in time, I'm sure.
context: Then... like this?\No, that's the same!\No more! Abandon the smile strategy!\You'll make enemies, not friends!\If I can't even manage a polite smile,\I'll be in trouble in the real world.\Well, you don't have to rush things.\You'll make friends in time, I'm sure. response:	I thought I would, once.
context: No, that's the same!\No more! Abandon the smile strategy!\You'll make enemies, not friends!\If I can't even manage a polite smile,\I'll be in trouble in the real world.\Well, you don't have to rush things.\You'll make friends in time, I'm sure.\I thought I would, once. response:	Did I put my foot in it?
context: No more! Abandon the smile strategy!\You'll make enemies, not friends!\If I can't even manage a polite smile,\I'll be in trouble in the real world.\Well, you don't have to rush things.\You'll make friends in time, I'm sure.\I thought I would, once.\Did I put my foot in it? response:	Oh, but I'm the same.
context: You'll make enemies, not friends!\If I can't even manage a polite smile,\I'll be in trouble in the real world.\Well, you don't have to rush things.\You'll make friends in time, I'm sure.\I thought I would, once.\Did I put my foot in it?\Oh, but I'm the same. response:	The future I assumed I would have
context: If I can't even manage a polite smile,\I'll be in trouble in the real world.\Well, you don't have to rush things.\You'll make friends in time, I'm sure.\I thought I would, once.\Did I put my foot in it?\Oh, but I'm the same.\The future I assumed I would have response:	never came to me.
context: I'll be in trouble in the real world.\Well, you don't have to rush things.\You'll make friends in time, I'm sure.\I thought I would, once.\Did I put my foot in it?\Oh, but I'm the same.\The future I assumed I would have\never came to me. response:	Of course I'd rush things.
context: Well, you don't have to rush things.\You'll make friends in time, I'm sure.\I thought I would, once.\Did I put my foot in it?\Oh, but I'm the same.\The future I assumed I would have\never came to me.\Of course I'd rush things. response:	This year is my last chance.
context: You'll make friends in time, I'm sure.\I thought I would, once.\Did I put my foot in it?\Oh, but I'm the same.\The future I assumed I would have\never came to me.\Of course I'd rush things.\This year is my last chance. response:	Oh, right.
context: I thought I would, once.\Did I put my foot in it?\Oh, but I'm the same.\The future I assumed I would have\never came to me.\Of course I'd rush things.\This year is my last chance.\Oh, right. response:	We're third years.
context: Did I put my foot in it?\Oh, but I'm the same.\The future I assumed I would have\never came to me.\Of course I'd rush things.\This year is my last chance.\Oh, right.\We're third years. response:	Oh, sorry.
context: Oh, but I'm the same.\The future I assumed I would have\never came to me.\Of course I'd rush things.\This year is my last chance.\Oh, right.\We're third years.\Oh, sorry. response:	Kept you talking. We'd better get home.
context: The future I assumed I would have\never came to me.\Of course I'd rush things.\This year is my last chance.\Oh, right.\We're third years.\Oh, sorry.\Kept you talking. We'd better get home. response:	Um!
context: never came to me.\Of course I'd rush things.\This year is my last chance.\Oh, right.\We're third years.\Oh, sorry.\Kept you talking. We'd better get home.\Um! response:	Can I have...
context: Of course I'd rush things.\This year is my last chance.\Oh, right.\We're third years.\Oh, sorry.\Kept you talking. We'd better get home.\Um!\Can I have... response:	Huh?
context: This year is my last chance.\Oh, right.\We're third years.\Oh, sorry.\Kept you talking. We'd better get home.\Um!\Can I have...\Huh? response:	Huh?
context: Oh, right.\We're third years.\Oh, sorry.\Kept you talking. We'd better get home.\Um!\Can I have...\Huh?\Huh? response:	Can you have... my phone?
context: We're third years.\Oh, sorry.\Kept you talking. We'd better get home.\Um!\Can I have...\Huh?\Huh?\Can you have... my phone? response:	I-I'm not sure how to respond to this sudden attempt to mug me.
context: Oh, sorry.\Kept you talking. We'd better get home.\Um!\Can I have...\Huh?\Huh?\Can you have... my phone?\I-I'm not sure how to respond to this sudden attempt to mug me. response:	That's not it.
context: Kept you talking. We'd better get home.\Um!\Can I have...\Huh?\Huh?\Can you have... my phone?\I-I'm not sure how to respond to this sudden attempt to mug me.\That's not it. response:	Fill in the blanks, please.
context: Um!\Can I have...\Huh?\Huh?\Can you have... my phone?\I-I'm not sure how to respond to this sudden attempt to mug me.\That's not it.\Fill in the blanks, please. response:	Excuse me?
context: Can I have...\Huh?\Huh?\Can you have... my phone?\I-I'm not sure how to respond to this sudden attempt to mug me.\That's not it.\Fill in the blanks, please.\Excuse me? response:	Basically,
context: Huh?\Huh?\Can you have... my phone?\I-I'm not sure how to respond to this sudden attempt to mug me.\That's not it.\Fill in the blanks, please.\Excuse me?\Basically, response:	I mean...
context: Huh?\Can you have... my phone?\I-I'm not sure how to respond to this sudden attempt to mug me.\That's not it.\Fill in the blanks, please.\Excuse me?\Basically,\I mean... response:	I want to know your phone number.
context: Can you have... my phone?\I-I'm not sure how to respond to this sudden attempt to mug me.\That's not it.\Fill in the blanks, please.\Excuse me?\Basically,\I mean...\I want to know your phone number. response:	I'm saying I want to be your friend.
context: I-I'm not sure how to respond to this sudden attempt to mug me.\That's not it.\Fill in the blanks, please.\Excuse me?\Basically,\I mean...\I want to know your phone number.\I'm saying I want to be your friend. response:	I'm trying to take the first step toward not being a friendless loner.
context: That's not it.\Fill in the blanks, please.\Excuse me?\Basically,\I mean...\I want to know your phone number.\I'm saying I want to be your friend.\I'm trying to take the first step toward not being a friendless loner. response:	Please.
context: Fill in the blanks, please.\Excuse me?\Basically,\I mean...\I want to know your phone number.\I'm saying I want to be your friend.\I'm trying to take the first step toward not being a friendless loner.\Please. response:	Figure that much out.
context: Excuse me?\Basically,\I mean...\I want to know your phone number.\I'm saying I want to be your friend.\I'm trying to take the first step toward not being a friendless loner.\Please.\Figure that much out. response:	You really are dumb.
context: Basically,\I mean...\I want to know your phone number.\I'm saying I want to be your friend.\I'm trying to take the first step toward not being a friendless loner.\Please.\Figure that much out.\You really are dumb. response:	Sorry for not guessing all that.
context: I mean...\I want to know your phone number.\I'm saying I want to be your friend.\I'm trying to take the first step toward not being a friendless loner.\Please.\Figure that much out.\You really are dumb.\Sorry for not guessing all that. response:	But when you put it that clearly,
context: I want to know your phone number.\I'm saying I want to be your friend.\I'm trying to take the first step toward not being a friendless loner.\Please.\Figure that much out.\You really are dumb.\Sorry for not guessing all that.\But when you put it that clearly, response:	it won't be misunderstood, and I doubt anyone would turn you down.
context: I'm saying I want to be your friend.\I'm trying to take the first step toward not being a friendless loner.\Please.\Figure that much out.\You really are dumb.\Sorry for not guessing all that.\But when you put it that clearly,\it won't be misunderstood, and I doubt anyone would turn you down. response:	Well said.
context: I'm trying to take the first step toward not being a friendless loner.\Please.\Figure that much out.\You really are dumb.\Sorry for not guessing all that.\But when you put it that clearly,\it won't be misunderstood, and I doubt anyone would turn you down.\Well said. response:	Don't treat me like an idiot, idiot.
context: Please.\Figure that much out.\You really are dumb.\Sorry for not guessing all that.\But when you put it that clearly,\it won't be misunderstood, and I doubt anyone would turn you down.\Well said.\Don't treat me like an idiot, idiot. response:	Would you drop the insults about my intelligence already?!
context: Figure that much out.\You really are dumb.\Sorry for not guessing all that.\But when you put it that clearly,\it won't be misunderstood, and I doubt anyone would turn you down.\Well said.\Don't treat me like an idiot, idiot.\Would you drop the insults about my intelligence already?! response:	You also seem like someone worth getting to know.
context: You really are dumb.\Sorry for not guessing all that.\But when you put it that clearly,\it won't be misunderstood, and I doubt anyone would turn you down.\Well said.\Don't treat me like an idiot, idiot.\Would you drop the insults about my intelligence already?!\You also seem like someone worth getting to know. response:	Would you look at that? You can smile.
context: Sorry for not guessing all that.\But when you put it that clearly,\it won't be misunderstood, and I doubt anyone would turn you down.\Well said.\Don't treat me like an idiot, idiot.\Would you drop the insults about my intelligence already?!\You also seem like someone worth getting to know.\Would you look at that? You can smile. response:	I see. For better or worse, she's an utterly straightforward girl.
context: But when you put it that clearly,\it won't be misunderstood, and I doubt anyone would turn you down.\Well said.\Don't treat me like an idiot, idiot.\Would you drop the insults about my intelligence already?!\You also seem like someone worth getting to know.\Would you look at that? You can smile.\I see. For better or worse, she's an utterly straightforward girl. response:	You smiled when I loaned you that 1,000 yen, too.
context: it won't be misunderstood, and I doubt anyone would turn you down.\Well said.\Don't treat me like an idiot, idiot.\Would you drop the insults about my intelligence already?!\You also seem like someone worth getting to know.\Would you look at that? You can smile.\I see. For better or worse, she's an utterly straightforward girl.\You smiled when I loaned you that 1,000 yen, too. response:	I did?
context: Well said.\Don't treat me like an idiot, idiot.\Would you drop the insults about my intelligence already?!\You also seem like someone worth getting to know.\Would you look at that? You can smile.\I see. For better or worse, she's an utterly straightforward girl.\You smiled when I loaned you that 1,000 yen, too.\I did? response:	Ah, but don't try and force it!
context: Don't treat me like an idiot, idiot.\Would you drop the insults about my intelligence already?!\You also seem like someone worth getting to know.\Would you look at that? You can smile.\I see. For better or worse, she's an utterly straightforward girl.\You smiled when I loaned you that 1,000 yen, too.\I did?\Ah, but don't try and force it! response:	Math's the killer.
context: Would you drop the insults about my intelligence already?!\You also seem like someone worth getting to know.\Would you look at that? You can smile.\I see. For better or worse, she's an utterly straightforward girl.\You smiled when I loaned you that 1,000 yen, too.\I did?\Ah, but don't try and force it!\Math's the killer. response:	It's especially easy to get hooked at your age!
context: You also seem like someone worth getting to know.\Would you look at that? You can smile.\I see. For better or worse, she's an utterly straightforward girl.\You smiled when I loaned you that 1,000 yen, too.\I did?\Ah, but don't try and force it!\Math's the killer.\It's especially easy to get hooked at your age! response:	You won't be able to quit!
context: Would you look at that? You can smile.\I see. For better or worse, she's an utterly straightforward girl.\You smiled when I loaned you that 1,000 yen, too.\I did?\Ah, but don't try and force it!\Math's the killer.\It's especially easy to get hooked at your age!\You won't be able to quit! response:	Yoake
context: I see. For better or worse, she's an utterly straightforward girl.\You smiled when I loaned you that 1,000 yen, too.\I did?\Ah, but don't try and force it!\Math's the killer.\It's especially easy to get hooked at your age!\You won't be able to quit!\Yoake response:	Call
context: You smiled when I loaned you that 1,000 yen, too.\I did?\Ah, but don't try and force it!\Math's the killer.\It's especially easy to get hooked at your age!\You won't be able to quit!\Yoake\Call response:	Yes... yeah...
context: I did?\Ah, but don't try and force it!\Math's the killer.\It's especially easy to get hooked at your age!\You won't be able to quit!\Yoake\Call\Yes... yeah... response:	Cigarettes?
context: Ah, but don't try and force it!\Math's the killer.\It's especially easy to get hooked at your age!\You won't be able to quit!\Yoake\Call\Yes... yeah...\Cigarettes? response:	Well, only your exterior looks young,
context: Math's the killer.\It's especially easy to get hooked at your age!\You won't be able to quit!\Yoake\Call\Yes... yeah...\Cigarettes?\Well, only your exterior looks young, response:	so that's not a problem.
context: It's especially easy to get hooked at your age!\You won't be able to quit!\Yoake\Call\Yes... yeah...\Cigarettes?\Well, only your exterior looks young,\so that's not a problem. response:	Oh, okay.
context: You won't be able to quit!\Yoake\Call\Yes... yeah...\Cigarettes?\Well, only your exterior looks young,\so that's not a problem.\Oh, okay. response:	But you'll probably find it hard to buy them with your appearance.
context: Yoake\Call\Yes... yeah...\Cigarettes?\Well, only your exterior looks young,\so that's not a problem.\Oh, okay.\But you'll probably find it hard to buy them with your appearance. response:	May be a good time to quit!
context: Call\Yes... yeah...\Cigarettes?\Well, only your exterior looks young,\so that's not a problem.\Oh, okay.\But you'll probably find it hard to buy them with your appearance.\May be a good time to quit! response:	Hard to shake the smell, after all.
context: Yes... yeah...\Cigarettes?\Well, only your exterior looks young,\so that's not a problem.\Oh, okay.\But you'll probably find it hard to buy them with your appearance.\May be a good time to quit!\Hard to shake the smell, after all. response:	You just got Hishiro-san to smile.
context: Cigarettes?\Well, only your exterior looks young,\so that's not a problem.\Oh, okay.\But you'll probably find it hard to buy them with your appearance.\May be a good time to quit!\Hard to shake the smell, after all.\You just got Hishiro-san to smile. response:	Can't have her turning against you!
context: Well, only your exterior looks young,\so that's not a problem.\Oh, okay.\But you'll probably find it hard to buy them with your appearance.\May be a good time to quit!\Hard to shake the smell, after all.\You just got Hishiro-san to smile.\Can't have her turning against you! response:	What? You were watch
context: so that's not a problem.\Oh, okay.\But you'll probably find it hard to buy them with your appearance.\May be a good time to quit!\Hard to shake the smell, after all.\You just got Hishiro-san to smile.\Can't have her turning against you!\What? You were watch response:	Is she your type?
context: Oh, okay.\But you'll probably find it hard to buy them with your appearance.\May be a good time to quit!\Hard to shake the smell, after all.\You just got Hishiro-san to smile.\Can't have her turning against you!\What? You were watch\Is she your type? response:	What the hell?!
context: But you'll probably find it hard to buy them with your appearance.\May be a good time to quit!\Hard to shake the smell, after all.\You just got Hishiro-san to smile.\Can't have her turning against you!\What? You were watch\Is she your type?\What the hell?! response:	Be nice to her.
context: May be a good time to quit!\Hard to shake the smell, after all.\You just got Hishiro-san to smile.\Can't have her turning against you!\What? You were watch\Is she your type?\What the hell?!\Be nice to her. response:	I was in the same class with her last year,
context: Hard to shake the smell, after all.\You just got Hishiro-san to smile.\Can't have her turning against you!\What? You were watch\Is she your type?\What the hell?!\Be nice to her.\I was in the same class with her last year, response:	and she was alone the whole time.
context: You just got Hishiro-san to smile.\Can't have her turning against you!\What? You were watch\Is she your type?\What the hell?!\Be nice to her.\I was in the same class with her last year,\and she was alone the whole time. response:	But, like I told you from the start,
context: Can't have her turning against you!\What? You were watch\Is she your type?\What the hell?!\Be nice to her.\I was in the same class with her last year,\and she was alone the whole time.\But, like I told you from the start, response:	after your one-year ReLIFE period is over,
context: What? You were watch\Is she your type?\What the hell?!\Be nice to her.\I was in the same class with her last year,\and she was alone the whole time.\But, like I told you from the start,\after your one-year ReLIFE period is over, response:	classmates, teachers, and anyone you dealt with will forget about you.
context: Is she your type?\What the hell?!\Be nice to her.\I was in the same class with her last year,\and she was alone the whole time.\But, like I told you from the start,\after your one-year ReLIFE period is over,\classmates, teachers, and anyone you dealt with will forget about you. response:	This is because 17-year-old Kaizaki does not exist.
context: What the hell?!\Be nice to her.\I was in the same class with her last year,\and she was alone the whole time.\But, like I told you from the start,\after your one-year ReLIFE period is over,\classmates, teachers, and anyone you dealt with will forget about you.\This is because 17-year-old Kaizaki does not exist. response:	But your own memories will remain, so don't worry.
