context: Woods... squirrel... lily... yellow... response:	Your late father's friend lives so deep in the forest.
context: It won't let a low-class demon like you near it!\But this low-class bandit was allowed to?\Low-class? C'mon, Chief!\I see... kid. So you're a half-demon?\What a joke!\A half-demon like you had the gall...\to pick a fight with me, the demon Gatenmaru!\They're late. Something must've happened in the village. response:	- Are you all right? - I'm worried about Gramps.
context: But this low-class bandit was allowed to?\Low-class? C'mon, Chief!\I see... kid. So you're a half-demon?\What a joke!\A half-demon like you had the gall...\to pick a fight with me, the demon Gatenmaru!\They're late. Something must've happened in the village.\- Are you all right? - I'm worried about Gramps. response:	Inuyasha...
context: Low-class? C'mon, Chief!\I see... kid. So you're a half-demon?\What a joke!\A half-demon like you had the gall...\to pick a fight with me, the demon Gatenmaru!\They're late. Something must've happened in the village.\- Are you all right? - I'm worried about Gramps.\Inuyasha... response:	Inuyasha's wound is worsening steadily.
context: I see... kid. So you're a half-demon?\What a joke!\A half-demon like you had the gall...\to pick a fight with me, the demon Gatenmaru!\They're late. Something must've happened in the village.\- Are you all right? - I'm worried about Gramps.\Inuyasha...\Inuyasha's wound is worsening steadily. response:	Damn...the bleeding won't stop.
context: What a joke!\A half-demon like you had the gall...\to pick a fight with me, the demon Gatenmaru!\They're late. Something must've happened in the village.\- Are you all right? - I'm worried about Gramps.\Inuyasha...\Inuyasha's wound is worsening steadily.\Damn...the bleeding won't stop. response:	Is it because of the poison?
context: A half-demon like you had the gall...\to pick a fight with me, the demon Gatenmaru!\They're late. Something must've happened in the village.\- Are you all right? - I'm worried about Gramps.\Inuyasha...\Inuyasha's wound is worsening steadily.\Damn...the bleeding won't stop.\Is it because of the poison? response:	This is bad.
context: to pick a fight with me, the demon Gatenmaru!\They're late. Something must've happened in the village.\- Are you all right? - I'm worried about Gramps.\Inuyasha...\Inuyasha's wound is worsening steadily.\Damn...the bleeding won't stop.\Is it because of the poison?\This is bad. response:	I can barely maintain the barrier. I can't make a move.
context: They're late. Something must've happened in the village.\- Are you all right? - I'm worried about Gramps.\Inuyasha...\Inuyasha's wound is worsening steadily.\Damn...the bleeding won't stop.\Is it because of the poison?\This is bad.\I can barely maintain the barrier. I can't make a move. response:	However... even this barrier won't hold forever.
context: - Are you all right? - I'm worried about Gramps.\Inuyasha...\Inuyasha's wound is worsening steadily.\Damn...the bleeding won't stop.\Is it because of the poison?\This is bad.\I can barely maintain the barrier. I can't make a move.\However... even this barrier won't hold forever. response:	Ah... Chief, this sword...
context: Inuyasha...\Inuyasha's wound is worsening steadily.\Damn...the bleeding won't stop.\Is it because of the poison?\This is bad.\I can barely maintain the barrier. I can't make a move.\However... even this barrier won't hold forever.\Ah... Chief, this sword... response:	Do as you please with it. I'm not interested in a sword I can't use!
context: Inuyasha's wound is worsening steadily.\Damn...the bleeding won't stop.\Is it because of the poison?\This is bad.\I can barely maintain the barrier. I can't make a move.\However... even this barrier won't hold forever.\Ah... Chief, this sword...\Do as you please with it. I'm not interested in a sword I can't use! response:	Thank you!
context: Damn...the bleeding won't stop.\Is it because of the poison?\This is bad.\I can barely maintain the barrier. I can't make a move.\However... even this barrier won't hold forever.\Ah... Chief, this sword...\Do as you please with it. I'm not interested in a sword I can't use!\Thank you! response:	That sword... I must... Get it to him somehow...
context: Is it because of the poison?\This is bad.\I can barely maintain the barrier. I can't make a move.\However... even this barrier won't hold forever.\Ah... Chief, this sword...\Do as you please with it. I'm not interested in a sword I can't use!\Thank you!\That sword... I must... Get it to him somehow... response:	Nice!
context: This is bad.\I can barely maintain the barrier. I can't make a move.\However... even this barrier won't hold forever.\Ah... Chief, this sword...\Do as you please with it. I'm not interested in a sword I can't use!\Thank you!\That sword... I must... Get it to him somehow...\Nice! response:	What a great sword!
context: I can barely maintain the barrier. I can't make a move.\However... even this barrier won't hold forever.\Ah... Chief, this sword...\Do as you please with it. I'm not interested in a sword I can't use!\Thank you!\That sword... I must... Get it to him somehow...\Nice!\What a great sword! response:	It's only a matter of time before the barrier wears off...
context: However... even this barrier won't hold forever.\Ah... Chief, this sword...\Do as you please with it. I'm not interested in a sword I can't use!\Thank you!\That sword... I must... Get it to him somehow...\Nice!\What a great sword!\It's only a matter of time before the barrier wears off... response:	and the poison cocoon melts them away.
context: Ah... Chief, this sword...\Do as you please with it. I'm not interested in a sword I can't use!\Thank you!\That sword... I must... Get it to him somehow...\Nice!\What a great sword!\It's only a matter of time before the barrier wears off...\and the poison cocoon melts them away. response:	So I'll just sit here and enjoy the view.
context: Do as you please with it. I'm not interested in a sword I can't use!\Thank you!\That sword... I must... Get it to him somehow...\Nice!\What a great sword!\It's only a matter of time before the barrier wears off...\and the poison cocoon melts them away.\So I'll just sit here and enjoy the view. response:	Bring on the women.
context: Thank you!\That sword... I must... Get it to him somehow...\Nice!\What a great sword!\It's only a matter of time before the barrier wears off...\and the poison cocoon melts them away.\So I'll just sit here and enjoy the view.\Bring on the women. response:	No!
context: That sword... I must... Get it to him somehow...\Nice!\What a great sword!\It's only a matter of time before the barrier wears off...\and the poison cocoon melts them away.\So I'll just sit here and enjoy the view.\Bring on the women.\No! response:	No!
context: Nice!\What a great sword!\It's only a matter of time before the barrier wears off...\and the poison cocoon melts them away.\So I'll just sit here and enjoy the view.\Bring on the women.\No!\No! response:	Damn!
context: What a great sword!\It's only a matter of time before the barrier wears off...\and the poison cocoon melts them away.\So I'll just sit here and enjoy the view.\Bring on the women.\No!\No!\Damn! response:	Inuyasha is badly hurt by the poison moth demon, Gatenmaru.
context: It's only a matter of time before the barrier wears off...\and the poison cocoon melts them away.\So I'll just sit here and enjoy the view.\Bring on the women.\No!\No!\Damn!\Inuyasha is badly hurt by the poison moth demon, Gatenmaru. response:	But his demon blood takes over...
context: and the poison cocoon melts them away.\So I'll just sit here and enjoy the view.\Bring on the women.\No!\No!\Damn!\Inuyasha is badly hurt by the poison moth demon, Gatenmaru.\But his demon blood takes over... response:	and slaughters even the bandits who beg for mercy.
context: So I'll just sit here and enjoy the view.\Bring on the women.\No!\No!\Damn!\Inuyasha is badly hurt by the poison moth demon, Gatenmaru.\But his demon blood takes over...\and slaughters even the bandits who beg for mercy. response:	How can we reverse Inuyasha's transformation?
context: Bring on the women.\No!\No!\Damn!\Inuyasha is badly hurt by the poison moth demon, Gatenmaru.\But his demon blood takes over...\and slaughters even the bandits who beg for mercy.\How can we reverse Inuyasha's transformation? response:	Miroku, Sango... We must think of something!
context: No!\No!\Damn!\Inuyasha is badly hurt by the poison moth demon, Gatenmaru.\But his demon blood takes over...\and slaughters even the bandits who beg for mercy.\How can we reverse Inuyasha's transformation?\Miroku, Sango... We must think of something! response:	What?!
context: No!\Damn!\Inuyasha is badly hurt by the poison moth demon, Gatenmaru.\But his demon blood takes over...\and slaughters even the bandits who beg for mercy.\How can we reverse Inuyasha's transformation?\Miroku, Sango... We must think of something!\What?! response:	Why do we have to deal with Sesshomaru at a time like this?!
context: Damn!\Inuyasha is badly hurt by the poison moth demon, Gatenmaru.\But his demon blood takes over...\and slaughters even the bandits who beg for mercy.\How can we reverse Inuyasha's transformation?\Miroku, Sango... We must think of something!\What?!\Why do we have to deal with Sesshomaru at a time like this?! response:	Next on Inuyasha: The Demon's True Nature
context: Inuyasha is badly hurt by the poison moth demon, Gatenmaru.\But his demon blood takes over...\and slaughters even the bandits who beg for mercy.\How can we reverse Inuyasha's transformation?\Miroku, Sango... We must think of something!\What?!\Why do we have to deal with Sesshomaru at a time like this?!\Next on Inuyasha: The Demon's True Nature response:	Don't miss it!
