context: Lord Villar... response:	I'd like you to assist Starck in our battle against Waldlind.
context: I have been told that you desire to do the same.\Well, I'm not so sure.\I've been told how you met and fell in love with Alexis Doucet.\That's all in the past.\Let's not kid ourselves, shall we?\I don't care if it's only for tonight.\I will make you my conquest.\H-How vulgar! response:	Even if you sleep with me, you will have no claim over me.
context: Well, I'm not so sure.\I've been told how you met and fell in love with Alexis Doucet.\That's all in the past.\Let's not kid ourselves, shall we?\I don't care if it's only for tonight.\I will make you my conquest.\H-How vulgar!\Even if you sleep with me, you will have no claim over me. response:	I accept that.
context: I've been told how you met and fell in love with Alexis Doucet.\That's all in the past.\Let's not kid ourselves, shall we?\I don't care if it's only for tonight.\I will make you my conquest.\H-How vulgar!\Even if you sleep with me, you will have no claim over me.\I accept that. response:	Think of it as a ritual for allies about to go to war together.
context: That's all in the past.\Let's not kid ourselves, shall we?\I don't care if it's only for tonight.\I will make you my conquest.\H-How vulgar!\Even if you sleep with me, you will have no claim over me.\I accept that.\Think of it as a ritual for allies about to go to war together. response:	Very well...
context: Let's not kid ourselves, shall we?\I don't care if it's only for tonight.\I will make you my conquest.\H-How vulgar!\Even if you sleep with me, you will have no claim over me.\I accept that.\Think of it as a ritual for allies about to go to war together.\Very well... response:	However, I have yet to be with a man.
context: I don't care if it's only for tonight.\I will make you my conquest.\H-How vulgar!\Even if you sleep with me, you will have no claim over me.\I accept that.\Think of it as a ritual for allies about to go to war together.\Very well...\However, I have yet to be with a man. response:	I'll be leaving everything to you. Is that acceptable?
context: I will make you my conquest.\H-How vulgar!\Even if you sleep with me, you will have no claim over me.\I accept that.\Think of it as a ritual for allies about to go to war together.\Very well...\However, I have yet to be with a man.\I'll be leaving everything to you. Is that acceptable? response:	I will not pledge loyalty to you.
context: H-How vulgar!\Even if you sleep with me, you will have no claim over me.\I accept that.\Think of it as a ritual for allies about to go to war together.\Very well...\However, I have yet to be with a man.\I'll be leaving everything to you. Is that acceptable?\I will not pledge loyalty to you. response:	But from this moment on, I will become your sword.
context: Even if you sleep with me, you will have no claim over me.\I accept that.\Think of it as a ritual for allies about to go to war together.\Very well...\However, I have yet to be with a man.\I'll be leaving everything to you. Is that acceptable?\I will not pledge loyalty to you.\But from this moment on, I will become your sword. response:	As long as you march down the path of military rule, I swear to fight by your side.
context: I accept that.\Think of it as a ritual for allies about to go to war together.\Very well...\However, I have yet to be with a man.\I'll be leaving everything to you. Is that acceptable?\I will not pledge loyalty to you.\But from this moment on, I will become your sword.\As long as you march down the path of military rule, I swear to fight by your side. response:	THE BLACK PRINCESS
context: Think of it as a ritual for allies about to go to war together.\Very well...\However, I have yet to be with a man.\I'll be leaving everything to you. Is that acceptable?\I will not pledge loyalty to you.\But from this moment on, I will become your sword.\As long as you march down the path of military rule, I swear to fight by your side.\THE BLACK PRINCESS response:	EPISODE 10: BLADE OF BETRAYAL
