context: She should be at the temple at this hour. response:	The line to see the Lady Cleric is here.
context: Thank goodness!\Luna!\W-Wow...\I guess your cleric title isn't just for show.\Luna\Huh?! Luna?!\Are you... Huh?!\I don't wanna die response:	I-I don't wanna die...
context: Luna!\W-Wow...\I guess your cleric title isn't just for show.\Luna\Huh?! Luna?!\Are you... Huh?!\I don't wanna die\I-I don't wanna die... response:	Curses are scary!
context: W-Wow...\I guess your cleric title isn't just for show.\Luna\Huh?! Luna?!\Are you... Huh?!\I don't wanna die\I-I don't wanna die...\Curses are scary! response:	Where did all of her bravery go?!
context: I guess your cleric title isn't just for show.\Luna\Huh?! Luna?!\Are you... Huh?!\I don't wanna die\I-I don't wanna die...\Curses are scary!\Where did all of her bravery go?! response:	Wait, could this be...
context: Luna\Huh?! Luna?!\Are you... Huh?!\I don't wanna die\I-I don't wanna die...\Curses are scary!\Where did all of her bravery go?!\Wait, could this be... response:	Skill
context: Huh?! Luna?!\Are you... Huh?!\I don't wanna die\I-I don't wanna die...\Curses are scary!\Where did all of her bravery go?!\Wait, could this be...\Skill response:	Cowardice
context: Are you... Huh?!\I don't wanna die\I-I don't wanna die...\Curses are scary!\Where did all of her bravery go?!\Wait, could this be...\Skill\Cowardice response:	Depleting mana or receiving
context: I don't wanna die\I-I don't wanna die...\Curses are scary!\Where did all of her bravery go?!\Wait, could this be...\Skill\Cowardice\Depleting mana or receiving response:	intense attacks may make the
context: I-I don't wanna die...\Curses are scary!\Where did all of her bravery go?!\Wait, could this be...\Skill\Cowardice\Depleting mana or receiving\intense attacks may make the response:	user even more cowardly.
context: Curses are scary!\Where did all of her bravery go?!\Wait, could this be...\Skill\Cowardice\Depleting mana or receiving\intense attacks may make the\user even more cowardly. response:	Th-This probably sucks a lot.
context: Where did all of her bravery go?!\Wait, could this be...\Skill\Cowardice\Depleting mana or receiving\intense attacks may make the\user even more cowardly.\Th-This probably sucks a lot. response:	Luna!
context: Wait, could this be...\Skill\Cowardice\Depleting mana or receiving\intense attacks may make the\user even more cowardly.\Th-This probably sucks a lot.\Luna! response:	Oh, I knew it.
context: Skill\Cowardice\Depleting mana or receiving\intense attacks may make the\user even more cowardly.\Th-This probably sucks a lot.\Luna!\Oh, I knew it. response:	Luna's always like this.
context: Cowardice\Depleting mana or receiving\intense attacks may make the\user even more cowardly.\Th-This probably sucks a lot.\Luna!\Oh, I knew it.\Luna's always like this. response:	Don't worry, she'll be awake in no time.
context: Depleting mana or receiving\intense attacks may make the\user even more cowardly.\Th-This probably sucks a lot.\Luna!\Oh, I knew it.\Luna's always like this.\Don't worry, she'll be awake in no time. response:	Mommy...
context: intense attacks may make the\user even more cowardly.\Th-This probably sucks a lot.\Luna!\Oh, I knew it.\Luna's always like this.\Don't worry, she'll be awake in no time.\Mommy... response:	Don't worry, Mommy's right here. Come on, now, up you go.
context: user even more cowardly.\Th-This probably sucks a lot.\Luna!\Oh, I knew it.\Luna's always like this.\Don't worry, she'll be awake in no time.\Mommy...\Don't worry, Mommy's right here. Come on, now, up you go. response:	I can't believe you saw that! Please just forget it!
context: Th-This probably sucks a lot.\Luna!\Oh, I knew it.\Luna's always like this.\Don't worry, she'll be awake in no time.\Mommy...\Don't worry, Mommy's right here. Come on, now, up you go.\I can't believe you saw that! Please just forget it! response:	Please! Please! I beg of you!
context: Luna!\Oh, I knew it.\Luna's always like this.\Don't worry, she'll be awake in no time.\Mommy...\Don't worry, Mommy's right here. Come on, now, up you go.\I can't believe you saw that! Please just forget it!\Please! Please! I beg of you! response:	Hey, it's okay...
context: Oh, I knew it.\Luna's always like this.\Don't worry, she'll be awake in no time.\Mommy...\Don't worry, Mommy's right here. Come on, now, up you go.\I can't believe you saw that! Please just forget it!\Please! Please! I beg of you!\Hey, it's okay... response:	Yeah.
context: Luna's always like this.\Don't worry, she'll be awake in no time.\Mommy...\Don't worry, Mommy's right here. Come on, now, up you go.\I can't believe you saw that! Please just forget it!\Please! Please! I beg of you!\Hey, it's okay...\Yeah. response:	Now, let us proceed! Maria needs our help!
context: Don't worry, she'll be awake in no time.\Mommy...\Don't worry, Mommy's right here. Come on, now, up you go.\I can't believe you saw that! Please just forget it!\Please! Please! I beg of you!\Hey, it's okay...\Yeah.\Now, let us proceed! Maria needs our help! response:	Onward!
context: Mommy...\Don't worry, Mommy's right here. Come on, now, up you go.\I can't believe you saw that! Please just forget it!\Please! Please! I beg of you!\Hey, it's okay...\Yeah.\Now, let us proceed! Maria needs our help!\Onward! response:	B-But...
context: Don't worry, Mommy's right here. Come on, now, up you go.\I can't believe you saw that! Please just forget it!\Please! Please! I beg of you!\Hey, it's okay...\Yeah.\Now, let us proceed! Maria needs our help!\Onward!\B-But... response:	Y-You don't need to worry about me...
context: I can't believe you saw that! Please just forget it!\Please! Please! I beg of you!\Hey, it's okay...\Yeah.\Now, let us proceed! Maria needs our help!\Onward!\B-But...\Y-You don't need to worry about me... response:	I'm not scared of... anything...
context: Please! Please! I beg of you!\Hey, it's okay...\Yeah.\Now, let us proceed! Maria needs our help!\Onward!\B-But...\Y-You don't need to worry about me...\I'm not scared of... anything... response:	Luna, let's figure out another way.
context: Hey, it's okay...\Yeah.\Now, let us proceed! Maria needs our help!\Onward!\B-But...\Y-You don't need to worry about me...\I'm not scared of... anything...\Luna, let's figure out another way. response:	Huh?
context: Yeah.\Now, let us proceed! Maria needs our help!\Onward!\B-But...\Y-You don't need to worry about me...\I'm not scared of... anything...\Luna, let's figure out another way.\Huh? response:	B-But why?
context: Now, let us proceed! Maria needs our help!\Onward!\B-But...\Y-You don't need to worry about me...\I'm not scared of... anything...\Luna, let's figure out another way.\Huh?\B-But why? response:	Your legs.
context: Onward!\B-But...\Y-You don't need to worry about me...\I'm not scared of... anything...\Luna, let's figure out another way.\Huh?\B-But why?\Your legs. response:	I-I just can't contain my excitement!
context: B-But...\Y-You don't need to worry about me...\I'm not scared of... anything...\Luna, let's figure out another way.\Huh?\B-But why?\Your legs.\I-I just can't contain my excitement! response:	But you said you were scared of curses.
context: Y-You don't need to worry about me...\I'm not scared of... anything...\Luna, let's figure out another way.\Huh?\B-But why?\Your legs.\I-I just can't contain my excitement!\But you said you were scared of curses. response:	What? No way. Can't recall.
context: I'm not scared of... anything...\Luna, let's figure out another way.\Huh?\B-But why?\Your legs.\I-I just can't contain my excitement!\But you said you were scared of curses.\What? No way. Can't recall. response:	Bad Luna!
context: Luna, let's figure out another way.\Huh?\B-But why?\Your legs.\I-I just can't contain my excitement!\But you said you were scared of curses.\What? No way. Can't recall.\Bad Luna! response:	Just tell us the truth already.
context: Huh?\B-But why?\Your legs.\I-I just can't contain my excitement!\But you said you were scared of curses.\What? No way. Can't recall.\Bad Luna!\Just tell us the truth already. response:	You're scared, aren't you?
context: B-But why?\Your legs.\I-I just can't contain my excitement!\But you said you were scared of curses.\What? No way. Can't recall.\Bad Luna!\Just tell us the truth already.\You're scared, aren't you? response:	If I save Maria, it's very likely that I'm going to...
context: Your legs.\I-I just can't contain my excitement!\But you said you were scared of curses.\What? No way. Can't recall.\Bad Luna!\Just tell us the truth already.\You're scared, aren't you?\If I save Maria, it's very likely that I'm going to... response:	die.
context: I-I just can't contain my excitement!\But you said you were scared of curses.\What? No way. Can't recall.\Bad Luna!\Just tell us the truth already.\You're scared, aren't you?\If I save Maria, it's very likely that I'm going to...\die. response:	Just thinking about that is terrifying.
context: But you said you were scared of curses.\What? No way. Can't recall.\Bad Luna!\Just tell us the truth already.\You're scared, aren't you?\If I save Maria, it's very likely that I'm going to...\die.\Just thinking about that is terrifying. response:	I'm a failure as a cleric.
context: What? No way. Can't recall.\Bad Luna!\Just tell us the truth already.\You're scared, aren't you?\If I save Maria, it's very likely that I'm going to...\die.\Just thinking about that is terrifying.\I'm a failure as a cleric. response:	You'll die if you lift a curse?
context: Bad Luna!\Just tell us the truth already.\You're scared, aren't you?\If I save Maria, it's very likely that I'm going to...\die.\Just thinking about that is terrifying.\I'm a failure as a cleric.\You'll die if you lift a curse? response:	You never told me that before!
context: Just tell us the truth already.\You're scared, aren't you?\If I save Maria, it's very likely that I'm going to...\die.\Just thinking about that is terrifying.\I'm a failure as a cleric.\You'll die if you lift a curse?\You never told me that before! response:	I'm sorry I didn't tell you. But I...
context: You're scared, aren't you?\If I save Maria, it's very likely that I'm going to...\die.\Just thinking about that is terrifying.\I'm a failure as a cleric.\You'll die if you lift a curse?\You never told me that before!\I'm sorry I didn't tell you. But I... response:	Huh...
context: If I save Maria, it's very likely that I'm going to...\die.\Just thinking about that is terrifying.\I'm a failure as a cleric.\You'll die if you lift a curse?\You never told me that before!\I'm sorry I didn't tell you. But I...\Huh... response:	So I've been hanging out with you this whole time
context: die.\Just thinking about that is terrifying.\I'm a failure as a cleric.\You'll die if you lift a curse?\You never told me that before!\I'm sorry I didn't tell you. But I...\Huh...\So I've been hanging out with you this whole time response:	without realizing something that important.
context: Just thinking about that is terrifying.\I'm a failure as a cleric.\You'll die if you lift a curse?\You never told me that before!\I'm sorry I didn't tell you. But I...\Huh...\So I've been hanging out with you this whole time\without realizing something that important. response:	N-No!
context: I'm a failure as a cleric.\You'll die if you lift a curse?\You never told me that before!\I'm sorry I didn't tell you. But I...\Huh...\So I've been hanging out with you this whole time\without realizing something that important.\N-No! response:	Some best friend! It pisses me off!
context: You'll die if you lift a curse?\You never told me that before!\I'm sorry I didn't tell you. But I...\Huh...\So I've been hanging out with you this whole time\without realizing something that important.\N-No!\Some best friend! It pisses me off! response:	I'm so mad that I was so clueless.
context: You never told me that before!\I'm sorry I didn't tell you. But I...\Huh...\So I've been hanging out with you this whole time\without realizing something that important.\N-No!\Some best friend! It pisses me off!\I'm so mad that I was so clueless. response:	Huh?
context: I'm sorry I didn't tell you. But I...\Huh...\So I've been hanging out with you this whole time\without realizing something that important.\N-No!\Some best friend! It pisses me off!\I'm so mad that I was so clueless.\Huh? response:	I'm sorry I didn't realize how much you were suffering.
context: Huh...\So I've been hanging out with you this whole time\without realizing something that important.\N-No!\Some best friend! It pisses me off!\I'm so mad that I was so clueless.\Huh?\I'm sorry I didn't realize how much you were suffering. response:	You're always like this, Luna!
context: So I've been hanging out with you this whole time\without realizing something that important.\N-No!\Some best friend! It pisses me off!\I'm so mad that I was so clueless.\Huh?\I'm sorry I didn't realize how much you were suffering.\You're always like this, Luna! response:	You always put others before yourself!
context: without realizing something that important.\N-No!\Some best friend! It pisses me off!\I'm so mad that I was so clueless.\Huh?\I'm sorry I didn't realize how much you were suffering.\You're always like this, Luna!\You always put others before yourself! response:	Lola...
context: N-No!\Some best friend! It pisses me off!\I'm so mad that I was so clueless.\Huh?\I'm sorry I didn't realize how much you were suffering.\You're always like this, Luna!\You always put others before yourself!\Lola... response:	Rely on me... Please.
context: Some best friend! It pisses me off!\I'm so mad that I was so clueless.\Huh?\I'm sorry I didn't realize how much you were suffering.\You're always like this, Luna!\You always put others before yourself!\Lola...\Rely on me... Please. response:	Stupid Luna...
context: I'm so mad that I was so clueless.\Huh?\I'm sorry I didn't realize how much you were suffering.\You're always like this, Luna!\You always put others before yourself!\Lola...\Rely on me... Please.\Stupid Luna... response:	Okay.
context: Huh?\I'm sorry I didn't realize how much you were suffering.\You're always like this, Luna!\You always put others before yourself!\Lola...\Rely on me... Please.\Stupid Luna...\Okay. response:	Lola... Luna...
context: I'm sorry I didn't realize how much you were suffering.\You're always like this, Luna!\You always put others before yourself!\Lola...\Rely on me... Please.\Stupid Luna...\Okay.\Lola... Luna... response:	There's something great about these two.
context: You're always like this, Luna!\You always put others before yourself!\Lola...\Rely on me... Please.\Stupid Luna...\Okay.\Lola... Luna...\There's something great about these two. response:	Sorry about all this.
context: You always put others before yourself!\Lola...\Rely on me... Please.\Stupid Luna...\Okay.\Lola... Luna...\There's something great about these two.\Sorry about all this. response:	You ended up witnessing such an embarrassing scene.
context: Lola...\Rely on me... Please.\Stupid Luna...\Okay.\Lola... Luna...\There's something great about these two.\Sorry about all this.\You ended up witnessing such an embarrassing scene. response:	Oh, no. It was a feast for my eyes.
context: Rely on me... Please.\Stupid Luna...\Okay.\Lola... Luna...\There's something great about these two.\Sorry about all this.\You ended up witnessing such an embarrassing scene.\Oh, no. It was a feast for my eyes. response:	Er, I was very moved by you two.
context: Stupid Luna...\Okay.\Lola... Luna...\There's something great about these two.\Sorry about all this.\You ended up witnessing such an embarrassing scene.\Oh, no. It was a feast for my eyes.\Er, I was very moved by you two. response:	But what should we do?
context: Okay.\Lola... Luna...\There's something great about these two.\Sorry about all this.\You ended up witnessing such an embarrassing scene.\Oh, no. It was a feast for my eyes.\Er, I was very moved by you two.\But what should we do? response:	If we try to save Miss Maria, then Luna will...
context: Lola... Luna...\There's something great about these two.\Sorry about all this.\You ended up witnessing such an embarrassing scene.\Oh, no. It was a feast for my eyes.\Er, I was very moved by you two.\But what should we do?\If we try to save Miss Maria, then Luna will... response:	Don't worry.
context: There's something great about these two.\Sorry about all this.\You ended up witnessing such an embarrassing scene.\Oh, no. It was a feast for my eyes.\Er, I was very moved by you two.\But what should we do?\If we try to save Miss Maria, then Luna will...\Don't worry. response:	Things aren't completely hopeless yet.
context: Sorry about all this.\You ended up witnessing such an embarrassing scene.\Oh, no. It was a feast for my eyes.\Er, I was very moved by you two.\But what should we do?\If we try to save Miss Maria, then Luna will...\Don't worry.\Things aren't completely hopeless yet. response:	I'll be able to make this work without any casualties.
context: You ended up witnessing such an embarrassing scene.\Oh, no. It was a feast for my eyes.\Er, I was very moved by you two.\But what should we do?\If we try to save Miss Maria, then Luna will...\Don't worry.\Things aren't completely hopeless yet.\I'll be able to make this work without any casualties. response:	Earlier, I just gave it a shot, and took a look at Luna's Lift Curse skill.
context: Oh, no. It was a feast for my eyes.\Er, I was very moved by you two.\But what should we do?\If we try to save Miss Maria, then Luna will...\Don't worry.\Things aren't completely hopeless yet.\I'll be able to make this work without any casualties.\Earlier, I just gave it a shot, and took a look at Luna's Lift Curse skill. response:	Erases curse skills.
context: Er, I was very moved by you two.\But what should we do?\If we try to save Miss Maria, then Luna will...\Don't worry.\Things aren't completely hopeless yet.\I'll be able to make this work without any casualties.\Earlier, I just gave it a shot, and took a look at Luna's Lift Curse skill.\Erases curse skills. response:	However, the user's lifespan is reduced in
context: But what should we do?\If we try to save Miss Maria, then Luna will...\Don't worry.\Things aren't completely hopeless yet.\I'll be able to make this work without any casualties.\Earlier, I just gave it a shot, and took a look at Luna's Lift Curse skill.\Erases curse skills.\However, the user's lifespan is reduced in response:	proportion to the strength of the curse.
context: If we try to save Miss Maria, then Luna will...\Don't worry.\Things aren't completely hopeless yet.\I'll be able to make this work without any casualties.\Earlier, I just gave it a shot, and took a look at Luna's Lift Curse skill.\Erases curse skills.\However, the user's lifespan is reduced in\proportion to the strength of the curse. response:	I tried to get rid of the whole lifespan is reduced part, but...
context: Don't worry.\Things aren't completely hopeless yet.\I'll be able to make this work without any casualties.\Earlier, I just gave it a shot, and took a look at Luna's Lift Curse skill.\Erases curse skills.\However, the user's lifespan is reduced in\proportion to the strength of the curse.\I tried to get rid of the whole lifespan is reduced part, but... response:	Uses
context: Things aren't completely hopeless yet.\I'll be able to make this work without any casualties.\Earlier, I just gave it a shot, and took a look at Luna's Lift Curse skill.\Erases curse skills.\However, the user's lifespan is reduced in\proportion to the strength of the curse.\I tried to get rid of the whole lifespan is reduced part, but...\Uses response:	Necessary
context: I'll be able to make this work without any casualties.\Earlier, I just gave it a shot, and took a look at Luna's Lift Curse skill.\Erases curse skills.\However, the user's lifespan is reduced in\proportion to the strength of the curse.\I tried to get rid of the whole lifespan is reduced part, but...\Uses\Necessary response:	There's no way I can do 10,000 LP.
context: Earlier, I just gave it a shot, and took a look at Luna's Lift Curse skill.\Erases curse skills.\However, the user's lifespan is reduced in\proportion to the strength of the curse.\I tried to get rid of the whole lifespan is reduced part, but...\Uses\Necessary\There's no way I can do 10,000 LP. response:	User's lifespan is reduced.
context: Erases curse skills.\However, the user's lifespan is reduced in\proportion to the strength of the curse.\I tried to get rid of the whole lifespan is reduced part, but...\Uses\Necessary\There's no way I can do 10,000 LP.\User's lifespan is reduced. response:	Lifespan
context: However, the user's lifespan is reduced in\proportion to the strength of the curse.\I tried to get rid of the whole lifespan is reduced part, but...\Uses\Necessary\There's no way I can do 10,000 LP.\User's lifespan is reduced.\Lifespan response:	Finances
context: proportion to the strength of the curse.\I tried to get rid of the whole lifespan is reduced part, but...\Uses\Necessary\There's no way I can do 10,000 LP.\User's lifespan is reduced.\Lifespan\Finances response:	rels
context: I tried to get rid of the whole lifespan is reduced part, but...\Uses\Necessary\There's no way I can do 10,000 LP.\User's lifespan is reduced.\Lifespan\Finances\rels response:	Then how about this?
context: Uses\Necessary\There's no way I can do 10,000 LP.\User's lifespan is reduced.\Lifespan\Finances\rels\Then how about this? response:	However, the user's lifespan is reduced in
context: Necessary\There's no way I can do 10,000 LP.\User's lifespan is reduced.\Lifespan\Finances\rels\Then how about this?\However, the user's lifespan is reduced in response:	Erases curse skills.
context: There's no way I can do 10,000 LP.\User's lifespan is reduced.\Lifespan\Finances\rels\Then how about this?\However, the user's lifespan is reduced in\Erases curse skills. response:	proportion to the strength of the curse.
context: User's lifespan is reduced.\Lifespan\Finances\rels\Then how about this?\However, the user's lifespan is reduced in\Erases curse skills.\proportion to the strength of the curse. response:	I'll just change lifespan to finances.
context: Lifespan\Finances\rels\Then how about this?\However, the user's lifespan is reduced in\Erases curse skills.\proportion to the strength of the curse.\I'll just change lifespan to finances. response:	However, the user's finances are reduced in
context: Finances\rels\Then how about this?\However, the user's lifespan is reduced in\Erases curse skills.\proportion to the strength of the curse.\I'll just change lifespan to finances.\However, the user's finances are reduced in response:	Uses
context: rels\Then how about this?\However, the user's lifespan is reduced in\Erases curse skills.\proportion to the strength of the curse.\I'll just change lifespan to finances.\However, the user's finances are reduced in\Uses response:	Necessary
context: Then how about this?\However, the user's lifespan is reduced in\Erases curse skills.\proportion to the strength of the curse.\I'll just change lifespan to finances.\However, the user's finances are reduced in\Uses\Necessary response:	Perfect. This should work.
context: However, the user's lifespan is reduced in\Erases curse skills.\proportion to the strength of the curse.\I'll just change lifespan to finances.\However, the user's finances are reduced in\Uses\Necessary\Perfect. This should work. response:	Lifespan
context: Erases curse skills.\proportion to the strength of the curse.\I'll just change lifespan to finances.\However, the user's finances are reduced in\Uses\Necessary\Perfect. This should work.\Lifespan response:	Finances
context: proportion to the strength of the curse.\I'll just change lifespan to finances.\However, the user's finances are reduced in\Uses\Necessary\Perfect. This should work.\Lifespan\Finances response:	rels
context: I'll just change lifespan to finances.\However, the user's finances are reduced in\Uses\Necessary\Perfect. This should work.\Lifespan\Finances\rels response:	User's finances are reduced.
context: However, the user's finances are reduced in\Uses\Necessary\Perfect. This should work.\Lifespan\Finances\rels\User's finances are reduced. response:	There's a way to save Miss Maria without having to sacrifice Luna.
context: Uses\Necessary\Perfect. This should work.\Lifespan\Finances\rels\User's finances are reduced.\There's a way to save Miss Maria without having to sacrifice Luna. response:	Really, Noir?
context: Necessary\Perfect. This should work.\Lifespan\Finances\rels\User's finances are reduced.\There's a way to save Miss Maria without having to sacrifice Luna.\Really, Noir? response:	Yup!
context: Perfect. This should work.\Lifespan\Finances\rels\User's finances are reduced.\There's a way to save Miss Maria without having to sacrifice Luna.\Really, Noir?\Yup! response:	But I don't have quite enough LP to use this skill...
context: Lifespan\Finances\rels\User's finances are reduced.\There's a way to save Miss Maria without having to sacrifice Luna.\Really, Noir?\Yup!\But I don't have quite enough LP to use this skill... response:	LP?
context: Finances\rels\User's finances are reduced.\There's a way to save Miss Maria without having to sacrifice Luna.\Really, Noir?\Yup!\But I don't have quite enough LP to use this skill...\LP? response:	Lacking
context: rels\User's finances are reduced.\There's a way to save Miss Maria without having to sacrifice Luna.\Really, Noir?\Yup!\But I don't have quite enough LP to use this skill...\LP?\Lacking response:	Delicious foods...
context: User's finances are reduced.\There's a way to save Miss Maria without having to sacrifice Luna.\Really, Noir?\Yup!\But I don't have quite enough LP to use this skill...\LP?\Lacking\Delicious foods... response:	Making money and satisfying worldly desires...
context: There's a way to save Miss Maria without having to sacrifice Luna.\Really, Noir?\Yup!\But I don't have quite enough LP to use this skill...\LP?\Lacking\Delicious foods...\Making money and satisfying worldly desires... response:	And doing exciting things with attractive members of the opposite sex...
context: Really, Noir?\Yup!\But I don't have quite enough LP to use this skill...\LP?\Lacking\Delicious foods...\Making money and satisfying worldly desires...\And doing exciting things with attractive members of the opposite sex... response:	Y-Yeah.
context: Yup!\But I don't have quite enough LP to use this skill...\LP?\Lacking\Delicious foods...\Making money and satisfying worldly desires...\And doing exciting things with attractive members of the opposite sex...\Y-Yeah. response:	I can't use my Get Creative or Editor skills without LP.
context: But I don't have quite enough LP to use this skill...\LP?\Lacking\Delicious foods...\Making money and satisfying worldly desires...\And doing exciting things with attractive members of the opposite sex...\Y-Yeah.\I can't use my Get Creative or Editor skills without LP. response:	You know, you can't make an omelet without breaking a few eggs...
context: LP?\Lacking\Delicious foods...\Making money and satisfying worldly desires...\And doing exciting things with attractive members of the opposite sex...\Y-Yeah.\I can't use my Get Creative or Editor skills without LP.\You know, you can't make an omelet without breaking a few eggs... response:	A-Anyway! Can you think of a way for me to get 2,000 more LP?
context: Lacking\Delicious foods...\Making money and satisfying worldly desires...\And doing exciting things with attractive members of the opposite sex...\Y-Yeah.\I can't use my Get Creative or Editor skills without LP.\You know, you can't make an omelet without breaking a few eggs...\A-Anyway! Can you think of a way for me to get 2,000 more LP? response:	And maybe something that'll increase Luna's finances.
context: Delicious foods...\Making money and satisfying worldly desires...\And doing exciting things with attractive members of the opposite sex...\Y-Yeah.\I can't use my Get Creative or Editor skills without LP.\You know, you can't make an omelet without breaking a few eggs...\A-Anyway! Can you think of a way for me to get 2,000 more LP?\And maybe something that'll increase Luna's finances. response:	You make it sound so easy.
context: Making money and satisfying worldly desires...\And doing exciting things with attractive members of the opposite sex...\Y-Yeah.\I can't use my Get Creative or Editor skills without LP.\You know, you can't make an omelet without breaking a few eggs...\A-Anyway! Can you think of a way for me to get 2,000 more LP?\And maybe something that'll increase Luna's finances.\You make it sound so easy. response:	I highly doubt there's anything that convenient.
context: And doing exciting things with attractive members of the opposite sex...\Y-Yeah.\I can't use my Get Creative or Editor skills without LP.\You know, you can't make an omelet without breaking a few eggs...\A-Anyway! Can you think of a way for me to get 2,000 more LP?\And maybe something that'll increase Luna's finances.\You make it sound so easy.\I highly doubt there's anything that convenient. response:	But there is.
context: Y-Yeah.\I can't use my Get Creative or Editor skills without LP.\You know, you can't make an omelet without breaking a few eggs...\A-Anyway! Can you think of a way for me to get 2,000 more LP?\And maybe something that'll increase Luna's finances.\You make it sound so easy.\I highly doubt there's anything that convenient.\But there is. response:	Huh?!
context: I can't use my Get Creative or Editor skills without LP.\You know, you can't make an omelet without breaking a few eggs...\A-Anyway! Can you think of a way for me to get 2,000 more LP?\And maybe something that'll increase Luna's finances.\You make it sound so easy.\I highly doubt there's anything that convenient.\But there is.\Huh?! response:	A certain noble holds the perfect event for this occasion every week.
context: You know, you can't make an omelet without breaking a few eggs...\A-Anyway! Can you think of a way for me to get 2,000 more LP?\And maybe something that'll increase Luna's finances.\You make it sound so easy.\I highly doubt there's anything that convenient.\But there is.\Huh?!\A certain noble holds the perfect event for this occasion every week. response:	The next time it will be held is this weekend,
context: A-Anyway! Can you think of a way for me to get 2,000 more LP?\And maybe something that'll increase Luna's finances.\You make it sound so easy.\I highly doubt there's anything that convenient.\But there is.\Huh?!\A certain noble holds the perfect event for this occasion every week.\The next time it will be held is this weekend, response:	so we'll make it just in time to lift the curse.
context: And maybe something that'll increase Luna's finances.\You make it sound so easy.\I highly doubt there's anything that convenient.\But there is.\Huh?!\A certain noble holds the perfect event for this occasion every week.\The next time it will be held is this weekend,\so we'll make it just in time to lift the curse. response:	What kind of event is it?
context: You make it sound so easy.\I highly doubt there's anything that convenient.\But there is.\Huh?!\A certain noble holds the perfect event for this occasion every week.\The next time it will be held is this weekend,\so we'll make it just in time to lift the curse.\What kind of event is it? response:	It's called...
context: I highly doubt there's anything that convenient.\But there is.\Huh?!\A certain noble holds the perfect event for this occasion every week.\The next time it will be held is this weekend,\so we'll make it just in time to lift the curse.\What kind of event is it?\It's called... response:	It's called...?
context: But there is.\Huh?!\A certain noble holds the perfect event for this occasion every week.\The next time it will be held is this weekend,\so we'll make it just in time to lift the curse.\What kind of event is it?\It's called...\It's called...? response:	The Harem Pride Event!
context: Huh?!\A certain noble holds the perfect event for this occasion every week.\The next time it will be held is this weekend,\so we'll make it just in time to lift the curse.\What kind of event is it?\It's called...\It's called...?\The Harem Pride Event! response:	Sorry to keep you waiting, my dudes!
context: A certain noble holds the perfect event for this occasion every week.\The next time it will be held is this weekend,\so we'll make it just in time to lift the curse.\What kind of event is it?\It's called...\It's called...?\The Harem Pride Event!\Sorry to keep you waiting, my dudes! response:	Tonight, another ten that I'm jealous of... I mean...
context: The next time it will be held is this weekend,\so we'll make it just in time to lift the curse.\What kind of event is it?\It's called...\It's called...?\The Harem Pride Event!\Sorry to keep you waiting, my dudes!\Tonight, another ten that I'm jealous of... I mean... response:	We'll be meeting some reckless scoundrels who'll be showing off their hot girlfriends
context: so we'll make it just in time to lift the curse.\What kind of event is it?\It's called...\It's called...?\The Harem Pride Event!\Sorry to keep you waiting, my dudes!\Tonight, another ten that I'm jealous of... I mean...\We'll be meeting some reckless scoundrels who'll be showing off their hot girlfriends response:	for a chance at one million rels!
context: What kind of event is it?\It's called...\It's called...?\The Harem Pride Event!\Sorry to keep you waiting, my dudes!\Tonight, another ten that I'm jealous of... I mean...\We'll be meeting some reckless scoundrels who'll be showing off their hot girlfriends\for a chance at one million rels! response:	Unforgivable!
context: It's called...\It's called...?\The Harem Pride Event!\Sorry to keep you waiting, my dudes!\Tonight, another ten that I'm jealous of... I mean...\We'll be meeting some reckless scoundrels who'll be showing off their hot girlfriends\for a chance at one million rels!\Unforgivable! response:	Boo!
context: It's called...?\The Harem Pride Event!\Sorry to keep you waiting, my dudes!\Tonight, another ten that I'm jealous of... I mean...\We'll be meeting some reckless scoundrels who'll be showing off their hot girlfriends\for a chance at one million rels!\Unforgivable!\Boo! response:	Those lucky bastards!
context: The Harem Pride Event!\Sorry to keep you waiting, my dudes!\Tonight, another ten that I'm jealous of... I mean...\We'll be meeting some reckless scoundrels who'll be showing off their hot girlfriends\for a chance at one million rels!\Unforgivable!\Boo!\Those lucky bastards! response:	Piss off!
context: Sorry to keep you waiting, my dudes!\Tonight, another ten that I'm jealous of... I mean...\We'll be meeting some reckless scoundrels who'll be showing off their hot girlfriends\for a chance at one million rels!\Unforgivable!\Boo!\Those lucky bastards!\Piss off! response:	So vent all the stress you can at the sight of these shitty normies!
context: Tonight, another ten that I'm jealous of... I mean...\We'll be meeting some reckless scoundrels who'll be showing off their hot girlfriends\for a chance at one million rels!\Unforgivable!\Boo!\Those lucky bastards!\Piss off!\So vent all the stress you can at the sight of these shitty normies! response:	Apparently, the host of this event has been betrayed by women countless times.
context: We'll be meeting some reckless scoundrels who'll be showing off their hot girlfriends\for a chance at one million rels!\Unforgivable!\Boo!\Those lucky bastards!\Piss off!\So vent all the stress you can at the sight of these shitty normies!\Apparently, the host of this event has been betrayed by women countless times. response:	And the gentlemen who have gathered here have experienced something similar.
context: for a chance at one million rels!\Unforgivable!\Boo!\Those lucky bastards!\Piss off!\So vent all the stress you can at the sight of these shitty normies!\Apparently, the host of this event has been betrayed by women countless times.\And the gentlemen who have gathered here have experienced something similar. response:	Most of them, apparently, don't have any lovers.
