context: Looks like the village where I lived with Pa. response:	C'mon, Shippo!
context: Huh? Got a gripe with me?\That's fine.\I can test the Backlash Wave which I've just mastered!\Just what are you up to now?\Locate the demonic aura, twist it around the Wind Scar...\then reverse the flow- my new ultimate technique!\Backlash Wave...\Huh? response:	Damn! This opponent's demonic energy is too weak...
context: That's fine.\I can test the Backlash Wave which I've just mastered!\Just what are you up to now?\Locate the demonic aura, twist it around the Wind Scar...\then reverse the flow- my new ultimate technique!\Backlash Wave...\Huh?\Damn! This opponent's demonic energy is too weak... response:	I can't use the Backlash Wave!
context: I can test the Backlash Wave which I've just mastered!\Just what are you up to now?\Locate the demonic aura, twist it around the Wind Scar...\then reverse the flow- my new ultimate technique!\Backlash Wave...\Huh?\Damn! This opponent's demonic energy is too weak...\I can't use the Backlash Wave! response:	What're you mumbling about?!
context: Just what are you up to now?\Locate the demonic aura, twist it around the Wind Scar...\then reverse the flow- my new ultimate technique!\Backlash Wave...\Huh?\Damn! This opponent's demonic energy is too weak...\I can't use the Backlash Wave!\What're you mumbling about?! response:	You're just too weak, that's all!
context: Locate the demonic aura, twist it around the Wind Scar...\then reverse the flow- my new ultimate technique!\Backlash Wave...\Huh?\Damn! This opponent's demonic energy is too weak...\I can't use the Backlash Wave!\What're you mumbling about?!\You're just too weak, that's all! response:	He's for real!
context: then reverse the flow- my new ultimate technique!\Backlash Wave...\Huh?\Damn! This opponent's demonic energy is too weak...\I can't use the Backlash Wave!\What're you mumbling about?!\You're just too weak, that's all!\He's for real! response:	Huh? This is the demon I exorcised from the headman's house last night.
context: Backlash Wave...\Huh?\Damn! This opponent's demonic energy is too weak...\I can't use the Backlash Wave!\What're you mumbling about?!\You're just too weak, that's all!\He's for real!\Huh? This is the demon I exorcised from the headman's house last night. response:	l-Inuyasha...
context: Huh?\Damn! This opponent's demonic energy is too weak...\I can't use the Backlash Wave!\What're you mumbling about?!\You're just too weak, that's all!\He's for real!\Huh? This is the demon I exorcised from the headman's house last night.\l-Inuyasha... response:	Hey, Shippo... you did well.
context: Damn! This opponent's demonic energy is too weak...\I can't use the Backlash Wave!\What're you mumbling about?!\You're just too weak, that's all!\He's for real!\Huh? This is the demon I exorcised from the headman's house last night.\l-Inuyasha...\Hey, Shippo... you did well. response:	Shippo, are you all right?
context: I can't use the Backlash Wave!\What're you mumbling about?!\You're just too weak, that's all!\He's for real!\Huh? This is the demon I exorcised from the headman's house last night.\l-Inuyasha...\Hey, Shippo... you did well.\Shippo, are you all right? response:	Kagome!
context: What're you mumbling about?!\You're just too weak, that's all!\He's for real!\Huh? This is the demon I exorcised from the headman's house last night.\l-Inuyasha...\Hey, Shippo... you did well.\Shippo, are you all right?\Kagome! response:	Shippo, you beat the demon!
context: You're just too weak, that's all!\He's for real!\Huh? This is the demon I exorcised from the headman's house last night.\l-Inuyasha...\Hey, Shippo... you did well.\Shippo, are you all right?\Kagome!\Shippo, you beat the demon! response:	It wasn't me. Inuyasha...
context: He's for real!\Huh? This is the demon I exorcised from the headman's house last night.\l-Inuyasha...\Hey, Shippo... you did well.\Shippo, are you all right?\Kagome!\Shippo, you beat the demon!\It wasn't me. Inuyasha... response:	When I arrived, the demon was already beaten to a pulp.
context: Huh? This is the demon I exorcised from the headman's house last night.\l-Inuyasha...\Hey, Shippo... you did well.\Shippo, are you all right?\Kagome!\Shippo, you beat the demon!\It wasn't me. Inuyasha...\When I arrived, the demon was already beaten to a pulp. response:	Inuyasha...
context: l-Inuyasha...\Hey, Shippo... you did well.\Shippo, are you all right?\Kagome!\Shippo, you beat the demon!\It wasn't me. Inuyasha...\When I arrived, the demon was already beaten to a pulp.\Inuyasha... response:	This demon figured he didn't have a chance with us, so he used Satsuki.
context: Hey, Shippo... you did well.\Shippo, are you all right?\Kagome!\Shippo, you beat the demon!\It wasn't me. Inuyasha...\When I arrived, the demon was already beaten to a pulp.\Inuyasha...\This demon figured he didn't have a chance with us, so he used Satsuki. response:	Everyone who tries to use the Sacred Jewel encounters unhappiness.
context: Shippo, are you all right?\Kagome!\Shippo, you beat the demon!\It wasn't me. Inuyasha...\When I arrived, the demon was already beaten to a pulp.\Inuyasha...\This demon figured he didn't have a chance with us, so he used Satsuki.\Everyone who tries to use the Sacred Jewel encounters unhappiness. response:	I forgot that... and Satsuki suffered for it.
context: Kagome!\Shippo, you beat the demon!\It wasn't me. Inuyasha...\When I arrived, the demon was already beaten to a pulp.\Inuyasha...\This demon figured he didn't have a chance with us, so he used Satsuki.\Everyone who tries to use the Sacred Jewel encounters unhappiness.\I forgot that... and Satsuki suffered for it. response:	Satsuki, I'm sorry.
context: Shippo, you beat the demon!\It wasn't me. Inuyasha...\When I arrived, the demon was already beaten to a pulp.\Inuyasha...\This demon figured he didn't have a chance with us, so he used Satsuki.\Everyone who tries to use the Sacred Jewel encounters unhappiness.\I forgot that... and Satsuki suffered for it.\Satsuki, I'm sorry. response:	It's all right.
context: It wasn't me. Inuyasha...\When I arrived, the demon was already beaten to a pulp.\Inuyasha...\This demon figured he didn't have a chance with us, so he used Satsuki.\Everyone who tries to use the Sacred Jewel encounters unhappiness.\I forgot that... and Satsuki suffered for it.\Satsuki, I'm sorry.\It's all right. response:	Satsuki...
context: When I arrived, the demon was already beaten to a pulp.\Inuyasha...\This demon figured he didn't have a chance with us, so he used Satsuki.\Everyone who tries to use the Sacred Jewel encounters unhappiness.\I forgot that... and Satsuki suffered for it.\Satsuki, I'm sorry.\It's all right.\Satsuki... response:	I've decided... to go live with the headman.
context: Inuyasha...\This demon figured he didn't have a chance with us, so he used Satsuki.\Everyone who tries to use the Sacred Jewel encounters unhappiness.\I forgot that... and Satsuki suffered for it.\Satsuki, I'm sorry.\It's all right.\Satsuki...\I've decided... to go live with the headman. response:	I knew all along that my brother was dead.
context: This demon figured he didn't have a chance with us, so he used Satsuki.\Everyone who tries to use the Sacred Jewel encounters unhappiness.\I forgot that... and Satsuki suffered for it.\Satsuki, I'm sorry.\It's all right.\Satsuki...\I've decided... to go live with the headman.\I knew all along that my brother was dead. response:	Take care, Satsuki!
context: Everyone who tries to use the Sacred Jewel encounters unhappiness.\I forgot that... and Satsuki suffered for it.\Satsuki, I'm sorry.\It's all right.\Satsuki...\I've decided... to go live with the headman.\I knew all along that my brother was dead.\Take care, Satsuki! response:	Thank you, Shippo! I'm glad I met you!
context: I forgot that... and Satsuki suffered for it.\Satsuki, I'm sorry.\It's all right.\Satsuki...\I've decided... to go live with the headman.\I knew all along that my brother was dead.\Take care, Satsuki!\Thank you, Shippo! I'm glad I met you! response:	Satsuki, find happiness.
context: Satsuki, I'm sorry.\It's all right.\Satsuki...\I've decided... to go live with the headman.\I knew all along that my brother was dead.\Take care, Satsuki!\Thank you, Shippo! I'm glad I met you!\Satsuki, find happiness. response:	I don't have a Ma or Pa either.
context: It's all right.\Satsuki...\I've decided... to go live with the headman.\I knew all along that my brother was dead.\Take care, Satsuki!\Thank you, Shippo! I'm glad I met you!\Satsuki, find happiness.\I don't have a Ma or Pa either. response:	But I'm not alone. That's why I can go on living.
context: Satsuki...\I've decided... to go live with the headman.\I knew all along that my brother was dead.\Take care, Satsuki!\Thank you, Shippo! I'm glad I met you!\Satsuki, find happiness.\I don't have a Ma or Pa either.\But I'm not alone. That's why I can go on living. response:	Was Shippo really in love with that girl?
context: I've decided... to go live with the headman.\I knew all along that my brother was dead.\Take care, Satsuki!\Thank you, Shippo! I'm glad I met you!\Satsuki, find happiness.\I don't have a Ma or Pa either.\But I'm not alone. That's why I can go on living.\Was Shippo really in love with that girl? response:	I guess so.
context: I knew all along that my brother was dead.\Take care, Satsuki!\Thank you, Shippo! I'm glad I met you!\Satsuki, find happiness.\I don't have a Ma or Pa either.\But I'm not alone. That's why I can go on living.\Was Shippo really in love with that girl?\I guess so. response:	He's little, but he's a man.
context: Take care, Satsuki!\Thank you, Shippo! I'm glad I met you!\Satsuki, find happiness.\I don't have a Ma or Pa either.\But I'm not alone. That's why I can go on living.\Was Shippo really in love with that girl?\I guess so.\He's little, but he's a man. response:	First love...
context: Thank you, Shippo! I'm glad I met you!\Satsuki, find happiness.\I don't have a Ma or Pa either.\But I'm not alone. That's why I can go on living.\Was Shippo really in love with that girl?\I guess so.\He's little, but he's a man.\First love... response:	Shippo, let's go!
context: Satsuki, find happiness.\I don't have a Ma or Pa either.\But I'm not alone. That's why I can go on living.\Was Shippo really in love with that girl?\I guess so.\He's little, but he's a man.\First love...\Shippo, let's go! response:	Hey Shippo! If you lag behind we'll leave you!
context: I don't have a Ma or Pa either.\But I'm not alone. That's why I can go on living.\Was Shippo really in love with that girl?\I guess so.\He's little, but he's a man.\First love...\Shippo, let's go!\Hey Shippo! If you lag behind we'll leave you! response:	I know!
context: But I'm not alone. That's why I can go on living.\Was Shippo really in love with that girl?\I guess so.\He's little, but he's a man.\First love...\Shippo, let's go!\Hey Shippo! If you lag behind we'll leave you!\I know! response:	All the men in a village are bewitched by a demon princess and won't return.
context: Was Shippo really in love with that girl?\I guess so.\He's little, but he's a man.\First love...\Shippo, let's go!\Hey Shippo! If you lag behind we'll leave you!\I know!\All the men in a village are bewitched by a demon princess and won't return. response:	Miroku sets out alone to rescue them,
context: I guess so.\He's little, but he's a man.\First love...\Shippo, let's go!\Hey Shippo! If you lag behind we'll leave you!\I know!\All the men in a village are bewitched by a demon princess and won't return.\Miroku sets out alone to rescue them, response:	but his one weakness is... a beautiful woman.
context: He's little, but he's a man.\First love...\Shippo, let's go!\Hey Shippo! If you lag behind we'll leave you!\I know!\All the men in a village are bewitched by a demon princess and won't return.\Miroku sets out alone to rescue them,\but his one weakness is... a beautiful woman. response:	This may be dangerous!
context: First love...\Shippo, let's go!\Hey Shippo! If you lag behind we'll leave you!\I know!\All the men in a village are bewitched by a demon princess and won't return.\Miroku sets out alone to rescue them,\but his one weakness is... a beautiful woman.\This may be dangerous! response:	Worried, Sango decides to follow him.
context: Shippo, let's go!\Hey Shippo! If you lag behind we'll leave you!\I know!\All the men in a village are bewitched by a demon princess and won't return.\Miroku sets out alone to rescue them,\but his one weakness is... a beautiful woman.\This may be dangerous!\Worried, Sango decides to follow him. response:	But deep in that mountain was a sad legend.
context: Hey Shippo! If you lag behind we'll leave you!\I know!\All the men in a village are bewitched by a demon princess and won't return.\Miroku sets out alone to rescue them,\but his one weakness is... a beautiful woman.\This may be dangerous!\Worried, Sango decides to follow him.\But deep in that mountain was a sad legend. response:	Next on Inuyasha: The Temptress in the Mist
context: I know!\All the men in a village are bewitched by a demon princess and won't return.\Miroku sets out alone to rescue them,\but his one weakness is... a beautiful woman.\This may be dangerous!\Worried, Sango decides to follow him.\But deep in that mountain was a sad legend.\Next on Inuyasha: The Temptress in the Mist response:	Don't miss it!
