context: Conny! response:	Are there any survivors?
context: Monitor?\That person joined the Scout Regiment as of this year.\Their name is...\Excuse me!\104th Cadet Corps!\Sasha Braus!\Her?\Who's that? response:	Um, this is for you, Section Commander.
context: That person joined the Scout Regiment as of this year.\Their name is...\Excuse me!\104th Cadet Corps!\Sasha Braus!\Her?\Who's that?\Um, this is for you, Section Commander. response:	You must find her at once.
context: Their name is...\Excuse me!\104th Cadet Corps!\Sasha Braus!\Her?\Who's that?\Um, this is for you, Section Commander.\You must find her at once. response:	Only she... She may know the truths which even we cannot perceive.
context: Excuse me!\104th Cadet Corps!\Sasha Braus!\Her?\Who's that?\Um, this is for you, Section Commander.\You must find her at once.\Only she... She may know the truths which even we cannot perceive. response:	That is all the information I can share.
context: 104th Cadet Corps!\Sasha Braus!\Her?\Who's that?\Um, this is for you, Section Commander.\You must find her at once.\Only she... She may know the truths which even we cannot perceive.\That is all the information I can share. response:	The rest I leave in your hands.
context: Sasha Braus!\Her?\Who's that?\Um, this is for you, Section Commander.\You must find her at once.\Only she... She may know the truths which even we cannot perceive.\That is all the information I can share.\The rest I leave in your hands. response:	If she's in the 104th, then she's deep in the front lines right now.
context: Her?\Who's that?\Um, this is for you, Section Commander.\You must find her at once.\Only she... She may know the truths which even we cannot perceive.\That is all the information I can share.\The rest I leave in your hands.\If she's in the 104th, then she's deep in the front lines right now. response:	Let's go!
context: Who's that?\Um, this is for you, Section Commander.\You must find her at once.\Only she... She may know the truths which even we cannot perceive.\That is all the information I can share.\The rest I leave in your hands.\If she's in the 104th, then she's deep in the front lines right now.\Let's go! response:	We need to hurry!
context: Um, this is for you, Section Commander.\You must find her at once.\Only she... She may know the truths which even we cannot perceive.\That is all the information I can share.\The rest I leave in your hands.\If she's in the 104th, then she's deep in the front lines right now.\Let's go!\We need to hurry! response:	Wait!
context: You must find her at once.\Only she... She may know the truths which even we cannot perceive.\That is all the information I can share.\The rest I leave in your hands.\If she's in the 104th, then she's deep in the front lines right now.\Let's go!\We need to hurry!\Wait! response:	Ouch...
context: Only she... She may know the truths which even we cannot perceive.\That is all the information I can share.\The rest I leave in your hands.\If she's in the 104th, then she's deep in the front lines right now.\Let's go!\We need to hurry!\Wait!\Ouch... response:	Sasha?!
context: That is all the information I can share.\The rest I leave in your hands.\If she's in the 104th, then she's deep in the front lines right now.\Let's go!\We need to hurry!\Wait!\Ouch...\Sasha?! response:	What are you doing here?
context: The rest I leave in your hands.\If she's in the 104th, then she's deep in the front lines right now.\Let's go!\We need to hurry!\Wait!\Ouch...\Sasha?!\What are you doing here? response:	Upon my arrival, I gave my report to the Commander!
context: If she's in the 104th, then she's deep in the front lines right now.\Let's go!\We need to hurry!\Wait!\Ouch...\Sasha?!\What are you doing here?\Upon my arrival, I gave my report to the Commander! response:	Afterwards, I was entrusted to deliver this message to the Section Commander!
context: Let's go!\We need to hurry!\Wait!\Ouch...\Sasha?!\What are you doing here?\Upon my arrival, I gave my report to the Commander!\Afterwards, I was entrusted to deliver this message to the Section Commander! response:	Message? Thank you. Good work.
context: We need to hurry!\Wait!\Ouch...\Sasha?!\What are you doing here?\Upon my arrival, I gave my report to the Commander!\Afterwards, I was entrusted to deliver this message to the Section Commander!\Message? Thank you. Good work. response:	So, who is this girl in the 104th?
context: Wait!\Ouch...\Sasha?!\What are you doing here?\Upon my arrival, I gave my report to the Commander!\Afterwards, I was entrusted to deliver this message to the Section Commander!\Message? Thank you. Good work.\So, who is this girl in the 104th? response:	She's the smallest one of us.
context: Ouch...\Sasha?!\What are you doing here?\Upon my arrival, I gave my report to the Commander!\Afterwards, I was entrusted to deliver this message to the Section Commander!\Message? Thank you. Good work.\So, who is this girl in the 104th?\She's the smallest one of us. response:	She's got long golden hair.
context: Sasha?!\What are you doing here?\Upon my arrival, I gave my report to the Commander!\Afterwards, I was entrusted to deliver this message to the Section Commander!\Message? Thank you. Good work.\So, who is this girl in the 104th?\She's the smallest one of us.\She's got long golden hair. response:	Um, and...
context: What are you doing here?\Upon my arrival, I gave my report to the Commander!\Afterwards, I was entrusted to deliver this message to the Section Commander!\Message? Thank you. Good work.\So, who is this girl in the 104th?\She's the smallest one of us.\She's got long golden hair.\Um, and... response:	She's cute.
context: Upon my arrival, I gave my report to the Commander!\Afterwards, I was entrusted to deliver this message to the Section Commander!\Message? Thank you. Good work.\So, who is this girl in the 104th?\She's the smallest one of us.\She's got long golden hair.\Um, and...\She's cute. response:	She's always hanging around Ymir.
context: Afterwards, I was entrusted to deliver this message to the Section Commander!\Message? Thank you. Good work.\So, who is this girl in the 104th?\She's the smallest one of us.\She's got long golden hair.\Um, and...\She's cute.\She's always hanging around Ymir. response:	Ymir?
context: Message? Thank you. Good work.\So, who is this girl in the 104th?\She's the smallest one of us.\She's got long golden hair.\Um, and...\She's cute.\She's always hanging around Ymir.\Ymir? response:	What's the meaning of this?
context: So, who is this girl in the 104th?\She's the smallest one of us.\She's got long golden hair.\Um, and...\She's cute.\She's always hanging around Ymir.\Ymir?\What's the meaning of this? response:	Ymir...
context: She's the smallest one of us.\She's got long golden hair.\Um, and...\She's cute.\She's always hanging around Ymir.\Ymir?\What's the meaning of this?\Ymir... response:	You...
context: She's got long golden hair.\Um, and...\She's cute.\She's always hanging around Ymir.\Ymir?\What's the meaning of this?\Ymir...\You... response:	Everyone, wake up!
context: Um, and...\She's cute.\She's always hanging around Ymir.\Ymir?\What's the meaning of this?\Ymir...\You...\Everyone, wake up! response:	Get to the tower! Quickly!
context: She's cute.\She's always hanging around Ymir.\Ymir?\What's the meaning of this?\Ymir...\You...\Everyone, wake up!\Get to the tower! Quickly! response:	I couldn't see them in the darkness, but then the moon...
context: She's always hanging around Ymir.\Ymir?\What's the meaning of this?\Ymir...\You...\Everyone, wake up!\Get to the tower! Quickly!\I couldn't see them in the darkness, but then the moon... response:	Why? Why can they move?
context: Ymir?\What's the meaning of this?\Ymir...\You...\Everyone, wake up!\Get to the tower! Quickly!\I couldn't see them in the darkness, but then the moon...\Why? Why can they move? response:	It's been so long since the sun set!
context: What's the meaning of this?\Ymir...\You...\Everyone, wake up!\Get to the tower! Quickly!\I couldn't see them in the darkness, but then the moon...\Why? Why can they move?\It's been so long since the sun set! response:	What's going on here?
context: Ymir...\You...\Everyone, wake up!\Get to the tower! Quickly!\I couldn't see them in the darkness, but then the moon...\Why? Why can they move?\It's been so long since the sun set!\What's going on here? response:	Hey! Look at that!
context: You...\Everyone, wake up!\Get to the tower! Quickly!\I couldn't see them in the darkness, but then the moon...\Why? Why can they move?\It's been so long since the sun set!\What's going on here?\Hey! Look at that! response:	It's huge! What the hell is it? A Titan?
context: Everyone, wake up!\Get to the tower! Quickly!\I couldn't see them in the darkness, but then the moon...\Why? Why can they move?\It's been so long since the sun set!\What's going on here?\Hey! Look at that!\It's huge! What the hell is it? A Titan? response:	No, it's more like...
context: Get to the tower! Quickly!\I couldn't see them in the darkness, but then the moon...\Why? Why can they move?\It's been so long since the sun set!\What's going on here?\Hey! Look at that!\It's huge! What the hell is it? A Titan?\No, it's more like... response:	It's like a beast!
context: I couldn't see them in the darkness, but then the moon...\Why? Why can they move?\It's been so long since the sun set!\What's going on here?\Hey! Look at that!\It's huge! What the hell is it? A Titan?\No, it's more like...\It's like a beast! response:	Right?
context: Why? Why can they move?\It's been so long since the sun set!\What's going on here?\Hey! Look at that!\It's huge! What the hell is it? A Titan?\No, it's more like...\It's like a beast!\Right? response:	It's... headed for the wall!
context: It's been so long since the sun set!\What's going on here?\Hey! Look at that!\It's huge! What the hell is it? A Titan?\No, it's more like...\It's like a beast!\Right?\It's... headed for the wall! response:	Everyone understand?
context: What's going on here?\Hey! Look at that!\It's huge! What the hell is it? A Titan?\No, it's more like...\It's like a beast!\Right?\It's... headed for the wall!\Everyone understand? response:	Yes!
context: Hey! Look at that!\It's huge! What the hell is it? A Titan?\No, it's more like...\It's like a beast!\Right?\It's... headed for the wall!\Everyone understand?\Yes! response:	We've got to go!
context: It's huge! What the hell is it? A Titan?\No, it's more like...\It's like a beast!\Right?\It's... headed for the wall!\Everyone understand?\Yes!\We've got to go! response:	Calm down, Eren.
context: No, it's more like...\It's like a beast!\Right?\It's... headed for the wall!\Everyone understand?\Yes!\We've got to go!\Calm down, Eren. response:	You all listen, too.
context: It's like a beast!\Right?\It's... headed for the wall!\Everyone understand?\Yes!\We've got to go!\Calm down, Eren.\You all listen, too. response:	We're going our own ways now.
context: Right?\It's... headed for the wall!\Everyone understand?\Yes!\We've got to go!\Calm down, Eren.\You all listen, too.\We're going our own ways now. response:	The rest is up to you.
context: It's... headed for the wall!\Everyone understand?\Yes!\We've got to go!\Calm down, Eren.\You all listen, too.\We're going our own ways now.\The rest is up to you. response:	Erwin may have thrown together your squad, but everything's riding on you.
context: Everyone understand?\Yes!\We've got to go!\Calm down, Eren.\You all listen, too.\We're going our own ways now.\The rest is up to you.\Erwin may have thrown together your squad, but everything's riding on you. response:	Got it, Armin?
context: Yes!\We've got to go!\Calm down, Eren.\You all listen, too.\We're going our own ways now.\The rest is up to you.\Erwin may have thrown together your squad, but everything's riding on you.\Got it, Armin? response:	Work with Hange and combine your knowledge.
context: We've got to go!\Calm down, Eren.\You all listen, too.\We're going our own ways now.\The rest is up to you.\Erwin may have thrown together your squad, but everything's riding on you.\Got it, Armin?\Work with Hange and combine your knowledge. response:	Y-Yes sir!
context: Calm down, Eren.\You all listen, too.\We're going our own ways now.\The rest is up to you.\Erwin may have thrown together your squad, but everything's riding on you.\Got it, Armin?\Work with Hange and combine your knowledge.\Y-Yes sir! response:	Mikasa.
context: You all listen, too.\We're going our own ways now.\The rest is up to you.\Erwin may have thrown together your squad, but everything's riding on you.\Got it, Armin?\Work with Hange and combine your knowledge.\Y-Yes sir!\Mikasa. response:	I don't know why you're so attached to Eren, but...
context: We're going our own ways now.\The rest is up to you.\Erwin may have thrown together your squad, but everything's riding on you.\Got it, Armin?\Work with Hange and combine your knowledge.\Y-Yes sir!\Mikasa.\I don't know why you're so attached to Eren, but... response:	Yes, sir! Of course!
context: The rest is up to you.\Erwin may have thrown together your squad, but everything's riding on you.\Got it, Armin?\Work with Hange and combine your knowledge.\Y-Yes sir!\Mikasa.\I don't know why you're so attached to Eren, but...\Yes, sir! Of course! response:	And finally...
context: Erwin may have thrown together your squad, but everything's riding on you.\Got it, Armin?\Work with Hange and combine your knowledge.\Y-Yes sir!\Mikasa.\I don't know why you're so attached to Eren, but...\Yes, sir! Of course!\And finally... response:	Eren.
context: Got it, Armin?\Work with Hange and combine your knowledge.\Y-Yes sir!\Mikasa.\I don't know why you're so attached to Eren, but...\Yes, sir! Of course!\And finally...\Eren. response:	Hey, wait!
context: Work with Hange and combine your knowledge.\Y-Yes sir!\Mikasa.\I don't know why you're so attached to Eren, but...\Yes, sir! Of course!\And finally...\Eren.\Hey, wait! response:	Wait, wait, wait up!
context: Y-Yes sir!\Mikasa.\I don't know why you're so attached to Eren, but...\Yes, sir! Of course!\And finally...\Eren.\Hey, wait!\Wait, wait, wait up! response:	Don't you be coming in here!
context: Mikasa.\I don't know why you're so attached to Eren, but...\Yes, sir! Of course!\And finally...\Eren.\Hey, wait!\Wait, wait, wait up!\Don't you be coming in here! response:	You're fricking kidding me. Gotta be fricking kidding me.
context: I don't know why you're so attached to Eren, but...\Yes, sir! Of course!\And finally...\Eren.\Hey, wait!\Wait, wait, wait up!\Don't you be coming in here!\You're fricking kidding me. Gotta be fricking kidding me. response:	I'd be drinking right now if it wasn't for you!
context: Yes, sir! Of course!\And finally...\Eren.\Hey, wait!\Wait, wait, wait up!\Don't you be coming in here!\You're fricking kidding me. Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you! response:	This is all your fault!
context: And finally...\Eren.\Hey, wait!\Wait, wait, wait up!\Don't you be coming in here!\You're fricking kidding me. Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault! response:	Stand back, rookies.
context: Eren.\Hey, wait!\Wait, wait, wait up!\Don't you be coming in here!\You're fricking kidding me. Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Stand back, rookies. response:	Leave it to us.
context: Hey, wait!\Wait, wait, wait up!\Don't you be coming in here!\You're fricking kidding me. Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Stand back, rookies.\Leave it to us. response:	It's time to show off our ODM gear.
context: Wait, wait, wait up!\Don't you be coming in here!\You're fricking kidding me. Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear. response:	Let's go!
context: Don't you be coming in here!\You're fricking kidding me. Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go! response:	And finally, Eren.
context: You're fricking kidding me. Gotta be fricking kidding me.\I'd be drinking right now if it wasn't for you!\This is all your fault!\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go!\And finally, Eren. response:	Learn how to restrain yourself.
context: I'd be drinking right now if it wasn't for you!\This is all your fault!\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go!\And finally, Eren.\Learn how to restrain yourself. response:	Don't succumb to rage and lose sight of the goal.
context: This is all your fault!\Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go!\And finally, Eren.\Learn how to restrain yourself.\Don't succumb to rage and lose sight of the goal. response:	We can't afford another mistake.
context: Stand back, rookies.\Leave it to us.\It's time to show off our ODM gear.\Let's go!\And finally, Eren.\Learn how to restrain yourself.\Don't succumb to rage and lose sight of the goal.\We can't afford another mistake. response:	Yes, sir!
context: Leave it to us.\It's time to show off our ODM gear.\Let's go!\And finally, Eren.\Learn how to restrain yourself.\Don't succumb to rage and lose sight of the goal.\We can't afford another mistake.\Yes, sir! response:	There's a tower nearby where we can assess the wall.
context: It's time to show off our ODM gear.\Let's go!\And finally, Eren.\Learn how to restrain yourself.\Don't succumb to rage and lose sight of the goal.\We can't afford another mistake.\Yes, sir!\There's a tower nearby where we can assess the wall. response:	It's in an abandoned castle to the southwest.
context: Let's go!\And finally, Eren.\Learn how to restrain yourself.\Don't succumb to rage and lose sight of the goal.\We can't afford another mistake.\Yes, sir!\There's a tower nearby where we can assess the wall.\It's in an abandoned castle to the southwest. response:	We'll ride to Utgard Castle.
context: And finally, Eren.\Learn how to restrain yourself.\Don't succumb to rage and lose sight of the goal.\We can't afford another mistake.\Yes, sir!\There's a tower nearby where we can assess the wall.\It's in an abandoned castle to the southwest.\We'll ride to Utgard Castle. response:	While searching for the Titans' breach in the wall, the Scouts arrive at Utgard Castle.
context: Learn how to restrain yourself.\Don't succumb to rage and lose sight of the goal.\We can't afford another mistake.\Yes, sir!\There's a tower nearby where we can assess the wall.\It's in an abandoned castle to the southwest.\We'll ride to Utgard Castle.\While searching for the Titans' breach in the wall, the Scouts arrive at Utgard Castle. response:	Their rest is cut short by Titans who move even under the darkness of night.
context: Don't succumb to rage and lose sight of the goal.\We can't afford another mistake.\Yes, sir!\There's a tower nearby where we can assess the wall.\It's in an abandoned castle to the southwest.\We'll ride to Utgard Castle.\While searching for the Titans' breach in the wall, the Scouts arrive at Utgard Castle.\Their rest is cut short by Titans who move even under the darkness of night. response:	The Scouts fight back gallantly.
context: We can't afford another mistake.\Yes, sir!\There's a tower nearby where we can assess the wall.\It's in an abandoned castle to the southwest.\We'll ride to Utgard Castle.\While searching for the Titans' breach in the wall, the Scouts arrive at Utgard Castle.\Their rest is cut short by Titans who move even under the darkness of night.\The Scouts fight back gallantly. response:	As the Titans' invasion presses within the castle, Reiner recollects a scene of his past.
context: Yes, sir!\There's a tower nearby where we can assess the wall.\It's in an abandoned castle to the southwest.\We'll ride to Utgard Castle.\While searching for the Titans' breach in the wall, the Scouts arrive at Utgard Castle.\Their rest is cut short by Titans who move even under the darkness of night.\The Scouts fight back gallantly.\As the Titans' invasion presses within the castle, Reiner recollects a scene of his past. response:	Soldier
context: There's a tower nearby where we can assess the wall.\It's in an abandoned castle to the southwest.\We'll ride to Utgard Castle.\While searching for the Titans' breach in the wall, the Scouts arrive at Utgard Castle.\Their rest is cut short by Titans who move even under the darkness of night.\The Scouts fight back gallantly.\As the Titans' invasion presses within the castle, Reiner recollects a scene of his past.\Soldier response:	Next episode: Soldier.
