context: Once upon a time, there was a man who fell in love with a doll. response:	Perhaps the man's love made itself felt, for one day, the doll came to life and began to dance.
context: Let's discuss it properly, okay?\Come straighten things out!\Sorry, but be quiet for a second.\Huh? But you have to take a harsher tone with your enemies.\I don't think of Pike as an enemy.\Really, Ahiru? Is that really okay?\Yeah, that's really how I feel.\Hey, did you hear that?! response:	She says you're no threat to her!
context: Come straighten things out!\Sorry, but be quiet for a second.\Huh? But you have to take a harsher tone with your enemies.\I don't think of Pike as an enemy.\Really, Ahiru? Is that really okay?\Yeah, that's really how I feel.\Hey, did you hear that?!\She says you're no threat to her! response:	That's not what I meant!
context: Sorry, but be quiet for a second.\Huh? But you have to take a harsher tone with your enemies.\I don't think of Pike as an enemy.\Really, Ahiru? Is that really okay?\Yeah, that's really how I feel.\Hey, did you hear that?!\She says you're no threat to her!\That's not what I meant! response:	That's enough for today. Let's go, okay?!
context: Huh? But you have to take a harsher tone with your enemies.\I don't think of Pike as an enemy.\Really, Ahiru? Is that really okay?\Yeah, that's really how I feel.\Hey, did you hear that?!\She says you're no threat to her!\That's not what I meant!\That's enough for today. Let's go, okay?! response:	We'll let you off for today!
context: I don't think of Pike as an enemy.\Really, Ahiru? Is that really okay?\Yeah, that's really how I feel.\Hey, did you hear that?!\She says you're no threat to her!\That's not what I meant!\That's enough for today. Let's go, okay?!\We'll let you off for today! response:	Mytho-sama?
context: Really, Ahiru? Is that really okay?\Yeah, that's really how I feel.\Hey, did you hear that?!\She says you're no threat to her!\That's not what I meant!\That's enough for today. Let's go, okay?!\We'll let you off for today!\Mytho-sama? response:	Kraehe?!
context: Yeah, that's really how I feel.\Hey, did you hear that?!\She says you're no threat to her!\That's not what I meant!\That's enough for today. Let's go, okay?!\We'll let you off for today!\Mytho-sama?\Kraehe?! response:	You're certainly working hard.
context: Hey, did you hear that?!\She says you're no threat to her!\That's not what I meant!\That's enough for today. Let's go, okay?!\We'll let you off for today!\Mytho-sama?\Kraehe?!\You're certainly working hard. response:	Are you researching princes? Or is it ravens?
context: She says you're no threat to her!\That's not what I meant!\That's enough for today. Let's go, okay?!\We'll let you off for today!\Mytho-sama?\Kraehe?!\You're certainly working hard.\Are you researching princes? Or is it ravens? response:	Shall I tell you what's to become of the prince?
context: That's not what I meant!\That's enough for today. Let's go, okay?!\We'll let you off for today!\Mytho-sama?\Kraehe?!\You're certainly working hard.\Are you researching princes? Or is it ravens?\Shall I tell you what's to become of the prince? response:	So you did do something, then?
context: That's enough for today. Let's go, okay?!\We'll let you off for today!\Mytho-sama?\Kraehe?!\You're certainly working hard.\Are you researching princes? Or is it ravens?\Shall I tell you what's to become of the prince?\So you did do something, then? response:	The heart shard of love that Princess Tutu gave back to him...
context: We'll let you off for today!\Mytho-sama?\Kraehe?!\You're certainly working hard.\Are you researching princes? Or is it ravens?\Shall I tell you what's to become of the prince?\So you did do something, then?\The heart shard of love that Princess Tutu gave back to him... response:	It was soaked in the raven's blood.
context: Mytho-sama?\Kraehe?!\You're certainly working hard.\Are you researching princes? Or is it ravens?\Shall I tell you what's to become of the prince?\So you did do something, then?\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood. response:	The raven's blood?! You...
context: Kraehe?!\You're certainly working hard.\Are you researching princes? Or is it ravens?\Shall I tell you what's to become of the prince?\So you did do something, then?\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\The raven's blood?! You... response:	My father gave some of his own blood for his daughter's sake.
context: You're certainly working hard.\Are you researching princes? Or is it ravens?\Shall I tell you what's to become of the prince?\So you did do something, then?\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\The raven's blood?! You...\My father gave some of his own blood for his daughter's sake. response:	The raven's daughter?
context: Are you researching princes? Or is it ravens?\Shall I tell you what's to become of the prince?\So you did do something, then?\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\The raven's blood?! You...\My father gave some of his own blood for his daughter's sake.\The raven's daughter? response:	The prince is going to change. He'll love only me,
context: Shall I tell you what's to become of the prince?\So you did do something, then?\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\The raven's blood?! You...\My father gave some of his own blood for his daughter's sake.\The raven's daughter?\The prince is going to change. He'll love only me, response:	and he'll find a young and beautiful heart for my father
context: So you did do something, then?\The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\The raven's blood?! You...\My father gave some of his own blood for his daughter's sake.\The raven's daughter?\The prince is going to change. He'll love only me,\and he'll find a young and beautiful heart for my father response:	and give it to him as a sacrifice.
context: The heart shard of love that Princess Tutu gave back to him...\It was soaked in the raven's blood.\The raven's blood?! You...\My father gave some of his own blood for his daughter's sake.\The raven's daughter?\The prince is going to change. He'll love only me,\and he'll find a young and beautiful heart for my father\and give it to him as a sacrifice. response:	When the blood has seeped through his whole heart, he'll never go back to the way he was again.
context: It was soaked in the raven's blood.\The raven's blood?! You...\My father gave some of his own blood for his daughter's sake.\The raven's daughter?\The prince is going to change. He'll love only me,\and he'll find a young and beautiful heart for my father\and give it to him as a sacrifice.\When the blood has seeped through his whole heart, he'll never go back to the way he was again. response:	Did you tell her about this?
context: The raven's blood?! You...\My father gave some of his own blood for his daughter's sake.\The raven's daughter?\The prince is going to change. He'll love only me,\and he'll find a young and beautiful heart for my father\and give it to him as a sacrifice.\When the blood has seeped through his whole heart, he'll never go back to the way he was again.\Did you tell her about this? response:	Maybe I should. If I did that I could make Tutu suffer, couldn't I?
context: My father gave some of his own blood for his daughter's sake.\The raven's daughter?\The prince is going to change. He'll love only me,\and he'll find a young and beautiful heart for my father\and give it to him as a sacrifice.\When the blood has seeped through his whole heart, he'll never go back to the way he was again.\Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I? response:	Or maybe it would be more effective to tell the prince that she's really a human girl who's a horrible dancer.
context: The raven's daughter?\The prince is going to change. He'll love only me,\and he'll find a young and beautiful heart for my father\and give it to him as a sacrifice.\When the blood has seeped through his whole heart, he'll never go back to the way he was again.\Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I?\Or maybe it would be more effective to tell the prince that she's really a human girl who's a horrible dancer. response:	It was stupid of you to break the prince's sword.
context: The prince is going to change. He'll love only me,\and he'll find a young and beautiful heart for my father\and give it to him as a sacrifice.\When the blood has seeped through his whole heart, he'll never go back to the way he was again.\Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I?\Or maybe it would be more effective to tell the prince that she's really a human girl who's a horrible dancer.\It was stupid of you to break the prince's sword. response:	Without that, you can't even take his heart out again, can you?
context: and he'll find a young and beautiful heart for my father\and give it to him as a sacrifice.\When the blood has seeped through his whole heart, he'll never go back to the way he was again.\Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I?\Or maybe it would be more effective to tell the prince that she's really a human girl who's a horrible dancer.\It was stupid of you to break the prince's sword.\Without that, you can't even take his heart out again, can you? response:	In the end, you're just a human, and maybe all you can do is look things up in books.
context: and give it to him as a sacrifice.\When the blood has seeped through his whole heart, he'll never go back to the way he was again.\Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I?\Or maybe it would be more effective to tell the prince that she's really a human girl who's a horrible dancer.\It was stupid of you to break the prince's sword.\Without that, you can't even take his heart out again, can you?\In the end, you're just a human, and maybe all you can do is look things up in books. response:	Pike...
context: When the blood has seeped through his whole heart, he'll never go back to the way he was again.\Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I?\Or maybe it would be more effective to tell the prince that she's really a human girl who's a horrible dancer.\It was stupid of you to break the prince's sword.\Without that, you can't even take his heart out again, can you?\In the end, you're just a human, and maybe all you can do is look things up in books.\Pike... response:	Sorry about before.
context: Did you tell her about this?\Maybe I should. If I did that I could make Tutu suffer, couldn't I?\Or maybe it would be more effective to tell the prince that she's really a human girl who's a horrible dancer.\It was stupid of you to break the prince's sword.\Without that, you can't even take his heart out again, can you?\In the end, you're just a human, and maybe all you can do is look things up in books.\Pike...\Sorry about before. response:	I really do need your love.
context: Maybe I should. If I did that I could make Tutu suffer, couldn't I?\Or maybe it would be more effective to tell the prince that she's really a human girl who's a horrible dancer.\It was stupid of you to break the prince's sword.\Without that, you can't even take his heart out again, can you?\In the end, you're just a human, and maybe all you can do is look things up in books.\Pike...\Sorry about before.\I really do need your love. response:	All right.
context: Or maybe it would be more effective to tell the prince that she's really a human girl who's a horrible dancer.\It was stupid of you to break the prince's sword.\Without that, you can't even take his heart out again, can you?\In the end, you're just a human, and maybe all you can do is look things up in books.\Pike...\Sorry about before.\I really do need your love.\All right. response:	Are you afraid?
context: It was stupid of you to break the prince's sword.\Without that, you can't even take his heart out again, can you?\In the end, you're just a human, and maybe all you can do is look things up in books.\Pike...\Sorry about before.\I really do need your love.\All right.\Are you afraid? response:	No, of course not!
context: Without that, you can't even take his heart out again, can you?\In the end, you're just a human, and maybe all you can do is look things up in books.\Pike...\Sorry about before.\I really do need your love.\All right.\Are you afraid?\No, of course not! response:	Pike, love only me.
context: In the end, you're just a human, and maybe all you can do is look things up in books.\Pike...\Sorry about before.\I really do need your love.\All right.\Are you afraid?\No, of course not!\Pike, love only me. response:	Yes.
context: Pike...\Sorry about before.\I really do need your love.\All right.\Are you afraid?\No, of course not!\Pike, love only me.\Yes. response:	Regard all others with hatred.
context: Sorry about before.\I really do need your love.\All right.\Are you afraid?\No, of course not!\Pike, love only me.\Yes.\Regard all others with hatred. response:	Yes, I'll love only you, and hate everyone else.
context: I really do need your love.\All right.\Are you afraid?\No, of course not!\Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else. response:	Pike!
context: All right.\Are you afraid?\No, of course not!\Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\Pike! response:	Then as proof, you'll give me your beautiful heart, won't you?
context: Are you afraid?\No, of course not!\Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\Pike!\Then as proof, you'll give me your beautiful heart, won't you? response:	Yes.
context: No, of course not!\Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\Pike!\Then as proof, you'll give me your beautiful heart, won't you?\Yes. response:	Then come into my arms!
context: Pike, love only me.\Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\Pike!\Then as proof, you'll give me your beautiful heart, won't you?\Yes.\Then come into my arms! response:	Give me your heart!
context: Yes.\Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\Pike!\Then as proof, you'll give me your beautiful heart, won't you?\Yes.\Then come into my arms!\Give me your heart! response:	That's the Waltz of the Doll from Coppelia.
context: Regard all others with hatred.\Yes, I'll love only you, and hate everyone else.\Pike!\Then as proof, you'll give me your beautiful heart, won't you?\Yes.\Then come into my arms!\Give me your heart!\That's the Waltz of the Doll from Coppelia. response:	If I have Mytho-sama, I don't mind losing my heart and turning into a doll.
context: Yes, I'll love only you, and hate everyone else.\Pike!\Then as proof, you'll give me your beautiful heart, won't you?\Yes.\Then come into my arms!\Give me your heart!\That's the Waltz of the Doll from Coppelia.\If I have Mytho-sama, I don't mind losing my heart and turning into a doll. response:	The more beautiful the heart, the stronger the fragrance it gives off when dyed in evil.
context: Pike!\Then as proof, you'll give me your beautiful heart, won't you?\Yes.\Then come into my arms!\Give me your heart!\That's the Waltz of the Doll from Coppelia.\If I have Mytho-sama, I don't mind losing my heart and turning into a doll.\The more beautiful the heart, the stronger the fragrance it gives off when dyed in evil. response:	Didn't Mytho fall in love with Pike?
context: Then as proof, you'll give me your beautiful heart, won't you?\Yes.\Then come into my arms!\Give me your heart!\That's the Waltz of the Doll from Coppelia.\If I have Mytho-sama, I don't mind losing my heart and turning into a doll.\The more beautiful the heart, the stronger the fragrance it gives off when dyed in evil.\Didn't Mytho fall in love with Pike? response:	He mustn't take Pike's heart!
context: Yes.\Then come into my arms!\Give me your heart!\That's the Waltz of the Doll from Coppelia.\If I have Mytho-sama, I don't mind losing my heart and turning into a doll.\The more beautiful the heart, the stronger the fragrance it gives off when dyed in evil.\Didn't Mytho fall in love with Pike?\He mustn't take Pike's heart! response:	Wait.
context: Then come into my arms!\Give me your heart!\That's the Waltz of the Doll from Coppelia.\If I have Mytho-sama, I don't mind losing my heart and turning into a doll.\The more beautiful the heart, the stronger the fragrance it gives off when dyed in evil.\Didn't Mytho fall in love with Pike?\He mustn't take Pike's heart!\Wait. response:	Dance with me.
context: Give me your heart!\That's the Waltz of the Doll from Coppelia.\If I have Mytho-sama, I don't mind losing my heart and turning into a doll.\The more beautiful the heart, the stronger the fragrance it gives off when dyed in evil.\Didn't Mytho fall in love with Pike?\He mustn't take Pike's heart!\Wait.\Dance with me. response:	No.
context: That's the Waltz of the Doll from Coppelia.\If I have Mytho-sama, I don't mind losing my heart and turning into a doll.\The more beautiful the heart, the stronger the fragrance it gives off when dyed in evil.\Didn't Mytho fall in love with Pike?\He mustn't take Pike's heart!\Wait.\Dance with me.\No. response:	Tutu...
context: If I have Mytho-sama, I don't mind losing my heart and turning into a doll.\The more beautiful the heart, the stronger the fragrance it gives off when dyed in evil.\Didn't Mytho fall in love with Pike?\He mustn't take Pike's heart!\Wait.\Dance with me.\No.\Tutu... response:	Pike!
context: The more beautiful the heart, the stronger the fragrance it gives off when dyed in evil.\Didn't Mytho fall in love with Pike?\He mustn't take Pike's heart!\Wait.\Dance with me.\No.\Tutu...\Pike! response:	It's no use.
context: Didn't Mytho fall in love with Pike?\He mustn't take Pike's heart!\Wait.\Dance with me.\No.\Tutu...\Pike!\It's no use. response:	Pike herself wants to give her heart to me and be sacrificed.
context: He mustn't take Pike's heart!\Wait.\Dance with me.\No.\Tutu...\Pike!\It's no use.\Pike herself wants to give her heart to me and be sacrificed. response:	As long as Pike's feelings don't change...
context: Wait.\Dance with me.\No.\Tutu...\Pike!\It's no use.\Pike herself wants to give her heart to me and be sacrificed.\As long as Pike's feelings don't change... response:	Pike, stop!
context: Dance with me.\No.\Tutu...\Pike!\It's no use.\Pike herself wants to give her heart to me and be sacrificed.\As long as Pike's feelings don't change...\Pike, stop! response:	Hey, are you really okay with this?
context: No.\Tutu...\Pike!\It's no use.\Pike herself wants to give her heart to me and be sacrificed.\As long as Pike's feelings don't change...\Pike, stop!\Hey, are you really okay with this? response:	Swanilda from Coppelia was a normal girl just pretending to be a doll.
context: Tutu...\Pike!\It's no use.\Pike herself wants to give her heart to me and be sacrificed.\As long as Pike's feelings don't change...\Pike, stop!\Hey, are you really okay with this?\Swanilda from Coppelia was a normal girl just pretending to be a doll. response:	Just like you, Pike.
context: Pike!\It's no use.\Pike herself wants to give her heart to me and be sacrificed.\As long as Pike's feelings don't change...\Pike, stop!\Hey, are you really okay with this?\Swanilda from Coppelia was a normal girl just pretending to be a doll.\Just like you, Pike. response:	A girl who liked chatting and singing and loved dancing.
context: It's no use.\Pike herself wants to give her heart to me and be sacrificed.\As long as Pike's feelings don't change...\Pike, stop!\Hey, are you really okay with this?\Swanilda from Coppelia was a normal girl just pretending to be a doll.\Just like you, Pike.\A girl who liked chatting and singing and loved dancing. response:	A girl in love.
context: Pike herself wants to give her heart to me and be sacrificed.\As long as Pike's feelings don't change...\Pike, stop!\Hey, are you really okay with this?\Swanilda from Coppelia was a normal girl just pretending to be a doll.\Just like you, Pike.\A girl who liked chatting and singing and loved dancing.\A girl in love. response:	If you really love Mytho, then you must want to chat with him and sing and dance with him, right?
context: As long as Pike's feelings don't change...\Pike, stop!\Hey, are you really okay with this?\Swanilda from Coppelia was a normal girl just pretending to be a doll.\Just like you, Pike.\A girl who liked chatting and singing and loved dancing.\A girl in love.\If you really love Mytho, then you must want to chat with him and sing and dance with him, right? response:	You think you wouldn't mind losing your heart, but you have to realize that feeling isn't real!
context: Pike, stop!\Hey, are you really okay with this?\Swanilda from Coppelia was a normal girl just pretending to be a doll.\Just like you, Pike.\A girl who liked chatting and singing and loved dancing.\A girl in love.\If you really love Mytho, then you must want to chat with him and sing and dance with him, right?\You think you wouldn't mind losing your heart, but you have to realize that feeling isn't real! response:	Tutu.
context: Hey, are you really okay with this?\Swanilda from Coppelia was a normal girl just pretending to be a doll.\Just like you, Pike.\A girl who liked chatting and singing and loved dancing.\A girl in love.\If you really love Mytho, then you must want to chat with him and sing and dance with him, right?\You think you wouldn't mind losing your heart, but you have to realize that feeling isn't real!\Tutu. response:	Mytho!
context: Swanilda from Coppelia was a normal girl just pretending to be a doll.\Just like you, Pike.\A girl who liked chatting and singing and loved dancing.\A girl in love.\If you really love Mytho, then you must want to chat with him and sing and dance with him, right?\You think you wouldn't mind losing your heart, but you have to realize that feeling isn't real!\Tutu.\Mytho! response:	Is this a bad dream?
context: Just like you, Pike.\A girl who liked chatting and singing and loved dancing.\A girl in love.\If you really love Mytho, then you must want to chat with him and sing and dance with him, right?\You think you wouldn't mind losing your heart, but you have to realize that feeling isn't real!\Tutu.\Mytho!\Is this a bad dream? response:	Mytho...
context: A girl who liked chatting and singing and loved dancing.\A girl in love.\If you really love Mytho, then you must want to chat with him and sing and dance with him, right?\You think you wouldn't mind losing your heart, but you have to realize that feeling isn't real!\Tutu.\Mytho!\Is this a bad dream?\Mytho... response:	He's...
context: A girl in love.\If you really love Mytho, then you must want to chat with him and sing and dance with him, right?\You think you wouldn't mind losing your heart, but you have to realize that feeling isn't real!\Tutu.\Mytho!\Is this a bad dream?\Mytho...\He's... response:	What?
context: If you really love Mytho, then you must want to chat with him and sing and dance with him, right?\You think you wouldn't mind losing your heart, but you have to realize that feeling isn't real!\Tutu.\Mytho!\Is this a bad dream?\Mytho...\He's...\What? response:	Another me inside me is...
context: You think you wouldn't mind losing your heart, but you have to realize that feeling isn't real!\Tutu.\Mytho!\Is this a bad dream?\Mytho...\He's...\What?\Another me inside me is... response:	Tutu... What's going to happen to me?
context: Tutu.\Mytho!\Is this a bad dream?\Mytho...\He's...\What?\Another me inside me is...\Tutu... What's going to happen to me? response:	Mytho...
context: Mytho!\Is this a bad dream?\Mytho...\He's...\What?\Another me inside me is...\Tutu... What's going to happen to me?\Mytho... response:	Good morning, princesses!
context: Is this a bad dream?\Mytho...\He's...\What?\Another me inside me is...\Tutu... What's going to happen to me?\Mytho...\Good morning, princesses! response:	Hey, what happened?
context: Mytho...\He's...\What?\Another me inside me is...\Tutu... What's going to happen to me?\Mytho...\Good morning, princesses!\Hey, what happened? response:	Oh, you don't remember? Ahiru dragged you home last night.
context: He's...\What?\Another me inside me is...\Tutu... What's going to happen to me?\Mytho...\Good morning, princesses!\Hey, what happened?\Oh, you don't remember? Ahiru dragged you home last night. response:	Huh?
context: What?\Another me inside me is...\Tutu... What's going to happen to me?\Mytho...\Good morning, princesses!\Hey, what happened?\Oh, you don't remember? Ahiru dragged you home last night.\Huh? response:	You two must have had a magnificent battle!
context: Another me inside me is...\Tutu... What's going to happen to me?\Mytho...\Good morning, princesses!\Hey, what happened?\Oh, you don't remember? Ahiru dragged you home last night.\Huh?\You two must have had a magnificent battle! response:	Oh, I wish I'd seen it, the two of you abandoning friendship to fight!
context: Tutu... What's going to happen to me?\Mytho...\Good morning, princesses!\Hey, what happened?\Oh, you don't remember? Ahiru dragged you home last night.\Huh?\You two must have had a magnificent battle!\Oh, I wish I'd seen it, the two of you abandoning friendship to fight! response:	Two girls, in love with Mytho-sama...
context: Mytho...\Good morning, princesses!\Hey, what happened?\Oh, you don't remember? Ahiru dragged you home last night.\Huh?\You two must have had a magnificent battle!\Oh, I wish I'd seen it, the two of you abandoning friendship to fight!\Two girls, in love with Mytho-sama... response:	Me, with Mytho-sama?!
context: Good morning, princesses!\Hey, what happened?\Oh, you don't remember? Ahiru dragged you home last night.\Huh?\You two must have had a magnificent battle!\Oh, I wish I'd seen it, the two of you abandoning friendship to fight!\Two girls, in love with Mytho-sama...\Me, with Mytho-sama?! response:	Oh, yeah, come to think of it I was...
context: Hey, what happened?\Oh, you don't remember? Ahiru dragged you home last night.\Huh?\You two must have had a magnificent battle!\Oh, I wish I'd seen it, the two of you abandoning friendship to fight!\Two girls, in love with Mytho-sama...\Me, with Mytho-sama?!\Oh, yeah, come to think of it I was... response:	Pike... Thank goodness...
context: Oh, you don't remember? Ahiru dragged you home last night.\Huh?\You two must have had a magnificent battle!\Oh, I wish I'd seen it, the two of you abandoning friendship to fight!\Two girls, in love with Mytho-sama...\Me, with Mytho-sama?!\Oh, yeah, come to think of it I was...\Pike... Thank goodness... response:	Huh? What about the battle?
context: Huh?\You two must have had a magnificent battle!\Oh, I wish I'd seen it, the two of you abandoning friendship to fight!\Two girls, in love with Mytho-sama...\Me, with Mytho-sama?!\Oh, yeah, come to think of it I was...\Pike... Thank goodness...\Huh? What about the battle? response:	There wasn't one.
context: You two must have had a magnificent battle!\Oh, I wish I'd seen it, the two of you abandoning friendship to fight!\Two girls, in love with Mytho-sama...\Me, with Mytho-sama?!\Oh, yeah, come to think of it I was...\Pike... Thank goodness...\Huh? What about the battle?\There wasn't one. response:	No WAY!
context: Oh, I wish I'd seen it, the two of you abandoning friendship to fight!\Two girls, in love with Mytho-sama...\Me, with Mytho-sama?!\Oh, yeah, come to think of it I was...\Pike... Thank goodness...\Huh? What about the battle?\There wasn't one.\No WAY! response:	But man, I don't even know why I was so crazy about Mytho-sama.
context: Two girls, in love with Mytho-sama...\Me, with Mytho-sama?!\Oh, yeah, come to think of it I was...\Pike... Thank goodness...\Huh? What about the battle?\There wasn't one.\No WAY!\But man, I don't even know why I was so crazy about Mytho-sama. response:	Oh!
context: Me, with Mytho-sama?!\Oh, yeah, come to think of it I was...\Pike... Thank goodness...\Huh? What about the battle?\There wasn't one.\No WAY!\But man, I don't even know why I was so crazy about Mytho-sama.\Oh! response:	That must be what you call the rashness of youth!
context: Oh, yeah, come to think of it I was...\Pike... Thank goodness...\Huh? What about the battle?\There wasn't one.\No WAY!\But man, I don't even know why I was so crazy about Mytho-sama.\Oh!\That must be what you call the rashness of youth! response:	I'm gonna stick to Fakir-sama Love after all.
context: Pike... Thank goodness...\Huh? What about the battle?\There wasn't one.\No WAY!\But man, I don't even know why I was so crazy about Mytho-sama.\Oh!\That must be what you call the rashness of youth!\I'm gonna stick to Fakir-sama Love after all. response:	Princess Tutu is the only one who can get back the prince's heart.
context: Huh? What about the battle?\There wasn't one.\No WAY!\But man, I don't even know why I was so crazy about Mytho-sama.\Oh!\That must be what you call the rashness of youth!\I'm gonna stick to Fakir-sama Love after all.\Princess Tutu is the only one who can get back the prince's heart. response:	But who can turn the heart soaked in raven's blood back to normal?
context: There wasn't one.\No WAY!\But man, I don't even know why I was so crazy about Mytho-sama.\Oh!\That must be what you call the rashness of youth!\I'm gonna stick to Fakir-sama Love after all.\Princess Tutu is the only one who can get back the prince's heart.\But who can turn the heart soaked in raven's blood back to normal? response:	Will Princess Tutu be able to do that?
context: No WAY!\But man, I don't even know why I was so crazy about Mytho-sama.\Oh!\That must be what you call the rashness of youth!\I'm gonna stick to Fakir-sama Love after all.\Princess Tutu is the only one who can get back the prince's heart.\But who can turn the heart soaked in raven's blood back to normal?\Will Princess Tutu be able to do that? response:	What's happening, behind the scenes where I can't see it?
context: But man, I don't even know why I was so crazy about Mytho-sama.\Oh!\That must be what you call the rashness of youth!\I'm gonna stick to Fakir-sama Love after all.\Princess Tutu is the only one who can get back the prince's heart.\But who can turn the heart soaked in raven's blood back to normal?\Will Princess Tutu be able to do that?\What's happening, behind the scenes where I can't see it? response:	I don't want to fight anymore.
context: Oh!\That must be what you call the rashness of youth!\I'm gonna stick to Fakir-sama Love after all.\Princess Tutu is the only one who can get back the prince's heart.\But who can turn the heart soaked in raven's blood back to normal?\Will Princess Tutu be able to do that?\What's happening, behind the scenes where I can't see it?\I don't want to fight anymore. response:	Well, it would be wonderful if the world were full of flowers, right?
context: That must be what you call the rashness of youth!\I'm gonna stick to Fakir-sama Love after all.\Princess Tutu is the only one who can get back the prince's heart.\But who can turn the heart soaked in raven's blood back to normal?\Will Princess Tutu be able to do that?\What's happening, behind the scenes where I can't see it?\I don't want to fight anymore.\Well, it would be wonderful if the world were full of flowers, right? response:	Your beautiful heart makes beautiful flowers bloom.
context: I'm gonna stick to Fakir-sama Love after all.\Princess Tutu is the only one who can get back the prince's heart.\But who can turn the heart soaked in raven's blood back to normal?\Will Princess Tutu be able to do that?\What's happening, behind the scenes where I can't see it?\I don't want to fight anymore.\Well, it would be wonderful if the world were full of flowers, right?\Your beautiful heart makes beautiful flowers bloom. response:	I was looking for her tail and I found her butt zura!
context: Princess Tutu is the only one who can get back the prince's heart.\But who can turn the heart soaked in raven's blood back to normal?\Will Princess Tutu be able to do that?\What's happening, behind the scenes where I can't see it?\I don't want to fight anymore.\Well, it would be wonderful if the world were full of flowers, right?\Your beautiful heart makes beautiful flowers bloom.\I was looking for her tail and I found her butt zura! response:	Her name is Uzura.
context: But who can turn the heart soaked in raven's blood back to normal?\Will Princess Tutu be able to do that?\What's happening, behind the scenes where I can't see it?\I don't want to fight anymore.\Well, it would be wonderful if the world were full of flowers, right?\Your beautiful heart makes beautiful flowers bloom.\I was looking for her tail and I found her butt zura!\Her name is Uzura. response:	Karon made her out of the bits of wood from Edel that didn't burn away.
context: Will Princess Tutu be able to do that?\What's happening, behind the scenes where I can't see it?\I don't want to fight anymore.\Well, it would be wonderful if the world were full of flowers, right?\Your beautiful heart makes beautiful flowers bloom.\I was looking for her tail and I found her butt zura!\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away. response:	Kraehe, did you do something to Mytho?
context: What's happening, behind the scenes where I can't see it?\I don't want to fight anymore.\Well, it would be wonderful if the world were full of flowers, right?\Your beautiful heart makes beautiful flowers bloom.\I was looking for her tail and I found her butt zura!\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Kraehe, did you do something to Mytho? response:	You're the one who made the prince like this, Tutu.
context: I don't want to fight anymore.\Well, it would be wonderful if the world were full of flowers, right?\Your beautiful heart makes beautiful flowers bloom.\I was looking for her tail and I found her butt zura!\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Kraehe, did you do something to Mytho?\You're the one who made the prince like this, Tutu. response:	Why?! Why won't you love me?!
context: Well, it would be wonderful if the world were full of flowers, right?\Your beautiful heart makes beautiful flowers bloom.\I was looking for her tail and I found her butt zura!\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Kraehe, did you do something to Mytho?\You're the one who made the prince like this, Tutu.\Why?! Why won't you love me?! response:	The Maiden's Prayer
context: Your beautiful heart makes beautiful flowers bloom.\I was looking for her tail and I found her butt zura!\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Kraehe, did you do something to Mytho?\You're the one who made the prince like this, Tutu.\Why?! Why won't you love me?!\The Maiden's Prayer response:	All you children who love stories, come gather around.
context: I was looking for her tail and I found her butt zura!\Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Kraehe, did you do something to Mytho?\You're the one who made the prince like this, Tutu.\Why?! Why won't you love me?!\The Maiden's Prayer\All you children who love stories, come gather around. response:	The voice calling, come now, wake up
context: Her name is Uzura.\Karon made her out of the bits of wood from Edel that didn't burn away.\Kraehe, did you do something to Mytho?\You're the one who made the prince like this, Tutu.\Why?! Why won't you love me?!\The Maiden's Prayer\All you children who love stories, come gather around.\The voice calling, come now, wake up response:	Wiping a tearstained face
context: Karon made her out of the bits of wood from Edel that didn't burn away.\Kraehe, did you do something to Mytho?\You're the one who made the prince like this, Tutu.\Why?! Why won't you love me?!\The Maiden's Prayer\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
