context: Archer, I don't believe it. You response:	Have you no pride as a hero?
context: have you decided that waving self-centered idealism in people's faces is wrong?\Time and time again, you fought for others,\and time and time again, you were betrayed.\Time and time again, you were forced to clean up other people's messes.\Is that...\Are you saying that's why you got fed up with humanity,\Archer?\My body is made of swords. response:	After you became a Heroic Spirit, that's the incantation you were given, right?
context: Time and time again, you fought for others,\and time and time again, you were betrayed.\Time and time again, you were forced to clean up other people's messes.\Is that...\Are you saying that's why you got fed up with humanity,\Archer?\My body is made of swords.\After you became a Heroic Spirit, that's the incantation you were given, right? response:	That's twisted.
context: and time and time again, you were betrayed.\Time and time again, you were forced to clean up other people's messes.\Is that...\Are you saying that's why you got fed up with humanity,\Archer?\My body is made of swords.\After you became a Heroic Spirit, that's the incantation you were given, right?\That's twisted. response:	That's too much, even as a curse.
context: Time and time again, you were forced to clean up other people's messes.\Is that...\Are you saying that's why you got fed up with humanity,\Archer?\My body is made of swords.\After you became a Heroic Spirit, that's the incantation you were given, right?\That's twisted.\That's too much, even as a curse. response:	I can't agree with one single thing about your life.
context: Is that...\Are you saying that's why you got fed up with humanity,\Archer?\My body is made of swords.\After you became a Heroic Spirit, that's the incantation you were given, right?\That's twisted.\That's too much, even as a curse.\I can't agree with one single thing about your life. response:	Not your messed-up way of living,
context: Are you saying that's why you got fed up with humanity,\Archer?\My body is made of swords.\After you became a Heroic Spirit, that's the incantation you were given, right?\That's twisted.\That's too much, even as a curse.\I can't agree with one single thing about your life.\Not your messed-up way of living, response:	or the people around you who didn't set you straight.
context: Archer?\My body is made of swords.\After you became a Heroic Spirit, that's the incantation you were given, right?\That's twisted.\That's too much, even as a curse.\I can't agree with one single thing about your life.\Not your messed-up way of living,\or the people around you who didn't set you straight. response:	I don't even know what to do.
context: My body is made of swords.\After you became a Heroic Spirit, that's the incantation you were given, right?\That's twisted.\That's too much, even as a curse.\I can't agree with one single thing about your life.\Not your messed-up way of living,\or the people around you who didn't set you straight.\I don't even know what to do. response:	I can't agree with it...
context: After you became a Heroic Spirit, that's the incantation you were given, right?\That's twisted.\That's too much, even as a curse.\I can't agree with one single thing about your life.\Not your messed-up way of living,\or the people around you who didn't set you straight.\I don't even know what to do.\I can't agree with it... response:	What a surprise, Tohsaka!
context: That's twisted.\That's too much, even as a curse.\I can't agree with one single thing about your life.\Not your messed-up way of living,\or the people around you who didn't set you straight.\I don't even know what to do.\I can't agree with it...\What a surprise, Tohsaka! response:	I was skeptical, but here you are, exactly as advertised.
context: That's too much, even as a curse.\I can't agree with one single thing about your life.\Not your messed-up way of living,\or the people around you who didn't set you straight.\I don't even know what to do.\I can't agree with it...\What a surprise, Tohsaka!\I was skeptical, but here you are, exactly as advertised. response:	Shinji?
context: I can't agree with one single thing about your life.\Not your messed-up way of living,\or the people around you who didn't set you straight.\I don't even know what to do.\I can't agree with it...\What a surprise, Tohsaka!\I was skeptical, but here you are, exactly as advertised.\Shinji? response:	Visitors?
context: Not your messed-up way of living,\or the people around you who didn't set you straight.\I don't even know what to do.\I can't agree with it...\What a surprise, Tohsaka!\I was skeptical, but here you are, exactly as advertised.\Shinji?\Visitors? response:	I came here because I thought we wouldn't be disturbed.
context: or the people around you who didn't set you straight.\I don't even know what to do.\I can't agree with it...\What a surprise, Tohsaka!\I was skeptical, but here you are, exactly as advertised.\Shinji?\Visitors?\I came here because I thought we wouldn't be disturbed. response:	Hey, now...
context: I don't even know what to do.\I can't agree with it...\What a surprise, Tohsaka!\I was skeptical, but here you are, exactly as advertised.\Shinji?\Visitors?\I came here because I thought we wouldn't be disturbed.\Hey, now... response:	No funny business, Archer.
context: I can't agree with it...\What a surprise, Tohsaka!\I was skeptical, but here you are, exactly as advertised.\Shinji?\Visitors?\I came here because I thought we wouldn't be disturbed.\Hey, now...\No funny business, Archer. response:	I'm not interested in you.
context: What a surprise, Tohsaka!\I was skeptical, but here you are, exactly as advertised.\Shinji?\Visitors?\I came here because I thought we wouldn't be disturbed.\Hey, now...\No funny business, Archer.\I'm not interested in you. response:	I should warn you, you're no match for me.
context: I was skeptical, but here you are, exactly as advertised.\Shinji?\Visitors?\I came here because I thought we wouldn't be disturbed.\Hey, now...\No funny business, Archer.\I'm not interested in you.\I should warn you, you're no match for me. response:	You're scared, aren't you, Archer?
context: Shinji?\Visitors?\I came here because I thought we wouldn't be disturbed.\Hey, now...\No funny business, Archer.\I'm not interested in you.\I should warn you, you're no match for me.\You're scared, aren't you, Archer? response:	That guy's a Servant who dispatched Berserker without breaking a sweat.
context: Visitors?\I came here because I thought we wouldn't be disturbed.\Hey, now...\No funny business, Archer.\I'm not interested in you.\I should warn you, you're no match for me.\You're scared, aren't you, Archer?\That guy's a Servant who dispatched Berserker without breaking a sweat. response:	I don't blame you for being scared of
context: I came here because I thought we wouldn't be disturbed.\Hey, now...\No funny business, Archer.\I'm not interested in you.\I should warn you, you're no match for me.\You're scared, aren't you, Archer?\That guy's a Servant who dispatched Berserker without breaking a sweat.\I don't blame you for being scared of response:	You want Rin, Matou Shinji?
context: Hey, now...\No funny business, Archer.\I'm not interested in you.\I should warn you, you're no match for me.\You're scared, aren't you, Archer?\That guy's a Servant who dispatched Berserker without breaking a sweat.\I don't blame you for being scared of\You want Rin, Matou Shinji? response:	Of course I do.
context: No funny business, Archer.\I'm not interested in you.\I should warn you, you're no match for me.\You're scared, aren't you, Archer?\That guy's a Servant who dispatched Berserker without breaking a sweat.\I don't blame you for being scared of\You want Rin, Matou Shinji?\Of course I do. response:	Then wait until my business is done.
context: I'm not interested in you.\I should warn you, you're no match for me.\You're scared, aren't you, Archer?\That guy's a Servant who dispatched Berserker without breaking a sweat.\I don't blame you for being scared of\You want Rin, Matou Shinji?\Of course I do.\Then wait until my business is done. response:	Once I've finished Emiya Shirou, she's all yours.
context: I should warn you, you're no match for me.\You're scared, aren't you, Archer?\That guy's a Servant who dispatched Berserker without breaking a sweat.\I don't blame you for being scared of\You want Rin, Matou Shinji?\Of course I do.\Then wait until my business is done.\Once I've finished Emiya Shirou, she's all yours. response:	If you won't agree, I'll eliminate both you and your Servant.
context: You're scared, aren't you, Archer?\That guy's a Servant who dispatched Berserker without breaking a sweat.\I don't blame you for being scared of\You want Rin, Matou Shinji?\Of course I do.\Then wait until my business is done.\Once I've finished Emiya Shirou, she's all yours.\If you won't agree, I'll eliminate both you and your Servant. response:	Hold on, Gilgamesh.
context: That guy's a Servant who dispatched Berserker without breaking a sweat.\I don't blame you for being scared of\You want Rin, Matou Shinji?\Of course I do.\Then wait until my business is done.\Once I've finished Emiya Shirou, she's all yours.\If you won't agree, I'll eliminate both you and your Servant.\Hold on, Gilgamesh. response:	It's fine. He says he'll give her to us, so let's go along.
context: I don't blame you for being scared of\You want Rin, Matou Shinji?\Of course I do.\Then wait until my business is done.\Once I've finished Emiya Shirou, she's all yours.\If you won't agree, I'll eliminate both you and your Servant.\Hold on, Gilgamesh.\It's fine. He says he'll give her to us, so let's go along. response:	We'll keep Tohsaka safe until he's dealt with Emiya, okay?
context: You want Rin, Matou Shinji?\Of course I do.\Then wait until my business is done.\Once I've finished Emiya Shirou, she's all yours.\If you won't agree, I'll eliminate both you and your Servant.\Hold on, Gilgamesh.\It's fine. He says he'll give her to us, so let's go along.\We'll keep Tohsaka safe until he's dealt with Emiya, okay? response:	Which means...
context: Of course I do.\Then wait until my business is done.\Once I've finished Emiya Shirou, she's all yours.\If you won't agree, I'll eliminate both you and your Servant.\Hold on, Gilgamesh.\It's fine. He says he'll give her to us, so let's go along.\We'll keep Tohsaka safe until he's dealt with Emiya, okay?\Which means... response:	She's already as good as mine, right?
context: Then wait until my business is done.\Once I've finished Emiya Shirou, she's all yours.\If you won't agree, I'll eliminate both you and your Servant.\Hold on, Gilgamesh.\It's fine. He says he'll give her to us, so let's go along.\We'll keep Tohsaka safe until he's dealt with Emiya, okay?\Which means...\She's already as good as mine, right? response:	So I can do anything I want to her, right?
context: Once I've finished Emiya Shirou, she's all yours.\If you won't agree, I'll eliminate both you and your Servant.\Hold on, Gilgamesh.\It's fine. He says he'll give her to us, so let's go along.\We'll keep Tohsaka safe until he's dealt with Emiya, okay?\Which means...\She's already as good as mine, right?\So I can do anything I want to her, right? response:	My agreement with Emiya Shirou was that she'd remain unharmed.
context: If you won't agree, I'll eliminate both you and your Servant.\Hold on, Gilgamesh.\It's fine. He says he'll give her to us, so let's go along.\We'll keep Tohsaka safe until he's dealt with Emiya, okay?\Which means...\She's already as good as mine, right?\So I can do anything I want to her, right?\My agreement with Emiya Shirou was that she'd remain unharmed. response:	But that expires at dawn.
context: Hold on, Gilgamesh.\It's fine. He says he'll give her to us, so let's go along.\We'll keep Tohsaka safe until he's dealt with Emiya, okay?\Which means...\She's already as good as mine, right?\So I can do anything I want to her, right?\My agreement with Emiya Shirou was that she'd remain unharmed.\But that expires at dawn. response:	Once the deadline has passed, do as you will.
context: It's fine. He says he'll give her to us, so let's go along.\We'll keep Tohsaka safe until he's dealt with Emiya, okay?\Which means...\She's already as good as mine, right?\So I can do anything I want to her, right?\My agreement with Emiya Shirou was that she'd remain unharmed.\But that expires at dawn.\Once the deadline has passed, do as you will. response:	Did you hear that, Tohsaka?
context: We'll keep Tohsaka safe until he's dealt with Emiya, okay?\Which means...\She's already as good as mine, right?\So I can do anything I want to her, right?\My agreement with Emiya Shirou was that she'd remain unharmed.\But that expires at dawn.\Once the deadline has passed, do as you will.\Did you hear that, Tohsaka? response:	Your Servant sold out his Master!
context: Which means...\She's already as good as mine, right?\So I can do anything I want to her, right?\My agreement with Emiya Shirou was that she'd remain unharmed.\But that expires at dawn.\Once the deadline has passed, do as you will.\Did you hear that, Tohsaka?\Your Servant sold out his Master! response:	Faker.
context: She's already as good as mine, right?\So I can do anything I want to her, right?\My agreement with Emiya Shirou was that she'd remain unharmed.\But that expires at dawn.\Once the deadline has passed, do as you will.\Did you hear that, Tohsaka?\Your Servant sold out his Master!\Faker. response:	You're awake?
context: So I can do anything I want to her, right?\My agreement with Emiya Shirou was that she'd remain unharmed.\But that expires at dawn.\Once the deadline has passed, do as you will.\Did you hear that, Tohsaka?\Your Servant sold out his Master!\Faker.\You're awake? response:	Shirou?
context: My agreement with Emiya Shirou was that she'd remain unharmed.\But that expires at dawn.\Once the deadline has passed, do as you will.\Did you hear that, Tohsaka?\Your Servant sold out his Master!\Faker.\You're awake?\Shirou? response:	Yeah, the fatigue's gone, and so is my headache.
context: But that expires at dawn.\Once the deadline has passed, do as you will.\Did you hear that, Tohsaka?\Your Servant sold out his Master!\Faker.\You're awake?\Shirou?\Yeah, the fatigue's gone, and so is my headache. response:	My mana is still pretty depleted,
context: Once the deadline has passed, do as you will.\Did you hear that, Tohsaka?\Your Servant sold out his Master!\Faker.\You're awake?\Shirou?\Yeah, the fatigue's gone, and so is my headache.\My mana is still pretty depleted, response:	but it seems my Magic Circuits weren't burned out.
context: Did you hear that, Tohsaka?\Your Servant sold out his Master!\Faker.\You're awake?\Shirou?\Yeah, the fatigue's gone, and so is my headache.\My mana is still pretty depleted,\but it seems my Magic Circuits weren't burned out. response:	Shirou...
context: Your Servant sold out his Master!\Faker.\You're awake?\Shirou?\Yeah, the fatigue's gone, and so is my headache.\My mana is still pretty depleted,\but it seems my Magic Circuits weren't burned out.\Shirou... response:	Rin is my Master.
context: Faker.\You're awake?\Shirou?\Yeah, the fatigue's gone, and so is my headache.\My mana is still pretty depleted,\but it seems my Magic Circuits weren't burned out.\Shirou...\Rin is my Master. response:	Rescuing her is my duty.
context: You're awake?\Shirou?\Yeah, the fatigue's gone, and so is my headache.\My mana is still pretty depleted,\but it seems my Magic Circuits weren't burned out.\Shirou...\Rin is my Master.\Rescuing her is my duty. response:	I will stop Archer, so you
context: Shirou?\Yeah, the fatigue's gone, and so is my headache.\My mana is still pretty depleted,\but it seems my Magic Circuits weren't burned out.\Shirou...\Rin is my Master.\Rescuing her is my duty.\I will stop Archer, so you response:	That's backwards, Saber.
context: Yeah, the fatigue's gone, and so is my headache.\My mana is still pretty depleted,\but it seems my Magic Circuits weren't burned out.\Shirou...\Rin is my Master.\Rescuing her is my duty.\I will stop Archer, so you\That's backwards, Saber. response:	I'll handle the fight with Archer.
context: My mana is still pretty depleted,\but it seems my Magic Circuits weren't burned out.\Shirou...\Rin is my Master.\Rescuing her is my duty.\I will stop Archer, so you\That's backwards, Saber.\I'll handle the fight with Archer. response:	You cannot, Shirou.
context: but it seems my Magic Circuits weren't burned out.\Shirou...\Rin is my Master.\Rescuing her is my duty.\I will stop Archer, so you\That's backwards, Saber.\I'll handle the fight with Archer.\You cannot, Shirou. response:	Archer is your...
context: Shirou...\Rin is my Master.\Rescuing her is my duty.\I will stop Archer, so you\That's backwards, Saber.\I'll handle the fight with Archer.\You cannot, Shirou.\Archer is your... response:	I know.
context: Rin is my Master.\Rescuing her is my duty.\I will stop Archer, so you\That's backwards, Saber.\I'll handle the fight with Archer.\You cannot, Shirou.\Archer is your...\I know. response:	I've probably known who he is since the moment I met him.
context: Rescuing her is my duty.\I will stop Archer, so you\That's backwards, Saber.\I'll handle the fight with Archer.\You cannot, Shirou.\Archer is your...\I know.\I've probably known who he is since the moment I met him. response:	All the more reason why I can't let him get away with it.
context: I will stop Archer, so you\That's backwards, Saber.\I'll handle the fight with Archer.\You cannot, Shirou.\Archer is your...\I know.\I've probably known who he is since the moment I met him.\All the more reason why I can't let him get away with it. response:	I have to be the one to settle things with him.
context: That's backwards, Saber.\I'll handle the fight with Archer.\You cannot, Shirou.\Archer is your...\I know.\I've probably known who he is since the moment I met him.\All the more reason why I can't let him get away with it.\I have to be the one to settle things with him. response:	Please... I'll fight Archer.
context: I'll handle the fight with Archer.\You cannot, Shirou.\Archer is your...\I know.\I've probably known who he is since the moment I met him.\All the more reason why I can't let him get away with it.\I have to be the one to settle things with him.\Please... I'll fight Archer. response:	When we fight, I want you to stay out of it, no matter what happens.
context: You cannot, Shirou.\Archer is your...\I know.\I've probably known who he is since the moment I met him.\All the more reason why I can't let him get away with it.\I have to be the one to settle things with him.\Please... I'll fight Archer.\When we fight, I want you to stay out of it, no matter what happens. response:	If that is your wish, I shall abide by it.
context: Archer is your...\I know.\I've probably known who he is since the moment I met him.\All the more reason why I can't let him get away with it.\I have to be the one to settle things with him.\Please... I'll fight Archer.\When we fight, I want you to stay out of it, no matter what happens.\If that is your wish, I shall abide by it. response:	I swore that my body would be your shield.
context: I know.\I've probably known who he is since the moment I met him.\All the more reason why I can't let him get away with it.\I have to be the one to settle things with him.\Please... I'll fight Archer.\When we fight, I want you to stay out of it, no matter what happens.\If that is your wish, I shall abide by it.\I swore that my body would be your shield. response:	Until it is over, I shall simply observe.
context: I've probably known who he is since the moment I met him.\All the more reason why I can't let him get away with it.\I have to be the one to settle things with him.\Please... I'll fight Archer.\When we fight, I want you to stay out of it, no matter what happens.\If that is your wish, I shall abide by it.\I swore that my body would be your shield.\Until it is over, I shall simply observe. response:	Thanks, Saber.
context: All the more reason why I can't let him get away with it.\I have to be the one to settle things with him.\Please... I'll fight Archer.\When we fight, I want you to stay out of it, no matter what happens.\If that is your wish, I shall abide by it.\I swore that my body would be your shield.\Until it is over, I shall simply observe.\Thanks, Saber. response:	I'm surprised you don't have better things to do.
context: I have to be the one to settle things with him.\Please... I'll fight Archer.\When we fight, I want you to stay out of it, no matter what happens.\If that is your wish, I shall abide by it.\I swore that my body would be your shield.\Until it is over, I shall simply observe.\Thanks, Saber.\I'm surprised you don't have better things to do. response:	I've changed my mind.
context: Please... I'll fight Archer.\When we fight, I want you to stay out of it, no matter what happens.\If that is your wish, I shall abide by it.\I swore that my body would be your shield.\Until it is over, I shall simply observe.\Thanks, Saber.\I'm surprised you don't have better things to do.\I've changed my mind. response:	The little lady's in trouble, right?
context: When we fight, I want you to stay out of it, no matter what happens.\If that is your wish, I shall abide by it.\I swore that my body would be your shield.\Until it is over, I shall simply observe.\Thanks, Saber.\I'm surprised you don't have better things to do.\I've changed my mind.\The little lady's in trouble, right? response:	So let me tag along a bit longer.
context: If that is your wish, I shall abide by it.\I swore that my body would be your shield.\Until it is over, I shall simply observe.\Thanks, Saber.\I'm surprised you don't have better things to do.\I've changed my mind.\The little lady's in trouble, right?\So let me tag along a bit longer. response:	It would keep me up at night.
context: I swore that my body would be your shield.\Until it is over, I shall simply observe.\Thanks, Saber.\I'm surprised you don't have better things to do.\I've changed my mind.\The little lady's in trouble, right?\So let me tag along a bit longer.\It would keep me up at night. response:	What manner of spell did you and Rin use to bring him over to your side?
context: Until it is over, I shall simply observe.\Thanks, Saber.\I'm surprised you don't have better things to do.\I've changed my mind.\The little lady's in trouble, right?\So let me tag along a bit longer.\It would keep me up at night.\What manner of spell did you and Rin use to bring him over to your side? response:	Ryuudou Temple, Miyama. Fifty-three unconscious.
context: Thanks, Saber.\I'm surprised you don't have better things to do.\I've changed my mind.\The little lady's in trouble, right?\So let me tag along a bit longer.\It would keep me up at night.\What manner of spell did you and Rin use to bring him over to your side?\Ryuudou Temple, Miyama. Fifty-three unconscious. response:	All male.
context: I'm surprised you don't have better things to do.\I've changed my mind.\The little lady's in trouble, right?\So let me tag along a bit longer.\It would keep me up at night.\What manner of spell did you and Rin use to bring him over to your side?\Ryuudou Temple, Miyama. Fifty-three unconscious.\All male. response:	Low blood pressure, labored breathing.
context: I've changed my mind.\The little lady's in trouble, right?\So let me tag along a bit longer.\It would keep me up at night.\What manner of spell did you and Rin use to bring him over to your side?\Ryuudou Temple, Miyama. Fifty-three unconscious.\All male.\Low blood pressure, labored breathing. response:	Same symptoms as those other coma cases.
context: The little lady's in trouble, right?\So let me tag along a bit longer.\It would keep me up at night.\What manner of spell did you and Rin use to bring him over to your side?\Ryuudou Temple, Miyama. Fifty-three unconscious.\All male.\Low blood pressure, labored breathing.\Same symptoms as those other coma cases. response:	Send thirty-one to New Fuyuki's general hospital, fifteen to the central hospital,
context: So let me tag along a bit longer.\It would keep me up at night.\What manner of spell did you and Rin use to bring him over to your side?\Ryuudou Temple, Miyama. Fifty-three unconscious.\All male.\Low blood pressure, labored breathing.\Same symptoms as those other coma cases.\Send thirty-one to New Fuyuki's general hospital, fifteen to the central hospital, response:	and the rest to the community hospital.
context: It would keep me up at night.\What manner of spell did you and Rin use to bring him over to your side?\Ryuudou Temple, Miyama. Fifty-three unconscious.\All male.\Low blood pressure, labored breathing.\Same symptoms as those other coma cases.\Send thirty-one to New Fuyuki's general hospital, fifteen to the central hospital,\and the rest to the community hospital. response:	Wasn't it my Master's credo to never reveal herself?
context: What manner of spell did you and Rin use to bring him over to your side?\Ryuudou Temple, Miyama. Fifty-three unconscious.\All male.\Low blood pressure, labored breathing.\Same symptoms as those other coma cases.\Send thirty-one to New Fuyuki's general hospital, fifteen to the central hospital,\and the rest to the community hospital.\Wasn't it my Master's credo to never reveal herself? response:	There can't be two of those pendants.
context: Ryuudou Temple, Miyama. Fifty-three unconscious.\All male.\Low blood pressure, labored breathing.\Same symptoms as those other coma cases.\Send thirty-one to New Fuyuki's general hospital, fifteen to the central hospital,\and the rest to the community hospital.\Wasn't it my Master's credo to never reveal herself?\There can't be two of those pendants. response:	Why do your own ideals reject you?
context: All male.\Low blood pressure, labored breathing.\Same symptoms as those other coma cases.\Send thirty-one to New Fuyuki's general hospital, fifteen to the central hospital,\and the rest to the community hospital.\Wasn't it my Master's credo to never reveal herself?\There can't be two of those pendants.\Why do your own ideals reject you? response:	I'm leaving this fight before you.
context: Low blood pressure, labored breathing.\Same symptoms as those other coma cases.\Send thirty-one to New Fuyuki's general hospital, fifteen to the central hospital,\and the rest to the community hospital.\Wasn't it my Master's credo to never reveal herself?\There can't be two of those pendants.\Why do your own ideals reject you?\I'm leaving this fight before you. response:	Next Time Idealism's End (The Answer)
context: Same symptoms as those other coma cases.\Send thirty-one to New Fuyuki's general hospital, fifteen to the central hospital,\and the rest to the community hospital.\Wasn't it my Master's credo to never reveal herself?\There can't be two of those pendants.\Why do your own ideals reject you?\I'm leaving this fight before you.\Next Time Idealism's End (The Answer) response:	In any event, you have no future.
